acclaim,"n. 欢呼，喝彩；称赞
vt. 称赞；为…喝彩，向…欢呼
vi. 欢呼，喝彩"
institution,n. 制度；建立；（社会或宗教等）公共机构；习俗
recruiter,n. 招聘人员，征兵人员
disgrace,"n. 耻辱；丢脸的人或事；失宠
vt. 使……失宠；给……丢脸；使……蒙受耻辱；贬黜"
fade,"n.  淡出； 淡入
adj. 平淡的；乏味的
vi. 褪色；凋谢；逐渐消失
vt. 使褪色"
financial crisis,"na. 财政危机
 金融危机；财务危机；经济危机"
fundamentally,adv. 根本地，从根本上；基础地
invert,"n. 颠倒的事物；倒置物；倒悬者
adj. 转化的
vt. 使…转化；使…颠倒；使…反转；使…前后倒置"
rough,"n. 艰苦；高低不平的地面；未经加工的材料；粗糙的部分
adj. 粗糙的；粗略的；粗野的；艰苦的；未经加工的
vt. 使粗糙；粗暴对待；草拟
adv. 粗糙地；粗略地；粗暴地
vi. 举止粗野"
guide,"n. 指南；向导；入门书
vt. 引导；带领；操纵
vi. 担任向导"
commercial,"n. 商业广告
adj. 商业的；营利的；靠广告收入的"
print advertisement,找不到解释
exploit,"n. 勋绩；功绩
vt. 开发，开拓；剥削；开采"
alternative,"n. 二中择一；供替代的选择
adj. 供选择的；选择性的；交替的"
passionate,adj. 热情的；热烈的，激昂的；易怒的
willingly,adv. 欣然地；愿意地，乐意地
leverage,"n. 手段，影响力；杠杆作用；杠杆效率
v. 利用；举债经营"
register,"n. 登记；注册；记录；寄存器；登记簿
vt. 登记；注册；记录；挂号邮寄；把…挂号；正式提出
vi. 登记；注册；挂号"
impact,"vi. 影响；撞击；冲突；压紧（on，upon，with）
n. 影响；效果；碰撞；冲击力
vt. 挤入，压紧；撞击；对…产生影响"
stem from,"v. 出于；基于
 起源于；来自；源自"
a broad range of,找不到解释
conventional,adj. 符合习俗的，传统的；常见的；惯例的
initiator,n. 发起人，创始者；教导者； 启动程序；引爆器
e-commerce retailer,找不到解释
define A as B,找不到解释
place,"n. 地方；住所；座位
vt. 放置；任命；寄予
vi. 名列前茅；取得名次"
content,"n. 内容，目录；满足；容量
adj. 满意的
vt. 使满足"
e-commerce engine,找不到解释
infancy,n. 初期；婴儿期；幼年
property,n. 性质，性能；财产；所有权
complementary,adj. 补足的，补充的
competitive,adj. 竞争的；比赛的；求胜心切的
generate,vt. 使形成；发生；生殖；产生物理反应
income,n. 收入，收益；所得
objective,"adj. 客观的；目标的；宾格的
n. 目的；目标； 物镜；宾格"
user traffic,找不到解释
dramatic,adj. 戏剧的；急剧的；引人注目的；激动人心的
voice,"n. 声音；嗓音；发言权；愿望
vt. 表达；吐露"
visible,"n. 可见物；进出口贸易中的有形项目
adj. 明显的；看得见的；现有的；可得到的"
damaging,"v. 破坏（damage的现在分词形式）；损害
adj. 有破坏性的，损害的；诽谤的"
hijack,"n. 劫持；威逼；敲诈
vt. 抢劫；揩油
vi. 拦路抢劫"
campaign,"n. 运动；活动；战役
vi. 作战；参加竞选；参加活动"
hostage,n. 人质；抵押品
stakeholder,n. 利益相关者；赌金保管者
allegation,n. 指控; 陈述，主张; 宣称; 陈词，陈述;
originally,adv. 最初，起初；本来
persuade,"vt. 说服，劝说；使某人相信；劝某人做（不做）某事
adj. 空闲的，有闲的
vi. 说服；被说服"
boycott,"n. 联合抵制
vt. 联合抵制；拒绝参加"
sufficiently,adv. 充分地；足够地
learning curve has been steep,找不到解释
alleviate,vt. 减轻，缓和
orchestrate,"vt. 把…编成管弦乐曲；（美）精心安排；把…协调地结合起来
vi. 编管弦乐曲"
engage with,"un. 与…交战；与…接洽
 建立友好关系；交流；与……交战"
insightful,adj. 有深刻见解的，富有洞察力的
provocative,"n. 刺激物，挑拨物；兴奋剂
adj. 刺激的，挑拨的；气人的"
chatter,"n. 唠叨；饶舌；（动物的）啁啾声；潺潺流水声
vt. 喋喋不休地说；使卡嗒卡嗒作声
vi. 唠叨；喋喋不休；（动物等）吱吱叫"
rearing,"n. 饲养；养育；抚养
v. 抚养；建立（rear的ing形式）；竖起"
fulfilling,adj. 令人满意的；能实现个人抱负的；令人高兴的
miserable,adj. 悲惨的；痛苦的；卑鄙的
redefine,vt. 重新定义
past-tense condition,找不到解释
soul-crushingly hard,找不到解释
dampen,"vt. 抑制；使…沮丧；使…潮湿
vi. 潮湿；丧气"
mood,n. 情绪，语气；心境；气氛
intense,adj. 强烈的；紧张的；非常的；热情的
gratification,n. 满意；喜悦；使人满意之事
delight,"n. 高兴
vt. 使高兴
vi. 高兴"
magazine cover,找不到解释
cute,adj. 可爱的；漂亮的；聪明的，伶俐的
Madonna-and-child,找不到解释
adoptive,adj. 采用的；有收养关系的
pregnant,adj. 怀孕的；富有意义的
celebrity,n. 名人；名声
persistently,adv. 坚持地；固执地
celebrate,"vt. 庆祝；举行；赞美；祝贺；宣告
vi. 庆祝；过节；举行宗教仪式"
procreation,n. 生殖；生产
admit,"vi. 承认；容许
vt. 承认；准许进入；可容纳"
be equivalent to,"na. 等于；相当于
 等价于；等效；与…相当"
kitten-killing,找不到解释
rarely,adv. 很少地；难得；罕有地
be provoked to,找不到解释
be provoked to do,找不到解释
folk,"n. 民族；人们；亲属（复数）
adj. 民间的"
be bothered with,找不到解释
misery,n. 痛苦，悲惨；不幸；苦恼；穷困
unrealistic,adj. 不切实际的；不实在的
shock,"n. 休克；震惊；震动；打击；禾束堆
adj. 浓密的；蓬乱的
vt. 使休克；使震惊；使震动；使受电击；把…堆成禾束堆
vi. 感到震惊；受到震动；堆成禾束堆"
lean on,"na. 靠在；倚赖；据险(固守)
 依靠；依赖；倚靠"
round-the-clock,adj. 全天的；全天候的；不分昼夜的；连续不停的
dumb,adj. 哑的，无说话能力的；不说话的，无声音的
glamorous,adj. 迷人的，富有魅力的
stress-free,adj. 无压力的；无应力
happiness-enhancing,找不到解释
subconscious,"n. 潜在意识；下意识心理活动
adj. 潜意识的；下意识的"
contribute to,"na. 捐助；给…投稿；捐(款)给；投寄(一篇论文)给(某杂志)
 有助于；促成；贡献"
dissatisfaction,n. 不满；令人不满的事物
whispered,"adj. 低声的；耳语的
v. 窃窃私语（whisper的过去分词）；低声地说"
invitation,n. 邀请；引诱；请帖；邀请函
forcing,"n. 强迫
v. 强迫（force的变形）；强制
adj. 强迫的；强制的；施加压力的"
peer pressure, 同侪压力；同伴压力；同辈压力
casual sex, 滥交；随意的性；随便的性行为
contend,"vi. 竞争；奋斗；斗争；争论
vt. 主张；为...斗争"
dynamic,"n. 动态；动力
adj. 动态的；动力的；动力学的；有活力的"
recipient,"n. 容器，接受者；容纳者
adj. 容易接受的，感受性强的"
a host of,"det. 很多
 大量；许多；一大群"
sponsor,"n. 赞助者；主办者；保证人
vt. 赞助；发起"
set out to do, 着手做；着手做某事；开始做
uncool,adj. 粗野的；没把握的；不冷静沉着的；土里土气的
prevention,n. 预防；阻止；妨碍
initiative,"n. 主动权；首创精神
adj. 主动的；自发的；起始的"
recruit,"n. 招聘；新兵；新成员
vi. 复原；征募新兵；得到补充；恢复健康
vt. 补充；聘用；征募；使…恢复健康"
promising,"v. 许诺，答应（promise的现在分词形式）
adj. 有希望的，有前途的"
perceptive,adj. 感知的，知觉的；有知觉力的
critique,"n. 批评；评论文章
vt. 批判；评论"
lameness,n. 跛；残废；僵而疼痛的
spot-on,"adj. 准确的；恰好的
adv. 准确地；恰好地"
mobilize,"vt. 动员，调动；集合，组织；使…流通；使…松动
vi. 组织；动员起来"
demonstrate,"vt. 证明；展示；论证
vi. 示威"
flawed,adj. 有缺陷的；有瑕疵的；有裂纹的
plead,"vt. 借口；为...辩护；托称
vi. 恳求；辩护"
billboard,"n. 广告牌；布告板
vt. 宣传；介绍"
aim at,"v. 目的在于
 瞄准；针对；旨在"
fit in, 有地方容纳; 有时间从事（某事）; 有时间接待（某人）; 相处融洽
convincingly,adv. 令人信服地；有说服力地
take a page from,找不到解释
be skilled at, 政客和商人尤其擅长；善于；精通
effectiveness,n. 效力
persuasive,adj. 有说服力的；劝诱的，劝说的
be filled with, 充满；装满；充满着
irrelevant,adj. 不相干的；不切题的
exploration,n. 探测；探究；踏勘
glaring,adj. 耀眼的；瞪视的；炯炯的
funding,"n. 提供资金；用发行长期债券的方法来收回短期债券
v. 提供资金；积存（fund的ing形式）"
lasting,"adj. 持久的；永恒的
n.  厚实斜纹织物
v. 持续；维持（last的ing形式）"
exert,vt. 运用，发挥；施以影响
enormous,adj. 庞大的，巨大的；凶暴的，极恶的
emerging,"v. 形成；浮现；显露（emerge的ing形式）；由…中脱出
adj. 新兴的；出现的；形成的"
negative,"adj.  负的；消极的；否定的；阴性的
n. 否定；负数； 底片
vt. 否定；拒绝"
via,prep. 渠道，通过；经由
subtle,adj. 微妙的；精细的；敏感的；狡猾的；稀薄的
unconsciously,adv. 不知不觉；无意识地
imitate,vt. 模仿，仿效；仿造，仿制
bureaucrat,n. 官僚；官僚主义者
steer,"vt. 控制，引导；驾驶
vi. 驾驶，掌舵；行驶
n. 阉牛"
virtuous,adj. 善良的；有道德的；贞洁的；正直的；有效力的
tactic,"n. 策略，战略
adj. 按顺序的，依次排列的"
engineer,"n. 工程师；工兵；火车司机
vt. 设计；策划；精明地处理
vi. 设计；建造"
insist on,"v. 坚持；强调
 坚决要求；坚持要；坚持认为"
be involved, 全心投入；涉及到；有牵扯到
company,"n. 公司；陪伴，同伴；连队
vt. 陪伴
vi. 交往"
supplier,n. 供应厂商，供应国；供应者
provoke,vt. 驱使；激怒；煽动；惹起
justified,"adj. 有正当理由的；合乎情理的；事出有因的
v. 调整（justify的过去分词）；证明…正当"
outrage,"n. 愤怒，愤慨；暴行；侮辱
vt. 凌辱，强奸；对…施暴行；激起愤怒"
announce,"vt. 宣布；述说；预示；播报
vi. 宣布参加竞选；当播音员"
renege on, 食言；违背；违约
longstanding,adj. 长期存在的；长时间的
commitment,n. 承诺，保证；委托；承担义务；献身
abide by,"na. 坚持；服从
 遵守；信守；遵循"
strict,adj. 严格的；绝对的；精确的；详细的
regulation,"n. 管理；规则；校准
adj. 规定的；平常的"
precisely,adv. 精确地；恰恰
constitutionality,n. 符合宪法；立宪
federal court,"na. 联邦法院
 联邦法庭；法院体系的；美国联邦法院"
desperate,adj. 不顾一切的；令人绝望的；极度渴望的
stunning,"adj. 极好的；使人晕倒的；震耳欲聋的
v. 把…打昏；使震耳欲聋；使大吃一惊（stun的ing形式）"
move,"n. 移动；步骤；迁居；策略
vi. 移动；搬家，迁移；离开
vt. 移动；感动"
conflict,"n. 冲突，矛盾；斗争；争执
vi. 冲突，抵触；争执；战斗"
surface,"n. 表面；表层；外观
adj. 表面的，肤浅的
vt. 使浮出水面；使成平面
vi. 浮出水面"
corporation,n. 公司；法人（团体）；社团；大腹便便；市政当局
aging,n. 老化；陈化，熟化
reactor,n.  反应器； 反应堆；起反应的人
condition,"n. 条件；情况；环境；身份
vt. 决定；使适应；使健康；以…为条件"
approval,n. 批准；认可；赞成
permission,n. 允许，许可
regulator,n. 调整者；监管者；校准器
be subject to,"un. 给；降伏；受…支配；受…影响
 受支配；服从；应受"
legislature,n. 立法机关；立法机构
go along,"na. 前进
 进行；沿着……一直走；同意"
intend to,"打算(做)..., 想要(做)..."
live by,"na. 靠…为生；住在…附近
 以……为生；靠……为生；靠……生活"
commitment,n. 承诺，保证；委托；承担义务；献身
foresee,vt. 预见；预知
a string of,"det. 一串；一系列
 一连串；串子；一连串的"
partial,adj. 局部的；偏爱的；不公平的
collapse,"n. 倒塌；失败；衰竭
vt. 使倒塌，使崩溃；使萎陷；折叠
vi. 倒塌；瓦解；暴跌"
cooling tower,"n. 冷却塔
 冷却水塔；凉水塔；冷水塔"
leakage,n. 泄漏；渗漏物；漏出量
misleading,"adj. 令人误解的；引入歧途的
v. 给…带错路；把…引入歧途（mislead的ing形式）"
statement,n. 声明；陈述，叙述；报表，清单
enrage,vt. 激怒；使暴怒
extension,n. 延长；延期；扩大；伸展；电话分机
invalid,"n. 病人；残疾者
adj. 无效的；有病的；残疾的
vt. 使伤残；使退役
vi. 变得病弱；因病而奉命退役"
regulatory,adj. 管理的；控制的；调整的
obscure,"adj. 昏暗的，朦胧的；晦涩的，不清楚的；隐蔽的；不著名的，无名的
vt. 使…模糊不清，掩盖；隐藏；使难理解
n. 某种模糊的或不清楚的东西"
whereas,conj. 然而；鉴于；反之
authority,n. 权威；权力；当局
precedent-setting, 先例性；开先例的；判例确立式的
extend,"vt. 延伸；扩大；推广；伸出；给予；使竭尽全力；对…估价
vi. 延伸；扩大；伸展；使疏开"
valid,adj. 有效的；有根据的；合法的；正当的
patchwork,n. 拼缝物，拼缀物；混杂物
keep one's word,"na. 守约；履行诺言；说话算话
 守信用；遵守诺言；信守诺言"
consequence,n. 结果；重要性；推论
pledge,"n. 保证，誓言；抵押；抵押品，典当物
vt. 保证，许诺；用……抵押；举杯祝……健康"
permission,n. 允许，许可
application,n. 应用；申请；应用程序；敷用
keep sth. in mind,"na. 记在心里；记住；注意
 牢记；紧记；牢记在心"
idealized,"adj. 理想化的
v. 把…理想化；以理想的形式表现事物（idealize的过去分词）"
observe,"vt. 庆祝
vt. 观察；遵守；说；注意到；评论
vi. 观察；说；注意到；评论"
carry out one's work,找不到解释
ambiguous,adj. 模糊不清的；引起歧义的
complicated,adj. 难懂的，复杂的
context,n. 环境；上下文；来龙去脉
unique,"n. 独一无二的人或物
adj. 独特的，稀罕的； 唯一的，独一无二的"
prior,"adj. 优先的；在先的，在前的
adv. 在前，居先"
subsequent,adj. 后来的，随后的
misinterpretation,n. 误解；误释
self-deception,n. 自欺；自欺欺人的行为
abound,vi. 富于；充满
protoscience, 原科学；前科学；原论科学
mining claim,"采矿请求权
矿产声明"
potential,"n. 潜能；可能性； 电势
adj. 潜在的；可能的；势的"
collective,"n. 集团；集合体；集合名词
adj. 集体的；共同的；集合的；集体主义的"
scrutiny,n. 详细审查；监视；细看；选票复查
acceptance,n. 接纳；赞同；容忍
transform,"vt. 改变，使…变形；转换
vi. 变换，改变；转化"
mature,"adj. 成熟的；充分考虑的；到期的；成年人的
vi. 成熟；到期
vt. 使…成熟；使…长成；慎重作出"
credibility,n. 可信性；确实性
process,"n. 过程，进行；方法，步骤；作用；程序；推移
adj. 经过特殊加工（或处理）的
vt. 处理；加工
vi. 列队前进"
objective,"adj. 客观的；目标的；宾格的
n. 目的；目标； 物镜；宾格"
intellectual,"n. 知识分子；凭理智做事者
adj. 智力的；聪明的；理智的"
credit,"n. 信用，信誉； 贷款；学分；信任；声望
vt. 相信，信任；把…归给，归功于；赞颂"
community,n. 社区； 群落；共同体；团体
gatekeeper,n. 看门人
accompanying,"v. 伴随（accompany的ing形式）
adj. 陪伴的；附随的"
confrontation,n. 对抗；面对；对质
competing,"v. 竞赛（compete的ing形式）
adj. 相互矛盾的；抵触的"
transform ... into ...,找不到解释
paradox,n. 悖论，反论；似非而是的论点；自相矛盾的人或事
focus on, 致力于; 使聚焦于; 对（某事或做某事）予以注意; 把…作为兴趣中心
aspect,n. 方面；方向；形势；外貌
prevailing,"adj. 流行的；一般的，最普通的；占优势的；盛行很广的
v. 盛行，流行（prevail的现在分词形式）；获胜"
incomplete,adj. 不完全的； 不完备的
incorrect,adj. 错误的，不正确的；不适当的；不真实的
reward,"n.  报酬；报答；酬谢
vt.  奖励；奖赏"
duplication,n. 复制；副本；成倍
confirmation,n. 确认；证实；证明；批准
convincing,"v. 使相信；使明白（convince的现在分词）
adj. 令人信服的；有说服力的"
modification,n. 修改，修正；改变
refutation,n. 反驳；驳斥；辩驳
novelty,n. 新奇；新奇的事物；新颖小巧而廉价的物品
provoke,vt. 驱使；激怒；煽动；惹起
novel,"adj. 新奇的；异常的
n. 小说"
appreciate,"vi. 增值；涨价
vt. 欣赏；感激；领会；鉴别"
correspond to,"v. 符合
 相当于；相应；对应"
reason,"n. 理由；理性；动机
vt. 说服；推论；辩论
vi. 推论；劝说"
revise,"n. 修订；校订
vi. 修订；校订；复习功课
vt. 修正；复习；校订"
conception,n. 怀孕；概念；设想；开始
trade unionist,"n. 工会会员
 工团主义者；工会主义者；他们接著又对付贸易联合会"
represent,"vt. 代表；表现；描绘；回忆；再赠送
vi. 代表；提出异议"
civil servant,"n. 公务员；政府官员
 文职人员；文官；行政能力倾向测试是公务员"
prime,"n. 初期；青年；精华；全盛时期
adj. 主要的；最好的；基本的
vt. 使准备好；填装
vi. 作准备
adv. 极好地"
sector,"n. 部门；扇形，扇区；象限仪；函数尺
vt. 把…分成扇形"
fellow,"n. 家伙；朋友；同事；会员
adj. 同伴的，同事的；同道的
vt. 使…与另一个对等；使…与另一个匹敌"
private-sector,私营部门；私营成分
unionize,"vt. 使……加入工会；使……成立工会
vi. 加入工会；成立工会"
thriving,"adj. 繁荣的；蒸蒸日上的；旺盛的
v. 兴旺（thrive的ing形式）"
shut down,"na. 关闭；关拢(窗等)；停业；禁止
 关机；停工；使关闭"
suffer,"vi. 遭受，忍受；受痛苦；经验；受损害
vt. 遭受；忍受；经历"
consequence,n. 结果；重要性；推论
dominate,"vt. 控制；支配；占优势；在…中占主要地位
vi. 占优势；处于支配地位"
left-of-centre,a. （人或政党）中间偏左的
tie,"n. 领带；平局；鞋带；领结；不分胜负
vi. 打结；不分胜负；被用带（或绳子等）系住
vt. 系；约束；打结；与…成平局"
imply,vt. 意味；暗示；隐含
be associated with,"v. 与…联系
 与……有关；与……有关系；相联系"
vote,"n. 投票，选举；选票；得票数
vi. 选举，投票
vt. 提议，使投票；投票决定；公认"
fearsome,adj. 可怕的；害怕的；极大的
budget,"n. 预算，预算费
adj. 廉价的
vt. 安排，预定；把…编入预算
vi. 编预算，做预算"
patrol,"n. 巡逻；巡逻队；侦察队
vt. 巡逻；巡查
vi. 巡逻；巡查"
keep an eye on,"v. 密切注意
 照看；留意；密切注视"
wage,"n. 工资；代价；报偿
vt. 进行；开展
vi. 进行；发动；从事"
gain,"n. 增加；利润；收获
vi. 增加；获利
vt. 获得；增加；赚到"
benefit,"n. 利益，好处；救济金
vt. 有益于，对…有益
vi. 受益，得益"
backload, 撤离费；调整；背载荷
modest,adj. 谦虚的，谦逊的；适度的；端庄的；羞怯的
pension,"n. 退休金，抚恤金；津贴；膳宿费
vt. 发给养老金或抚恤金"
generous,adj. 慷慨的，大方的；宽宏大量的；有雅量的
vigorously,adv. 精神旺盛地，活泼地
oppose,"vt. 反对；对抗，抗争
vi. 反对"
egregiously,adv. 惊人地；异乎寻常地；过份地；卓越地
academy,n. 学院；研究院；学会；专科院校
merit,"n. 优点，价值；功绩；功过
vt. 值得
vi. 应受报答"
drawn-out,adj. 延长的；持续很久的
variable,"n.  变量；可变物，可变因素
adj. 变量的；可变的；易变的，多变的；变异的， 畸变的"
fight against,"v. 反对
 对抗；与…作斗争；为反对……而斗争"
get rid of,"na. 除掉；摆脱；撵走
 除去；去掉；处理掉"
clamp down,"v. 严厉打击；强制执行；严禁；施压
 取缔；施加压力；对……施压"
rally,"n. 集会；回复；公路赛车会
vt. 团结；集合；恢复健康、力量等
vi. 团结；重整；恢复；（网球等）连续对打"
hardline,"adj. 强硬的；不妥协的
n. 强硬路线"
governor,n. 主管人员；统治者，管理者； 调节器；地方长官
current,"n. （水，气，电）流；趋势；涌流
adj. 现在的；流通的，通用的；最近的；草写的"
norm,n. 标准，规范
achiever,n. 获得成功的人
fat pay packet,找不到解释
version,n. 版本；译文；倒转术
scold,"n. 责骂；爱责骂的人
vt. 骂；责骂
vi. 责骂；叱责"
imagine,"vi. 想像；猜想；想像起来
vt. 想像；猜想；臆断"
descend,"vi. 下降；下去；下来；遗传；屈尊
vt. 下去；沿…向下"
