giant,"n. 巨人；伟人； 巨大的动物
adj. 巨大的；巨人般的"
dawn,"n. 黎明；开端
vt. 破晓；出现；被领悟"
occupation,n. 职业；占有；消遣；占有期
promise,"n. 许诺，允诺；希望
vt. 允诺，许诺；给人以…的指望或希望
vi. 许诺；有指望，有前途"
vocal,"adj. 直言不讳的
adj. 歌唱的；声音的，有声的
n. 声乐作品；元音"
case,"n. 情况；实例；箱
vt. 包围；把…装于容器中"
crash,"n. 撞碎；坠毁；破产；轰隆声；睡觉
vi. 摔碎；坠落；发出隆隆声；(金融企业等)破产
vt. 打碎；使坠毁、撞坏；擅自闯入"
engagement,"n. 婚约；约会；交战；诺言
n. 参与度（指用户点赞、转发、评论、下载文档、观看视频、咨询等交互行为）"
record,"n. 档案，履历；唱片；最高纪录
adj. 创纪录的
vt. 记录，记载；标明；将...录音
vi. 记录；录音"
rounded,adj. 圆形的；全面的；丰满的
sharp,"n. 尖头；骗子；内行
adj. 急剧的；锋利的；强烈的；敏捷的；刺耳的
vt. 磨快；把音调升高
adv. 急剧地；锐利地；突然地
vi. 打扮；升音演奏"
translate,"vt. 翻译；转化；解释；转变为；调动
vi. 翻译"
campaign,"n. 运动；活动；战役
vi. 作战；参加竞选；参加活动"
connection,n. 连接；关系；人脉；连接件
fan,"n. 迷；风扇；爱好者
vt. 煽动；刺激；吹拂
vi. 成扇形散开；飘动"
favor,"n. 喜爱；欢心；好感
vt. 赞成；喜欢；像；赐予；证实"
find,"n. 发现
vi. 裁决
vt. 查找，找到；发现；认为；感到；获得"
inspire,vt. 激发；鼓舞；启示；产生；使生灵感
justice,n. 司法，法律制裁；正义；法官，审判员
official,"adj. 官方的；正式的；公务的
n. 官员；公务员；高级职员"
pressure,"n. 压力；压迫， 压强
vt. 迫使；密封；使……增压"
capture,"n. 捕获；战利品，俘虏
vt. 俘获；夺得；捕捉，拍摄,录制"
craft,"n. 工艺；手艺；太空船
vt. 精巧地制作"
earn,vt. 赚，赚得；获得，挣得；使得到；博得
figure,"n. 数字；人物；图形；价格；（人的）体形；画像
vt. 计算；认为；描绘；象征
vi. 计算；出现；扮演角色"
hero,n. 英雄；男主角，男主人公
letter,"n. 信；字母，文字；证书；文学，学问；字面意义
vt. 写字母于
vi. 写印刷体字母"
modest,adj. 谦虚的，谦逊的；适度的；端庄的；羞怯的
obscure,"adj. 昏暗的，朦胧的；晦涩的，不清楚的；隐蔽的；不著名的，无名的
vt. 使…模糊不清，掩盖；隐藏；使难理解
n. 某种模糊的或不清楚的东西"
respectable,"n. 可敬的人
adj. 值得尊敬的；人格高尚的；相当数量的"
runaway,"n. 逃跑；逃走的人
adj. 逃亡的；逃走的"
sketch,"n. 素描；略图；梗概
vt. 画素描或速写
vi. 画素描或速写"
alongside,"prep. 在……旁边
adv. 在旁边"
graduate,"n. 研究生；毕业生
adj. 毕业的；研究生的
vt. 授予…学位；分等级；标上刻度
vi. 毕业；渐变"
identify,vt. 确定；鉴定；识别，辨认出；使参与；把…看成一样 vi. 确定；认同；一致
interest,"n. 兴趣，爱好；利息；趣味；同行
vt. 使……感兴趣；引起……的关心；使……参与"
meet,"vt. 满足；遇见；对付
vi. 相遇；接触
n. 集会
adj. 合适的；适宜的"
present,"n. 现在；礼物；瞄准
adj. 现在的；出席的
vt. 提出；介绍；呈现；赠送
vi. 举枪瞄准"
colorful,adj. 华美的；有趣的；富有色彩的
union,n. 联盟，协会；工会；联合
diet,"n. 饮食；食物；规定饮食
vt.  照规定饮食
vi. 节食"
address,"n. 地址；演讲；致辞；说话的技巧；称呼
vt. 演说；从事；忙于；写姓名地址；向…致辞；与…说话；提出；处理"
charter,"n. 宪章；执照；特许状
vt. 特许；包租；发给特许执照"
fine,"n. 罚款
adj. 好的；优良的；细小的，精美的；健康的；晴朗的
vt. 罚款；澄清
adv. 很好地；精巧地"
mass,"n. 块，团；群众，民众；大量，众多；质量
adj. 群众的，民众的；大规模的，集中的
vi. 聚集起来，聚集
vt. 使集合"
alongside,"prep. 在……旁边
adv. 在旁边"
corrupt,"adj. 腐败的，贪污的；堕落的
vt. 使腐烂；使堕落，使恶化
vi. 堕落，腐化；腐烂"
identify,vt. 确定；鉴定；识别，辨认出；使参与；把…看成一样 vi. 确定；认同；一致
pressure,"n. 压力；压迫， 压强
vt. 迫使；密封；使……增压"
sentiment,n. 感情，情绪；情操；观点；多愁善感
consideration,n. 考虑；原因；关心；报酬
aggressive,adj. 侵略性的；好斗的；有进取心的；有闯劲的
aside,"prep. 在…旁边
n. 旁白；私语，悄悄话；离题的话
adv. 离开，撇开；在旁边"
dwarf,"n. 侏儒，矮子
adj. 矮小的
vi. 变矮小
vt. 使矮小"
overhead,"adv. 在头顶上；在空中；在高处
adj. 高架的；在头上的；在头顶上的
n. 天花板； 经常费用；间接费用；吊脚架空层"
physical,"n. 体格检查
adj.  物理的；身体的；物质的；根据自然规律的，符合自然法则的"
upset,"n. 混乱；翻倒；颠覆
adj. 心烦的；混乱的；弄翻的
vt. 使心烦；颠覆；扰乱
vi. 翻倒"
enlist,"vt. 使入伍；征募；谋取…的赞助或帮助
vi. 支持；从军；应募；赞助"
navigate,"vt. 驾驶，操纵；使通过；航行于
vi. 航行，航空"
point,"n. 要点；得分；标点； 尖端
vt. 指向；弄尖；加标点于
vi. 表明；指向"
setting,"n. 环境；安装；布置； 沉落
v. 放置；沉没；使…处于某位置（set的ing形式）"
stuck,"v. 刺（stick的过去式）
adj. 被卡住的；不能动的"
mend,"vt. 修理，修补；改善；修改
vi. 改善，好转
n. 好转，改进；修补处"
perfectly,adv. 完美地；完全地；无瑕疵地
perspective,"n. 观点；远景；透视图
adj. 透视的"
see,"vi. 看；看见；领会
vt. 看见；理解；领会"
extraction,n. 取出；抽出；拔出；抽出物；出身
functional,adj. 功能的
subject,"n. 主题；科目； 主语；国民
adj. 服从的；易患…的；受制于…的
vt. 使…隶属；使屈从于…"
indefensible,adj. 站不住脚的；不能防卫的；无辩护余地的
novel,"adj. 新奇的；异常的
n. 小说"
swallow,"n. 燕子；一次吞咽的量
vt. 忍受；吞没
vi. 吞下；咽下"
upset,"n. 混乱；翻倒；颠覆
adj. 心烦的；混乱的；弄翻的
vt. 使心烦；颠覆；扰乱
vi. 翻倒"
drive,"n. 驱动器；驾车； 内驱力，推进力；快车道
vi. 开车；猛击；飞跑
vt. 推动，发动（机器等）；驾驶（马车，汽车等）；驱赶"
editorial,"n. 社论
adj. 编辑的；社论的"
literate,"adj. 受过教育的；精通文学的
n. 学者"
model,"n. 模型；典型；模范；模特儿；样式
vt. 模拟；塑造；模仿
vi. 做模型；做模特儿
adj. 模范的；作模型用的"
panel,"n. 仪表板；嵌板；座谈小组，全体陪审员
vt. 嵌镶板"
screen,"n. 屏，幕；屏风
vt. 筛；拍摄；放映；掩蔽
vi. 拍电影"
absence,n. 没有；缺乏；缺席；不注意
betray,vt. 背叛；出卖；泄露（秘密）；露出…迹象
circulation,n. 流通，传播；循环；发行量
wound,"n. 创伤，伤口
vt. 使受伤
vi. 受伤，伤害"
matter,"n. 物质；事件
vi. 有关系；要紧"
agenda,n. 议程；日常工作事项；日程表
assimilation,n. 同化；吸收； 同化作用
conceive,"vi. 怀孕；设想；考虑
vt. 怀孕；构思；以为；持有"
construct,"n. 构想，概念
vt. 建造，构造；创立"
formal,"n. 正式的社交活动；夜礼服
adj. 正式的；拘谨的；有条理的"
implicit,adj. 含蓄的；暗示的；盲从的
inform,"vi. 告发；告密
vt. 通知；告诉；报告"
mouthpiece,n. 喉舌；代言人；送话口
obscure,"adj. 昏暗的，朦胧的；晦涩的，不清楚的；隐蔽的；不著名的，无名的
vt. 使…模糊不清，掩盖；隐藏；使难理解
n. 某种模糊的或不清楚的东西"
reading,"n. 阅读，朗读；读物；读数
v. 阅读（read的ing形式）
adj. 阅读的"
reconstruct,vt. 重建；改造；修复；重现
league,"n. 联盟；社团；范畴
vt. 使…结盟；与…联合
vi. 团结；结盟"
projection,n. 投射；规划；突出；发射；推测
sheer,"n. 偏航；透明薄织物
adj. 绝对的；透明的；峻峭的；纯粹的
vt. 使偏航；使急转向
adv. 完全；陡峭地
vi. 偏航"
benefit,"n. 利益，好处；救济金
vt. 有益于，对…有益
vi. 受益，得益"
ready,"n. 现款；预备好的状态
adj. 准备好；现成的；迅速的；情愿的；快要…的
vt. 使准备好
adv. 迅速地；预先"
insurance,n. 保险；保险费；保险契约；赔偿金
ground,"n. 地面；土地；范围；战场;根据
v. 研磨（grind的过去分词）；压迫
adj. 土地的；地面上的；磨碎的；磨过的
vt. 使接触地面；打基础；使搁浅
vi. 着陆；搁浅"
pile,"n. 堆；大量；建筑群
vt. 累积；打桩于
vi. 挤；堆积；积累"
nuisance,n. 讨厌的人；损害；麻烦事；讨厌的东西
filer,n. 锉磨工人；文件编档员；文件装钉员
due,"n. 应付款；应得之物
adj. 到期的；预期的；应付的；应得的
adv. 正（置于方位词前）"
bar,"n. 条，棒；酒吧；障碍；法庭
prep. 除……外
vt. 禁止；阻拦"
path,n. 道路；小路；轨道
around,"prep. 四处；在…周围
adv. 大约；到处；在附近"
body,"n. 身体；主体；大量；团体；主要部分
vt. 赋以形体"
opponent,"n. 对手；反对者；敌手
adj. 对立的；敌对的"
string,n. 线，弦，细绳；一串，一行
draw,"n. 平局；抽签
vi. 拉；拖
vt. 画；拉；吸引"
class,"n. 阶级；班级；种类；班；等级
adj. 极好的；很好的，优秀的，出色的
vt. 分类；把…分等级；把…归入某等级，把…看作（或分类、归类）；把…编入某一班级
vi. 属于…类（或等级），被列为某类（或某级）"
exercise,"n. 运动；练习；运用；操练；礼拜；典礼
vt. 锻炼；练习；使用；使忙碌；使惊恐
vi. 运动；练习"
cement,"n. 水泥；接合剂
vt. 巩固，加强；用水泥涂；接合
vi. 粘牢"
row,"n. 行，排；划船；街道；吵闹
vt. 划船；使……成排
vi. 划船；争吵"
address,"n. 地址；演讲；致辞；说话的技巧；称呼
vt. 演说；从事；忙于；写姓名地址；向…致辞；与…说话；提出；处理"
liberal,"adj. 自由主义的；慷慨的；不拘泥的；宽大的
n. 自由主义者"
president,n. 总统；董事长；校长；主席
executive,"n. 总经理；执行委员会；执行者；经理主管人员
adj. 行政的；经营的；执行的，经营管理的"
informed,"v. 通知；使了解；提供资料（inform的过去分词）
adj. 消息灵通的；见多识广的"
obscure,"adj. 昏暗的，朦胧的；晦涩的，不清楚的；隐蔽的；不著名的，无名的
vt. 使…模糊不清，掩盖；隐藏；使难理解
n. 某种模糊的或不清楚的东西"
literally,adv. 照字面地；逐字地；不夸张地；正确地；简直
map,"vt. 映射；计划；绘制地图；确定基因在染色体中的位置
n. 地图；示意图；染色体图
vi. 基因被安置"
settlement,n. 解决，处理； 结算；沉降；殖民
complex,"n. 复合体；综合设施
adj. 复杂的；合成的"
sample,"n. 样品；样本；例子
adj. 试样的，样品的；作为例子的
vt. 取样；尝试；抽样检查"
yield,"n. 产量；收益
vt. 屈服；出产，产生；放弃
vi. 屈服，投降"
field,"n. 领域；牧场；旷野；战场；运动场
adj. 扫描场；田赛的；野生的
vt. 把暴晒于场上；使上场
vi. 担任场外队员"
seal,"n. 密封；印章；海豹；封条；标志
vt. 密封；盖章
vi. 猎海豹"
attribute,"n. 属性；特质
vt. 归属；把…归于"
comb,"n. 梳子；蜂巢；鸡冠
vt. 梳头发；梳毛
vi. （浪）涌起"
remains,n. 残余；遗骸
composition,n. 作文，作曲，作品； 构成；合成物；成分
convention,n. 大会； 惯例； 约定； 协定；习俗
harmony,n. 协调；和睦；融洽；调和
free,"adj. 免费的；自由的，不受约束的； 游离的
vt. 使自由，解放；释放
adv. 自由地；免费"
dynamics,n. 动力学，力学
volume,"n. 量；体积；卷；音量；大量；册
adj. 大量的
vt. 把…收集成卷
vi. 成团卷起"
passage,n. 一段（文章）；走廊；通路
quality,"n. 质量， 品质；特性；才能
adj. 优质的；高品质的；<英俚>棒极了"
sentence,"n.  句子，命题；宣判，判决
vt. 判决，宣判"
admission,n. 承认；入场费；进入许可；坦白；录用
scale,"n. 规模；比例；鳞；刻度；天平；数值范围
vt. 测量；攀登；刮鳞；依比例决定
vi. 衡量；攀登；剥落；生水垢"
otherwise,"adv. 否则；另外；在其他方面
adj. 另外的；其他方面的；原本，本来
conj. 其他；如果不；然后"
bargain,"n. 交易；便宜货；契约
v. 讨价还价；议价；(谈价钱后)卖"
turnaround,n. 转变；转向；突然好转；回车道
wash,"n. 洗涤；洗的衣服；化妆水；冲积物
vt. 洗涤；洗刷；冲走；拍打
vi. 洗澡；被冲蚀"
knit,"vi. 编织；结合；皱眉
vt. 编织；结合
n. 编织衣物；编织法"
strain,"n. 张力；拉紧；负担；扭伤；血缘
vt. 拉紧；滥用；滤去；竭力
vi. 拉紧；尽力
n. （植物、动物的）品种；种类"
craft,"n. 工艺；手艺；太空船
vt. 精巧地制作"
constant,"n.  常数；恒量
adj. 不变的；恒定的；经常的"
track,"n. 轨道；足迹，踪迹；小道
vt. 追踪；通过；循路而行；用纤拉
vi. 追踪；走；留下足迹"
ill,"n. 疾病；不幸
adj. 生病的；坏的；邪恶的；不吉利的
adv. 不利地；恶劣地；几乎不"
appreciation,n. 欣赏，鉴别；增值；感谢
constitution,n. 宪法；体制；章程；构造；建立，组成；体格
defeat,"n. 失败的事实；击败的行为
vt. 击败，战胜；挫败；使…失败"
contest,"n. 竞赛；争夺；争论
vt. 争辩；质疑
vi. 竞争；争辩"
fashion,"n. 时尚；时装；样式；时髦人物
vt. 使用；改变；做成…的形状"
robust,adj. 强健的；健康的；粗野的；粗鲁的
administration,n. 管理；行政；实施；行政机构
trick,"n. 诡计；恶作剧；窍门；花招；骗局；欺诈
adj. 特技的；欺诈的；有决窍的
vt. 欺骗；哄骗；装饰；打扮
vi. 哄骗；戏弄"
direct,"adj. 直接的；直系的；亲身的；恰好的
vt. 管理；指挥；导演；指向
adv. 直接地；正好；按直系关系
vi. 指导；指挥"
stem,"n. 干；茎；船首；血统
vt. 阻止；除去…的茎；给…装柄
vi. 阻止；起源于某事物；逆行"
strike,"n. 罢工；打击；殴打
vi. 打，打击；罢工；敲，敲击；抓；打动；穿透
vt. 打，击；罢工；撞击，冲击；侵袭；打动；到达"
code,"n. 代码，密码；编码；法典
vt. 编码；制成法典
vi. 指定遗传密码"
raise,"n. 高地；上升；加薪
vt. 提高；筹集；养育；升起
vi. 上升"
line,"n. 路线，航线；排；绳
vt. 排成一行；划线于；以线条标示；使…起皱纹
vi. 排队；站成一排"
cultivate,vt. 培养；陶冶；耕作
question,"n. 问题，疑问；询问；疑问句
vt. 询问；怀疑；审问
vi. 询问；怀疑；审问"
mobilize,"vt. 动员，调动；集合，组织；使…流通；使…松动
vi. 组织；动员起来"
engineer,"n. 工程师；工兵；火车司机
vt. 设计；策划；精明地处理
vi. 设计；建造"
desperate,adj. 不顾一切的；令人绝望的；极度渴望的
surface,"n. 表面；表层；外观
adj. 表面的，肤浅的
vt. 使浮出水面；使成平面
vi. 浮出水面"
operate,"vi. 运转；动手术；起作用
vt. 操作；经营；引起；对…开刀"
subject,"n. 主题；科目； 主语；国民
adj. 服从的；易患…的；受制于…的
vt. 使…隶属；使屈从于…"
condition,"n. 条件；情况；环境；身份
vt. 决定；使适应；使健康；以…为条件"
obscure,"adj. 昏暗的，朦胧的；晦涩的，不清楚的；隐蔽的；不著名的，无名的
vt. 使…模糊不清，掩盖；隐藏；使难理解
n. 某种模糊的或不清楚的东西"
review,"n. 回顾；复习；评论；检讨；检阅
vt. 回顾；检查；复审
vi. 回顾；复习功课；写评论"
plant,"n. 工厂，车间；植物；设备；庄稼
vt. 种植；培养；栽培；安置
vi. 种植"
stake,"n. 桩，棍子；赌注；火刑；奖金
vt. 资助，支持；系…于桩上；把…押下打赌
vi. 打赌"
interaction,"n. 相互作用； 交互作用
n. 互动"
prime,"n. 初期；青年；精华；全盛时期
adj. 主要的；最好的；基本的
vt. 使准备好；填装
vi. 作准备
adv. 极好地"
bright,"n. 车头灯光
adj. 明亮的，鲜明的；聪明的；愉快的
adv. 明亮地；光明地；欢快地"
modest,adj. 谦虚的，谦逊的；适度的；端庄的；羞怯的
generous,adj. 慷慨的，大方的；宽宏大量的；有雅量的
secure,"vt. 保护；弄到；招致；缚住
adj. 安全的；无虑的；有把握的；稳当的
vi. 获得安全；船抛锚；停止工作"
variable,"n.  变量；可变物，可变因素
adj. 变量的；可变的；易变的，多变的；变异的， 畸变的"
norm,n. 标准，规范
labour,n. （英国）工党
celebrate,"vt. 庆祝；举行；赞美；祝贺；宣告
vi. 庆祝；过节；举行宗教仪式"
strip,"n. 带；条状；脱衣舞
vt. 剥夺；剥去；脱去衣服
vi. 脱去衣服"
spark,"n. 火花；朝气；闪光
vt. 发动；鼓舞；求婚
vi. 闪烁；发火花；求婚"
shape,"n. 形状；模型；身材；具体化
vt. 形成；塑造，使成形；使符合
vi. 形成；成形；成长"
mount,"vt. 增加；爬上；使骑上马；安装，架置；镶嵌，嵌入；准备上演；成立（军队等）
vi. 爬；增加；上升
n. 山峰；底座；乘骑用马；攀，登；运载工具；底座
v. 登上；骑上"
bear,"n. 熊
vt. 结果实，开花（正式）
vt. 忍受；承受；具有；支撑"
enterprise,n. 企业；事业；进取心；事业心
dimension,"n. 方面; 维；尺寸；次元；容积 vt. 标出尺寸
adj. 规格的"
universe,n. 宇宙；世界；领域
acquisition,n. 获得物，获得；收购
dictate,"n. 命令；指示
vt. 命令；口述；使听写
vi. 口述；听写"
unfold,"vi. 展开；显露
vt. 打开；呈现"
build,"n. 构造；体形；体格
vi. 建筑；建造
vt. 建立；建筑"
tone,"n. 语气；色调；音调；音色
vt. 增强；用某种调子说
vi. 颜色调和；呈现悦目色调"
state,"n. 国家；州；情形
adj. 国家的；州的；正式的
vt. 规定；声明；陈述"
contract,"n. 合同；婚约
vt. 感染；订约；使缩短
vi. 收缩；感染；订约"
suggest,vt. 提议，建议；启发；使人想起；显示；暗示
air,"n. 空气，大气；天空；样子；曲调
vt. 使通风，晾干；夸耀
vi. 通风"
institution,n. 制度；建立；（社会或宗教等）公共机构；习俗
straight,"n. 直；直线；直男，直女，异性恋者
adj. 直的；连续的；笔直的；正直的；整齐的；异性恋的
adv. 直接地；不断地；立即；坦率地"
broadcast,"n. 广播；播音；广播节目
adj. 广播的
vt. 播送，播放；（无线电或电视）广播；播撒（种子）
vi. 广播，播送；播放"
board,"n. 董事会；木板；甲板；膳食
vt. 上（飞机、车、船等）；用板盖上；给提供膳宿
vi. 寄宿"
cloud,"n. 云；阴云；云状物；一大群；黑斑
vt. 使混乱；以云遮敝；使忧郁；玷污
vi. 阴沉；乌云密布"
turnover,"n. 翻覆； 营业额；流通量；半圆卷饼；失误
adj. 翻过来的；可翻转的"
sitting,"n. 入席，就坐；开庭；孵卵；坐着的一段时间
v. 坐；坐落（sit的ing形式）
adj. 坐着的；孵卵中的；在任期中的"
approach,"n. 方法；途径；接近
vt. 接近；着手处理
vi. 靠近"
traffic,"n. 交通；运输；贸易； 通信量
vt. 用…作交换；在…通行
vi. 交易，买卖"
voice,"n. 声音；嗓音；发言权；愿望
vt. 表达；吐露"
fulfill,vt. 履行；实现；满足；使结束（等于fulfil）
feature,"n. 特色，特征；容貌；特写或专题节目
vt. 特写；以…为特色；由…主演
vi. 起重要作用"
celebrate,"vt. 庆祝；举行；赞美；祝贺；宣告
vi. 庆祝；过节；举行宗教仪式"
humanity,n. 人类；人道；仁慈；人文学科
discipline,"n. 学科；纪律；训练；惩罚
vt. 训练，训导；惩戒"
post,"n. 岗位；邮件；标杆
vt. 张贴；公布；邮递；布置
vi. 快速行进"
grant,"n. 拨款； 授予物
vt. 授予；允许；承认
vi. 同意"
academic,"n. 大学生，大学教师；学者
adj. 学术的；理论的；学院的"
prospect,"n. 前途；预期；景色
vt. 勘探，勘察
vi. 勘探，找矿"
plateau,"n. 高原
n.   普拉托
n. （活动或进程中的）稳定阶段，停滞时期
adj. 高原印第安人的"
scope,"n. 范围；余地；视野；眼界；导弹射程
vt. 审视"
about,"prep. 关于；大约
n. 大致；粗枝大叶；不拘小节的人
adj. 在附近的；四处走动的；在起作用的
adv. 大约；周围；到处"
casual,"n. 便装；临时工人；待命士兵
adj. 随便的；非正式的；临时的；偶然的"
elaborate,"adj. 精心制作的；详尽的；煞费苦心的
vi. 详细描述；变复杂
vt. 精心制作；详细阐述；从简单成分合成（复杂有机物）"
foremost,"adj. 最重要的；最先的
adv. 首先；居于首位地"
stylist,n. 设计师；文体学家
knight,"n. 骑士，武士；爵士
vt. 授以爵位"
save,"prep. 除...之外
n. 救援
vi. 节省；挽救
vt. 节省；保存；储蓄；解救"
move,"n. 移动；步骤；迁居；策略
vi. 移动；搬家，迁移；离开
vt. 移动；感动"
dismiss,"vt. 解散；解雇；开除；让...离开；不予理会、不予考虑
vi. 解散"
claim,"n. 要求；声称；索赔；断言；值得
vt. 要求；声称；需要；认领
vi. 提出要求"
pool,"n. 联营；撞球；水塘；共同资金
vt. 合伙经营
vi. 联营，合伙经营"
explosion,n. 爆炸；爆发；激增
issue,"n. 问题；流出；期号；发行物
vt. 发行，发布；发给；放出，排出
vi. 发行；流出；造成…结果；传下"
practice,"n. 实践；练习；惯例
vt. 练习；实习；实行
vi. 练习；实习；实行"
hear,"vi. 听；听见
vt. 听到，听；听说；审理"
signal,"n. 信号；暗号；导火线
adj. 显著的；作为信号的
vt. 标志；用信号通知；表示
vi. 发信号"
obvious,adj. 明显的；显著的；平淡无奇的
supposed,"v. 假定（suppose的过去分词）
adj. 假定的；被信以为真的；想象上的"
embrace,"n. 拥抱
vt. 拥抱；信奉，皈依；包含
vi. 拥抱"
variable,"n.  变量；可变物，可变因素
adj. 变量的；可变的；易变的，多变的；变异的， 畸变的"
fetch,"n. 取得；诡计
vt. 取来；接来；到达；吸引
vi. 拿；取物；卖得"
compromise,"n. 妥协，和解；折衷
vt. 妥协；危害
vi. 妥协；让步"
carry,"n. 运载； 进位；射程
vi. 能达到；被携带；被搬运
vt. 拿，扛；携带；支持；搬运"
cry,"n. 叫喊；叫声；口号；呼叫
vi. 哭；叫；喊
vt. 叫喊；哭出；大声说"
book,"n. 书籍；卷；帐簿；名册；工作簿
vt. 预订；登记"
hostility,n. 敌意；战争行动
invite,"n. 邀请
vt. 邀请，招待；招致"
approach,"n. 方法；途径；接近
vt. 接近；着手处理
vi. 靠近"
range,"n. 范围；幅度；排；山脉
vt. 漫游；放牧；使并列；归类于；来回走动
vi. （在...内）变动；平行，列为一行；延伸；漫游；射程达到"
mask,"n. 面具；口罩；掩饰
vi. 掩饰；戴面具；化装
vt. 掩饰；戴面具；使模糊"
come,"vi. 来；开始；出现；发生；变成；到达
vt. 做；假装；将满（…岁）
int. 嗨！"
stand,"n. 站立；立场；看台；停止
vi. 站立；位于；停滞
vt. 使站立；忍受；抵抗"
invent,vt. 发明；创造；虚构
account,"n. 账户；解释；账目，账单；理由；描述
vt. 认为；把…视为
vi. 解释；导致；报账"
point,"n. 要点；得分；标点； 尖端
vt. 指向；弄尖；加标点于
vi. 表明；指向"
game,"n. 游戏；比赛
adj. 勇敢的
vi. 赌博"
twist,"n. 扭曲；拧；扭伤
vt. 捻；拧；扭伤；编织；使苦恼
vi. 扭动；弯曲"
drive,"n. 驱动器；驾车； 内驱力，推进力；快车道
vi. 开车；猛击；飞跑
vt. 推动，发动（机器等）；驾驶（马车，汽车等）；驱赶"
determine,"v. （使）下决心，（使）做出决定
vt. 决定，确定；判定，判决；限定
vi. 确定；决定；判决，终止；了结，终止，结束"
name,"n. 名称，名字；姓名；名誉
vt. 命名，任命；指定；称呼；提名；叫出
adj. 姓名的；据以取名的"
bachelor,n. 学士；单身汉；（尚未交配的）小雄兽
equip,vt. 装备，配备
gift,"n. 礼物；天赋；赠品
vt. 赋予；向…赠送"
principal,"adj. 主要的；资本的
n. 首长；校长；资本；当事人"
