textbook,n. 教科书，课本
score,"n. 分数；二十；配乐；刻痕
vt. 获得；评价；划线，刻划；把…记下
vi. 得分；记分；刻痕"
background,"n. 背景；隐蔽的位置
adj. 背景的；发布背景材料的
vt. 作…的背景"
interview,"n. 接见，采访；面试，面谈
vt. 采访；接见；对…进行面谈；对某人进行面试"
Asian,"n. 亚洲人
adj. 亚洲的；亚洲人的"
deal,"n. 交易；（美）政策；待遇；份量
vi. 处理；讨论；对待；做生意
vt. 处理；给予；分配；发牌"
deal with,"na. 办理；对待；与…交涉；与…交易
 处理；对付；应付"
shyness,n. 羞怯
dare,"n. 挑战；挑动
vt. 敢冒；不惧
vi. 敢；胆敢"
crowd,"n. 群众,一伙;一堆,许多,大众
v. 拥挤,挤满,挤进
vt. 挤满,将...塞进;催促,催逼
vi. 挤,拥挤,聚集"
ton,n. 吨；很多，大量
private,"n. 列兵；二等兵
adj. 私人的；私有的；私下的"
guard,"n. 守卫；警戒；护卫队；防护装置
vi. 警惕
vt. 保卫；监视"
require,vt. 需要；要求；命令
European,"n. 欧洲人
adj. 欧洲的；欧洲人的"
African,"n. 非洲人
adj. 非洲的，非洲人的"
British,"n. 英国人
adj. 英国的；英国人的；大不列颠的"
speech,n. 演讲；讲话； 语音；演说
public,"n. 公众；社会；公共场所
adj. 公众的；政府的；公用的；公立的"
in public,"na. 公然
 当众；公开地；在公共场合"
ant,n. 蚂蚁
insect,n. 昆虫；卑鄙的人
seldom,adv. 很少，不常
influence,"n. 影响；势力；感化；有影响的人或事
vt. 影响；改变"
absent,"adj. 缺席的；缺少的；心不在焉的；茫然的
vt. 使缺席"
fail,"n. 不及格
vi. 失败，不及格；破产；缺乏；衰退
vt. 不及格；使失望；忘记；舍弃"
examination,n. 考试；检查；查问
boarding school,"n. 寄宿学校
 寄宿制学校；寄宿中学；寄宿制私立中学"
in person,"na. 亲自；身体上；外貌上
 本人；当面；亲自上阵"
exactly,adv. 恰好地；正是；精确地；正确地
pride,"n. 自豪；骄傲；自尊心
vt. 使得意，以…自豪
vi. 自豪"
take pride in,"na. 以…自豪；对…感到满意
 对…感到自豪；以……为自豪；骄傲"
proud,adj. 自豪的；得意的；自负的
be proud of,"na. 以…自豪
 为…自豪；骄傲；以……为骄傲"
general,"n. 一般；将军，上将；常规
adj. 一般的，普通的；综合的；大体的"
introduction,n. 介绍；引进；采用；入门；传入
Paula,找不到解释
Alfred,找不到解释
Billy,找不到解释
Candy,找不到解释
Jerry,找不到解释
Emily,找不到解释
chopstick,n. 筷子
coin,"n. 硬币，钱币
vt. 铸造（货币）；杜撰，创造"
fork,"n. 叉；餐叉；耙
vt. 叉起；使成叉状
vi. 分叉；分歧"
blouse,"n. 宽松的上衣；女装衬衫
vt. 使…宽松下垂
vi. 宽松下垂"
silver,"n. 银；银器；银币；银质奖章；餐具；银灰色
adj. 银的；含银的；有银色光泽的；口才流利的；第二十五周年的婚姻
vt. 镀银；使有银色光泽
vi. 变成银色"
glass,"n. 玻璃；玻璃制品；镜子
vt. 反映；给某物加玻璃
vi. 成玻璃状"
cotton,"n. 棉花；棉布；棉线
adj. 棉的；棉制的
vi. 一致；理解；和谐；亲近"
steel,"n. 钢铁；钢制品；坚固
adj. 钢制的；钢铁业的；坚强的
vt. 钢化；使冷酷"
fair,"n. 展览会；市集；美人
adj. 公平的；美丽的，白皙的； 晴朗的
vi. 转晴
adv. 公平地；直接地；清楚地"
environmental,adj. 环境的，周围的；有关环境的
grass,"n. 草；草地，草坪
vt. 放牧；使……长满草；使……吃草
vi. 长草"
leaf,"n. 叶子；（书籍等的）一张；扇页
vi. 生叶；翻书页
vt. 翻…的页，匆匆翻阅"
produce,"n. 农产品，产品
vt. 生产；引起；创作；生育，繁殖
vi. 生产，创作"
widely,adv. 广泛地
be known for,"un. 公认；闻名；以…著称
 因…而出名；因为…而出名；以……著称"
process,"n. 过程，进行；方法，步骤；作用；程序；推移
adj. 经过特殊加工（或处理）的
vt. 处理；加工
vi. 列队前进"
pack,"n. 包装；一群；背包；包裹；一副
vt. 包装；压紧；捆扎；挑选；塞满
vi. 挤；包装货物；被包装；群集"
product,n. 产品；结果； 乘积；作品
France,n. 法国；法郎士（姓氏）
no matter,"na. 没事儿
 无论；不管；不论"
local,"n.  局部；当地居民；本地新闻
adj. 当地的；局部的；地方性的；乡土的"
brand,"n. 商标，牌子；烙印
vt. 铭刻于，铭记；打烙印于；印…商标于"
avoid,vt. 避免；避开，躲避；消除
handbag,n. 手提包
mobile,"adj. 可移动的；机动的；易变的；非固定的
n. 运动物体"
everyday,"n. 平时；寻常日子
adj. 每天的，日常的"
boss,"n. 老板；首领；工头
vt. 指挥，调遣；当…的领导
vi. 当首领，发号施令"
Germany,n. 德国
surface,"n. 表面；表层；外观
adj. 表面的，肤浅的
vt. 使浮出水面；使成平面
vi. 浮出水面"
material,"adj. 重要的；物质的，实质性的；肉体的
n. 材料，原料；物资；布料"
traffic,"n. 交通；运输；贸易； 通信量
vt. 用…作交换；在…通行
vi. 交易，买卖"
postman,n. 邮递员；邮差
cap,"n. 盖；帽子
vt. 覆盖；胜过；给…戴帽；加盖于
vi. 脱帽致意"
glove,"n. 手套
vt. 给…戴手套"
international,"n. 国际组织；国际体育比赛；外国居留者；国际股票
adj. 国际的；两国（或以上）国家的；超越国界的；国际关系的；世界的"
competitor,n. 竞争者，对手
its,pron. 它的
form,"n. 形式，形状；形态，外形；方式；表格
vt. 构成，组成；排列，组织；产生，塑造
vi. 形成，构成；排列"
clay,"n.  粘土；泥土；肉体；似黏土的东西
vt. 用黏土处理"
celebration,n. 庆典，庆祝会；庆祝；颂扬
balloon,"n. 气球
adj. 像气球般鼓起的
vt. 使像气球般鼓起；使激增
vi. 激增；膨胀如气球"
paper cutting,"n. 剪纸(艺术)
 中国的剪纸艺术；窗花剪纸；剪纸作品"
scissors,"n. 剪刀；剪式跳法
v. 剪开；删除（scissor的第三人称单数）"
lively,adj. 活泼的；生动的；真实的；生气勃勃的
fairy tale,"n. 童话故事；虚构的故事；妄言
 神话；神话故事；说谎"
historical,adj. 历史的；史学的；基于史实的
heat,"n. 高温；压力；热度；热烈
vt. 使激动；把…加热"
polish,找不到解释
complete,"adj. 完整的；完全的；彻底的
vt. 完成"
Korea,n. 韩国；朝鲜
Switzerland,n. 瑞士（欧洲国家）
San Francisco,"n. 旧金山
 三藩市；圣弗朗西斯科；美国旧金山"
Marcus,n.  大铁锤
Pam,找不到解释
heel,"n. 脚后跟；踵
vt. 倾侧
vi. 倾侧"
scoop,"n. 勺；铲子；独家新闻；凹处
vt. 掘；舀取；抢先获得；搜集"
electricity,n. 电力；电流；强烈的紧张情绪
style,"n. 风格；时尚；类型；字体
vt. 设计；称呼；使合潮流
vi. 设计式样；用刻刀作装饰画"
project,"n. 工程；计划；事业
vt. 设计；计划；发射；放映
vi. 设计；计划；表达；投射"
pleasure,"n. 快乐；希望；娱乐；令人高兴的事
vt. 使高兴；使满意
vi. 高兴；寻欢作乐"
zipper,  齐珀
zip,"n. 拉链; 精力，活力; 尖啸声; 一种程序压缩格式
vt. 给予…速度; 用拉链拉上或扣上
vt.& vi. 尖啸而过; （使沿某方向）快速移动"
daily,"n. 日报；朝来夜去的女佣
adj. 日常的；每日的
adv. 日常地；每日；天天"
have a point, 有道理；很有道理；有点道理
website,n. 网站（全球资讯网的主机站）
pioneer,"n. 先锋；拓荒者
vt. 开辟；倡导；提倡
vi. 作先驱"
list,"n.  列表；清单；目录
vi. 列于表上
vt. 列出；记入名单内"
mention,"vt. 提到，谈到；提及，论及；说起
n. 提及，说起"
accidental,"n. 次要方面；非主要的特性；临时记号
adj. 意外的；偶然的；附属的；临时记号的"
by accident,"na. 偶然 (opp. on purpose)
 偶然地；意外；不小心"
ruler,n. 尺；统治者； 划线板，划线的人
boil,"n. 沸腾，煮沸；疖子
vt. 煮沸，烧开；使…激动；使…蒸发
vi. 煮沸，沸腾；激动，激昂"
remain,"n. 遗迹；剩余物，残骸
vi. 保持；依然；留下；剩余；逗留；残存"
smell,"n. 气味，嗅觉；臭味
vt. 嗅，闻；察觉到；发出…的气味
vi. 嗅，闻；有…气味"
saint,找不到解释
national,"adj. 国家的；国民的；民族的；国立的
n. 国民"
trade,"n. 贸易，交易；行业；职业
vt. 用…进行交换
vi. 交易，买卖；以物易物"
take place,"na. 发生；举行
 产生；多指通过人为安排的发生；进行"
popularity,n. 普及，流行；名气；受大众欢迎
doubt,"n. 怀疑；疑问；疑惑
v. 怀疑；不信；恐怕；拿不准"
without doubt,"na. 无疑
 毫无疑问；毫无疑问地；无疑地"
fridge,n. 电冰箱
low,"adj. 低的，浅的；卑贱的；粗俗的；消沉的
adv. 低声地；谦卑地，低下地
n. 低；低价；低点；牛叫声
vi. 牛叫"
somebody,"n. 大人物；重要人物
pron. 有人；某人"
translate,"vt. 翻译；转化；解释；转变为；调动
vi. 翻译"
lock,"vt. 锁，锁上；隐藏
vi. 锁；锁住；卡住
n. 锁；水闸；刹车"
ring,"n. 戒指；铃声，钟声；拳击场；环形物
vi. 按铃；敲钟；回响；成环形
vt. 按铃；包围；敲钟；套住"
earthquake,n. 地震；大动荡
sudden,"n. 突然发生的事
adj. 突然的，意外的；快速的"
all of a sudden,"na. “all at once”的变体；突然
 突然地；惊变；忽然"
bell,"n. 铃，钟；钟声，铃声；钟状物
vt. 装钟于，系铃于
vi. 鸣钟；成钟状鼓起"
biscuit,n. 小点心，饼干
cookie,n. 饼干；小甜点
musical,"adj. 音乐的；悦耳的
n. 音乐片"
instrument,n. 仪器；工具；乐器；手段；器械
crispy,adj. 酥脆的；易碎的；干净利落的；生气勃勃的
salty,adj. 咸的；含盐的
sour,"n. 酸味；苦事
adj. 酸的；发酵的；刺耳的；酸臭的；讨厌的
vt. 使变酸；使失望
vi. 发酵；变酸；厌烦"
by mistake,"na. 因错误
 错误地；错误的；错拿某物"
customer,n. 顾客；家伙
the Olympics, 奥运会；奥林匹克运动会；奥运风采
Canadian,"n. 加拿大人
adj. 加拿大（人）的"
divide,"n.  分水岭，分水线
vt. 划分；除；分开；使产生分歧
vi. 分开；意见分歧"
divide ... into,找不到解释
basket,"n. 篮子；（篮球比赛的）得分；一篮之量；篮筐
vt. 装入篮"
not only ... but also ...,找不到解释
look up to,"v. 尊敬；另眼看待；向…一举一动看齐
 敬仰；仰望；尊重"
hero,n. 英雄；男主角，男主人公
professional,"n. 专业人员；职业运动员
adj. 专业的；职业的；职业性的"
nearly,adv. 差不多，几乎；密切地
Berlin,n. 柏林
NBA,找不到解释
National Basketball Association,"un. 全国篮球协会
 国家篮球协会；全美篮球协会；美国职业篮球联赛"
CBA,找不到解释
China Basketball Association,找不到解释
Roy,找不到解释
Whitcomb Judson,找不到解释
Ruby,找不到解释
Thomas Watson,找不到解释
George Crum,找不到解释
James Naismith, 奈史密斯；詹姆斯·奈史密斯；詹姆士奈史密斯
license,"n. 执照，许可证；特许
vt. 许可；特许；发许可证给"
licence,"n. 许可证，执照；特许
vt. 特许，许可；发给执照"
safety,n. 安全；保险；安全设备；保险装置；安打
smoke,"n. 烟；抽烟；无常的事物
vt. 吸烟；抽
vi. 冒烟，吸烟；抽烟；弥漫"
part-time,"adj. 兼职的；部分时间的
adv. 兼职地；用部分时间地"
pierce,"vt. 刺穿；洞察；响彻；深深地打动
vi. 进入；透入"
earring,"n. 耳环，耳饰
v. 抽穗；听见（ear的ing形式）"
flash,"n. 闪光，闪现；一瞬间
adj. 闪光的，火速的
vt. 使闪光；反射
vi. 闪光，闪现；反射"
tiny,adj. 微小的；很少的
cry,"n. 叫喊；叫声；口号；呼叫
vi. 哭；叫；喊
vt. 叫喊；哭出；大声说"
field,"n. 领域；牧场；旷野；战场；运动场
adj. 扫描场；田赛的；野生的
vt. 把暴晒于场上；使上场
vi. 担任场外队员"
hug,"n. 拥抱；紧抱；固执
vi. 拥抱；紧抱在一起；挤在一起
vt. 拥抱；紧抱；抱有，坚持"
lift,"vt. 举起；提升；鼓舞；空运；抄袭
vi. 消散；升起；耸立
n. 电梯；举起；起重机；搭车"
badly,adv. 非常，很；严重地，厉害地；恶劣地
talk back,"na. 回嘴；反复重说；反唇相讥
 顶嘴；反驳；对讲"
awful,adj. 可怕的；极坏的；使人敬畏的
teen,"n. 青少年（等于teenager）；愤怒；悲哀
adj. 十几岁的（等于teenaged）"
regret,"n. 遗憾；抱歉；悲叹
vi. 感到后悔；感到抱歉
vt. 后悔；惋惜；哀悼"
poem,n. 诗
community,n. 社区； 群落；共同体；团体
keep ... away from,找不到解释
chance,"n. 机会，际遇；运气，侥幸；可能性
vt. 偶然发生；冒……的险
vi. 碰巧；偶然被发现"
make one's own decision,找不到解释
educate,"vt. 教育；培养；训练
vi. 教育；训练"
manage,"vt. 管理；经营；控制；设法
vi. 处理；应付过去"
society,n. 社会；交往；社团；社交界
get in the way of, 妨碍；碍事，妨碍；阻碍
support,"n. 支持，维持；支援，供养；支持者，支撑物
vt. 支持，支撑，支援；扶持，帮助；赡养，供养"
enter,"n.  输入；回车
vt. 进入；开始；参加
vi. 参加，登场；进去"
choice,"n. 选择；选择权；精选品
adj. 精选的；仔细推敲的"
Picasso,n. 毕加索(法国画家)
whose,pron. 谁的（疑问代词）
truck,"n. 卡车；交易；手推车
adj. （美）运货汽车的
vt. 交易；以卡车运输
vi. 驾驶卡车；以物易物"
picnic,"n. 野餐
vi. 去野餐"
rabbit,"n. 兔子，野兔
vt. 让…见鬼去吧
vi. 猎兔"
attend,"vi. 出席；致力于；照料；照顾
vt. 出席；上（大学等）；照料；招待；陪伴"
valuable,"n. 贵重物品
adj. 有价值的；贵重的；可估价的"
pink,"n. 粉红色；化身，典范；石竹花；头面人物
adj. 粉红的；比较激进的；石竹科的；脸色发红的
vt. 扎，刺，戳；使…变粉红色；使…面红耳赤
vi. 变粉红色"
anybody,"n. 重要人物
pron. 任何人"
happening,"n. 事件；意外发生的事
v. 发生；碰巧（happen的ing形式）"
noise,"n.  噪音；响声；杂音
vt. 谣传
vi. 发出声音；大声议论"
policeman,n. 警察，警员； 淀帚（橡皮头玻璃搅棒）
wolf,"n. 狼；色狼；残忍贪婪之人
vt. 大吃；狼吞虎咽地吃"
uneasy,adj. 不舒服的；心神不安的；不稳定的
laboratory,n. 实验室，研究室
outdoors,"adv. 在户外
n. 户外
adj. 户外的（等于outdoor）"
coat,"n. 外套
vt. 覆盖…的表面"
sleepy,adj. 欲睡的；困乏的；不活跃的
land,"n. 国土；陆地；地面
vt. 使…登陆；使…陷于；将…卸下
vi. 登陆；到达"
alien,"n. 外国人，外侨；外星人
adj. 外国的；相异的，性质不同的；不相容的
vt. 让渡，转让"
run after,"na. 追求；追赶；追捕
 追逐；在……之后跑；跟在后面跑"
suit,"n. 诉讼；恳求；套装，西装；一套外衣
vt. 适合；使适应
vi. 合适；相称"
express,"n. 快车，快递，专使；捷运公司
vt. 表达；快递
adj. 明确的；迅速的；专门的"
at the same time,"na. 同时；另一方面；与此同时
 然而；在同时；可是"
circle,"n. 循环，周期；圆；圈子；圆形物
vt. 画圆圈；环绕…移动
vi. 盘旋，旋转；环行"
Britain,n. 英国；不列颠
Great Britain,"n. 大不列颠（包括英格兰、苏格兰和威尔士）
 英国；大不列颠岛；大英帝国"
mystery,n. 秘密，谜；神秘，神秘的事物；推理小说，推理剧；常作 mysteries 秘技，秘诀
receive,"vt. 收到；接待；接纳
vi. 接收"
historian,n. 历史学家
leader,n. 领导者；首领；指挥者
midsummer,"n. 仲夏；盛夏；夏至
adj. 仲夏的"
medical,"adj. 医学的；药的；内科的
n. 医生；体格检查"
purpose,"n. 目的；用途；意志
vt. 决心；企图；打算"
prevent,"vt. 预防，防止；阻止
vi. 妨碍，阻止"
energy,n.  能量；精力；活力；精神
position,"n. 位置，方位；职位，工作；姿态；站位
vt. 安置；把……放在适当位置"
burial,"n. 埋葬；葬礼；弃绝
adj. 埋葬的"
honor,"n. 荣誉；信用；头衔
vt. 尊敬（等于honour）；给…以荣誉"
honour,"n. 荣誉；尊敬；勋章
vt. 尊敬； 承兑；承兑远期票据"
ancestor,n. 始祖，祖先；被继承人
victory,n. 胜利；成功；克服
enemy,"n. 敌人，仇敌；敌军
adj. 敌人的，敌方的"
period,"n. 周期，期间；时期；月经；课时；（语法学）句点，句号
adj. 某一时代的"
Stonehenge,n. 巨石阵；史前时期巨大石柱群
Carla,找不到解释
J.K.Rowling,找不到解释
Victor,找不到解释
Jean,找不到解释
Paul Stoker,找不到解释
prefer,"vt. 更喜欢；宁愿；提出；提升
vi. 喜欢；愿意"
lyrics,n. 歌词；抒情诗（lyric的复数）
Australian,"adj. 澳大利亚的，澳大利亚人的
n. 澳大利亚人"
electronic,"adj. 电子的
n. 电子电路；电子器件"
suppose,"conj. 假使…结果会怎样
vt. 假设；认为；让（虚拟语气）；推想
vi. 猜想；料想"
smooth,"n. 平滑部分；一块平地
adj. 顺利的；光滑的；平稳的
vt. 使光滑；消除（障碍等）；使优雅；缓和
adv. 光滑地；平稳地；流畅地
vi. 变平静；变平滑"
spare,"n. 剩余；备用零件
vt. 节约，吝惜；饶恕；分出，分让
adj. 多余的；瘦的；少量的
vi. 饶恕，宽恕；节约"
director,n. 主任，主管；导演；人事助理
case,"n. 情况；实例；箱
vt. 包围；把…装于容器中"
in that case,"na. 既然是那样
 既然那样；如果是那样的话；如果那样的话"
war,"n. 战争，斗争；军事，战术；冲突，对抗，竞争
vi. 打仗，作战；对抗"
stick,"n. 棍；手杖；呆头呆脑的人
vi. 坚持；伸出；粘住
vt. 刺，戳；伸出；粘贴"
stick to,"na. 忠于
 坚持；粘住；遵守"
down,"prep. 沿着，往下
n. 软毛，绒毛； 开阔的高地
adj. 向下的
vt. 打倒，击败
adv. 向下，下去；在下面
vi. 下降；下去"
dialog,n. 对话；会话
dialogue,"n. 对话；意见交换
vt. 用对话表达
vi. 对话"
ending,n. 结局；结尾
documentary,"n. 纪录片
adj. 记录的；文件的；记实的"
drama,n. 戏剧，戏剧艺术；剧本；戏剧性事件
plenty,"n. 丰富，大量；充足
adj. 足够的，很多的
adv. 足够"
plenty of,"na. 很多的
 许多；大量的；充足的"
shut,"n. 关闭
adj. 关闭的；围绕的
vi. 关上；停止营业
vt. 关闭；停业；幽禁"
shut off,"na. 阻断；使隔开
 关掉；切断；关闭"
superhero,n. 超级英雄
once in a while,偶尔；有时（等于every once in a while）
intelligent,adj. 智能的；聪明的；理解力强的
sense,"n. 感觉，功能；观念；道理；理智
vt. 感觉到；检测"
sadness,n. 悲哀
pain,"n. 疼痛；努力
vt. 使…痛苦；使…烦恼
vi. 感到疼痛；引起疼痛"
