symptom,n.  症状；征兆
enquire,"vi. 询问；调查；问候（等于inquire）
vt. 询问；打听"
inquiry,n. 探究；调查；质询
enquiry,n.  询问， 询盘
probe,"n. 探针；调查
vi. 调查；探测
vt. 探查；用探针探测"
theoretical,adj. 理论的；理论上的；假设的；推理的
empirical,adj. 经验主义的，完全根据经验的；实证的
investigate,v. 调查；研究
poll,"n. 投票；民意测验；投票数；投票所
adj. 无角的；剪过毛的；修过枝的
vt. 投票；剪短；对…进行民意测验；获得选票
vi. 投票"
science,n. 科学；技术；学科；理科
scientific,adj. 科学的，系统的
scientist,n. 科学家
research,"n. 研究；调查
vt. 研究；调查
vi. 研究；调查
"
survey,"n. 调查；测量；审视；纵览
vt. 调查；勘测；俯瞰
vi. 测量土地"
study,"n. 学习，研究；课题；书房；学问
vt. 学习；考虑；攻读；细察
vi. 研究；用功"
theory,n. 理论；原理；学说；推测
question,"n. 问题，疑问；询问；疑问句
vt. 询问；怀疑；审问
vi. 询问；怀疑；审问"
questionnaire,n. 问卷；调查表
problem,"n. 难题；引起麻烦的人
adj. 成问题的；难处理的"
test,"n. 试验；检验
vt. 试验；测试
vi. 试验；测试"
experiment,"n. 实验，试验；尝试
vi. 尝试；进行实验"
lab,n. 实验室，研究室
laboratory,n. 实验室，研究室
conclude,"vi. 推断；断定；决定
vt. 推断；决定，作结论；结束"
conclusion,n. 结论；结局；推论
truth,n. 真理；事实；诚实；实质
fact,n. 事实；实际；真相
report,"n. 报告；报道；成绩单
vt. 报告；报导；使报到
vi. 报告；报到；写报导"
paper,"n. 纸；论文；文件；报纸
adj. 纸做的
vt. 用纸糊；用纸包装
vi. 贴糊墙纸；发交通违章传票"
journal,n. 日报，杂志；日记；分类账
premise,"n. 前提；上述各项；房屋连地基
vt. 引出，预先提出；作为…的前提
vi. 作出前提"
conceive,"vi. 怀孕；设想；考虑
vt. 怀孕；构思；以为；持有"
formulate,vt. 规划；用公式表示；明确地表达
formula,n.  公式，准则；配方；婴儿食品
inspire,vt. 激发；鼓舞；启示；产生；使生灵感
enlighten,vt. 启发，启蒙；教导，开导；照耀
endeavor,"n. 努力；尽力（等于endeavour）
vi. 努力；尽力（等于endeavour）
vt. 努力；尽力（等于endeavour）"
accomplish,vt. 完成；实现；达到
accomplishment,n. 成就；完成；技艺，技能
sample,"n. 样品；样本；例子
adj. 试样的，样品的；作为例子的
vt. 取样；尝试；抽样检查"
random,"n. 随意
adj.  随机的；任意的；胡乱的
adv. 胡乱地"
wonder,"n. 惊奇；奇迹；惊愕
adj. 奇妙的；非凡的
vi. 怀疑；想知道；惊讶
vt. 怀疑；惊奇；对…感到惊讶"
curious,adj. 好奇的，有求知欲的；古怪的；爱挑剔的
curiosity,n. 好奇，好奇心；珍品，古董，古玩
imagine,"vi. 想像；猜想；想像起来
vt. 想像；猜想；臆断"
imaginary,adj. 虚构的，假想的；想像的；虚数的
imaginative,adj. 富于想象的；有创造力的
imagination,n.  想象力；空想；幻想物
predict,"vi. 作出预言；作预料，作预报
vt. 预报，预言；预知"
expect,"vi. 期待；预期
vt. 期望；指望；认为；预料"
expectation,n. 期待；预期；指望
possible,"n. 可能性；合适的人；可能的事物
adj. 可能的；合理的；合适的"
possibility,n. 可能性；可能发生的事物
probable,"n. 很可能的事；大有希望的候选者
adj. 很可能的；可信的"
probability,n. 可能性；机率； 或然率
achieve,"vt. 取得；获得；实现；成功
vi. 达到预期的目的，实现预期的结果，如愿以偿"
find,"n. 发现
vi. 裁决
vt. 查找，找到；发现；认为；感到；获得"
finding,"n. 发现；裁决；发现物
v. 找到；感到（find的ing形式）；遇到"
discover,"vi. 发现
vt. 发现；发觉"
discovery,n. 发现，发觉；被发现的事物
reveal,"n. 揭露；暴露；门侧，窗侧
vt. 显示；透露；揭露；泄露"
component,"n. 成分；组件； 元件
adj. 组成的，构成的"
element,n. 元素；要素；原理；成分；自然环境
variable,"n.  变量；可变物，可变因素
adj. 变量的；可变的；易变的，多变的；变异的， 畸变的"
variation,n. 变化； 变异，变种
correlate,"n. 相关物；相关联的人
vt. 使有相互关系；互相有关系
adj. 关联的
vi. 关联"
precise,adj. 精确的；明确的；严格的
precision,"n. 精度， 精密度；精确
adj. 精密的，精确的"
accurate,adj. 精确的
accuracy,n.  精确度，准确性
erroneous,adj. 错误的；不正确的
method,"n. 方法；条理；类函数
adj. 使用体验派表演方法的"
measure,"n. 测量；措施；程度；尺寸
vt. 测量；估量；权衡
vi. 测量；估量"
factor,"n. 因素；要素； 因数；代理人
vt. 把…作为因素计入；代理经营；把…分解成
vi. 做代理商"
vary,"vi. 变化；变异；违反
vt. 改变；使多样化；变奏"
various,adj. 各种各样的；多方面的
variety,n. 多样；种类；杂耍；变化，多样化
effort,n. 努力；成就
attempt,"n. 企图，试图；攻击
vt. 企图，试图；尝试"
data,n. 数据（datum的复数）；资料
fabricate,vt. 制造；伪造；装配
error,n. 误差；错误；过失
wrong,"n. 坏事；不公正
adj. 错误的；失常的；不适当的
vt. 委屈；无理地对待；诽谤
adv. 错误地；邪恶地，不正当地"
false,"adj. 错误的；虚伪的；伪造的
adv. 欺诈地"
right,"n. 正确；右边；正义
adj. 正确的；直接的；右方的
vt. 纠正
adv. 正确地；恰当地；彻底地
vi. 复正；恢复平稳"
quantity,n. 量，数量；大量；总量
quantify,"vt. 量化；为…定量；确定数量
vi. 量化；定量"
quantitative,adj. 定量的；量的，数量的
quality,"n. 质量， 品质；特性；才能
adj. 优质的；高品质的；<英俚>棒极了"
qualify,"vi. 取得资格，有资格
vt. 限制；使具有资格；证明…合格"
qualitative,adj. 定性的；质的，性质上的
subject,"n. 主题；科目； 主语；国民
adj. 服从的；易患…的；受制于…的
vt. 使…隶属；使屈从于…"
volunteer,"n. 志愿者；志愿兵
adj. 志愿的
vt. 自愿
vi. 自愿"
voluntary,"n. 志愿者；自愿行动
adj. 自愿的；志愿的；自发的；故意的"
innovation,n. 创新，革新；新方法
renovate,vt. 更新；修复；革新；刷新
refine,vt. 精炼，提纯；改善；使…文雅
duplicate,"n. 副本；复制品
adj. 复制的；二重的
vt. 复制；使加倍
vi. 复制；重复"
award,"n. 奖品；判决
vt. 授予；判定"
recipient,"n. 容器，接受者；容纳者
adj. 容易接受的，感受性强的"
equation,n. 方程式，等式；相等； 反应式
analyze,vt. 对…进行分析，分解（等于analyse）
analysis,n. 分析；分解；验定
analytical,adj. 分析的；解析的；善于分析的
specimen,n. 样品，样本；标本
create,vt. 创造，创作；造成
creative,adj. 创造性的
invent,vt. 发明；创造；虚构
invention,n. 发明；发明物；虚构；发明才能
cite,vt. 引用；传讯；想起；表彰
quote,"n. 引用
vi. 报价；引用；引证
vt. 报价；引述；举证"
interview,"n. 接见，采访；面试，面谈
vt. 采访；接见；对…进行面谈；对某人进行面试"
prize,"n. 奖品；奖赏；战利品
adj. 获奖的
vt. 珍视；捕获；估价"
genius,n. 天才，天赋；精神
logic,"n. 逻辑；逻辑学；逻辑性
adj. 逻辑的"
logical,adj. 合逻辑的，合理的；逻辑学的
relativity,n. 相对论；相关性；相对性
prototype,n. 原型；标准，模范
model,"n. 模型；典型；模范；模特儿；样式
vt. 模拟；塑造；模仿
vi. 做模型；做模特儿
adj. 模范的；作模型用的"
module,n.  模块；组件；模数
parameter,n. 参数；系数；参量
object,"n. 目标；物体；客体；宾语
vt. 提出…作为反对的理由
vi. 反对；拒绝"
objective,"adj. 客观的；目标的；宾格的
n. 目的；目标； 物镜；宾格"
objection,n. 异议，反对；缺陷，缺点；妨碍；拒绝的理由
index,"n. 指标；指数；索引；指针
vt. 指出；编入索引中
vi. 做索引"
indices,n. 指数；目录（index的复数）
indicate,vt. 表明；指出；预示；象征
indication,n. 指示，指出；迹象；象征
indicative,"n. 陈述语气；陈述语气的动词形式
adj. 象征的；指示的；表示…的"
instrument,n. 仪器；工具；乐器；手段；器械
instrumental,"n. 器乐曲；工具字，工具格
adj. 乐器的；有帮助的；仪器的，器械的"
gravity,n. 重力，地心引力；严重性；庄严
fundamental,"n. 基本原理；基本原则
adj. 基本的，根本的"
atom,n. 原子
molecule,n.  分子；微小颗粒，微粒
particle,n. 颗粒； 质点；极小量；小品词
vacuum,"n. 真空；空间；真空吸尘器
adj. 真空的；利用真空的；产生真空的
vt. 用真空吸尘器清扫"
temperature,n. 温度；体温；气温；发烧
centigrade,adj. 摄氏的； 摄氏温度的；百分度的
humid,adj. 潮湿的；湿润的；多湿气的
humidity,n.  湿度；湿气
liter,n.  公升（容量单位）
litre,n.  公升（米制容量单位）
meter,"n. 米；仪表； 公尺；韵律
vt. 用仪表测量
vi. 用表计量"
metre,n. 米；公尺；韵律
metric,"adj. 公制的；米制的；公尺的
n. 度量标准"
centimeter,n.  厘米； 公分
centimetre,n. 厘米；公分
millimeter,n.  毫米
millimetre,n. 毫米；公厘
mile,n. 英里；一英里赛跑；较大的距离
foot,"n. 脚；英尺；步调；末尾
vt. 支付；给……换底
vi. 步行；跳舞；总计"
inch,"n. 英寸；身高；少许
vt. 使缓慢地移动
vi. 慢慢前进"
cyberspace,n. 网络空间；赛博空间
network,n. 网络；广播网；网状物
virtual,adj.  虚拟的；实质上的，事实上的（但未在名义上或正式获承认）
anonymous,adj. 匿名的，无名的；无个性特征的
access,"n. 进入；使用权；通路
vt. 使用；存取；接近"
program,"n. 程序；计划；大纲
vt. 用程序指令；为…制订计划；为…安排节目
vi. 编程序；安排节目；设计电脑程式"
blog,n. 博客；部落格；网络日志
digital,"n. 数字；键
adj. 数字的；手指的"
electronic,"adj. 电子的
n. 电子电路；电子器件"
electric,"n. 电；电气车辆；带电体
adj. 电的；电动的；发电的；导电的；令人震惊的"
electrical,adj. 有关电的；电气科学的
internet,n. 因特网
computer,n. 计算机；电脑；电子计算机
compute,"n. 计算；估计；推断
vt. 计算；估算；用计算机计算
vi. 计算；估算；推断"
laptop,n. 膝上型轻便电脑，笔记本电脑
click,"n. 单击；滴答声
vi. 作咔哒声
vt. 点击；使发咔哒声"
data,n. 数据（datum的复数）；资料
database,n. 数据库，资料库
load,"n. 负载，负荷；工作量；装载量
vi.  加载；装载；装货
vt. 使担负；装填"
site,"n. 地点；位置；场所
vt. 设置；为…选址"
software,n. 软件
hardware,n. 计算机硬件；五金器具
disc,"n. 圆盘， 唱片（等于disk）
vt. 灌唱片"
browse,"n. 浏览；吃草
vt. 浏览；吃草
vi. 浏览；吃草；漫不经心地看商品"
register,"n. 登记；注册；记录；寄存器；登记簿
vt. 登记；注册；记录；挂号邮寄；把…挂号；正式提出
vi. 登记；注册；挂号"
technique,n. 技巧，技术；手法
technical,adj. 工艺的，科技的；技术上的；专门的
technician,n. 技师，技术员；技巧纯熟的人
technology,n. 技术；工艺；术语
transmit,"vt. 传输；传播；发射；传达；遗传
vi. 传输；发射信号"
transmission,n. 传动装置， 变速器；传递；传送；播送
transit,"n. 运输；经过
vt. 运送
vi. 经过"
transistor,n. 晶体管（收音机）
diffuse,"vt. 扩散；传播；漫射
adj. 弥漫的；散开的
vi. 传播；四散"
conduct,"n. 进行；行为；实施
vi. 导电；带领
vt. 管理；引导；表现"
conductor,n. 导体；售票员；领导者；管理人
signal,"n. 信号；暗号；导火线
adj. 显著的；作为信号的
vt. 标志；用信号通知；表示
vi. 发信号"
correspond,vi. 符合，一致；相应；通信
corresponding,"adj. 相当的，相应的；一致的；通信的
v. 类似（correspond的ing形式）；相配"
correspondence,n. 通信；一致；相当
media,n. 媒体；媒质（medium的复数）；血管中层；浊塞音；中脉
spread,"n. 传播；伸展
adj. 伸展的
vt. 传播，散布；展开；伸展；铺开
vi. 传播；伸展"
mobile,"adj. 可移动的；机动的；易变的；非固定的
n. 运动物体"
cable,"n. 缆绳；电缆；海底电报
vt. 打电报
vi. 打海底电报"
radio,"n. 收音机；无线电广播设备
vt. 用无线电发送
vi. 用无线电进行通信"
radioactive,adj.  放射性的；有辐射的
information,n. 信息，资料；知识；情报；通知
message,"n. 消息；差使；启示；预言；广告词
vi. 报信，报告； 报文
vt. 通知"
mail,"n. 邮件；邮政，邮递；盔甲
vt. 邮寄；给…穿盔甲
vi. 邮寄；寄出"
stamp,"n. 邮票；印记；标志；跺脚
vt. 铭记；标出；盖章于…；贴邮票于…；用脚踩踏
vi. 跺脚；捣碎；毁掉"
operate,"vi. 运转；动手术；起作用
vt. 操作；经营；引起；对…开刀"
operation,n. 操作；经营； 手术； 运算
operational,adj. 操作的；运作的
detect,vt. 察觉；发现；探测
detector,n. 探测器；检测器；发现者；侦察器
monitor,"n. 监视器；监听器；监控器；显示屏；班长
vt. 监控"
screen,"n. 屏，幕；屏风
vt. 筛；拍摄；放映；掩蔽
vi. 拍电影"
screener,n. 掩护队员；分级机，筛选器；筛分工；过滤网
panel,"n. 仪表板；嵌板；座谈小组，全体陪审员
vt. 嵌镶板"
circuit,"n.  电路，回路；巡回；一圈；环道
vt. 绕回…环行
vi. 环行"
connect,"vt. 连接；联合；关连
vi. 连接，连结；联合"
retrieve,"n.  检索；恢复，取回
vt.  检索；恢复；重新得到
vi. 找回猎物"
communication,n. 通讯， 通信；交流；信函
compress,"vt. 压缩，压紧；精简
vi. 受压缩小"
TV,abbr. 电视（television）
television,n. 电视，电视机；电视业
scan,"n. 扫描；浏览；审视；细看
vt. 扫描；浏览；细看；详细调查；标出格律
vi. 扫描；扫掠"
wire,"n. 电线；金属丝；电报
vt. 拍电报；给…装电线
vi. 打电报"
display,"n. 显示；炫耀
vt. 显示；表现；陈列
adj. 展览的；陈列用的
vi.  作炫耀行为"
laser,n. 激光
chip,"n.  芯片；筹码；碎片；(食物的) 小片; 薄片
vt. 削，凿；削成碎片
vi. 剥落；碎裂"
ray,"n. 射线；光线；鳐形目(Rajiformes)鱼
vt. 放射；显出
vi. 放射光线；浮现"
radar,n.  雷达，无线电探测器
radiate,"adj. 辐射状的，有射线的
vi. 辐射；流露；发光；从中心向各方伸展
vt. 辐射；传播；流露；发射；广播"
radiant,"n. 光点；发光的物体
adj. 辐射的；容光焕发的；光芒四射的"
radius,n. 半径，半径范围； 桡骨；辐射光线；有效航程
device,n. 装置；策略；图案
devise,"n. 遗赠
vt. 设计；想出；发明；图谋；遗赠给"
equipment,n. 设备，装备；器材
equip,vt. 装备，配备
facility,n. 设施；设备；容易；灵巧
facilitate,vt. 促进；帮助；使容易
apply,"vi. 申请；涂，敷；适用；请求
vt. 申请；涂，敷；应用"
application,n. 应用；申请；应用程序；敷用
applicable,adj. 可适用的；可应用的；合适的
appliance,n. 器具；器械；装置
tool,"n. 工具，用具；器械，机床；手段
vt. 用工具给……加工
vi. 使用工具；用机床装备工厂"
kit,"n. 工具箱；成套工具
vt. 装备
vi. 装备"
type,"n. 类型，品种；模范；样式
vt. 打字；测定（血等）类型
vi. 打字"
typist,n. 打字员，打字者
typewriter,n. 打字机
print,"n. 印刷业；印花布；印刷字体；印章；印记
vt. 印刷；打印；刊载；用印刷体写；在…印花样
vi. 印刷；出版；用印刷体写"
copy,"n. 副本；一册；摹仿
vt. 复制；复印；抄袭
vi. 复制；复印；抄袭"
camera,n. 照相机；摄影机
thermal,"n. 上升的热气流
adj. 热的；热量的；保热的"
thermometer,n. 温度计；体温计
apparatus,n. 装置，设备；仪器；器官
machine,"n. 机械，机器；机构；机械般工作的人
vt. 用机器制造"
machinery,n. 机械；机器；机构；机械装置
mechanic,"n. 技工，机修工
adj. 手工的"
mechanical,adj. 机械的；力学的；呆板的；无意识的；手工操作的
mechanism,n. 机制；原理，途径；进程；机械装置；技巧
automate,"vt. 使自动化，使自动操作
vi. 自动化，自动操作"
automated,"adj. 自动化的；机械化的
v. 自动化（automate的过去分词）；自动操作"
automatic,"n. 自动机械；自动手枪
adj. 自动的；无意识的；必然的"
automation,n. 自动化；自动操作
telegram,"n. 电报
vt. 用电报发送
vi. 发电报"
telegraph,"n.  电报机，电报
vt. 电汇；流露出；打电报给…
vi. 打电报"
telephone,"n. （美）电话；电话机；电话耳机
vt. 打电话给…
vi. 打电话"
phone,"n. 电话；耳机，听筒
vt. 打电话
vi. 打电话"
telescope,"n. 望远镜；缩叠式旅行袋
vi. 套叠；变短
vt. 压缩；使套叠"
microphone,n. 扩音器，麦克风
loudspeaker,n. 喇叭，扬声器；扩音器
engine,n. 引擎，发动机；机车，火车头；工具
engineer,"n. 工程师；工兵；火车司机
vt. 设计；策划；精明地处理
vi. 设计；建造"
engineering,"n. 工程，工程学
v. 设计；管理（engineer的ing形式）；建造"
infrastructure,n. 基础设施；公共建设；下部构造
gear,"n. 齿轮；装置，工具；传动装置
adj. 好极了
vt. 开动；搭上齿轮；使……适合；使……准备好
vi. 适合；搭上齿轮；开始工作"
tube,"n. 管；电子管；隧道；电视机
vt. 使成管状；把…装管；用管输送
vi. 乘地铁；不及格"
pipe,"n. 管；烟斗；笛
vt. 用管道输送；尖声唱；用管乐器演奏
vi. 吹笛；尖叫"
magnet,n. 磁铁； 磁体；磁石
magnetic,adj. 地磁的；有磁性的；有吸引力的
loom,"n. 织布机；若隐若现的景象
vi. 可怕地出现；朦胧地出现；隐约可见
vt. 在织布机上织"
hammer,"n. 铁锤；链球； 锤骨；音锤
vi. 锤击；敲打；重复
vt. 锤击；锤打"
spade,"n. 铁锹，铲子
vt. 铲；把……弄实抹平
vi. 铲"
scissors,"n. 剪刀；剪式跳法
v. 剪开；删除（scissor的第三人称单数）"
screw,"n. 螺旋；螺丝钉；吝啬鬼
vt. 旋，拧；压榨；强迫
vi. 转动，拧"
lever,"n. 杠杆；控制杆
vt. 用杠杆撬动；把…作为杠杆
vi. 用杠杆撬"
wedge,"n. 楔子；楔形物；导致分裂的东西
vt. 楔入；挤进；楔住
vi. 楔入；挤进"
outfit,"n. 机构；用具；全套装备
vi. 得到装备
vt. 配备；供应"
plug,"n. 插头；塞子；栓
vt. 插入；塞住；接插头
vi. 塞住；用插头将与电源接通"
oven,n. 炉，灶；烤炉，烤箱
stove,"n. 火炉；窑；温室
vt. 用火炉烤"
furnace,n. 火炉，熔炉
weld,"n. 焊接；焊接点
vt. 焊接；使结合；使成整体
vi. 焊牢"
pump,"n. 泵，抽水机；打气筒
vt. 打气；用抽水机抽…
vi. 抽水"
steam,"n. 蒸汽；精力
adj. 蒸汽的
vt. 蒸，散发；用蒸汽处理
vi. 蒸，冒水汽"
vehicle,n.  车辆；工具；交通工具；运载工具；传播媒介；媒介物
transport,"n. 运输；运输机；狂喜；流放犯
vt. 运输；流放；使狂喜"
transportation,n. 运输；运输系统；运输工具；流放
auto,"n. 汽车（等于automobile）；自动
vi. 乘汽车"
automobile,"n. 汽车
vt. 驾驶汽车
"
motor,"n. 发动机，马达；汽车
adj. 汽车的；机动的
vi. 乘汽车
vt. 以汽车载运"
cart,"n. 二轮运货马车
vt. 用车装载
vi. 驾运货马车；用运货车运送"
highway,n. 公路，大路；捷径
route,"n. 路线；航线；通道
vt. 按某路线发送"
rail,"n. 铁轨；扶手；横杆；围栏
vt. 铺铁轨；以横木围栏
vi. 抱怨；责骂"
railway,"n. （英）铁路；轨道；铁道部门
vi. 乘火车旅行"
railroad,"n. 铁路；铁路公司
vt. 由铁道运输；铺设铁路；以捏造不实之罪使入狱
vi. 在铁路工作；乘火车旅行；筑铁路"
truck,"n. 卡车；交易；手推车
adj. （美）运货汽车的
vt. 交易；以卡车运输
vi. 驾驶卡车；以物易物"
lorry,n. （英）卡车； 货车；运料车
van,"n. 先锋；厢式货车；增值网
vt. 用车搬运"
car,n. 汽车；车厢
bus,"n. 公共汽车
乘公共汽车"
cab,"n. 驾驶室；出租汽车；出租马车
vi. 乘出租马车（或汽车）"
taxi,"n. 出租汽车
vt. 使滑行；用出租车送
vi. 乘出租车；滑行"
passenger,n. 旅客；乘客；过路人；碍手碍脚的人
tractor,n. 拖拉机；牵引机
wagon,"n. 货车，四轮马车
vt. 用运货马车运输货物"
train,"n. 火车；行列；长队；裙裾
v. 培养；训练；瞄准"
trolley,"n. 手推车；（美）有轨电车（等于trolley car）；（英）无轨电车（等于trolleybus）；空中吊运车
vt. 用手推车运
vi. 乘电车"
destination,n. 目的地，终点
deliver,"n. 投球
vt. 交付；发表；递送；释放；给予（打击）；给…接生
vi. 实现；传送；履行；投递"
delivery,n.  交付；分娩；递送
jam,"n. 果酱；拥挤；困境；扣篮
vt. 使堵塞；挤进，使塞满；混杂；压碎
vi. 堵塞；轧住"
roundabout,"n. 迂回路线；环状交叉路口
adj. 迂回的，绕道的；圆滚滚的"
freight,"n. 货运；运费；船货
vt. 运送；装货；使充满"
cargo,n. 货物，船货
tire,"n. 轮胎；头饰
vt. 使…疲倦；使…厌烦
vi. 疲劳；厌倦"
brake,"n. 闸，刹车；阻碍
vt. 刹车
vi. 刹车"
tunnel,"n. 隧道；坑道；洞穴通道
vt. 挖；在…打开通道；在…挖掘隧道
vi. 挖掘隧道；打开通道"
road,"n. 公路，马路；道路；手段
adj. （美）巡回的
vt. （狗）沿臭迹追逐（猎物）"
street,"n. 街道
adj. 街道的"
