aberrant,adj. 异常的；畸变的；脱离常轨的；迷乱的
betray,vt. 背叛；出卖；泄露（秘密）；露出…迹象
bilious,adj. 胆汁的；坏脾气的
blatant,adj. 喧嚣的；公然的；炫耀的；俗丽的
bleak,adj. 阴冷的；荒凉的，无遮蔽的；黯淡的，无希望的；冷酷的；单调的
bolster,"n. 支持；长枕
vt. 支持；支撑"
boon,"n. 恩惠；福利；利益
adj. 愉快的；慷慨的"
boorish,adj. 粗野的；粗鲁的；粗鄙的；笨拙的；乡土气的
bowdlerize,vt. 删改；删除不妥的文句
brazen,"adj. 厚颜无耻的；无所顾忌的；黄铜制的
vt. 使变得无耻；厚脸皮地做"
bridle,"n. 缰绳；马勒；系带；约束物
vt. 控制；给装马勒
vi. 昂首表示轻蔑；生气"
bristle,"n. 猪鬃；刚毛
vi. 发怒；竖起
vt. 使（毛发等）直立"
broadside,"n. 舷侧；较宽的一面
adv. 侧面地；胡乱地
vt. 言语攻击"
bromide,n.  溴化物；庸俗的人；陈词滥调
brook,"n. 小溪；小河
vt. 忍受；容忍"
browbeat,vt. 恫吓，吓唬；欺侮
buck,n. （美）钱，元；雄鹿；纨绔子弟；年轻的印第安人或黑人
bucolic,"n. 田园诗；农夫
adj. 牧歌的；牧羊的；乡下风味的"
bumbling,"adj. 装模作样的；笨手笨脚的；爱管闲事的
v. 发嗡嗡声（bumble的ing形式）"
burgeon,"vt. 萌芽, 发芽
n. 芽, 嫩枝
vi. 萌芽, 发芽"
buttress,"n. 扶壁；拱壁；支撑物
vt. 支持；以扶壁支撑"
Byzantine,"n. 拜占庭人，拜占庭派的建筑师
adj. 拜占庭式的；东罗马帝国的"
cadaverous,adj. 尸体样的；惨白的
callow,adj. 年轻而无经验的；羽毛未丰的
calumny,n. 诽谤；中伤；诬蔑
canard,n. 误传，谬传；谣言
candid,adj. 公正的；坦白的；率直的；偷拍的
capacity,n. 能力；容量；资格，地位；生产力
capitulate,vi. 认输，屈服；屈从，停止反抗；有条件投降；让步
capricious,adj. 反复无常的；任性的
cardinal,"adj. 主要的，基本的；深红色的
n. 红衣主教；枢机主教；鲜红色；(北美)主红雀"
carping,adj. 挑毛病的；吹毛求疵的（副词carpingly）
castigate,vt. 严惩；苛评；矫正；修订
cataclysm,n. 灾难；大洪水，地震；（社会政治的）大变动
catalyst,n.  催化剂；刺激因素
Catholic,找不到解释
Cavalier,找不到解释
cede,vt. 放弃；割让（领土）
celerity,n. 快速；敏捷
censor,"n. 检查员； 潜意识压抑力；信件检查员
vt. 审查，检查；检查和删节"
censure,"n. 责难
vt. 责难，责备
vi. 谴责，责备"
cerebral,adj. 大脑的，脑的
chagrin,"n. 懊恼；委屈；气愤
vt. 使…懊恼"
champion,"n. 冠军；拥护者；战士
adj. 优胜的；第一流的
vt. 支持；拥护"
charlatan,"n. 吹牛者；江湖医生
adj. 骗人的"
chary,adj. 谨慎的；仔细的；吝啬的；怕羞的
chastise,vt. 惩罚；严惩；责骂
chauvinism,n. 沙文主义；盲目的爱国心
chauvinist,"n. 沙文主义者；盲目的爱国者；沙文主义组织
adj. 沙文主义的"
check,"n. <美>支票；制止，抑制；检验，核对
vi. 核实，查核；中止；打勾；将一军
vt. 检查，核对；制止，抑制；在…上打勾"
checkered,"adj. 多变的；有方格的；多波折的
v. 使交错；使交替变化（checker的过去分词）"
chimera,n.  嵌合体；虚构的怪物；妄想
chivalrous,adj. 侠义的；骑士的；有武士风度的
choleric,adj. 易怒的；暴躁的；胆汁质的
chortle,"n. 得意的高笑
vi. 咯咯笑"
churlish,adj. 没有礼貌的；脾气暴躁的
circumscribe,vt. 外切，外接；限制；在…周围画线
circumvent,v. 包围；智取；绕行，规避
clemency,n. 仁慈；温和；宽厚
coalesce,"vt. 使…联合；使…合并
vi. 合并；结合；联合"
cogent,adj. 强有力的；使人信服的
cohesive,adj. 凝聚的；有结合力的；紧密结合的；有粘着力的
collusion,n. 勾结；共谋
colossal,adj. 巨大的；异常的，非常的
commendable,adj. 值得赞美的；很好的；可推荐的
commensurate,adj. 相称的；同量的；同样大小的
complacent,adj. 自满的；得意的；满足的
complaisant,adj. 彬彬有礼的；顺从的；殷勤的
complementary,adj. 补足的，补充的
complicit,adj. 有同谋关系的，串通一气的
compound,"n.  化合物；混合物；复合词
adj. 复合的；混合的
v. 合成；混合；恶化，加重；和解，妥协"
concede,"vi. 让步
vt. 承认；退让；给予，容许"
conciliate,vt. 安抚，安慰；调和；驯服；怀柔；赢得
concomitant,"n. 伴随物
adj. 相伴的；共存的；附随的"
conducive,adj. 有益的；有助于…的
conflagration,n. 大火；快速燃烧；突发；冲突
behoove,"n. 适宜
vt. 理应；对…有此必要
vi. 有必要；理所当然"
brusque,adj. 唐突的；直率的；无礼的
conflate,vt. 合并；异文合并
confound,vt. 使混淆；挫败；讨厌；使混乱
connive,vi. 共谋；纵容；默许
consecrate,"adj. 神圣的；被献给神的
vt. 奉献；使神圣；供神用；献身于"
conspicuous,adj. 显著的；显而易见的
constituent,"n. 成分；选民；委托人
adj. 构成的；选举的"
constraint,n.  约束；局促，态度不自然；强制
construe,"vt. 分析；解释；翻译
vi. 作文法性的分析"
consummate,"adj. 至上的；完美的；圆满的
vt. 完成；作成；使达到极点"
contemptuous,adj. 轻蔑的；侮辱的
contentious,adj. 诉讼的；有异议的，引起争论的；爱争论的
contingent,"n. 分遣队；偶然事件；分得部分；代表团
adj. 因情况而异的；不一定的；偶然发生的；可能的；依情况而定的；偶然的；有条件的"
contrite,adj. 悔悟了的；后悔的；悔罪的
contrition,n. 痛悔；悔悟
contrive,"vt. 设计；发明；图谋
vi. 谋划；设法做到"
conundrum,n. 难题；谜语
convivial,adj. 欢乐的；欢宴的；酒宴的
convoluted,"adj. 复杂的；费解的；旋绕的
v. 盘绕；缠绕（convolute的过去分词）"
copious,adj. 丰富的；很多的；多产的
cornucopia,n. 哺乳宙斯的羊角；装满花果及谷穗表丰饶的羊角状物；丰饶的象征
corollary,n. 推论；必然的结果
corroborate,vt. 证实；使坚固
cosmopolitan,"n. 四海为家者；世界主义者；世界各地都有的东西
adj. 世界性的；世界主义的，四海一家的"
coterminous,adj. 相连的；毗连的（等于conterminous）
countermand,"vt. 取消，撤消；下反对命令召回
n. 取消；反对命令"
cow,"n. 奶牛，母牛；母兽
vt. 威胁，恐吓"
craven,"adj. 畏缩的；怯懦的
n. 懦夫"
credence,n. 信任；凭证；祭器台（等于credence table，credenza）
creditable,adj. 可信的；声誉好的；值得称赞的
credulity,n. 轻信；易受骗
crestfallen,adj. 垂头丧气的，气馁的
cryptic,adj. 神秘的，含义模糊的； 隐藏的
crystallize,"vt. 使结晶；明确；使具体化；做成蜜饯
vi. 结晶，形成结晶；明确；具体化"
culminate,"vt. 使结束；使达到高潮
vi. 到绝顶；达到高潮；达到顶点"
culpability,n. 可责；有过失；有罪
cumbersome,adj. 笨重的；累赘的；难处理的
cupidity,n. 贪心，贪婪
curmudgeon,n. 脾气坏的人，乖戾的人；吝啬鬼；存心不良的人
dearth,n. 缺乏；饥馑；粮食不足
debase,vt. 降低；使…贬值；掺杂
debonair,adj. 高兴的，快活的；温文尔雅的；殷勤的
debunk,vt. 揭穿；拆穿…的假面具；暴露
decimation,n. 大批杀害；每十人杀一人；大量毁灭
decorous,adj. 有礼貌的，高雅的；端正的
decorum,n. 礼仪；礼貌；端正；恪守礼仪
decry,vt. 责难，谴责；诽谤
deferential,adj. 恭敬的；惯于顺从的
defray,vt. 支出；支付
degrade,"vt. 贬低；使……丢脸；使……降级；使……降解
vi. 降级，降低；退化"
deign,"vt. 赐予
vi. 屈尊"
delegate,"n. 代表
vt. 委派…为代表"
deleterious,adj. 有毒的，有害的
deliberate,"adj. 故意的；深思熟虑的；从容的
vt. 仔细考虑；商议"
delineate,vt. 描绘；描写；画…的轮廓
demean,vt. 贬低...的身分；举止
demonstrative,"adj. 说明的；证明的；公开表露感情的
n. 指示词"
demur,"n. 异议；反对
vi. 反对；抗辩；提出异议"
demure,adj. 端庄的；娴静的；严肃的；假装正直的
denigrate,vt. 诋毁；使变黑；玷污
denote,vt. 表示，指示
denouement,n. 结局；终场
derelict,"n. 遗弃物；玩忽职守者；被遗弃的人
adj. 玩忽职守的；无主的；被抛弃了的"
deride,vt. 嘲笑；嘲弄
derisive,adj. 嘲笑的，嘲弄的；可付之一笑的
derivative,"n.  衍生物，派生物；导数
adj. 派生的；引出的"
derive,"vt. 源于；得自；获得
vi. 起源"
derogative,adj. 减损的，毁损的
desecrate,vt. 亵渎；污辱；把（神物）供俗用
desiccated,"adj. 干的（等于desiccate）；粉状的
v. 使干燥（desiccate的过去式）；变干"
desideratum,n. 迫切需要之物；所愿望之物
despite,"prep. 尽管，不管
n. 轻视；憎恨；侮辱"
despot,n. 专制君主，暴君；独裁者
destitute,"n. 赤贫者
adj. 穷困的；无的；缺乏的
vt. 使穷困；夺去"
deter,vt. 制止，阻止；使打消念头
detrimental,"n. 有害的人（或物）；不受欢迎的求婚者
adj. 不利的；有害的"
devolve,"vt. 转移；移交；使滚下；衰落
vi. 被移交；转让"
diabolical,adj. 恶魔的
diatribe,n. 诽谤；恶骂
dictatorial,adj. 独裁的，专政的；专横傲慢的
didactic,adj. 说教的；教诲的
differentiate,"vt. 区分，区别
vi. 区分，区别"
diffident,adj. 羞怯的；缺乏自信的；谦虚谨慎的
dilapidated,"adj. 荒废的，要塌似的；破坏的
v. 变得荒废（dilapidate的过去分词）"
dilatory,adj. 拖拉的；缓慢的，不慌不忙的
dilettante,"n. 业余爱好者；一知半解者
adj. 浅薄的；业余艺术爱好的
vi. （在艺术、科学等方面）浅尝辄止"
diligent,adj. 勤勉的；用功的，费尽心血的
diminutive,"adj. 小的，小型的，微小的
n. 爱称；指小词；身材极小的人"
disabuse,vt. 使省悟；解迷惑；释疑；矫正
disaffected,"adj. 不满的；有叛意的；愤愤不平的
v. 使疏远；使不友爱（disaffect的过去分词）"
discord,"n. 不和；不调和；嘈杂声
vi. 不一致；刺耳"
discreet,adj. 谨慎的；小心的
discrete,"n. 分立元件；独立部件
adj. 离散的，不连续的"
discriminate,"vi. 区别；辨别
vt. 歧视；区别；辨别"
discursive,adj. 散漫的；离题的；东拉西扯的；无层次的
disenfranchise,vt. 剥夺…的公民权（等于disfranchise）
disheartened,"v. 使沮丧；使泄气；使失去勇气（dishearten的过去式和过去分词）
adj. 沮丧的；灰心的"
disingenuous,adj. 虚伪的；不诚实的；不老实的；狡猾的
disinterested,"adj. 无私的；公正的；冷漠的；廉洁的
v. 使不再有利害关系；使无兴趣（disinterest的过去分词）"
disparate,"n. 无法相比的东西
adj. 不同的；不相干的；全异的"
dispassionate,adj. 不带感情的；平心静气的；公平的
dispatch,"n. 派遣；急件
vt. 派遣；分派"
dispensation,n. 分配；免除；豁免；天命
dissemble,"vt. 掩饰，掩盖；假装
vi. 隐藏，掩饰（思想、感情等）"
cosset,"n. 宠儿；爱畜；供玩赏的小动物
vt. 宠爱；溺爱；纵容"
disseminate,"vt. 宣传，传播；散布
vi. 散布；广为传播"
dissipate,"vi. 驱散；放荡
vt. 浪费；使…消散"
dissolution,n. 分解，溶解；（议会等的）解散；（契约等的）解除；死亡
docile,adj. 温顺的，驯服的；容易教的
dog,"n. 狗；丑女人；卑鄙的人；(俚)朋友
vt. 跟踪；尾随"
dogmatic,adj. 教条的；武断的
doleful,adj. 寂寞的；悲哀的；阴沉的；忧郁的
dolorous,adj. 忧伤的；悲痛的
doughty,adj. 勇敢强悍的；坚强的；勇猛的
dovetail,"n. 楔形榫头
vi. 吻合
vt. 用鸠尾榫接合；与…吻合"
dupe,"vt. 欺骗；愚弄（等于duplicate）
n. 上当者；易受骗的人"
duplicity,n. 口是心非；表里不一；不诚实
duress,n. 强迫；监禁
ebullient,adj. 热情洋溢的；沸腾的
eccentric,"n. 古怪的人
adj. 古怪的，反常的"
eclectic,"n. 折衷派的人；折衷主义者
adj. 折衷的；选择的；折衷学派的
adj. 不拘一格的"
economical,adj. 经济的；节约的；合算的
edifying,"adj. 有益的；有教化意味的
v. 熏陶（edify的ing形式）；启迪"
effervescent,adj. 冒泡的，沸腾的；兴奋的
efficacious,adj. 有效的；灵验的
effrontery,n. 厚颜无耻
egotist,n. 自高自大者；言必称“我”者（形容词egotistic，副词egotistically）
egregious,adj. 惊人的；过分的；恶名昭彰的
eke,vt. 竭力增补；勉强维持；竭力维持
elaborate,"adj. 精心制作的；详尽的；煞费苦心的
vi. 详细描述；变复杂
vt. 精心制作；详细阐述；从简单成分合成（复杂有机物）"
elegiac,"adj. 挽歌的；哀悼的，哀伤的
n. 挽歌，哀歌"
elicit,vt. 抽出，引出；引起
elucidate,vt. 阐明；说明
elude,vt. 逃避，躲避
elusive,adj. 难懂的；易忘的；逃避的；难捉摸的
embellish,"vt. 修饰；装饰；润色
vi. 装饰起来；加以润色"
eminent,adj. 杰出的；有名的；明显的
empathetic,adj. 移情作用的；同感的（等于empathic）
empiricism,n. 经验主义；经验论
emulate,"n. 仿真；仿效
vt. 仿真；模仿；尽力赶上；同…竞争"
enamor,vt. 使迷恋，使倾心
encumber,vt. 阻塞；妨害；拖累
endemic,"n. 地方病
adj. 地方性的；风土的"
enervate,"adj. 衰弱的，无力的
vt. 使衰弱，使失去活力"
engender,"vt. 使产生；造成
vi. 产生；引起"
enjoin,vt. 命令；吩咐；嘱咐；禁止
enmity,n. 敌意；憎恨
enormity,n. 巨大；暴行；极恶
enthrall,vt. 迷住，使着迷
entice,vt. 诱使；怂恿
entrenched,"v. 确立；保证；挖掘壕沟（entrench的过去分词）
adj. 根深蒂固的；确立的，不容易改的"
enumerate,vt. 列举；枚举；计算
ephemeral,"adj. 短暂的；朝生暮死的
n. 只生存一天的事物"
epigram,n. 警句；讽刺短诗；隽语
Epiphany,n. 主显节（每年一月六日纪念耶稣显灵的节日）；显现（特指神的显现）
eponym,n. 名字被用于命名地方的人，齐名的人
equitable,adj. 公平的，公正的；平衡法的
equivocal,adj. 模棱两可的；可疑的
equivocate,vi. 说模棱两可的话；支吾， 躲闪；推诿；含糊其词
eradicate,vt. 根除，根绝；消灭
err,vi. 犯错；做错；犯罪；走上歧途
errant,adj. 不定的；周游的；错误的；偏离正路的
erratic,"n. 漂泊无定的人；古怪的人
adj. 不稳定的；古怪的"
ersatz,"n. 代用品；仿制品
adj. 代用的；人造的；假的"
erudite,"n. 饱学之士
adj. 博学的；有学问的"
eschew,vt. 避免；避开；远避
esoteric,adj. 秘传的；限于圈内人的；难懂的
espouse,vt. 支持；嫁娶；赞成；信奉
estimable,adj. 可估计的；可尊敬的；有价值的
ethereal,adj. 优雅的；轻飘的；缥缈的；超凡的
euphoria,n. 精神欢快， 欣快；兴高采烈；欣快症；幸福愉快感
evanescent,adj. 容易消散的；逐渐消失的；会凋零的
evasive,adj. 逃避的；托辞的；推托的
evenhanded,adj. 公平的；公平无私的
exacerbate,vt. 使加剧；使恶化；激怒
exacting,"adj. 严格的；苛求的；吃力的
v. 逼取；急需（exact的ing形式）"
exalt,"vt. 提升；提拔；赞扬；使得意
vi. 使人得意"
exasperate,vt. 恶化；使恼怒；激怒
excoriate,vt. 严厉的责难；擦破...的皮肤
excruciating,"adj. 折磨人的；使苦恼的
v. 折磨；使苦恼；使受酷刑（excruciate的ing形式）"
execrate,"vt. 诅咒；憎恶；痛骂
vi. 诅咒"
exegesis,n. 注释，解释
exemplar,n. 模范，榜样；标本
exemplify,vt. 例证；例示
exhort,"vt. 忠告；劝诫
vi. 劝告"
exiguity,"n. 稀少, 微小"
exorbitant,adj. （要价等）过高的；（性格等）过分的；不在法律范围之内的
expansive,adj. 广阔的；扩张的；豪爽的
expound,"vt. 解释；详细说明
vi. 解释；详细说明"
expunge,vt. 擦去；删掉
expurgate,vt. 删除，删去
extant,adj. 现存的；显著的
extenuating,"adj. 情有可原的；使减轻的
v. 为…找借口；能减轻…的严重性；轻视（extenuate的ing形式）"
extrapolate,"vt. 外推；推断
vi. 外推；进行推断"
facetious,adj. 诙谐的；爱开玩笑的；滑稽的；(尤指在不合适的时候)开玩笑的
facile,"adj. （言语或理论）轻率的，未经深思熟虑的
adj. 温和的；灵巧的；易做到的"
factious,adj. 好捣乱的；好搞派系的；源于派别的
factitious,adj. 人为的，人工的；不自然的；虚假的
fallacious,adj. 谬误的；骗人的；靠不住的；不合理的
fastidious,adj. 挑剔的；苛求的，难取悦的；（微生物等）需要复杂营养地
fawn,"vi. 奉承
n. 小鹿；浅黄褐色；小动物
adj. 浅黄褐色的
vt. 生（小鹿或小动物）"
feckless,adj. 无效的；软弱的；没精神的；不负责任的；无气力的
embroil,vt. 使卷入；使混乱
fecund,adj. 肥沃的；多产的；丰饶的；生殖力旺盛的
fell,"n.  一季所伐的木材；折缝；兽皮
v. 掉下；摔倒；下垂；变坏（fall的过去式）
adj. 凶猛的；毁灭性的
vt. 砍伐；打倒；击倒"
ferret,"n. 雪貂；白鼬；侦探
vi. 搜索，侦破
vt. 搜出，查获；驱出；用雪貂猎取"
fete,"n. 祭祀；庆祝；节日；游乐会
vt. 宴请；招待"
fickle,adj. 浮躁的；易变的；变幻无常的
finagle,"vt. 欺瞒；哄骗
vi. 欺瞒；哄骗"
firebrand,n. 火把；煽动叛乱者；放火者
flag,"n. 标志；旗子
vt. 标记；插旗
vi. 标记；衰退；枯萎"
fledgling,n. 无经验的人；刚会飞的幼鸟
fleece,"n. 羊毛，绒头织物；羊毛制的覆盖物
vt. 剪下羊毛；欺诈，剥削"
flippant,adj. 轻率的；嘴碎的；没礼貌的
flounder,"n. 挣扎，辗转；比目鱼
vi. 挣扎，折腾；错乱地做事或说话"
flummox,"n. 失败
vt. 使狼狈；使混乱；使惶惑
vi. 出现错误；失败"
flush,"n. 激动，洋溢；面红；萌芽；旺盛；奔流
adj. 大量的；齐平的；丰足的，洋溢的；挥霍的
vt. 使齐平；发红，使发亮；用水冲洗；使激动
vi. 发红，脸红；奔涌；被冲洗"
flux,"n.  流量；变迁；不稳定；流出
vt. 使熔融；用焊剂处理
vi. 熔化；流出"
foible,n. 弱点；小缺点；癖好
foment,vt. 煽动；挑起；热敷
foolhardy,adj. 有勇无谋的；蛮干的
forlorn,adj. 被遗弃的；绝望的；孤独的
forthcoming,"n. 来临
adj. 即将来临的"
forthright,"n. 直路
adj. 直率的；直截了当的
adv. 直率地；马上；立即"
fortuitous,adj. 偶然的，意外的；幸运的
fractious,adj. 易怒的；倔强的，难以对待的
frivolous,adj. 无聊的；轻佻的；琐碎的
frugal,adj. 节俭的；朴素的；花钱少的
frustrate,"vt. 挫败；阻挠；使感到灰心
adj. 挫败的；无益的
vi. 失败；受挫"
furtive,adj. 鬼鬼祟祟的，秘密的
futile,adj. 无用的；无效的；没有出息的；琐细的；不重要的
gaffe,n. 失态；过失
gainsay,"n. 否认；反对
vt. 反驳；否定"
gall,"n. 胆汁；五倍子；怨恨；苦味
vt. 烦恼；屈辱；磨伤
vi. 被磨伤"
galvanize,vt. 镀锌；通电；刺激
gambit,n. 话题；开始；以取得优势的开局棋法；开场白
garrulous,adj. 唠叨的；喋喋不休的；多嘴的
gauche,adj. 笨拙的；粗鲁的；不善交际的；偏转的
genial,adj. 亲切的，友好的；和蔼的；适宜的
genteel,adj. 有教养的，文雅的；上流社会的
germane,adj. 有密切关系的；贴切的；恰当的
gerrymander,"n. 改变选举区；选区不公正的重新划分
vt. 为政党利益改划选区；为一党私利而重新将划分选区
vi. 不公正地划分选区；弄虚作假"
glean,"vt. 收集（资料）；拾（落穗）
vi. 收集；拾落穗"
glib,adj. 口齿伶俐的，油嘴滑舌的
glut,"n. （商品）供过于求；大量
vt. 使…充满；使…吃饱；过多供应
vi. 吃得过多"
goad,"n. 刺激；（赶牲口用的）刺棒；激励
vt. 刺激；激励；用刺棒驱赶；煽动"
gossamer,"n. 蛛丝；薄纱；小蜘蛛网
adj. 轻飘飘的；薄弱的"
graft,"n. 移植；嫁接；渎职
vt. 移植；嫁接；贪污
vi. 移植；嫁接；贪污
n. （非正式）脚踏实地地埋头苦干"
grandiloquent,adj. 夸张的；夸大的；大言不惭的
gregarious,adj. 社交的；群居的
grovel,vi. 匍匐；卑躬屈膝；趴
guffaw,"n. 哄笑；狂笑
vi. 哄笑
vt. 大笑着说"
guileless,adj. 诚实的
gumption,n. 进取心；气概；精力
hackneyed,"adj. 陈腐的；平庸的
v. 出租（马匹、马车等）；役使（hackney的过去式）"
hail,"n. 冰雹；致敬；招呼；一阵
vt. 致敬；招呼；向...欢呼；猛发；使像下雹样落下（过去式hailed，过去分词hailed，现在分词hailing，第三人称单数hails）
int. 万岁；欢迎
vi. 招呼；下雹"
halcyon,"n. 翡翠鸟；神翠鸟
adj. 宁静的；平稳的"
hamper,"n. 食盒，食篮；阻碍物
vt. 妨碍；束缚；使困累"
hamstrung,v. 残废（hamstring的过去分词）
haphazard,"n. 偶然；偶然事件
adj. 偶然的；随便的；无计划的
adv. 偶然地；随意地"
harangue,"n. 长篇大论；高谈阔论；热烈的演说
vt. 向…滔滔不绝地演讲；大声训斥
vi. 高谈阔论；慷慨陈词"
haughty,adj. 傲慢的；自大的
hauteur,n. 傲慢；自大
