weight-training,"n. 重力训练
 负重训练；重量训练；负重肌肉操练后"
ruffle,"n. 皱褶；生气；混乱；连续轻敲声
vi. 起皱；烦恼；连续地轻敲
vt. 弄皱；触怒；扰乱；迅速翻动"
drain,"n. 排水；下水道，排水管；消耗
vt. 喝光，耗尽；使流出；排掉水
vi. 排水；流干"
facilitator,n. 服务商；促进者
impractical,adj. 不切实际的，不现实的；不能实行的
infinite,"n. 无限； 无穷大；无限的东西（如空间，时间）
adj. 无限的，无穷的；无数的；极大的"
rumble,"n. 隆隆声；抱怨声
vi. 隆隆作响
vt. 使隆隆响；低沉地说"
clutter,"n. 杂乱，混乱
vt. 使凌乱；胡乱地填满"
dispose,"n. 处置；性情
vi. 处理；安排；（能够）决定
vt. 处理；处置；安排"
herbal,"n. 植物志；草本书
adj. 草药的；草本的"
organic,adj.  有机的；组织的；器官的；根本的
desktop,n. 桌面；台式机
icepack,"na. 浮冰群；冰袋
 冰敷袋；生物冰袋"
balmy,adj. 芳香的；温和的；止痛的
bearable,adj. 可忍受的；支持得住的
mauve,"n. 淡紫色；苯胺紫；淡紫色染料
adj. 淡紫色的"
bathe,"n. 洗澡；游泳
vt. 沐浴；用水洗
vi. 洗澡；沐浴"
break,"vi. 打破；折断；弄坏；削弱
vt. （使）破；打破（纪录）；（常指好天气）突变；开始
vi. （嗓音）突变；突破；破晓；（价格）突然下跌
n. 破裂；间断；（持续一段时间的状况的）改变；间歇"
obese,adj. 肥胖的，过胖的
obesity,n. 肥大，肥胖
excess,"n. 超过，超额；过度，过量；无节制
adj. 额外的，过量的；附加的"
naive,"adj. 天真的,幼稚的"
exceptional,"n. 超常的学生
adj. 异常的，例外的"
poll,"n. 投票；民意测验；投票数；投票所
adj. 无角的；剪过毛的；修过枝的
vt. 投票；剪短；对…进行民意测验；获得选票
vi. 投票"
finalist,n. 参加决赛的选手
endure,"vt. 忍耐；容忍
vi. 忍耐；持续"
refuge,"n. 避难；避难所；庇护
vt. 给予…庇护；接纳…避难
vi. 避难；逃避"
overrun,"n. 泛滥成灾；超出限度
vt. 泛滥；超过；蹂躏
vi. 泛滥；蔓延"
teenage,"n. 青少年时期
adj. 青少年的；十几岁的"
gang,"n. 群；一伙；一组
vt. 使成群结队；结伙伤害或恐吓某人
vi. 成群结队"
courageous,adj. 有胆量的，勇敢的
ex-gangster,找不到解释
dealer,"n. 经销商；商人
n. 发牌员
n. 毒品贩子，贩毒者"
coexist,vi. 共存；和平共处
disarm,"vt. 解除武装；裁军；缓和
vi. 放下武器；裁减军备"
sandbank,n. 沙洲；沙滩；沙丘
incoming,"n. 进入；到来；常作 incomings 收入，收益
adj. 进来的，到来的； 即将就任的"
tide,"n. 趋势，潮流；潮汐
vt. 随潮漂流"
coastguard,n. 海岸警备队；水上警察
quicksand,n.  流沙，危险状态
wade,"n. 跋涉；可涉水而过的地方
vi. 跋涉
vt. 涉水；费力行走"
prompt,"n. 提示；付款期限；DOS命令：改变DOS系统提示符的风格
adj. 敏捷的，迅速的；立刻的
vt. 提示；促进；激起；（给演员）提白
adv. 准时地"
nominee,n. 被任命者；被提名的人；代名人
layout,n. 布局；设计；安排；陈列
prose,"n. 散文；单调
adj. 散文的；平凡的；乏味的
vt. 把…写成散文
vi. 写散文；乏味地讲话"
illustration,n. 说明；插图；例证；图解
individualised,v. 赋予个性
qualified,"v. 限制（qualify的过去分词）；描述；授权予
adj. 合格的；有资格的"
ease,"n. 轻松，舒适；安逸，悠闲
vt. 减轻，缓和；使安心
vi. 减轻，缓和；放松；灵活地移动"
gently,adv. 轻轻地；温柔地，温和地
dietary,"n. 规定的食物；饮食的规定；食谱
adj. 饮食的，饭食的，规定食物的"
aerobics,n. 有氧运动法；增氧健身法
physiotherapy,n. 物理疗法
sauna,"n. 桑拿浴
vi. 洗桑拿浴"
refreshment,n. 点心；起提神作用的东西；精力恢复
membership,n. 资格；成员资格；会员身份
counsel,"n. 法律顾问；忠告；商议；讨论；决策
vt. 建议；劝告
vi. 商讨；提出忠告"
clinical,adj. 临床的；诊所的
consultation,n. 咨询；磋商； 会诊；讨论会
adore,"vt. 崇拜；爱慕；喜爱；极喜欢
vi. 崇拜；爱慕"
harsh,adj. 严厉的；严酷的；刺耳的；粗糙的；刺目的
distress,"n. 危难，不幸；贫困；悲痛
vt. 使悲痛；使贫困"
meow,"vi. 猫叫
n. 猫叫声"
innermost,adj. 内心的；最里面的，最深处的；秘密的
chase,"n. 追逐；追赶；追击
vt. 追逐；追捕；试图赢得；雕镂
vi. 追逐；追赶；奔跑"
trigger,"n. 扳机； 触发器；制滑机
vt. 引发，引起；触发
vi. 松开扳柄"
exasperate,vt. 恶化；使恼怒；激怒
derange,vt. 扰乱；使错乱；使发狂
prescribe,"vt. 规定；开处方
vi. 规定；开药方"
sibling,n. 兄弟姊妹；民族成员
companionship,n. 友谊；陪伴；交谊
psychologically,adv. 心理上地；心理学地
tertiary,"n. 第三纪；第三修道会会员；第三级教士
adj. 第三的；第三位的；三代的"
tertiary education,"n. 高等教育
 第三级教育；专上教育；大学教育"
undergraduate,"n. 大学生；大学肄业生
adj. 大学生的"
vocational,adj. 职业的，行业的
zoology,n. 动物学，动物学课程; （某一地区的）全部动物，（某种动物的）动物特性
gown,"n. 长袍，长外衣；礼服；睡袍；法衣
vt. 使穿睡衣"
prestigious,adj. 有名望的；享有声望的
interconnect,"vi. 互相联系
vt. 使互相连接"
postgraduate,"n. 研究生，研究所学生
adj. 大学毕业后的"
secondary,"n. 副手；代理人
adj. 第二的；中等的；次要的；中级的"
fountain,n. 喷泉，泉水；源泉
refresher,"n. 可提神的人或物；补习课程；清凉饮料；增加报酬
adj. 专业性复习进修的"
myth,n. 神话；虚构的人，虚构的事
toddler,n. 学步的小孩；幼童装
inheritance,n. 继承；遗传；遗产
inability,n. 无能力；无才能
dubious,adj. 可疑的；暧昧的；无把握的；半信半疑的
derive,"vt. 源于；得自；获得
vi. 起源"
sustain,vt. 维持；支撑，承担；忍受；供养；证实
questionnaire,n. 问卷；调查表
subject,"n. 主题；科目； 主语；国民
adj. 服从的；易患…的；受制于…的
vt. 使…隶属；使屈从于…"
agility,n. 敏捷；灵活；机敏
significantly,adv. 显著地；相当数量地
nocturnal,adj. 夜的；夜曲的；夜间发生的
predator,n.  捕食者； 食肉动物；掠夺者
pushy,adj. 有进取心的；爱出风头的；有冲劲的；固执己见的
overstimulate, 过度刺激
self-esteem,n. 自尊；自负；自大
rife,adj. 普遍的；流行的；盛传的
expectant,"n. 期待者；候选人
adj. 期待的；怀孕的；预期中的"
self-respect,n. 自重，自尊
enrolment,n. 登记，注册；入学
plethora,n. 过多；过剩； 多血症
arithmetic,n. 算术，算法
psychiatric,adj. 精神病学的；精神病治疗的
Dutch,"n. 荷兰人；荷兰语
adj. 荷兰的；荷兰人的；荷兰语的
adv. 费用平摊地；各自付账地"
beset,vt. 困扰；镶嵌；围绕
interact,"n. 幕间剧；幕间休息
vt. 互相影响；互相作用
vi. 互相影响；互相作用"
peer,"vt. 封为贵族；与…同等
vi. 凝视，盯着看；窥视
n. 贵族；同等的人；同龄人"
internalise,v. 使成为主观
speculate,"vi. 推测；投机；思索
vt. 推断"
psychiatrist,n. 精神病学家，精神病医生
idiot,n. 笨蛋，傻瓜；白痴
savant,n. 学者；专家
depict,vt. 描述；描画
conscious,adj. 意识到的；故意的；神志清醒的
zap,"n. 活力；意志；杀死；震击
vt. 攻击；打败；快速推动
int. 咝！；糟了！
vi. 快速移动"
zapper,n. 微波灭虫器；微波除草器；电视的遥控器；使用电视遥控器的人
magnetic,adj. 地磁的；有磁性的；有吸引力的
stimulation,n. 刺激；激励，鼓舞
recruit,"n. 招聘；新兵；新成员
vi. 复原；征募新兵；得到补充；恢复健康
vt. 补充；聘用；征募；使…恢复健康"
inactivity,n. 静止；不活泼；休止状态；不放射性
citizenship,n.  公民身份，公民资格；国籍；公民权
cookery,n. 烹调术；烹调业
DIY,abbr. 自己动手做（Do It Yourself）
Do It Yourself,找不到解释
incompetent,"n. 无能力者
adj. 无能力的，不胜任的；不合适的；不适当的；无力的"
assembly,n. 装配；集会，集合
fundamentally,adv. 根本地，从根本上；基础地
flourish,"n. 兴旺；茂盛；挥舞；炫耀；华饰
vi. 繁荣，兴旺；茂盛；活跃；处于旺盛时期
vt. 夸耀；挥舞"
undue,adj. 过度的，过分的；不适当的；未到期的
essentially,adv. 本质上；本来
empathy,"n. 神入；移情作用；执着
n. 感同身受；同感；共鸣"
tolerance,n. 公差；宽容；容忍；公差
viewpoint,n. 观点，看法；视角
weave,"vi. 纺织；编成；迂回行进
vt. 编织；编排；使迂回前进
n. 织物；织法；编织式样"
overt,adj. 明显的；公然的；蓄意的
interpersonal,adj. 人际的；人与人之间的
entity,n. 实体；存在；本质
interteam,找不到解释
intolerance,n. （尤指对别人的意见）不宽容；偏狭
homophobia,n. 对同性恋的恐惧；对同性恋的憎恶
sexism,n. （针对女性的）性别歧视；男性至上主义
expertise,n. 专门知识；专门技术；专家的意见
articulate,"adj. 发音清晰的；口才好的；有关节的
vt. 清晰地发（音）；明确有力地表达；用关节连接；使相互连贯
vi. 发音；清楚地讲话；用关节连接起来
n. 有节体的动物"
tickle,"n. 胳肢；痒感；使人发痒、高兴的东西
vt. 使发痒；使高兴；使满足
vi. 觉得痒；（东西）使人发痒"
intake,n. 摄取量；通风口；引入口；引入的量
nostril,n. 鼻孔
seal,"n. 密封；印章；海豹；封条；标志
vt. 密封；盖章
vi. 猎海豹"
chin,"n. 下巴；聊天；引体向上动作
vt. 用下巴夹住；与…聊天；在单杠上作引体向上动作
vi. 闲谈；作引体向上动作"
resuscitate,"vt. 使复苏；使复兴
vi. 恢复；复兴"
self-preservation,n. 自卫本能，自我保护；自我保存
irreparable,adj. 不能挽回的；不能修补的
straighten,"vt. 整顿；使…改正；使…挺直；使…好转
vi. 变直；好转"
pinch,"n. 匮乏；少量；夹痛
vt. 捏；勒索；使苦恼；掐掉某物，修剪
vi. 夹痛；节省"
exhale,"vt. 呼气；发出；发散；使蒸发
vi. 呼气；发出；发散"
cardiac,"n. 强心剂；强胃剂
adj. 心脏的；心脏病的；贲门的"
irrelevant,adj. 不相干的；不切题的
literacy,n. 读写能力；精通文学
performance-related pay,n. 与业绩挂钩的工资；绩效工资
cramming,"n. 塞满；填鸭式的用功；挤满
v. 把…挤满（cram的ing形式）"
mockery,n. 嘲弄；笑柄；徒劳无功；拙劣可笑的模仿或歪曲
tuition,n. 学费；讲授
chatty,adj. 饶舌的；爱讲闲话的；非正式的
grumpy,"n. 脾气坏的人；爱抱怨的人
adj. 脾气暴躁的；性情乖戾的"
irritable,adj. 过敏的；急躁的；易怒的
fussy,adj. 爱挑剔的，难取悦的；易烦恼的
sulk,"n. 生气；愠怒；生气的人
vi. 生气；愠怒"
breezy,adj. 有微风的；轻松愉快的；通风好的；活泼的
loathe,vt. 讨厌，厌恶
growl,"n. 咆哮声；吠声；不平
vt. 咆哮；（雷电，炮等）轰鸣
vi. 咆哮着说"
tidiness,n. 整齐；干净整洁
fanatically,adv. 盲信地；狂热地
tut,"n. 啧啧声
int. 啧（表示不耐烦或指责）
vi. 发啧啧声"
moan,"vi. 抱怨，悲叹；呻吟
n. 呻吟声；悲叹
vt. 抱怨；呻吟着说"
drive sb. mad,un. 变疯
despise,vt. 轻视，鄙视
intrude,"vi. 闯入；侵入；侵扰
vt. 把…强加；把…硬挤"
extrovert,n. 外向；外倾者；性格外向者（等于extravert）
pry,"vi. 刺探，探查
vt. 撬动，撬开
n. 窥探；杠杆"
suspicious,adj. 可疑的；怀疑的；多疑的
childishly,adv. 天真地，幼小地；幼稚地
go against,"na. 违背；不利于
 反对；违反；不顺心"
shipwreck,"n. 海难；遇难船
vt. 使失事；使毁灭；使失败"
cameraman,n. 摄影师；照相师；摄影记者
call for,"na. 呼吁；主张；需要；接(某人)
 要求；提倡；号召"
shortlist,n. （英）供最后挑选用的候选人名单
bear in mind,"na. 记住；铭记不忘；注意
 牢记在心；记在心里；考虑到"
rating,"n. 等级；等级评定；额定功率
v. 对…评价（rate的ing形式）"
prime,"n. 初期；青年；精华；全盛时期
adj. 主要的；最好的；基本的
vt. 使准备好；填装
vi. 作准备
adv. 极好地"
stiff,"adj. 呆板的；坚硬的；严厉的；拘谨的
adv. 僵硬地；彻底地
n. 死尸；令人讨厌者；流通票据；劳动者
vt. 诈骗；失信"
irresponsible,adj. 不负责任的；不可靠的
swimsuit,n. 游泳衣（女式）
interaction,"n. 相互作用； 交互作用
n. 互动"
overbearing,"adj. 傲慢的；压倒一切的
v. 压住；否定；专横地对待；繁殖过度（overbear的ing形式）"
loner,n. 孤独的人；不合群的动物
upgrade,"n. 升级；上升；上坡
vt. 使升级；提升；改良品种
adj. 向上的
adv. 往上"
distracted,"adj. 心烦意乱的；思想不集中的
v. 分心（distract的过去式）"
campus,n. （大学）校园；大学，大学生活；校园内的草地
pros,"n. 赞成者；赞成的意见（pro的复数）
abbr. 舞台前部（proscenium）；诗体学（prosody）"
make use of,"na. 使用
 利用；利用某事物；利用好时间"
meet up with,"na. 遇着
 偶遇；偶尔碰见；碰面"
powder,"n. 粉；粉末； 火药；尘土
vt. 使成粉末；撒粉；搽粉于
vi. 搽粉；变成粉末"
washing powder,"n. 洗衣粉
 洗涤粉；冼衣粉；起泡洗车粉"
untidy,"adj. 不整洁的，凌乱的；懒散的；不干净利落的，不简练的；不适宜的
v. 使不整洁；使杂乱无章"
hassle,"n. 困难，麻烦；激战
vt. 找麻烦，搅扰；与…争辩；使…烦恼
vi. 争论，争辩"
unfriendly,"adj. 不友好的；不利的
adv. 不友善地"
rejection,n. 抛弃；拒绝；被抛弃的东西；盖帽
reassurance,n. 使安心，再保证
frustration,n. 挫折
enormous,adj. 庞大的，巨大的；凶暴的，极恶的
unhappiness,n. 苦恼；忧愁
overhear,"vt. 无意中听到；偷听
vi. 无意中听到；偷听到"
rumour,"n. 谣言
vt. 传闻"
turn against,"na. 背叛；使对抗；厌恶
 反对；转而反对；反抗"
syndrome,n.  综合症状；并发症状；校验子；并发位
swing,"n. 摇摆；摆动；秋千；音律；涨落
adj. 旋转的；悬挂的；强节奏爵士音乐的
vt. 使旋转；挥舞；悬挂
vi. 摇摆；转向；悬挂；大摇大摆地行走"
hormonal,adj. 荷尔蒙的，激素的
on the heels of,"na. 袜跟穿得露出脚跟的；衣衫褴褛的；穷相毕露的
 紧跟在后面；接踵而来；紧接着"
conception,n. 怀孕；概念；设想；开始
endurance,n. 忍耐力；忍耐；持久；耐久
gender,"n. 性；性别；性交
vt. 生（过去式gendered，过去分词gendered，现在分词gendering，第三人称单数genders，形容词genderless）"
roughly,adv. 粗糙地；概略地
hip,"n. 臀部；蔷薇果；忧郁
adj. 熟悉内情的；非常时尚的"
cosmetic,"n. 化妆品；装饰品
adj. 美容的；化妆用的"
client,n.  客户；顾客；委托人
youthful,adj. 年轻的；早期的
anthropologist,n. 人类学家；人类学者
outstrip,vt. 超过；胜过；比…跑得快
antisocial,"n. 违背社会公德的人；反社会者
adj. 反社会的；扰乱社会的；不爱交际的"
susceptible,"n. 易得病的人
adj. 易受影响的；易感动的；容许…的"
infectious,adj. 传染的；传染性的；易传染的
side effect,"n. 副作用；意外结果；函数副作用
 没有副作用；副反应；副效应"
bowel,"n. 肠；内部；同情
vt. 将……的肚肠取出"
motherhood,n. 母性；母亲身份；母亲们（总称）
evolve,"vi. 发展，进展；进化；逐步形成
vt. 发展，进化；进化；使逐步形成；推断出"
rear,"n. 后面；屁股；后方部队
adj. 后方的；后面的；背面的
vt. 培养；树立；栽种
adv. 向后；在后面
vi. 暴跳；高耸"
parenthood,n. 亲子关系；父母身份
Mozart,n. 莫扎特
Yale,n. 野迩（神话动物，形似羚羊）
Antarctic,找不到解释
Texas,n. 德克萨斯州（美国州名）
Sydney,找不到解释
Maastricht,n. 马斯特里赫特（荷兰东南部城市）
Flinders,找不到解释
Adelaide,找不到解释
