likely,"adj. 很可能的；合适的；有希望的
adv. 很可能；或许"
relate,"vt. 叙述；使…有联系
vi. 涉及；认同；符合；与…有某种联系"
relate to,"na. 有关联；与…有关；理解
 涉及；与…有联系；与……有关联"
jewellery,n. 珠宝（等于jewelry）
try out,"na. (采用前)严密试验；筛矿；量(金属的)纯度
 试用；尝试；考验"
cottage,n. 小屋；村舍；（农舍式的）小别墅
rent,"n. 租金
vt. 出租；租用；租借
vi. 租；出租"
landlord,n. 房东，老板；地主
worm,"n. 虫，蠕虫；蜗杆；螺纹；小人物
vt. 使蠕动；给除虫；使缓慢前进
vi. 慢慢前进；蠕行"
pipe,"n. 管；烟斗；笛
vt. 用管道输送；尖声唱；用管乐器演奏
vi. 吹笛；尖叫"
mercy,n. 仁慈，宽容；怜悯；幸运；善行
washroom,n. 洗手间；盥洗室；厕所
damp,"n. 潮湿，湿气
adj. 潮湿的
vt. 使潮湿；使阻尼；使沮丧，抑制
vi. 减幅，阻尼；变潮湿"
bathtub,n. 浴缸
basement,n. 地下室；地窖
bathe,"n. 洗澡；游泳
vt. 沐浴；用水洗
vi. 洗澡；沐浴"
fence,"n. 栅栏；围墙；剑术
vt. 防护；用篱笆围住；练习剑术
vi. 击剑；搪塞；围以栅栏；跳过栅栏"
narrow,"adj. 狭窄的，有限的；勉强的；精密的；度量小的
n. 海峡；狭窄部分，隘路
vt. 使变狭窄
vi. 变窄"
hold one's breath,"na. 屏息
 屏住呼吸；憋住气；屏住气"
garage,"n. 车库；汽车修理厂；飞机库
vt. 把……送入车库；把（汽车）开进车库"
garbage,n. 垃圾；废物
apartment,n. 公寓；房间
subway,"n. 地铁；地道
vi. 乘地铁"
downtown,"n. 市中心区；三分线以外
adj. 市中心的
adv. 往闹市区；在市区"
lorry,n. （英）卡车； 货车；运料车
curtain,"n. 幕；窗帘
vt. 遮蔽；装上门帘"
air conditioner,"n. 空调
 冷气机；空调器；空气调节器"
conclusion,n. 结论；结局；推论
Peter Taylor,找不到解释
Angela Rosseto,找不到解释
Peter Anderson,找不到解释
Jennifer May,找不到解释
Mandy,找不到解释
Lucy,找不到解释
Turner,找不到解释
Cathy,找不到解释
Alanis Morissette,找不到解释
Sue,找不到解释
Ricky,找不到解释
Tchaikovsky,n. 柴可夫斯基（人名，俄国作曲家，1840-1893）
Pablo Picasso, 毕加索；毕卡索；巴勃罗·毕加索
Wassily Kandinsky, 康定斯基；瓦西里·康定斯基；康丁斯基
David Hockney,找不到解释
Mona Lisa,"na. 蒙娜丽莎
 蒙娜莉莎；蒙那丽莎；蒙娜丽沙"
Leonardo da Vinci,"(达)芬奇(1452-1519, 意大利文艺复兴时期伟大画家, 雕刻家, 建筑学家)"
Ben Smith,找不到解释
Carlos Gardel,找不到解释
Kiki,找不到解释
Nenny,找不到解释
Sandra Cisneros,找不到解释
Eamon,  埃蒙来源于爱尔兰语，含义是“愉快的保护”(happy protection)
Juan Gris,找不到解释
Manchester,n. 曼彻斯特（英格兰西北部一大城市）
Stanford University,"n. 斯坦福大学
 史丹佛大学；美国斯坦福大学；史丹福大学"
Auckland,n. 奥克兰（新西兰港市）
New Zealand,"n. 新西兰
 纽西兰；奥克兰；区新西兰"
Asia Pacific,找不到解释
Wellington,找不到解释
Mt Eden,找不到解释
Auckland Harbour Bridge,找不到解释
the Parnell Village,找不到解释
Sydney,找不到解释
Sydney Opera House,"n. 悉尼歌剧院
 雪梨歌剧院；澳大利亚悉尼歌剧院；悉尼歌剧院图片"
Sydney Harbour Bridge,找不到解释
Sydney Tower,找不到解释
Blue Mountains,"n. 蓝山
 蓝山国家公园；蓝山山脉；蓝岭"
Darling Harbour,找不到解释
Bondi Beach,"n. 邦迪海滩
 邦代海滩；邦戴海滩；邦黛海滩"
Cambridge,n. 剑桥（英国城市）；坎布里奇（美国马萨诸塞州城市）
Venice,n. 威尼斯（意大利港市）
Budapest,n. 布达佩斯（匈牙利的首都）
Scotland,n. 苏格兰
Hyde Park,"n. 海德公园
 伦敦海德公园；悉尼海德公园；海德园"
stare,"n. 凝视；注视
vt. 凝视，盯着看
vi. 凝视，盯着看；显眼"
cozy,"n. 保温罩
vt. 蒙骗；抚慰
adj. 舒适的；安逸的"
illuminate,"vt. 阐明，说明；照亮；使灿烂；用灯装饰
vi. 照亮"
fiery,adj. 热烈的，炽烈的；暴躁的；燃烧般的
gem,"n. 宝石，珍宝； 精华；受人重视者
vi. 点缀； 用宝石装饰； 饰以宝石
adj. 最佳品质的"
