survey,"n. 调查；测量；审视；纵览
vt. 调查；勘测；俯瞰
vi. 测量土地"
graduate,"n. 研究生；毕业生
adj. 毕业的；研究生的
vt. 授予…学位；分等级；标上刻度
vi. 毕业；渐变"
finally,adv. 最后；终于；决定性地
schedule,"n. 时间表；计划表；一览表
vt. 安排，计划；编制目录；将……列入计划表"
fond,adj. 喜欢的；温柔的；宠爱的
be fond of,"v. 爱好
 喜欢；喜爱；喜好"
shortcoming,n. 缺点；短处
stubborn,adj. 顽固的；顽强的；难处理的
organize,"vt. 组织；使有系统化；给予生机；组织成立工会等
vi. 组织起来；成立组织"
care about,"v. 在意
 关心；在乎；担心"
detail,"n. 细节，详情
vt. 详述；选派
vi. 画详图"
source,n. 来源；水源；原始资料
determine,"v. （使）下决心，（使）做出决定
vt. 决定，确定；判定，判决；限定
vi. 确定；决定；判决，终止；了结，终止，结束"
determined,"v. 决定；断定（determine的过去分词）
adj. 决定了的；坚决的"
change one's mind,"na. 改变想法
 改变主意；变卦；改变心意"
journey,"n. 旅行；行程
vi. 旅行"
altitude,n. 高地；高度； 顶垂线；（等级和地位等的）高级；海拔
make up one's mind,"na. 决心 (to do)
 下决心；下定决心；决定"
give in,"na. 让步；屈服；投降；上交
 交上；认输；放弃"
atlas,n. 地图集；寰椎
glacier,n. 冰河，冰川
rapids,n.  急流；湍流
valley,n. 山谷；流域；溪谷
waterfall,n. 瀑布；瀑布似的东西
pace,"n. 一步；步速；步伐；速度
vi. 踱步；缓慢而行
vt. 踱步于；用步测"
bend,"n. 弯曲
vt. 使弯曲；使屈服；使致力；使朝向
vi. 弯曲，转弯；屈服；倾向；专心于"
meander,"n. 漫步；曲流（常用复数）
vt. 漫步；蜿蜒缓慢流动
vi. 漫步；漫谈"
delta,n. （河流的）三角洲；德耳塔（希腊字母的第四个字）
attitude,n. 态度；看法；意见；姿势
Qomolangma, 珠穆朗玛峰；西藏珠穆朗玛峰；珠峰
boil,"n. 沸腾，煮沸；疖子
vt. 煮沸，烧开；使…激动；使…蒸发
vi. 煮沸，沸腾；激动，激昂"
forecast,"n. 预测，预报；预想
vt. 预报，预测；预示
vi. 进行预报，作预测"
parcel,"n. 包裹，小包
vt. 打包；捆扎"
insurance,n. 保险；保险费；保险契约；赔偿金
wool,n. 羊毛；毛线；绒线；毛织品；毛料衣物
as usual,"adv. 照常；照例
 像往常一样；像平常一样；和往常一样"
reliable,"n. 可靠的人
adj. 可靠的；可信赖的"
view,"n. 观察；视野；意见；风景
vt. 观察；考虑；查看"
yak,"n. 牦牛
喋喋不休"
pillow,"n. 枕头
vt. 垫；枕于…；使…靠在
vi. 枕着头；靠在枕上"
midnight,"n. 午夜，半夜12点钟
adj. 半夜的；漆黑的"
at midnight, 在午夜；在半夜；午夜时
flame,"n. 火焰；热情；光辉
v. 焚烧；泛红"
beneath,"prep. 在…之下
adv. 在下方"
Laos,n. 老挝
Laotian,"n. 老挝人；老挝语
adj. 老挝的；老挝人的"
temple,n. 庙宇；寺院；神殿；太阳穴
cave,"n. 洞穴，窑洞
vi. 凹陷，塌落；投降
vt. 使凹陷，使塌落；在…挖洞穴"
earthquake,n. 地震；大动荡
quake,"vi. 震动；颤抖
n. 地震；颤抖"
right away,"na. 立刻
 马上；立即；立即，马上"
well,"n. 井；源泉
adj. 良好的；健康的；适宜的
adv. 很好地；充分地；满意地；适当地
v. 涌出"
crack,"n. 裂缝；声变；噼啪声
adj. 最好的；高明的
vi. 破裂；爆裂
vt. 使破裂；打开；变声"
smelly,adj. 有臭味的，发臭的
farmyard,n. 农家庭院；农场；农家
pipe,"n. 管；烟斗；笛
vt. 用管道输送；尖声唱；用管乐器演奏
vi. 吹笛；尖叫"
burst,"n. 爆发，突发；爆炸
vt. 爆发，突发；爆炸
vi. 爆发，突发；爆炸"
million,"n. 百万；无数
adj. 百万的；无数的
num. 百万"
event,n. 事件，大事；项目；结果
as if,"na. 彷佛；活像
 好像；仿佛；似乎"
at an end,"adv. 完毕；结束
 终结；结束了；在尽头"
nation,n. 国家；民族；国民
canal,"n. 运河； 水道； 管道；灌溉水渠
vt. 在…开凿运河"
steam,"n. 蒸汽；精力
adj. 蒸汽的
vt. 蒸，散发；用蒸汽处理
vi. 蒸，冒水汽"
dirt,n. 污垢，泥土；灰尘，尘土；下流话
ruin,"n. 废墟；毁坏；灭亡
vt. 毁灭；使破产
vi. 破产；堕落；被毁灭"
in ruins, 成为废墟；一片废墟；成废墟
suffering,"n. 受难；苦楚
v. 受苦；蒙受（suffer的ing形式）
adj. 受苦的；患病的"
extreme,"n. 极端；末端；最大程度；极端的事物
adj. 极端的；极度的；偏激的；尽头的"
injure,vt. 伤害，损害
survivor,n. 幸存者；生还者；残存物
destroy,vt. 破坏；消灭；毁坏
brick,"n. 砖，砖块；砖形物；心肠好的人
adj. 用砖做的；似砖的
vt. 用砖砌"
dam,"n.  水坝；障碍
v. 控制；筑坝"
track,"n. 轨道；足迹，踪迹；小道
vt. 追踪；通过；循路而行；用纤拉
vi. 追踪；走；留下足迹"
useless,adj. 无用的；无效的
shock,"n. 休克；震惊；震动；打击；禾束堆
adj. 浓密的；蓬乱的
vt. 使休克；使震惊；使震动；使受电击；把…堆成禾束堆
vi. 感到震惊；受到震动；堆成禾束堆"
rescue,"n. 营救；援救；解救
vt. 营救；援救"
trap,"n. 陷阱；圈套； 存水湾
vt. 诱捕；使…受限制；使…陷入困境
vi. 设陷阱"
electricity,n. 电力；电流；强烈的紧张情绪
disaster,n. 灾难，灾祸；不幸
dig out,"na. 挖出；查出(事实)；慌慌忙忙走开
 掘出；挖掉；挖掘"
bury,vt. 埋葬；隐藏
mine,"n. 矿，矿藏；矿山，矿井；地雷，水雷
vt. 开采，采掘；在…布雷
vi. 开矿，采矿；埋设地雷
pron. 我的"
miner,n. 矿工；开矿机
shelter,"n. 庇护；避难所；遮盖物
vt. 保护；使掩蔽
vi. 躲避，避难"
a number of,"na. 若干；=numbers of 许多的
 一些；大量的；很多"
a great number of,"det. 极多；许多
 大量的；许多的；可数名词复数"
title,"n. 冠军；标题；头衔；权利；字幕
adj. 冠军的；标题的；头衔的
vt. 加标题于；赋予头衔；把…称为"
reporter,n. 记者
bar,"n. 条，棒；酒吧；障碍；法庭
prep. 除……外
vt. 禁止；阻拦"
damage,"vi. 损害；损毁
vt. 损害，毁坏
n. 损害；损毁；赔偿金"
frighten,"vt. 使惊吓；吓唬…
vi. 害怕，惊恐"
frightened,"v. 害怕；使吃惊；吓走（frighten的过去分词）
adj. 害怕的；受惊的；受恐吓的"
frightening,adj. 令人恐惧的；引起突然惊恐的
congratulation,n. 祝贺；贺辞
judge,"vt. 判断；审判
n. 法官；裁判员
vi. 审判；判决"
sincerely,adv. 真诚地；由衷地，诚恳地
express,"n. 快车，快递，专使；捷运公司
vt. 表达；快递
adj. 明确的；迅速的；专门的"
outline,"n. 轮廓；大纲；概要；略图
vt. 概述；略述；描画…轮廓"
headline,"n. 大标题；内容提要；栏外标题；头版头条新闻
vt. 给…加标题；使成为注意中心；大力宣传"
cyclist,n. 骑自行车的人
Nelson Mandela, 南非前总统曼德拉；纳尔逊·曼德拉；南非总统曼德拉
quality,"n. 质量， 品质；特性；才能
adj. 优质的；高品质的；<英俚>棒极了"
warm-hearted,adj. 热心的（等于warmhearted）；热诚的
mean,"adj. 平均的；卑鄙的；低劣的；吝啬的
vt. 意味；想要；意欲
n. 平均值
vi. 用意"
active,"n. 主动语态；积极分子
adj. 积极的；活跃的；主动的；有效的；现役的"
generous,adj. 慷慨的，大方的；宽宏大量的；有雅量的
easy-going,adj. 随和的，容易相处的
self,"n. 自己，自我；本质；私心
adj. 同一的
vt. 使自花授精；使近亲繁殖
vi. 自花授精"
selfish,adj. 自私的；利己主义的
selfless,adj. 无私的；不考虑自己的
selflessly,adv. 无私地；忘我地
devote,vt. 致力于；奉献
devoted,"v. 献身于…；致力于…（devote的过去分词）
adj. 献身的；忠诚的"
Bible,找不到解释
Norman Bethune,找不到解释
invader,n. 侵略者；侵入物
found,"v. 找到（find的过去分词）
vt. 创立，建立；创办"
republic,n. 共和国；共和政体
principle,n. 原理，原则；主义，道义；本质，本义；根源，源泉
nationalism,n. 民族主义；国家主义；民族特性
livelihood,n. 生计，生活；营生
Mohandas Gandhi,找不到解释
peaceful,adj. 和平的，爱好和平的；平静的
giant,"n. 巨人；伟人； 巨大的动物
adj. 巨大的；巨人般的"
leap,"vi. 跳，跳跃
n. 飞跃；跳跃
vt. 跳跃，跳过；使跃过"
mankind,n. 人类；男性
Elias,找不到解释
lawyer,n. 律师；法学家
guidance,n. 指导，引导；领导
legal,adj. 法律的；合法的；法定的；依照法律的
fee,"n. 费用；酬金；小费
vt. 付费给……"
passbook,n. 银行存折；赊帐登录本
Johannesburg,n. 约翰尼斯堡（位于南非东北部）
out of work,"na. 失业；(机器等)有毛病
 失业了；失业的；没有工作"
hopeful,"n. 有希望成功的人
adj. 有希望的；有前途的"
ANC,找不到解释
youth,n. 青年；青春；年轻；青少年时期
league,"n. 联盟；社团；范畴
vt. 使…结盟；与…联合
vi. 团结；结盟"
Youth League,找不到解释
stage,"n. 阶段；舞台；戏剧；驿站
vt. 举行；上演；筹划
vi. 举行；适于上演；乘驿车旅行"
vote,"n. 投票，选举；选票；得票数
vi. 选举，投票
vt. 提议，使投票；投票决定；公认"
attack,"n. 攻击；抨击；疾病发作
vt. 攻击；抨击；动手干
vi. 攻击；腐蚀"
violence,n. 暴力；侵犯；激烈；歪曲
as a matter of fact,"na. 事实上；事实是
 实际上；其实；实际情况"
blow up,"v. 炸掉；爆炸；充气；放大
 炸毁；发脾气；爆发"
equal,"n. 对手；匹敌；同辈；相等的事物
adj. 平等的；相等的；胜任的
vt. 等于；比得上"
in trouble,"na. 为难；被捕；未婚怀孕
 有麻烦；处于困境中；遇到麻烦"
willing,"adj. 乐意的；自愿的；心甘情愿的
v. 决心；用意志力驱使；将（财产等）遗赠某人（will的现在分词）"
unfair,adj. 不公平的，不公正的
turn to,"v. 向(某人)求助；求助于
 转向；变成；翻到"
quote,"n. 引用
vi. 报价；引用；引证
vt. 报价；引述；举证"
release,"n. 释放；发布；让与
vt. 释放；发射；让与；允许发表"
lose heart,"na. 沮丧
 失去信心；灰心；丧失勇气"
Robben Island, 罗本岛；罗宾岛；鲁宾岛
escape,"n. 逃跑；逃亡；逃走；逃跑工具或方法；野生种；泄漏
vi. 逃脱；避开；溜走；（气体，液体等）漏出；（未受伤或只受了一点伤害而）逃脱；声音（不自觉地）由…发出
vt. 逃避，避开，避免；被忘掉；被忽视"
blanket,"n. 毛毯，毯子；毯状物，覆盖层
adj. 总括的，全体的；没有限制的
vt. 覆盖，掩盖；用毯覆盖"
educate,"vt. 教育；培养；训练
vi. 教育；训练"
educated,"v. 训练；教导；培育（educate的过去分词形式）
adj. 受过教育的；有教养的"
come to power, 上台；掌权；执政
beg,"vi. 乞讨；请求
vt. 乞讨；恳求；回避正题"
relative,"n. 亲戚；相关物； 关系词；亲缘植物
adj. 相对的；有关系的；成比例的"
terror,n. 恐怖；恐怖行动；恐怖时期；可怕的人
cruelty,n. 残酷；残忍；残酷的行为
reward,"n.  报酬；报答；酬谢
vt.  奖励；奖赏"
Transkei,特兰斯凯
set up,"na. 建立；创立；发起；开办
 设立；设置；成立"
sentence,"n.  句子，命题；宣判，判决
vt. 判决，宣判"
be sentenced to, 被判处；被宣判为；徒刑
anti-black, 反黑人的
Cape Town,"n. 开普敦
 开普顿；南非；南非开普敦"
president,n. 总统；董事长；校长；主席
Nobel Peace Prize,找不到解释
opinion,n. 意见；主张
