pair,"n. 一对，一双，一副
vt. 把…组成一对"
agree,"vi. vi. 同意，意见一致；约定，商定
vt. 同意，赞成；承认；约定，商定"
agree with sb.,找不到解释
vocabulary,n. 词汇；词表；词汇量
ask for,"na. 要(价)；来找
 请求；要求；要求得到"
improve,"vt. 改善，增进；提高…的价值
vi. 增加；变得更好"
basic,"n. 基础；要素
adj. 基本的；基础的"
time,"n. 时间；时代；次数；节拍；倍数
adj. 定时的；定期的；分期的
vt. 计时；测定…的时间；安排…的速度"
advise,"vt. 建议；劝告，忠告；通知；警告
vi. 建议；与…商量"
shy,"n. 投掷；惊跳
adj. 害羞的；畏缩的，胆怯的
vi. 投；畏缩；惊退；厌恶
vt. 投；乱掷"
conversation,n. 交谈，会话；社交；交往，交际；会谈；（人与计算机的）人机对话
quickly,adv. 迅速地；很快地
natural,"adj. 自然的；物质的；天生的；不做作的
n. 自然的事情；白痴；本位音"
suggest,vt. 提议，建议；启发；使人想起；显示；暗示
place,"n. 地方；住所；座位
vt. 放置；任命；寄予
vi. 名列前茅；取得名次"
hill,n. 小山；丘陵；斜坡；山冈
population,n. 人口； 种群， 群体；全体居民
wide,"n. 大千世界
adj. 广泛的；宽的，广阔的；张大的；远离目标的
adv. 广泛地；广阔地；充分地"
million,"n. 百万；无数
adj. 百万的；无数的
num. 百万"
pretty,"n. 有吸引力的事物（尤指饰品）；漂亮的人
adj. 漂亮的；可爱的；优美的
adv. 相当地；颇"
pretty good, 非常好；相当好；很好
than,"conj. 比（用于形容词、副词的比较级之后）；除…外（用于other等之后）；与其…（用于 rather等之后）；一…就（用于 no sooner等之后）
prep. 比；超过"
get,"n. 生殖；幼兽
vi. 成为；变得；到达
vt. 使得；获得；受到；变成"
north,找不到解释
south,"n. 南方，南边；南部
adj. 南的，南方的
adv. 在南方，向南方"
west,"n. 西；西方；西部
adj. 西方的；朝西的
adv. 在西方；向西方；自西方"
home town, 家乡；故乡；故园
especially,adv. 特别；尤其；格外
be famous for,"v. 因…出名
 因…而出名；因……而著名；因……而闻名"
university,n. 大学；综合性大学；大学校舍
island,"n. 岛；岛屿；安全岛；岛状物
adj. 岛的
vt. 孤立；使成岛状"
area,n. 区域，地区；面积；范围
low,"adj. 低的，浅的；卑贱的；粗俗的；消沉的
adv. 低声地；谦卑地，低下地
n. 低；低价；低点；牛叫声
vi. 牛叫"
mountain,n. 山；山脉
countryside,n. 农村，乡下；乡下的全体居民
umbrella,n. 雨伞；保护伞；庇护；伞形结构
baseball,n. 棒球；棒球运动
volleyball,n. 排球
boring,"n. 钻孔
adj. 无聊的；令人厌烦的
v. 钻孔；使厌烦；挖空（bore的ing形式）"
exciting,"adj. 令人兴奋的；使人激动的
v. 激动；刺激（excite的ing形式）；唤起"
relaxing,"v. 放松；休息（relax的ing形式）；缓和；松懈
adj. 令人轻松的"
score,"n. 分数；二十；配乐；刻痕
vt. 获得；评价；划线，刻划；把…记下
vi. 得分；记分；刻痕"
already,adv. 已经，早已；先前
matter,"n. 物质；事件
vi. 有关系；要紧"
What's the matter ?,找不到解释
hurt,"n. 痛苦；危害；痛苦的原因
vt. 使受伤；损害；使疼痛；使痛心
adj. 受伤的；痛苦的；受损的
vi. 感到疼痛；有坏处；带来痛苦"
enjoyable,adj. 快乐的；有乐趣的；令人愉快的
Olympics,找不到解释
stadium,n. 体育场；露天大型运动场
miss,"n. 女士，小姐，年轻未婚女子
vt. 错过，想念，缺（勤）"
mind,"n. 理智，精神；意见；智力；记忆力
vt. 介意；专心于；照料
vi. 介意；注意"
plenty,"n. 丰富，大量；充足
adj. 足够的，很多的
adv. 足够"
plenty of,"na. 很多的
 许多；大量的；充足的"
beat,"n. 拍子；敲击；有规律的一连串敲打
adj. 筋疲力尽的；疲惫不堪的
vt. 打；打败
vi. 打；打败；拍打；有节奏地舒张与收缩"
careless,adj. 粗心的；无忧无虑的；淡漠的
cheer ... on,"un. 欢呼；喝采；高呼加油:；为某人打气
 向…欢呼；为…加油；鼓励"
coach,"n. 教练；旅客车厢；长途公车；四轮大马车
vt. 训练；指导
vi. 作指导；接受辅导；坐马车旅行
n.  蔻驰（皮革品牌）"
fan club,"n. …迷俱乐部；影迷（或歌迷、球迷等）会
 粉丝俱乐部；名流崇拜者俱乐部；歌迷会"
against,"prep. 反对，违反；靠；倚；防备
adj. 不利的；对立的"
train,"n. 火车；行列；长队；裙裾
v. 培养；训练；瞄准"
practice,"n. 实践；练习；惯例
vt. 练习；实习；实行
vi. 练习；实习；实行"
warm,"n. 取暖；加热
adj. 温暖的；热情的
vt. 使…兴奋；使…温暖；使…感兴趣
vi. 同情；激动；变温暖"
warm up,"na. 加热；变暖；热中起来；作准备动作
 热身；暖身；热身运动"
usual,adj. 通常的，惯例的；平常的
better,"n. 长辈；较好者；打赌的人（等于bettor）
adj. 较好的
vt. 改善；胜过
adv. 更好的；更多的；较大程度地
vi. 变得较好"
after-school,adj. 课后的，课外的
pleased,"adj. 高兴的；喜欢的；乐意做某事
v. 满意；愿意（please的过去分词形式）"
pass,"n. 及格；经过；护照；途径；传球
vt. 通过；经过；传递
vi. 经过；传递；变化；终止"
pity,"n. 怜悯，同情；遗憾
vt. 对……表示怜悯；对……感到同情"
chance,"n. 机会，际遇；运气，侥幸；可能性
vt. 偶然发生；冒……的险
vi. 碰巧；偶然被发现"
loudly,adv. 大声地，响亮地
confident,adj. 自信的；确信的
road,"n. 公路，马路；道路；手段
adj. （美）巡回的
vt. （狗）沿臭迹追逐（猎物）"
accident,n. 事故；意外； 意外事件；机遇
except,"conj. 除了；要不是
prep. 除…之外
vt. 不计；把…除外
vi. 反对"
choice,"n. 选择；选择权；精选品
adj. 精选的；仔细推敲的"
classmate,n. 同班同学
far,"n. 远方
adj. 远的；久远的
adv. 很；遥远地；久远地；到很远的距离；到很深的程度"
far from,"na. 远离；决不
 远非；完全不；远远不是"
close,"n. 结束
adj. 紧密的；亲密的；亲近的
vt. 关；结束；使靠近
vi. 关；结束；关闭
adv. 紧密地"
crowded,"adj. 拥挤的；塞满的
v. 拥挤（crowd的过去分词）"
all the time,"na. 始终；老是
 一直；总是；无时无刻"
journey,"n. 旅行；行程
vi. 旅行"
book,"n. 书籍；卷；帐簿；名册；工作簿
vt. 预订；登记"
park,"n. 公园； 停车场
vt. 停放；放置；寄存
vi. 停放车辆"
outside,"adj. 外面的，外部的；外来的
n. 外部；外观
adv. 在外面，向外面；在室外
prep. 在…范围之外"
however,"conj. 无论以何种方式; 不管怎样
adv. 无论如何；不管怎样（接副词或形容词）；然而；可是"
cost,"n. 费用，代价，成本；损失
vt. 花费；使付出；使花许多钱
vi. 花费"
actress,n. 女演员
teahouse,n. 茶馆；茶室
offer,"vt. 提供；出价；试图
n. 提议；出价；意图；录取通知书
vi. 提议；出现；献祭；求婚"
end,"n. 结束；目标；尽头；末端；死亡
vi. 结束，终止；终结
vt. 结束，终止；终结"
in the end,"na. 终于
 最后；最终；结果到头来"
no idea, 不知道；没有想法；没想法
act,"n. 行为，行动；法令，法案；（戏剧，歌剧的）一幕，段；装腔作势
vt. 扮演；装作，举动像
vi. 行动；扮演，充当；表现，举止；假装，演戏；起作用，见效"
show,"n. 显示；表演；炫耀
vt. 显示；说明；演出；展出
vi. 显示；说明；指示"
common,"n. 普通；平民；公有地
adj. 共同的；普通的；一般的；通常的"
twentieth,"n. 二十分之一
num. 第二十
adj. 第二十的；二十分之一的"
describe,vt. 描述，形容；描绘
society,n. 社会；交往；社团；社交界
head teacher,"n. 校长
 班主任；首席教师；高级教师"
college,n. 大学；学院；学会
novel,"adj. 新奇的；异常的
n. 小说"
name,"n. 名称，名字；姓名；名誉
vt. 命名，任命；指定；称呼；提名；叫出
adj. 姓名的；据以取名的"
if,"conj. （表条件）如果；即使；是否；（表假设）假如
n. 条件；设想"
magic,"n. 巫术；魔法；戏法
adj. 不可思议的；有魔力的；魔术的"
snake,"n. 蛇；阴险的人
vt. 拉（木材等）；迂回前进
vi. 迂回前进"
neck,"n. 脖子；衣领；海峡
vi. 搂著脖子亲吻；变狭窄
vt. 使变细；与…搂著脖子亲吻"
thin,"n. 细小部分
adj. 薄的；瘦的；稀薄的；微弱的
vt. 使瘦；使淡；使稀疏
vi. 变薄；变瘦；变淡
adv. 稀疏地；微弱地"
danger,n. 危险；危险物，威胁
in danger,"na. 在危险中
 垂危；处于危险中；处于危险之中"
at last,"na. 终于
 最后；最终；终於"
interested,"v. 使…感兴趣（interest的过去分词）
adj. 感兴趣的；有权益的；有成见的"
allow,"vi. 容许；考虑
vt. 允许；给予；认可"
think of,"na. 想起
 考虑；认为；想到"
protect,vt. 保护，防卫；警戒
wild,"n. 荒野
adj. 野生的；野蛮的；狂热的；荒凉的
adv. 疯狂地；胡乱地"
grow,"vi. 发展；生长；渐渐变得…
vt. 使生长；种植；扩展"
take away,"adj. 买回去的
 拿走；带走；外带"
enough,"n. 很多；充足
adj. 充足的
adv. 足够地，充足地
int. 够了！"
peace,n. 和平；平静；和睦；秩序
in peace,"na. 平平安安；安心
 和平地；安静；宁静"
notice,"n. 通知，布告；注意；公告
vt. 通知；注意到；留心
vi. 引起注意"
look after,"na. 照看；照顾；看管；对…负责
 照料；照管；目送"
raise,"n. 高地；上升；加薪
vt. 提高；筹集；养育；升起
vi. 上升"
research,"n. 研究；调查
vt. 研究；调查
vi. 研究；调查
"
baby,"n. 婴儿，婴孩；孩子气的人
adj. 婴儿的；幼小的
vt. 纵容，娇纵；把……当婴儿般对待"
situation,n. 情况；形势；处境；位置
scientist,n. 科学家
produce,"n. 农产品，产品
vt. 生产；引起；创作；生育，繁殖
vi. 生产，创作"
southwest,"n. 西南方
adj. 西南的
adv. 往西南；来自西南"
in order to,"na. 为了；从而；以便
 目的；为了……起见；以求"
government,n. 政府；政体；管辖
set,"n.  集合；一套；布景； 装置
adj. 固定的；规定的；固执的
vi. (日,月)落沉；凝固；结果
vt. 树立；点燃；点缀；"
set up,"na. 建立；创立；发起；开办
 设立；设置；成立"
nature,n. 自然；性质；本性；种类
nature park, 自然公园；天然公园；吉巴督自然公园
develop,"vi. 发育；生长；进化；显露
vt. 开发；进步；使成长；使显影"
feed,"n. 饲料；饲养；（动物或婴儿的）一餐
vt. 喂养；供给；放牧；抚养（家庭等）；靠…为生
vi. 吃东西；流入"
symbol,n. 象征；符号；标志
fall,"n. 下降；秋天；瀑布
adj. 秋天的
vi. 落下；变成；来临；减弱
vt. 砍倒；击倒"
follow,"n. 跟随；追随
vi. 跟随；接着
vt. 跟随；遵循；追求；密切注意，注视；注意；倾听"
hole,"n. 洞，孔；洞穴，穴；突破口
vt. 凿洞
vi. 凿洞，穿孔；（高尔夫球等）进洞"
rabbit,"n. 兔子，野兔
vt. 让…见鬼去吧
vi. 猎兔"
ssh,int. 嘘！
ground,"n. 地面；土地；范围；战场;根据
v. 研磨（grind的过去分词）；压迫
adj. 土地的；地面上的；磨碎的；磨过的
vt. 使接触地面；打基础；使搁浅
vi. 着陆；搁浅"
tea party,"n. 茶话会；(下午) 茶会；在美国各地抗议高额税收
 茶党；茶叶党；茶聚"
twice,adv. 两次；两倍
once or twice,"na. 一两次
 我误入歧途；只有一两次而已；一次或两次"
suddenly,adv. 突然地；忽然
pink,"n. 粉红色；化身，典范；石竹花；头面人物
adj. 粉红的；比较激进的；石竹科的；脸色发红的
vt. 扎，刺，戳；使…变粉红色；使…面红耳赤
vi. 变粉红色"
pocket,"n. 口袋；钱；容器
adj. 小型的，袖珍的；金钱上的
vt. 隐藏；忍受；将…放入衣袋
vi. 形成袋或囊"
field,"n. 领域；牧场；旷野；战场；运动场
adj. 扫描场；田赛的；野生的
vt. 把暴晒于场上；使上场
vi. 担任场外队员"
think about,"un. 思考；探讨；为…费心思；想像
 考虑；回想；思索"
deep,"n. 深处；深渊
adj. 深的；低沉的；深奥的
adv. 深入地；深深地；迟"
while,"conj. 虽然；然而；当……的时候
n. 一会儿；一段时间
vt. 消磨；轻松地度过"
land,"n. 国土；陆地；地面
vt. 使…登陆；使…陷于；将…卸下
vi. 登陆；到达"
dry,"n. 干涸
adj. 干的；口渴的；枯燥无味的；禁酒的
vt. 把…弄干
vi. 变干"
pale,"n. 前哨；栅栏；范围
adj. 苍白的；无力的；暗淡的
vt. 使失色；使变苍白；用栅栏围
vi. 失色；变苍白；变得暗淡"
appear,vi. 出现；显得；似乎；出庭；登场
round,"n. 圆；循环；一回合；圆形物
prep. 附近；绕过；大约；在…周围
adj. 圆的；完全的；大概的；肥胖的
vt. 完成；围捕；绕行；弄圆
adv. 在周围；迂回地；朝反方向；挨个
vi. 进展；变圆；环行；发胖"
corner,"n. 角落，拐角处；地区，偏僻处；困境，窘境
vt. 垄断；迫至一隅；使陷入绝境；把…难住
vi. 囤积；相交成角"
hit,"n. 打；打击；（演出等）成功；讽刺
vt. 打击；袭击；碰撞；偶然发现；伤…的感情
vi. 打；打击；碰撞；偶然碰上"
glad,"adj. 高兴的；乐意的；令人高兴的；灿烂美丽的
vt. 使高兴"
in time,"na. 经过一段时间以后；早晚；在恰好的时候；和…合拍
 及时；钟点战；时间规划局"
fall off ...,找不到解释
risk,"n. 风险；危险；冒险
vt. 冒…的危险"
attention,n. 注意力；关心；立正！（口令）
pay attention,"v. 注意
 专心；集中注意力；关注"
side,"n. 方面；侧面；旁边
adj. 旁的，侧的
vt. 同意，支持
vi. 支持；赞助；偏袒"
side by side,"na. 并排着
 肩并肩；肩并肩地；朗文国际英语教程"
bite,"n. 咬；一口；咬伤；刺痛
abbr. 机内测试设备（Built-In Test Equipment）
vt. 咬；刺痛
vi. 咬；刺痛"
climb,"n. 爬；攀登
vi. 爬；攀登；上升
vt. 爬；攀登；上升"
hide,"n. 躲藏；兽皮；躲藏处
vt. 隐藏；隐瞒；鞭打
vi. 隐藏"
throw,"n. 投掷；冒险
vt. 投；抛；掷
vi. 抛；投掷"
fridge,n. 电冰箱
pain,"n. 疼痛；努力
vt. 使…痛苦；使…烦恼
vi. 感到疼痛；引起疼痛"
worse,"n. 更坏的事；更恶劣的事
adj. 更坏的；更差的；更恶劣的（bad的比较级）；（病情）更重的（ill的比较级）
adv. 更糟；更坏；更恶劣地；更坏地"
medicine,"n. 药；医学；内科；巫术
vt. 用药物治疗；给…用药"
noise,"n.  噪音；响声；杂音
vt. 谣传
vi. 发出声音；大声议论"
prepare,"vt. 准备；使适合；装备；起草
vi. 预备；做好思想准备"
notes,n. 注释，说明，笔记（note复数）； 票据
report,"n. 报告；报道；成绩单
vt. 报告；报导；使报到
vi. 报告；报到；写报导"
grow,"vi. 发展；生长；渐渐变得…
vt. 使生长；种植；扩展"
huge,adj. 巨大的；庞大的；无限的
cause,"n. 原因；事业；目标
vt. 引起；使遭受"
problem,"n. 难题；引起麻烦的人
adj. 成问题的；难处理的"
increase,"n. 增加，增长；提高
vt. 增加，加大
vi. 增加，增大；繁殖"
birth,n. 出生；血统，出身；起源
billion,"num. 十亿
n. 十亿；大量
adj. 十亿的"
fifth,"num. 第五
n. 第五；五分之一
adj. 第五的；五分之一的"
hang on,"v. 坚守；守住；坚持；支撑着
 坚持下去；抓紧不放；等一下"
flat,"n. 平地；公寓；平面
adj. 平的；单调的；不景气的；干脆的；平坦的；扁平的；浅的
vi. 逐渐变平；以降调唱（或奏）
vt. 使变平；使（音调）下降，尤指降半音
adv. （尤指贴着另一表面）平直地；断然地；水平地；直接地，完全地"
rubbish,"n. 垃圾，废物；废话
adj. 毫无价值的"
quiet,"n. 安静；和平
adj. 安静的；安定的；不动的；温顺的
vt. 使平息；安慰
vi. 平静下来"
local,"n.  局部；当地居民；本地新闻
adj. 当地的；局部的；地方性的；乡土的"
close down,"v. 关闭；关门；倒闭；歇业
 停业；查封；封闭"
pupil,n. 学生； 瞳孔；未成年人
pollution,"n. 污染
污染物"
public,"n. 公众；社会；公共场所
adj. 公众的；政府的；公用的；公立的"
service,"n. 服务，服侍；服役；仪式
adj. 服务性的；耐用的；服现役的
vt. 维修，检修；保养"
solve,"vt. 解决；解答；溶解
vi. 作解答"
cloud,"n. 云；阴云；云状物；一大群；黑斑
vt. 使混乱；以云遮敝；使忧郁；玷污
vi. 阴沉；乌云密布"
shower,"n. 淋浴；（倾泻般出现的）一阵，一大批；阵雨
vt. 大量地给予；把……弄湿
vi. 淋浴；下阵雨"
snow,"n. 雪，积雪；下雪
vt. 使纷纷落下；使变白
vi. 降雪"
storm,"n. 暴风雨；大动荡
vt. 猛攻；怒骂
vi. 起风暴；横冲直撞；狂怒咆哮"
cloudy,adj. 多云的；阴天的；愁容满面的
rainy,adj. 下雨的；多雨的
snowy,adj. 下雪的，多雪的；被雪覆盖的；洁白无瑕的
sunny,adj. 阳光充足的，和煦的；快活的；性情开朗的
windy,adj. 多风的，有风的；腹胀的；吹牛的
skate,"n. 溜冰；冰鞋
vi. 滑冰；滑过"
thick,"n. 最拥挤部分；活动最多部分；事物的粗大浓密部分
adj. 厚的；浓的；粗大的
adv. 密集地；浓浓地，厚厚地"
ice,"n. 冰；冰淇淋；矜持；（俚）钻石
adj. 冰的
vt. 冰镇；结冰
vi. 结冰"
joke,"n. 玩笑，笑话；笑柄
vt. 开…的玩笑
vi. 开玩笑"
might,"n. 力量；威力；势力
v. 可以；或许（may的过去式）；应该
aux. 可能；也许"
temperature,n. 温度；体温；气温；发烧
minus,"prep. 减，减去
n. 负号，减号；不足；负数
adj. 减的；负的"
degree,n. 程度，等级；度；学位；阶层
although,conj. 尽管；虽然；但是；然而
wet,"n. 雨天；湿气
adj.  潮湿的；有雨的
vt. 弄湿
vi. 变湿"
neither,"conj. 也不；既不
adv. 两个都不；既不……也不
adj. 两者都不的
pron. 两者都不"
terrible,"adj. 可怕的；很糟的；令人讨厌的
adv. 很，非常"
wish,"n. 希望；祝福；心愿
vt. 祝愿；渴望；向…致问候语
vi. 愿望；需要"
probably,adv. 大概；或许；很可能
come on,"na. (演员)出台；进行(很好)；(暴风雨等)起；(病,苦痛等)加深
 来吧；加油；快点"
mile,n. 英里；一英里赛跑；较大的距离
round,"n. 圆；循环；一回合；圆形物
prep. 附近；绕过；大约；在…周围
adj. 圆的；完全的；大概的；肥胖的
vt. 完成；围捕；绕行；弄圆
adv. 在周围；迂回地；朝反方向；挨个
vi. 进展；变圆；环行；发胖"
northwest,"adj. 西北的；向西北的；来自西北的
n. 西北
adv. 在西北；向西北；来自西北"
southeast,"n. 东南；东南地区
adj. 东南的；来自东南的
adv. 来自东南"
from time to time,"na. 时时
 有时；不时；不时地"
cap,"n. 盖；帽子
vt. 覆盖；胜过；给…戴帽；加盖于
vi. 脱帽致意"
chess,n. 国际象棋，西洋棋
set,"n.  集合；一套；布景； 装置
adj. 固定的；规定的；固执的
vi. (日,月)落沉；凝固；结果
vt. 树立；点燃；点缀；"
a chess set,找不到解释
chopstick,n. 筷子
toy,"n. 玩具；小装饰品；不值钱的东西
adj. 作为玩具的；玩物似的
vi. 玩弄；调情；随随便便地对待"
video,"n.  视频；录像，录像机；电视
adj. 视频的；录像的；电视的
v. 录制"
video game,"n. 电子游戏
 视频游戏；电视游戏；游戏机"
gift,"n. 礼物；天赋；赠品
vt. 赋予；向…赠送"
surprise,"n. 惊奇，诧异；突然袭击
adj. 令人惊讶的
vt. 使惊奇；奇袭"
immediately,"conj. 一…就
adv. 立即，立刻；直接地"
difference,n. 差异；不同；争执
accept,"vi. 承认；同意；承兑
vt. 接受；承认；承担；承兑；容纳"
tradition,n. 惯例，传统；传说
example,"n. 例子；榜样
vt. 作为…的例子；为…做出榜样
vi. 举例"
for example,"na. 例如
 举例；比如；比如说"
must,"aux. 必须，一定；可以，应当；很可能
n. 绝对必要的事物；未发酵葡萄汁"
month,n. 月，一个月的时间
serious,adj. 严肃的，严重的；认真的；庄重的；危急的
taste,"n. 味道；品味；审美
vt. 尝；体验
vi. 尝起来；有…的味道"
experience,"n. 经验；经历；体验
vt. 经验；经历；体验"
stay,"n. 逗留；停止；支柱
vi. 停留；坚持；暂住；停下
vt. 坚持；暂住；抑制"
someone,pron. 有人，某人
for the first time,"na. 第一次
 首次；初次；从第一次开始"
sandwich,"n. 三明治；夹心面包
vt. 夹入；挤进；把...做成三明治"
chip,"n.  芯片；筹码；碎片；(食物的) 小片; 薄片
vt. 削，凿；削成碎片
vi. 剥落；碎裂"
fish and chips,"n. 炸鱼加土豆条；炸鱼薯条
 炸鱼和薯条；炸鱼与薯条；炸鱼和土豆片"
onto,"prep. 在…之上；对…了解；映射到…上
adj. 映射的；自身的；映成的"
gentleman,n. 先生；绅士；有身份的人
shoulder,"n. 肩，肩膀；肩部
vi. 用肩推挤，用肩顶
vt. 肩负，承担"
broken,"v. 折断；打碎；损坏（break的过去分词）
adj. 破碎的；坏掉的"
glass,"n. 玻璃；玻璃制品；镜子
vt. 反映；给某物加玻璃
vi. 成玻璃状"
stairs,n. 楼梯；梯级（stair的复数）
aid,"n. 援助；帮助；助手；帮助者
vt. 援助；帮助；有助于
vi. 帮助"
first aid,"n. 急救
 急救方法；急救员；急救知识"
medical,"adj. 医学的；药的；内科的
n. 医生；体格检查"
imagine,"vi. 想像；猜想；想像起来
vt. 想像；猜想；臆断"
bottom,"n. 底部；末端；臀部；尽头
adj. 底部的
vt. 装底；测量深浅；查明真相
vi. 到达底部；建立基础"
at the bottom of ...,找不到解释
wrong,"n. 坏事；不公正
adj. 错误的；失常的；不适当的
vt. 委屈；无理地对待；诽谤
adv. 错误地；邪恶地，不正当地"
What's wrong with ...?,找不到解释
trouble,"n. 麻烦；烦恼；故障；动乱
vt. 麻烦；使烦恼；折磨
vi. 费心，烦恼"
lift,"vt. 举起；提升；鼓舞；空运；抄袭
vi. 消散；升起；耸立
n. 电梯；举起；起重机；搭车"
lift up,"na. 同“lift”；提起来
 举起；抬起；提升"
harmful,adj. 有害的；能造成损害的
drop,"n. 滴；落下；空投；微量；滴剂
vt. 滴；使降低；使终止；随口漏出
vi. 下降；终止"
training,"n. 训练；培养；瞄准；整枝
v. 训练；教养（train的ing形式）"
make sure,"na. 尽力做到；深信；务必；务请
 确保；查明；确信"
cover,"n. 封面，封皮；盖子；掩蔽物;幌子，借口
vt. 包括；采访，报导；涉及
vi. 覆盖；代替"
earthquake,n. 地震；大动荡
warn,"vt. 警告，提醒；通知
vi. 发出警告，发出预告"
inside,"prep. 少于；在…之内
n. 里面；内部；内情；内脏
adj. 里面的；内部的；秘密的
adv. 在里面"
under,"prep. 低于，少于；在...之下
adj. 下面的；从属的
adv. 在下面；在下方"
window,n. 窗；窗口；窗户
keep,"vt. 保持；经营；遵守；饲养
vi. 保持；继续不断
n. 保持；生计；生活费"
clear,"n. 清除；空隙
adj. 清楚的；清澈的；晴朗的；无罪的
vt. 通过；清除；使干净；跳过
vi. 放晴；变清澈
adv. 清晰地；完全地"
keep clear of ...,找不到解释
calm,"n. 风平浪静
adj. 静的，平静的；沉着的
vt. 使平静；使镇定
vi. 平静下来；镇定下来"
brave,"n. 勇士
adj. 勇敢的；华丽的
vt. 勇敢地面对"
helpful,adj. 有帮助的；有益的
power,"n. 力量，能力；电力，功率；政权，势力； 幂
adj. 借影响有权势人物以操纵权力的
vt. 激励；供以动力；使…有力量
vi. 快速前进"
