abnormal,adj. 反常的，不规则的；变态的
embrace,"n. 拥抱
vt. 拥抱；信奉，皈依；包含
vi. 拥抱"
enlist,"vt. 使入伍；征募；谋取…的赞助或帮助
vi. 支持；从军；应募；赞助"
embody,vt. 体现，使具体化；具体表达
enlarge,"vt. 扩大；使增大；扩展
vi. 扩大；放大；详述"
empower,vt. 授权，允许；使能够
enlighten,vt. 启发，启蒙；教导，开导；照耀
expel,vt. 驱逐；开除
ex-wife,n. 前妻
extract,"n. 汁；摘录；榨出物；选粹
vt. 提取；取出；摘录；榨取"
ex-president,n. 前任总统
extraordinary,adj. 非凡的；特别的；离奇的；临时的；特派的
extravagant,adj. 奢侈的；浪费的；过度的；放纵的
extracurricular,adj. 课外的；业余的；婚外的
foresee,vt. 预见；预知
foreword,n. 序；前言
foreshadow,"vt. 预示；成为…的前兆
n. 预兆"
illegal,"n. 非法移民，非法劳工
adj.  非法的；违法的；违反规则的"
illustrate,"vi. 举例
vt. 阐明，举例说明；图解"
illogical,adj. 不合逻辑的；不合常理的
illuminate,"vt. 阐明，说明；照亮；使灿烂；用灯装饰
vi. 照亮"
impossible,"n. 不可能；不可能的事
adj. 不可能的；不可能存在的；难以忍受的；不真实的"
inability,n. 无能力；无才能
imprison,vt. 监禁；关押；使…下狱
include,vt. 包含，包括
impress,"n. 印象，印记；特征，痕迹
vi. 给人印象
vt. 盖印；强征；传送；给予某人深刻印象"
infect,vt. 感染，传染
immobile,adj. 固定的；稳定的；不变的
incorrect,adj. 错误的，不正确的；不适当的；不真实的
international,"n. 国际组织；国际体育比赛；外国居留者；国际股票
adj. 国际的；两国（或以上）国家的；超越国界的；国际关系的；世界的"
interact,"n. 幕间剧；幕间休息
vt. 互相影响；互相作用
vi. 互相影响；互相作用"
interstellar,adj.  星际的
interview,"n. 接见，采访；面试，面谈
vt. 采访；接见；对…进行面谈；对某人进行面试"
intracity,adj. 市内的
intrapersonal,adj. 内心的；个人头脑中的
intranet,n. 内联网；企业内部网
introduce,vt. 介绍；引进；提出；采用
introspect,"vt. 对…进行自省
vi. 反省；内省"
introvert,"n. 内向的人；内翻的东西
vi. 成为内弯；成为性格内向的人
vt. 使内向；使内倾；使内弯"
irregular,"n. 不规则物；不合规格的产品
adj. 不规则的；无规律的；非正规的；不合法的"
irrigate,"vt. 灌溉；冲洗；使清新
vi. 灌溉；冲洗"
irreplaceable,adj. 不能替代的，不能调换的
kilogram,n. 公斤；千克
kilometer,n.  公里； 千米（等于kilometre）
kilobyte,找不到解释
macroscale,n. 宏观尺度；大规模
macroeconomics,"n. 宏观经济学
 宏观经济学的"
macrostructure,n. 宏观结构
malnutrition,n. 营养失调，营养不良
malevolent,adj. 恶毒的；有恶意的；坏心肠的
malignant,"adj.  恶性的；有害的；有恶意的
n. 保王党员；怀恶意的人"
malefaction,n. 罪行；罪恶；犯罪行为
malcontent,"adj. 不满的；不服的
n. 不满现状的人；反抗者"
microphone,n. 扩音器，麦克风
microwave,n. 微波
microworld,微型世界；微观世界
misunderstand,vt. 误解；误会
misfortune,n. 不幸；灾祸，灾难
mistrust,"vt. 不信任；怀疑
vi. 不信任；怀疑
n. 不信任；怀疑"
multimedia,"n. 多媒体
adj. 多媒体的"
multiangular,adj. 多角的
multilingual,"adj. 使用多种语言的
n. 使用多种语言的人"
nonsense,"n. 胡说；废话
adj. 荒谬的
int. 胡说！"
nonstop,"adj. 直达的；不休息的；不着陆的
n. 直达车
adv. 不休息地"
nonviolent,"adj. 非暴力的
不使用暴力的"
outlive,vt. 比…活得长；比…经久；经受住；渡过…而存在
outbreak,"n. （战争的）爆发；（疾病的）发作
vi. 爆发"
outperform,vt. 胜过；做得比……好
outflow,"n. 流出；流出量；流出物
vi. 流出"
overcrowded,"adj. 过度拥挤的
v. 拥挤（overcrowd的过去分词）"
overhead,"adv. 在头顶上；在空中；在高处
adj. 高架的；在头上的；在头顶上的
n. 天花板； 经常费用；间接费用；吊脚架空层"
overpower,vt. 压倒；克服；使无法忍受
overburden,"vt. 使负担过重；使过劳
n. 表土（等于burden，capping）；过重的负担"
overthrow,"n. 推翻；倾覆；瓦解
vt. 推翻；打倒；倾覆"
postpone,"vt. 使…延期；把…放在次要地位；把…放在后面
vi. 延缓，延迟；延缓发作"
postmodern,adj. 后现代的
postwar,"n. 战后时期
adj. 战后的
adv. 战后；在战后"
predict,"vi. 作出预言；作预料，作预报
vt. 预报，预言；预知"
prewar,"adj. 战前的
adv. 在战前"
prepay,vt. 预付；提前缴纳
progress,"n. 进步，发展；前进
vi. 前进，进步；进行"
pronoun,n. 代词
prolong,vt. 延长；拖延
proconsul,n. （古罗马）地方总督；（英）殖民地总督
recall,"n. 召回；回忆；撤消
vt. 召回；回想起，记起；取消"
resist,"n.  抗蚀剂；防染剂
vt. 抵抗；忍耐，忍住
vi. 抵抗，抗拒；忍耐"
rearrange,vt. 重新排列；重新整理
reflect,"vt. 反映；反射，照出；表达；显示;反省
vi. 反射，映现；深思"
reproduction,n. 繁殖，生殖；复制；复制品
stepmother,n. 继母，后母
stepchild,n. 妻与前夫所生的孩子；夫与前妻所生子女；受到冷落的人或物
stepbrother,n. 同父异母的兄弟；同母异父的兄弟
subway,"n. 地铁；地道
vi. 乘地铁"
subtropics,n.  亚热带
subordinate,"n. 下属，下级；部属，属下
adj. 从属的；次要的
vt. 使……居下位；使……服从"
subconscious,"n. 潜在意识；下意识心理活动
adj. 潜意识的；下意识的"
subeditor,n. 副主编；副编辑；助理编辑
superpower,n. 超级大国；超级强权
supernutrition,n. 营养过多，滋养过多
superiority,n. 优越，优势；优越性
supersonic,"n. 超音速；超声波
adj. 超音速的；超声波的"
surface,"n. 表面；表层；外观
adj. 表面的，肤浅的
vt. 使浮出水面；使成平面
vi. 浮出水面"
surround,"n. 围绕物
vt. 围绕；包围
adj. 环绕立体声的"
surpass,vt. 超越；胜过，优于；非…所能办到或理解
surrender,"n. 投降；放弃；交出；屈服
vt. 使投降；放弃；交出；听任
vi. 投降；屈服；自首"
transparent,adj. 透明的；显然的；坦率的；易懂的
transfer,"n. 转让；转移；传递；过户
vt. 使转移；调任
vi. 转让；转学；换车"
transfrontier,adj. 在国境外生活的；在国外做的
transform,"vt. 改变，使…变形；转换
vi. 变换，改变；转化"
ultraliberal,（尤指政治上）极端自由主义的
ultraviolet,"adj. 紫外的；紫外线的
n. 紫外线辐射，紫外光"
ultrapure,adj. 超纯的
ultracritical,adj. 过于批评的，吹毛求疵的
uncertain,adj. 无常的；含糊的；靠不住的；迟疑不决的
unfold,"vi. 展开；显露
vt. 打开；呈现"
unacceptable,adj. 不能接受的；不受欢迎的
unpack,"vi. 打开包裹
vt. 卸下…；解除…的负担"
underground,"n. 地下；地铁；地道；地下组织；秘密活动；先锋派团体
adj. 地下的；秘密的；先锋派的
adv. 在地下；秘密地"
underestimate,"n. 低估
vt. 低估；看轻"
underofficer,"使官员配备不足
下级官员"
underscore,"n. 底线， 下划线
vt. 强调；划线于…下"
underdeveloped,adj. 不发达的
uphold,vt. 支撑；鼓励；赞成；举起
uproot,"vt. 根除，连根拔起；迫使某人离开出生地或定居处
vi. 迁离；改变生活方式"
upgrade,"n. 升级；上升；上坡
vt. 使升级；提升；改良品种
adj. 向上的
adv. 往上"
vice-president,n. 副总裁；副总统；副校长
vice-chairman,n. 副主席；副议长
vice-manager,副经理
withdraw,"vt. 撤退；收回；撤消；拉开
vi. 撤退；离开"
withhold,"vt. 保留，不给；隐瞒；抑制
vi. 忍住；克制"
withstand,"vt. 抵挡；禁得起；反抗
vi. 反抗"
dependability,n. 可靠性；可信任
sensibility,n. 情感；敏感性；感觉；识别力
variability,n. 可变性，变化性； 变异性
resistibility,"n. 可抵抗性, 抵抗力"
comparable,adj. 可比较的；比得上的
credible,adj. 可靠的，可信的
desirable,"n. 合意的人或事物
adj. 令人满意的；值得要的"
flexible,adj. 灵活的；柔韧的；易弯曲的
notably,adv. 显著地；尤其
dishonourably,adv. 不光彩
reasonably,adv. 合理地；相当地；适度地
beverage,n. 饮料
marriage,n. 结婚；婚姻生活；密切结合，合并
advantage,"n. 优势；利益；有利条件
vt. 有利于；使处于优势
vi. 获利"
bandage,"n. 绷带
vt. 用绷带包扎"
spoilage,n. 损坏，糟蹋；掠夺；损坏物
emotional,adj. 情绪的；易激动的；感动人的
aboriginal,"n. 土著居民；土生生物
adj. 土著的；原始的"
hospital,n. 医院
exceptional,"n. 超常的学生
adj. 异常的，例外的"
appraisal,n. 评价；估价（尤指估价财产，以便征税）；估计
republican,"n. 共和党人
adj. 共和党的
共和的"
suburban,"n. 郊区居民
adj. 郊区的，城郊的；土气的；见闻不广的"
artisan,n. 工匠，技工
civilian,"n. 平民，百姓
adj. 民用的；百姓的，平民的"
disturbance,n. 干扰；骚乱；忧虑
vacancy,n. 空缺；空位；空白；空虚
appearance,n. 外貌，外观；出现，露面
compliancy,n. 顺从；依从（等于compliance）
resistant,"n. 抵抗者
adj. 抵抗的，反抗的；顽固的"
accountant,n. 会计师；会计人员
stimulant,"n.  兴奋剂；刺激物；酒精饮料
adj. 激励的；使人兴奋的"
tolerant,adj. 宽容的；容忍的；有耐药力的
assistant,"n. 助手，助理，助教
adj. 辅助的，助理的；有帮助的"
fascinate,"vt. 使着迷，使神魂颠倒
vi. 入迷"
considerate,adj. 体贴的；体谅的；考虑周到的
delegate,"n. 代表
vt. 委派…为代表"
accentuate,vt. 强调；重读
candidate,n. 候选人，候补者；应试者
combination,n. 结合；组合；联合； 化合
determination,n. 决心；果断；测定
excitation,n. 激发，刺激；激励；激动
muscular,adj. 肌肉的；肌肉发达的；强健的
particular,"n. 详细说明；个别项目
adj. 特别的；详细的；独有的；挑剔的"
spectacular,adj. 壮观的，惊人的；公开展示的
articular,adj.  关节的
kingdom,n. 王国；界；领域
freedom,n. 自由，自主；直率
filmdom,n. 电影界；电影业
wisdom,n. 智慧，才智；明智；学识；至理名言
gifted,"adj. 有天赋的；有才华的
v. 给予（gift的过去分词）"
abandoned,"v. 抛弃（abandon的过去式和过去分词）
adj. 被抛弃的；无约束的；恣意放荡的；寡廉鲜耻的"
aged,"v. 老化（age的过去式）；成熟；变老
adj. 年老的；…岁的；老年人特有的"
impressed,adj. 印象深刻的；外加的；受感动的；了不起的
employee,n. 雇员；从业员工
absentee,"n. 缺席者
缺席投票的
缺席的"
appointee,n. 被任命者
broaden,"vt. 使扩大；使变宽
vi. 扩大，变阔；变宽，加宽"
wooden,adj. 木制的；僵硬的，呆板的
chicken,"n. 鸡肉；小鸡；胆小鬼，懦夫
adj. 鸡肉的；胆怯的；幼小的"
darken,"vt. 使变暗；使模糊
vi. 变黑；变得模糊"
maiden,"adj. 未婚的，处女的；初次的
n. 少女；处女"
dependence,n. 依赖；依靠；信任；信赖
emergence,n. 出现，浮现；发生；露头
insistence,n. 坚持，强调；坚决主张
banker,n. 银行家；银行业者；掘土工
boiler,n. 锅炉；烧水壶，热水器；盛热水器
chatter,"n. 唠叨；饶舌；（动物的）啁啾声；潺潺流水声
vt. 喋喋不休地说；使卡嗒卡嗒作声
vi. 唠叨；喋喋不休；（动物等）吱吱叫"
carrier,n.  载体；运送者；带菌者；货架
woodpecker,n.  啄木鸟
actress,n. 女演员
hostess,n. 女主人，女老板；女服务员；舞女；女房东
waitress,"n. 女服务员；女侍者
vi. 做女服务生"
careful,adj. 仔细的，小心的
handful,n. 少数；一把；棘手事
doubtful,adj. 可疑的；令人生疑的；疑心的；不能确定的
dishful,n. 一碟，一碟量; 满盘
purify,"vt. 净化；使纯净
vi. 净化；变纯净"
beautify,"vt. 使美化，使变美
vi. 美化"
uglify,vt. 弄成难看，丑化
classify,vt. 分类；分等
fatherhood,n. 父亲的身份；父权；父性；父道
childhood,n. 童年时期；幼年时代
likelihood,n. 可能性，可能
boyhood,n. 童年，少年时代；男孩们
commercial,"n. 商业广告
adj. 商业的；营利的；靠广告收入的"
confidential,adj. 机密的；表示信任的；获信任的
facial,"n. 美容，美颜；脸部按摩
adj. 面部的，表面的；脸的，面部用的"
historian,n. 历史学家
Egyptian,"n. 埃及人；古代埃及语
adj. 埃及的；埃及人的"
musician,n. 音乐家
Canadian,"n. 加拿大人
adj. 加拿大（人）的"
poetic,"n. 诗学，诗论
adj. 诗的，诗歌的；诗意的；诗人的"
critic,n. 批评家，评论家；爱挑剔的人
logic,"n. 逻辑；逻辑学；逻辑性
adj. 逻辑的"
organic,adj.  有机的；组织的；器官的；根本的
mimic,"vt. 模仿，摹拟
n. 效颦者，模仿者；仿制品；小丑
adj. 模仿的，模拟的；假装的"
electrician,n. 电工；电气技师
technician,n. 技师，技术员；技巧纯熟的人
logician,n. 逻辑学家；论理学者
physics,n. 物理学；物理现象
dynamics,n. 动力学，力学
economics,n. 经济学；国家的经济状况
ageing,"n. 老化；变老，成熟
adj. 变老的，老化的
v. 变老（age的现在分词）"
building,"n. 建筑；建筑物
v. 建筑；建立；增加（build的ing形式）"
exciting,"adj. 令人兴奋的；使人激动的
v. 激动；刺激（excite的ing形式）；唤起"
clothing,"n. （总称） 服装；帆装
v. 覆盖（clothe的ing形式）；给…穿衣"
fascinating,"adj. 迷人的；吸引人的；使人神魂颠倒的
v. 使…着迷；使…陶醉（fascinate的ing形式）"
inflation,n. 膨胀；通货膨胀；夸张；自命不凡
mansion,n. 大厦；宅邸
discussion,n. 讨论，议论
carnation,"n.  康乃馨；肉色；粉红色
adj. 肉红色的"
civilisation,n. （英）文明（等于civilization）
civilization,n. 文明；文化
modernisation,n. <主英>=modernization
authorisation,n. 授权；批准
realise,"vt. 实现, 认识到, 体会到, 了解, 认清, 使显得逼真, 变卖财产为现钱"
realize,vt. 实现；认识到；了解；将某物卖得，把(证券等)变成现钱；变卖
advertise,"vt. 通知；为…做广告；使突出
vi. 做广告，登广告；作宣传"
publicise,vt. 宣传，宣扬；公布，颂
childish,adj. 幼稚的，孩子气的
finish,"n. 结束；完美；回味（葡萄酒）
vt. 完成；结束；用完
vi. 结束，终止；终结"
foolish,adj. 愚蠢的；傻的
flourish,"n. 兴旺；茂盛；挥舞；炫耀；华饰
vi. 繁荣，兴旺；茂盛；活跃；处于旺盛时期
vt. 夸耀；挥舞"
dentist,"n. 牙科医生
牙医诊所"
capitalist,"n. 资本家；资本主义者
adj. 资本主义的；资本家的"
moralist,n. 道德家；伦理学者
communist,"n. 共产党员；共产主义者
adj. 共产主义的"
addictive,adj. 使人上瘾的
detective,"n. 侦探
adj. 侦探的"
explosive,"n. 炸药；爆炸物
adj. 爆炸的；爆炸性的；爆发性的"
appreciative,adj. 感激的；赏识的；有欣赏力的；承认有价值的
native,"adj. 本国的；土著的；天然的；与生俱来的；天赋的
n. 本地人；土产；当地居民"
endless,adj. 无止境的；连续的；环状的；漫无目的的
homeless,"adj. 无家可归的
无家可归的人
无家可归"
hopeless,adj. 绝望的；不可救药的
costly,adj. 昂贵的；代价高的
largely,adv. 主要地；大部分；大量地
friendly,"adj. 友好的；亲切的；支持的；融洽的，和睦的
adv. 友善地；温和地"
widely,adv. 广泛地
agreement,n. 协议；同意，一致
basement,n. 地下室；地窖
development,n. 发展；开发；发育；住宅小区（专指由同一开发商开发的）； 显影
equipment,n. 设备，装备；器材
kindness,n. 仁慈；好意；友好的行为
weakness,n. 弱点；软弱；嗜好
brightness,n.  亮度；聪明，活泼；鲜艳；愉快
inventor,n. 发明家； 发明人；创造者
detector,n. 探测器；检测器；发现者；侦察器
horror,n. 惊骇；惨状；极端厌恶；令人恐怖的事物
sailor,n. 水手，海员；乘船者
terror,n. 恐怖；恐怖行动；恐怖时期；可怕的人
friendship,n. 友谊；友爱；友善
citizenship,n.  公民身份，公民资格；国籍；公民权
fellowship,n. 团体；友谊；奖学金；研究员职位
membership,n. 资格；成员资格；会员身份
expansion,n. 膨胀；阐述；扩张物
suspension,n. 悬浮；暂停；停职
division,n.  除法；部门；分配；分割；师（军队）；赛区
tiresome,adj. 烦人的，无聊的；令人讨厌的
troublesome,adj. 麻烦的；讨厌的；使人苦恼的
fearsome,adj. 可怕的；害怕的；极大的
certainty,n. 必然；确实；确实的事情
seventy,"n. 七十；七十个；七十岁；七十年代
num. 七十
adj. 七十的；七十个的；七十岁的"
cruelty,n. 残酷；残忍；残酷的行为
sixty,num. 六十；六十个
actual,adj. 真实的，实际的；现行的，目前的
gradual,"n. 弥撒升阶圣歌集
adj. 逐渐的；平缓的"
mutual,adj. 共同的；相互的，彼此的
backward,"adj. 向后的；反向的；发展迟缓的
adv. 向后地；相反地"
forward,"n. 前锋
adj. 向前的；早的；迅速的
adv. 向前地；向将来
vt. 促进；转寄；运送"
heavenward,"adj. 朝向天国的；朝向天空的
adv. 朝向天国地；朝向天空地"
sleepy,adj. 欲睡的；困乏的；不活跃的
discovery,n. 发现，发觉；被发现的事物
woody,adj. 木质的；多树木的；木头似的
jealousy,n. 嫉妒；猜忌；戒备
disable,vt. 使失去能力；使残废；使无资格
ability,n. 能力，能耐；才能
able,adj. 能； 有能力的；能干的
habilitate,"vt. 提供周转资金；给…穿着
vi. 取得任职资格"
activity,n. 活动；行动；活跃
exact,"adj. 准确的，精密的；精确的
vt. 要求；强求；急需
vi. 勒索钱财"
react,"vi. 反应；影响；反抗；起反作用
vt. 使发生相互作用；使起化学反应"
anniversary,n. 周年纪念日
annuity,n. 年金，养老金；年金保险；年金享受权
annals,n. 年报；编年史；年鉴
artifact,n. 人工制品；手工艺品
article,"n. 文章；物品；条款； 冠词
vt. 订约将…收为学徒或见习生；使…受协议条款的约束
vi. 签订协议；进行控告"
artful,adj. 巧妙的；狡猾的；有技巧的；欺诈的
articular,adj.  关节的
articulate,"adj. 发音清晰的；口才好的；有关节的
vt. 清晰地发（音）；明确有力地表达；用关节连接；使相互连贯
vi. 发音；清楚地讲话；用关节连接起来
n. 有节体的动物"
audience,n. 观众；听众；读者；接见；正式会见；拜会
auditor,n. 审计员；听者；旁听生
audible,"adj. 听得见的
听得见地"
auditorium,n. 礼堂，会堂；观众席
authentic,adj. 真正的，真实的；可信的
automatic,"n. 自动机械；自动手枪
adj. 自动的；无意识的；必然的"
autism,n.  孤独症；自我中心主义
autonomy,n. 自治，自治权
abandon,"n. 放任；狂热
vt. 遗弃；放弃"
banal,adj. 陈腐的；平庸的；老一套的
banish,vt. 放逐；驱逐
baseborn,adj. 出身微贱的，庶生的
subbase,n. 底基层；后备基地
basis,n. 基础；底部；主要成分；基本原则或原理
basic,"n. 基础；要素
adj. 基本的；基础的"
biochemistry,"n. 生物化学
生物化学过程"
biography,n. 传记；档案；个人简介
biology,n. （一个地区全部的）生物；生物学
antibiotic,"n. 抗生素，抗菌素
adj. 抗生的；抗菌的"
percent,"n. 百分比，百分率；部分；百分数
adj. 百分之…的
adv. 以百分之…地"
percentage,n. 百分比；百分率，百分数
centennial,"n. 百年纪念
adj. 一百年的"
central,"n. 电话总机
adj. 中心的；主要的；中枢的"
concentrate,"n. 浓缩，精选；浓缩液
vi. 集中；浓缩；全神贯注；聚集
vt. 集中；浓缩"
concentric,adj. 同轴的；同中心的
circle,"n. 循环，周期；圆；圈子；圆形物
vt. 画圆圈；环绕…移动
vi. 盘旋，旋转；环行"
cyclone,n. 旋风； 气旋；飓风
circulate,"vt. 使循环；使流通；使传播
vi. 传播，流传；循环；流通"
cycle,"n. 循环；周期；自行车；整套；一段时间
vt. 使循环；使轮转
vi. 循环；骑自行车；轮转"
civil,adj. 公民的；民间的；文职的；有礼貌的；根据民法的
civic,adj. 市的；公民的，市民的
civilise,"vt. 教化；文明化；使开化
vi. 变成文明社会（等于civilize）"
discover,"vi. 发现
vt. 发现；发觉"
coverage,n. 覆盖，覆盖范围；新闻报道
recover,"n. 还原至预备姿势
vt. 恢复；弥补；重新获得
vi. 恢复；胜诉；重新得球"
dentist,"n. 牙科医生
牙医诊所"
denture,n. 齿列，托牙；一副假牙
indented,"adj. 犬牙交错的；受契约约束的；缩进排印的
v. 缩进；切割成锯齿状（indent的过去分词）"
dedicate,vt. 致力；献身；题献
addict,"n. 有瘾的人；入迷的人
vt. 使沉溺；使上瘾"
indicate,vt. 表明；指出；预示；象征
dictionary,n. 字典；词典
dual,"n. 双数；双数词
adj. 双的；双重的"
dubious,adj. 可疑的；暧昧的；无把握的；半信半疑的
double,"n. 两倍；双精度型
adj. 双重的；两倍的
vt. 使加倍
adv. 双重地；两倍地；弓身地
vi. 加倍，加倍努力；快步走"
duplicate,"n. 副本；复制品
adj. 复制的；二重的
vt. 复制；使加倍
vi. 复制；重复"
doubt,"n. 怀疑；疑问；疑惑
v. 怀疑；不信；恐怕；拿不准"
educate,"vt. 教育；培养；训练
vi. 教育；训练"
conduct,"n. 进行；行为；实施
vi. 导电；带领
vt. 管理；引导；表现"
deduce,vt. 推论，推断；演绎出
product,n. 产品；结果； 乘积；作品
defend,"vi. 保卫；防守
vt. 辩护；防护"
offensive,"adj. 攻击的；冒犯的；无礼的；讨厌的
n. 攻势；攻击"
offend,"vt. 冒犯；使…不愉快
vi. 违反；进攻；引起不舒服"
defense,"n. 防卫，防护；防御措施；防守
vt. 谋划抵御"
affirm,"vt. 肯定；断言
vi. 确认；断言"
confirm,vt. 确认；确定；证实；批准；使巩固
infirm,adj. 衰弱的；意志薄弱的；不坚固的
inform,"vi. 告发；告密
vt. 通知；告诉；报告"
conform,"adj. 一致的；顺从的
vi. 符合；遵照；适应环境
vt. 使遵守；使一致；使顺从"
formation,n. 形成；构造；编队
formal,"n. 正式的社交活动；夜礼服
adj. 正式的；拘谨的；有条理的"
foundation,n. 基础；地基；基金会；根据；创立
fundamental,"n. 基本原理；基本原则
adj. 基本的，根本的"
profound,adj. 深厚的；意义深远的；渊博的
fund,"n. 基金；资金；存款
vt. 投资；资助"
genesis,n. 发生；起源
generate,vt. 使形成；发生；生殖；产生物理反应
gene,n.  基因，遗传因子
generosity,n. 慷慨，大方；宽宏大量
imaginable,adj. 可能的；可想像的
imaginative,adj. 富于想象的；有创造力的
image,"n. 影像；想象；肖像；偶像
vt. 想象；反映；象征；作…的像"
liberal,"adj. 自由主义的；慷慨的；不拘泥的；宽大的
n. 自由主义者"
deliberate,"adj. 故意的；深思熟虑的；从容的
vt. 仔细考虑；商议"
illiberal,adj. 偏执的；吝啬的；粗鄙的；狭隘的；缺乏文化素养的
liberation,n. 释放，解放
airline,"n. 航空公司；航线
adj. 航线的"
headline,"n. 大标题；内容提要；栏外标题；头版头条新闻
vt. 给…加标题；使成为注意中心；大力宣传"
linear,adj. 线的，线型的；直线的，线状的；长度的
liquor,"n. 酒，含酒精饮料；溶液；液体；烈酒
vi. 喝酒，灌酒
vt. 使喝醉"
liquefy,vt. 液化；溶解
liquidate,"vt. 清算；偿付；消除
vi. 清算；清理债务"
literacy,n. 读写能力；精通文学
literal,adj. 文字的；逐字的；无夸张的
literature,n. 文学；文献；文艺；著作
prolong,vt. 延长；拖延
length,n. 长度，长；时间的长短；（语）音长
belong,vi. 属于，应归入；居住；适宜；应被放置
lengthen,"vt. 使延长；加长
vi. 延长；变长"
major,"adj. 主要的；重要的；主修的；较多的
n.  成年人；主修科目；陆军少校
vi. 主修"
majesty,n. 威严；最高权威，王权；雄伟；权威
majority,n. 多数；成年
manipulate,vt. 操纵；操作；巧妙地处理；篡改
manuscript,"n.  手稿；原稿
adj. 手写的"
manifest,"vt. 证明，表明；显示
vi. 显示，出现
n. 载货单，货单；旅客名单
adj. 显然的，明显的；明白的"
manual,"adj. 手工的；体力的
n. 手册，指南"
bookmark,n. 书签（等于bookmarker）；标记
demarcate,vt. 划分界线；区别
trademark,"n. 商标
标志"
demarcation,n. 划分；划界；限界
medial,"adj. 中间的；平均的；普通的
n.  中间字母"
amid,prep. 在其中，在其间
mediate,"vi. 调解；斡旋；居中
vt. 调停；传达
adj. 间接的；居间的"
midnight,"n. 午夜，半夜12点钟
adj. 半夜的；漆黑的"
amend,"vt. 修改；改善，改进
vi. 改正，改善；改过自新"
emend,vt. 修订；改进
recommend,"vt. 推荐，介绍；劝告；使受欢迎；托付
vi. 推荐；建议"
dismount,"n. 下马；下车
vt. 下车；使下马；使掉下
vi. 下马；下车"
mountain,n. 山；山脉
surmount,vt. 克服，越过；战胜
municipal,adj. 市政的，市的；地方自治的
community,n. 社区； 群落；共同体；团体
communal,adj. 公共的；公社的
neglect,"vt. 疏忽，忽视；忽略
n. 疏忽，忽视；怠慢"
negative,"adj.  负的；消极的；否定的；阴性的
n. 否定；负数； 底片
vt. 否定；拒绝"
negate,"vt. 否定；取消；使无效
vi. 否定；否认；无效
n. 对立面；反面"
normal,"adj. 正常的；正规的，标准的
n. 正常；标准；常态"
abnormal,adj. 反常的，不规则的；变态的
enormous,adj. 庞大的，巨大的；凶暴的，极恶的
announce,"vt. 宣布；述说；预示；播报
vi. 宣布参加竞选；当播音员"
pronounce,"vt. 发音；宣判；断言
vi. 发音；作出判断"
denounce,vt. 谴责；告发；公然抨击；通告废除
novelty,n. 新奇；新奇的事物；新颖小巧而廉价的物品
