absent,"adj. 缺席的；缺少的；心不在焉的；茫然的
vt. 使缺席"
apologise,vi. 道歉（等于apologize）
application,n. 应用；申请；应用程序；敷用
appointment,n. 任命；约定；任命的职位
approach,"n. 方法；途径；接近
vt. 接近；着手处理
vi. 靠近"
approve,"vi. 批准；赞成；满意
vt. 批准；赞成；为…提供证据"
architect,"n. 建筑师
缔造者"
arrange,"vi. 安排；排列；协商
vt. 安排；排列；整理"
as well as,"na. 和…一样；…不用说
 也；既…又；和...一样"
ashamed,adj. 惭愧的，感到难为情的；耻于……的
assistant,"n. 助手，助理，助教
adj. 辅助的，助理的；有帮助的"
at all,"na. 全然；究竟
 根本；一点也不；丝毫"
at least,"na. 至少
 最低限度；起码；最少"
at present,"na. 目前
 现在；当今；眼下"
athlete,n. 运动员，体育家；身强力壮的人
pocket,"n. 口袋；钱；容器
adj. 小型的，袖珍的；金钱上的
vt. 隐藏；忍受；将…放入衣袋
vi. 形成袋或囊"
pullover,"n. 套衫
adj. 套领的"
sleeve,"n.  套筒， 套管；袖子， 袖套
vt. 给……装袖子；给……装套筒"
spot,"n. 地点；斑点
adj. 现场的；现货买卖的
vt. 认出；弄脏；用灯光照射
vi. 沾上污渍；满是斑点
adv. 准确地；恰好"
sweatshirt,n. 运动衫；T-恤衫
tracksuit,n. 运动服；运动套装
knitted,"adj.  针织的；编织的
v. 编织；使紧密结合（knit的过去分词）"
leather,"n. 皮革；皮革制品
vt. 用皮革包盖；抽打
adj. 皮的；皮革制的"
loose,"adj. 宽松的；散漫的；不牢固的；不精确的
vt. 释放；开船；放枪
vi. 变松；开火
adv. 松散地
n. 放纵；放任；发射"
valuable,"n. 贵重物品
adj. 有价值的；贵重的；可估价的"
woolen,"n. 毛织品
adj. 羊毛的；羊毛制的"
fit,"n. 合身；发作；痉挛
adj. 健康的；合适的；恰当的；准备好的
vt. 安装；使……适应；使……合身；与……相符
vi. 符合，配合；适合；合身"
fold,"n. 折痕；信徒；羊栏
vt. 折叠；合拢；抱住；笼罩
vi. 折叠起来；彻底失败"
put on,"na. 假话
 穿上；上演；戴上"
take off,"v. (飞机)起飞；出去；拿掉；移送
 脱下；脱掉；脱去"
try on,"na. 试穿；搞恶作剧(以试探能否被容忍)；耍花招
 试试看；试穿衣物；试衣服"
wear out,"na. 精疲力尽；用坏；穿破；磨破
 磨损；穿坏；穿旧"
promise,"n. 许诺，允诺；希望
vt. 允诺，许诺；给人以…的指望或希望
vi. 许诺；有指望，有前途"
accept,"vi. 承认；同意；承兑
vt. 接受；承认；承担；承兑；容纳"
complain,"vi. 投诉；发牢骚；诉说
vt. 抱怨；控诉"
respect,"n. 尊敬，尊重；方面；敬意
vt. 尊敬，尊重；遵守"
share,"n. 份额；股份
vt. 分享，分担；分配
vi. 共享；分担"
trust,"n. 信任，信赖；责任；托拉斯
vt. 信任，信赖；盼望；赊卖给
vi. 信任，信赖；依靠"
annoyed,"v. 使烦恼；打扰（annoy的过去分词）
adj. 恼怒的；烦闷的"
calm,"n. 风平浪静
adj. 静的，平静的；沉着的
vt. 使平静；使镇定
vi. 平静下来；镇定下来"
cheerful,adj. 快乐的；愉快的；高兴的
confidential,adj. 机密的；表示信任的；获信任的
cross,"n. 交叉，十字；十字架，十字形物
adj. 交叉的，相反的；乖戾的；生气的
vt. 杂交；渡过；使相交
vi. 交叉；杂交；横过"
athletics,n. 竞技；体育运动；田径运动
atmosphere,n. 气氛；大气；空气
attach,"vi. 附加；附属；伴随
vt. 使依附；贴上；系上；使依恋"
attack,"n. 攻击；抨击；疾病发作
vt. 攻击；抨击；动手干
vi. 攻击；腐蚀"
attempt,"n. 企图，试图；攻击
vt. 企图，试图；尝试"
attend,"vi. 出席；致力于；照料；照顾
vt. 出席；上（大学等）；照料；招待；陪伴"
attitude,n. 态度；看法；意见；姿势
attraction,n. 吸引，吸引力；引力；吸引人的事物
attractive,adj. 吸引人的；有魅力的；引人注目的
audience,n. 观众；听众；读者；接见；正式会见；拜会
automatically,"adj. 不经思索的
adv. 自动地；机械地；无意识地"
available,adj. 可获得的；可购得的；可找到的；有空的
average,"n. 平均；平均数；海损
adj. 平均的；普通的；通常的
vt. 算出…的平均数；将…平均分配；使…平衡
vi. 平均为；呈中间色"
avoid,vt. 避免；避开，躲避；消除
awful,adj. 可怕的；极坏的；使人敬畏的
balance,"n. 平衡；余额；匀称
vt. 使平衡；结算；使相称
vi. 保持平衡；相称；抵销"
balcony,n. 阳台；包厢；戏院楼厅
barbecue,"n. 烤肉；吃烤肉的野宴
vt. 烧烤；烤肉"
basic,"n. 基础；要素
adj. 基本的；基础的"
bay,"n. 海湾；狗吠声
vt. 向…吠叫
vi. 吠叫；大声叫嚷"
behave,"vi. 表现；（机器等）运转；举止端正；（事物）起某种作用
vt. 使守规矩；使表现得…"
belongings,n.  财产，所有物；亲戚
benefit,"n. 利益，好处；救济金
vt. 有益于，对…有益
vi. 受益，得益"
beyond,"prep. 超过；越过；那一边；在...较远的一边
n. 远处
adv. 在远处；在更远处"
disappointed,adj. 失望的，沮丧的；受挫折的
dull,"adj. 钝的；迟钝的；无趣的；呆滞的；阴暗的
vt. 使迟钝；使阴暗；缓和
vi. 减少；变迟钝"
embarrassed,"v. 使...困窘；使...局促不安（embarrass的过去分词形式）
adj. 尴尬的；窘迫的"
generous,adj. 慷慨的，大方的；宽宏大量的；有雅量的
miserable,adj. 悲惨的；痛苦的；卑鄙的
sensible,"n. 可感觉到的东西; 敏感的人;
adj. 明智的; 通情达理的; 合乎情理的; 意识到的，能感觉到的;"
serious,adj. 严肃的，严重的；认真的；庄重的；危急的
upset,"n. 混乱；翻倒；颠覆
adj. 心烦的；混乱的；弄翻的
vt. 使心烦；颠覆；扰乱
vi. 翻倒"
cousin,n. 堂兄弟姊妹；表兄弟姊妹
niece,n. 外甥女，侄女
bring up,"na. 抚养；教导；教育；在…长大
 培养；提出；养育"
find out,"na. 查出；发现；看清…的面目；识破
 查明；找出；了解"
give up,"na. 放弃；断绝；投降；自首
 停止；抛弃；认输"
grow up,"na. 长大
 成长；长大成人；成年"
look after,"na. 照看；照顾；看管；对…负责
 照料；照管；目送"
look forward to,"na. 盼望
 期待；期望；期盼"
run out of,"na. 用光…
 用完；用尽；耗尽"
anniversary,n. 周年纪念日
guest,"n. 客人，宾客；顾客
adj. 客人的；特邀的，客座的
vt. 款待，招待
vi. 作客，寄宿"
invitation,n. 邀请；引诱；请帖；邀请函
reception,n. 接待；接收；招待会；感受；反应
speech,n. 演讲；讲话； 语音；演说
wedding,"n. 婚礼，婚宴；结婚；结合
v. 与…结婚（wed的ing形式）"
air-conditioning,n. 空调系统；空气调节
basement,n. 地下室；地窖
central heating,"n. 暖气；集中供暖
 中央供暖；中央暖气系统；集中采暖"
chimney,n. 烟囱
dishwasher,n. 洗碗工；洗碟机
entrance,"n. 入口；进入
vt. 使出神，使入迷"
fence,"n. 栅栏；围墙；剑术
vt. 防护；用篱笆围住；练习剑术
vi. 击剑；搪塞；围以栅栏；跳过栅栏"
freezer,n. 冰箱；冷冻库；制冷工
microwave,n. 微波
biography,n. 传记；档案；个人简介
blame,"n. 责备；责任；过失
vt. 责备；归咎于"
blanket,"n. 毛毯，毯子；毯状物，覆盖层
adj. 总括的，全体的；没有限制的
vt. 覆盖，掩盖；用毯覆盖"
blond,"adj. 金发的
n. 白肤碧眼金发的人"
blonde,"n. 白肤金发碧眼的女人
adj. 亚麻色的；金色的；白皙的；白肤金发碧眼的"
board,"n. 董事会；木板；甲板；膳食
vt. 上（飞机、车、船等）；用板盖上；给提供膳宿
vi. 寄宿"
bold,adj. 大胆的，英勇的；黑体的；厚颜无耻的；险峻的
border,"n. 边境；边界；国界
vt. 接近；与…接壤；在…上镶边
vi. 接界；近似"
bottom,"n. 底部；末端；臀部；尽头
adj. 底部的
vt. 装底；测量深浅；查明真相
vi. 到达底部；建立基础"
branch,"n. 树枝，分枝；分部；支流
vt. 分支；出现分歧
vi. 分支；出现分歧"
break down,"v. 分解；抛锚；分析；划分
 损坏；出故障；瓦解"
brief,"n. 摘要，简报；概要，诉书
adj. 简短的，简洁的；短暂的，草率的
vt. 简报，摘要；作…的提要"
brilliant,adj. 灿烂的，闪耀的；杰出的；有才气的；精彩的，绝妙的
bring up,"na. 抚养；教导；教育；在…长大
 培养；提出；养育"
broad,"n. 宽阔部分
adj. 宽的，辽阔的；显著的；大概的
adv. 宽阔地"
brochure,n. 手册，小册子
bureau,n. 局，处；衣柜；办公桌
by accident,"na. 偶然 (opp. on purpose)
 偶然地；意外；不小心"
by mistake,"na. 因错误
 错误地；错误的；错拿某物"
cable,"n. 缆绳；电缆；海底电报
vt. 打电报
vi. 打海底电报"
calculator,n. 计算器；计算者
calendar,"n. 日历； 历法；日程表
vt. 将…列入表中；将…排入日程表"
tool,"n. 工具，用具；器械，机床；手段
vt. 用工具给……加工
vi. 使用工具；用机床装备工厂"
toothpaste,n. 牙膏
convenient,adj. 方便的；适当的；近便的；实用的
lively,adj. 活泼的；生动的；真实的；生气勃勃的
peaceful,adj. 和平的，爱好和平的；平静的
antique,"n. 古董，古玩；古风，古希腊和古罗马艺术风格
adj. 古老的，年代久远的；过时的，古董的；古风的，古式的
vi. 觅购古玩"
armchair,"n. 扶手椅，单人沙发
adj. 不切实际的"
carpet,"n. 地毯；地毯状覆盖物
vt. 在…上铺地毯，把地毯铺在…上；斥责"
curtain,"n. 幕；窗帘
vt. 遮蔽；装上门帘"
cushion,"n. 垫子；起缓解作用之物；（猪等的）臀肉；银行储蓄
vt. 给…安上垫子；把…安置在垫子上；缓和…的冲击"
edge,"n. 边缘；优势；刀刃；锋利
vt. 使锐利；将…开刃；给…加上边
vi. 缓缓移动；侧着移动"
handle,"n.  把手；柄；手感；口实
vt. 处理；操作；运用；买卖；触摸
vi. 搬运；易于操纵"
lamp,"n. 灯；照射器
vt. 照亮
vi. 发亮"
plug,"n. 插头；塞子；栓
vt. 插入；塞住；接插头
vi. 塞住；用插头将与电源接通"
switch,"n. 开关；转换；鞭子
vi. 转换；抽打；换防
vt. 转换；用鞭子等抽打"
mirror,"n. 镜子；真实的写照；榜样
vt. 反射；反映"
pillow,"n. 枕头
vt. 垫；枕于…；使…靠在
vi. 枕着头；靠在枕上"
sheet,"n. 薄片，纸张；薄板；床单
adj. 片状的
vt. 覆盖；盖上被单；使成大片
vi. 成片流动；大片落下"
environment,n. 环境，外界
flood,"n. 洪水；泛滥；一大批
vt. 淹没；充满；溢出
vi. 涌出；涌进；为水淹没"
fuel,"n. 燃料；刺激因素
vt. 供以燃料，加燃料
vi. 得到燃料"
pollution,"n. 污染
污染物"
canal,"n. 运河； 水道； 管道；灌溉水渠
vt. 在…开凿运河"
candidate,n. 候选人，候补者；应试者
canteen,n. 食堂，小卖部；水壶
career,"n. 生涯；职业；事业；速度，全速
adj. 作为毕生职业的
vi. 全速前进，猛冲"
ceiling,n. 天花板；上限
certificate,"n. 证书；执照，文凭
vt. 发给证明书；以证书形式授权给…；用证书批准"
challenge,"n. 挑战；怀疑
vt. 向…挑战；对…质疑"
champion,"n. 冠军；拥护者；战士
adj. 优胜的；第一流的
vt. 支持；拥护"
charge,"n. 费用；电荷；掌管；控告；命令；负载
vt. 使充电；使承担；指责；装载；对…索费；向…冲去
vi. 充电；控告；索价；向前冲；记在账上"
cheat,"n. 欺骗，作弊；骗子
vt. 欺骗；骗取
vi. 欺骗；作弊"
check in,"v. 报到；(旅馆)登记
 入住；办理登记手续；签到"
check out,"na. 开支票(提款)；(旅馆)付账后离开；及格；死
 退房；检查；结帐"
chemist,n. 化学家；化学工作者；药剂师；炼金术士
cheque,n. 支票
chief,"n. 首领；酋长；主要部分
adj. 首席的；主要的；主任的
adv. 主要地；首要地"
choice,"n. 选择；选择权；精选品
adj. 精选的；仔细推敲的"
circus,n. 马戏；马戏团
classical,"n. 古典音乐
adj. 古典的；经典的；传统的；第一流的"
storm,"n. 暴风雨；大动荡
vt. 猛攻；怒骂
vi. 起风暴；横冲直撞；狂怒咆哮"
traffic,"n. 交通；运输；贸易； 通信量
vt. 用…作交换；在…通行
vi. 交易，买卖"
transport,"n. 运输；运输机；狂喜；流放犯
vt. 运输；流放；使狂喜"
advise,"vt. 建议；劝告，忠告；通知；警告
vi. 建议；与…商量"
compare,"vi. 相比，匹敌；比较，区别；比拟（常与to连用）
vt. 比拟，喻为；构成
n. 比较"
complain,"vi. 投诉；发牢骚；诉说
vt. 抱怨；控诉"
describe,vt. 描述，形容；描绘
disagree,vi. 不同意；不一致；争执；不适宜
encourage,vt. 鼓励，怂恿；激励；支持
explain,v. 说明；解释
promise,"n. 许诺，允诺；希望
vt. 允诺，许诺；给人以…的指望或希望
vi. 许诺；有指望，有前途"
recommend,"vt. 推荐，介绍；劝告；使受欢迎；托付
vi. 推荐；建议"
remind,vt. 提醒；使想起
suggest,vt. 提议，建议；启发；使人想起；显示；暗示
warn,"vt. 警告，提醒；通知
vi. 发出警告，发出预告"
satisfied,"v. 使满意（satisfy的过去式）
adj. 感到满意的"
be fond of,"v. 爱好
 喜欢；喜爱；喜好"
be keen on,"na. 喜爱
 渴望；喜欢；热衷于"
look forward to,"na. 盼望
 期待；期望；期盼"
mind,"n. 理智，精神；意见；智力；记忆力
vt. 介意；专心于；照料
vi. 介意；注意"
helmet,n. 钢盔，头盔
coach,"n. 教练；旅客车厢；长途公车；四轮大马车
vt. 训练；指导
vi. 作指导；接受辅导；坐马车旅行
n.  蔻驰（皮革品牌）"
creature,n. 动物，生物；人；创造物
adventure,"n. 冒险；冒险精神；投机活动
vt. 冒险；大胆说出
vi. 冒险"
qualification,n. 资格；条件；限制；赋予资格
ingredient,"n. 原料；要素；组成部分
adj. 构成组成部分的"
detail,"n. 细节，详情
vt. 详述；选派
vi. 画详图"
effort,n. 努力；成就
delay,"n. 延期；耽搁；被耽搁或推迟的时间
vt. 延期；耽搁
vi. 延期；耽搁"
break,"vi. 打破；折断；弄坏；削弱
vt. （使）破；打破（纪录）；（常指好天气）突变；开始
vi. （嗓音）突变；突破；破晓；（价格）突然下跌
n. 破裂；间断；（持续一段时间的状况的）改变；间歇"
packet,"n. 数据包，信息包；小包，小捆
vt. 包装，打包"
slice,"n. 薄片；部分；菜刀，火铲
vt. 切下；把…分成部分；将…切成薄片
vi. 切开；割破"
method,"n. 方法；条理；类函数
adj. 使用体验派表演方法的"
colleague,n. 同事，同僚
competition,n. 竞争；比赛，竞赛
education,n. 教育；培养；教育学
discount,"n. 折扣；贴现率
vt. 打折扣；将…贴现；贬损；低估；忽视
vi. 贴现；打折扣出售商品"
environment,n. 环境，外界
destination,n. 目的地，终点
leisure,"n. 闲暇；空闲；安逸
adj. 空闲的；有闲的；业余的"
disease,"n. 病， 疾病；弊病
vt. 传染；使…有病"
lecturer,n. 讲师，演讲者
photographer,n. 摄影师；照相师
travel agent,"n. 旅行代办人；旅行代理商；旅行社
 旅行代办员；旅行社代理人；旅行代理人"
culture,"n. 文化，文明；修养；栽培
vt.  培养（等于cultivate）"
tip,"n. 小费；尖端；小建议，小窍门；轻拍
vt. 给小费；倾斜；翻倒；装顶端
vi. 给小费；翻倒；倾覆"
assistant,"n. 助手，助理，助教
adj. 辅助的，助理的；有帮助的"
demonstration,n. 示范；证明；示威游行
download,vt.  下载
report,"n. 报告；报道；成绩单
vt. 报告；报导；使报到
vi. 报告；报到；写报导"
disappear,"vi. 消失；失踪；不复存在
vt. 使…不存在；使…消失"
deliver,"n. 投球
vt. 交付；发表；递送；释放；给予（打击）；给…接生
vi. 实现；传送；履行；投递"
employ,"n. 使用；雇用
vt. 使用，采用；雇用；使忙于，使从事于"
continue,"vt. 继续说…；使…继续；使…延长
vi. 继续，延续；仍旧，连续"
encourage,vt. 鼓励，怂恿；激励；支持
compete,vi. 竞争；比赛；对抗
disturb,"vt. 打扰；妨碍；使不安；弄乱；使恼怒
vi. 打扰；妨碍"
concentrate,"n. 浓缩，精选；浓缩液
vi. 集中；浓缩；全神贯注；聚集
vt. 集中；浓缩"
complete,"adj. 完整的；完全的；彻底的
vt. 完成"
display,"n. 显示；炫耀
vt. 显示；表现；陈列
adj. 展览的；陈列用的
vi.  作炫耀行为"
serious,adj. 严肃的，严重的；认真的；庄重的；危急的
intelligent,adj. 智能的；聪明的；理解力强的
boring,"n. 钻孔
adj. 无聊的；令人厌烦的
v. 钻孔；使厌烦；挖空（bore的ing形式）"
elementary,adj. 基本的；初级的； 元素的
overnight,"adv. 通宵；突然；昨晚
adj. 晚上的；通宵的；前夜的
n. 头天晚上；一夜的逗留
vt. 连夜快递
vi. 过一夜"
creative,adj. 创造性的
punctual,adj. 准时的，守时的；精确的
distant,adj. 遥远的；冷漠的；远隔的；不友好的，冷淡的
curious,adj. 好奇的，有求知欲的；古怪的；爱挑剔的
commercial,"n. 商业广告
adj. 商业的；营利的；靠广告收入的"
definitely,adv. 清楚地，当然；明确地，肯定地
damage,"vi. 损害；损毁
vt. 损害，毁坏
n. 损害；损毁；赔偿金"
crash,"n. 撞碎；坠毁；破产；轰隆声；睡觉
vi. 摔碎；坠落；发出隆隆声；(金融企业等)破产
vt. 打碎；使坠毁、撞坏；擅自闯入"
contact,"n. 接触，联系
vt. 使接触，联系
vi. 使接触，联系"
empty,"n. 空车；空的东西
adj. 空的；无意义的；无知的；徒劳的
vt. 使失去；使…成为空的
vi. 成为空的；流空"
deposit,"n. 存款；押金；订金；保证金；沉淀物
vt. 使沉积；存放
vi. 沉淀"
crossing,"n. 十字路口；杂交；横渡；横道
v. 横越（cross的现在分词）"
brochure,n. 手册，小册子
crime,"n. 罪行，犯罪；罪恶；犯罪活动
vt. 控告……违反纪律"
physics,n. 物理学；物理现象
mathematics,n. 数学；数学运算
crown,"n. 王冠；花冠；王权；顶点
vt. 加冕；居…之顶；表彰；使圆满完成"
campsite,n. 营地
dust,"n. 灰尘；尘埃；尘土
vt. 撒；拂去灰尘
vi. 拂去灰尘；化为粉末"
facility,n. 设施；设备；容易；灵巧
pharmacy,n. 药房；配药学，药剂学；制药业；一批备用药品
guide book,"un. 指南；入门书
 导览册；旅游指南；指导书"
luggage,n. 行李；皮箱
can,"aux. 能； 能够； 可以； 可能
n. 罐头； （用金属或塑料制作的）容器； （马口铁或其他金属制作的）食品罐头
vt. 将…装入密封罐中保存"
jeweller,n. 珠宝商；钟表匠，宝石匠
document,"n. 文件，公文； 文档；证件
vt. 用文件证明"
certificate,"n. 证书；执照，文凭
vt. 发给证明书；以证书形式授权给…；用证书批准"
college,n. 大学；学院；学会
steak,n. 牛排；肉排；鱼排
barbecue,"n. 烤肉；吃烤肉的野宴
vt. 烧烤；烤肉"
curriculum,"n. 课程
总课程"
cushion,"n. 垫子；起缓解作用之物；（猪等的）臀肉；银行储蓄
vt. 给…安上垫子；把…安置在垫子上；缓和…的冲击"
member,n. 成员；会员；议员
content,"n. 内容，目录；满足；容量
adj. 满意的
vt. 使满足"
spoonful,n. 一匙；一匙的量
committee,n. 委员会
bowl,"n. 碗；木球；大酒杯
vt. 投球；旋转；平稳快速移动
vi. 玩保龄球；滑动；平稳快速移动"
conference,"n. 会议；讨论；协商；联盟；（正式）讨论会；（每年的）大会
vi. 举行或参加（系列）会议"
strawberry,n. 草莓；草莓色
essay,"n. 散文；试图；随笔
vt. 尝试；对…做试验"
defend,"vi. 保卫；防守
vt. 辩护；防护"
declare,"vt. 宣布，声明；断言，宣称
vi. 声明，宣布"
deal,"n. 交易；（美）政策；待遇；份量
vi. 处理；讨论；对待；做生意
vt. 处理；给予；分配；发牌"
deal with,"na. 办理；对待；与…交涉；与…交易
 处理；对付；应付"
check out,"na. 开支票(提款)；(旅馆)付账后离开；及格；死
 退房；检查；结帐"
disappoint,vt. 使失望
deserve,"vi. 应受，应得
vt. 应受，应得"
contain,"vi. 含有；自制
vt. 包含；控制；容纳；牵制（敌军）"
pour,"n. 倾泻；流出；骤雨
vt. 灌，注；倒；倾泻；倾吐
vi. 倾泻；涌流；斟茶"
roast,"n. 烤肉；烘烤
adj. 烘烤的；烤过的
vt. 烤，焙；烘，烘烤；暴露于某种热力下以得温暖
vi. 烤；烘"
describe,vt. 描述，形容；描绘
communicate,"vi. 通讯，传达；相通；交流；感染
vt. 传达；感染；显露"
consider,"vi. 考虑；认为；细想
vt. 考虑；认为；考虑到；细想"
reliable,"n. 可靠的人
adj. 可靠的；可信赖的"
cruel,adj. 残酷的，残忍的；使人痛苦的，让人受难的；无情的，严酷的
crowded,"adj. 拥挤的；塞满的
v. 拥挤（crowd的过去分词）"
quiet,"n. 安静；和平
adj. 安静的；安定的；不动的；温顺的
vt. 使平息；安慰
vi. 平静下来"
common,"n. 普通；平民；公有地
adj. 共同的；普通的；一般的；通常的"
deaf,adj. 聋的
confident,adj. 自信的；确信的
dull,"adj. 钝的；迟钝的；无趣的；呆滞的；阴暗的
vt. 使迟钝；使阴暗；缓和
vi. 减少；变迟钝"
dizzy,"adj. 晕眩的；使人头晕的；昏乱的；心不在焉的；愚蠢的
vt. 使头晕眼花；使混乱；使茫然"
Spanish,"n. 西班牙语；西班牙人
adj. 西班牙的；西班牙人的；西班牙语的"
duty-free,"adj. 免税的
adv. 免税地"
due to,"un. 由于；预定；因为；亏
 应归于；由於；由…引起"
control,"n. 控制；管理；抑制；操纵装置
vt. 控制；管理；抑制"
defeat,"n. 失败的事实；击败的行为
vt. 击败，战胜；挫败；使…失败"
cruise,"n. 巡航，巡游；乘船游览
vt. 巡航，巡游；漫游
vi. 巡航，巡游；漫游"
secondary school,"n. 中学；中等学校
 中学教育；高中；初中"
cereal,"n. 谷类，谷物；谷类食品；谷类植物
adj. 谷类的；谷类制成的"
textbook,n. 教科书，课本
credit card,"n. 信用卡
 贷记卡；申请信用卡；意思是信用卡"
composition,n. 作文，作曲，作品； 构成；合成物；成分
receipt,"n. 收到；收据；收入
vt. 收到"
trainer,n. 助理教练；训练员；驯马师；飞行练习器；运动鞋
interpreter,n. 解释者；口译者；注释器
route,"n. 路线；航线；通道
vt. 按某路线发送"
communication,n. 通讯， 通信；交流；信函
departure,n. 离开；出发；违背
disadvantage,n. 缺点；不利条件；损失
refund,"n. 退款；偿还，偿还额
vt. 退还；偿还；付还
vi. 退还；偿还，归还"
dessert,n. 餐后甜点；甜点心
couple,"n. 对；夫妇；数个
vt. 结合；连接；连合
vi. 结合；成婚"
souvenir shop,"n. 纪念品商店
 纪念品店；旅游纪念品商店；礼品店"
economics,n. 经济学；国家的经济状况
edge,"n. 边缘；优势；刀刃；锋利
vt. 使锐利；将…开刃；给…加上边
vi. 缓缓移动；侧着移动"
courage,n. 勇气；胆量
diary,n. 日志，日记；日记簿
main course,"abbr. (=mainsail)主要课程；主菜
 主食；主餐；主帆"
