wonderful,adj. 极好的，精彩的，绝妙的；奇妙的；美妙；胜；神妙
embrace,"n. 拥抱
vt. 拥抱；信奉，皈依；包含
vi. 拥抱"
convenient,adj. 方便的；适当的；近便的；实用的
irreversible,adj. 不可逆的；不能取消的；不能翻转的
last but not least,"na. 最后但不是最不重要的一点
 最后但并非最不重要的；最后但同样重要的；最后但并不是最不重要的"
column chart,"un. 柱状图
 柱形图；圆柱图；柱条图表"
progression,n. 前进；连续
clearly,adv. 清晰地；明显地；无疑地；明净地
work life, 工作生活；工作寿命；工作期
illustrate,"vi. 举例
vt. 阐明，举例说明；图解"
whereby,adv. 凭借；通过…；借以；与…一致
statistics,n. 统计；统计学； 统计资料
increasingly,adv. 越来越多地；渐增地
weekly earning,找不到解释
position,"n. 位置，方位；职位，工作；姿态；站位
vt. 安置；把……放在适当位置"
bureau,n. 局，处；衣柜；办公桌
commensurate,adj. 相称的；同量的；同样大小的
educational background,"n. 学历
 教育背景；教育程度；教育情况"
in the second place,"na. 第二(点)；其次
 把……放在第二位；说到第二点；首先"
competitive,adj. 竞争的；比赛的；求胜心切的
range from A to B,找不到解释
college degree, 大学文凭；大专以上学历；大专学历
bachelor's degree, 学士学位；本科学位；本科学历
diploma,"n. 毕业证书，学位证书；公文，文书；奖状
vt. 发给…毕业文凭"
master's degree, 硕士学位；硕士学位课程；研究生专业
doctoral degree, 博士学位；博士研究生专业；博士课程
analysis,n. 分析；分解；验定
trend,"n. 趋势，倾向；走向
vt. 使…趋向
vi. 趋向，伸向"
predict,"vi. 作出预言；作预料，作预报
vt. 预报，预言；预知"
as follows,"na. 如下；以下
 如下所述；如下所示；如次"
in order to,"na. 为了；从而；以便
 目的；为了……起见；以求"
in the first place,"na. 首先；第一
 起初；原先；第一点"
workplace,n. 工作场所；车间
accept,"vi. 承认；同意；承兑
vt. 接受；承认；承担；承兑；容纳"
people in mounting numbers,找不到解释
pre-requisite,"n. 首要事，必要事
adj. 首要的，必须的"
promising,"v. 许诺，答应（promise的现在分词形式）
adj. 有希望的，有前途的"
higher education,"n. （尤指达到学位水平的）高等教育
 高等教育学；高等教育课程；高教"
imply,vt. 意味；暗示；隐含
university degree, 大学学位；大学学历；本科学历
markedly,adv. 明显地；显著地；引人注目地
aged people, 高龄者生活认知适应性设计；乐龄人士
shoot up,"na. 上冒；喷出；欣欣向荣；猛长
 暴涨；腾贵；激增"
financially,adv. 财政上；金融上
approximately,adv. 大约，近似地；近于
spiritually,adv. 在精神上地
involvement,n. 牵连；包含；混乱；财政困难
the elderly, 老年人；老人；长者
civilization,n. 文明；文化
raise,"n. 高地；上升；加薪
vt. 提高；筹集；养育；升起
vi. 上升"
authority,n. 权威；权力；当局
in conclusion,"na. 最后
 总之；总而言之；结论"
be obliged to,"na. 感谢；不得已而…
 不得不；被迫做；有义务"
be conducive to,"na. 增进(健康)
 有益于；有利于；有助于"
ensure,vt. 保证，确保；使安全
obligation,n. 义务；职责；债务
stable,"n. 马厩；牛棚
adj. 稳定的；牢固的；坚定的
vt. 赶入马房
vi. 被关在马厩"
art group, 艺术与设计组；艺术团体；美术组
priceless spiritual treasure,找不到解释
mysterious,adj. 神秘的；不可思议的；难解的
cultural exchange,"na. 文化交流
 文化的交流；文化交流事工；中西文化交流"
preserve,"n. 保护区；禁猎地；加工成的食品
vt. 保存；保护；维持；腌；禁猎"
globalization,n. 全球化
advocate,"n. 提倡者；支持者；律师
vt. 提倡，主张，拥护"
irresistible,adj. 不可抵抗的；不能压制的；极为诱人的
international culture,找不到解释
mutual,adj. 共同的；相互的，彼此的
controversial,adj. 有争议的；有争论的
national culture, 民族文化；国家文化；国族文化
at first sight,"na. 乍看；一见就；乍看起来
 乍一看；初看起来；真情难舍"
perspective,"n. 观点；远景；透视图
adj. 透视的"
resist its dark side,找不到解释
be confronted with,"na. 碰到(困难)
 面临；面对；面临着"
multidimensional,adj.  多维的；多面的
sensible,"n. 可感觉到的东西; 敏感的人;
adj. 明智的; 通情达理的; 合乎情理的; 意识到的，能感觉到的;"
vigorous,adj. 有力的；精力充沛的
absorb its essence,找不到解释
box office,"n. 票房；售票处
 票房收入；票房作战；电影票房"
hunger for,"v. 渴望；渴求
 渴望得到；得到某事物的渴望；亟待"
film-goer,"n. 爱上电影院的人, 爱看电影的人"
in addition,"na. 加之
 另外；此外；又"
dramatically,"adv. 戏剧地；引人注目地
adv. 显著地，剧烈地"
crowd-puller,引人注意的人
on a steady rise,找不到解释
attractive,adj. 吸引人的；有魅力的；引人注目的
at the same time,"na. 同时；另一方面；与此同时
 然而；在同时；可是"
personality,n. 个性；品格；名人
primary reason, 主要原因；主要理由；基本判据
idolize,"vt. 极端崇拜；把...当偶像崇拜
vi. 崇拜偶像"
special effect,"un. 特殊效果
 特技；特效；特殊效果类"
in summary,"adv. 扼要
 总之；总结；总的来说"
basically,adv. 主要地，基本上
prevalent,adj. 流行的；普遍的，广传的
technology,n. 技术；工艺；术语
temporarily,adv. 临时地，临时
diagram,"n. 图表；图解
vt. 用图解法表示"
a large number of,"adj. 极多；许多
 大量的；很多；表示大量的"
clearly,adv. 清晰地；明显地；无疑地；明净地
get prepared for,找不到解释
illustrate,"vi. 举例
vt. 阐明，举例说明；图解"
last but not least,"na. 最后但不是最不重要的一点
 最后但并非最不重要的；最后但同样重要的；最后但并不是最不重要的"
dramatic,adj. 戏剧的；急剧的；引人注目的；激动人心的
working pressure,工作压力;使用压力
elevation,n. 高地；海拔；提高；崇高；正面图
take ... into account,"na. 考虑
 把…考虑进去；考虑到；顾及"
recruitment,n. 补充；征募新兵
predict,"vi. 作出预言；作预料，作预报
vt. 预报，预言；预知"
Master of Professional,找不到解释
speedy,adj. 快的；迅速的；敏捷的
Accounting,找不到解释
forthcoming,"n. 来临
adj. 即将来临的"
at a low level,找不到解释
on the other side of the coin,找不到解释
surprisingly,adv. 惊人地；出人意料地
contribute to,"na. 捐助；给…投稿；捐(款)给；投寄(一篇论文)给(某杂志)
 有助于；促成；贡献"
tendency,n. 倾向，趋势；癖好
above-mentioned,adj. 上述的，上面提到的
bring about,"na. 造成；带来；(使船)回转
 引起；导致；产生"
summarize,"vt. 总结；概述
vi. 作总结；作概括"
a good many,"na. 很多的
 许多；相当多；大量的"
as follow, 依下列各项；看我的日志看我该帖回复
take effective measure,un. 采取有效措施
first and foremost,"na. 首先
 首要地；首要的是；第一位的和首要的"
qualified,"v. 限制（qualify的过去分词）；描述；授权予
adj. 合格的；有资格的"
ensure,vt. 保证，确保；使安全
accountant,n. 会计师；会计人员
get out of hand,"un. 从…里走出来；拿到；搞僵；失去控制
 失控；无法控制；难以控制"
job market,"un. 工作市场
 就业市场；人才市场；劳务市场"
encourage,vt. 鼓励，怂恿；激励；支持
on the whole,"na. 整体上说
 总的来说；大体上；基本上"
theoretical knowledge,"un. 理论知识
 理论性知识；理论性的知识；理论型知识"
keep pace with,"na. 赶上；保持同步；随着…而增长
 跟…齐步前进；跟上；跟上…的最新发展"
practical skill,实际技能
expansion,n. 膨胀；阐述；扩张物
demand,"n.  需求；要求；需要
vt. 要求；需要；查询
vi. 需要；请求；查问"
oblige,"vt. 迫使；强制；赐，施恩惠；责成；义务
vi. 帮忙；施恩惠"
reading quantity,找不到解释
derive,"vt. 源于；得自；获得
vi. 起源"
reading volumes,找不到解释
companionship,n. 友谊；陪伴；交谊
respectively,adv. 分别地；各自地，独自地
instruction,n. 指令，命令；指示；教导；用法说明
on the contrary,"na. 反之
 正相反；相反地；相反的"
first and foremost,"na. 首先
 首要地；首要的是；第一位的和首要的"
tendency,n. 倾向，趋势；癖好
disturbing,"v. 干扰；打断（disturb的ing形式）
adj. 令人不安的；烦扰的"
faithful,adj. 忠实的，忠诚的；如实的；准确可靠的
on less necessary,找不到解释
contentment,n. 满足；满意
reading extensively,找不到解释
furthermore,adv. 此外；而且
a wide range of,"un. 许多
 广泛的；范围广泛的；很大的范围"
broaden our minds,找不到解释
last but not the least,最后一点，也是非常重要的-点
advent,n. 到来；出现；基督降临；基督降临节
intellectual ability, 智力；心理能力；智能
enhance environmental awareness,找不到解释
environmental protection, 环境保护；环保；环保性
keep ecological balance,找不到解释
ecosystem,n. 生态系统
nature reserve,"n. 自然保护区
 自然护理区；自然保留区；自然保留地"
sustainable development strategy,找不到解释
wind and sand breaks,找不到解释
pleasant living environment,找不到解释
save energy, 节约能源；节省能源；节能
reduce the emission of greenhouse gases,找不到解释
slow down the rate of resource degradation,找不到解释
environment-friendly products,找不到解释
global warming,"n. 全球（气候）变暖；地球大气层变暖
 全球变暖；全球暖化；警惕全球变暖"
low carbon economy, 低碳经济；低碳经济体；经济社会
clean renewable energy,找不到解释
nuclear energy,"n. 核能；原子能
 核能发电；核能源；核能量的使用"
solar energy,"na. 太阳能
 大阳能；太阳能电池；太阳能发电"
high-power electrical appliance,找不到解释
carbon dioxide,"n. 二氧化碳
 一氧化碳；二氧货碳；碳酐"
climate change,"n. 气候变化
 气候变迁；气候改变；气候变暖"
environmental deterioration,"un. 环境恶化；环境诱发劣化
 环境损伤；环境衰败；环境损失"
deforestation,n. 采伐森林；森林开伐
protect forests from overexploitation,找不到解释
water and soil erosion, 水土流失
desertification,n. （土壤）荒漠化；沙漠化（等于desertization）
population growth,"un. 人口增长；种群增长
 人口成长；族群成长；族群增长"
wildlife protection,"《英汉医学词典》wildlife protection
野生生物保护区"
endangered species,"na. 濒危物种
 濒临灭绝的物种；濒危种；濒危动物"
wild species,野生种
commercial fishing,"un. 商业性捕鱼
 商业捕鱼；商业捕捞；捕鱼工业"
overfishing,"n. 渔捞过度
vt. 过度捕捞（overfish的现在分词）"
reckless exploitation,找不到解释
natural disasters,"n. 灾难
 自然灾害；天灾；天然灾害"
catastrophe,n. 大灾难；大祸；惨败
destructive and disastrous earthquake,找不到解释
sandstorm,n.  沙暴；大风沙
drought,n. 干旱；缺乏
flood,"n. 洪水；泛滥；一大批
vt. 淹没；充满；溢出
vi. 涌出；涌进；为水淹没"
snowstorm,n. 暴风雪；雪暴
"""the-polluters-pay"" policy",找不到解释
law enforcement inspection,找不到解释
undertake treatment within a prescribed limit of time,找不到解释
white pollution, 白色污染；噪音污染；净化
limit the use of disposable plastic bags,找不到解释
