questionnaire,n. 问卷；调查表
serve,"n. 发球，轮到发球
vi. 服役，服务；适合，足够；发球；招待，侍候
vt. 招待，供应；为…服务；对…有用；可作…用"
tradition,n. 惯例，传统；传说
take part in,"na. 参加；贡献
 参与；参加活动；参与…活动"
sticky,adj. 粘的；粘性的
alcohol,n. 酒精，乙醇
hot pot,"na. 马铃薯炖牛肉
 火锅；火锅类；煲仔类"
snack,"n. 小吃，快餐；一份，部分
vi. 吃快餐，吃点心"
reception,n. 接待；接收；招待会；感受；反应
retire,"n. 退休；退隐；退兵信号
vi. 退休；撤退；退却
vt. 退休；离开；收回"
salary,"n. 薪水
vt. 给...加薪；给...薪水"
apply,"vi. 申请；涂，敷；适用；请求
vt. 申请；涂，敷；应用"
apply for,"v. 寻求；申请
 提出申请；申请…职位；请求"
opportunity,n. 时机，机会
teenager,n. 十几岁的青少年；十三岁到十九岁的少年
depend on,"v. 依靠
 依赖；取决于；视……而定"
smartly,adv. 刺痛地；漂亮地；潇洒地；火辣辣地
on time,"na. 按时；及时
 准时；正点；准时地"
bunch,"n. 群；串；突出物
vt. 使成一串；使打褶
vi. 隆起；打褶；形成一串"
congratulation,n. 祝贺；贺辞
bride,n. 新娘；姑娘，女朋友
bridegroom,n. 新郎
best man,"n. 伴郎；男傧相
 主伴郎；首席伴郎；首席男傧相"
ceremony,n. 典礼，仪式；礼节，礼仪；客套，虚礼
entrance,"n. 入口；进入
vt. 使出神，使入迷"
invitation,n. 邀请；引诱；请帖；邀请函
even if,"na. 即使…也
 纵然；就算；甚至"
attend,"vi. 出席；致力于；照料；照顾
vt. 出席；上（大学等）；照料；招待；陪伴"
Indonesian,"n. 印尼人；印尼语群；印度尼西亚语
adj. 印尼的"
ought,"aux. 应该，应当；大概
vi. 应该，应当；大概"
contribute,"vt. 贡献，出力；投稿；捐献
vi. 贡献，出力；投稿；捐献
"
Greek,"n. 希腊语；希腊人
adj. 希腊的；希腊人的，希腊语的"
crown,"n. 王冠；花冠；王权；顶点
vt. 加冕；居…之顶；表彰；使圆满完成"
ribbon,"n. 带；缎带；（勋章等的）绶带；带状物；勋表
vt. 把…撕成条带；用缎带装饰
vi. 形成带状"
link,"n.  链环，环节；联系，关系
vt. 连接，连结；联合，结合
vi. 连接起来；联系在一起；将人或物连接或联系起来"
carol,"n. 颂歌，赞美诗；欢乐之歌
vi. 欢乐地歌唱；唱耶诞颂歌
vt. 欢唱；歌颂"
stocking,n. 长袜
seriously,adv. 认真地；严重地，严肃地
pole,找不到解释
the North Pole,"na. 北极
 之北极；北极点；北极镇"
envelope,n. 信封，封皮；包膜； 包层；包迹
calendar,"n. 日历； 历法；日程表
vt. 将…列入表中；将…排入日程表"
put up,提供；建造；举起；提高；推举，提名；供给…住宿；直接行动
decoration,n. 装饰，装潢；装饰品；奖章
pudding,n. 布丁
breast,"n. 乳房，胸部；胸怀；心情
vt. 以胸对着；与…搏斗"
swallow,"n. 燕子；一次吞咽的量
vt. 忍受；吞没
vi. 吞下；咽下"
adult,"n. 成年人
adj. 成年的；成熟的"
carry on,"adj. (飞机乘客的行李)可随身携带的
n. (飞机乘客的)随身行李
 继续；继续下去；进行"
merry,"adj. 愉快的；微醉的；嬉戏作乐的
n. 甜樱桃"
production,n. 成果；产品；生产；作品
needle,"n. 针；指针；刺激；针状物
vi. 缝纫；做针线
vt. 刺激；用针缝"
pillow,"n. 枕头
vt. 垫；枕于…；使…靠在
vi. 枕着头；靠在枕上"
as well,"na. 也；同样
 又；还；也倒不如"
mat,"n. 垫；垫子；衬边
vt. 缠结；铺席于……上
vi. 纠缠在一起
adj. 无光泽的"
litre,n.  公升（米制容量单位）
fry,"n. 鱼苗；油炸食物
vt. 油炸；油煎
vi. 油炸；油煎"
unfortunately,adv. 不幸地
mess,"n. 混乱；食堂，伙食团；困境；脏乱的东西
vt. 弄乱，弄脏；毁坏；使就餐
vi. 把事情弄糟；制造脏乱；玩弄"
Brian,找不到解释
Tina,找不到解释
Bob,找不到解释
Mark,找不到解释
Ingrid Bergman, 英格丽褒曼；英格烈褒曼；英格利·褒曼
Debbie,找不到解释
Paul,找不到解释
Mother Teresa, 德蕾莎修女；德兰修女；特蕾莎修女
Hamlet,找不到解释
Nemo,找不到解释
Bridget Jones,找不到解释
Octopus,找不到解释
Pat,找不到解释
Jennifer,找不到解释
Sun Yat-sen,孙中山
Thomas Edison, 爱迪生；美国发明家爱迪生；托马斯·爱迪生
Sam Roberts,找不到解释
Martin Luther King, 马丁·路德·金；金恩博士；马丁路德金恩
Gandhi,n. 甘地（印度政府、社会和宗教领袖）
Elizabeth Blackwell,找不到解释
Nelson Mandela, 南非前总统曼德拉；纳尔逊·曼德拉；南非总统曼德拉
Jane Goodall, 珍古德；古道尔；家珍古德
Venus Williams,找不到解释
Serena Williams,找不到解释
Richard,找不到解释
Brandi Bailey,找不到解释
Christopher Reeve, 克里斯托弗·里夫；克里斯多夫李维；克里斯多福李维
Dana,找不到解释
James Dean, 詹姆斯·迪恩；詹姆斯狄恩；占士甸
Dave,找不到解释
Mike,找不到解释
Lisa,找不到解释
Eva,找不到解释
Alison,找不到解释
Kathleen,找不到解释
Jamie,找不到解释
Katrina,找不到解释
Jim,找不到解释
Barbara,找不到解释
Tom,找不到解释
Sarah,n. 莎拉（女子名）；萨拉（《圣经》中的人物）
Birmingham,n. 伯明翰（英国一座城市）
Inner Mongolia,"na. 内蒙
 内蒙古；内蒙古自治区；中国内蒙古"
Atlanta,找不到解释
Georgia,n. 乔治亚州；格鲁吉亚（前苏联加盟共和国）；乔治娅（女子名）
Washington DC,找不到解释
New York City, 纽约市；纽约城；美国纽约市
South Africa,"n. 南非；位于非洲南部
 南非共和国；南非地区；南非共和国大使馆"
Gombe Streams National Park of Tanzania,找不到解释
Tanzania,n. 坦桑尼亚（东非国家）
Indonesia,n. 印尼，印度尼西亚（东南亚岛国）
Greek,"n. 希腊语；希腊人
adj. 希腊的；希腊人的，希腊语的"
California,n. 加利福尼亚（美国一个州）
Mexico,n. 墨西哥
San Francisco,"n. 旧金山
 三藩市；圣弗朗西斯科；美国旧金山"
silver,"n. 银；银器；银币；银质奖章；餐具；银灰色
adj. 银的；含银的；有银色光泽的；口才流利的；第二十五周年的婚姻
vt. 镀银；使有银色光泽
vi. 变成银色"
screen,"n. 屏，幕；屏风
vt. 筛；拍摄；放映；掩蔽
vi. 拍电影"
lowdown,n. 真相；内幕
rebel,"n. 反叛者；叛徒
adj. 反抗的；造反的
vi. 反叛；反抗；造反"
even if,"na. 即使…也
 纵然；就算；甚至"
hop,"vt. 搭乘
v. 单足跳跃
vi. 双足或齐足跳行
n. 蹦跳,跳跃；跳舞；一次飞行的距离"
auto shop, 汽车店；汽车工艺；汽车专用精品店
stupid,"n. 傻瓜，笨蛋
adj. 愚蠢的；麻木的；乏味的"
identify,vt. 确定；鉴定；识别，辨认出；使参与；把…看成一样 vi. 确定；认同；一致
identify with,"v. 相同于
 认同；认为…等同于；与…认同"
admire,"vt. 钦佩；赞美
vi. 钦佩；称赞"
Wimbledon,n. 温布尔顿（位于伦敦附近， 是著名的国际网球比赛地）
the US Open,找不到解释
the French Open,找不到解释
Real Madrid,找不到解释
Romeo and Juliet, 罗密欧与朱丽叶；罗密欧与茱丽叶；殉情记
BMW,找不到解释
Bavarian Motor Works,找不到解释
