acrobatics,n. 杂技；巧妙手法
important occasions,找不到解释
express our concern and emotions,找不到解释
chat,"n. 聊天；闲谈
vt. 与…搭讪；与…攀谈
vi. 聊天；闲谈"
video,"n.  视频；录像，录像机；电视
adj. 视频的；录像的；电视的
v. 录制"
farewell party, 欢送会；惜别会；欢送晚会
recall precious memory,找不到解释
play cards,"na. 打纸牌
 打牌；打扑克；玩牌"
sing songs,找不到解释
profuse dinner,找不到解释
arrange the party,找不到解释
drinks and snacks,找不到解释
send invitations,找不到解释
prepare activities,找不到解释
formal and informal party,找不到解释
feel relaxed,找不到解释
business negotiation,"un. 洽谈业务
 商务谈判；交易磋商；商业谈判"
dine out,"na. 在外吃饭
 外出吃饭；出外吃饭；出去吃饭"
stereo system,"un. 立体声系统
 立体音响系统；立体声音响；音响设备"
record the whole process,找不到解释
draw attention, 引起注意；吸引注意力；把注意力拉过来
play games, 做游戏；玩游戏；捣鬼
trend,"n. 趋势，倾向；走向
vt. 使…趋向
vi. 趋向，伸向"
individuality,n. 个性；个人；个人特征；个人的嗜好（通常复数）
negative,"adj.  负的；消极的；否定的；阴性的
n. 否定；负数； 底片
vt. 否定；拒绝"
hostile,"n. 敌对
adj. 敌对的，敌方的；怀敌意的"
aggressive,adj. 侵略性的；好斗的；有进取心的；有闯劲的
imitate,vt. 模仿，仿效；仿造，仿制
accessories,n. 附件（accessory的复数形式）；辅助程序
fable,"n. 寓言；无稽之谈
vt. 煞有介事地讲述；虚构
vi. 编寓言；虚构"
entertainment,n. 娱乐；消遣；款待
cartoon,"n. 卡通片， 动画片；连环漫画
vt. 为…画漫画
vi. 画漫画"
heroic deed,n.英勇的事迹
follow suit,"na. 跟出同花色的牌；学样
 跟着做；照着做；跟风"
watch cartoons,找不到解释
get education,找不到解释
life philosophy, 人生哲学；生活哲学；生命哲学
successful businessmen,找不到解释
traditional virtues, 传统美德；传统美德篇概述；传统道德
negative feelings,找不到解释
sports field,"un. 体育设施
 运动场；操场；体育场"
entertainment field,找不到解释
imitate their idols,找不到解释
buy the clothes,找不到解释
entertainment ways,找不到解释
leisure activities,"un. 业余活动
 休闲活动；娱乐活动；闲暇活动"
make a deep impression,找不到解释
comic books,"na. 连环漫画杂志
 漫画书；连环漫画书；连环画"
picture books,"na. 图画书
 绘本；图画故事书；书籍介於图画书"
retell the story,找不到解释
widen their sights,找不到解释
nature and science,找不到解释
have patience, 要有耐心；忍耐一下；耐心一点
category,n. 种类，分类； 范畴
traditional way,找不到解释
sore eyes, 眼痛；眼睛痛；眼睛酸胀
share ideas,找不到解释
entertainment,n. 娱乐；消遣；款待
Olympic-sized swimming pool,找不到解释
tennis court,"n. 网球场
 网球场图片；网球场的工作程序；网球场地"
basketball field,篮球场
football pitch, 足球场；草坪足球场；系足球场
resting area,休息区
foot massage, 脚底按摩；足部按摩；足底按摩
body shape, 体形；体型；塑造体型
leisure activities,"un. 业余活动
 休闲活动；娱乐活动；闲暇活动"
physical exercises,"n. 体操
 体育锻炼；运动；体育活动"
go rock-climbing,找不到解释
shopping mall,"un. 商业区林荫路
 购物中心；大型购物中心；商场"
stressful life,找不到解释
bridge,"n. 桥；桥牌；桥接器；船桥
vt. 架桥；渡过"
church,"n. 教堂；礼拜；教派
adj. 教会的；礼拜的
vt. 领…到教堂接受宗教仪式"
prison,"n. 监狱；监禁；拘留所
vt. 监禁，关押"
structure,"n. 结构；构造；建筑物
vt. 组织；构成；建造"
skyscraper,n. 摩天楼，超高层大楼；特别高的东西
bungalow,n. 平房；小屋
villa,n. 别墅；郊区住宅
duplex,"n. 双工；占两层楼的公寓套房
adj. 二倍的，双重的"
landmark,"n. 陆标；地标；界标；里程碑；纪念碑；地界标；划时代的事
adj. 有重大意义或影响的"
cottage,n. 小屋；村舍；（农舍式的）小别墅
bedsit,"n. 卧室兼起居室
vt. 租用卧室兼起居室"
brick,"n. 砖，砖块；砖形物；心肠好的人
adj. 用砖做的；似砖的
vt. 用砖砌"
concrete,"n. 具体物；凝结物
adj. 混凝土的；实在的，具体的；有形的
vt. 使凝固；用混凝土修筑
vi. 凝结"
cement,"n. 水泥；接合剂
vt. 巩固，加强；用水泥涂；接合
vi. 粘牢"
clay,"n.  粘土；泥土；肉体；似黏土的东西
vt. 用黏土处理"
hay,"n. 干草
vt. 把晒干
vi. 割草晒干"
spacious,adj. 宽敞的，广阔的；无边无际的
crowded,"adj. 拥挤的；塞满的
v. 拥挤（crowd的过去分词）"
suburb,n. 郊区；边缘
fence,"n. 栅栏；围墙；剑术
vt. 防护；用篱笆围住；练习剑术
vi. 击剑；搪塞；围以栅栏；跳过栅栏"
garage,"n. 车库；汽车修理厂；飞机库
vt. 把……送入车库；把（汽车）开进车库"
path,n. 道路；小路；轨道
balcony,n. 阳台；包厢；戏院楼厅
flat,"n. 平地；公寓；平面
adj. 平的；单调的；不景气的；干脆的；平坦的；扁平的；浅的
vi. 逐渐变平；以降调唱（或奏）
vt. 使变平；使（音调）下降，尤指降半音
adv. （尤指贴着另一表面）平直地；断然地；水平地；直接地，完全地"
apartment,n. 公寓；房间
building,"n. 建筑；建筑物
v. 建筑；建立；增加（build的ing形式）"
mud,"vt. 弄脏；用泥涂
vi. 钻入泥中
n. 泥；诽谤的话；无价值的东西"
downtown,"n. 市中心区；三分线以外
adj. 市中心的
adv. 往闹市区；在市区"
statue,"n. 雕像，塑像
vt. 以雕像装饰"
registration,n. 登记；注册；挂号
enrollment,n. 登记；入伍
gym,n. 健身房；体育；体育馆
theater,n. 电影院，戏院，剧场；戏剧；手术室
security,"n. 安全；保证；证券；抵押品
adj. 安全的；保安的；保密的"
reputation,n. 名声，名誉；声望
modern building, 现代建筑；现代化的建筑；近代
office building,"n. 办公楼
 写字楼；办公大楼；办公建筑"
interior facilities,找不到解释
interior decoration,"na. 室内装饰；室内装饰术
 室内装修；室内装潢；内部装饰"
city center,"un. 市中心
 城市中心；城镇中心；城巿中心"
semi-detached house, 半独立屋；半独立式住宅；花园也用篱笆隔开
detached house,"n. 独立式住宅
 独立屋；独立式房子；独立别墅"
terraced house,"n. （成排相连房屋中的）一栋排房
 排屋；连栋房屋；连排别墅"
front garden,"un. 宅前花园
 前面庭园；前院；又分前花园"
front doorbell,找不到解释
ancient buildings of famous people,找不到解释
historical sites,"un. 古迹
 历史遗址；历史古迹；历史遗迹"
historical events, 历史事件；重大历史事件；历史性事件
lifestyle of ancestors,找不到解释
daily necessities,"n. 日用品
 日常用品；生活必需品；日常必需品"
old generations,找不到解释
buildings in different styles,找不到解释
remains of history,找不到解释
appreciate art of construction,找不到解释
preserve ancient buildings,找不到解释
later generations,找不到解释
part of history,找不到解释
places of interest,"un. 名胜
 名胜古迹；风景名胜；旅游景点"
go sightseeing, 去观光；去观光旅行；出去观光
remember the history,找不到解释
recall the past,找不到解释
reminder of history,找不到解释
creativity and imagination,找不到解释
symbols of history,找不到解释
places for recreation,找不到解释
landmark building, 标志性建筑；地标建筑；地标性建筑
administration building,"un. 行政辨公楼
 行政大楼；行政办公楼；行政楼"
main hall, 大厅；主厅；主大厅
calligraphies of famous people,找不到解释
anecdotes and mottos,找不到解释
multi-media classrooms,找不到解释
surf the internet, 上网；网上冲浪；上网冲浪
daily routines,找不到解释
OHP,找不到解释
qualified teachers, 师资；合格专业师资；合格教师
study aids,找不到解释
teaching aids, 教具；教具准备；教学用具
sports facilities, 体育设施；运动设施；体育建筑设计
appearance of the building,找不到解释
standard of teaching,找不到解释
various activities,找不到解释
local community,"un. 地方团体
 地方社区；当地社区；地方性社区"
local newspaper, 地方报纸；当地报纸；当地报刊
video surveillance, 视讯监控；视频监控；影像监控
monitor the visitors,找不到解释
dynamic technology, 技术动态；科技动态；动态科技
have a good foundation,找不到解释
resist the earthquake,找不到解释
modern building, 现代建筑；现代化的建筑；近代
use solar energy,找不到解释
campground,n. 露营场所；野营地
camping,"n. 露营；野营
v. 露营；扎营；临时安顿（camp的ing形式）"
camper,n. 露营者，野营者
picnic,"n. 野餐
vi. 去野餐"
bonfire,n. 篝火；营火
backpack,"n. 双肩背包，背包；远足用的背包
vt. 挑运；把…放入背包
vi. 背负简便行李旅行；挑运"
tent,"n. 帐篷；住处；帷幕
vt. 用帐篷遮盖；使在帐篷里住宿
vi. 住帐蓬；暂时居住"
public campground,找不到解释
commercial campground,找不到解释
sleeping bag,"n. 睡袋
 携来睡袋；求购睡袋；睡袋系列"
ground cloth, = groundsheet
regulation,"n. 管理；规则；校准
adj. 规定的；平常的"
breadwinner,n. 负担家计的人；养家糊口的人
dominant,"n. 显性
adj. 显性的；占优势的；支配的，统治的"
selfish,adj. 自私的；利己主义的
ancestor,n. 始祖，祖先；被继承人
custom,"n. 习惯，惯例；风俗；海关，关税；经常光顾；（经常性的）顾客
adj. （衣服等）定做的，定制的"
belief,n. 相信，信赖；信仰；教义
tradition,n. 惯例，传统；传说
have delicious food and snacks,找不到解释
have what they want,找不到解释
have pressure,找不到解释
worry about their future,找不到解释
have a lot of toys,找不到解释
enjoy their childhood,找不到解释
learn all kinds of skills,找不到解释
try to get good marks at schools,找不到解释
have homework to do,找不到解释
focus on the theoretical knowledge,找不到解释
too monotonous,找不到解释
teacher-centered,以教师为中心
not qualified,找不到解释
quality of education, 教育质量；教育品质；教育的质量
set an example,"na. 树立榜样；示范；以身作则
 作出榜样；为…树立榜样；做出榜样"
material life, 物质生活；生活条件如衣食住行；材料使用寿命
affect children's happiness,找不到解释
compare them with other children,找不到解释
lay a solid foundation,找不到解释
practical skills, 实用技能；实用技巧；实践技能
set aside,"na. 搁置；拨出；驳回
 留出；取消；挑出，留出"
responsibility of parents,找不到解释
family history,"un. 家史；家族史
 家族病史；家庭史；家族来历"
past generations,找不到解释
family unit, 家庭单元；家庭单位；家庭房
from generation to generation,"na. 世世代代
 一代一代；祖祖辈辈；世代相传"
circus,n. 马戏；马戏团
audience,n. 观众；听众；读者；接见；正式会见；拜会
spectator,n. 观众；旁观者
spotlight,"n. 聚光灯；反光灯；公众注意的中心
vt. 聚光照明；使公众注意"
bandstand,n. 音乐台；演奏台
magic,"n. 巫术；魔法；戏法
adj. 不可思议的；有魔力的；魔术的"
magician,n. 魔术师，变戏法的人
clown,"n. 小丑；乡下人；粗鲁笨拙的人
vi. 扮小丑；装傻"
spacious,adj. 宽敞的，广阔的；无边无际的
attractive,adj. 吸引人的；有魅力的；引人注目的
product,n. 产品；结果； 乘积；作品
refund,"n. 退款；偿还，偿还额
vt. 退还；偿还；付还
vi. 退还；偿还，归还"
commodity,n. 商品，货物；日用品
guarantee,"n. 保证；担保；保证人；保证书；抵押品
vt. 保证；担保"
feature,"n. 特色，特征；容貌；特写或专题节目
vt. 特写；以…为特色；由…主演
vi. 起重要作用"
purchaser,n. 买方；购买者
security,"n. 安全；保证；证券；抵押品
adj. 安全的；保安的；保密的"
circus arena,找不到解释
travelling circus,"na. 流动杂技团
 巡回马戏团"
spectators' seats,找不到解释
acrobatics fan,找不到解释
fire-eater,n. 吞火魔术师；脾气暴躁的人
comic performance,找不到解释
acrobatic feat,un. 飞行特技
perform acrobatics,找不到解释
animal trainer, 驯兽师；一位驯兽师；动物训练者
dog trainer,找不到解释
animal act,找不到解释
monkey show,找不到解释
knife-thrower,找不到解释
metropolis,n. 大都市；首府；重要中心
capital,"n. 首都，省会；资金；大写字母；资本家
adj. 首都的；重要的；大写的"
landscape,"n. 风景；风景画；景色；山水画；乡村风景画；地形；（文件的）横向打印格式
vt. 对…做景观美化，给…做园林美化；从事庭园设计
vi. 美化（环境等），使景色宜人；从事景观美化工作，做庭园设计师"
enchanting,"adj. 迷人的；妩媚的
v. 使迷惑（enchant的ing形式）"
remains,n. 残余；遗骸
tourist,"n. 旅行者，观光客
adj. 旅游的
vt. 在旅行参观
vi. 旅游；观光
adv. 坐旅游车厢；坐经济舱"
peaceful,adj. 和平的，爱好和平的；平静的
ancient capital,"un. 古都
 故都；以前的国都；魅力无限的世界十大古都"
municipality under the central government,找不到解释
coastal city, 沿海城市；海滨城市；海岸城
long history, 该对以历史悠久而闻名；历史长；悠久历史
modern city, 现代城市；现代都市；摩登都市
provincial capital,"n. 省会
 省城；省治；省垣"
ancient city,"un. 古城
 古迹城；古代城市；古城区"
historical city, 历史城市；历史古城；历史的城市图片
remote city,找不到解释
tourist city,"un. 游览城市
 旅游城市；观光域市；观光城市"
ancient building, 古建筑；古楼；古老建立图片
local people, 当地人；本地人；当地居民
commercial center,"un. 商业中心
 商业中心图片；商务中心；商贸中心"
cultural sites,找不到解释
exquisite sculpture,找不到解释
magnificent building,找不到解释
scenic spots, 景点；旅游景点；风景名胜
local food, 当地食品；地方小吃；食物本地化
local scenery,找不到解释
natural landscape,天然景观
happy memories,找不到解释
spicy food, 辛辣食物；辣的食物；辛辣的食物
hot pot,"na. 马铃薯炖牛肉
 火锅；火锅类；煲仔类"
gourmet,"n. 美食家
菜肴精美的"
ferry,"n. 渡船；摆渡；渡口
vt. （乘渡船）渡过；用渡船运送；空运
vi. 摆渡；来往行驶"
signpost,n. 路标；指示牌
economy,n. 经济；节约；理财
culture,"n. 文化，文明；修养；栽培
vt.  培养（等于cultivate）"
transport,"n. 运输；运输机；狂喜；流放犯
vt. 运输；流放；使狂喜"
population,n. 人口； 种群， 群体；全体居民
geographical location, 地理位置；地区；地缘相近
shipping goods, 优惠商品；海运货物
traditional food,"un. 传统食品
 传统美食；传统的食物；传统食物"
splendid scenery,找不到解释
broadened street,找不到解释
local tourism,找不到解释
city planning,"un. 城市规划
 市政；都市计画；都巿规划"
migrating population,找不到解释
historical sites,"un. 古迹
 历史遗址；历史古迹；历史遗迹"
natural harbor,"un. 天然港
 天然港湾；海运"
artificial harbor,人工港
free port,"n. 自由港
 免税港；自由口；自由贸易港区"
coastal port, 海岸港
commercial port,"un. 商港
 商埠；通商口岸"
jewelry,n. 珠宝；珠宝类
necklace,n. 项链
bracelet,n. 手镯；手链
earrings,n. 耳环；耳饰（earring的复数）
gold,"n. 金，黄金；金色；金币
adj. 金的，金制的；金色的"
diamond,"n. 钻石，金刚石；菱形；方块牌
adj. 菱形的；金刚钻的"
bead,"n. 珠子；滴；念珠
vt. 用珠装饰；使成串珠状
vi. 形成珠状，起泡"
brooch,n. （女用的）胸针，领针
bangle,n. 手镯；脚镯
crystal,"n. 结晶，晶体；水晶；水晶饰品
adj. 水晶的；透明的，清澈的"
fashion,"n. 时尚；时装；样式；时髦人物
vt. 使用；改变；做成…的形状"
fashionable,adj. 流行的；时髦的；上流社会的
suit,"n. 诉讼；恳求；套装，西装；一套外衣
vt. 适合；使适应
vi. 合适；相称"
trend,"n. 趋势，倾向；走向
vt. 使…趋向
vi. 趋向，伸向"
stylish,adj. 时髦的；现代风格的；潇洒的
boutique,"n. 精品店；专卖流行衣服的小商店
adj. 精品屋的；小规模专售精品的"
unique,"n. 独一无二的人或物
adj. 独特的，稀罕的； 唯一的，独一无二的"
personality,n. 个性；品格；名人
interest,"n. 兴趣，爱好；利息；趣味；同行
vt. 使……感兴趣；引起……的关心；使……参与"
uniform,"n. 制服
adj. 统一的；一致的；相同的；均衡的；始终如一的
vt. 使穿制服；使成一样"
occupation,n. 职业；占有；消遣；占有期
individuality,n. 个性；个人；个人特征；个人的嗜好（通常复数）
casual wear,"n. 便服
 便装；休闲服；休闲装"
comfortable clothes,找不到解释
traditional costume, 传统服饰；传统服装
out-going,adj. 外向的
T-shirt,n. 短袖圆领汗衫
underclothes,"n. 内衣，贴身衣物
v. 给…穿内衣；为…提供内衣（underclothe的第三人称单数）"
button,"n. 按钮；纽扣
vt. 扣住；扣紧；在…上装纽扣
vi. 扣住；装有纽扣；扣上纽扣"
tie,"n. 领带；平局；鞋带；领结；不分胜负
vi. 打结；不分胜负；被用带（或绳子等）系住
vt. 系；约束；打结；与…成平局"
tiepin,n. 领带别针
sock,"vt. 重击；给……穿袜
n. 短袜；一击
adv. 正着地；不偏不倚地
adj. 非常成功的"
stocking,n. 长袜
scarf,"n. 围巾；嵌接，嵌接处；头巾领巾
vt. 披嵌接；用围巾围"
clothes,n. 衣服
clothing,"n. （总称） 服装；帆装
v. 覆盖（clothe的ing形式）；给…穿衣"
costume,"n. 服装，装束；戏装，剧装
vt. 给…穿上服装"
dress,"n. 连衣裙；女装
vt. 给…穿衣
vi. 穿衣"
attire,"n. 服装；盛装
vt. 打扮；使穿衣"
garments,n.  服装，衣着（garment的复数）
apparel,"n. 服装；衣服
vt. 给…穿衣"
kimono,n. 和服
sleeve,"n.  套筒， 套管；袖子， 袖套
vt. 给……装袖子；给……装套筒"
collar,"n. 衣领；颈圈
vt. 抓住；给…上领子；给…套上颈圈"
neckline,n. 领口，领圈
waist,n. 腰，腰部
waistline,n. 腰围；腰身部分
hood,"n. 头巾；覆盖；兜帽
vt. 罩上；以头巾覆盖"
zipper,  齐珀
sandals,"n.  凉鞋； 拖鞋（sandal的复数）；便鞋
v. 使穿凉鞋（sandal的第三人称单数）"
slippers,n. 拖鞋（slipper的复数形式）
heel,"n. 脚后跟；踵
vt. 倾侧
vi. 倾侧"
sole,"n. 鞋底；脚底；基础；鳎目鱼
adj. 唯一的；单独的；仅有的
vt. 触底；上鞋底"
insole,n. 鞋垫；鞋内底
cashmere sweater,"n. 羊绒衫
 羊绒毛衣；喀什米尔毛衣；女士羊绒衫"
mourning apparel,找不到解释
Chinese-style clothes,找不到解释
casual clothes,"na. 便服
 休闲服；休闲装；休闲服装"
casual wear,"n. 便服
 便装；休闲服；休闲装"
hunting costume,找不到解释
mandarin jacket, 马褂；大马褂；对襟绣花上装
Chinese-style shirt,找不到解释
traditional garments,找不到解释
national costume,"n. （某一国家的）民族服装
 民族服饰；国服；某种民族服装"
men's fashion,找不到解释
women's fashion,找不到解释
fantastic garments,找不到解释
fitted clothes,找不到解释
ill-fitted clothes,找不到解释
sleeved garments,找不到解释
sleeveless garments,找不到解释
made-to-order clothes,找不到解释
machine-made clothes,找不到解释
handmade clothes,找不到解释
holiday attire,找不到解释
single-coloured clothes,找不到解释
dress style,找不到解释
