commend,"vt. 推荐；称赞；把…委托
vi. 称赞；表扬"
spin,"n. 旋转；疾驰
vi. 旋转；纺纱；吐丝；晕眩
vt. 使旋转；纺纱；编造；结网"
raw,"n. 擦伤处
adj. 生的；未加工的；阴冷的；刺痛的；擦掉皮的；无经验的；（在艺术等方面）不成熟的
vt. 擦伤"
proliferation,n. 增殖，扩散；分芽繁殖
languishing,adj. 渴望的；含情脉脉的；渐渐衰弱的
persona,n. 人物角色；伪装的外表
profile,"n. 侧面；轮廓；外形；剖面；简况
vt. 描…的轮廓；扼要描述
vi. 给出轮廓"
apt,adj. 恰当的；有…倾向的；灵敏的
head-on,"adj. 正面的；直接的；头朝前的
adv. 迎头；头朝前地；正面针对地"
sidelong,"adj. 斜的；横的
adv. 向侧面；横向地"
two-dimensional,adj. 二维的；缺乏深度的
collusion,n. 勾结；共谋
potent,adj. 有效的；强有力的，有权势的；有说服力的
self-perpetuating,adj. 能使自身永久存在的
pantheon,n. 万神殿；名流群
immortality,n. 不朽；不朽的声名；不灭
celebrity,n. 名人；名声
stray,"n. 走失的家畜；流浪者
adj. 迷路的；离群的；偶遇的
vi. 流浪；迷路；偏离"
chalice,n. 杯；圣餐杯；酒杯
vicissitude,n. 变迁；盛衰；变化无常；变迁兴衰
mutate,"vi. 变化，产生突变
vt. 改变，使突变"
a case of the biter bit,找不到解释
intrusion,n. 侵入；闯入
prompt,"n. 提示；付款期限；DOS命令：改变DOS系统提示符的风格
adj. 敏捷的，迅速的；立刻的
vt. 提示；促进；激起；（给演员）提白
adv. 准时地"
curtail,vt. 缩减；剪短；剥夺…特权等
strain,"n. 张力；拉紧；负担；扭伤；血缘
vt. 拉紧；滥用；滤去；竭力
vi. 拉紧；尽力
n. （植物、动物的）品种；种类"
impart,vt. 给予（尤指抽象事物），传授；告知，透露
censorious,adj. 挑剔的；受批判的（名词censoriousness，副词censoriously）
cohort,n. 一群；步兵大队；支持者；同生群
resurgent,"n. 复活者
adj. 复活的；复苏的"
ketchup,n. 番茄酱
stridency,n. 刺耳；尖锐
unequivocal,adj. 明确的；不含糊的
dissent,"n. 异议；（大写）不信奉国教
vi. 不同意；不信奉国教"
antiquated,"adj. 过时的；陈旧的；年老的
v. 使古旧；废弃（antiquate的过去分词）"
incompatible,"n. 互不相容的人或事物
adj. 不相容的；矛盾的；不能同时成立的"
perversion,n. 反常；颠倒；曲解；误用；堕落
succumb,vi. 屈服；死；被压垮
pussyfoot,vi. 偷偷地走；轻轻地走；谨慎行事
impassioned,"adj. 充满激情的；感激的
v. 使充满激情（impassion的过去式和过去分词）"
untrammeled,adj. 自由自在的；无阻碍的（等于untrammelled）
indissolubly,adv. 不能溶解地；不可分解地
magnanimous,adj. 宽宏大量的；有雅量的；宽大的
howl,"n. 嗥叫；怒号；嚎哭
vt. 狂喊着说；对…吼叫
vi. 咆哮；怒吼；狂吠"
totalitarian,"n. 极权主义者
adj. 极权主义的"
caricature,"n. 漫画；讽刺画；漫画手法
vt. 画成漫画讽刺"
ail,"n. 病痛，苦恼
vi. 生病
vt. 使苦恼，使烦恼"
henchman,n. 亲信；追随者；（美）走狗；侍从
intuition,n. 直觉；直觉力；直觉的知识
inscribe,vt. 题写；题献；铭记；雕
despotism,n. 专制，独裁；专制政治
liquidate,"vt. 清算；偿付；消除
vi. 清算；清理债务"
irreparable,adj. 不能挽回的；不能修补的
despot,n. 专制君主，暴君；独裁者
declaim,"vt. 演讲；慷慨激昂地发表
vi. 慷慨陈词；演讲；朗读"
hypothesis,n. 假设
reputable,adj. 声誉好的；受尊敬的；卓越的
vent,"n. （感情的）发泄；出口；通风孔
vt. 发泄感情；放出…；给…开孔
vi. 放出；（通过排泄等）减轻压力"
censorship,n. 审查制度；审查机构
purvey,"vt. 供应；供给
vi. 供应；供给"
arbitrary,adj.  任意的；武断的；专制的
