disastrous,adj. 灾难性的；损失惨重的；悲伤的
blend,"n. 混合；掺合物
vi. 混合；协调
vt. 混合"
stylish,adj. 时髦的；现代风格的；潇洒的
fraction,n. 分数；部分；小部分；稍微
legitimate,"adj. 合法的；正当的；合理的；正统的
vt. 使合法；认为正当（等于legitimize）"
vary,"vi. 变化；变异；违反
vt. 改变；使多样化；变奏"
slice,"n. 薄片；部分；菜刀，火铲
vt. 切下；把…分成部分；将…切成薄片
vi. 切开；割破"
restore,"vi. 恢复；还原
vt. 恢复；修复；归还"
effective,adj. 有效的，起作用的；实际的，实在的；给人深刻印象
weaken,"vt. 减少；使变弱；使变淡
vi. 变弱；畏缩；变软弱"
overturn,"vt. 推翻；倾覆；破坏
vi. 推翻；倾覆
n. 倾覆；周转；破灭"
offending,"adj. 不愉快的；厌恶的
v. 冒犯（offend的ing形式）"
significant,"n. 象征；有意义的事物
adj. 重大的；有效的；有意义的；值得注意的；意味深长的"
breed,"n.  品种；种类，类型
vt. 繁殖；饲养；养育，教育；引起
vi. 繁殖；饲养；产生"
recognise,vt. 认出；承认，认可；识别
imitate,vt. 模仿，仿效；仿造，仿制
sceptical,adj. 怀疑的；怀疑论的；习惯怀疑的
parallel,"n. 平行线；对比
adj. 平行的；类似的，相同的
vt. 使…与…平行"
organic,adj.  有机的；组织的；器官的；根本的
constituent,"n. 成分；选民；委托人
adj. 构成的；选举的"
up-to-date,adj. 最新的，最近的；现代的，新式的
alert,"n. 警戒，警惕；警报
adj. 警惕的，警觉的；留心的
vt. 警告；使警觉，使意识到"
veil,"n. 面纱；面罩；遮蔽物；托词
vt. 遮蔽；掩饰；以面纱遮掩；用帷幕分隔
vi. 蒙上面纱；出现轻度灰雾"
glory,"n. 光荣，荣誉；赞颂
vi. 自豪，骄傲；狂喜"
device,n. 装置；策略；图案
adhere,"vi. 坚持；依附；粘着；追随
vt. 使粘附"
ozone,n.  臭氧；新鲜的空气
destructive,adj. 破坏的；毁灭性的；有害的，消极的
consultancy,n. 咨询公司；顾问工作
confer,"vt. 授予；给予
vi. 协商"
dub,"n. 笨蛋；鼓声
vt. 配音；轻点；打击；授予称号"
glamour,"n. 魅力，魔力；迷人的美
vt. 迷惑，迷住"
patriot,n. 爱国者
reassure,vt. 使…安心，使消除疑虑
consecutive,adj. 连贯的；连续不断的
insurgent,"n. 叛乱者；起义者
adj. 叛乱的；起义的"
punctuality,n. 严守时间；正确；规矩
radius,n. 半径，半径范围； 桡骨；辐射光线；有效航程
prune,"n. 深紫红色；傻瓜；李子干
vt. 修剪；删除；剪去
vi. 删除；减少"
squad,"n. 班；小队；五人组（篮球队的非正式说法）
vt. 把…编成班；把…编入班"
velvet,"adj. 天鹅绒的
n. 天鹅绒，丝绒；天鹅绒似的东西"
discrepancy,n. 不符；矛盾；相差
rescuer,n. 救助者
refinery,n. 精炼厂；提炼厂；冶炼厂
hibernate,vi. 过冬；（动物）冬眠；（人等）避寒
aggregate,"n. 合计；集合体；总计
adj. 聚合的；集合的；合计的
vt. 集合；聚集；合计
vi. 集合；聚集；合计"
elevate,vt. 提升；举起；振奋情绪等；提升…的职位
groove,"n.  凹槽，槽；最佳状态；惯例
vt. 开槽于
vi. 形成沟槽"
spiral,"n. 螺旋；旋涡；螺旋形之物
adj. 螺旋形的；盘旋的
vt. 使成螺旋形；使作螺旋形上升
vi. 盘旋；成螺旋形；螺旋形上升（过去式spiraled/spiralled，过去分词spiraled/spiralled，现在分词spiraling/spiralling，第三人称单数spirals，副词spirally）"
amend,"vt. 修改；改善，改进
vi. 改正，改善；改过自新"
default,"n. 违约；缺席；缺乏；系统默认值
vt. 不履行；不参加（比赛等）；对…处以缺席裁判
vi. 拖欠；不履行；不到场"
despise,vt. 轻视，鄙视
virtuous,adj. 善良的；有道德的；贞洁的；正直的；有效力的
crunch,"n. 咬碎，咬碎声；扎扎地踏
vt. 压碎；嘎扎嘎扎的咬嚼；扎扎地踏过
vi. 嘎吱作响地咀嚼；嘎吱嘎吱地踏过"
override,"vt. 推翻；不顾；践踏
n. 代理佣金"
calf,n.  腓肠，小腿；小牛；小牛皮；(鲸等大哺乳动物的)幼崽
blackmail,"n. 勒索，敲诈；勒索所得之款
vt. 勒索，敲诈"
outskirts,n. 市郊，郊区
hurdle,"n. 障碍；栏；跳栏
vt. 克服
vi. 克服；跳过"
delude,vt. 欺骗；哄骗；诱惑；迷惑；逃避；使失望
opt,vi. 选择
benign,adj. 良性的；和蔼的，亲切的；吉利的
clog,"n. 障碍；木底鞋
v. 阻塞；障碍"
zoom,"vi. 嗡嗡作响; 急速上升
n. 嗡嗡声; 隆隆声; （车辆等）疾驰的声音; 变焦
vt. 使急速上升; 使猛增"
jurisdiction,n. 司法权，审判权，管辖权；权限，权力
glacier,n. 冰河，冰川
bluff,"n. 吓唬；绝壁；断崖
vi. 吓唬
adj. 直率的；陡峭的
vt. 吓唬；愚弄"
turmoil,n. 混乱，骚动
dismantle,"vt. 拆除；取消；解散；除掉…的覆盖物
vi. 可拆卸"
fiscal,adj. 会计的，财政的；国库的
haze,"n. 阴霾；薄雾；疑惑
vt. 使变朦胧；使变糊涂
vi. 变朦胧；变糊涂"
hyphen,"n. 连字号
vt. 以连字号连接"
reminiscent,"n. 回忆录作者；回忆者
adj. 怀旧的，回忆往事的；耽于回想的"
relic,n. 遗迹，遗物；废墟；纪念物
logistics,"n.  后勤；后勤学
物流"
paddy,n. 稻田（复数paddies）；爱尔兰人；Patrick（男子名）和Patricia（女子名）的昵称
disintegrate,"vi. 瓦解；碎裂；衰变
vt. 使分解；使碎裂；使崩溃；使衰变"
uprising,"n. 起义；升起
v. 起义（uprise的ing形式）；升起
adj. 升起的"
perch,"n. 鲈鱼; 高位；栖木；杆
vt. 栖息；就位；位于；使坐落于
vi. 栖息；就位；位于"
stagnate,"vt. 使淤塞；使沉滞；使萧条
vi. 停滞；淤塞；变萧条"
ordeal,n. 折磨；严酷的考验；痛苦的经验
tension,"n. 张力，拉力；紧张，不安；电压
vt. 使紧张；使拉紧"
shrewd,"n. 精明（的人）；机灵（的人）
adj. 精明的；狡猾的；机灵的"
current,"n. （水，气，电）流；趋势；涌流
adj. 现在的；流通的，通用的；最近的；草写的"
site,"n. 地点；位置；场所
vt. 设置；为…选址"
reserve,"n. 储备，储存；自然保护区；预备队；缄默； 储备金
vt. 储备；保留；预约
vi. 预订"
nowhere,"adv. 无处；任何地方都不；毫无结果
n. 无处；任何地方；无名之地
adj. 不存在的；毫无结果的；不知名的"
phase,"n. 月相
n. （月亮的）盈亏
n. 时期"
originate,"vt. 引起；创作
vi. 发源；发生；起航"
triple,"n. 三倍数；三个一组
adj. 三倍的；三方的
vt. 使成三倍
vi. 增至三倍"
clue,"n. 线索；（故事等的）情节
vt. 为…提供线索；为…提供情况"
urban,adj. 城市的；住在都市的
assist,"n. 帮助；助攻
vi. 参加；出席
vt. 帮助；促进"
remove,"n. 移动；距离；搬家
vt. 移动，迁移；开除；调动
vi. 移动，迁移；搬家"
elbow,"n. 肘部；弯头；扶手
vt. 推挤；用手肘推开"
intense,adj. 强烈的；紧张的；非常的；热情的
private,"n. 列兵；二等兵
adj. 私人的；私有的；私下的"
recruit,"n. 招聘；新兵；新成员
vi. 复原；征募新兵；得到补充；恢复健康
vt. 补充；聘用；征募；使…恢复健康"
relieve,vt. 解除，减轻；使不单调乏味；换…的班；解围；使放心
abolish,vt. 废除，废止；取消，革除
reluctant,adj. 不情愿的；勉强的；顽抗的
funny,"n. 滑稽人物；笑话，有趣的故事；滑稽连环漫画栏；（英）（比赛用）单人双桨小艇
adj. 有趣的，好笑的，滑稽的；（口）稀奇的，古怪的，奇异的；有病的，不舒服的；狡猾的，欺骗（性）的，可疑的，不光明"
tradition,n. 惯例，传统；传说
vacant,adj. 空虚的；空的；空缺的；空闲的；茫然的
bug,"n. 臭虫，小虫；故障；窃听器
vt. 烦扰，打扰；装窃听器
vi. 装置窃听器；打扰"
contest,"n. 竞赛；争夺；争论
vt. 争辩；质疑
vi. 竞争；争辩"
injury,n. 伤害，损害；受伤处
clinic,n. 临床；诊所
calculate,"vt. 计算；预测；认为；打算
vi. 计算；以为；作打算"
priest,"n. 牧师；神父；教士
vt. 使成为神职人员；任命…为祭司"
activity,n. 活动；行动；活跃
appreciation,n. 欣赏，鉴别；增值；感谢
transparent,adj. 透明的；显然的；坦率的；易懂的
translate,"vt. 翻译；转化；解释；转变为；调动
vi. 翻译"
delicious,adj. 美味的；可口的
accustomed,"v. 使习惯于（accustom的过去分词）
adj. 习惯的；通常的；独有的"
hamper,"n. 食盒，食篮；阻碍物
vt. 妨碍；束缚；使困累"
deliberate,"adj. 故意的；深思熟虑的；从容的
vt. 仔细考虑；商议"
contact,"n. 接触，联系
vt. 使接触，联系
vi. 使接触，联系"
stabilise,"vt. 使…坚固；使…安定；装稳定器（等于stablize）
vi. 稳定；安定"
overnight,"adv. 通宵；突然；昨晚
adj. 晚上的；通宵的；前夜的
n. 头天晚上；一夜的逗留
vt. 连夜快递
vi. 过一夜"
manipulate,vt. 操纵；操作；巧妙地处理；篡改
continual,adj. 持续不断的；频繁的
ambiguous,adj. 模糊不清的；引起歧义的
interaction,"n. 相互作用； 交互作用
n. 互动"
perception,n. 知觉； 感觉；看法；洞察力；获取
strive,vi. 努力；奋斗；抗争
expense,"n. 损失，代价；消费；开支
vt. 向…收取费用
vi. 被花掉"
era,n. 时代；年代；纪元
cater,vt. 投合，迎合；满足需要；提供饮食及服务
summon,vt. 召唤；召集；鼓起；振作
option,n.  选项；选择权；买卖的特权
consume,"vt. 消耗，消费；使…着迷；挥霍
vi. 耗尽，毁灭；耗尽生命"
stack,"n. 堆；堆叠
vt. 使堆叠；把…堆积起来
vi. 堆积，堆叠"
starve,"vi. 饿死；挨饿；渴望
vt. 使饿死；使挨饿"
plug,"n. 插头；塞子；栓
vt. 插入；塞住；接插头
vi. 塞住；用插头将与电源接通"
elapse,"n. 流逝；时间的过去
vi. 消逝；时间过去"
authority,n. 权威；权力；当局
efficient,adj. 有效率的；有能力的；生效的
authorise,vt. 授权；批准；允许；委任（等于authorize）
commentary,n. 评论；注释；评注；说明
agent,"n. 代理人，代理商；药剂；特工
adj. 代理的
vt. 由…作中介；由…代理"
conservative,找不到解释
occurrence,n. 发生；出现；事件；发现
amount,"n. 数量；总额，总数
vi. 总计，合计；相当于；共计；产生…结果"
arson,n. 纵火；纵火罪
litre,n.  公升（米制容量单位）
racial,adj. 种族的；人种的
applicable,adj. 可适用的；可应用的；合适的
vengeance,n. 复仇；报复；报仇
expenditure,n. 支出，花费；经费，消费额
valid,adj. 有效的；有根据的；合法的；正当的
overwhelm,vt. 淹没；压倒；受打击；覆盖；压垮
surpass,vt. 超越；胜过，优于；非…所能办到或理解
visualise,"vt. 使…可见；使…具体化（等于visualize）
vi. 想象；显现"
somewhat,"n. 几分；某物
adv. 有点；多少；几分；稍微"
sabotage,"n. 破坏；破坏活动；怠工
vt. 妨害；对…采取破坏行动
vi. 从事破坏活动"
validity,n.  有效性；正确；正确性
discreet,adj. 谨慎的；小心的
revert,"n. 恢复原状者
vt. 使回复原状
vi. 回复；重提；返祖遗传；归还"
whereby,adv. 凭借；通过…；借以；与…一致
retrospective,"n. 回顾展
adj. 回顾的；怀旧的；可追溯的"
saturate,"adj. 浸透的，饱和的；深颜色的
vt. 浸透，使湿透；使饱和，使充满"
descent,"n. 下降；血统；袭击
vt. 除去…的气味；使…失去香味"
grope,"n. 摸索；触摸
vt. 摸索
vi. 摸索；探索"
endeavour,"n. 尽力，竭力
vi. 竭力；企图
vt. 竭力做到，试图或力图（做某事）"
entrust,vt. 委托，信托
accusation,n. 控告，指控；谴责
linear,adj. 线的，线型的；直线的，线状的；长度的
casino,n. 俱乐部，赌场；娱乐场
withhold,"vt. 保留，不给；隐瞒；抑制
vi. 忍住；克制"
terrain,n.  地形，地势；领域；地带
bracket,"n. 支架；括号；墙上凸出的托架
vt. 括在一起；把…归入同一类；排除"
epoch,n.  世；新纪元；新时代；时间上的一点
locomotive,"adj. 火车头的；运动的；移动的
n. 机车；火车头"
warrant,"n. 根据；证明；正当理由；委任状
vt. 保证；担保；批准；辩解"
glossary,n. 术语（特殊用语）表；词汇表；专业词典
snatch,"n. 抢夺；抓举；小量
vt. 夺得；抽空做；及时救助
vi. 抢走；很快接受"
moderator,n.  慢化剂；仲裁人；调解人；缓和剂
propel,vt. 推进；驱使；激励；驱策
inflict,vt. 造成；使遭受（损伤、痛苦等）；给予（打击等）
spaghetti,n. 意大利式细面条
trophy,"n. 奖品；战利品；纪念品
vt. 用战利品装饰
adj. 显示身份的；有威望的"
fortify,"vt. 加强；增强；（酒）的酒精含量；设防于
vi. 筑防御工事"
nap,"n. 小睡，打盹儿；细毛；孤注一掷
vt. 使拉毛
vi. 小睡；疏忽"
backyard,n. 后院；后庭
uranium,n.  铀
trolley,"n. 手推车；（美）有轨电车（等于trolley car）；（英）无轨电车（等于trolleybus）；空中吊运车
vt. 用手推车运
vi. 乘电车"
treasury,n. 国库，金库；财政部；宝库
melon,n. 瓜；甜瓜；大肚子；圆鼓鼓像瓜似的东西
blonde,"n. 白肤金发碧眼的女人
adj. 亚麻色的；金色的；白皙的；白肤金发碧眼的"
mop,"vt. 擦干；用拖把拖洗
vi. 用拖把擦洗地板；扮鬼脸
n. 拖把；蓬松的头发；鬼脸"
ace,"n. 幺点；直接得分的发球；佼佼者；（俚）最好的朋友
adj. 一流的，突出的
vt. 以发球赢一分；击败
int. 太棒了；太好了"
almighty,"n. 全能的神
adj. 全能的；有无限权力的
adv. 非常"
barracks,"n. 兵营，营房；简陋的房子；警察所（barrack的复数）
v. 使驻扎军营里；住在工房、棚屋里；（澳）大声鼓噪（barrack的三单形式）"
crate,"n. 板条箱；篓
vt. 将某物装入大木箱或板条箱中"
hypocrisy,n. 虚伪；伪善
retaliate,"vi. 报复；回敬
vt. 报复"
tranquil,adj. 安静的，平静的；安宁的；稳定的
renovate,vt. 更新；修复；革新；刷新
deregulate,"vt. 解除对……的管制
vi. 解除控制"
embargo,"vt. 禁止出入港口；禁止或限制贸易；征用或扣押
n. 禁令；禁止；封港令"
loot,"n. 战利品；抢劫；掠夺品
vt. 抢劫，洗劫；强夺
vi. 洗劫，掠夺；抢劫"
syndicate,"n. 辛迪加；企业联合；财团
vt. 把…联合成辛迪加；在多家报刊上同时发表
vi. 联合成辛迪加；组成企业联合组织"
witch,"n. 巫婆，女巫
vt. 迷惑；施巫术"
habitat,n.  栖息地，产地
ratify,vt. 批准；认可
dynasty,n. 王朝，朝代
contagious,adj. 感染性的；会蔓延的
affect,"n. 情感；引起感情的因素
vt. 影响；感染；感动；假装
vi. 倾向；喜欢"
resident,"n. 居民；住院医生
adj. 居住的；定居的"
infant,"n. 婴儿；幼儿；未成年人
adj. 婴儿的；幼稚的；初期的；未成年的"
bandage,"n. 绷带
vt. 用绷带包扎"
rust,"n. 锈；生锈； 锈病
vt. 使生锈；腐蚀
vi. 生锈；成铁锈色；变迟钝"
emphasise,vt. （英）强调；加强…的语气（等于emphasize ）
sulphur,"n. 硫磺；硫磺色
vt. 使硫化；用硫磺处理"
largely,adv. 主要地；大部分；大量地
vivid,adj. 生动的；鲜明的；鲜艳的
intensive,"n. 加强器
adj. 加强的；集中的；透彻的；加强语气的"
diagnose,"vt. 诊断；断定
vi. 诊断；判断"
laptop,n. 膝上型轻便电脑，笔记本电脑
waken,"vt. 唤醒；使觉醒
vi. 醒来；觉醒"
impress,"n. 印象，印记；特征，痕迹
vi. 给人印象
vt. 盖印；强征；传送；给予某人深刻印象"
anniversary,n. 周年纪念日
convict,"n. 罪犯
vt. 证明…有罪；宣告…有罪"
entire,adj. 全部的，整个的；全体的
general,"n. 一般；将军，上将；常规
adj. 一般的，普通的；综合的；大体的"
