enjoyable,adj. 快乐的；有乐趣的；令人愉快的
title,"n. 冠军；标题；头衔；权利；字幕
adj. 冠军的；标题的；头衔的
vt. 加标题于；赋予头衔；把…称为"
dynasty,n. 王朝，朝代
somehow,adv. 以某种方法；莫名其妙地
recent,adj. 最近的；近代的
professor,n. 教授；教师；公开表示信仰的人
inform,"vi. 告发；告密
vt. 通知；告诉；报告"
opening hours,"n. （商店、银行等的）营业时间
 开放时间；办公时间；开馆时间"
run,"n. 奔跑；赛跑；趋向；奔跑的路程
vt. 管理，经营；运行；参赛
vi. 经营；奔跑；运转"
host,"n.  主机；主人；主持人；许多
vt. 主持；当主人招待
vi. 群集；做主人"
approve,"vi. 批准；赞成；满意
vt. 批准；赞成；为…提供证据"
charge,"n. 费用；电荷；掌管；控告；命令；负载
vt. 使充电；使承担；指责；装载；对…索费；向…冲去
vi. 充电；控告；索价；向前冲；记在账上"
schoolmate,n. 同学；同窗
broadcast,"n. 广播；播音；广播节目
adj. 广播的
vt. 播送，播放；（无线电或电视）广播；播撒（种子）
vi. 广播，播送；播放"
preparation,n. 预备；准备
event,n. 事件，大事；项目；结果
outing,"n. 远足；短途旅游；体育比赛
adj. 远足适用的
v. 出来；暴露（out的ing形式）"
graduation,n. 毕业；毕业典礼；刻度，分度；分等级
poet,n. 诗人
generation,n. 一代；产生；一代人；生殖
literary,adj. 文学的；书面的；精通文学的
select,"n. 被挑选者；精萃
adj. 精选的；挑选出来的；极好的
vt. 挑选；选拔
vi. 挑选"
courtyard,n. 庭院，院子；天井
composition,n. 作文，作曲，作品； 构成；合成物；成分
act,"n. 行为，行动；法令，法案；（戏剧，歌剧的）一幕，段；装腔作势
vt. 扮演；装作，举动像
vi. 行动；扮演，充当；表现，举止；假装，演戏；起作用，见效"
curtain,"n. 幕；窗帘
vt. 遮蔽；装上门帘"
can't wait to do something,找不到解释
soccer,n. 英式足球，足球
frightened,"v. 害怕；使吃惊；吓走（frighten的过去分词）
adj. 害怕的；受惊的；受恐吓的"
be supposed to,"na. …(在职务上)要；不许
 应该；被认为；被期望"
bend,"n. 弯曲
vt. 使弯曲；使屈服；使致力；使朝向
vi. 弯曲，转弯；屈服；倾向；专心于"
starve,"vi. 饿死；挨饿；渴望
vt. 使饿死；使挨饿"
cash,"n. 现款，现金
vt. 将…兑现；支付现款"
garbage,n. 垃圾；废物
pizza,n. 比萨饼（一种涂有乳酪核番茄酱的意大利式有馅烘饼）
sink,"n. 水槽；洗涤槽；污水坑
vi. 下沉；消沉；渗透
vt. 使下沉；挖掘；使低落"
garbage can,"n. （常置于房外的）垃圾桶
 垃圾箱；垃圾筒；垃圾箱图片"
adult,"n. 成年人
adj. 成年的；成熟的"
tolerate,vt. 忍受；默许；宽恕
behavior,n. 行为，举止；态度；反应
teenager,n. 十几岁的青少年；十三岁到十九岁的少年
fault,"n. 故障； 断层；错误；缺点；毛病；（网球等）发球失误
vt. （通常用于疑问句或否定句）挑剔
vi. 弄错；产生断层"
scene,n. 场面；情景；景象；事件
upset,"n. 混乱；翻倒；颠覆
adj. 心烦的；混乱的；弄翻的
vt. 使心烦；颠覆；扰乱
vi. 翻倒"
defend,"vi. 保卫；防守
vt. 辩护；防护"
emergency,"n. 紧急情况；突发事件；非常时刻
adj. 紧急的；备用的"
anyhow,adv. 总之；无论如何；不管怎样
deserve,"vi. 应受，应得
vt. 应受，应得"
explanation,n. 说明，解释；辩解
clinic,n. 临床；诊所
hard,"adj. 努力的；硬的；困难的；辛苦的；确实的；严厉的；猛烈的；冷酷无情的
adv. 努力地；困难地；辛苦地；接近地；猛烈地；牢固地"
now that,"na. 由于
 既然；既然已；现在已经"
rude,adj. 粗鲁的；无礼的；狂暴的；未开化的
sign,"n. 迹象；符号；记号；手势；指示牌
vt. 签署；示意
vi. 签署；签名"
bicycle,"n. 自行车
vt. 骑自行车运送
vi. 骑脚踏车"
hardworking,"adj. 努力工作的；不辞辛劳的，苦干的
v. 努力工作（hardwork的ing形式）"
stay up,"na. 不去睡觉；不沉
 熬夜；不睡觉；熬夜，不睡觉"
handle,"n.  把手；柄；手感；口实
vt. 处理；操作；运用；买卖；触摸
vi. 搬运；易于操纵"
error,n. 误差；错误；过失
mix up,"na. 调匀；混淆；使结交坏朋友；猛烈互击
 混合；搞糊涂；混合在一起"
guidance,n. 指导，引导；领导
as if,"na. 彷佛；活像
 好像；仿佛；似乎"
insist,"vi. 坚持，强调
vt. 坚持，强调"
DVD,找不到解释
cafe,n. 咖啡馆；小餐馆
chat,"n. 聊天；闲谈
vt. 与…搭讪；与…攀谈
vi. 聊天；闲谈"
at present,"na. 目前
 现在；当今；眼下"
argument,n. 论证；论据；争吵；内容提要
freedom,n. 自由，自主；直率
worried,adj. 担心的
harm,"n. 伤害；损害
vt. 伤害；危害；损害"
foolish,adj. 愚蠢的；傻的
patience,n. 耐性，耐心；忍耐，容忍
selfish,adj. 自私的；利己主义的
distant,adj. 遥远的；冷漠的；远隔的；不友好的，冷淡的
annoyed,"v. 使烦恼；打扰（annoy的过去分词）
adj. 恼怒的；烦闷的"
forbid,vt. 禁止；不准；不允许；严禁
adolescence,n. 青春期
along with,"na. 与…一道；以外
 与……一起；伴随；和…一起"
misunderstand,vt. 误解；误会
normal,"adj. 正常的；正规的，标准的
n. 正常；标准；常态"
confused,"v. 困惑（confuse的过去式）
adj. 困惑的；混乱的；糊涂的"
physical,"n. 体格检查
adj.  物理的；身体的；物质的；根据自然规律的，符合自然法则的"
psychological,adj. 心理的；心理学的；精神上的
tend,"vt. 照料，照管
vi. 趋向，倾向；照料，照顾"
limit,"n. 限制；限度；界线
vt. 限制；限定"
wisdom,n. 智慧，才智；明智；学识；至理名言
independence,n. 独立性，自立性；自主
balance,"n. 平衡；余额；匀称
vt. 使平衡；结算；使相称
vi. 保持平衡；相称；抵销"
last,"n. 末尾，最后；上个；鞋楦（做鞋的模型）
adj. 最后的；最近的，最新的；仅剩的；最不可能…的
vi. 持续；维持，够用；持久
vt. 度过，拖过；使维持
adv. 最后地；上次，最近；最后一点"
challenge,"n. 挑战；怀疑
vt. 向…挑战；对…质疑"
work out,"v. 作出；拟定；制定；计划一下
 算出；解决；制定出"
slim,"adj. 苗条的；修长的；微小的；差的
vt. 使…体重减轻；使…苗条
vi. 减轻体重；变细"
figure,"n. 数字；人物；图形；价格；（人的）体形；画像
vt. 计算；认为；描绘；象征
vi. 计算；出现；扮演角色"
ashamed,adj. 惭愧的，感到难为情的；耻于……的
weight-loss,"un. 失重；干耗；重量损失；体重减轻
 减肥；减肥的；瘦身的"
pill,"n. 药丸；弹丸，子弹；口服避孕药
vt. 把…制成丸剂；使服用药丸；抢劫，掠夺（古语）
vi. 做成药丸；服药丸"
kilogram,n. 公斤；千克
work,"n. 工作； 功；产品；操作；职业；行为；事业；工厂；著作；文学、音乐或艺术作品
vt. 使工作；操作；经营；使缓慢前进
vi. 工作；运作；起作用"
energetic,adj. 精力充沛的；积极的；有力的
recover,"n. 还原至预备姿势
vt. 恢复；弥补；重新获得
vi. 恢复；胜诉；重新得球"
liver,n. 肝脏；生活者，居民
failure,n. 失败；故障；失败者；破产
contain,"vi. 含有；自制
vt. 包含；控制；容纳；牵制（敌军）"
chemical,"n. 化学制品，化学药品
adj. 化学的"
treatment,n. 治疗，疗法；处理；对待
painful,adj. 痛苦的；疼痛的；令人不快的
damage,"vi. 损害；损毁
vt. 损害，毁坏
n. 损害；损毁；赔偿金"
attractive,adj. 吸引人的；有魅力的；引人注目的
embarrassed,"v. 使...困窘；使...局促不安（embarrass的过去分词形式）
adj. 尴尬的；窘迫的"
pressure,"n. 压力；压迫， 压强
vt. 迫使；密封；使……增压"
overweight,"adj. 超重的；过重的
vt. 使负担过重
n. 超重"
diet,"n. 饮食；食物；规定饮食
vt.  照规定饮食
vi. 节食"
prefer,"vt. 更喜欢；宁愿；提出；提升
vi. 喜欢；愿意"
waist,n. 腰，腰部
suffer,"vi. 遭受，忍受；受痛苦；经验；受损害
vt. 遭受；忍受；经历"
athlete,n. 运动员，体育家；身强力壮的人
effect,"n. 影响；效果；作用
vt. 产生；达到目的"
fall out,"v. 吵架；争执；闹僵；分手
 争吵；脱落；闹翻"
affect,"n. 情感；引起感情的因素
vt. 影响；感染；感动；假装
vi. 倾向；喜欢"
achievement,n. 成就；完成；达到；成绩
post,"n. 岗位；邮件；标杆
vt. 张贴；公布；邮递；布置
vi. 快速行进"
membership,n. 资格；成员资格；会员身份
including,prep. 包含，包括
branch,"n. 树枝，分枝；分部；支流
vt. 分支；出现分歧
vi. 分支；出现分歧"
downtown,"n. 市中心区；三分线以外
adj. 市中心的
adv. 往闹市区；在市区"
freeway,n. 高速公路
midnight,"n. 午夜，半夜12点钟
adj. 半夜的；漆黑的"
equipment,n. 设备，装备；器材
get into shape, 为了健美的体形而进行锻炼等; 使有条理，恰当地安排…
make the most of,"na. 充分使用；尽量使好看；极为重视；尽量称赞
 充分利用；尽量利用；充分展示"
marathon,"n. 马拉松赛跑；耐力的考验
adj. 马拉松式的；有耐力的
vi. 参加马拉松赛跑"
expert,"n. 专家；行家；能手
adj. 熟练的；内行的；老练的
vt. 当专家；在…中当行家"
chip,"n.  芯片；筹码；碎片；(食物的) 小片; 薄片
vt. 削，凿；削成碎片
vi. 剥落；碎裂"
sadness,n. 悲哀
comfort,"n. 安慰；舒适；安慰者
vt. 安慰；使（痛苦等）缓和"
useless,adj. 无用的；无效的
in the long term,"na. 从长期看
 从长远角度看；从长远来看；从长远观点来看"
approximately,adv. 大约，近似地；近于
skip,"n. 跳跃；跳读
vt. 跳过；遗漏
vi. 跳跃；跳绳；遗漏；跳读"
properly,adv. 适当地；正确地；恰当地
mostly,adv. 主要地；通常；多半地
system,n. 制度，体制；系统；方法
skin,"n. 皮肤；外皮
vt. 剥皮
vi. 愈合；长皮"
count,"n. 计数；计算；伯爵
vt. 计算；认为
vi. 计数；有价值"
peaceful,adj. 和平的，爱好和平的；平静的
concentrate,"n. 浓缩，精选；浓缩液
vi. 集中；浓缩；全神贯注；聚集
vt. 集中；浓缩"
amount,"n. 数量；总额，总数
vi. 总计，合计；相当于；共计；产生…结果"
as a matter of fact,"na. 事实上；事实是
 实际上；其实；实际情况"
loss,n. 减少；亏损；失败；遗失
gain,"n. 增加；利润；收获
vi. 增加；获利
vt. 获得；增加；赚到"
tale,n. 故事；传说；叙述；流言蜚语
unexplained,adj. 未经解释的；未经说明的；不清楚的
puzzled,adj. 困惑的；茫然的；搞糊涂的
step up,"v. 加紧；走上前；登上；增加
 舞出我人生；提高；舞出真我"
incident,"n. 事件，事变；插曲
adj.  入射的；附带的；易发生的，伴随而来的"
due,"n. 应付款；应得之物
adj. 到期的；预期的；应付的；应得的
adv. 正（置于方位词前）"
alien,"n. 外国人，外侨；外星人
adj. 外国的；相异的，性质不同的；不相容的
vt. 让渡，转让"
disappear,"vi. 消失；失踪；不复存在
vt. 使…不存在；使…消失"
witness,"n. 证人；目击者；证据
vt. 目击；证明；为…作证
vi. 作证人"
spaceship,n.  宇宙飞船
creature,n. 动物，生物；人；创造物
flash,"n. 闪光，闪现；一瞬间
adj. 闪光的，火速的
vt. 使闪光；反射
vi. 闪光，闪现；反射"
UFO,abbr. 不明飞行物（Unidentified Flying Object）
assume,"vt. 僭取；篡夺；夺取；擅用；侵占
vi. 假定；设想；承担；采取"
construction,n. 建设；建筑物；解释；造句
occur,vi. 发生；出现；存在
show up,"na. 显眼；揭发；嘲笑；露面
 出现；出席；揭露"
aboard,"prep. 在…上
adv. 在飞机上； 在船上；在火车上"
possibility,n. 可能性；可能发生的事物
detective,"n. 侦探
adj. 侦探的"
take charge of,"na. 看守
 负责；担任；主管"
case,"n. 情况；实例；箱
vt. 包围；把…装于容器中"
journalist,n. 新闻工作者；报人；记日志者
make up,"na. 弥补；起草；定；签订
 组成；化妆；编造"
amazing,"adj. 令人惊异的
v. 使吃惊（amaze的ing形式）"
evidence,"n. 证据，证明；迹象；明显
vt. 证明"
injury,n. 伤害，损害；受伤处
dismiss,"vt. 解散；解雇；开除；让...离开；不予理会、不予考虑
vi. 解散"
look into,"na. 窥视；调查；过问
 研究；检查；了解"
laughter,n. 笑；笑声
schoolboy,n. 男学生；学童
astronomer,n. 天文学家
enthusiastic,adj. 热情的；热心的；狂热的
base,"n. 基础；底部；垒
adj. 卑鄙的；低劣的
vt. 以…作基础"
exist,vi. 存在；生存；生活；继续存在
mystery,n. 秘密，谜；神秘，神秘的事物；推理小说，推理剧；常作 mysteries 秘技，秘诀
comic strip,"n. （常登载于报纸上的）连环漫画
 连环画；连载漫画；连环图画"
questionnaire,n. 问卷；调查表
tick,"n. 滴答声；扁虱；记号；赊欠
vt. 标记号于；滴答地记录
vi. 发出滴答声；标以记号"
statement,n. 声明；陈述，叙述；报表，清单
disagree,vi. 不同意；不一致；争执；不适宜
appropriate,"adj. 适当的；恰当的；合适的
vt. 占用，拨出"
blank,"n. 空白；空虚；空白表格
adj. 空白的；空虚的；单调的
vt. 使…无效；使…模糊；封锁
vi. 消失；成为空白"
humour,"n. 幽默（等于humor）；诙谐
vt. 迁就；使满足"
discount,"n. 折扣；贴现率
vt. 打折扣；将…贴现；贬损；低估；忽视
vi. 贴现；打折扣出售商品"
table tennis,"n. 乒乓球运动
 桌球；桌上网球；打乒乓球"
badminton,n. 羽毛球
organize,"vt. 组织；使有系统化；给予生机；组织成立工会等
vi. 组织起来；成立组织"
tournament,n. 锦标赛，联赛；比赛
award,"n. 奖品；判决
vt. 授予；判定"
Yeti,找不到解释
Bigfoot,n. 大脚；传说中生存于北美洲西北部太平洋沿岸森林中的野人（等于Sasquatch）
Wild Man of Shennongjia,找不到解释
hairy,adj. 多毛的；毛状的；长毛的
human being,"adj. 人的；有人性的；显示人类特点的
n. 人类
 是人；指人类；泛指人"
attack,"n. 攻击；抨击；疾病发作
vt. 攻击；抨击；动手干
vi. 攻击；腐蚀"
villager,n. 乡村居民，村民
fur,"n. 皮，皮子；毛皮；软毛
n. 水垢
vt. 用毛皮覆盖；使穿毛皮服装"
track,"n. 轨道；足迹，踪迹；小道
vt. 追踪；通过；循路而行；用纤拉
vi. 追踪；走；留下足迹"
centimetre,n. 厘米；公分
length,n. 长度，长；时间的长短；（语）音长
examine,"vt. 检查；调查； 检测；考试
vi. 检查；调查"
north-west,n. 西北
dozen,"n. 十二个，一打
adj. 一打的"
reserve,"n. 储备，储存；自然保护区；预备队；缄默； 储备金
vt. 储备；保留；预约
vi. 预订"
strength,n. 力量；力气；兵力；长处
belong,vi. 属于，应归入；居住；适宜；应被放置
existence,n. 存在，实在；生存，生活；存在物，实在物
convince,vt. 说服；使确信，使信服
link,"n.  链环，环节；联系，关系
vt. 连接，连结；联合，结合
vi. 连接起来；联系在一起；将人或物连接或联系起来"
ancestor,n. 始祖，祖先；被继承人
make one's way to, 往……走去；转向；向……走去
survive,"vi. 幸存；活下来
vt. 幸存；生还；幸免于；比...活得长"
adventure,"n. 冒险；冒险精神；投机活动
vt. 冒险；大胆说出
vi. 冒险"
arrange,"vi. 安排；排列；协商
vt. 安排；排列；整理"
extraordinary,adj. 非凡的；特别的；离奇的；临时的；特派的
flight,"n. 飞行；班机；逃走
vt. 射击；使惊飞
vi. 迁徙"
camel,"n.  骆驼；打捞浮筒；工作作风官僚
adj. 驼色的；暗棕色的
vi. 工作刻板平庸"
desert,"n. 沙漠；荒原；应得的赏罚
vt. 遗弃；放弃；逃跑
adj. 沙漠的；荒凉的；不毛的
vi. 遗弃；开小差；逃掉"
dusty,adj. 落满灰尘的
shade,"n. 树荫；阴影；阴凉处；遮阳物；（照片等的）明暗度；少量、些微；细微的差别
vt. 使阴暗；使渐变；为…遮阳；使阴郁；掩盖
vi. （颜色、色彩等）渐变"
brilliant,adj. 灿烂的，闪耀的；杰出的；有才气的；精彩的，绝妙的
flashlight,n. 手电筒；闪光灯
altogether,"n. 整个；裸体
adv. 完全地；总共；总而言之"
uncomfortable,adj. 不舒服的；不安的
rough,"n. 艰苦；高低不平的地面；未经加工的材料；粗糙的部分
adj. 粗糙的；粗略的；粗野的；艰苦的；未经加工的
vt. 使粗糙；粗暴对待；草拟
adv. 粗糙地；粗略地；粗暴地
vi. 举止粗野"
white-water rafting,乘水筏子
helmet,n. 钢盔，头盔
life jacket,"n. 救生衣
 救身衣；救生背心；航行救生衣"
protection,n. 保护；防卫；护照
in case,"na. 以防万一；作为准备；如果；免得
 假使；假如；以防免得"
backpack,"n. 双肩背包，背包；远足用的背包
vt. 挑运；把…放入背包
vi. 背负简便行李旅行；挑运"
advance,"n. 发展；前进；增长；预付款
adj. 预先的；先行的
vt. 提出；预付；使……前进；将……提前
vi. 前进；进展；上涨"
supply,"n. 供给，补给；供应品
vt. 供给，提供；补充
vi. 供给；替代"
wildlife,"n. 野生动植物
adj. 野生动植物的"
photograph,"n. 照片，相片
vt. 为…拍照；使深深印入
vi. 拍照；在照片上显得"
defence,n. 防御；防卫；答辩；防卫设备
scare,"n. 恐慌；惊吓；惊恐
vt. 惊吓；把…吓跑
adj. （美）骇人的
vi. 受惊"
up close, 靠近地；近距离；近距离地
mount,"vt. 增加；爬上；使骑上马；安装，架置；镶嵌，嵌入；准备上演；成立（军队等）
vi. 爬；增加；上升
n. 山峰；底座；乘骑用马；攀，登；运载工具；底座
v. 登上；骑上"
tiring,"adj. 累人的；麻烦的；无聊的；引起疲劳的
v. 厌倦；使劳累（tire的ing形式）；感到疲倦"
atmosphere,n. 气氛；大气；空气
African,"n. 非洲人
adj. 非洲的，非洲人的"
afterwards,adv. 后来；然后
sleeve,"n.  套筒， 套管；袖子， 袖套
vt. 给……装袖子；给……装套筒"
cheek,"n. 面颊，脸颊；臀部
vt. 无礼地向…讲话，对…大胆无礼"
tourism,n. 旅游业；游览
schedule,"n. 时间表；计划表；一览表
vt. 安排，计划；编制目录；将……列入计划表"
crane,"n. 吊车，起重机；鹤
vt. 用起重机起吊；伸长脖子
vi. 伸着脖子看；迟疑，踌躇"
explore,"vi. 探索；探测；探险
vt. 探索；探测；探险"
sunrise,n. 日出；黎明
view,"n. 观察；视野；意见；风景
vt. 观察；考虑；查看"
heaven,n. 天堂；天空；极乐
mountaintop,n. 山顶
temple,n. 庙宇；寺院；神殿；太阳穴
bury,vt. 埋葬；隐藏
destination,n. 目的地，终点
cage,"n. 笼，兽笼；牢房，监狱
vt. 把…关进笼子；把…囚禁起来"
beauty,n. 美；美丽；美人；美好的东西
south-west,n. 西南
highway,n. 公路，大路；捷径
classic,"n. 名著；经典著作；大艺术家
adj. 经典的；古典的，传统的；最优秀的"
novel,"adj. 新奇的；异常的
n. 小说"
kingdom,n. 王国；界；领域
steep,"n. 峭壁；浸渍
adj. 陡峭的；不合理的；夸大的；急剧升降的
vt. 泡；浸；使…充满
vi. 泡；沉浸"
forever,adv. 永远；不断地；常常
officially,adv. 正式地；官方地；作为公务员
spot,"n. 地点；斑点
adj. 现场的；现货买卖的
vt. 认出；弄脏；用灯光照射
vi. 沾上污渍；满是斑点
adv. 准确地；恰好"
publish,"vi. 出版；发行；刊印
vt. 出版；发表；公布"
announce,"vt. 宣布；述说；预示；播报
vi. 宣布参加竞选；当播音员"
tower,"n. 塔；高楼；堡垒
vi. 高耸；超越"
sunshine,n. 阳光；愉快；晴天；快活
reflect,"vt. 反映；反射，照出；表达；显示;反省
vi. 反射，映现；深思"
diamond,"n. 钻石，金刚石；菱形；方块牌
adj. 菱形的；金刚钻的"
cattle,n. 牛；牲畜（骂人的话）；家畜；无价值的人
wander,"vi. 徘徊；漫步；迷路；离题
vt. 游荡，漫游"
surrounding,"n. 环境，周围的事物
adj. 周围的，附近的"
harmony,n. 协调；和睦；融洽；调和
endless,adj. 无止境的；连续的；环状的；漫无目的的
mild,"adj. 温和的；轻微的；淡味的；文雅的；不含有害物质的的
n. （英国的一种）淡味麦芽啤酒"
curse,"n. 诅咒；咒骂
vt. 诅咒；咒骂
vi. 诅咒；咒骂"
mummy,n. 妈妈；木乃伊；干瘪的人
explorer,n. 探险家；勘探者；探测器；探针
curious,adj. 好奇的，有求知欲的；古怪的；爱挑剔的
set sail,"na. 张帆；开船
 启航；起航；扬帆"
tomb,"n. 坟墓；死亡
vt. 埋葬"
Egyptian,"n. 埃及人；古代埃及语
adj. 埃及的；埃及人的"
fortune,"n. 财富；命运；运气
vt. 给予财富
vi. 偶然发生"
jewel,"n. 宝石；珠宝
vt. 镶以宝石；饰以珠宝"
preserve,"n. 保护区；禁猎地；加工成的食品
vt. 保存；保护；维持；腌；禁猎"
valley,n. 山谷；流域；溪谷
lord,"n. 主；上帝
int. 主，天啊
vt. 使成贵族
vi. 作威作福，称王称霸"
come across,"na. 尽(义务)；发现；碰见；(穿过…)来到
 遇见；偶然遇见；碰到"
entrance,"n. 入口；进入
vt. 使出神，使入迷"
content,"n. 内容，目录；满足；容量
adj. 满意的
vt. 使满足"
swallow,"n. 燕子；一次吞咽的量
vt. 忍受；吞没
vi. 吞下；咽下"
death,n. 死；死亡；死神；毁灭
shortly,adv. 立刻；简短地；唐突地
within,"prep. 在…之内
n. 里面
adv. 在内部"
coincidence,n. 巧合；一致；同时发生
connection,n. 连接；关系；人脉；连接件
punishment,n. 惩罚；严厉对待，虐待
scientific,adj. 科学的，系统的
virus,n.  病毒；恶毒；毒害
disturb,"vt. 打扰；妨碍；使不安；弄乱；使恼怒
vi. 打扰；妨碍"
breathe,"vi. 呼吸；低语；松口气；（风）轻拂
vt. 呼吸；使喘息；流露；低声说"
result in,"na. 终于(失败)
 导致；结果是；造成"
clothing,"n. （总称） 服装；帆装
v. 覆盖（clothe的ing形式）；给…穿衣"
riddle,"n. 谜语；粗筛；谜一般的人、东西、事情等
vt. 解谜；给...出谜；充满于
vi. 出谜"
labour,n. （英国）工党
whichever,"adj. 无论哪个；无论哪些
pron. 任何一个；无论哪个"
airplane,n. 飞机
signal,"n. 信号；暗号；导火线
adj. 显著的；作为信号的
vt. 标志；用信号通知；表示
vi. 发信号"
warning,"n. 警告；预兆；预告
v. 警告（warn的ing形式）
adj. 警告的；引以为戒的"
iceberg,n.  冰山；显露部分
widespread,adj. 普遍的，广泛的；分布广的
requirement,n. 要求；必要条件；必需品
inspire,vt. 激发；鼓舞；启示；产生；使生灵感
sex,"n. 性；性别；性行为；色情
vt. 引起…的性欲；区别…的性别"
female,"n. 女人； 雌性动物
adj. 女性的；雌性的；柔弱的，柔和的"
nationality,n. 国籍，国家；民族；部落
native,"adj. 本国的；土著的；天然的；与生俱来的；天赋的
n. 本地人；土产；当地居民"
outgoing,"adj. 对人友好的，开朗的；出发的，外出的；即将离职的；乐于助人的
n. 外出；流出；开支
v. 超过；优于（outgo的ing形式）"
gorilla,n. 大猩猩
data,n. 数据（datum的复数）；资料
companion,"n. 同伴；朋友；指南；手册
vt. 陪伴"
rare,"adj. 稀有的；稀薄的；半熟的
adj. 杰出的；极度的；非常好的
adv. 非常；极其
vi. 用后腿站起；渴望"
discourage,vt. 阻止；使气馁
devotion,n. 献身，奉献；忠诚；热爱
PhD,找不到解释
murder,"vt. 谋杀，凶杀
n. 谋杀，凶杀
vi. 杀人，犯杀人罪"
various,adj. 各种各样的；多方面的
organization,n. 组织；机构；体制；团体
voyage,"n. 航行；航程；旅行记
vt. 飞过；渡过
vi. 航行；航海"
orbit,"n. 轨道；眼眶；势力范围；生活常规
vi. 盘旋；绕轨道运行
vt. 绕…轨道而行"
astronaut,n. 宇航员，航天员；太空旅行者
north-east,n. 东北方
desire,"n. 欲望；要求，心愿；性欲
vt. 想要；要求；希望得到…
vi. 渴望"
apply,"vi. 申请；涂，敷；适用；请求
vt. 申请；涂，敷；应用"
candidate,n. 候选人，候补者；应试者
survival,n. 幸存，残存；幸存者，残存物
rocket,"n. 火箭
vt. 用火箭运载
vi. 飞驰，飞快地移动；迅速增加"
status,n. 地位；状态；情形；重要身份
superior,"n. 上级，长官；优胜者，高手；长者
adj. 上级的；优秀的，出众的；高傲的"
be in control, 在掌控中；掌控之中；自我控制
be in control of something,找不到解释
quality,"n. 质量， 品质；特性；才能
adj. 优质的；高品质的；<英俚>棒极了"
optimistic,adj. 乐观的；乐观主义的
indeed,"adv. 的确；实在；真正地；甚至
int. 真的（表示惊讶、怀疑、讽刺等）"
look up to,"v. 尊敬；另眼看待；向…一举一动看齐
 敬仰；仰望；尊重"
hearing,"n. 听力；审讯，听讯
v. 听见（hear的ing形式）"
raised,"v. 提高（raise的过去时和过去分词）；举起；抚育，抚养
adj. 凸起的；发酵的；浮雕的"
dot,"n. 点，圆点；嫁妆
vt. 加小点于
vi. 打上点"
sign,"n. 迹象；符号；记号；手势；指示牌
vt. 签署；示意
vi. 签署；签名"
confuse,vt. 使混乱；使困惑
vase,n. 瓶；花瓶
fog,"n. 雾；烟雾，尘雾；迷惑
vt. 使模糊；使困惑；以雾笼罩
vi. 被雾笼罩；变模糊"
mist,"n. 薄雾；视线模糊不清；模糊不清之物
vi. 下雾；变模糊
vt. 使模糊；使蒙上薄雾"
forecast,"n. 预测，预报；预想
vt. 预报，预测；预示
vi. 进行预报，作预测"
conductor,n. 导体；售票员；领导者；管理人
fare,"n. 票价；费用；旅客；食物
vi. 经营；进展；遭遇；过活"
foggy,adj. 有雾的；模糊的，朦胧的
