accustom,vt. 使习惯于
harvest,"n. 收获；产量；结果
vt. 收割；得到
vi. 收割庄稼"
hew,"vt. 砍；劈；砍倒
vi. 砍；劈；坚持"
hostile,"n. 敌对
adj. 敌对的，敌方的；怀敌意的"
pledge,"n. 保证，誓言；抵押；抵押品，典当物
vt. 保证，许诺；用……抵押；举杯祝……健康"
prosper,"vi. 繁荣，昌盛；成功
vt. 使……成功；使……昌盛；使……繁荣"
task,"n. 工作，作业；任务
vt. 分派任务"
absurd,"n. 荒诞；荒诞作品
adj. 荒谬的；可笑的"
accomplish,vt. 完成；实现；达到
ascend,"vi. 上升；登高；追溯
vt. 攀登，上升"
dense,adj. 稠密的；浓厚的；愚钝的
experiment,"n. 实验，试验；尝试
vi. 尝试；进行实验"
flimsy,"n. 薄纸；复写纸；打字纸
adj. 脆弱的；浅薄的；易损坏的；不周密的"
heroic,"n. 史诗；英勇行为
adj. 英雄的；英勇的；记叙英雄及其事迹的；夸张的"
lumber,"vi. 伐木；喧闹地向前走；笨重地行动，缓慢地移动
vt. 砍伐木材；乱堆
n. 木材；废物，无用的杂物；隆隆声"
mimic,"vt. 模仿，摹拟
n. 效颦者，模仿者；仿制品；小丑
adj. 模仿的，模拟的；假装的"
significant,"n. 象征；有意义的事物
adj. 重大的；有效的；有意义的；值得注意的；意味深长的"
soar,"n. 高飞；高涨
vi. 高飞；高耸；往上飞舞"
spectator,n. 观众；旁观者
suspend,"vt. 延缓，推迟；使暂停；使悬浮
vi. 悬浮；禁赛"
terminate,"vt. 使终止；使结束；解雇
adj. 结束的
vi. 结束，终止；结果"
unwieldy,adj. 笨拙的；笨重的；不灵便的；难处理的
available,adj. 可获得的；可购得的；可找到的；有空的
bondage,n. 奴役，束缚；奴役身份
donate,"n. 捐赠；捐献
vt. 捐赠；捐献
vi. 捐赠；捐献"
establish,"vi. 植物定植
vt. 建立；创办；安置"
evade,"vt. 逃避；规避；逃脱
vi. 逃避；规避；逃脱"
liberate,vt. 解放；放出；释放
numerous,adj. 许多的，很多的
occasion,"n. 时机，机会；场合；理由
vt. 引起，惹起"
oppose,"vt. 反对；对抗，抗争
vi. 反对"
prohibit,vt. 阻止，禁止
pursue,"vi. 追赶；继续进行
vt. 继续；从事；追赶；纠缠"
reassure,vt. 使…安心，使消除疑虑
reluctant,adj. 不情愿的；勉强的；顽抗的
superior,"n. 上级，长官；优胜者，高手；长者
adj. 上级的；优秀的，出众的；高傲的"
yearn,vi. 渴望，向往；思念，想念；怀念；同情，怜悯
accelerate,"vt. 使……加快；使……增速
vi. 加速；促进；增加"
altitude,n. 高地；高度； 顶垂线；（等级和地位等的）高级；海拔
anxious,adj. 焦虑的；担忧的；渴望的；急切的
brace,"n. 支柱； 大括号；曲柄
vt. 支撑；振作起来；激励；撑牢
adj. 曲柄的
vi. 支持；打起精神"
confident,adj. 自信的；确信的
contact,"n. 接触，联系
vt. 使接触，联系
vi. 使接触，联系"
exult,vi. 狂喜，欢欣鼓舞；非常高兴
hangar,n. 飞机库；飞机棚
maximum,"n.  极大，最大限度；最大量
adj. 最高的；最多的；最大极限的"
methodical,adj. 有系统的；有方法的
nonchalant,adj. 冷淡的，漠不关心的
proceed,"vi. 开始；继续进行；发生；行进
n. 收入，获利"
saunter,"n. 漫步；闲逛
vi. 闲逛；漫步"
solo,"n. 独奏；独唱；独奏曲
adj. 独奏的；独唱的；单独的
vt. 单人攀登；单独驾
vi. 单独表演；放单飞
adv. 单独地"
stall,"n. 货摊；畜栏；托辞
vt. 拖延；使停转；使陷于泥中
vi. 停止，停转；拖延"
convalesce,vi. 渐愈；渐渐康复
dedicate,vt. 致力；献身；题献
dictate,"n. 命令；指示
vt. 命令；口述；使听写
vi. 口述；听写"
exasperate,vt. 恶化；使恼怒；激怒
notable,"adj. 值得注意的，显著的；著名的
n. 名人，显要人物"
overdue,adj. 过期的；迟到的；未兑的
overthrow,"n. 推翻；倾覆；瓦解
vt. 推翻；打倒；倾覆"
penetrate,"vi. 渗透；刺入；看透
vt. 渗透；穿透；洞察"
portrait,n. 肖像；描写；半身雕塑像
rebel,"n. 反叛者；叛徒
adj. 反抗的；造反的
vi. 反叛；反抗；造反"
restrict,vt. 限制；约束；限定
seldom,adv. 很少，不常
stimulate,"vi. 起刺激作用；起促进作用
vt. 刺激；鼓舞，激励"
tempest,"n. 暴风雨；骚动；动乱
vt. 使狂怒；扰乱，使激动
vi. 小题大作；起大风暴"
upbringing,n. 教养；养育；抚育
accommodate,"vi. 适应；调解
vt. 容纳；使适应；供应；调解"
aggressive,adj. 侵略性的；好斗的；有进取心的；有闯劲的
bask,"vt. 使…晒太阳；使暖和而舒适
vi. 晒太阳；取暖；愉快或舒适"
carcass,n. （人或动物的）尸体；残骸；（除脏去头备食用的）畜体
conceal,vt. 隐藏；隐瞒
flail,"n. 连枷（打谷物用的工具）
vt. 打；用连枷打
vi. 打；用连枷打"
gorge,"n. 峡谷；胃；暴食；咽喉；障碍物
vt. 使吃饱；吞下；使扩张
vi. 拚命吃；狼吞虎咽"
morsel,n. 一口；（食物）少量
protrude,"vi. 突出，伸出
vt. 使突出，使伸出"
ripple,"n. 波纹；涟漪； 涟波
vt. 在…上形成波痕
vi. 起潺潺声"
slither,"n. 滑动；滑行
vt. 使滑动
vi. 蜿蜒地滑行"
sluggish,"n. 市况呆滞；市势疲弱
adj. 萧条的；迟钝的；行动迟缓的；懒惰的"
snout,n. 鼻子；猪嘴；烟草；鼻口部；口吻状物
taper,"n. 细蜡烛，烛芯；逐渐变弱；锥形物
vi. 逐渐减少；逐渐变弱
vt. 逐渐减少；使成锥形"
visible,"n. 可见物；进出口贸易中的有形项目
adj. 明显的；看得见的；现有的；可得到的"
access,"n. 进入；使用权；通路
vt. 使用；存取；接近"
associate,"n. 同事，伙伴；关联的事物
adj. 副的；联合的
vt. 联想；使联合；使发生联系
vi. 交往；结交"
boisterous,adj. 喧闹的；狂暴的；猛烈的
brilliant,adj. 灿烂的，闪耀的；杰出的；有才气的；精彩的，绝妙的
decade,n. 十年，十年期；十
delicate,adj. 微妙的；精美的，雅致的；柔和的；易碎的；纤弱的；清淡可口的
employ,"n. 使用；雇用
vt. 使用，采用；雇用；使忙于，使从事于"
idle,"adj. 闲置的；懒惰的；停顿的
vt. 虚度；使空转
vi. 无所事事；虚度；空转"
illuminate,"vt. 阐明，说明；照亮；使灿烂；用灯装饰
vi. 照亮"
provide,"vt. 提供；规定；准备；装备
vi. 规定；抚养；作准备"
require,vt. 需要；要求；命令
taunt,"n. 嘲弄；讥讽
adj. 很高的
vt. 奚落；逗弄"
tolerant,adj. 宽容的；容忍的；有耐药力的
transform,"vt. 改变，使…变形；转换
vi. 变换，改变；转化"
wilderness,n. 荒地；大量，茫茫一片
disaster,n. 灾难，灾祸；不幸
flee,"vt. 逃跑，逃走；逃避
vi. 逃走；消失，消散"
fracture,"n. 破裂，断裂； 骨折
vt. 使破裂
vi. 破裂；折断"
immense,adj. 巨大的，广大的；无边无际的；非常好的
intense,adj. 强烈的；紧张的；非常的；热情的
investigate,v. 调查；研究
lurch,"n. 突然倾斜；蹒跚；挫折
vi. 倾斜；蹒跚
vt. 击败"
major,"adj. 主要的；重要的；主修的；较多的
n.  成年人；主修科目；陆军少校
vi. 主修"
minor,"adj. 未成年的；次要的；较小的；小调的；二流的
n. 未成年人；小调；副修科目
vi. 副修"
petrify,"vt. 使…石化；使…惊呆
vi. 石化；惊呆"
predict,"vi. 作出预言；作预料，作预报
vt. 预报，预言；预知"
prone,adj. 俯卧的；有…倾向的，易于…的
sparse,adj. 稀疏的；稀少的
topple,"vt. 推翻；颠覆；使倒塌
vi. 倾倒；倒塌；摇摇欲坠"
urban,adj. 城市的；住在都市的
abdicate,"vt. 退位；放弃
vi. 退位；放弃"
assume,"vt. 僭取；篡夺；夺取；擅用；侵占
vi. 假定；设想；承担；采取"
bungle,"n. 粗劣；失败；笨拙
vi. 把工作搞糟
vt. 笨手笨脚地做；把…搞糟"
dominate,"vt. 控制；支配；占优势；在…中占主要地位
vi. 占优势；处于支配地位"
former,"n. 模型，样板；起形成作用的人
adj. 从前的，前者的；前任的"
guardian,"n.  监护人，保护人；守护者
adj. 守护的"
hoist,"n. 起重机；升起，吊起
vt. （用绳索，起重机等）使升起
vi. 升起；吊起"
intercept,"n. 拦截； 截距；截获的情报
vt. 拦截；截断；窃听"
jubilee,n. （犹太史）五十年节（每五十年举行一次庆祝希伯来奴隶的解放）；大赦年（天主教每二十五年一次的）；欢乐的佳节，欢乐的节日；重要的周年纪念
kin,"n. 亲戚；家族；同族
adj. 同类的；有亲属关系的；性质类似的"
pardon,"n. 原谅；赦免；宽恕
vt. 原谅；赦免；宽恕"
proclaim,vt. 宣告，公布；声明；表明；赞扬
provoke,vt. 驱使；激怒；煽动；惹起
reign,"n. 统治；统治时期；支配
vi. 统治；支配；盛行；君临"
riot,"n. 暴乱；放纵；蔓延
vt. 浪费，挥霍
vi. 骚乱；放荡"
afflict,vt. 折磨；使痛苦；使苦恼
barren,"n. 荒地
adj. 贫瘠的；不生育的；无益的；沉闷无趣的；空洞的"
consist,vi. 由…组成；在于；符合
drought,n. 干旱；缺乏
erode,"vt. 腐蚀，侵蚀
vi. 侵蚀；受腐蚀"
expand,"vt. 扩张；使膨胀；详述
vi. 发展；张开，展开"
famine,n. 饥荒；饥饿，奇缺
fertile,adj. 富饶的，肥沃的；能生育的
oasis,n. 绿洲；舒适的地方；令人宽慰的事物
pasture,"n. 草地；牧场；牧草
vt. 放牧；吃草"
primitive,"n. 原始人
adj. 原始的，远古的；简单的，粗糙的"
refuge,"n. 避难；避难所；庇护
vt. 给予…庇护；接纳…避难
vi. 避难；逃避"
revert,"n. 恢复原状者
vt. 使回复原状
vi. 回复；重提；返祖遗传；归还"
teem,"vt. 倒出
vi. 大量出现；充满"
wither,"vi. 枯萎；凋谢；衰弱
vt. 使凋谢；使畏缩；使衰弱"
animated,"vt. 使…有生气（animate的过去式）
adj. 活生生的；活泼的；愉快的"
betray,vt. 背叛；出卖；泄露（秘密）；露出…迹象
convince,vt. 说服；使确信，使信服
decline,"n. 下降；衰退；斜面
vt. 谢绝；婉拒
vi. 下降；衰落；谢绝"
hilarious,adj. 欢闹的；非常滑稽的；喜不自禁的
likeness,n. 相似，相像；样子，肖像；照片，画像；相似物
meager,"adj. 贫乏的；瘦的
n. 兆"
mischief,n. 恶作剧；伤害；顽皮；不和
negotiate,"vt. 谈判，商议；转让；越过
vi. 谈判，交涉"
obsolete,"adj. 废弃的；老式的
n. 废词；陈腐的人
vt. 淘汰；废弃"
retain,vt. 保持；雇；记住
sensation,n. 感觉；轰动；感动
somber,adj. 忧郁的；昏暗的；严峻的；阴天的
subsequent,adj. 后来的，随后的
vow,"n. 发誓；誓言；许愿
vi. 发誓；郑重宣告
vt. 发誓；郑重宣告"
dormant,adj. 休眠的；静止的；睡眠状态的；隐匿的
elegant,adj. 高雅的，优雅的；讲究的；简炼的；简洁的
erupt,"vi. 爆发；喷出；发疹；长牙
vt. 爆发；喷出"
excavate,"vt. 挖掘；开凿
vi. 发掘；细查"
expel,vt. 驱逐；开除
fume,"n. 烟；愤怒，烦恼
vt. 熏；冒烟；愤怒地说
vi. 冒烟；发怒"
molten,"adj. 熔化的；铸造的；炽热的
v. 换毛；脱毛（molt的过去分词）"
painstaking,"adj. 艰苦的；勤勉的；小心的
n. 辛苦；勤勉"
perish,"vi. 死亡；毁灭；腐烂；枯萎
vt. 使麻木；毁坏"
population,n. 人口； 种群， 群体；全体居民
prelude,"n. 前奏；序幕；前奏曲
vt. 成为…的序幕；演奏…作为前奏曲
vi. 作为序曲；奏序曲"
scald,"vt. 烫伤；烫洗；加热；晒焦
vi. 烫伤；烫洗；煮沸
n. 烫伤；烫洗"
stupendous,adj. 惊人的；巨大的
suffocate,"vt. 压制，阻碍；使……窒息
vi. 受阻，受扼制；窒息"
tremor,n.  震颤；颤动
ample,adj. 丰富的；足够的；宽敞的
burden,"n. 负担；责任；船的载货量
vt. 使负担；烦扰；装货于"
compassion,n. 同情；怜悯
comply,vi. 遵守；顺从，遵从；答应
cumbersome,adj. 笨重的；累赘的；难处理的
distress,"n. 危难，不幸；贫困；悲痛
vt. 使悲痛；使贫困"
encounter,"n. 遭遇，偶然碰见
vi. 遭遇；偶然相遇
vt. 遭遇，邂逅；遇到"
exert,vt. 运用，发挥；施以影响
indignant,adj. 愤愤不平的；义愤的
jest,"n. 笑话，俏皮话；玩笑
vi. 开玩笑；嘲笑
vt. 嘲笑"
mirth,n. 欢笑；欢乐；高兴
moral,"adj. 道德的；精神上的；品性端正的
n. 道德；寓意"
outskirts,n. 市郊，郊区
resume,"n. 摘要； 履历，简历
vi. 重新开始，继续
vt. 重新开始，继续；恢复，重新占用"
ridicule,"n. 嘲笑；笑柄；愚弄
vt. 嘲笑；嘲弄；愚弄"
