erupt,"vi. 爆发；喷出；发疹；长牙
vt. 爆发；喷出"
slave,"n. 奴隶；从动装置
vi. 苦干；拼命工作"
landfill,n. 垃圾填埋地；垃圾堆
contain,"vi. 含有；自制
vt. 包含；控制；容纳；牵制（敌军）"
lead,"n. 领导；铅；导线；榜样
vt. 领导；致使；引导；指挥
vi. 领导；导致；用水砣测深
adj. 带头的；最重要的"
mercury,n. 水星
cadmium,n.  镉（元素符号Cd）
toxic,adj. 有毒的；中毒的
take ... apart,"na. 分解；拆分；剖析
 拆开；拆卸；卸开"
nickel,"n. 镍；镍币；五分镍币
vt. 镀镍于"
steel,"n. 钢铁；钢制品；坚固
adj. 钢制的；钢铁业的；坚强的
vt. 钢化；使冷酷"
annual,"n. 年刊，年鉴；一年生植物
adj. 年度的；每年的"
put forward,"na. 提出(计划,意见等)；建议；促进；推举(候补人等)
 提前；推荐；表提出"
protection,n. 保护；防卫；护照
drought,n. 干旱；缺乏
program,"n. 程序；计划；大纲
vt. 用程序指令；为…制订计划；为…安排节目
vi. 编程序；安排节目；设计电脑程式"
Gobi,n. 戈壁沙漠
spread,"n. 传播；伸展
adj. 伸展的
vt. 传播，散布；展开；伸展；铺开
vi. 传播；伸展"
edge,"n. 边缘；优势；刀刃；锋利
vt. 使锐利；将…开刃；给…加上边
vi. 缓缓移动；侧着移动"
Uzbekistan,n. 乌兹别克斯坦（苏联加盟共和国名）
Kazakhstan,n. 哈萨克斯坦（原苏联加盟共和国之一， 已于1991年宣布独立）
dam,"n.  水坝；障碍
v. 控制；筑坝"
original,"n. 原件；原作；原物；原型
adj. 原始的；最初的；独创的；新颖的"
dust,"n. 灰尘；尘埃；尘土
vt. 撒；拂去灰尘
vi. 拂去灰尘；化为粉末"
rust,"n. 锈；生锈； 锈病
vt. 使生锈；腐蚀
vi. 生锈；成铁锈色；变迟钝"
Halloween,n. 万圣节前夕（指十月三十一日夜晚）
Oakland,
generate,vt. 使形成；发生；生殖；产生物理反应
tank,"n. 坦克；水槽；池塘
vt. 把…贮放在柜内；打败
vi. 乘坦克行进"
bacteria,n.  细菌
break down,"v. 分解；抛锚；分析；划分
 损坏；出故障；瓦解"
release,"n. 释放；发布；让与
vt. 释放；发射；让与；允许发表"
methane,n.  甲烷； 沼气
power,"n. 力量，能力；电力，功率；政权，势力； 幂
adj. 借影响有权势人物以操纵权力的
vt. 激励；供以动力；使…有力量
vi. 快速前进"
thorn,n. 刺； 荆棘
the Great Barrier Reef,
barrier,"n. 障碍物，屏障；界线
vt. 把…关入栅栏"
reef,"n. 暗礁； 矿脉；收帆
vt. 收帆；缩帆
vi. 缩帆；收帆"
coral,"n. 珊瑚；珊瑚虫
adj. 珊瑚的；珊瑚色的"
spectacular,adj. 壮观的，惊人的；公开展示的
reproduce,"vt. 复制；再生；生殖；使…在脑海中重现
vi. 复制；繁殖"
spine,n. 脊柱，脊椎；刺；书脊
substance,n. 物质；实质；资产；主旨
inject,vt. 注入；注射
needle,"n. 针；指针；刺激；针状物
vi. 缝纫；做针线
vt. 刺激；用针缝"
hedgehog,n. 刺猬
snorkel,"n. 通气管；潜艇换气装置
vi. 用水下通气管潜航"
Barcelona,n. 巴塞罗纳（西班牙）
Spain,n. 西班牙
shape,"n. 形状；模型；身材；具体化
vt. 形成；塑造，使成形；使符合
vi. 形成；成形；成长"
tile,"n. 瓷砖，瓦片
vt. 铺以瓦；铺以瓷砖"
mosaic,"adj. 摩西的；拼成的；嵌花式的
n. 马赛克；镶嵌；镶嵌细工"
fountain,n. 喷泉，泉水；源泉
complicated,adj. 难懂的，复杂的
translate,"vt. 翻译；转化；解释；转变为；调动
vi. 翻译"
whodunit,n. 侦探小说
Belgian,"n. 比利时人
adj. 比利时的"
amateur,"n. 爱好者；业余爱好者；外行
adj. 业余的；外行的"
archaeologist,n. 考古学家
Syria,n. 叙利亚共和国
Iraq,n. 伊拉克（西南亚国家）
investigate,v. 调查；研究
setting,"n. 环境；安装；布置； 沉落
v. 放置；沉没；使…处于某位置（set的ing形式）"
Nile,n. 尼罗河（位于非洲）
Istanbul,n. 伊斯坦布尔（土耳其城市）
orient,"vt. 使适应；确定方向；使朝东
n. 东方；东方诸国
adj. 东方的
vi. 向东"
express,"n. 快车，快递，专使；捷运公司
vt. 表达；快递
adj. 明确的；迅速的；专门的"
Brazil,n. 巴西（拉丁美洲国家）
curve,"n. 曲线；弯曲；曲线球；曲线图表
adj. 弯曲的；曲线形的
vt. 弯；使弯曲
vi. 成曲形"
congress,n. 国会；代表大会；会议；社交
modernism,n. 现代主义；现代思想；现代作风
amazement,n. 惊异；惊愕
contemporary,"n. 同时代的人；同时期的东西
adj. 当代的；同时代的；属于同一时期的"
flying saucer,"n. 飞碟
 飞行浅碟；不明飞行物；飞碟图片"
capability,n. 才能，能力；性能，容量
grounds,"n. 根据，理由（ground的复数形式）；基础；地面；运动场地
v. 把…放在地上；把…建立在牢固的基础上；上底色（ground的第三人称单数）"
ruin,"n. 废墟；毁坏；灭亡
vt. 毁灭；使破产
vi. 破产；堕落；被毁灭"
distant,adj. 遥远的；冷漠的；远隔的；不友好的，冷淡的
landscape,"n. 风景；风景画；景色；山水画；乡村风景画；地形；（文件的）横向打印格式
vt. 对…做景观美化，给…做园林美化；从事庭园设计
vi. 美化（环境等），使景色宜人；从事景观美化工作，做庭园设计师"
Versailles,n. 凡尔赛（法国城市）
symmetrical,adj. 匀称的，对称的
pattern,"n. 模式；图案；样品
vt. 模仿；以图案装饰
vi. 形成图案"
struggle,"n. 努力，奋斗；竞争
vt. 使劲移动；尽力使得
vi. 奋斗，努力；挣扎"
mental illness,"n. 精神病
 精神疾病；心理疾病；精神上的疾病"
Netherlands,n. 荷兰（形容词Netherlandish）；地区名
minister,"n. 部长；大臣；牧师
vi. 执行牧师职务；辅助或伺候某人"
Belgium,n. 比利时（西欧国家，首都布鲁塞尔Brussels）
amongst,prep. 在…之中；在…当中（等于among）
impressionism,n. 印象派，印象主义
stroke,"n. （游泳或划船的）划；中风；（打、击等的）一下；冲程；（成功的）举动；尝试；轻抚
vt. （用笔等）画；轻抚；轻挪；敲击；划尾桨；划掉；（打字时）击打键盘
vi. 击球；作尾桨手，指挥划桨；（打字时）击打键盘"
escape,"n. 逃跑；逃亡；逃走；逃跑工具或方法；野生种；泄漏
vi. 逃脱；避开；溜走；（气体，液体等）漏出；（未受伤或只受了一点伤害而）逃脱；声音（不自觉地）由…发出
vt. 逃避，避开，避免；被忘掉；被忽视"
despair,"n. 绝望；令人绝望的人或事
vi. 绝望，丧失信心"
blanket,"n. 毛毯，毯子；毯状物，覆盖层
adj. 总括的，全体的；没有限制的
vt. 覆盖，掩盖；用毯覆盖"
evil,"n. 罪恶，邪恶；不幸
adj. 邪恶的；不幸的；有害的；讨厌的"
probe,"n. 探针；调查
vi. 调查；探测
vt. 探查；用探针探测"
announce,"vt. 宣布；述说；预示；播报
vi. 宣布参加竞选；当播音员"
orbit,"n. 轨道；眼眶；势力范围；生活常规
vi. 盘旋；绕轨道运行
vt. 绕…轨道而行"
descend,"vi. 下降；下去；下来；遗传；屈尊
vt. 下去；沿…向下"
leap,"vi. 跳，跳跃
n. 飞跃；跳跃
vt. 跳跃，跳过；使跃过"
junk,n. 垃圾，废物；舢板
Oklahoma,n. 美国俄克拉荷马州
tap,"n. 水龙头；轻打
vt. 轻敲；轻打；装上嘴子
vi. 轻拍；轻击；轻叩
vt. 采用，利用"
collision,n. 碰撞；冲突；（意见，看法）的抵触；（政党等的）倾轧
re-enter,vi. 重新进入
burn up,"na. 烧完；旺起来；使恼怒；发怒
 烧起来；烧尽；烧光"
expose,vt. 揭露，揭发；使曝光；显示
radiation,n. 辐射；发光；放射物
control,"n. 控制；管理；抑制；操纵装置
vt. 控制；管理；抑制"
tube,"n. 管；电子管；隧道；电视机
vt. 使成管状；把…装管；用管输送
vi. 乘地铁；不及格"
backpack,"n. 双肩背包，背包；远足用的背包
vt. 挑运；把…放入背包
vi. 背负简便行李旅行；挑运"
ventilation,n. 通风设备；空气流通
garment,"n. 衣服，服装；外表，外观
vt. 给…穿衣服"
helmet,n. 钢盔，头盔
diaper,"n. 尿布
vt. 给孩子换尿布"
upper,adj. 上面的，上部的；较高的
helium,n.  氦（符号为He，2号元素）
second-hand,"adj. 旧的，二手的
adv. 间接地，第二手地"
GPS,
attach,"vi. 附加；附属；伴随
vt. 使依附；贴上；系上；使依恋"
capture,"n. 捕获；战利品，俘虏
vt. 俘获；夺得；捕捉，拍摄,录制"
