abandon,"n. 放任；狂热
vt. 遗弃；放弃"
broadcast,"n. 广播；播音；广播节目
adj. 广播的
vt. 播送，播放；（无线电或电视）广播；播撒（种子）
vi. 广播，播送；播放"
bruise,"n. 擦伤；挫伤；青肿
vt. 使受瘀伤；使受挫伤
vi. 擦伤；受伤"
budget,"n. 预算，预算费
adj. 廉价的
vt. 安排，预定；把…编入预算
vi. 编预算，做预算"
bully,"n. 欺凌弱小者；土霸
vt. 欺负；威吓
adj. 第一流的；特好的
vi. 欺侮人
adv. 很；十分
int. 好；妙"
bystander,n. 旁观者；看热闹的人
calculate,"vt. 计算；预测；认为；打算
vi. 计算；以为；作打算"
candid,adj. 公正的；坦白的；率直的；偷拍的
canny,adj. 精明的，谨慎的；节约的
capital gain,n. 资本利益，资本收益
capitalize,"vi. 利用；积累资本
vt. 使资本化；以大写字母写；估计…的价值"
capitulate,vi. 认输，屈服；屈从，停止反抗；有条件投降；让步
care,"n. 关怀；照料；谨慎；忧虑
vt. 在意；希望或喜欢
vi. 照顾；关心；喜爱；顾虑"
careless,adj. 粗心的；无忧无虑的；淡漠的
cash flow,"n. 现金流（量）；资金流（量）
 现金流量；现金流转；现金流动"
catalyst,n.  催化剂；刺激因素
catching,"v. 抓住（catch的ing形式）
adj. 传染性的；有魅力的"
causal,"n. 表示原因的连词
adj. 因果关系的；有原因的"
celebrate,"vt. 庆祝；举行；赞美；祝贺；宣告
vi. 庆祝；过节；举行宗教仪式"
cellular,"n. 移动电话；单元
adj. 细胞的；多孔的；由细胞组成的"
censure,"n. 责难
vt. 责难，责备
vi. 谴责，责备"
chaos,n. 混沌，混乱
characteristic,"n. 特征；特性；特色
adj. 典型的；特有的；表示特性的"
charisma,n. 魅力；神授的能力；非凡的领导力
chase,"n. 追逐；追赶；追击
vt. 追逐；追捕；试图赢得；雕镂
vi. 追逐；追赶；奔跑"
chemotherapy,n.  化学疗法
chronic,adj. 慢性的；长期的；习惯性的
civic,adj. 市的；公民的，市民的
civilian,"n. 平民，百姓
adj. 民用的；百姓的，平民的"
clamp,"n. 夹钳，螺丝钳
vt. 夹紧，固定住"
clash,"n. 冲突，不协调；碰撞声，铿锵声
vt. 使碰撞作声
vi. 冲突，抵触；砰地相碰撞，发出铿锵声"
clearance,n. 清除；空隙
climate,n. 气候；风气；思潮；风土
clone,"n. 克隆；无性系；无性繁殖；靠营养生殖而由母体分离繁殖的植物
vt. 无性繁殖，复制"
coarse,adj. 粗糙的；粗俗的；下等的
coddle,vt. 娇养；溺爱（等于mollycoddle）；用文火煮
coherent,adj. 连贯的，一致的；明了的；清晰的；凝聚性的；互相耦合的；粘在一起的
collateral,"n. 抵押品； 担保品；旁系亲属
adj. 并行的；旁系的；附属的"
colloquial,adj. 白话的；通俗的；口语体的
colonial,"n. 殖民地居民
adj. 殖民地的，殖民的"
commerce,n. 贸易；商业；商务
commercialism,n. 商业主义；营利主义；重商主义
commit,vt. 犯罪，做错事；把...交托给；指派…作战；使…承担义务
commodity,n. 商品，货物；日用品
communicate,"vi. 通讯，传达；相通；交流；感染
vt. 传达；感染；显露"
comparable,adj. 可比较的；比得上的
compensation,n. 补偿；报酬；赔偿金
competent,adj. 胜任的；有能力的；能干的；足够的
competitor,n. 竞争者，对手
complicated,adj. 难懂的，复杂的
compound,"n.  化合物；混合物；复合词
adj. 复合的；混合的
v. 合成；混合；恶化，加重；和解，妥协"
computer-literate,adj. 能使用计算机的
conceal,vt. 隐藏；隐瞒
concession,n. 让步；特许（权）；承认；退位
concoct,vt. 捏造；混合而制；调合；图谋
concur,vi. 同意；一致；互助
condone,vt. 宽恕；赦免
confederate,"n. 同盟国，同盟者
adj. 同盟的，联合的
vt. 使联盟；使联合；同伙；帮凶
vi. 同盟；联合"
conference,"n. 会议；讨论；协商；联盟；（正式）讨论会；（每年的）大会
vi. 举行或参加（系列）会议"
confident,adj. 自信的；确信的
confirm,vt. 确认；确定；证实；批准；使巩固
congenital,adj. 先天的，天生的；天赋的
conjecture,"n. 推测；猜想
vt. 推测
vi. 推测；揣摩"
conscience,n. 道德心，良心
consecutive,adj. 连贯的；连续不断的
consequence,n. 结果；重要性；推论
conservationist,n. 自然资源保护论者
conspicuous,adj. 显著的；显而易见的
constituent,"n. 成分；选民；委托人
adj. 构成的；选举的"
constitution,n. 宪法；体制；章程；构造；建立，组成；体格
consume,"vt. 消耗，消费；使…着迷；挥霍
vi. 耗尽，毁灭；耗尽生命"
consumer price index,"n. 居民消费价格指数
 消费者物价指数；消费者价格指数；消费物价指数"
contemplate,"vt. 沉思；注视；思忖；预期
vi. 冥思苦想；深思熟虑"
contempt,n. 轻视，蔑视；耻辱
contort,"vt. 扭曲；曲解
vi. 扭曲"
contrary,"n. 相反；反面
adj. 相反的；对立的
adv. 相反地"
contribute,"vt. 贡献，出力；投稿；捐献
vi. 贡献，出力；投稿；捐献
"
control,"n. 控制；管理；抑制；操纵装置
vt. 控制；管理；抑制"
convene,"vt. 召集，集合；传唤
vi. 聚集，集合"
convey,vt. 传达；运输；让与
conviction,n. 定罪；确信；证明有罪；确信，坚定的信仰
cooperate,vi. 合作，配合；协力
cordial,"n. 补品；兴奋剂；甜香酒，甘露酒
adj. 热忱的，诚恳的；兴奋的"
corporate,adj. 法人的；共同的，全体的；社团的；公司的；企业的
corporation,n. 公司；法人（团体）；社团；大腹便便；市政当局
correspondent,n. 通讯记者；客户；通信者；代理商行
corrupt,"adj. 腐败的，贪污的；堕落的
vt. 使腐烂；使堕落，使恶化
vi. 堕落，腐化；腐烂"
cost-conscious,adj. 注重节省成本的
count,"n. 计数；计算；伯爵
vt. 计算；认为
vi. 计数；有价值"
counterfeit,"n. 赝品；冒牌货；伪造品
adj. 假冒的，伪造的；虚伪的
vt. 伪造，仿造；假装，伪装
vi. 仿造；假装"
cozy,"n. 保温罩
vt. 蒙骗；抚慰
adj. 舒适的；安逸的"
craft,"n. 工艺；手艺；太空船
vt. 精巧地制作"
crass,adj. 愚钝的；粗鲁的；非常的
credible,adj. 可靠的，可信的
creditor,n. 债权人，贷方
criminology,n. 犯罪学；刑事学
cripple,"n. 跛子；残废
vt. 削弱；使跛；使残废
adj. 跛的；残废的"
criticality,n.  临界；危急程度
critique,"n. 批评；评论文章
vt. 批判；评论"
crucial,adj. 重要的；决定性的；定局的；决断的
culminate,"vt. 使结束；使达到高潮
vi. 到绝顶；达到高潮；达到顶点"
cure,"n. 治疗；治愈； 疗法
vt. 治疗；治愈；使硫化；加工处理
vi. 治病；痊愈；受治疗；被硫化；被加工处理"
custody,n. 保管；监护；拘留；抚养权
cut,"n. 伤口；切口；削减；（服装等的）式样；削球；切入
adj. 割下的；雕过的；缩减的
vt.  切割；削减；缩短；刺痛
vi.  切割；相交；切牌；停拍；不出席"
cyberspace,n. 网络空间；赛博空间
dangle,"vt. 使摇晃地悬挂
vi. 摇晃地悬挂着"
daunt,vt. 使气馁，使畏缩；威吓
deal,"n. 交易；（美）政策；待遇；份量
vi. 处理；讨论；对待；做生意
vt. 处理；给予；分配；发牌"
debate,"n. 辩论；辩论会
vt. 辩论，争论，讨论
vi. 辩论，争论，讨论"
debtor,n. 债务人； 借方
declare,"vt. 宣布，声明；断言，宣称
vi. 声明，宣布"
deduce,vt. 推论，推断；演绎出
deduction,n. 扣除，减除；推论；减除额
default,"n. 违约；缺席；缺乏；系统默认值
vt. 不履行；不参加（比赛等）；对…处以缺席裁判
vi. 拖欠；不履行；不到场"
defend,"vi. 保卫；防守
vt. 辩护；防护"
deficit,n. 赤字；不足额
deflation,n. 通货紧缩；放气
defuse,vt. 平息；去掉…的雷管；使除去危险性
delete,vt. 删除
deliver,"n. 投球
vt. 交付；发表；递送；释放；给予（打击）；给…接生
vi. 实现；传送；履行；投递"
demand,"n.  需求；要求；需要
vt. 要求；需要；查询
vi. 需要；请求；查问"
demean,vt. 贬低...的身分；举止
denounce,vt. 谴责；告发；公然抨击；通告废除
dental,"n. 齿音
adj. 牙科的；牙齿的，牙的"
depart,"adj. 逝世的
vi. 离开；出发，起程；违反；去世"
depict,vt. 描述；描画
deposit,"n. 存款；押金；订金；保证金；沉淀物
vt. 使沉积；存放
vi. 沉淀"
depression,n. 沮丧；洼地；不景气；忧愁；低气压区
derelict,"n. 遗弃物；玩忽职守者；被遗弃的人
adj. 玩忽职守的；无主的；被抛弃了的"
dermatologist,n. 皮肤科医生；皮肤学者
desert,"n. 沙漠；荒原；应得的赏罚
vt. 遗弃；放弃；逃跑
adj. 沙漠的；荒凉的；不毛的
vi. 遗弃；开小差；逃掉"
desktop,n. 桌面；台式机
detection,n. 侦查，探测；发觉，发现；察觉
detention,n. 拘留；延迟；挽留
deteriorate,"vi. 恶化，变坏
vt. 恶化"
device,n. 装置；策略；图案
diagnose,"vt. 诊断；断定
vi. 诊断；判断"
dictator,n. 独裁者；命令者
diffuse,"vt. 扩散；传播；漫射
adj. 弥漫的；散开的
vi. 传播；四散"
digital,"n. 数字；键
adj. 数字的；手指的"
diminish,"vt. 使减少；使变小
vi. 减少，缩小；变小"
dire,adj. 可怕的；悲惨的；极端的
disabled,"adj. 残废的，有缺陷的
v. 使…失去能力（disable的过去分词）"
disastrous,adj. 灾难性的；损失惨重的；悲伤的
discern,"vt. 识别；领悟，认识
vi. 看清楚，辨别"
disclaim,"vt. 否认，拒绝；放弃，弃权；拒绝承认
vi. 否认；放弃；弃权"
disclosure,n.  披露；揭发；被揭发出来的事情
discredit,"n. 怀疑；无信用；名声的败坏
vt. 不信；使……丢脸"
disinfect,vt. 将…消毒
dismiss,"vt. 解散；解雇；开除；让...离开；不予理会、不予考虑
vi. 解散"
disruption,n. 破坏，毁坏；分裂，瓦解
dissipate,"vi. 驱散；放荡
vt. 浪费；使…消散"
distribute,vt. 分配；散布；分开；把…分类
dive,"n. 潜水；跳水；俯冲；扑
vi. 潜水；跳水；俯冲；急剧下降"
diversify,vt. 使多样化，使变化；增加产品种类以扩大
dividend,n. 红利；股息； 被除数；奖金
dizziness,n. 头晕；头昏眼花
donor,"n. 捐赠者；供者；赠送人
adj. 捐献的；经人工授精出生的"
dormant,adj. 休眠的；静止的；睡眠状态的；隐匿的
dour,adj. 严厉的；顽强的；阴沉的；不爱讲话的
downsize,vt. 以较小尺寸设计；缩小尺寸；裁减人数
draft,"n. 汇票；草稿；选派；（尤指房间、烟囱、炉子等供暖系统中的）（小股）气流
vt. 起草；制定；征募
vi. 拟稿；绘样；作草图
adj. 初步画出或（写出）的；（设计、草图、提纲或版本）正在起草中的，草拟的；以草稿形式的；草图的"
drift,"n. 漂流，漂移；趋势；漂流物
vi. 漂流，漂移；漂泊
vt. 使…漂流；使…受风吹积"
dubious,adj. 可疑的；暧昧的；无把握的；半信半疑的
dumb,adj. 哑的，无说话能力的；不说话的，无声音的
duty,n. 责任； 关税；职务
earnings,n. 收入
eco-conscious,生态意识
economics,n. 经济学；国家的经济状况
economy,n. 经济；节约；理财
editor,n. 编者，编辑；社论撰写人；编辑装置
educational toys,
effect,"n. 影响；效果；作用
vt. 产生；达到目的"
elicit,vt. 抽出，引出；引起
emancipate,vt. 解放；释放
embed,vt. 栽种；使嵌入，使插入；使深留脑中
embrace,"n. 拥抱
vt. 拥抱；信奉，皈依；包含
vi. 拥抱"
empathize,vt. 移情；神会
employee,n. 雇员；从业员工
encryption,n. 加密；加密术
endeavor,"n. 努力；尽力（等于endeavour）
vi. 努力；尽力（等于endeavour）
vt. 努力；尽力（等于endeavour）"
endorse,vt. 背书；认可；签署；赞同；在背面签名
energy,n.  能量；精力；活力；精神
engineer,"n. 工程师；工兵；火车司机
vt. 设计；策划；精明地处理
vi. 设计；建造"
ensure,vt. 保证，确保；使安全
entertain,"vt. 娱乐；招待；怀抱；容纳
vi. 款待"
entrepreneur,n. 企业家；承包人；主办者
environmental assessment,环境估价;环境评价
envy,"n. 嫉妒，妒忌；羡慕
vt. 嫉妒，妒忌；羡慕
vi. 感到妒忌；显示出妒忌"
equal,"n. 对手；匹敌；同辈；相等的事物
adj. 平等的；相等的；胜任的
vt. 等于；比得上"
equipment,n. 设备，装备；器材
eradication,n. 消灭，扑灭；根除
essential,"n. 本质；要素；要点；必需品
adj. 基本的；必要的；本质的；精华的"
estate,n. 房地产；财产；身份
ethnic minority,"n. 少数民族
 少数族群；少数族裔；少数种族"
evaluate,"vt. 评价；估价；求…的值
vi. 评价；估价"
evolution,n. 演变；进化论；进展
excess,"n. 超过，超额；过度，过量；无节制
adj. 额外的，过量的；附加的"
exclude,vt. 排除；排斥；拒绝接纳；逐出
executive,"n. 总经理；执行委员会；执行者；经理主管人员
adj. 行政的；经营的；执行的，经营管理的"
exhibit,"n. 展览品；证据；展示会
vt. 展览；显示；提出（证据等）
vi. 展出；开展览会"
expedite,"vt. 加快；促进；发出
adj. 畅通的；迅速的；方便的"
expense,"n. 损失，代价；消费；开支
vt. 向…收取费用
vi. 被花掉"
expire,"vi. 期满；终止；死亡；呼气
vt. 呼出（空气）"
explode,"vi. 爆炸，爆发；激增
vt. 使爆炸；爆炸；推翻"
explosive,"n. 炸药；爆炸物
adj. 爆炸的；爆炸性的；爆发性的"
exposure,n. 暴露；曝光；揭露；陈列
extinction,n. 灭绝；消失；消灭；废止
extraordinary,adj. 非凡的；特别的；离奇的；临时的；特派的
eyewitness,n. 目击者；见证人
facilitate,vt. 促进；帮助；使容易
farce,n. 闹剧；胡闹；笑剧
fascinate,"vt. 使着迷，使神魂颠倒
vi. 入迷"
fastidious,adj. 挑剔的；苛求的，难取悦的；（微生物等）需要复杂营养地
feature,"n. 特色，特征；容貌；特写或专题节目
vt. 特写；以…为特色；由…主演
vi. 起重要作用"
ferment,"vt. 使发酵；酝酿；使动乱
vi. 发酵；动乱
n. 发酵；酵素；动乱"
festive,adj. 节日的；喜庆的；欢乐的
fever,"n. 发烧，发热；狂热
vt. 使发烧；使狂热；使患热病
vi. 发烧；狂热；患热病"
file,"n. 文件；档案；文件夹；锉刀
vt. 提出；锉；琢磨；把…归档
vi. 列队行进；用锉刀锉"
financial,adj. 金融的；财政的，财务的
fiscal,adj. 会计的，财政的；国库的
flee,"vt. 逃跑，逃走；逃避
vi. 逃走；消失，消散"
flock,"n. 群；棉束（等于floc）
vi. 聚集；成群而行
vt. 用棉束填满"
flora,n. 植物区系；植物群
flourish,"n. 兴旺；茂盛；挥舞；炫耀；华饰
vi. 繁荣，兴旺；茂盛；活跃；处于旺盛时期
vt. 夸耀；挥舞"
focus,"n. 焦点；中心；清晰；焦距
vt. 使集中；使聚焦
vi. 集中；聚焦；调节焦距"
food poisoning,"n. 食物中毒
 食品中毒；让我食物中毒；食行中毒"
foreign exchange,"n. 外汇；外汇市场；国际汇兑；外币兑换处
 外汇交易；国外汇兑；国际交换生"
forgery,n. 伪造；伪造罪；伪造物
formula,n.  公式，准则；配方；婴儿食品
fortune,"n. 财富；命运；运气
vt. 给予财富
vi. 偶然发生"
found,"v. 找到（find的过去分词）
vt. 创立，建立；创办"
frail,"n. 灯心草篓；少妇；少女
adj. 脆弱的；虚弱的"
fraud,n. 欺骗；骗子；诡计
freeze,"n. 冻结；凝固
vt. 使…冻住；使…结冰
vi. 冻结；冷冻；僵硬"
frustrate,"vt. 挫败；阻挠；使感到灰心
adj. 挫败的；无益的
vi. 失败；受挫"
fund,"n. 基金；资金；存款
vt. 投资；资助"
future,"n. 未来；前途；期货；将来时
adj. 将来的，未来的"
galaxy,"n. 银河； 星系；银河系；一群显赫的人
n. 三星智能手机品牌 2015年三星中国公布Galaxy的中文名称为“盖乐世”（Galaxy）
"
garbage,n. 垃圾；废物
gather,"n. 聚集；衣褶；收获量
vt. 收集；收割；使…聚集；使…皱起
vi. 聚集；化脓；皱起"
general strike,"n. 总罢工
 大罢工；全国性大罢工；大型罢工"
genetic engineering,"n. 基因工程；遗传工程（学）
 遗传工程学；基因工程学；基因工程技术"
genial,adj. 亲切的，友好的；和蔼的；适宜的
gloat,"vi. 幸灾乐祸；心满意足地注视
n. 幸灾乐祸；贪婪的盯视；洋洋得意"
global warming,"n. 全球（气候）变暖；地球大气层变暖
 全球变暖；全球暖化；警惕全球变暖"
gnaw,"vt. 咬；折磨；侵蚀
vi. 咬；折磨；侵蚀"
goad,"n. 刺激；（赶牲口用的）刺棒；激励
vt. 刺激；激励；用刺棒驱赶；煽动"
gossip,"n. 小道传闻；随笔；爱说长道短的人
vi. 闲聊；传播流言蜚语"
gravity,n. 重力，地心引力；严重性；庄严
greenhouse effect,"n. 温室效应
 温室效用；造成温室效应；温室气体"
groom,"vi. 打扮
vt. 整饰；推荐；喂马；刷洗（马等）
n. 新郎；马夫；男仆"
gross domestic product,"na. 国内生产总值
 国内生产毛额；本地生产总值；国民生产总值"
guarantee,"n. 保证；担保；保证人；保证书；抵押品
vt. 保证；担保"
gush,"n. 涌出；迸发
v. 涌出；迸出"
head,"n. 头；头痛；上端；最前的部分；理解力
adj. 头的；主要的；在顶端的
vt. 前进；用头顶；作为…的首领；站在…的前头；给…加标题
vi. 出发；成头状物；船驶往"
health insurance,"n. 健康保险
 医疗保险；疾病保险；健保"
hearsay,"n. 传闻，谣言
adj. 传闻的，风闻的"
herbivorous,adj.  食草的
high-definition television, 高清晰度电视
hijack,"n. 劫持；威逼；敲诈
vt. 抢劫；揩油
vi. 拦路抢劫"
holding,"n. 举办；支持
v. 召开；担任（hold的ing形式）；握住"
homicide,n. 过失杀人；杀人犯
hook,"n. 挂钩，吊钩
vt. 钩住；引上钩
vi. 钩住；弯成钩状"
horizon,n.  地平线；视野；眼界；范围
hospitalize,vt. 就医；送…进医院治疗
house,"n. 住宅；家庭；机构；议会；某种用途的建筑物
vt. 覆盖；给…房子住；把…储藏在房内
vi. 住"
humanism,"n. 人道主义
adj. 人文主义的；人道主义的"
humiliate,vt. 羞辱；使…丢脸；耻辱
hydrocarbon,n.  碳氢化合物
hypothesis,n. 假设
identify,vt. 确定；鉴定；识别，辨认出；使参与；把…看成一样 vi. 确定；认同；一致
immigrant,"n. 移民，侨民
adj. 移民的；迁入的"
immune,"n. 免疫者；免除者
adj. 免疫的；免于……的，免除的"
imperil,vt. 危及；使陷于危险
impose,"vt. 强加；征税；以…欺骗
vi. 利用；欺骗；施加影响"
impunity,n. 不受惩罚；无患； 免罚
income,n. 收入，收益；所得
increase,"n. 增加，增长；提高
vt. 增加，加大
vi. 增加，增大；繁殖"
indicate,vt. 表明；指出；预示；象征
indifferent,adj. 漠不关心的；无关紧要的；中性的，中立的
industry,n. 产业；工业；勤勉
infatuated,"adj. 入迷的；昏头昏脑的
v. 迷恋；使糊涂（infatuate的过去分词）"
inflation,n. 膨胀；通货膨胀；夸张；自命不凡
informed source,
infuse,"vt. 灌输；使充满；浸渍
vi. （茶叶、草药等）被泡"
inherit,"vt. 继承；遗传而得
vi. 成为继承人"
initial,"n. 词首大写字母
adj. 最初的；字首的
vt. 用姓名的首字母签名"
inject,vt. 注入；注射
insider,n. 内部的人，会员；熟悉内情者
insist,"vi. 坚持，强调
vt. 坚持，强调"
inspect,"vt. 检查；视察；检阅
vi. 进行检查；进行视察"
institution,n. 制度；建立；（社会或宗教等）公共机构；习俗
insurance,n. 保险；保险费；保险契约；赔偿金
intake,n. 摄取量；通风口；引入口；引入的量
interactive,adj. 交互式的；相互作用的
interest,"n. 兴趣，爱好；利息；趣味；同行
vt. 使……感兴趣；引起……的关心；使……参与"
intergovernmental,adj. 政府间的
intervention,n. 介入；调停；妨碍
interweave,vt. （使）交织；织进；（使）混杂
invalidate,vt. 使无效；使无价值
inventory,n. 存货，存货清单；详细目录；财产清册
investigation,n. 调查；调查研究
invincible,adj. 无敌的；不能征服的
irrigation,n. 灌溉； 冲洗；冲洗法
issue,"n. 问题；流出；期号；发行物
vt. 发行，发布；发给；放出，排出
vi. 发行；流出；造成…结果；传下"
jail,"n. 监狱；监牢；拘留所
vt. 监禁；下狱"
judicial,adj. 公正的，明断的；法庭的；审判上的
jury,"n.  陪审团；评判委员会
adj. 应急的"
kinetic,adj.  运动的；活跃的
labor law,"un. 劳动法
 劳工法；劳动法规；劳工法律"
lament,"n. 挽歌；恸哭；悲痛之情
vi. 哀悼；悲叹；悔恨
vt. 哀悼；痛惜"
landscape,"n. 风景；风景画；景色；山水画；乡村风景画；地形；（文件的）横向打印格式
vt. 对…做景观美化，给…做园林美化；从事庭园设计
vi. 美化（环境等），使景色宜人；从事景观美化工作，做庭园设计师"
larceny,n. 盗窃；盗窃罪
layoff,n. 活动停止期间；临时解雇；操作停止；失业期
leak,"n. 泄漏；漏洞，裂缝
vt. 使渗漏，泄露
vi. 漏，渗；泄漏出去"
lease,"n. 租约；租期；租赁物；租赁权
vt. 出租；租得
vi. 出租"
legal,adj. 法律的；合法的；法定的；依照法律的
legislate,"vt. 用立法规定；通过立法
vi. 立法；制定法律"
levy,"n. 征收；征兵，征税
vt. 征收（税等）；征集（兵等）
vi. 征税；征兵"
liberalization,n. 自由化；自由主义化；放宽限制
liberalize,"vt. 使自由化；宽大
vi. 自由化"
life cycle,"n. 生命周期；寿命（产品等从开发到使用完毕的一段时间）
 生活史；寿命周期；生活周期"
lightweight,"n. 轻量级选手；无足轻重的人
adj. 重量轻的；平均重量以下的"
listless,adj. 倦怠的；无精打采的；百无聊赖的
litigate,"vt. 在法庭相争；提出诉讼
vi. 对簿法庭"
loan,"n. 贷款；借款
vi. 借出
vt. 借；借给"
long-term strategy,
lucrative,adj. 有利可图的，赚钱的；合算的
maim,vt. 使残废
majority,n. 多数；成年
malign,"vt. 诽谤，污蔑；中伤，说坏话
adj. 恶意的，恶性的；有害的"
malpractice,n. 玩忽职守；不法行为；治疗不当
management,n. 管理；管理人员；管理部门；操纵；经营手段
manhunt,n. 追捕，搜捕；搜索
mar,"vt. 损毁；损伤；糟蹋；玷污
n. 污点；瑕疵"
market,"n. 市场；行情；股票市场；市面；集市；销路；商店
vt. 在市场上出售
vi. 做买卖"
