abroad,"n. 海外；异国
adj. 往国外的
adv. 在国外；到海外"
jaw,"n. 颌；下巴；狭窄入口；唠叨
vt. 教训；对…唠叨
vi. 教训；唠叨"
junior,"adj. 年少的；后进的；下级的
n. 年少者，晚辈；地位较低者；大学三年级学生"
keen,"adj. 敏锐的，敏捷的；渴望的；强烈的；热心的；锐利的
n. 痛哭，挽歌"
knot,"n. （绳等的）结；节瘤，疙瘩；海里/小时（航速单位）
vt. 打结
vi. 打结"
lamb,"n. 羔羊，小羊；羔羊肉
vt. 生小羊，产羔羊
vi. 生小羊，产羔羊"
lasting,"adj. 持久的；永恒的
n.  厚实斜纹织物
v. 持续；维持（last的ing形式）"
lid,"n. 盖子；眼睑；限制
vt. 给…盖盖子"
lift,"vt. 举起；提升；鼓舞；空运；抄袭
vi. 消散；升起；耸立
n. 电梯；举起；起重机；搭车"
limb,"n. 肢，臂；分支；枝干
vt. 切断…的手足；从…上截下树枝"
liquid,"adj. 液体的；清澈的；明亮的；易变的
n. 液体，流体；流音"
litre,n.  公升（米制容量单位）
logic,"n. 逻辑；逻辑学；逻辑性
adj. 逻辑的"
machinery,n. 机械；机器；机构；机械装置
maintain,vt. 维持；继续；维修；主张；供养
material,"adj. 重要的；物质的，实质性的；肉体的
n. 材料，原料；物资；布料"
mathematics,n. 数学；数学运算
measure,"n. 测量；措施；程度；尺寸
vt. 测量；估量；权衡
vi. 测量；估量"
melt,"vi. 熔化，溶解；渐混
vt. 使融化；使熔化；使软化；使感动
n. 熔化；熔化物"
merchandise,"n. 商品；货物
vt. 买卖；推销
vi. 经商"
military,"adj. 军事的；军人的；适于战争的
n. 军队；军人"
mineral,"n. 矿物；（英）矿泉水；无机物；苏打水（常用复数表示）
adj. 矿物的；矿质的"
modest,adj. 谦虚的，谦逊的；适度的；端庄的；羞怯的
namely,adv. 也就是；即是；换句话说
navigate,"vt. 驾驶，操纵；使通过；航行于
vi. 航行，航空"
nevertheless,"adv. 然而，不过；虽然如此
conj. 然而，不过"
obedient,adj. 顺从的，服从的；孝顺的
opinion,n. 意见；主张
opponent,"n. 对手；反对者；敌手
adj. 对立的；敌对的"
opportunity,n. 时机，机会
organ,n.  器官；机构；风琴；管风琴；嗓音
outline,"n. 轮廓；大纲；概要；略图
vt. 概述；略述；描画…轮廓"
ownership,n. 所有权；物主身份
pale,"n. 前哨；栅栏；范围
adj. 苍白的；无力的；暗淡的
vt. 使失色；使变苍白；用栅栏围
vi. 失色；变苍白；变得暗淡"
parallel,"n. 平行线；对比
adj. 平行的；类似的，相同的
vt. 使…与…平行"
parliament,n. 议会，国会
pavement,"n. 人行道
路面"
performance,n. 性能；绩效；表演；执行；表现
personal,"n. 人事消息栏；人称代名词
adj. 个人的；身体的；亲自的"
pioneer,"n. 先锋；拓荒者
vt. 开辟；倡导；提倡
vi. 作先驱"
pleasant,adj. 令人愉快的，舒适的；讨人喜欢的，和蔼可亲的
port,"n. 港口，口岸；（计算机的）端口；左舷；舱门
vt. 持（枪）；左转舵
vi. 转向左舷"
possession,n. 拥有；财产；领地；自制；着迷
precious,adj. 宝贵的；珍贵的；矫揉造作的
press,"n. 压；按；新闻；出版社； 印刷机
vt. 压；按；逼迫；紧抱
vi. 压；逼；重压"
prevent,"vt. 预防，防止；阻止
vi. 妨碍，阻止"
primary,"n. 原色；最主要者
adj. 主要的；初级的；基本的"
production,n. 成果；产品；生产；作品
promote,"vi. 成为王后或其他大于卒的子
vt. 促进；提升；推销；发扬"
proof,"n. 证明；证据；校样；考验；验证；试验
adj. 防…的；不能透入的；证明用的；耐…的
vt. 试验；校对；使不被穿透"
proud,adj. 自豪的；得意的；自负的
purchase,"n. 购买；紧握；起重装置
vt. 购买；赢得
vi. 购买东西"
pure,adj. 纯的；纯粹的；纯洁的；清白的；纯理论的
purpose,"n. 目的；用途；意志
vt. 决心；企图；打算"
rank,"n. 排；等级；军衔；队列
adj. 讨厌的；恶臭的；繁茂的
vt. 排列；把…分等
vi. 列为；列队"
recover,"n. 还原至预备姿势
vt. 恢复；弥补；重新获得
vi. 恢复；胜诉；重新得球"
refusal,n. 拒绝；优先取舍权；推却；取舍权
register,"n. 登记；注册；记录；寄存器；登记簿
vt. 登记；注册；记录；挂号邮寄；把…挂号；正式提出
vi. 登记；注册；挂号"
relative,"n. 亲戚；相关物； 关系词；亲缘植物
adj. 相对的；有关系的；成比例的"
release,"n. 释放；发布；让与
vt. 释放；发射；让与；允许发表"
relevant,adj. 相关的；切题的；中肯的；有重大关系的；有意义的，目的明确的
religion,n. 宗教；宗教信仰
remark,"n. 注意；言辞
vt. 评论；觉察
vi. 谈论"
review,"n. 回顾；复习；评论；检讨；检阅
vt. 回顾；检查；复审
vi. 回顾；复习功课；写评论"
rob,"vt. 抢劫；使…丧失；非法剥夺
vi. 抢劫；掠夺"
rouse,"n. 觉醒；奋起
vt. 唤醒；激起，使振奋；惊起
vi. 醒来；奋起"
sample,"n. 样品；样本；例子
adj. 试样的，样品的；作为例子的
vt. 取样；尝试；抽样检查"
scale,"n. 规模；比例；鳞；刻度；天平；数值范围
vt. 测量；攀登；刮鳞；依比例决定
vi. 衡量；攀登；剥落；生水垢"
scandal,n. 丑闻；流言蜚语；诽谤；公愤
scenery,n. 风景；景色；舞台布景
schedule,"n. 时间表；计划表；一览表
vt. 安排，计划；编制目录；将……列入计划表"
score,"n. 分数；二十；配乐；刻痕
vt. 获得；评价；划线，刻划；把…记下
vi. 得分；记分；刻痕"
screw,"n. 螺旋；螺丝钉；吝啬鬼
vt. 旋，拧；压榨；强迫
vi. 转动，拧"
secure,"vt. 保护；弄到；招致；缚住
adj. 安全的；无虑的；有把握的；稳当的
vi. 获得安全；船抛锚；停止工作"
senseless,adj. 愚蠢的；无知觉的；无意识的
sensible,"n. 可感觉到的东西; 敏感的人;
adj. 明智的; 通情达理的; 合乎情理的; 意识到的，能感觉到的;"
sensitive,"adj. 敏感的；感觉的； 灵敏的；感光的；易受伤害的；易受影响的
n. 敏感的人；有灵异能力的人"
sentence,"n.  句子，命题；宣判，判决
vt. 判决，宣判"
severe,adj. 严峻的；严厉的；剧烈的；苛刻的
sew,"vt. 缝合，缝上；缝纫
vi. 缝纫，缝"
sexual,adj. 性的；性别的；有性的
sharp,"n. 尖头；骗子；内行
adj. 急剧的；锋利的；强烈的；敏捷的；刺耳的
vt. 磨快；把音调升高
adv. 急剧地；锐利地；突然地
vi. 打扮；升音演奏"
shelter,"n. 庇护；避难所；遮盖物
vt. 保护；使掩蔽
vi. 躲避，避难"
shield,"n. 盾；防护物；保护者
vt. 遮蔽；包庇；避开；保卫
vi. 防御；起保护作用"
shore,"n. 海滨；支柱
vt. 支撑，使稳住；用支柱撑住"
signature,n. 署名；签名；信号
silver,"n. 银；银器；银币；银质奖章；餐具；银灰色
adj. 银的；含银的；有银色光泽的；口才流利的；第二十五周年的婚姻
vt. 镀银；使有银色光泽
vi. 变成银色"
similar,"n. 类似物
adj. 相似的"
similarity,n. 类似；相似点
singular,"n. 单数
adj. 单数的；单一的；非凡的；异常的"
slight,"n. 怠慢；轻蔑
adj. 轻微的，少量的；脆弱的；细长的；不重要的
vt. 轻视，忽略；怠慢"
solid,"n. 固体；立方体
adj. 固体的；可靠的；立体的；结实的；一致的"
soul,"n. 灵魂；心灵；精神；鬼魂
adj. 美国黑人文化的"
speech,n. 演讲；讲话； 语音；演说
spell,"n. 符咒；一段时间；魅力
vi. 拼字；轮替
vt. 拼，拼写；意味着；招致；拼成；迷住；轮值"
sphere,"n. 范围；球体
adj. 球体的
vt. 包围；放入球内；使…成球形"
spot,"n. 地点；斑点
adj. 现场的；现货买卖的
vt. 认出；弄脏；用灯光照射
vi. 沾上污渍；满是斑点
adv. 准确地；恰好"
steel,"n. 钢铁；钢制品；坚固
adj. 钢制的；钢铁业的；坚强的
vt. 钢化；使冷酷"
sting,"n. 刺痛；讽刺，刺激；刺毛
vt. 刺；驱使；使…苦恼；使…疼痛
vi. 刺痛；被刺痛；感到剧痛"
strategy,n. 战略，策略
summary,"n. 概要，摘要，总结
adj. 简易的；扼要的"
supply,"n. 供给，补给；供应品
vt. 供给，提供；补充
vi. 供给；替代"
sustain,vt. 维持；支撑，承担；忍受；供养；证实
sweep,"n. 打扫，扫除；范围；全胜
vt. 扫除；猛拉；掸去
vi. 扫，打扫；席卷；扫视；袭击"
tap,"n. 水龙头；轻打
vt. 轻敲；轻打；装上嘴子
vi. 轻拍；轻击；轻叩
vt. 采用，利用"
temple,n. 庙宇；寺院；神殿；太阳穴
temporary,"n. 临时工，临时雇员
adj. 暂时的，临时的"
tendency,n. 倾向，趋势；癖好
tight,"adj. 紧的；密封的；绷紧的；麻烦的；严厉的；没空的；吝啬的
adv. 紧紧地；彻底地"
tobacco,n. 烟草，烟叶；烟草制品；抽烟
treat,"n. 请客；款待
vi. 探讨；请客；协商
vt. 治疗；对待；探讨；视为"
undo,"vt. 取消；解开；破坏；扰乱
vi. 撤消"
uniform,"n. 制服
adj. 统一的；一致的；相同的；均衡的；始终如一的
vt. 使穿制服；使成一样"
unique,"n. 独一无二的人或物
adj. 独特的，稀罕的； 唯一的，独一无二的"
upright,"n. 垂直；竖立
adj. 正直的，诚实的；垂直的，直立的；笔直的；合乎正道的"
upset,"n. 混乱；翻倒；颠覆
adj. 心烦的；混乱的；弄翻的
vt. 使心烦；颠覆；扰乱
vi. 翻倒"
urge,"n. 强烈的欲望，迫切要求；推动力
vi. 强烈要求
vt. 力劝，催促；驱策，推进"
urgent,adj. 紧急的；急迫的
version,n. 版本；译文；倒转术
violence,n. 暴力；侵犯；激烈；歪曲
vocabulary,n. 词汇；词表；词汇量
vote,"n. 投票，选举；选票；得票数
vi. 选举，投票
vt. 提议，使投票；投票决定；公认"
vowel,"n. 元音；母音
adj. 元音的"
voyage,"n. 航行；航程；旅行记
vt. 飞过；渡过
vi. 航行；航海"
waist,n. 腰，腰部
wander,"vi. 徘徊；漫步；迷路；离题
vt. 游荡，漫游"
wax,"n. 蜡；蜡状物
adj. 蜡制的；似蜡的
vt. 给…上蜡
vi. 月亮渐满；增大"
weave,"vi. 纺织；编成；迂回行进
vt. 编织；编排；使迂回前进
n. 织物；织法；编织式样"
weigh,"n. 权衡；称重量
vt. 权衡；考虑；称…重量
vi. 重量为…；具有重要性；成为…的重荷；起锚"
whip,"n. 鞭子；抽打；车夫； 搅拌器
vt. 抽打；煽动；搅打（蛋，奶油）；彻底击败
vi. 抽打；急走；拍击"
wicked,adj. 邪恶的；恶劣的；不道德的；顽皮的
wrap,"n. 外套；围巾
vt. 包；缠绕；隐藏；掩护
vi. 包起来；缠绕；穿外衣"
wrist,"n. 手腕；腕关节
vt. 用腕力移动"
yield,"n. 产量；收益
vt. 屈服；出产，产生；放弃
vi. 屈服，投降"
annoyance,n. 烦恼；可厌之事；打扰
anxiety,n. 焦虑；渴望；挂念；令人焦虑的事
appoint,"vt. 任命；指定；约定
vi. 任命；委派"
approach,"n. 方法；途径；接近
vt. 接近；着手处理
vi. 靠近"
approval,n. 批准；认可；赞成
architect,"n. 建筑师
缔造者"
argument,n. 论证；论据；争吵；内容提要
arrangement,n. 布置；整理；准备
artificial,adj. 人造的；仿造的；虚伪的；非原产地的；武断的
ashamed,adj. 惭愧的，感到难为情的；耻于……的
aside,"prep. 在…旁边
n. 旁白；私语，悄悄话；离题的话
adv. 离开，撇开；在旁边"
attendance,n. 出席；到场；出席人数；考勤
awareness,"n. 意识，认识；明白，知道
n. 人群对品牌或产品的认知"
awkward,adj. 尴尬的；笨拙的；棘手的；不合适的
barbecue,"n. 烤肉；吃烤肉的野宴
vt. 烧烤；烤肉"
bath,"n. 沐浴；浴室；浴盆
vt. 洗澡
vi. 洗澡"
beach,"n. 海滩；湖滨
vt. 将…拖上岸
vi. 搁浅；定居"
bitter,"n. 苦味；苦啤酒
adj. 苦的；痛苦的；尖刻的；充满仇恨的
vt. 使变苦
adv. 激烈地；严寒刺骨地"
blade,n. 叶片；刀片，刀锋；剑
block,"n. 块；街区；大厦；障碍物
adj. 成批的，大块的；交通堵塞的
vt. 阻止；阻塞；限制；封盖"
bold,adj. 大胆的，英勇的；黑体的；厚颜无耻的；险峻的
bottom,"n. 底部；末端；臀部；尽头
adj. 底部的
vt. 装底；测量深浅；查明真相
vi. 到达底部；建立基础"
boundary,n. 边界；范围；分界线
bowel,"n. 肠；内部；同情
vt. 将……的肚肠取出"
brass,n. 黄铜；黄铜制品；铜管乐器；厚脸皮
brick,"n. 砖，砖块；砖形物；心肠好的人
adj. 用砖做的；似砖的
vt. 用砖砌"
brown,"n. 褐色，棕色
adj. 棕色的，褐色的；太阳晒黑的
vt. 使变成褐色
vi. 变成褐色"
bullet,"n. 子弹；只选某党全部候选人的投票；豆子
vi. 射出；迅速行进"
bunch,"n. 群；串；突出物
vt. 使成一串；使打褶
vi. 隆起；打褶；形成一串"
candle,"n. 蜡烛；烛光；烛形物
vt. 对着光检查"
chimney,n. 烟囱
chin,"n. 下巴；聊天；引体向上动作
vt. 用下巴夹住；与…聊天；在单杠上作引体向上动作
vi. 闲谈；作引体向上动作"
citizen,n. 公民；市民；老百姓
civilisation,n. （英）文明（等于civilization）
clay,"n.  粘土；泥土；肉体；似黏土的东西
vt. 用黏土处理"
coal,"n. 煤；煤块；木炭
vt. 给…加煤；把…烧成炭
vi. 上煤；加煤"
column,n. 纵队，列；专栏；圆柱，柱形物
combination,n. 结合；组合；联合； 化合
command,"n. 指挥，控制；命令；司令部
vt. 命令，指挥；控制；远望
vi. 命令，指挥；控制"
commission,"n. 委员会；佣金；犯；委任；委任状
vt. 委任；使服役；委托制作"
companion,"n. 同伴；朋友；指南；手册
vt. 陪伴"
comparison,n. 比较；对照；比喻；比较关系
component,"n. 成分；组件； 元件
adj. 组成的，构成的"
compound,"n.  化合物；混合物；复合词
adj. 复合的；混合的
v. 合成；混合；恶化，加重；和解，妥协"
comprehensive,"n. 综合学校；专业综合测验
adj. 综合的；广泛的；有理解力的"
conceal,vt. 隐藏；隐瞒
conscience,n. 道德心，良心
consider,"vi. 考虑；认为；细想
vt. 考虑；认为；考虑到；细想"
consist,vi. 由…组成；在于；符合
consonant,"n. 辅音；辅音字母
adj. 辅音的；一致的；和谐的"
constitution,n. 宪法；体制；章程；构造；建立，组成；体格
contemporary,"n. 同时代的人；同时期的东西
adj. 当代的；同时代的；属于同一时期的"
content,"n. 内容，目录；满足；容量
adj. 满意的
vt. 使满足"
convenient,adj. 方便的；适当的；近便的；实用的
copper,"n. 铜；铜币；警察
adj. 铜制的
vt. 镀铜"
cord,"n. 绳索；束缚
vt. 用绳子捆绑"
crack,"n. 裂缝；声变；噼啪声
adj. 最好的；高明的
vi. 破裂；爆裂
vt. 使破裂；打开；变声"
crash,"n. 撞碎；坠毁；破产；轰隆声；睡觉
vi. 摔碎；坠落；发出隆隆声；(金融企业等)破产
vt. 打碎；使坠毁、撞坏；擅自闯入"
cream,n. 奶油，乳脂；精华；面霜；乳酪
create,vt. 创造，创作；造成
creep,"n. 爬行；毛骨悚然的感觉；谄媚者
vi. 爬行；蔓延；慢慢地移动；起鸡皮疙瘩"
cruelty,n. 残酷；残忍；残酷的行为
crush,"n. 粉碎；迷恋；压榨；拥挤的人群
vt. 压碎；弄皱，变形；使…挤入
vi. 挤；被压碎"
curse,"n. 诅咒；咒骂
vt. 诅咒；咒骂
vi. 诅咒；咒骂"
delicate,adj. 微妙的；精美的，雅致的；柔和的；易碎的；纤弱的；清淡可口的
deliver,"n. 投球
vt. 交付；发表；递送；释放；给予（打击）；给…接生
vi. 实现；传送；履行；投递"
demonstration,n. 示范；证明；示威游行
department,n. 部；部门；系；科；局
descriptive,adj. 描写的，叙述的；描写性的
desirable,"n. 合意的人或事物
adj. 令人满意的；值得要的"
destroy,vt. 破坏；消灭；毁坏
destructive,adj. 破坏的；毁灭性的；有害的，消极的
determined,"v. 决定；断定（determine的过去分词）
adj. 决定了的；坚决的"
devil,"n. 魔鬼；撒旦；家伙；恶棍；淘气鬼；冒失鬼
vt. 虐待，折磨；（用扯碎机）扯碎；（替作家，律师等）做助手；抹辣味料烤制或煎煮"
diamond,"n. 钻石，金刚石；菱形；方块牌
adj. 菱形的；金刚钻的"
discovery,n. 发现，发觉；被发现的事物
dispute,"n. 辩论；争吵
vt. 辩论；怀疑；阻止；抗拒
vi. 争论"
distance,"n. 距离；远方；疏远；间隔
vt. 疏远；把…远远甩在后面"
distinct,adj. 明显的；独特的；清楚的；有区别的
domestic,"n. 国货；佣人
adj. 国内的；家庭的；驯养的；一心只管家务的"
double,"n. 两倍；双精度型
adj. 双重的；两倍的
vt. 使加倍
adv. 双重地；两倍地；弓身地
vi. 加倍，加倍努力；快步走"
dramatically,"adv. 戏剧地；引人注目地
adv. 显著地，剧烈地"
due,"n. 应付款；应得之物
adj. 到期的；预期的；应付的；应得的
adv. 正（置于方位词前）"
dump,"n. 垃圾场；仓库；无秩序地累积
vt. 倾倒；倾卸；丢下，卸下；摆脱，扔弃；倾销
vi. 倒垃圾；突然跌倒或落下；卸货；转嫁（责任等）"
duplicate,"n. 副本；复制品
adj. 复制的；二重的
vt. 复制；使加倍
vi. 复制；重复"
essay,"n. 散文；试图；随笔
vt. 尝试；对…做试验"
evidence,"n. 证据，证明；迹象；明显
vt. 证明"
excel,"vt. 超过；擅长
vi. (在某方面)胜过(或超过)别人"
explanation,n. 说明，解释；辩解
explosive,"n. 炸药；爆炸物
adj. 爆炸的；爆炸性的；爆发性的"
export,"n. 输出，出口；出口商品
vt. 输出，出口
vi. 输出物资"
extra,"n. 临时演员；号外；额外的事物；上等产品
adj. 额外的，另外收费的；特大的
adv. 特别地，非常；另外"
fashionable,adj. 流行的；时髦的；上流社会的
fasten,"vt. 使固定；集中于；扎牢；强加于
vi. 扣紧；抓住；集中注意力"
favour,"n. 偏爱；赞同；善行
vt. 赞成；喜爱；有助于"
favourable,"n. 有利
adj. 有利的，顺利的；赞成的"
fierce,adj. 凶猛的；猛烈的；暴躁的
file,"n. 文件；档案；文件夹；锉刀
vt. 提出；锉；琢磨；把…归档
vi. 列队行进；用锉刀锉"
flame,"n. 火焰；热情；光辉
v. 焚烧；泛红"
flash,"n. 闪光，闪现；一瞬间
adj. 闪光的，火速的
vt. 使闪光；反射
vi. 闪光，闪现；反射"
float,"n. 彩车，花车；漂流物；浮舟；浮萍
vi. 浮动；飘动，散播；摇摆；付诸实施
vt. 使漂浮；实行"
fog,"n. 雾；烟雾，尘雾；迷惑
vt. 使模糊；使困惑；以雾笼罩
vi. 被雾笼罩；变模糊"
footstep,n. 脚步；脚步声；足迹
forbid,vt. 禁止；不准；不允许；严禁
frame,"n. 框架；结构； 画面
adj. 有木架的；有构架的
vt. 设计；建造；陷害；使…适合
vi. 有成功希望"
freedom,n. 自由，自主；直率
frequency,n. 频率；频繁
frightening,adj. 令人恐惧的；引起突然惊恐的
fundamental,"n. 基本原理；基本原则
adj. 基本的，根本的"
fur,"n. 皮，皮子；毛皮；软毛
n. 水垢
vt. 用毛皮覆盖；使穿毛皮服装"
furnish,vt. 提供；供应；装备
furniture,n. 家具；设备；储藏物
grain,"n. 粮食；颗粒； 谷物；纹理
vt. 使成谷粒
vi. 成谷粒"
grand,"n. 大钢琴；一千美元
adj. 宏伟的；豪华的；极重要的"
graph,"n. 图表；曲线图
vt. 用曲线图表示"
grateful,adj. 感谢的；令人愉快的，宜人的
gray,"n. 灰色；暗淡的光线
adj. 灰色的；苍白的；灰白头发的；阴郁的
vt. 使成灰色或灰白
vi. 成为灰色或灰白"
greeting,"n. 问候，招呼；祝贺
v. 致敬，欢迎（greet的现在分词）"
gross,"n. 总额，总数
adj. 总共的；粗野的；恶劣的；显而易见的
vt. 总共收入"
guidance,n. 指导，引导；领导
guilt,n. 犯罪，过失；内疚
gulf,"n. 海湾；深渊；分歧；漩涡
vt. 吞没"
hang,"n. 悬挂；暂停，中止
vt. 悬挂，垂下；装饰；绞死；使悬而未决
vi. 悬着，垂下；被绞死；悬而不决"
heading,"n. 标题；（足球）头球；信头
v. 用头顶（head的ing形式）"
heartbeat,n. 心跳；情感
height,n. 高地；高度；身高；顶点
honest,adj. 诚实的，实在的；可靠的；坦率的
hunt,"n. 狩猎；搜寻
vt. 打猎；搜索
vi. 打猎；搜寻"
insect,n. 昆虫；卑鄙的人
interest,"n. 兴趣，爱好；利息；趣味；同行
vt. 使……感兴趣；引起……的关心；使……参与"
invent,vt. 发明；创造；虚构
jealous,adj. 妒忌的；猜疑的；唯恐失去的；戒备的
lecture,"n. 演讲；讲稿；教训
vt. 演讲；训诫
vi. 讲课；讲演"
light,"n. 光；光线；灯；打火机；领悟；浅色；天窗
adj. 轻的；浅色的；明亮的；轻松的；容易的；清淡的
vi. 点着；变亮；着火
vt. 照亮；点燃；着火
adv. 轻地；清楚地；轻便地"
literature,n. 文学；文献；文艺；著作
log,"vi. 伐木
vt. 切；伐木；航行
n. 记录；航行日志；原木"
lord,"n. 主；上帝
int. 主，天啊
vt. 使成贵族
vi. 作威作福，称王称霸"
