have,"aux. 已经
vt. 有；让；拿；从事；允许"
provide,"vt. 提供；规定；准备；装备
vi. 规定；抚养；作准备"
choose,"vt. 选择，决定
vi. 选择，挑选"
cause,"n. 原因；事业；目标
vt. 引起；使遭受"
mind,"n. 理智，精神；意见；智力；记忆力
vt. 介意；专心于；照料
vi. 介意；注意"
care,"n. 关怀；照料；谨慎；忧虑
vt. 在意；希望或喜欢
vi. 照顾；关心；喜爱；顾虑"
hold,"n. 控制；保留
vi. 支持；有效；持续
vt. 持有；拥有；保存；拘留；约束或控制
又作“Hold住”使用，中英混用词汇，表示轻松掌控全局。
"
means,"n. 手段；方法；财产
v. 意思是；打算（mean的第三人称单数） "
form,"n. 形式，形状；形态，外形；方式；表格
vt. 构成，组成；排列，组织；产生，塑造
vi. 形成，构成；排列"
break,"vi. 打破；折断；弄坏；削弱
vt. （使）破；打破（纪录）；（常指好天气）突变；开始
vi. （嗓音）突变；突破；破晓；（价格）突然下跌
n. 破裂；间断；（持续一段时间的状况的）改变；间歇"
follow,"n. 跟随；追随
vi. 跟随；接着
vt. 跟随；遵循；追求；密切注意，注视；注意；倾听"
design,"n. 设计；图案
vt. 设计；计划；构思
vi. 设计"
point,"n. 要点；得分；标点； 尖端
vt. 指向；弄尖；加标点于
vi. 表明；指向"
living,"adj. 活的；现存的；活跃的；逼真的
n. 生活；生存；生计
v. 生活；居住（live的ing形式）；度过"
lead,"n. 领导；铅；导线；榜样
vt. 领导；致使；引导；指挥
vi. 领导；导致；用水砣测深
adj. 带头的；最重要的"
receive,"vt. 收到；接待；接纳
vi. 接收"
expect,"vi. 期待；预期
vt. 期望；指望；认为；预料"
suggest,vt. 提议，建议；启发；使人想起；显示；暗示
improve,"vt. 改善，增进；提高…的价值
vi. 增加；变得更好"
return,"vi. 返回；报答
adj. 报答的；回程的；返回的
vt. 返回；报答
n. 返回；归还；回球"
sense,"n. 感觉，功能；观念；道理；理智
vt. 感觉到；检测"
carry,"n. 运载； 进位；射程
vi. 能达到；被携带；被搬运
vt. 拿，扛；携带；支持；搬运"
fall,"n. 下降；秋天；瀑布
adj. 秋天的
vi. 落下；变成；来临；减弱
vt. 砍倒；击倒"
chance,"n. 机会，际遇；运气，侥幸；可能性
vt. 偶然发生；冒……的险
vi. 碰巧；偶然被发现"
complete,"adj. 完整的；完全的；彻底的
vt. 完成"
reach,"n. 范围；延伸；河段；横风行驶
vi. 达到；延伸；伸出手；传开
vt. 达到；影响；抵达；伸出"
allow,"vi. 容许；考虑
vt. 允许；给予；认可"
stand,"n. 站立；立场；看台；停止
vi. 站立；位于；停滞
vt. 使站立；忍受；抵抗"
control,"n. 控制；管理；抑制；操纵装置
vt. 控制；管理；抑制"
pass,"n. 及格；经过；护照；途径；传球
vt. 通过；经过；传递
vi. 经过；传递；变化；终止"
relationship,n. 关系；关联
present,"n. 现在；礼物；瞄准
adj. 现在的；出席的
vt. 提出；介绍；呈现；赠送
vi. 举枪瞄准"
support,"n. 支持，维持；支援，供养；支持者，支撑物
vt. 支持，支撑，支援；扶持，帮助；赡养，供养"
encourage,vt. 鼓励，怂恿；激励；支持
energy,n.  能量；精力；活力；精神
likely,"adj. 很可能的；合适的；有希望的
adv. 很可能；或许"
matter,"n. 物质；事件
vi. 有关系；要紧"
power,"n. 力量，能力；电力，功率；政权，势力； 幂
adj. 借影响有权势人物以操纵权力的
vt. 激励；供以动力；使…有力量
vi. 快速前进"
catch,"n. 捕捉；捕获物；窗钩
vt. 赶上；抓住；感染；了解
vi. 赶上；抓住"
finish,"n. 结束；完美；回味（葡萄酒）
vt. 完成；结束；用完
vi. 结束，终止；终结"
effect,"n. 影响；效果；作用
vt. 产生；达到目的"
view,"n. 观察；视野；意见；风景
vt. 观察；考虑；查看"
continue,"vt. 继续说…；使…继续；使…延长
vi. 继续，延续；仍旧，连续"
require,vt. 需要；要求；命令
title,"n. 冠军；标题；头衔；权利；字幕
adj. 冠军的；标题的；头衔的
vt. 加标题于；赋予头衔；把…称为"
deal,"n. 交易；（美）政策；待遇；份量
vi. 处理；讨论；对待；做生意
vt. 处理；给予；分配；发牌"
million,"n. 百万；无数
adj. 百万的；无数的
num. 百万"
attention,n. 注意力；关心；立正！（口令）
case,"n. 情况；实例；箱
vt. 包围；把…装于容器中"
close,"n. 结束
adj. 紧密的；亲密的；亲近的
vt. 关；结束；使靠近
vi. 关；结束；关闭
adv. 紧密地"
reduce,"vi. 减少；缩小；归纳为
vt. 减少；降低；使处于；把…分解"
professor,n. 教授；教师；公开表示信仰的人
forget,"vi. 忘记
vt. 忘记；忽略"
value,"n. 值；价值；价格；重要性；确切涵义
vt. 评价；重视；估价"
section,"n. 截面；部分；部门；地区；章节
vt. 把…分段；将…切片；对…进行划分
vi. 被切割成片；被分成部分"
project,"n. 工程；计划；事业
vt. 设计；计划；发射；放映
vi. 设计；计划；表达；投射"
rather,"adv. 宁可，宁愿；相当
int. 当然啦（回答问题时用）"
attend,"vi. 出席；致力于；照料；照顾
vt. 出席；上（大学等）；照料；招待；陪伴"
pick,"n. 选择；鹤嘴锄；挖；掩护
vi. 挑选；采摘；挖
vt. 拾取；精选；采摘；掘"
notice,"n. 通知，布告；注意；公告
vt. 通知；注意到；留心
vi. 引起注意"
appear,vi. 出现；显得；似乎；出庭；登场
quality,"n. 质量， 品质；特性；才能
adj. 优质的；高品质的；<英俚>棒极了"
raise,"n. 高地；上升；加薪
vt. 提高；筹集；养育；升起
vi. 上升"
system,n. 制度，体制；系统；方法
agree,"vi. vi. 同意，意见一致；约定，商定
vt. 同意，赞成；承认；约定，商定"
note,"n. 笔记；音符；票据；注解；纸币；便笺；照会；调子
vt. 注意；记录；注解"
volunteer,"n. 志愿者；志愿兵
adj. 志愿的
vt. 自愿
vi. 自愿"
lie,"vi. 躺；说谎；位于；展现
vt. 谎骗
n. 谎言；位置"
practice,"n. 实践；练习；惯例
vt. 练习；实习；实行
vi. 练习；实习；实行"
introduce,vt. 介绍；引进；提出；采用
wonder,"n. 惊奇；奇迹；惊愕
adj. 奇妙的；非凡的
vi. 怀疑；想知道；惊讶
vt. 怀疑；惊奇；对…感到惊讶"
common,"n. 普通；平民；公有地
adj. 共同的；普通的；一般的；通常的"
cover,"n. 封面，封皮；盖子；掩蔽物;幌子，借口
vt. 包括；采访，报导；涉及
vi. 覆盖；代替"
effort,n. 努力；成就
infer,"vi. 推断；作出推论
vt. 推断；推论"
event,n. 事件，大事；项目；结果
accept,"vi. 承认；同意；承兑
vt. 接受；承认；承担；承兑；容纳"
experiment,"n. 实验，试验；尝试
vi. 尝试；进行实验"
actually,adv. 实际上；事实上
adult,"n. 成年人
adj. 成年的；成熟的"
material,"adj. 重要的；物质的，实质性的；肉体的
n. 材料，原料；物资；布料"
national,"adj. 国家的；国民的；民族的；国立的
n. 国民"
challenge,"n. 挑战；怀疑
vt. 向…挑战；对…质疑"
check,"n. <美>支票；制止，抑制；检验，核对
vi. 核实，查核；中止；打勾；将一军
vt. 检查，核对；制止，抑制；在…上打勾"
remain,"n. 遗迹；剩余物，残骸
vi. 保持；依然；留下；剩余；逗留；残存"
behaviour,n. 行为；习性；运行状况（=behavior）
cut,"n. 伤口；切口；削减；（服装等的）式样；削球；切入
adj. 割下的；雕过的；缩减的
vt.  切割；削减；缩短；刺痛
vi.  切割；相交；切牌；停拍；不出席"
alone,"adj. 独自的；单独的；孤独的
adv. 独自地；单独地"
moment,n. 片刻，瞬间，时刻；重要，契机
consider,"vi. 考虑；认为；细想
vt. 考虑；认为；考虑到；细想"
percent,"n. 百分比，百分率；部分；百分数
adj. 百分之…的
adv. 以百分之…地"
refer,"vt. 涉及；委托；归诸于；使…求助于
vi. 参考；涉及；提到；查阅"
attract,"vt. 吸引；引起
vi. 吸引；有吸引力"
training,"n. 训练；培养；瞄准；整枝
v. 训练；教养（train的ing形式）"
attitude,n. 态度；看法；意见；姿势
clear,"n. 清除；空隙
adj. 清楚的；清澈的；晴朗的；无罪的
vt. 通过；清除；使干净；跳过
vi. 放晴；变清澈
adv. 清晰地；完全地"
trouble,"n. 麻烦；烦恼；故障；动乱
vt. 麻烦；使烦恼；折磨
vi. 费心，烦恼"
fail,"n. 不及格
vi. 失败，不及格；破产；缺乏；衰退
vt. 不及格；使失望；忘记；舍弃"
goal,"n. 目标；球门，得分数；终点
vi. 攻门，射门得分"
type,"n. 类型，品种；模范；样式
vt. 打字；测定（血等）类型
vi. 打字"
finding,"n. 发现；裁决；发现物
v. 找到；感到（find的ing形式）；遇到"
within,"prep. 在…之内
n. 里面
adv. 在内部"
advice,n. 建议；忠告；劝告；通知
land,"n. 国土；陆地；地面
vt. 使…登陆；使…陷于；将…卸下
vi. 登陆；到达"
memory,n. 记忆，记忆力；内存， 存储器；回忆
opinion,n. 意见；主张
throw,"n. 投掷；冒险
vt. 投；抛；掷
vi. 抛；投掷"
fit,"n. 合身；发作；痉挛
adj. 健康的；合适的；恰当的；准备好的
vt. 安装；使……适应；使……合身；与……相符
vi. 符合，配合；适合；合身"
touch,"n. 接触；触觉；格调；少许
vt. 接触；触动；使轻度受害
vi. 触摸；涉及；接近；提到"
condition,"n. 条件；情况；环境；身份
vt. 决定；使适应；使健康；以…为条件"
disease,"n. 病， 疾病；弊病
vt. 传染；使…有病"
mention,"vt. 提到，谈到；提及，论及；说起
n. 提及，说起"
benefit,"n. 利益，好处；救济金
vt. 有益于，对…有益
vi. 受益，得益"
manager,n. 经理；管理人员
recognise,vt. 认出；承认，认可；识别
waste,"n. 浪费；废物；荒地；损耗；地面风化物
adj. 废弃的；多余的；荒芜的
vt. 浪费；消耗；使荒芜
vi. 浪费；变消瘦；挥霍钱财"
prefer,"vt. 更喜欢；宁愿；提出；提升
vi. 喜欢；愿意"
manage,"vt. 管理；经营；控制；设法
vi. 处理；应付过去"
prepare,"vt. 准备；使适合；装备；起草
vi. 预备；做好思想准备"
prove,"vi. 证明是
vt. 证明；检验；显示"
earn,vt. 赚，赚得；获得，挣得；使得到；博得
express,"n. 快车，快递，专使；捷运公司
vt. 表达；快递
adj. 明确的；迅速的；专门的"
blank,"n. 空白；空虚；空白表格
adj. 空白的；空虚的；单调的
vt. 使…无效；使…模糊；封锁
vi. 消失；成为空白"
certain,"adj. 某一；必然的；确信；无疑的；有把握的
pron. 某些；某几个"
communication,n. 通讯， 通信；交流；信函
respect,"n. 尊敬，尊重；方面；敬意
vt. 尊敬，尊重；遵守"
pressure,"n. 压力；压迫， 压强
vt. 迫使；密封；使……增压"
airport,n. 机场；航空站
surprise,"n. 惊奇，诧异；突然袭击
adj. 令人惊讶的
vt. 使惊奇；奇袭"
influence,"n. 影响；势力；感化；有影响的人或事
vt. 影响；改变"
opportunity,n. 时机，机会
available,adj. 可获得的；可购得的；可找到的；有空的
accident,n. 事故；意外； 意外事件；机遇
drop,"n. 滴；落下；空投；微量；滴剂
vt. 滴；使降低；使终止；随口漏出
vi. 下降；终止"
necessary,"adj. 必要的；必需的；必然的
n. 必需品"
major,"adj. 主要的；重要的；主修的；较多的
n.  成年人；主修科目；陆军少校
vi. 主修"
population,n. 人口； 种群， 群体；全体居民
search,"n. 搜寻；探究，查究
vt. 搜索；搜寻；调查；搜查；探求
vi. 搜寻；调查；探求"
being,"n. 存在；生命；本质；品格
adj. 存在的；现有的"
position,"n. 位置，方位；职位，工作；姿态；站位
vt. 安置；把……放在适当位置"
prevent,"vt. 预防，防止；阻止
vi. 妨碍，阻止"
patient,"n. 病人；患者
adj. 有耐心的，能容忍的"
affect,"n. 情感；引起感情的因素
vt. 影响；感染；感动；假装
vi. 倾向；喜欢"
amount,"n. 数量；总额，总数
vi. 总计，合计；相当于；共计；产生…结果"
process,"n. 过程，进行；方法，步骤；作用；程序；推移
adj. 经过特殊加工（或处理）的
vt. 处理；加工
vi. 列队前进"
focus,"n. 焦点；中心；清晰；焦距
vt. 使集中；使聚焦
vi. 集中；聚焦；调节焦距"
force,"n. 力量；武力；军队；魄力
vt. 促使，推动；强迫；强加"
performance,n. 性能；绩效；表演；执行；表现
promise,"n. 许诺，允诺；希望
vt. 允诺，许诺；给人以…的指望或希望
vi. 许诺；有指望，有前途"
stress,"n. 压力；强调；紧张；重要性；重读
vt. 强调；使紧张；加压力于；用重音读"
afraid,adj. 害怕的；恐怕；担心的
compare,"vi. 相比，匹敌；比较，区别；比拟（常与to连用）
vt. 比拟，喻为；构成
n. 比较"
gain,"n. 增加；利润；收获
vi. 增加；获利
vt. 获得；增加；赚到"
suffer,"vi. 遭受，忍受；受痛苦；经验；受损害
vt. 遭受；忍受；经历"
competition,n. 竞争；比赛，竞赛
especially,adv. 特别；尤其；格外
publish,"vi. 出版；发行；刊印
vt. 出版；发表；公布"
organisation,n. 组织；团体（等于organization）
imagine,"vi. 想像；猜想；想像起来
vt. 想像；猜想；臆断"
seek,"vt. 寻求；寻找；探索；搜索
vi. 寻找；探索；搜索"
attack,"n. 攻击；抨击；疾病发作
vt. 攻击；抨击；动手干
vi. 攻击；腐蚀"
traffic,"n. 交通；运输；贸易； 通信量
vt. 用…作交换；在…通行
vi. 交易，买卖"
charge,"n. 费用；电荷；掌管；控告；命令；负载
vt. 使充电；使承担；指责；装载；对…索费；向…冲去
vi. 充电；控告；索价；向前冲；记在账上"
advantage,"n. 优势；利益；有利条件
vt. 有利于；使处于优势
vi. 获利"
damage,"vi. 损害；损毁
vt. 损害，毁坏
n. 损害；损毁；赔偿金"
pleasure,"n. 快乐；希望；娱乐；令人高兴的事
vt. 使高兴；使满意
vi. 高兴；寻欢作乐"
flight,"n. 飞行；班机；逃走
vt. 射击；使惊飞
vi. 迁徙"
average,"n. 平均；平均数；海损
adj. 平均的；普通的；通常的
vt. 算出…的平均数；将…平均分配；使…平衡
vi. 平均为；呈中间色"
community,n. 社区； 群落；共同体；团体
death,n. 死；死亡；死神；毁灭
hit,"n. 打；打击；（演出等）成功；讽刺
vt. 打击；袭击；碰撞；偶然发现；伤…的感情
vi. 打；打击；碰撞；偶然碰上"
therefore,adv. 因此；所以
expert,"n. 专家；行家；能手
adj. 熟练的；内行的；老练的
vt. 当专家；在…中当行家"
involve,vt. 包含；牵涉；使陷于；潜心于
lecture,"n. 演讲；讲稿；教训
vt. 演讲；训诫
vi. 讲课；讲演"
general,"n. 一般；将军，上将；常规
adj. 一般的，普通的；综合的；大体的"
lower,"vt. 减弱，减少；放下，降下；贬低
vi. 降低；减弱；跌落
adj. 下游的；下级的；下等的"
apply,"vi. 申请；涂，敷；适用；请求
vt. 申请；涂，敷；应用"
graduate,"n. 研究生；毕业生
adj. 毕业的；研究生的
vt. 授予…学位；分等级；标上刻度
vi. 毕业；渐变"
positive,"n. 正数； 正片
adj. 积极的； 正的， 阳性的；确定的，肯定的；实际的，真实的；绝对的"
desire,"n. 欲望；要求，心愿；性欲
vt. 想要；要求；希望得到…
vi. 渴望"
goods,n. 商品；动产；合意的人；真本领
phrase,"n. 短语, 习语, 措辞, 乐句
vt. 措词, 将(乐曲)分成乐句"
seat,"n. 座位；所在地；职位
vt. 使…坐下；可容纳…的；使就职"
extra,"n. 临时演员；号外；额外的事物；上等产品
adj. 额外的，另外收费的；特大的
adv. 特别地，非常；另外"
active,"n. 主动语态；积极分子
adj. 积极的；活跃的；主动的；有效的；现役的"
explore,"vi. 探索；探测；探险
vt. 探索；探测；探险"
worth,"n. 价值；财产
adj. 值…的"
collection,n. 采集，聚集； 征收；收藏品；募捐
tend,"vt. 照料，照管
vi. 趋向，倾向；照料，照顾"
beyond,"prep. 超过；越过；那一边；在...较远的一边
n. 远处
adv. 在远处；在更远处"
issue,"n. 问题；流出；期号；发行物
vt. 发行，发布；发给；放出，排出
vi. 发行；流出；造成…结果；传下"
style,"n. 风格；时尚；类型；字体
vt. 设计；称呼；使合潮流
vi. 设计式样；用刻刀作装饰画"
doubt,"n. 怀疑；疑问；疑惑
v. 怀疑；不信；恐怕；拿不准"
figure,"n. 数字；人物；图形；价格；（人的）体形；画像
vt. 计算；认为；描绘；象征
vi. 计算；出现；扮演角色"
medium,"adj. 中间的，中等的；半生熟的
n. 方法；媒体；媒介；中间物"
spread,"n. 传播；伸展
adj. 伸展的
vt. 传播，散布；展开；伸展；铺开
vi. 传播；伸展"
teenager,n. 十几岁的青少年；十三岁到十九岁的少年
achieve,"vt. 取得；获得；实现；成功
vi. 达到预期的目的，实现预期的结果，如愿以偿"
admit,"vi. 承认；容许
vt. 承认；准许进入；可容纳"
career,"n. 生涯；职业；事业；速度，全速
adj. 作为毕生职业的
vi. 全速前进，猛冲"
demand,"n.  需求；要求；需要
vt. 要求；需要；查询
vi. 需要；请求；查问"
global,adj. 全球的；总体的；球形的
lack,"vt. 缺乏；不足；没有；需要
vi. 缺乏；不足；没有
n. 缺乏；不足"
particular,"n. 详细说明；个别项目
adj. 特别的；详细的；独有的；挑剔的"
advertisement,n. 广告，宣传
praise,"n. 赞扬；称赞；荣耀；崇拜
vt. 赞美，歌颂；表扬
vi. 赞美；赞扬"
solve,"vt. 解决；解答；溶解
vi. 作解答"
standard,"n. 标准；水准；旗；度量衡标准
adj. 标准的；合规格的；公认为优秀的"
supply,"n. 供给，补给；供应品
vt. 供给，提供；补充
vi. 供给；替代"
various,adj. 各种各样的；多方面的
equipment,n. 设备，装备；器材
comfortable,"n. 盖被
adj. 舒适的，舒服的"
feed,"n. 饲料；饲养；（动物或婴儿的）一餐
vt. 喂养；供给；放牧；抚养（家庭等）；靠…为生
vi. 吃东西；流入"
individual,"n. 个人，个体
adj. 个人的；个别的；独特的"
data,n. 数据（datum的复数）；资料
limit,"n. 限制；限度；界线
vt. 限制；限定"
regular,"n. 常客；正式队员；中坚分子
adj. 定期的；有规律的；合格的；整齐的；普通的
adv. 定期地；经常地"
weight,"n. 重量，重力；负担；砝码；重要性
vt. 加重量于，使变重"
cafe,n. 咖啡馆；小餐馆
diet,"n. 饮食；食物；规定饮食
vt.  照规定饮食
vi. 节食"
measure,"n. 测量；措施；程度；尺寸
vt. 测量；估量；权衡
vi. 测量；估量"
replace,vt. 取代，代替；替换，更换；归还，偿还；把…放回原处
suggestion,n. 建议；示意；微量，细微的迹象
ahead,"adj. 向前；在前的；领先
adv. 向前地；领先地；在（某人或某事物的）前面；预先；在将来，为未来"
argue,"vi. 争论，辩论；提出理由
vt. 辩论，争论；证明；说服"
assistant,"n. 助手，助理，助教
adj. 辅助的，助理的；有帮助的"
climate,n. 气候；风气；思潮；风土
rate,"n. 比率，率；速度；价格；等级
vt. 认为；估价；责骂
vi. 责骂；被评价"
responsibility,n. 责任，职责；义务
species,"n.  物种；种类
adj. 物种上的"
confidence,"n. 信心；信任；秘密
adj. （美）诈骗的；骗得信任的"
immediately,"conj. 一…就
adv. 立即，立刻；直接地"
remind,vt. 提醒；使想起
generation,n. 一代；产生；一代人；生殖
object,"n. 目标；物体；客体；宾语
vt. 提出…作为反对的理由
vi. 反对；拒绝"
strength,n. 力量；力气；兵力；长处
wave,"n. 波动；波浪；高潮；挥手示意；卷曲
vt. 卷（烫）发；向…挥手示意；使成波浪形
vi. 波动；起伏；挥手示意；摇动；呈波形"
sight,"n. 视力；景象；眼界；见解
adj. 见票即付的；即席的
vt. 看见；瞄准
vi. 瞄准；观看"
topic,n. 主题（等于theme）；题目；一般规则；总论
connect,"vt. 连接；联合；关连
vi. 连接，连结；联合"
solution,n. 解决方案；溶液；溶解；解答
aim,"n. 目的；目标；对准
vt. 目的在于；引导；把…对准
vi. 打算；对准目标；瞄准"
blame,"n. 责备；责任；过失
vt. 责备；归咎于"
loss,n. 减少；亏损；失败；遗失
operation,n. 操作；经营； 手术； 运算
reward,"n.  报酬；报答；酬谢
vt.  奖励；奖赏"
variety,n. 多样；种类；杂耍；变化，多样化
anger,"n. 怒，愤怒；忿怒
vt. 使发怒，激怒；恼火
vi. 发怒；恼火"
communicate,"vi. 通讯，传达；相通；交流；感染
vt. 传达；感染；显露"
forward,"n. 前锋
adj. 向前的；早的；迅速的
adv. 向前地；向将来
vt. 促进；转寄；运送"
honour,"n. 荣誉；尊敬；勋章
vt. 尊敬； 承兑；承兑远期票据"
traditional,adj. 传统的；惯例的
contain,"vi. 含有；自制
vt. 包含；控制；容纳；牵制（敌军）"
failure,n. 失败；故障；失败者；破产
novel,"adj. 新奇的；异常的
n. 小说"
ocean,n. 海洋；大量；广阔
promote,"vi. 成为王后或其他大于卒的子
vt. 促进；提升；推销；发扬"
tip,"n. 小费；尖端；小建议，小窍门；轻拍
vt. 给小费；倾斜；翻倒；装顶端
vi. 给小费；翻倒；倾覆"
calm,"n. 风平浪静
adj. 静的，平静的；沉着的
vt. 使平静；使镇定
vi. 平静下来；镇定下来"
destroy,vt. 破坏；消灭；毁坏
movement,n. 运动；活动；运转；乐章
normal,"adj. 正常的；正规的，标准的
n. 正常；标准；常态"
schedule,"n. 时间表；计划表；一览表
vt. 安排，计划；编制目录；将……列入计划表"
transport,"n. 运输；运输机；狂喜；流放犯
vt. 运输；流放；使狂喜"
vacation,"n. 假期；（房屋）搬出
vi. 休假，度假"
adventure,"n. 冒险；冒险精神；投机活动
vt. 冒险；大胆说出
vi. 冒险"
afford,vt. 给予，提供；买得起
character,"n. 性格，品质；特性；角色； 字符
vt. 印，刻；使具有特征"
match,"vt. 使比赛；使相配；敌得过，比得上；相配；与…竞争
vi. 比赛；匹配；相配，相称；相比
n. 比赛，竞赛；匹配；对手；火柴"
sort,"n. 种类；方式；品质
vt. 将…分类；将…排序；挑选出某物
vi. 分类；协调；交往"
exhibition,n. 展览，显示；展览会；展览品
occur,vi. 发生；出现；存在
device,n. 装置；策略；图案
intend,"vi. 有打算
vt. 打算；想要；意指"
satisfy,"vi. 令人满意；令人满足
vt. 满足；说服，使相信；使满意，使高兴"
unusual,adj. 不寻常的；与众不同的；不平常的
department,n. 部；部门；系；科；局
settle,"n. 有背长椅
vi. 解决；定居；沉淀；下陷
vt. 解决；安排；使…定居"
track,"n. 轨道；足迹，踪迹；小道
vt. 追踪；通过；循路而行；用纤拉
vi. 追踪；走；留下足迹"
distance,"n. 距离；远方；疏远；间隔
vt. 疏远；把…远远甩在后面"
exist,vi. 存在；生存；生活；继续存在
fix,"n. 困境；方位；贿赂
vt. 使固定；修理；安装；准备
vi. 固定；注视"
stage,"n. 阶段；舞台；戏剧；驿站
vt. 举行；上演；筹划
vi. 举行；适于上演；乘驿车旅行"
stick,"n. 棍；手杖；呆头呆脑的人
vi. 坚持；伸出；粘住
vt. 刺，戳；伸出；粘贴"
approach,"n. 方法；途径；接近
vt. 接近；着手处理
vi. 靠近"
concern,"n. 关系；关心；关心的事；忧虑
vt. 涉及，关系到；使担心"
desert,"n. 沙漠；荒原；应得的赏罚
vt. 遗弃；放弃；逃跑
adj. 沙漠的；荒凉的；不毛的
vi. 遗弃；开小差；逃掉"
handle,"n.  把手；柄；手感；口实
vt. 处理；操作；运用；买卖；触摸
vi. 搬运；易于操纵"
plastic,"n. 塑料制品；整形；可塑体
adj. 塑料的；（外科）造型的；可塑的"
progress,"n. 进步，发展；前进
vi. 前进，进步；进行"
resource,n. 资源，财力；办法；智谋
review,"n. 回顾；复习；评论；检讨；检阅
vt. 回顾；检查；复审
vi. 回顾；复习功课；写评论"
block,"n. 块；街区；大厦；障碍物
adj. 成批的，大块的；交通堵塞的
vt. 阻止；阻塞；限制；封盖"
extremely,adv. 非常，极其；极端地
gather,"n. 聚集；衣褶；收获量
vt. 收集；收割；使…聚集；使…皱起
vi. 聚集；化脓；皱起"
official,"adj. 官方的；正式的；公务的
n. 官员；公务员；高级职员"
persuade,"vt. 说服，劝说；使某人相信；劝某人做（不做）某事
adj. 空闲的，有闲的
vi. 说服；被说服"
pleasant,adj. 令人愉快的，舒适的；讨人喜欢的，和蔼可亲的
reality,n. 现实；实际；真实
