ban,"n. 禁令，禁忌
vt. 禁止，取缔"
metropolitan,"adj. 大都市的；大主教辖区的；宗主国的
n. 大城市人；大主教；宗主国的公民"
resident,"n. 居民；住院医生
adj. 居住的；定居的"
upscale,"adj. 迎合高层次消费者的；质优价高的
vt. 升高一级"
maid,"n. 女仆；少女
vt. 侍候；做新娘的女傧相
vi. 当女仆"
volunteer,"n. 志愿者；志愿兵
adj. 志愿的
vt. 自愿
vi. 自愿"
broadly,adv. 明显地；宽广地；概括地；露骨地；粗鄙地
astonishing,"adj. 惊人的；令人惊讶的
v. 使…惊讶；使…诧异（astonish的ing形式）"
inaccuracy,n. 错误；不精确
reportorial,adj. 记者的；报告的
daily,"n. 日报；朝来夜去的女佣
adj. 日常的；每日的
adv. 日常地；每日；天天"
clash,"n. 冲突，不协调；碰撞声，铿锵声
vt. 使碰撞作声
vi. 冲突，抵触；砰地相碰撞，发出铿锵声"
explosive,"n. 炸药；爆炸物
adj. 爆炸的；爆炸性的；爆发性的"
vastly,adv. 极大地；广大地；深远地
annoy,"n. 烦恼（等于annoyance）
vt. 骚扰；惹恼；打搅
vi. 惹恼；令人讨厌；打搅"
sponsor,"n. 赞助者；主办者；保证人
vt. 赞助；发起"
symposium,n. 讨论会，座谈会；专题论文集；酒宴，宴会
flee,"vt. 逃跑，逃走；逃避
vi. 逃走；消失，消散"
bias,"n. 偏见；偏爱；斜纹；乖离率
adj. 偏斜的
vt. 使存偏见
adv. 偏斜地"
narrowly,adv. 仔细地；勉强地；狭窄地；严密地
outlook,"n. 展望；观点；景色
vt. 比……好看；用目光压倒
vi. 朝外看"
go through,"na. 认真检查；仔细地搜；(提案或法案)通过；被批准
 经历；经受；仔细检查"
merger,n. （企业等的）合并；并购；吸收（如刑法中重罪吸收轻罪）
acquisition,n. 获得物，获得；收购
witness,"n. 证人；目击者；证据
vt. 目击；证明；为…作证
vi. 作证人"
sweep,"n. 打扫，扫除；范围；全胜
vt. 扫除；猛拉；掸去
vi. 扫，打扫；席卷；扫视；袭击"
hyperactive,adj. 极度活跃的；活动过度的
unsurpassed,adj. 非常卓越的；未被超越的
might,"n. 力量；威力；势力
v. 可以；或许（may的过去式）；应该
aux. 可能；也许"
multinational,"adj. 跨国公司的；多国的
n. 跨国公司"
corporation,n. 公司；法人（团体）；社团；大腹便便；市政当局
affiliate,"n. 联号；隶属的机构等
vt. 使附属；接纳；使紧密联系
vi. 参加，加入；发生联系"
segment,"n. 段；部分
vt. 分割
vi. 分割"
Argentina,n. 阿根廷（位于拉丁美洲）
phenomenon,n. 现象；奇迹；杰出的人才
ultimate,"n. 终极；根本；基本原则
adj. 最终的；极限的；根本的"
massive,adj. 大量的；巨大的，厚重的；魁伟的
underlie,vt. 成为……的基础；位于……之下
communication,n. 通讯， 通信；交流；信函
barrier,"n. 障碍物，屏障；界线
vt. 把…关入栅栏"
enlarged,"v. 扩大，增大（enlarge的过去分词）
adj. 放大的；增大的；扩展的"
operation,n. 操作；经营； 手术； 运算
detrimental,"n. 有害的人（或物）；不受欢迎的求婚者
adj. 不利的；有害的"
scanty,adj. 缺乏的；吝啬的；仅有的；稀疏的
trust,"n. 信任，信赖；责任；托拉斯
vt. 信任，信赖；盼望；赊卖给
vi. 信任，信赖；依靠"
telecom,n. 电信，远距通信；电讯
witness,"n. 证人；目击者；证据
vt. 目击；证明；为…作证
vi. 作证人"
megamerger, 巨型合并，强强联合
supervise,"vt. 监督，管理；指导
vi. 监督，管理；指导"
lender,n. 贷方； 出借人
resort,"n. 凭借，手段；度假胜地；常去之地
vi. 求助，诉诸；常去；采取某手段或方法"
infringement,n. 侵犯；违反
block,"n. 块；街区；大厦；障碍物
adj. 成批的，大块的；交通堵塞的
vt. 阻止；阻塞；限制；封盖"
prompt,"n. 提示；付款期限；DOS命令：改变DOS系统提示符的风格
adj. 敏捷的，迅速的；立刻的
vt. 提示；促进；激起；（给演员）提白
adv. 准时地"
profile,"n. 侧面；轮廓；外形；剖面；简况
vt. 描…的轮廓；扼要描述
vi. 给出轮廓"
disgraced,"adj. 失宠的；遭贬谪的
v. 耻辱；贬谪（disgrace的过去式和过去分词）"
downshift,"n. 换低速档
vt. 使…调低速挡；使工作降格
vi. 调低速档；工作降格"
transform,"vt. 改变，使…变形；转换
vi. 变换，改变；转化"
passionate,adj. 热情的；热烈的，激昂的；易怒的
advocate,"n. 提倡者；支持者；律师
vt. 提倡，主张，拥护"
philosophy,n. 哲学；哲理；人生观
preach,"n. 说教
vt. 说教；讲道；鼓吹；传道；反复灌输
vi. 说教；讲道；鼓吹；宣扬"
publicize,vt. 宣传；公布
resignation,n. 辞职；放弃；辞职书；顺从
editorship,n. 编辑；校订；编辑或主笔地位
build-up,"n. 组成；逐渐增加或积累；堆起
adj. 内建的"
doctrine,n. 主义；学说；教义；信条
juggle,"vi. 玩杂耍；欺骗；歪曲
vt. 歪曲；欺骗
n. 玩戏法；欺骗"
strain,"n. 张力；拉紧；负担；扭伤；血缘
vt. 拉紧；滥用；滤去；竭力
vi. 拉紧；尽力
n. （植物、动物的）品种；种类"
politics,n. 政治，政治学；政治活动；政纲
ironically,adv. 讽刺地；说反话地
term,"n. 术语；学期；期限；条款；(代数式等的)项
vt. 把…叫做"
anti-consumerism,n. 反消费主义(为保护环境而反对消费的主张)
bestselling,a. 畅销的
tightwad,n. 吝啬鬼；守财奴
gazette,"n. （英）公报；报纸
vt. 在报上刊载"
equivalent,"n. 等价物，相等物
adj. 等价的，相等的；同意义的"
drop out,"na. 退出；(因不满传统制度而)退出正常社会；落出；隐退
 退学；辍学；掉落"
redundancy,n.  冗余（等于redundance）；裁员；人浮于事
downsize,vt. 以较小尺寸设计；缩小尺寸；裁减人数
thrift,n. 节俭；节约； 海石竹
acquaintance,n. 熟人；相识；了解；知道
mythical,adj. 神话的；虚构的
recognition,n. 识别；承认，认出；重视；赞誉；公认
holodeck, 全息甲板；全像甲板；全息舱面
sensory,adj. 感觉的；知觉的；传递感觉的
virtual,adj.  虚拟的；实质上的，事实上的（但未在名义上或正式获承认）
chat show,"n. （电视或电台的）访谈节目
 谈话节目；电视采访节目；现场访问节目"
disable,vt. 使失去能力；使残废；使无资格
futurologist,n. 未来学家
schedule,"n. 时间表；计划表；一览表
vt. 安排，计划；编制目录；将……列入计划表"
accelerate,"vt. 使……加快；使……增速
vi. 加速；促进；增加"
piece together,"na. 拼合
 拼凑；拼凑在一起；综合"
calendar,"n. 日历； 历法；日程表
vt. 将…列入表中；将…排入日程表"
artificial,adj. 人造的；仿造的；虚伪的；非原产地的；武断的
come into use,"na. (某物)开始被使用
 开始使用；投入使用；开始投入使用"
pick up,"v. 拾起；探出；重新开始
 捡起；拿起；学会"
simulate,"adj. 模仿的；假装的
vt. 模仿；假装；冒充"
ultimately,adv. 最后；根本；基本上
boom,"n. 繁荣；吊杆；隆隆声
vt. 使兴旺；发隆隆声
vi. 急速发展；发隆隆声"
surveillance,n. 监督；监视
synthetic,"n. 合成物
adj. 综合的；合成的，人造的"
lifelike,adj. 栩栩如生的；逼真的
droid,n. 机器人
diffusion,n. 扩散，传播； 漫射
dominant,"n. 显性
adj. 显性的；占优势的；支配的，统治的"
periodical,"n. 期刊；杂志
adj.  周期的；定期的"
through,"prep. 通过；穿过；凭借
adj. 直达的；过境的；完结的
adv. 彻底；从头至尾"
impact,"vi. 影响；撞击；冲突；压紧（on，upon，with）
n. 影响；效果；碰撞；冲击力
vt. 挤入，压紧；撞击；对…产生影响"
display,"n. 显示；炫耀
vt. 显示；表现；陈列
adj. 展览的；陈列用的
vi.  作炫耀行为"
weigh,"n. 权衡；称重量
vt. 权衡；考虑；称…重量
vi. 重量为…；具有重要性；成为…的重荷；起锚"
generalization,n. 概括；普遍化；一般化
shared,"n. 共享
v. 共享（share的过去式和过去分词）
adj. 共享的"
be relevant to,"v. 有关
 与…有关；和……相关；与……相关"
address,"n. 地址；演讲；致辞；说话的技巧；称呼
vt. 演说；从事；忙于；写姓名地址；向…致辞；与…说话；提出；处理"
alternatively,adv. 非此即彼；二者择一地；作为一种选择
convention,n. 大会； 惯例； 约定； 协定；习俗
accommodation,n. 住处，膳宿；调节；和解；预订铺位
push aside,"v. 推开
 把…推到一边；拨开；扒开"
stomp,"n. 跺脚，重踩；顿足爵士舞
vt. 跺脚，重踩；践踏"
passing,"n. 经过；及格；流逝；去世
v. 通过；及格；许可；传送（pass的ing形式）
adj. 经过的；目前的；及格的；短暂的
adv. 非常"
inedible,adj. 不能吃的
notorious,adj. 声名狼藉的，臭名昭著的
cut in,"na. 突然插入；(汽车)超车；抢去别人的舞伴；在电话里窃听
 插嘴；插嘴，打断；超车抢挡"
disparaging,"v. 蔑视（disparage的ing形式）
adj. 毁谤的；轻蔑的"
scapegoat,"n. 替罪羊，替人顶罪者；替身
vt. 使成为…的替罪羊"
awkward,adj. 尴尬的；笨拙的；棘手的；不合适的
casual,"n. 便装；临时工人；待命士兵
adj. 随便的；非正式的；临时的；偶然的"
off-the-cuff,adj. 即席的
deliver,"n. 投球
vt. 交付；发表；递送；释放；给予（打击）；给…接生
vi. 实现；传送；履行；投递"
light-hearted,adj. 轻松的；无忧无虑的
twist,"n. 扭曲；拧；扭伤
vt. 捻；拧；扭伤；编织；使苦恼
vi. 扭动；弯曲"
exaggeration,n. 夸张；夸大之词；夸张的手法
understatement,n. 保守的陈述；不充分的陈述；有保留的陈述
inject,vt. 注入；注射
dawn,"n. 黎明；开端
vt. 破晓；出现；被领悟"
ingenuity,"n. 心灵手巧，独创性；精巧；精巧的装置
n. 西门子公司将其品牌宣言“Ingenuity for life” 诠释为“博大精深 同心致远”"
devise,"n. 遗赠
vt. 设计；想出；发明；图谋；遗赠给"
cunning,"n. 狡猾
adj. 狡猾的；巧妙的；可爱的"
burdensome,adj. 繁重的；累赘的；恼人的
nasty,"adj. 下流的；肮脏的；脾气不好的；险恶的
n. 令人不快的事物
性的吸引力"
compulsion,n. 强制；强迫；强制力
robotics,n. 机器人学
confer,"vt. 授予；给予
vi. 协商"
gizmo,n. 小发明（等于gismo ）
hum,"n. 嗡嗡声；哼声；杂声
vt. 用哼声表示
int. 哼；嗯
vi. 发低哼声"
rhythm,n. 节奏；韵律
assembly,n. 装配；集会，集合
terminal,"n. 末端；终点；终端机；极限
adj. 末端的；终点的；晚期的"
miniaturization,n. 小型化，微型化
submillimeter,n. 亚毫米
laborsaving,adj. 节省劳力的，省力气的
utility,"n. 实用；效用；公共设施；功用
adj. 实用的；通用的；有多种用途的"
interact,"n. 幕间剧；幕间休息
vt. 互相影响；互相作用
vi. 互相影响；互相作用"
dynamic,"n. 动态；动力
adj. 动态的；动力的；动力学的；有活力的"
spell,"n. 符咒；一段时间；魅力
vi. 拼字；轮替
vt. 拼，拼写；意味着；招致；拼成；迷住；轮值"
initial,"n. 词首大写字母
adj. 最初的；字首的
vt. 用姓名的首字母签名"
transistor,n. 晶体管（收音机）
microprocessor,n.  微处理器
model,"n. 模型；典型；模范；模特儿；样式
vt. 模拟；塑造；模仿
vi. 做模型；做模特儿
adj. 模范的；作模型用的"
panel,"n. 仪表板；嵌板；座谈小组，全体陪审员
vt. 嵌镶板"
fraction,n. 分数；部分；小部分；稍微
glimpse,"n. 一瞥，一看
vt. 瞥见
vi. 瞥见"
disregard,"n. 忽视；不尊重
vt. 忽视；不理；漠视；不顾"
instantaneously,adv. 即刻；突如其来地
suspicious,adj. 可疑的；怀疑的；多疑的
approach,"n. 方法；途径；接近
vt. 接近；着手处理
vi. 靠近"
crude,"n. 原油；天然的物质
adj. 粗糙的；天然的，未加工的；粗鲁的"
barrel,"n. 桶；枪管，炮管
vt. 把……装入桶内
vi. 快速移动"
scary,adj. （事物）可怕的；恐怖的；吓人的；（人）提心吊胆的；引起惊慌的；胆小的
quadruple,"n. 四倍
adj. 四倍的；四重的
vt. 使…成四倍
vi. 成为四倍"
double-digit,adj. 两位数的
inflation,n. 膨胀；通货膨胀；夸张；自命不凡
headline,"n. 大标题；内容提要；栏外标题；头版头条新闻
vt. 给…加标题；使成为注意中心；大力宣传"
suspend,"vt. 延缓，推迟；使暂停；使悬浮
vi. 悬浮；禁赛"
hemisphere,n. 半球
severe,adj. 严峻的；严厉的；剧烈的；苛刻的
retail price,"un. 零售价格
 批发价；零售价目；市价"
muted,"adj. 柔和的；无言的；趋缓的
v. 使柔和（mute的过去式和过去分词）；消除声音"
pump,"n. 泵，抽水机；打气筒
vt. 打气；用抽水机抽…
vi. 抽水"
swing,"n. 摇摆；摆动；秋千；音律；涨落
adj. 旋转的；悬挂的；强节奏爵士音乐的
vt. 使旋转；挥舞；悬挂
vi. 摇摆；转向；悬挂；大摇大摆地行走"
conservation,n. 保存，保持；保护
energy-intensive,adj. 耗能的；能源密集型的
squeeze,"n. 压榨；紧握；拥挤；佣金
vt. 挤；紧握；勒索
vi. 压榨"
fluctuate,"vi. 波动；涨落；动摇
vt. 使波动；使动摇"
commodity,n. 商品，货物；日用品
sizable,adj. 相当大的；大小相当的
suicide,"n. 自杀；自杀行为；自杀者
adj. 自杀的
vt. 自杀
vi. 自杀"
implication,n. 含义；暗示；牵连，卷入；可能的结果，影响
relieve,vt. 解除，减轻；使不单调乏味；换…的班；解围；使放心
dying,"n. 死，死亡
v. 死，死亡；枯萎；失去活力（die的ing形式）
adj. 临终的，垂死的"
constitutional,"n. 保健散步；保健运动
adj. 宪法的；本质的；体质上的；保健的"
hold,"n. 控制；保留
vi. 支持；有效；持续
vt. 持有；拥有；保存；拘留；约束或控制
又作“Hold住”使用，中英混用词汇，表示轻松掌控全局。
"
permissible,adj. 可允许的；获得准许的
morphine,n.  吗啡
terminally,adv. 最后；在末端；处于末期症状上；致命地
dosage,n. 剂量，用量
contend,"vi. 竞争；奋斗；斗争；争论
vt. 主张；为...斗争"
shield,"n. 盾；防护物；保护者
vt. 遮蔽；包庇；避开；保卫
vi. 防御；起保护作用"
sufficient,adj. 足够的；充分的
hasten,"vt. 加速；使赶紧；催促
vi. 赶快；急忙"
maintain,vt. 维持；继续；维修；主张；供养
prescribe,"vt. 规定；开处方
vi. 规定；开药方"
legitimate,"adj. 合法的；正当的；合理的；正统的
vt. 使合法；认为正当（等于legitimize）"
homicide,n. 过失杀人；杀人犯
fuel,"n. 燃料；刺激因素
vt. 供以燃料，加燃料
vi. 得到燃料"
prolong,vt. 延长；拖延
agony,n. 苦恼；极大的痛苦；临死的挣扎
release,"n. 释放；发布；让与
vt. 释放；发射；让与；允许发表"
ineffectual,"n. 无用的人；无一技之长者
adj. 无效的，不起作用的；徒劳无益的"
hospice,n. 收容所；旅客招待所；救济院
code,"n. 代码，密码；编码；法典
vt. 编码；制成法典
vi. 指定遗传密码"
initiative,"n. 主动权；首创精神
adj. 主动的；自发的；起始的"
translate into,"v. 译成
 翻译成；转化为；把…转化成"
constitute,vt. 组成，构成；建立；任命
systematic,adj. 系统的；体系的；有系统的； 分类的；一贯的，惯常的
presumptively, 据推测
incompetently,adv. 无能力地；不胜任地
suspension,n. 悬浮；暂停；停职
draw,"n. 平局；抽签
vi. 拉；拖
vt. 画；拉；吸引"
trace,"n. 痕迹，踪迹；微量； 迹线；缰绳
vt. 追踪，查探；描绘；回溯
vi. 追溯；沿路走"
trait,n. 特性，特点；品质；少许
human nature,"n. 人性
 人之天性；人的本性；人类本性"
practice,"n. 实践；练习；惯例
vt. 练习；实习；实行
vi. 练习；实习；实行"
discard,"n. 抛弃；被丢弃的东西或人
vt. 抛弃；放弃；丢弃
vi. 放弃"
explanatory,adj. 解释的；说明的
obscure,"adj. 昏暗的，朦胧的；晦涩的，不清楚的；隐蔽的；不著名的，无名的
vt. 使…模糊不清，掩盖；隐藏；使难理解
n. 某种模糊的或不清楚的东西"
formulate,vt. 规划；用公式表示；明确地表达
assign,"vt. 分配；指派； 赋值
vi. 将财产过户（尤指过户给债权人）"
states of mind, 心态；意识状态；心智状态
accessible,adj. 易接近的；可进入的；可理解的
prescientific,adj. 科学以前的，近代科学以前的
entrenched,"v. 确立；保证；挖掘壕沟（entrench的过去分词）
adj. 根深蒂固的；确立的，不容易改的"
dignity,n. 尊严；高贵
autonomous,adj. 自治的；自主的；自发的
credit,"n. 信用，信誉； 贷款；学分；信任；声望
vt. 相信，信任；把…归给，归功于；赞颂"
adjust,"vt. 调整，使…适合；校准
vi. 调整，校准；适应"
a host of,"det. 很多
 大量；许多；一大群"
self-conscious,"adj. 难为情的
adj. 自觉的"
accomplishment,n. 成就；完成；技艺，技能
newsletter,n. 时事通讯
review,"n. 回顾；复习；评论；检讨；检阅
vt. 回顾；检查；复审
vi. 回顾；复习功课；写评论"
sponsor,"n. 赞助者；主办者；保证人
vt. 赞助；发起"
dynamic,"n. 动态；动力
adj. 动态的；动力的；动力学的；有活力的"
supportive,adj. 支持的；支援的；赞助的
visible,"n. 可见物；进出口贸易中的有形项目
adj. 明显的；看得见的；现有的；可得到的"
attention span,"na. 一个人能集中注意力于某事的时间
 注意广度；注意力的持续时间；注意力时长"
participant,"n. 参与者；关系者
adj. 参与的；有关系的"
commitment,n. 承诺，保证；委托；承担义务；献身
state,"n. 国家；州；情形
adj. 国家的；州的；正式的
vt. 规定；声明；陈述"
spymaster,n. 间谍组织的首脑
strategic,adj. 战略上的，战略的
espionage,n. 间谍；间谍活动；刺探
pastime,n. 娱乐，消遣
reshape,vt. 改造；再成形
vocation,n. 职业；天职；天命；神召
give birth to, 生（孩子），生育; 引起，产生; 娩出; 娩
point-and-click,n. 指向-点击
spook,"n. 鬼；幽灵
vt. 惊吓；鬼怪般地出没
vi. 受惊"
influential,"adj. 有影响的；有势力的
n. 有影响力的人物"
compile,vt. 编译；编制；编辑； 汇编
mastery,n. 掌握；精通；优势；征服；统治权
splash,"n. 飞溅的水；污点；卖弄
vt. 溅，泼；用...使液体飞溅
vi. 溅湿；溅开"
mutually,adv. 互相地；互助
reinforce,"n. 加强；加固物；加固材料
vt. 加强，加固；强化；补充
vi. 求援；得到增援；给予更多的支持"
distribution,n. 分布；分配
vacuum,"n. 真空；空间；真空吸尘器
adj. 真空的；利用真空的；产生真空的
vt. 用真空吸尘器清扫"
bit,"n.  比特（二进位制信息单位）；少量；马嚼子；辅币；老一套；一点，一块
adj. 很小的；微不足道的
vt. 咬（bite的过去式和过去分词）
vt. 控制
adv. 有点儿；相当"
sign-up,n. 注册; 签约
keep,"vt. 保持；经营；遵守；饲养
vi. 保持；继续不断
n. 保持；生计；生活费"
lean,"vi. 倾斜；倚靠；倾向；依赖
adj. 瘦的；贫乏的，歉收的
vt. 使倾斜
n. 瘦肉；倾斜；倾斜度"
outsider,n. 外人；无取胜希望者
brief,"n. 摘要，简报；概要，诉书
adj. 简短的，简洁的；短暂的，草率的
vt. 简报，摘要；作…的提要"
dramatic,adj. 戏剧的；急剧的；引人注目的；激动人心的
paraphrase,"n. 释义；解释；意译
vt. 释义"
triumph,"n. 胜利，凯旋；欢欣
vi. 获得胜利，成功"
misguided,"adj. 被误导的
v. 使入歧途（misguide的过去分词）"
cause,"n. 原因；事业；目标
vt. 引起；使遭受"
biomedical,adj. 生物医学的
forcefully,adv. 强有力地；激烈地；有说服力地
advocate,"n. 提倡者；支持者；律师
vt. 提倡，主张，拥护"
target,"n. 目标；靶子
vt. 把……作为目标；规定……的指标；瞄准某物"
allegation,n. 指控; 陈述，主张; 宣称; 陈词，陈述;
rule out,"na. 排除
 排除…的可能性；划去；拒绝考虑"
respond to,"v. 响应
 对…反应；回答；对…作出反应"
staff,"n. 职员；参谋；棒；支撑
adj. 职员的；行政工作的
vt. 供给人员；给…配备职员
vi. 雇用工作人员"
booth,n. 货摊；公用电话亭
fair,"n. 展览会；市集；美人
adj. 公平的；美丽的，白皙的； 晴朗的
vi. 转晴
adv. 公平地；直接地；清楚地"
brochure,n. 手册，小册子
immunization,n. 免疫
vaccine,"n. 疫苗；牛痘苗
adj. 疫苗的；牛痘的"
epidemic,"n. 传染病；流行病；风尚等的流行
adj. 流行的；传染性的"
well-meaning,adj. 善意的；好心的
compassionate,"adj. 慈悲的；富于同情心的
vt. 同情；怜悯"
term,"n. 术语；学期；期限；条款；(代数式等的)项
vt. 把…叫做"
molecular,adj.  分子的；由分子组成的
hip,"n. 臀部；蔷薇果；忧郁
adj. 熟悉内情的；非常时尚的"
bypass,"n. 旁路； 支路
vt. 绕开；忽视；设旁路；迂回"
vaccination,n. 接种疫苗；种痘
shot,"n. 发射；炮弹；射手；镜头
v. 射击（shoot的过去式和过去分词）
adj. 用尽的；破旧的；杂色的，闪光的"
wasteful,adj. 浪费的，不经济的；奢侈的
at best,"na. 充其量也不过
 至多；最多；最好也只是"
at worst,"adv. 无论怎样坏
 在最坏的情况下；最差的；就最不利的一方面看"
adopt,"vi. 采取；过继
vt. 采取；接受；收养；正式通过"
misinformation,n. 误报；错误的消息
unchallenged,adj. 不成问题的；未引起争论的； 不回避的
deceptive,adj. 欺诈的；迷惑的；虚伪的
stakeholder,n. 利益相关者；赌金保管者
recruit,"n. 招聘；新兵；新成员
vi. 复原；征募新兵；得到补充；恢复健康
vt. 补充；聘用；征募；使…恢复健康"
personality,n. 个性；品格；名人
uninformed,adj. 无知的；未被通知的；未受教育的；不学无术的
citizenry,n. 市民；公民
extinguish,vt. 熄灭；压制；偿清
combine,"n. 联合收割机；联合企业
vt. 使化合；使联合，使结合
vi. 联合，结合；化合"
merge,"vt. 合并；使合并；吞没
vi. 合并；融合"
heighten,"vt. 提高；增高；加强；使更显著
vi. 升高；变强"
merger,n. （企业等的）合并；并购；吸收（如刑法中重罪吸收轻罪）
freight,"n. 货运；运费；船货
vt. 运送；装货；使充满"
carrier,n.  载体；运送者；带菌者；货架
account for,"na. 证明；由于；说明(银钱等的)用途；打死
 解释；占；说明…的原因"
a series of,"na. 一系列；许多
 一连串；一连串的；一系列的"
substantial,"n. 本质；重要材料
adj. 大量的；实质的；内容充实的"
coordinate,"n. 坐标；同等的人或物
vt. 调整；整合
adj. 并列的；同等的
vi. 协调"
monopoly,n. 垄断；垄断者；专卖权
remove,"n. 移动；距离；搬家
vt. 移动，迁移；开除；调动
vi. 移动，迁移；搬家"
bulk,"n. 体积，容量；大多数，大部分；大块
vt. 使扩大，使形成大量；使显得重要"
costly,adj. 昂贵的；代价高的
