precise,adj. 精确的；明确的；严格的
stable,"n. 马厩；牛棚
adj. 稳定的；牢固的；坚定的
vt. 赶入马房
vi. 被关在马厩"
accountant,n. 会计师；会计人员
abstract,"n. 摘要；抽象；抽象的概念
adj. 抽象的；深奥的
vt. 摘要；提取；使……抽象化；转移(注意力、兴趣等)；使心不在焉
vi. 做摘要；写梗概"
brake,"n. 闸，刹车；阻碍
vt. 刹车
vi. 刹车"
pack,"n. 包装；一群；背包；包裹；一副
vt. 包装；压紧；捆扎；挑选；塞满
vi. 挤；包装货物；被包装；群集"
spy,"n. 间谍；密探
vt. 侦察；发现；暗中监视
vi. 侦察；当间谍"
praise,"n. 赞扬；称赞；荣耀；崇拜
vt. 赞美，歌颂；表扬
vi. 赞美；赞扬"
crossing,"n. 十字路口；杂交；横渡；横道
v. 横越（cross的现在分词）"
power,"n. 力量，能力；电力，功率；政权，势力； 幂
adj. 借影响有权势人物以操纵权力的
vt. 激励；供以动力；使…有力量
vi. 快速前进"
shade,"n. 树荫；阴影；阴凉处；遮阳物；（照片等的）明暗度；少量、些微；细微的差别
vt. 使阴暗；使渐变；为…遮阳；使阴郁；掩盖
vi. （颜色、色彩等）渐变"
arbitrary,adj.  任意的；武断的；专制的
available,adj. 可获得的；可购得的；可找到的；有空的
advertisement,n. 广告，宣传
contemporary,"n. 同时代的人；同时期的东西
adj. 当代的；同时代的；属于同一时期的"
regret,"n. 遗憾；抱歉；悲叹
vi. 感到后悔；感到抱歉
vt. 后悔；惋惜；哀悼"
park,"n. 公园； 停车场
vt. 停放；放置；寄存
vi. 停放车辆"
director,n. 主任，主管；导演；人事助理
burst,"n. 爆发，突发；爆炸
vt. 爆发，突发；爆炸
vi. 爆发，突发；爆炸"
push,"n. 推，决心；大规模攻势；矢志的追求
vi. 推进；增加；努力争取
vt. 推动，增加；对…施加压力，逼迫；按；说服"
permit,"n. 许可证，执照
vt. 许可；允许
vi. 许可；允许"
mouthful,n. 一口，满口
guilty,adj. 有罪的；内疚的
load,"n. 负载，负荷；工作量；装载量
vi.  加载；装载；装货
vt. 使担负；装填"
neither,"conj. 也不；既不
adv. 两个都不；既不……也不
adj. 两者都不的
pron. 两者都不"
solid,"n. 固体；立方体
adj. 固体的；可靠的；立体的；结实的；一致的"
competition,n. 竞争；比赛，竞赛
practice,"n. 实践；练习；惯例
vt. 练习；实习；实行
vi. 练习；实习；实行"
attraction,n. 吸引，吸引力；引力；吸引人的事物
teamwork,n. 团队合作；协力
failure,n. 失败；故障；失败者；破产
volunteer,"n. 志愿者；志愿兵
adj. 志愿的
vt. 自愿
vi. 自愿"
graduate,"n. 研究生；毕业生
adj. 毕业的；研究生的
vt. 授予…学位；分等级；标上刻度
vi. 毕业；渐变"
bravery,n. 勇敢；勇气
lift,"vt. 举起；提升；鼓舞；空运；抄袭
vi. 消散；升起；耸立
n. 电梯；举起；起重机；搭车"
skillfully,adv. 巧妙地；精巧地
market,"n. 市场；行情；股票市场；市面；集市；销路；商店
vt. 在市场上出售
vi. 做买卖"
biography,n. 传记；档案；个人简介
tourist,"n. 旅行者，观光客
adj. 旅游的
vt. 在旅行参观
vi. 旅游；观光
adv. 坐旅游车厢；坐经济舱"
tip,"n. 小费；尖端；小建议，小窍门；轻拍
vt. 给小费；倾斜；翻倒；装顶端
vi. 给小费；翻倒；倾覆"
appetite,n. 食欲；嗜好
web,"n. 网；卷筒纸；蹼；织物；圈套
vt. 用网缠住；使中圈套
vi. 形成网"
physical,"n. 体格检查
adj.  物理的；身体的；物质的；根据自然规律的，符合自然法则的"
stupid,"n. 傻瓜，笨蛋
adj. 愚蠢的；麻木的；乏味的"
native,"adj. 本国的；土著的；天然的；与生俱来的；天赋的
n. 本地人；土产；当地居民"
respect,"n. 尊敬，尊重；方面；敬意
vt. 尊敬，尊重；遵守"
successful,adj. 成功的；一帆风顺的
relax,"vi. 放松，休息；松懈，松弛；变从容；休养
vt. 放松；使休息；使松弛；缓和；使松懈"
untrue,adj. 不真实的；不合标准的；不忠实的；不正当的
lame,"adj. 跛足的；僵痛的；不完全的；无说服力的；差劲的，蹩脚的
vi. 变跛
vt. 使跛；使成残废"
poster,n. 海报，广告；招贴
irrigation,n. 灌溉； 冲洗；冲洗法
shake,"n. 摇动；哆嗦
vt. 动摇；摇动；震动；握手
vi. 动摇；摇动；发抖"
pretty,"n. 有吸引力的事物（尤指饰品）；漂亮的人
adj. 漂亮的；可爱的；优美的
adv. 相当地；颇"
left-wing,adj. 左派的
overweight,"adj. 超重的；过重的
vt. 使负担过重
n. 超重"
shot,"n. 发射；炮弹；射手；镜头
v. 射击（shoot的过去式和过去分词）
adj. 用尽的；破旧的；杂色的，闪光的"
distance,"n. 距离；远方；疏远；间隔
vt. 疏远；把…远远甩在后面"
pump,"n. 泵，抽水机；打气筒
vt. 打气；用抽水机抽…
vi. 抽水"
turn,"n. 转弯；变化；(损害或有益于别人的)行为，举动，举止
vi. 转向；转变；转动
vt. 转动，使旋转；转弯；翻过来；兑换"
quarrel,"n. 吵架；反目；怨言；争吵的原因；方头凿
vi. 吵架；争论；挑剔"
miss,"n. 女士，小姐，年轻未婚女子
vt. 错过，想念，缺（勤）"
review,"n. 回顾；复习；评论；检讨；检阅
vt. 回顾；检查；复审
vi. 回顾；复习功课；写评论"
melon,n. 瓜；甜瓜；大肚子；圆鼓鼓像瓜似的东西
prevent,"vt. 预防，防止；阻止
vi. 妨碍，阻止"
abroad,"n. 海外；异国
adj. 往国外的
adv. 在国外；到海外"
urge,"n. 强烈的欲望，迫切要求；推动力
vi. 强烈要求
vt. 力劝，催促；驱策，推进"
imagine,"vi. 想像；猜想；想像起来
vt. 想像；猜想；臆断"
recreation,n. 娱乐；消遣；休养
rare,"adj. 稀有的；稀薄的；半熟的
adj. 杰出的；极度的；非常好的
adv. 非常；极其
vi. 用后腿站起；渴望"
examine,"vt. 检查；调查； 检测；考试
vi. 检查；调查"
unwilling,adj. 不愿意的；不情愿的；勉强的
hit,"n. 打；打击；（演出等）成功；讽刺
vt. 打击；袭击；碰撞；偶然发现；伤…的感情
vi. 打；打击；碰撞；偶然碰上"
split,"n. 劈开；裂缝
adj. 劈开的
vt. 分离；使分离；劈开；离开；分解
vi. 离开；被劈开；断绝关系"
leftover,"n. 残留物；吃剩的饭菜；剩余物
adj. 残余的；吃剩的"
advance,"n. 发展；前进；增长；预付款
adj. 预先的；先行的
vt. 提出；预付；使……前进；将……提前
vi. 前进；进展；上涨"
reliable,"n. 可靠的人
adj. 可靠的；可信赖的"
humorous,adj. 诙谐的，幽默的；滑稽的，可笑的
carry,"n. 运载； 进位；射程
vi. 能达到；被携带；被搬运
vt. 拿，扛；携带；支持；搬运"
worthy,"n. 杰出人物；知名人士
adj. 值得的；有价值的；配得上的，相称的；可尊敬的；应…的"
greengrocer,n. 蔬菜水果商；菜贩
cuisine,n. 烹饪，烹调法
plot,"n. 情节；图；阴谋
vt. 密谋；绘图；划分；标绘
vi. 密谋；策划；绘制"
bare,"adj. 空的；赤裸的，无遮蔽的
vt. 露出，使赤裸"
control,"n. 控制；管理；抑制；操纵装置
vt. 控制；管理；抑制"
prejudice,"n. 偏见；侵害
vt. 损害；使有偏见"
liquid,"adj. 液体的；清澈的；明亮的；易变的
n. 液体，流体；流音"
surgeon,n. 外科医生
sheet,"n. 薄片，纸张；薄板；床单
adj. 片状的
vt. 覆盖；盖上被单；使成大片
vi. 成片流动；大片落下"
erupt,"vi. 爆发；喷出；发疹；长牙
vt. 爆发；喷出"
perfect,"n. 完成式
adj. 完美的；最好的；精通的
vt. 使完美；使熟练"
compete,vi. 竞争；比赛；对抗
square,"n. 平方；广场；正方形
adj. 平方的；正方形的；直角的；正直的
vt. 使成方形；与…一致
vi. 一致；成方形
adv. 成直角地"
marry,"vt. 嫁；娶；与……结婚
vi. 结婚"
supply,"n. 供给，补给；供应品
vt. 供给，提供；补充
vi. 供给；替代"
barrier,"n. 障碍物，屏障；界线
vt. 把…关入栅栏"
eyewitness,n. 目击者；见证人
row,"n. 行，排；划船；街道；吵闹
vt. 划船；使……成排
vi. 划船；争吵"
bleed,"vt. 使出血；榨取
vi. 流血；渗出；悲痛"
throw,"n. 投掷；冒险
vt. 投；抛；掷
vi. 抛；投掷"
gradually,adv. 逐步地；渐渐地
percent,"n. 百分比，百分率；部分；百分数
adj. 百分之…的
adv. 以百分之…地"
appearance,n. 外貌，外观；出现，露面
voyage,"n. 航行；航程；旅行记
vt. 飞过；渡过
vi. 航行；航海"
photographer,n. 摄影师；照相师
spin,"n. 旋转；疾驰
vi. 旋转；纺纱；吐丝；晕眩
vt. 使旋转；纺纱；编造；结网"
awesome,adj. 令人敬畏的；使人畏惧的；可怕的；极好的
wisdom,n. 智慧，才智；明智；学识；至理名言
unimportant,adj. 不重要的；琐碎的
sharp,"n. 尖头；骗子；内行
adj. 急剧的；锋利的；强烈的；敏捷的；刺耳的
vt. 磨快；把音调升高
adv. 急剧地；锐利地；突然地
vi. 打扮；升音演奏"
rot,"n. 腐烂；腐败；腐坏
vt. 使腐烂；使腐朽；使堕落
vi. 腐烂；腐败；堕落
int. （表示厌恶、蔑视、烦恼等）胡说；糟了"
confirm,vt. 确认；确定；证实；批准；使巩固
yummy,"n. 美味的东西；令人喜爱的东西
adj. 好吃的；美味的；愉快的"
convenience,n. 便利；厕所；便利的事物
scientist,n. 科学家
ahead,"adj. 向前；在前的；领先
adv. 向前地；领先地；在（某人或某事物的）前面；预先；在将来，为未来"
cough,"n. 咳嗽，咳嗽声；咳嗽病
vt. 咳出
vi. 咳嗽"
breakthrough,n. 突破；突破性进展
sympathy,n. 同情；慰问；赞同
stage,"n. 阶段；舞台；戏剧；驿站
vt. 举行；上演；筹划
vi. 举行；适于上演；乘驿车旅行"
starve,"vi. 饿死；挨饿；渴望
vt. 使饿死；使挨饿"
harmful,adj. 有害的；能造成损害的
round,"n. 圆；循环；一回合；圆形物
prep. 附近；绕过；大约；在…周围
adj. 圆的；完全的；大概的；肥胖的
vt. 完成；围捕；绕行；弄圆
adv. 在周围；迂回地；朝反方向；挨个
vi. 进展；变圆；环行；发胖"
triangle,n. 三角（形）；三角关系；三角形之物；三人一组
mad,"adj. 疯狂的；发疯的；愚蠢的；着迷的
n. 狂怒"
cash,"n. 现款，现金
vt. 将…兑现；支付现款"
inspect,"vt. 检查；视察；检阅
vi. 进行检查；进行视察"
signal,"n. 信号；暗号；导火线
adj. 显著的；作为信号的
vt. 标志；用信号通知；表示
vi. 发信号"
position,"n. 位置，方位；职位，工作；姿态；站位
vt. 安置；把……放在适当位置"
ceremony,n. 典礼，仪式；礼节，礼仪；客套，虚礼
abrupt,adj. 生硬的；突然的；唐突的；陡峭的
proper,"adj. 适当的；本身的；特有的；正派的
adv. 完全地"
significance,n. 意义；重要性；意思
rope,"n. 绳，绳索
vt. 捆，绑
vi. 拧成绳状"
stare,"n. 凝视；注视
vt. 凝视，盯着看
vi. 凝视，盯着看；显眼"
tidy,"n. 椅子的背罩
adj. 整齐的；相当大的
vi. 整理；收拾
vt. 整理；收拾；弄整齐"
remote,"n. 远程
adj. 遥远的；偏僻的；疏远的"
patient,"n. 病人；患者
adj. 有耐心的，能容忍的"
playroom,n. 游戏室；娱乐室
continent,"n. 大陆，洲，陆地
adj. 自制的，克制的"
necktie,n. 领带
agenda,n. 议程；日常工作事项；日程表
bonus,n. 奖金；红利；额外津贴
transform,"vt. 改变，使…变形；转换
vi. 变换，改变；转化"
brush,"n. 刷子；画笔；毛笔；争吵；与某人有效冲突；灌木丛地带；矮树丛；狐狸尾巴
vi. 刷；擦过；掠过；（经过时）轻触
vt. 刷；画；"
freeway,n. 高速公路
affection,n. 喜爱，感情；影响；感染
metal,"n. 金属；合金
vt. 以金属覆盖
adj. 金属制的"
injury,n. 伤害，损害；受伤处
acknowledge,vt. 承认；答谢；报偿；告知已收到
upset,"n. 混乱；翻倒；颠覆
adj. 心烦的；混乱的；弄翻的
vt. 使心烦；颠覆；扰乱
vi. 翻倒"
raise,"n. 高地；上升；加薪
vt. 提高；筹集；养育；升起
vi. 上升"
champion,"n. 冠军；拥护者；战士
adj. 优胜的；第一流的
vt. 支持；拥护"
sorrow,"n. 悲伤；懊悔；伤心事
vt. 为…悲痛
vi. 懊悔；遗憾；感到悲伤"
amount,"n. 数量；总额，总数
vi. 总计，合计；相当于；共计；产生…结果"
baggage,n. 行李； 辎重（军队的）
steep,"n. 峭壁；浸渍
adj. 陡峭的；不合理的；夸大的；急剧升降的
vt. 泡；浸；使…充满
vi. 泡；沉浸"
airline,"n. 航空公司；航线
adj. 航线的"
candidate,n. 候选人，候补者；应试者
dash,"n. 破折号；冲撞
vi. 猛冲；撞击
vt. 使…破灭；猛撞；泼溅"
bitter,"n. 苦味；苦啤酒
adj. 苦的；痛苦的；尖刻的；充满仇恨的
vt. 使变苦
adv. 激烈地；严寒刺骨地"
authentic,adj. 真正的，真实的；可信的
satellite,n. 卫星；人造卫星；随从；卫星国家
stress,"n. 压力；强调；紧张；重要性；重读
vt. 强调；使紧张；加压力于；用重音读"
worth,"n. 价值；财产
adj. 值…的"
print,"n. 印刷业；印花布；印刷字体；印章；印记
vt. 印刷；打印；刊载；用印刷体写；在…印花样
vi. 印刷；出版；用印刷体写"
picnic,"n. 野餐
vi. 去野餐"
mop,"vt. 擦干；用拖把拖洗
vi. 用拖把擦洗地板；扮鬼脸
n. 拖把；蓬松的头发；鬼脸"
sightseeing,"n. 观光；游览
v. 观光（sightsee的ing形式）；游览
adj. 观光的；游览的"
familiar,"n. 常客；密友
adj. 熟悉的；常见的；亲近的"
universe,n. 宇宙；世界；领域
sincerely,adv. 真诚地；由衷地，诚恳地
recover,"n. 还原至预备姿势
vt. 恢复；弥补；重新获得
vi. 恢复；胜诉；重新得球"
variety,n. 多样；种类；杂耍；变化，多样化
decision,n. 决定，决心；决议
forecast,"n. 预测，预报；预想
vt. 预报，预测；预示
vi. 进行预报，作预测"
amusement,n. 消遣，娱乐；乐趣
healthy,adj. 健康的，健全的；有益于健康的
apply,"vi. 申请；涂，敷；适用；请求
vt. 申请；涂，敷；应用"
grandparent,n. 祖父母；祖父或祖母；外祖父母；外祖父或外祖母
observe,"vt. 庆祝
vt. 观察；遵守；说；注意到；评论
vi. 观察；说；注意到；评论"
liberate,vt. 解放；放出；释放
prefer,"vt. 更喜欢；宁愿；提出；提升
vi. 喜欢；愿意"
attract,"vt. 吸引；引起
vi. 吸引；有吸引力"
unemployment,n. 失业；失业率；失业人数
handle,"n.  把手；柄；手感；口实
vt. 处理；操作；运用；买卖；触摸
vi. 搬运；易于操纵"
onion,n. 洋葱；洋葱头
cruel,adj. 残酷的，残忍的；使人痛苦的，让人受难的；无情的，严酷的
hunt,"n. 狩猎；搜寻
vt. 打猎；搜索
vi. 打猎；搜寻"
either,"conj. 也（用于否定句或否定词组后）；根本
prep. 任何一个
adj. 两者之中任一的；两者之中每一的
pron. 任一，两方，随便哪一个；两者中的一个或另一个"
diamond,"n. 钻石，金刚石；菱形；方块牌
adj. 菱形的；金刚钻的"
