assignment,n. 分配；任务；作业；功课
solo,"n. 独奏；独唱；独奏曲
adj. 独奏的；独唱的；单独的
vt. 单人攀登；单独驾
vi. 单独表演；放单飞
adv. 单独地"
sincerely,adv. 真诚地；由衷地，诚恳地
relevant to,"adj. 有关
 与…有关的；相关，切题；对……有关"
be relevant to,"v. 有关
 与…有关；和……相关；与……相关"
be rooted in, 扎根于；植根于；根源在于
be rooted in, 扎根于；植根于；根源在于
participate in,"v. 参加；分享
 参与；参加某事；参加例句"
on board,"na. 在船上；在车上；出垒
 到船上；上船；已装船"
Shannon,n. 香农
worldwide,"adj. 全世界的
adv. 在世界各地"
adulthood,n. 成年；成人期
childishness,n. 童心；幼稚
responsibility,n. 责任，职责；义务
ceremony,n. 典礼，仪式；礼节，礼仪；客套，虚礼
youth,n. 青年；青春；年轻；青少年时期
coming-of-age,n. 成年；成熟
occasion,"n. 时机，机会；场合；理由
vt. 引起，惹起"
topic,n. 主题（等于theme）；题目；一般规则；总论
citizen,n. 公民；市民；老百姓
multiculturalism,n. 多元文化论
civic,adj. 市的；公民的，市民的
respect,"n. 尊敬，尊重；方面；敬意
vt. 尊敬，尊重；遵守"
duty,n. 责任； 关税；职务
event,n. 事件，大事；项目；结果
tradition,n. 惯例，传统；传说
entry,n. 进入；入口；条目；登记；报关手续；对土地的侵占
womanhood,n. 女人；女人气质；女子成年期
marriage,n. 结婚；婚姻生活；密切结合，合并
sewing,"n. 缝纫；缝纫业
v. 缝（sew的ing形式）"
household,"n. 全家人，一家人；(包括佣工在内的)家庭，户
adj. 家庭的；日常的；王室的"
upcoming,adj. 即将来临的
male,"adj. 男性的；雄性的；有力的
n. 男人；雄性动物"
individual,"n. 个人，个体
adj. 个人的；个别的；独特的"
sacred,adj. 神的；神圣的；宗教的；庄严的
thread,"n. 线；螺纹；思路；衣服；线状物；玻璃纤维；路线
vt. 穿过；穿线于；使交织
vi. 通过；穿透过"
perform,"vt. 执行；完成；演奏
vi. 执行，机器运转；表演"
strand,"n. 线；串；海滨
vt. 使搁浅；使陷于困境；弄断；使落后
vi. 搁浅"
represent,"vt. 代表；表现；描绘；回忆；再赠送
vi. 代表；提出异议"
intellectual,"n. 知识分子；凭理智做事者
adj. 智力的；聪明的；理智的"
vary,"vi. 变化；变异；违反
vt. 改变；使多样化；变奏"
significantly,adv. 显著地；相当数量地
specific,"n. 特性；细节；特效药
adj. 特殊的，特定的；明确的；详细的； 具有特效的"
ritual,"n. 仪式；惯例；礼制
adj. 仪式的；例行的；礼节性的"
symbolise,vt. 象征，代表（等于symbolize）
transition,n. 过渡；转变； 转换；变调
childhood,n. 童年时期；幼年时代
leave ... behind,"na. 遗留；留下；追过；留在后头
 超过；落后；丢弃"
shoulder the responsibility, 承担责任；肩负责任；担起责任
on the rise,"na. 在涨；在增加；好转
 在上升；正在上升；在上涨"
a sense of, 一种…感觉
take on,"na. 担任(工作等)；较量；装(某种样子)；呈现(形势)
 承担；雇用；雇佣"
give ... away,"na. 赠送；分发；放弃；露马脚
 泄露；出卖；分送"
Jugendfeier,
Latin America,"n. 拉丁美洲（以西班牙语或葡萄牙语为主要语言的美洲地区）
 拉美；拉丁美洲区；拉丁美洲地区"
quinceanera,n. （女孩十五岁生日时要举行的）成人礼
Guru,
homecoming,n. 归国；同学会；省亲回家
refer,"vt. 涉及；委托；归诸于；使…求助于
vi. 参考；涉及；提到；查阅"
graduate,"n. 研究生；毕业生
adj. 毕业的；研究生的
vt. 授予…学位；分等级；标上刻度
vi. 毕业；渐变"
campus,n. （大学）校园；大学，大学生活；校园内的草地
reminisce,"vt. 追忆说
vi. 回忆"
current,"n. （水，气，电）流；趋势；涌流
adj. 现在的；流通的，通用的；最近的；草写的"
alumni,n. （统称）校友，毕业生
themed,"adj. 以…为主题的
v. 以一个主题提供（theme的过去分词）"
rent,"n. 租金
vt. 出租；租用；租借
vi. 租；出租"
senior,"n. 上司；较年长者；毕业班学生
adj. 高级的；年长的；地位较高的；年资较深的，资格较老的"
pajamas,n. 睡衣；宽长裤
election,n. 选举；当选；选择权；上帝的选拔
accompany,"vt. 陪伴，伴随；伴奏
vi. 伴奏，伴唱"
court,"n. 法院；球场；朝廷；奉承
vt. 招致（失败、危险等）；向…献殷勤；设法获得
vi. 求爱"
prince,n. 王子，国君；亲王；贵族
princess,n. 公主；王妃；女巨头
select,"n. 被挑选者；精萃
adj. 精选的；挑选出来的；极好的
vt. 挑选；选拔
vi. 挑选"
elect,"n. 被选的人；特殊阶层；上帝的选民
adj. 选出的；当选的；卓越的
vi. 作出选择；进行选举
vt. 选举；选择；推选"
involve,vt. 包含；牵涉；使陷于；潜心于
stage,"n. 阶段；舞台；戏剧；驿站
vt. 举行；上演；筹划
vi. 举行；适于上演；乘驿车旅行"
parade,"n. 游行；阅兵；炫耀；行进；阅兵场
vt. 游行；炫耀；列队行进
vi. 游行；炫耀；列队行进"
march,n. 三月
band,"n. 带，环； 波段；(演奏流行音乐的) 乐队
n. n.乐队；队；一群
vi. 用带绑扎；给...镶边"
classic,"n. 名著；经典著作；大艺术家
adj. 经典的；古典的，传统的；最优秀的"
socialise,"vt. 使社会化；使社会主义化
vi. 参加社交活动；发生社交往来（等于socialize）"
casual,"n. 便装；临时工人；待命士兵
adj. 随便的；非正式的；临时的；偶然的"
semi-,pref. 半；部分
formal,"n. 正式的社交活动；夜礼服
adj. 正式的；拘谨的；有条理的"
affair,n. 事情；事务；私事；（尤指关系不长久的）风流韵事
DJ,abbr. 流行音乐播音员，流行音乐节目主持人（disc jockey）；地方初审法院法官（District Judge）；司法部（Department of Justice）
gymnasium,n. 体育馆；健身房
cafeteria,n. 自助餐厅
entire,adj. 全部的，整个的；全体的
centre around, 围绕；以……为中心；集中于
show up,"na. 显眼；揭发；嘲笑；露面
 出现；出席；揭露"
involved in sth.,
be involved in,"na. 被包入；被卷入漩涡
 参与；涉及；介入"
tip,"n. 小费；尖端；小建议，小窍门；轻拍
vt. 给小费；倾斜；翻倒；装顶端
vi. 给小费；翻倒；倾覆"
regular,"n. 常客；正式队员；中坚分子
adj. 定期的；有规律的；合格的；整齐的；普通的
adv. 定期地；经常地"
concentrate,"n. 浓缩，精选；浓缩液
vi. 集中；浓缩；全神贯注；聚集
vt. 集中；浓缩"
concern,"n. 关系；关心；关心的事；忧虑
vt. 涉及，关系到；使担心"
facility,n. 设施；设备；容易；灵巧
puzzled,adj. 困惑的；茫然的；搞糊涂的
locker,n. 柜，箱；上锁的人；有锁的橱柜；锁扣装置；有锁的存物柜
dustbin,n. 垃圾箱；吃货
gymnastics,n. 体操；体育；体操运动
take part in,"na. 参加；贡献
 参与；参加活动；参与…活动"
concentrate on,"na. 集中在；专心于
 全神贯注于；专注于；集中精力于"
Lizzie,
gesture,"n. 姿态；手势
vt. 用动作表示
vi. 作手势；用动作示意"
differ,"vi. 相异；意见分歧
vt. 使…相异；使…不同"
mostly,adv. 主要地；通常；多半地
besides,"prep. 除…之外
adv. 此外；而且"
hug,"n. 拥抱；紧抱；固执
vi. 拥抱；紧抱在一起；挤在一起
vt. 拥抱；紧抱；抱有，坚持"
alternative,"n. 二中择一；供替代的选择
adj. 供选择的；选择性的；交替的"
differ from,"na. 和…不一致；和…意见不同
 不同于；和……不同；区别于"
Greece,希腊（欧洲南部国家）
Bulgaria,n. 保加利亚
souvenir,"n. 纪念品；礼物
vt. 把…留作纪念"
airline,"n. 航空公司；航线
adj. 航线的"
enquire,"vi. 询问；调查；问候（等于inquire）
vt. 询问；打听"
luggage,n. 行李；皮箱
regulation,"n. 管理；规则；校准
adj. 规定的；平常的"
charge,"n. 费用；电荷；掌管；控告；命令；负载
vt. 使充电；使承担；指责；装载；对…索费；向…冲去
vi. 充电；控告；索价；向前冲；记在账上"
fee,"n. 费用；酬金；小费
vt. 付费给……"
therefore,adv. 因此；所以
vodcast, 视频；视频播客；视频播课
prefer,"vt. 更喜欢；宁愿；提出；提升
vi. 喜欢；愿意"
witness,"n. 证人；目击者；证据
vt. 目击；证明；为…作证
vi. 作证人"
being,"n. 存在；生命；本质；品格
adj. 存在的；现有的"
beauty,n. 美；美丽；美人；美好的东西
blessed,"v. 祝福（bless的过去分词）
adj. 幸福的；受祝福的；神圣的"
to the fullest, 充分地；尽情地；最充分地
opinion,n. 意见；主张
partner,"n. 伙伴；合伙人；配偶
vt. 使合作；与…合伙
vi. 合伙；合股；成为搭档"
bow,"n. 弓；鞠躬；船首
adj. 弯曲的
vi. 鞠躬；弯腰
vt. 鞠躬；弯腰"
remind,vt. 提醒；使想起
participant,"n. 参与者；关系者
adj. 参与的；有关系的"
graceful,adj. 优雅的；优美的
nation,n. 国家；民族；国民
wreath,"n. 花冠；圈状物
vt. 环绕（等于wreathe）
vi. 盘旋（等于wreathe）"
symbol,n. 象征；符号；标志
Jew,"n. 犹太人；犹太教徒；守财奴
vt. 欺骗；杀价"
stationery,n. 文具；信纸
item,"n. 条款，项目；一则；一件商品（或物品）
adj. 又，同上
v. 记下；逐条列出"
indicate,vt. 表明；指出；预示；象征
dress up,"na. 乔装；装扮；为…打扮；盛装打扮
 穿上盛装；装饰；精心打扮"
stand for,"na. 忍耐；忍受；主张；拥护
 代表；象征；代替"
Seoul,n. 汉城，首尔（韩国首都）
sockencranz,
bat mitzvah,"n. 受诫礼（为 12 至 14 岁的犹太女孩举行的成人仪式）
 成人礼；犹太女孩成人礼；成人礼的女孩"
bar mitzvah,"n. 受诫礼（为年满 13 岁的犹太男孩举行的成人仪式）
v. 使受戒
 成年礼；成人礼；犹太男子的成年礼"
South African,
