visitor,n. 访问者，参观者；视察者；候鸟
elder,"n. 老人；长辈；年长者；父辈
adj. 年长的；年龄较大的；资格老的"
quarrel,"n. 吵架；反目；怨言；争吵的原因；方头凿
vi. 吵架；争论；挑剔"
housewife,n. 家庭主妇
little,"adj. 小的；很少的；短暂的；小巧可爱的
adv. 完全不
n. 少许；没有多少；短时间"
kindergarten,n. 幼儿园；幼稚园
eye,"n. 眼睛；视力；眼光；见解，观点
vt. 注视，看"
shy,"n. 投掷；惊跳
adj. 害羞的；畏缩的，胆怯的
vi. 投；畏缩；惊退；厌恶
vt. 投；乱掷"
joke,"n. 玩笑，笑话；笑柄
vt. 开…的玩笑
vi. 开玩笑"
rude,adj. 粗鲁的；无礼的；狂暴的；未开化的
broke,"v. 打破，断掉（break的过去式）
adj. 一文不名的，破产的"
suppose,"conj. 假使…结果会怎样
vt. 假设；认为；让（虚拟语气）；推想
vi. 猜想；料想"
jealous,adj. 妒忌的；猜疑的；唯恐失去的；戒备的
mean,"adj. 平均的；卑鄙的；低劣的；吝啬的
vt. 意味；想要；意欲
n. 平均值
vi. 用意"
shut,"n. 关闭
adj. 关闭的；围绕的
vi. 关上；停止营业
vt. 关闭；停业；幽禁"
concern,"n. 关系；关心；关心的事；忧虑
vt. 涉及，关系到；使担心"
semi-,pref. 半；部分
independent,"n. 独立自主者；无党派者
adj. 独立的；单独的；无党派的；不受约束的"
boss,"n. 老板；首领；工头
vt. 指挥，调遣；当…的领导
vi. 当首领，发号施令"
clock,"n. 时钟；计时器
vt. 记录；记时
vi. 打卡；记录时间"
o'clock,abbr. …点钟（等于of the clock）
brother,"n. 兄弟；同事；战友
int. 我的老兄！"
tidy,"n. 椅子的背罩
adj. 整齐的；相当大的
vi. 整理；收拾
vt. 整理；收拾；弄整齐"
neat,adj. 灵巧的；整洁的；优雅的；齐整的；未搀水的；平滑的
organization,n. 组织；机构；体制；团体
be born,"v. 出生
 出生于；出世；诞生"
dual,"n. 双数；双数词
adj. 双的；双重的"
Nicaragua,n. 尼加拉瓜（拉丁美洲一国家）
Latin,"adj. 拉丁语的；拉丁人的
n. 拉丁语；拉丁人"
Argentinian,"n. 阿根廷人
adj. 阿根廷的；阿根廷人的"
do ... for a living,
jewelry,n. 珠宝；珠宝类
most,"adv. 最；非常，极其；最多；几乎
adj. 大部分的，多数的；最多的
n. 大部分，大多数"
tap,"n. 水龙头；轻打
vt. 轻敲；轻打；装上嘴子
vi. 轻拍；轻击；轻叩
vt. 采用，利用"
echo,"n. 回音；效仿
vt. 反射；重复
vi. 随声附和；发出回声"
symbol,n. 象征；符号；标志
brain,"n. 头脑，智力；脑袋
vt. 猛击…的头部"
discover,"vi. 发现
vt. 发现；发觉"
universe,n. 宇宙；世界；领域
scientific,adj. 科学的，系统的
development,n. 发展；开发；发育；住宅小区（专指由同一开发商开发的）； 显影
atomic bomb,"na. 原子弹
 原子弹又称裂变弹；核弹；原子火焰"
space,"n. 空间；太空；距离
vt. 隔开
vi. 留间隔"
electronics,n. 电子学；电子工业
link,"n.  链环，环节；联系，关系
vt. 连接，连结；联合，结合
vi. 连接起来；联系在一起；将人或物连接或联系起来"
confident,adj. 自信的；确信的
wavy,adj. 多浪的；波动起伏的
journal,n. 日报，杂志；日记；分类账
physics,n. 物理学；物理现象
matter,"n. 物质；事件
vi. 有关系；要紧"
energy,n.  能量；精力；活力；精神
give light to,
prize,"n. 奖品；奖赏；战利品
adj. 获奖的
vt. 珍视；捕获；估价"
describe,vt. 描述，形容；描绘
behave,"vi. 表现；（机器等）运转；举止端正；（事物）起某种作用
vt. 使守规矩；使表现得…"
stream,"n. 溪流；流动；潮流；光线
vt. 流出；涌出；使飘动
vi. 流；涌进；飘扬"
particle,n. 颗粒； 质点；极小量；小品词
relativity,n. 相对论；相关性；相对性
mass,"n. 块，团；群众，民众；大量，众多；质量
adj. 群众的，民众的；大规模的，集中的
vi. 聚集起来，聚集
vt. 使集合"
multiply,"vt. 乘；使增加；使繁殖；使相乘
vi. 乘；繁殖；增加
adv. 多样地；复合地
adj. 多层的；多样的"
square,"n. 平方；广场；正方形
adj. 平方的；正方形的；直角的；正直的
vt. 使成方形；与…一致
vi. 一致；成方形
adv. 成直角地"
publish,"vi. 出版；发行；刊印
vt. 出版；发表；公布"
shock,"n. 休克；震惊；震动；打击；禾束堆
adj. 浓密的；蓬乱的
vt. 使休克；使震惊；使震动；使受电击；把…堆成禾束堆
vi. 感到震惊；受到震动；堆成禾束堆"
institute,"n. 学会，协会；学院
vt. 开始（调查）；制定；创立；提起（诉讼）"
discussion,n. 讨论，议论
summary,"n. 概要，摘要，总结
adj. 简易的；扼要的"
loss,n. 减少；亏损；失败；遗失
cremate,vt. 火葬；烧成灰
bury,vt. 埋葬；隐藏
absolutely,adv. 绝对地；完全地
biology,n. （一个地区全部的）生物；生物学
excellent,adj. 卓越的；极好的；杰出的
quiet,"n. 安静；和平
adj. 安静的；安定的；不动的；温顺的
vt. 使平息；安慰
vi. 平静下来"
income,n. 收入，收益；所得
afford,vt. 给予，提供；买得起
agreeable,adj. 令人愉快的；适合的；和蔼可亲的
till,"prep. 直到
conj. 直到...为止
n.  冰碛；放钱的抽屉；备用现金
vt. 耕种；犁
vi. 耕种；耕耘"
flat,"n. 平地；公寓；平面
adj. 平的；单调的；不景气的；干脆的；平坦的；扁平的；浅的
vi. 逐渐变平；以降调唱（或奏）
vt. 使变平；使（音调）下降，尤指降半音
adv. （尤指贴着另一表面）平直地；断然地；水平地；直接地，完全地"
story,"n. 故事；小说；新闻报道；来历；假话
vt. 用历史故事画装饰
vi. 说谎"
reasonable,adj. 合理的，公道的；通情达理的
storeroom,n. 库房；储藏室
get round to,"v. 找时间做
 腾出时间来做；花时间和精力去做；开始考虑"
downstairs,"n. 楼下
adj. 楼下的
adv. 在楼下"
cottage,n. 小屋；村舍；（农舍式的）小别墅
northern,"adj. 北部的；北方的
n. 北部方言"
ranch,"n. 大农场；大牧场
vi. 经营牧场；在牧场工作
vt. 经营牧场；在牧场饲养…"
cattle,n. 牛；牲畜（骂人的话）；家畜；无价值的人
cow,"n. 奶牛，母牛；母兽
vt. 威胁，恐吓"
sheep,n. 羊，绵羊；胆小鬼
raise,"n. 高地；上升；加薪
vt. 提高；筹集；养育；升起
vi. 上升"
dawn,"n. 黎明；开端
vt. 破晓；出现；被领悟"
ray,"n. 射线；光线；鳐形目(Rajiformes)鱼
vt. 放射；显出
vi. 放射光线；浮现"
nowhere,"adv. 无处；任何地方都不；毫无结果
n. 无处；任何地方；无名之地
adj. 不存在的；毫无结果的；不知名的"
curious,adj. 好奇的，有求知欲的；古怪的；爱挑剔的
thing,n. 事情；东西；事物；情况
improve,"vt. 改善，增进；提高…的价值
vi. 增加；变得更好"
condition,"n. 条件；情况；环境；身份
vt. 决定；使适应；使健康；以…为条件"
effort,n. 努力；成就
decorate,"vt. 装饰；布置；授勋给
vi. 装饰；布置"
whole,"n. 整体；全部
adj. 完整的；纯粹的"
environment,n. 环境，外界
taste,"n. 味道；品味；审美
vt. 尝；体验
vi. 尝起来；有…的味道"
proud,adj. 自豪的；得意的；自负的
somebody,"n. 大人物；重要人物
pron. 有人；某人"
diary,n. 日志，日记；日记簿
treasure,"n. 财富，财产；财宝；珍品
vt. 珍爱；珍藏"
freedom,n. 自由，自主；直率
baby,"n. 婴儿，婴孩；孩子气的人
adj. 婴儿的；幼小的
vt. 纵容，娇纵；把……当婴儿般对待"
envy,"n. 嫉妒，妒忌；羡慕
vt. 嫉妒，妒忌；羡慕
vi. 感到妒忌；显示出妒忌"
astonish,vt. 使惊讶
whenever,"conj. 每当；无论何时
adv. 不论何时；随便什么时候"
livable,adj. 适于居住的；生活过得有价值的
structure,"n. 结构；构造；建筑物
vt. 组织；构成；建造"
continent,"n. 大陆，洲，陆地
adj. 自制的，克制的"
settle,"n. 有背长椅
vi. 解决；定居；沉淀；下陷
vt. 解决；安排；使…定居"
settle down,"na. 定居；成家；移居；平静下来
 安下心来；安定下来；安顿下来"
basic,"n. 基础；要素
adj. 基本的；基础的"
gabled,"adj. 有山形墙的；人字板制作的；三角墙的
v. 砌三角墙；形成三角墙（gable的过去分词）"
half,"n. 一半；半场；半学年
adj. 一半的；不完全的；半途的
adv. 一半地；部分地"
rectangular,adj. 矩形的；成直角的
centrally,adv. 在中心
chimney,n. 烟囱
detail,"n. 细节，详情
vt. 详述；选派
vi. 画详图"
differ,"vi. 相异；意见分歧
vt. 使…相异；使…不同"
depend on,"v. 依靠
 依赖；取决于；视……而定"
construction,n. 建设；建筑物；解释；造句
cause,"n. 原因；事业；目标
vt. 引起；使遭受"
nature,n. 自然；性质；本性；种类
material,"adj. 重要的；物质的，实质性的；肉体的
n. 材料，原料；物资；布料"
log,"vi. 伐木
vt. 切；伐木；航行
n. 记录；航行日志；原木"
identify,vt. 确定；鉴定；识别，辨认出；使参与；把…看成一样 vi. 确定；认同；一致
consist of,"v. 由…合成
 由……组成；由…构成；包括"
stairway,n. 阶梯，楼梯
attic,n. 阁楼；顶楼；鼓室上的隐窝
furthermore,adv. 此外；而且
"on the one hand, ... on the other hand",
central,"n. 电话总机
adj. 中心的；主要的；中枢的"
hall,n. 过道，门厅，走廊；会堂；食堂；学生宿舍；大厅，前厅；娱乐中心，会所
undivided,"adj. 专心的；专一的；未分开的；完整的
v. 未分开（undivide的过去式和过去分词）"
divide,"n.  分水岭，分水线
vt. 划分；除；分开；使产生分歧
vi. 分开；意见分歧"
create,vt. 创造，创作；造成
event,n. 事件，大事；项目；结果
pioneer,"n. 先锋；拓荒者
vt. 开辟；倡导；提倡
vi. 作先驱"
impossible,"n. 不可能；不可能的事
adj. 不可能的；不可能存在的；难以忍受的；不真实的"
hammer,"n. 铁锤；链球； 锤骨；音锤
vi. 锤击；敲打；重复
vt. 锤击；锤打"
nail,"vt. 钉；使固定；揭露
n.  指甲；钉子"
carpenter,"n. 木匠，木工
vt. 制作
vi. 当木匠，做木匠工作"
cross,"n. 交叉，十字；十字架，十字形物
adj. 交叉的，相反的；乖戾的；生气的
vt. 杂交；渡过；使相交
vi. 交叉；杂交；横过"
treat,"n. 请客；款待
vi. 探讨；请客；协商
vt. 治疗；对待；探讨；视为"
cap,"n. 盖；帽子
vt. 覆盖；胜过；给…戴帽；加盖于
vi. 脱帽致意"
raincoat,n. （美）雨衣
policy,n. 政策，方针；保险单
belong to,"v. 属于；附属
 归于；归属；属於"
attention,n. 注意力；关心；立正！（口令）
aunt,n. 阿姨；姑妈；伯母；舅妈
pressure,"n. 压力；压迫， 压强
vt. 迫使；密封；使……增压"
awful,adj. 可怕的；极坏的；使人敬畏的
strict,adj. 严格的；绝对的；精确的；详细的
perform,"vt. 执行；完成；演奏
vi. 执行，机器运转；表演"
succeed,"vi. 成功；继承；继任；兴旺
vt. 继承；接替；继…之后"
cage,"n. 笼，兽笼；牢房，监狱
vt. 把…关进笼子；把…囚禁起来"
practice,"n. 实践；练习；惯例
vt. 练习；实习；实行
vi. 练习；实习；实行"
advantage,"n. 优势；利益；有利条件
vt. 有利于；使处于优势
vi. 获利"
disadvantage,n. 缺点；不利条件；损失
crowd,"n. 群众,一伙;一堆,许多,大众
v. 拥挤,挤满,挤进
vt. 挤满,将...塞进;催促,催逼
vi. 挤,拥挤,聚集"
thinly,adv. 薄；稀疏地；细；瘦
populate,vt. 居住于；构成人口；移民于；殖民于
a thinly populated place,
polite,adj. 有礼貌的，客气的；文雅的；上流的；优雅的
stranger,n. 陌生人；外地人；局外人
bother,"n. 麻烦；烦恼
vt. 烦扰，打扰；使……不安；使……恼怒
vi. 操心，麻烦；烦恼"
direct,"adj. 直接的；直系的；亲身的；恰好的
vt. 管理；指挥；导演；指向
adv. 直接地；正好；按直系关系
vi. 指导；指挥"
butcher,"n. 屠夫
vt. 屠杀"
barber,"n. 理发师
vt. 为…理发；修整
vi. 当理发师"
haircut,n. 理发；发型
greet,vt. 欢迎，迎接；致敬，致意；映入眼帘
clap,"n. 鼓掌；拍手声
vt. 拍手，鼓掌；轻轻拍打某人
vi. 鼓掌，拍手；啪地关上"
shoulder,"n. 肩，肩膀；肩部
vi. 用肩推挤，用肩顶
vt. 肩负，承担"
attempt,"n. 企图，试图；攻击
vt. 企图，试图；尝试"
comfort,"n. 安慰；舒适；安慰者
vt. 安慰；使（痛苦等）缓和"
whisper,"n. 私语；谣传；飒飒的声音
vi. 耳语；密谈；飒飒地响
vt. 低声说出"
high-rise,"n. 高楼；大厦
adj. 高楼的；超高层的"
elevator,n. 电梯；升降机；升降舵；起卸机
upwards,adv. 向上；在上部；向上游
turn out,v. （以某种方式）发生；最后是；结果是 （尤指天气突然）变得（晴好） 原来是；结果发现 出席;参加;前去观看关掉，熄灭（电灯、煤气等） 出席;参加;前去观看生产；制造 （尤指把某人从其长期居住处）撵走，赶出，逐出 翻出；倒出 出席；参加；前去观看
corkscrew,"n. 螺丝锥
adj. 螺旋形的
vt. 硬拉出；探听
vi. 曲折行进"
bottom,"n. 底部；末端；臀部；尽头
adj. 底部的
vt. 装底；测量深浅；查明真相
vi. 到达底部；建立基础"
cupboard,n. 碗柜；食橱
drawer,n. 抽屉；开票人；出票人；起草者；酒馆侍
sideboard,n. 餐具柜；侧板，边线界墙
borrow,"vt. 借；借用
vi. 借；借用；从其他语言中引入"
plenty,"n. 丰富，大量；充足
adj. 足够的，很多的
adv. 足够"
remind,vt. 提醒；使想起
beef,"n. 牛肉；肌肉；食用牛；牢骚
vt. 养；加强
vi. 抱怨，告发；发牢骚"
delay,"n. 延期；耽搁；被耽搁或推迟的时间
vt. 延期；耽搁
vi. 延期；耽搁"
scientist,n. 科学家
traditional,adj. 传统的；惯例的
society,n. 社会；交往；社团；社交界
arrange,"vi. 安排；排列；协商
vt. 安排；排列；整理"
marriage,n. 结婚；婚姻生活；密切结合，合并
whom,pron. 谁（who的宾格）
dare,"n. 挑战；挑动
vt. 敢冒；不惧
vi. 敢；胆敢"
shame,"n. 羞耻，羞愧；憾事，带来耻辱的人
vt. 使丢脸，使羞愧"
disgrace,"n. 耻辱；丢脸的人或事；失宠
vt. 使……失宠；给……丢脸；使……蒙受耻辱；贬黜"
wedding,"n. 婚礼，婚宴；结婚；结合
v. 与…结婚（wed的ing形式）"
cousin,n. 堂兄弟姊妹；表兄弟姊妹
relative,"n. 亲戚；相关物； 关系词；亲缘植物
adj. 相对的；有关系的；成比例的"
join,"vt. 参加；结合；连接
vi. 加入；参加；结合
n. 结合；连接；接合点"
necessary,"adj. 必要的；必需的；必然的
n. 必需品"
control,"n. 控制；管理；抑制；操纵装置
vt. 控制；管理；抑制"
safe,"n. 保险箱；冷藏室；纱橱
adj. 安全的；可靠的；平安的"
liberation,n. 释放，解放
movement,n. 运动；活动；运转；乐章
request,"n. 请求；需要
vt. 要求，请求"
declare,"vt. 宣布，声明；断言，宣称
vi. 声明，宣布"
prove,"vi. 证明是
vt. 证明；检验；显示"
fierce,adj. 凶猛的；猛烈的；暴躁的
exist,vi. 存在；生存；生活；继续存在
amaze,vt. 使吃惊
similar,"n. 类似物
adj. 相似的"
admire,"vt. 钦佩；赞美
vi. 钦佩；称赞"
thumb,"n. 拇指
vt. 翻阅；以拇指拨弄；作搭车手势；笨拙地摆弄
vi. 用拇指翻书页；竖起拇指要求搭车"
green thumb,"n. 园艺技能；种植技能
 绿拇指；绿手指；绿姆指"
experiment,"n. 实验，试验；尝试
vi. 尝试；进行实验"
needle,"n. 针；指针；刺激；针状物
vi. 缝纫；做针线
vt. 刺激；用针缝"
sew,"vt. 缝合，缝上；缝纫
vi. 缝纫，缝"
mend,"vt. 修理，修补；改善；修改
vi. 改善，好转
n. 好转，改进；修补处"
bee,n. 蜜蜂，蜂；勤劳的人
guess,"n. 猜测；推测
vi. 猜；推测；猜中
vt. 猜测；认为；推测；猜中
n. 盖尔斯（美国服装品牌）"
video,"n.  视频；录像，录像机；电视
adj. 视频的；录像的；电视的
v. 录制"
music video, 音乐录影带；音乐录像带；音乐影片
grandma,n. 奶奶；外婆
stick,"n. 棍；手杖；呆头呆脑的人
vi. 坚持；伸出；粘住
vt. 刺，戳；伸出；粘贴"
fist,"n. 拳，拳头；笔迹；掌握；指标参见号
vt. 紧握；握成拳；用拳打"
anger,"n. 怒，愤怒；忿怒
vt. 使发怒，激怒；恼火
vi. 发怒；恼火"
guy,"n. 男人，家伙
vt. 嘲弄，取笑
vi. 逃跑"
wear,"n. 衣物；磨损；耐久性
v. 穿着；用旧；耗损；面露"
band,"n. 带，环； 波段；(演奏流行音乐的) 乐队
n. n.乐队；队；一群
vi. 用带绑扎；给...镶边"
normal,"adj. 正常的；正规的，标准的
n. 正常；标准；常态"
kid,"n. 小孩；小山羊
vt. 欺骗；取笑；戏弄
vi. 欺骗；取笑；戏弄
adj. 小山羊皮制的；较年幼的"
shiny,adj. 有光泽的，擦亮的；闪耀的；晴朗的；磨损的
debate,"n. 辩论；辩论会
vt. 辩论，争论，讨论
vi. 辩论，争论，讨论"
argument,n. 论证；论据；争吵；内容提要
behind,"prep. 落后于；支持；晚于
n. 屁股
adv. 在后地；在原处"
smell,"n. 气味，嗅觉；臭味
vt. 嗅，闻；察觉到；发出…的气味
vi. 嗅，闻；有…气味"
popcorn,n. 爆米花，爆玉米花
chew,"n. 咀嚼；咀嚼物
vi. 细想，深思
vt. 嚼碎，咀嚼"
silence,"n. 沉默；寂静；缄默；不谈；无声状态
vt. 使沉默；使安静；压制；消除噪音
int. 安静！；别作声！"
fear,"n. 害怕；恐惧；敬畏；担心
vt. 害怕；敬畏；为…担心
vi. 害怕；敬畏；为…担心"
expense,"n. 损失，代价；消费；开支
vt. 向…收取费用
vi. 被花掉"
rent,"n. 租金
vt. 出租；租用；租借
vi. 租；出租"
support,"n. 支持，维持；支援，供养；支持者，支撑物
vt. 支持，支撑，支援；扶持，帮助；赡养，供养"
hospital,n. 医院
unless,"conj. 除非，如果不
prep. 除…之外"
clean,"n. 打扫
adj. 清洁的，干净的；清白的
vt. 使干净
vi. 打扫，清扫
adv. 完全地"
lift,"vt. 举起；提升；鼓舞；空运；抄袭
vi. 消散；升起；耸立
n. 电梯；举起；起重机；搭车"
organize,"vt. 组织；使有系统化；给予生机；组织成立工会等
vi. 组织起来；成立组织"
soul,"n. 灵魂；心灵；精神；鬼魂
adj. 美国黑人文化的"
raised,"v. 提高（raise的过去时和过去分词）；举起；抚育，抚养
adj. 凸起的；发酵的；浮雕的"
organic,adj.  有机的；组织的；器官的；根本的
patch,"n. 眼罩；斑点；碎片；小块土地
vi. 打补丁
vt. 修补；解决；掩饰"
granddaughter,n. 孙女；外孙女
dweller,n. 居民，居住者
opportunity,n. 时机，机会
tear,"vi. 流泪, 撕破
n. 眼泪, （撕破的）洞或裂缝, 撕扯
vt. 撕掉, 扯下, 扰乱"
tear down,"na. 拆毁；扯下；猛冲
 拆除；拆卸；拆除某物"
lot,"n. 份额；许多；命运；阄
adv. （与形容词和副词连用）很，非常；（与动词连用）非常
pron. 大量，许多
vt. 分组，把…划分（常与out连用）；把（土地）划分成块
vi. 抽签，拈阄"
remain,"n. 遗迹；剩余物，残骸
vi. 保持；依然；留下；剩余；逗留；残存"
litter,"n. 垃圾；轿，担架；一窝（动物的幼崽）；凌乱
vt. 乱丢；给…垫褥草；把…弄得乱七八糟
vi. 产仔；乱扔废弃物"
garbage,n. 垃圾；废物
community,n. 社区； 群落；共同体；团体
embark,"vi. 从事，着手；上船或飞机
vt. 使从事；使上船"
rewarding,adj. 有益的，值得的；有报酬的，报答的
adventure,"n. 冒险；冒险精神；投机活动
vt. 冒险；大胆说出
vi. 冒险"
discourage,vt. 阻止；使气馁
various,adj. 各种各样的；多方面的
permission,n. 允许，许可
flyer,n. 传单；飞鸟；飞行物；飞跳；孤注一掷
local,"n.  局部；当地居民；本地新闻
adj. 当地的；局部的；地方性的；乡土的"
grocery,"n. 食品杂货店
食品杂货"
store,"n. 商店；储备，贮藏；仓库
vt. 贮藏，储存"
volunteer,"n. 志愿者；志愿兵
adj. 志愿的
vt. 自愿
vi. 自愿"
weed,"n. 杂草，野草；菸草
vt. 除草；铲除
vi. 除草"
rock,"n. 岩石；摇滚乐；暗礁
vt. 摇动；使摇晃
vi. 摇动；摇晃"
brick,"n. 砖，砖块；砖形物；心肠好的人
adj. 用砖做的；似砖的
vt. 用砖砌"
sign,"n. 迹象；符号；记号；手势；指示牌
vt. 签署；示意
vi. 签署；签名"
ton,n. 吨；很多，大量
persuasive,adj. 有说服力的；劝诱的，劝说的
convince,vt. 说服；使确信，使信服
gang,"n. 群；一伙；一组
vt. 使成群结队；结伙伤害或恐吓某人
vi. 成群结队"
hang out,"na. 同“hang”；把上身伸出(窗外)；挂出门外；拖延
 闲逛；闲荡；出去消遣"
elsewhere,adv. 在别处；到别处
elementary,adj. 基本的；初级的； 元素的
elementary school,"n. （美国）小学
 国小；国民小学；小学校"
senior,"n. 上司；较年长者；毕业班学生
adj. 高级的；年长的；地位较高的；年资较深的，资格较老的"
herb,n. 香草，药草
overtime,"n.  加班时间；延长时间；加时赛
adj. 超时的；加班的
vt. 使超过时间
adv. 加班地"
qualification,n. 资格；条件；限制；赋予资格
course,"n. 科目；课程；过程；进程；道路；路线，航向；一道菜
vt. 追赶；跑过
vi. 指引航线；快跑"
shorthand,"n. 速记；速记法
adj. 速记法的"
training,"n. 训练；培养；瞄准；整枝
v. 训练；教养（train的ing形式）"
dictation,n. 听写；口述；命令
untidy,"adj. 不整洁的，凌乱的；懒散的；不干净利落的，不简练的；不适宜的
v. 使不整洁；使杂乱无章"
artist,n. 艺术家；美术家（尤指画家）；大师
spare,"n. 剩余；备用零件
vt. 节约，吝惜；饶恕；分出，分让
adj. 多余的；瘦的；少量的
vi. 饶恕，宽恕；节约"
apply,"vi. 申请；涂，敷；适用；请求
vt. 申请；涂，敷；应用"
application,n. 应用；申请；应用程序；敷用
qualified,"v. 限制（qualify的过去分词）；描述；授权予
adj. 合格的；有资格的"
employment,n. 使用；职业；雇用
employee,n. 雇员；从业员工
benefit,"n. 利益，好处；救济金
vt. 有益于，对…有益
vi. 受益，得益"
wage,"n. 工资；代价；报偿
vt. 进行；开展
vi. 进行；发动；从事"
aware,adj. 意识到的；知道的；有…方面知识的；懂世故的
choice,"n. 选择；选择权；精选品
adj. 精选的；仔细推敲的"
noon,n. 中午；正午；全盛期
hire,"n. 雇用，租用；租金，工钱
vt. 雇用；出租
vi. 雇用，租用；受雇"
sheet,"n. 薄片，纸张；薄板；床单
adj. 片状的
vt. 覆盖；盖上被单；使成大片
vi. 成片流动；大片落下"
blackboard,n. 黑板
chalk,"n. 粉笔；白垩；用粉笔划的记号
adj. 用粉笔写的
vt. 用粉笔写；用白垩粉擦；记录；规划
vi. 变成白垩状"
appointment,n. 任命；约定；任命的职位
physical,"n. 体格检查
adj.  物理的；身体的；物质的；根据自然规律的，符合自然法则的"
neck,"n. 脖子；衣领；海峡
vi. 搂著脖子亲吻；变狭窄
vt. 使变细；与…搂著脖子亲吻"
require,vt. 需要；要求；命令
worker,n. 工人；劳动者；职蚁
co-worker,n. 同事；合作者
concert,"n. 音乐会；一致；和谐
adj. 音乐会用的；在音乐会上演出的
vt. 使协调；协同安排
vi. 协调；协力"
type,"n. 类型，品种；模范；样式
vt. 打字；测定（血等）类型
vi. 打字"
appreciate,"vi. 增值；涨价
vt. 欣赏；感激；领会；鉴别"
spoil,"n. 次品；奖品
vt. 溺爱；糟蹋；破坏；掠夺
vi. 掠夺；变坏；腐败"
determine,"v. （使）下决心，（使）做出决定
vt. 决定，确定；判定，判决；限定
vi. 确定；决定；判决，终止；了结，终止，结束"
aircraft,n. 飞机，航空器
employ,"n. 使用；雇用
vt. 使用，采用；雇用；使忙于，使从事于"
barman,n. 酒吧店主；酒吧间招待员
nightmare,"n. 恶梦；梦魇般的经历
adj. 可怕的；噩梦似的"
retired,"adj. 退休的；退役的；幽闭的
v. 退休（retire的过去分词）"
