border,"n. 边境；边界；国界
vt. 接近；与…接壤；在…上镶边
vi. 接界；近似"
toe,"n. 脚趾；足尖
vt. 用脚尖走；以趾踏触
vi. 动脚尖；用足尖跳舞"
ungrateful,adj. 忘恩负义的；不领情的；讨厌的；徒劳的
Isaac Bashevis Singer, 辛格；诺贝尔奖获得者辛格；艾萨克·巴什维斯·辛格
pasture,"n. 草地；牧场；牧草
vt. 放牧；吃草"
roost,"n. 栖木；鸟窝；群栖的禽鸟
vi. 栖息；安歇
vt. 使…栖息；为…提供歇息处"
Sabbath,n. 安息日
spin flax,
synagogue,n. 犹太教会堂；犹太人集会
Dr. Herzl,
Talmud,n. 犹太法典
knead the dough,
Yiddish,"n. 意第绪语（中东欧犹太人及其在各国的后裔说的一种从高地德语派生的语言）
adj. 意第绪语的；犹太人的"
ruble,n. 卢布（货币单位，等于rouble）
cable,"n. 缆绳；电缆；海底电报
vt. 打电报
vi. 打海底电报"
letter of credit,"n. 信用证；信用状
 信用证结算方式；信用证支付；信誉证"
agent,"n. 代理人，代理商；药剂；特工
adj. 代理的
vt. 由…作中介；由…代理"
armchair,"n. 扶手椅，单人沙发
adj. 不切实际的"
Berlin,n. 柏林
blackly,adv. 抑郁地；愤怒地；阴险地；黑暗地
blink,"n. 眨眼；瞬间；闪光
vt. 眨眼；使…闪烁
vi. 眨眼；闪烁"
bore,"n. 孔；令人讨厌的人
vt. 钻孔；使烦扰
vi. 钻孔"
Boston,n. 波士顿（美国城市）
chuckle,"n. 轻笑，窃笑
vi. 咯咯的笑，轻声地笑
vt. 轻声笑着表示"
commanding,"v. 指挥；统帅；负责（command的ing形式）
adj. 指挥的；居高临下的；威风凛凛的"
confounded,"v. 使混淆（confound的过去分词）
adj. 困惑的；糊涂的；讨厌的；惊慌失措的"
corridor,走廊
crack,"n. 裂缝；声变；噼啪声
adj. 最好的；高明的
vi. 破裂；爆裂
vt. 使破裂；打开；变声"
devil,"n. 魔鬼；撒旦；家伙；恶棍；淘气鬼；冒失鬼
vt. 虐待，折磨；（用扯碎机）扯碎；（替作家，律师等）做助手；抹辣味料烤制或煎煮"
disillusioned,"v. 使幻想破灭（disillusion的过去分词）；唤醒
adj. 醒悟的；幻想破灭的；不抱幻想的"
doorknob,n. 门把手
drama,n. 戏剧，戏剧艺术；剧本；戏剧性事件
espionage,n. 间谍；间谍活动；刺探
evilly,adv. 邪恶地
explanatorily,"adv. 说明地, 做为解释地"
extend,"vt. 延伸；扩大；推广；伸出；给予；使竭尽全力；对…估价
vi. 延伸；扩大；伸展；使疏开"
frustrated,"v. 挫败；阻挠（frustrate的过去式和过去分词形式）
adj. 失意的，挫败的；泄气的"
gloomy,adj. 黑暗的；沮丧的；阴郁的
grimly,adv. 可怕地；冷酷地；严格地
halfway,"adj. 中途的；不彻底的
adv. 到一半；在中途"
heavily,adv. 沉重地；猛烈地；沉闷地
management,n. 管理；管理人员；管理部门；操纵；经营手段
moodily,adv. 易生气地，心情不稳地
murmur,"n. 低语；低语声；低声抱怨；潺潺声
vi. 低声说；私下抱怨；发出轻柔持续的声音
vt. 低声说"
mysterious,adj. 神秘的；不可思议的；难解的
Paris,n. 巴黎（法国首都）；帕里斯（特洛伊王子）
passable,adj. 尚可的；可通行的；（钱币等）可流通的
passkey,n. 万能钥匙；弹簧锁钥匙；总钥匙
pistol,"n. 手枪；信号枪
vt. 用手枪射击"
romantic,"n. 浪漫的人
adj. 浪漫的；多情的；空想的
vt. 使…浪漫化"
shrilly,"adj. 尖声的；耀眼的
adv. 尖声地；耀眼地"
sill,n. 窗台；基石；门槛； 海底山脊
slender,adj. 细长的；苗条的；微薄的
slip,"n. 滑，滑倒；片，纸片；错误；下跌；事故
abbr. 串行线路接口协议，是旧式的协议（Serial Line Interface Protocol）
adj. 滑动的；有活结的；活络的
vt. 使滑动；滑过；摆脱；塞入；闪开
vi. 滑动；滑倒；犯错；失足；减退"
sloppy,adj. 草率的；粗心的；泥泞的；肥大的；稀薄的
stammer,"n. 口吃；结巴
vt. 口吃；结巴着说出
vi. 口吃；结结巴巴地说"
stiffly,adv. 生硬地；顽固地；呆板地
swiftly,adv. 很快地；敏捷地；即刻
thrill,"n. 激动；震颤；紧张
vt. 使…颤动；使…紧张；使…感到兴奋或激动
vi. 颤抖；感到兴奋；感到紧张"
tray,n. 托盘；文件盒；隔底匣；（无线电的）发射箱
uncork,vt. 泄漏；透露；发泄；拔去塞子
unlocked,"adj. 没有锁的
v. 开锁；泄露；释放（unlock的过去式）"
wheeze,"n. 喘息；喘气声
vt. 喘息着说；喘息地发出
vi. 喘息；呼哧呼哧地响"
wheezily,adv. 气喘地
double cross,"na. 欺骗；双杂交
 双交；出卖；双十字"
typewriter,n. 打字机
restroom,n. 厕所；洗手间
retreat,"n. 撤退；休息寓所；撤退
vt. 退（棋）；使后退
vi. 撤退；退避；向后倾"
microfilm,"vt. 缩微拍摄
vi. 缩微拍摄
n. 缩微胶卷"
pass,"n. 及格；经过；护照；途径；传球
vt. 通过；经过；传递
vi. 经过；传递；变化；终止"
badge,"n. 徽章；证章；标记
vt. 授给…徽章"
security clearance,"na. (对参加机密工作的人进行的)安全调查
 安全检查；安全许可；安全通关证"
smuggle,"vt. 走私；偷运
vi. 走私，私运；偷带"
work on,"na. 对…有效；动(人,感情等)；向…做工作；左右
 从事；致力于；继续工作"
swallow,"n. 燕子；一次吞咽的量
vt. 忍受；吞没
vi. 吞下；咽下"
rush,"n. 冲进；匆促；急流；灯心草
adj. 急需的
vt. 使冲；突袭；匆忙地做；飞跃
vi. 冲；奔；闯；赶紧；涌现"
bootee,n. 毛线鞋；女人的短靴
stoplight,n. 红色尾灯；停止行进号志
the FBI, 联邦调查局；美国联邦调查局；中央情报局
give in,"na. 让步；屈服；投降；上交
 交上；认输；放弃"
ah,int. 啊；呀
bloom,"n. 花；青春；旺盛
vt. 使开花；使茂盛
vi. 开花；茂盛"
blossom,"n. 花；开花期；兴旺期；花开的状态
vi. 开花；兴旺；发展成"
breast,"n. 乳房，胸部；胸怀；心情
vt. 以胸对着；与…搏斗"
bridegroom,n. 新郎
bubble,"n. 气泡，泡沫，泡状物；透明圆形罩，圆形顶
vt. 使冒泡；滔滔不绝地说
vi. 沸腾，冒泡；发出气泡声"
bud,"n. 芽，萌芽；蓓蕾
vt. 使发芽
vi. 发芽，萌芽"
cartwheel,n. 车轮；横翻筋斗；一元银币（美金）
chamberlain,n. 管家；宫廷大臣；（村镇的）掌管财物的人
chill,"n. 寒冷；寒意；寒心
vt. 冷冻，冷藏；使寒心；使感到冷
adj. 寒冷的；冷漠的；扫兴的
vi. 冷藏；变冷"
coral,"n. 珊瑚；珊瑚虫
adj. 珊瑚的；珊瑚色的"
crimson,"n. 深红色
adj. 深红色的
vt. 使变为深红色；脸红
vi. 变为深红色；脸红"
crystal,"n. 结晶，晶体；水晶；水晶饰品
adj. 水晶的；透明的，清澈的"
cynic,"adj. 犬儒学派的
n. 愤世嫉俗者；犬儒学派的人"
daffodil,"n. 水仙花
adj. 水仙花色的"
daisy,"n. 雏菊；菊科植物；极好的东西
adj. 极好的；上等的"
deny,"vi. 否认；拒绝
vt. 否定，否认；拒绝给予；拒绝…的要求"
dove,"n. 鸽子；鸽派人士
v. 潜水（dive的过去式）"
ebb,"n. 衰退；退潮；衰落
vi. 衰退；减少；衰落；潮退"
ecstasy,n. 狂喜；入迷；忘形
emerald,"n. 绿宝石； 祖母绿；翠绿色
adj. 翠绿色的"
faint,"n.  昏厥，昏倒
adj. 模糊的；头晕的；虚弱的； 衰弱的
vi. 昏倒；变得微弱；变得没气力"
fling,"n. 掷，抛；嘲弄；急冲
vt. 掷，抛；嘲笑；使陷入；轻蔑地投射；猛动
vi. 猛冲，急行"
flush,"n. 激动，洋溢；面红；萌芽；旺盛；奔流
adj. 大量的；齐平的；丰足的，洋溢的；挥霍的
vt. 使齐平；发红，使发亮；用水冲洗；使激动
vi. 发红，脸红；奔涌；被冲洗"
flutter,"n. 摆动；鼓翼；烦扰
vt. 拍；使焦急；使飘动
vi. 飘动；鼓翼；烦扰"
foam,"n. 泡沫；水沫；灭火泡沫
vt. 使起泡沫；使成泡沫状物
vi. 起泡沫；吐白沫；起着泡沫流动"
frown,"n. 皱眉，蹙额
vt. 皱眉，蹙额
vi. 皱眉；不同意"
gallery,"n. 画廊；走廊；旁听席；地道
vt. 在…修建走廊；在…挖地道
vi. 挖地道"
girdle,"n. 腰带；围绕物；妇女紧身褡
vt. 围绕；绕…而行；用带子捆扎"
grove,n. 小树林；果园
gutter,"n. 排水沟；槽；贫民区
vi. 流；形成沟
vt. 开沟于…；弄熄
adj. 贫贱的；粗俗的；耸人听闻的"
harp,"n. 竖琴
vi. 弹奏竖琴；喋喋不休；不停地说"
jewel,"n. 宝石；珠宝
vt. 镶以宝石；饰以珠宝"
lean,"vi. 倾斜；倚靠；倾向；依赖
adj. 瘦的；贫乏的，歉收的
vt. 使倾斜
n. 瘦肉；倾斜；倾斜度"
linger,"vi. 徘徊；苟延残喘；磨蹭
vt. 消磨；缓慢度过"
lizard,n. 蜥蜴；类蜥蜴爬行动物
marvelous,adj. 了不起的；非凡的；令人惊异的；不平常的
meadow,n. 草地；牧场
mermaiden, 美人鱼
metaphysics,n. 玄学，形而上学
mystery,n. 秘密，谜；神秘，神秘的事物；推理小说，推理剧；常作 mysteries 秘技，秘诀
nightingale,n. 夜莺
nip,"vt. 夹；捏；剪断；冻伤；阻止
vi. 夹；捏；刺骨；小饮
n. 夹；捏；刺骨；小饮"
oak,"n. 橡树；橡木色；橡木家具
adj. 栎树的；栎木制的"
opal,n. 猫眼石，蛋白石；乳白玻璃
outright,"adv. 全部地；立刻地；率直地；一直向前；痛快地
adj. 完全的，彻底的；直率的；总共的"
pang,"n. （肉体上）剧痛；苦闷；（精神上）一阵极度的痛苦
vt. 使剧痛；折磨"
petal,n. 花瓣
philosophy,n. 哲学；哲理；人生观
pluck,"n. 勇气；内脏；快而猛的拉
vt. 摘；拔；扯
vi. 拉；拽；扯"
ruby,"n. 红宝石；红宝石色
adj. 红宝石色的
vt. 使带红宝石色"
sincerity,n. 真实，诚挚
soar,"n. 高飞；高涨
vi. 高飞；高耸；往上飞舞"
spray,"n. 喷雾；喷雾器；水沫
vt. 喷射
vi. 喷"
stringed,"adj. （乐器等）有弦的；用弦缚住的
v. 用带系上；使伸展；使连接（string的过去分词）"
sunbeam,n. 阳光，日光；快乐的人
sun-dial,"un. 日晷
 日规"
thorn,n. 刺； 荆棘
tomb,"n. 坟墓；死亡
vt. 埋葬"
topmost,adj. 最高的；顶端的
unpractical,adj. 不切实际的；不实用的
vein,"n. 血管；叶脉； 岩脉；纹理；翅脉；性情
vt. 使成脉络；象脉络般分布于"
wretched,adj. 可怜的；卑鄙的；令人苦恼或难受的
Hans Christian Andersen, 安徒生；汉斯·克里斯蒂安·安徒生；安徒生的英文名
brittle,adj. 易碎的，脆弱的；易生气的
tinkle,"n. 叮当声
vt. 使发清脆的声响
vi. 发叮当声"
cavalier,"n. 骑士；武士；对女人献殷勤
adj. 傲慢的；漫不经心的；无忧无虑的"
Your Majesty,"na. 陛下；“Your/His/Her Majesty”的变体
 主公；尊敬的女王陛下；女王称陛下"
black art,"n. 魔法；歪门邪道；黑人艺术
 妖术；邪术；黑色艺术"
black magic,"n. 妖术；魔法；巫术
 黑魔法；黑魔术；黑毒"
low,"adj. 低的，浅的；卑贱的；粗俗的；消沉的
adv. 低声地；谦卑地，低下地
n. 低；低价；低点；牛叫声
vi. 牛叫"
moo,"vi. 发出哞哞声
n. 牛叫声"
porcelain,"n. 瓷；瓷器
adj. 瓷制的；精美的"
perch,"n. 鲈鱼; 高位；栖木；杆
vt. 栖息；就位；位于；使坐落于
vi. 栖息；就位；位于"
hit,"n. 打；打击；（演出等）成功；讽刺
vt. 打击；袭击；碰撞；偶然发现；伤…的感情
vi. 打；打击；碰撞；偶然碰上"
banish,vt. 放逐；驱逐
pivot,"n. 枢轴；中心点；旋转运动
adj. 枢轴的；关键的
vt. 以…为中心旋转；把…置于枢轴上
vi. 在枢轴上转动；随…转移"
Death,
live,"adj. 活的；生动的；实况转播的；精力充沛的
vt. 经历；度过
vi. 活；居住；生存"
specter,n. 幽灵；妖怪；恐怖之物
acceptance,n. 接纳；赞同；容忍
armful,n. 一抱之量；双手合抱量
assure,vt. 保证；担保；使确信；弄清楚
Brazil,n. 巴西（拉丁美洲国家）
casually,adv. 随便地；偶然地；临时地
chatter,"n. 唠叨；饶舌；（动物的）啁啾声；潺潺流水声
vt. 喋喋不休地说；使卡嗒卡嗒作声
vi. 唠叨；喋喋不休；（动物等）吱吱叫"
claim,"n. 要求；声称；索赔；断言；值得
vt. 要求；声称；需要；认领
vi. 提出要求"
conscious,adj. 意识到的；故意的；神志清醒的
dawn,"n. 黎明；开端
vt. 破晓；出现；被领悟"
destination,n. 目的地，终点
encounter,"n. 遭遇，偶然碰见
vi. 遭遇；偶然相遇
vt. 遭遇，邂逅；遇到"
formation,n. 形成；构造；编队
genius,n. 天才，天赋；精神
identity,n. 身份；同一性，一致；特性；恒等式
ignorance,n. 无知，愚昧；不知，不懂
inspect,"vt. 检查；视察；检阅
vi. 进行检查；进行视察"
instantly,"conj. 一…就…
adv. 立即地；马上地；即刻地"
locate,"vt. 位于；查找…的地点
vi. 定位；定居"
mechanic,"n. 技工，机修工
adj. 手工的"
melt,"vi. 熔化，溶解；渐混
vt. 使融化；使熔化；使软化；使感动
n. 熔化；熔化物"
numerous,adj. 许多的，很多的
occasion,"n. 时机，机会；场合；理由
vt. 引起，惹起"
particularly,adv. 特别地，独特地；详细地，具体地；明确地，细致地
pat,"n. 轻拍；小块；轻拍声
adj. 恰好的；熟练的；合适的
vt. 轻拍
adv. 恰好；熟记地
vi. 轻拍"
perspective,"n. 观点；远景；透视图
adj. 透视的"
pinnacle,"n. 高峰；小尖塔；尖峰；极点
vt. 造小尖塔；置于尖顶上；置于高处"
potential,"n. 潜能；可能性； 电势
adj. 潜在的；可能的；势的"
radiator,n. 散热器；暖气片；辐射体
recognition,n. 识别；承认，认出；重视；赞誉；公认
refill,"n. 替换物；再注满
vt. 再装满；再充满
vi. 被再注满"
region,n. 地区；范围；部位
Rio,
scattered,adj. 分散的；散乱的
spout,"n. 喷口；水龙卷；水落管；水柱
vt. 喷出；喷射；滔滔不绝地讲；把…典当掉
vi. 喷出；喷射；滔滔不绝地讲"
strain up,
tease,"vt. 取笑；戏弄；梳理；欺负；强求；使起毛
n. 戏弄；爱纠缠的小孩；挑逗者；卖弄风骚的女孩
vi. 取笑"
unexpected,adj. 意外的，想不到的
Mike Tidwell,
Adam's apple,"n. 喉结
 亚当的苹果；结喉；男人的喉结"
Hanoi,
boulevard,"n.  林荫大道；（美）大马路
adj. 娱乐性的
vt. 给…提供林阴大街；把…建成林阴大街"
get off to a bad start,开始时不好
fleece,"n. 羊毛，绒头织物；羊毛制的覆盖物
vt. 剪下羊毛；欺诈，剥削"
huff,"n. 发怒
vt. 把…吹胀；激怒；蔑视
vi. 吹气；发怒；恫吓"
anticipate,vt. 预期，期望；占先，抢先；提前使用
ebullient,adj. 热情洋溢的；沸腾的
incense,"n. 香；奉承
vt. 向…焚香；使…发怒
vi. 焚香"
refurbish,vt. 刷新；再磨光
accelerator,n. 油门；催化剂； 加速装置
addict,"n. 有瘾的人；入迷的人
vt. 使沉溺；使上瘾"
almighty,"n. 全能的神
adj. 全能的；有无限权力的
adv. 非常"
amaze,vt. 使吃惊
attentive,adj. 留意的，注意的
backpack,"n. 双肩背包，背包；远足用的背包
vt. 挑运；把…放入背包
vi. 背负简便行李旅行；挑运"
brake,"n. 闸，刹车；阻碍
vt. 刹车
vi. 刹车"
brochure,n. 手册，小册子
campground,n. 露营场所；野营地
cape,n.  海角，岬；披肩
cashless,adj. 无现款的；无钱的；不通过现金的
chamber,"n. （身体或器官内的）室，膛；房间；会所
adj. 室内的；私人的，秘密的
vt. 把…关在室内；装填（弹药等）"
chilly,adj. 寒冷的；怕冷的
commerce,n. 贸易；商业；商务
compassionate,"adj. 慈悲的；富于同情心的
vt. 同情；怜悯"
conquer,"vt. 战胜，征服；攻克，攻取
vi. 胜利；得胜"
contrary,"n. 相反；反面
adj. 相反的；对立的
adv. 相反地"
cowboy,n. 牛仔；牧童；莽撞的人
display,"n. 显示；炫耀
vt. 显示；表现；陈列
adj. 展览的；陈列用的
vi.  作炫耀行为"
entertain,"vt. 娱乐；招待；怀抱；容纳
vi. 款待"
executive,"n. 总经理；执行委员会；执行者；经理主管人员
adj. 行政的；经营的；执行的，经营管理的"
folk,"n. 民族；人们；亲属（复数）
adj. 民间的"
gamble,"n. 赌博；冒险；打赌
vi. 赌博；孤注一掷；投机；打赌
vt. 赌博；孤注一掷；冒险假设"
gang,"n. 群；一伙；一组
vt. 使成群结队；结伙伤害或恐吓某人
vi. 成群结队"
goodwill,n.  商誉；友好；好意
hitch,"n. 故障；钩；猛拉；急推；蹒跚
vt. 搭便车；钩住；套住；猛拉；使结婚
vi. 被钩住；急动；蹒跚；搭便车旅行；结婚"
intrigue,"n. 阴谋；诡计；复杂的事；私通
vt. 用诡计取得；激起...的兴趣
vi. 私通；密谋"
involved,"v. 涉及；使参与；包含（involve的过去式和过去分词）
adj. 有关的；卷入的；复杂的"
jerk,"n. 肌肉抽搐；性情古怪的人；蠢人；急拉
vi. 痉挛；急拉；颠簸地行进
vt. 猛拉"
kin,"n. 亲戚；家族；同族
adj. 同类的；有亲属关系的；性质类似的"
knifepoint,n. 刀尖
lumber-mill,n. 锯木场
lurk,"vi. 潜伏；潜藏；埋伏
n. 潜伏；埋伏"
magnificent,adj. 高尚的；壮丽的；华丽的；宏伟的
motto,n. 座右铭，格言；箴言
murderer,n. 凶手；谋杀犯
patriotic,adj. 爱国的
pitch,"n. 沥青；音高；程度；树脂；倾斜；投掷；球场
vt. 投；掷；定位于；用沥青涂；扎营；向前倾跌
vi. 倾斜；投掷；搭帐篷；坠落"
rapist,n. 强奸犯
rarely,adv. 很少地；难得；罕有地
readiness,n. 敏捷，迅速；准备就绪；愿意
