voyage,"n. 航行；航程；旅行记
vt. 飞过；渡过
vi. 航行；航海"
vacation,"n. 假期；（房屋）搬出
vi. 休假，度假"
schedule,"n. 时间表；计划表；一览表
vt. 安排，计划；编制目录；将……列入计划表"
set off,"na. 分；分割；划开；区划
 出发；动身；引起"
take off,"v. (飞机)起飞；出去；拿掉；移送
 脱下；脱掉；脱去"
in one's spare time,
to a certain degree,"na. 在某种程度上；到某种程度；相当
 在一定程度上；达到一定的程度；某一程度上"
get used to,"na. 变得习惯于
 习惯於；适应；习惯一件事情的过程"
under the weather,"na. 身体不适；不太舒服
 身体不舒服；生病；有病"
concern,"n. 关系；关心；关心的事；忧虑
vt. 涉及，关系到；使担心"
atmosphere,n. 气氛；大气；空气
temperature,n. 温度；体温；气温；发烧
consumer,n. 消费者；用户，顾客
guess,"n. 猜测；推测
vi. 猜；推测；猜中
vt. 猜测；认为；推测；猜中
n. 盖尔斯（美国服装品牌）"
green,"n. 绿色；青春
adj. 绿色的；青春的
vt. 使…变绿色
vi. 变绿色"
lifeless,adj. 无生命的；死气沉沉的；无趣味的
fuel,"n. 燃料；刺激因素
vt. 供以燃料，加燃料
vi. 得到燃料"
coal,"n. 煤；煤块；木炭
vt. 给…加煤；把…烧成炭
vi. 上煤；加煤"
result,"n. 结果；成绩；答案；比赛结果
vi. 结果；导致；产生"
increase,"n. 增加，增长；提高
vt. 增加，加大
vi. 增加，增大；繁殖"
sea level,"n. 海平面
 海面；海拔；平均海面"
destroy,vt. 破坏；消灭；毁坏
nature,n. 自然；性质；本性；种类
surface,"n. 表面；表层；外观
adj. 表面的，肤浅的
vt. 使浮出水面；使成平面
vi. 浮出水面"
soil,"n. 土地；土壤；国家；粪便；务农；温床
vt. 弄脏；污辱
vi. 变脏"
flood,"n. 洪水；泛滥；一大批
vt. 淹没；充满；溢出
vi. 涌出；涌进；为水淹没"
habit,"n. 习惯，习性；嗜好
vt. 使穿衣"
proper,"adj. 适当的；本身的；特有的；正派的
adv. 完全地"
friendly,"adj. 友好的；亲切的；支持的；融洽的，和睦的
adv. 友善地；温和地"
recycle,"n. 再生；再循环；重复利用
vt. 使再循环；使…重新利用
vi. 重复利用"
purpose,"n. 目的；用途；意志
vt. 决心；企图；打算"
solution,n. 解决方案；溶液；溶解；解答
government,n. 政府；政体；管辖
role model,"n. 楷模；榜样；典范
 模范；行为榜样；角色典范"
greenhouse effect,"n. 温室效应
 温室效用；造成温室效应；温室气体"
in danger,"na. 在危险中
 垂危；处于危险中；处于危险之中"
as a result of,"na. (作)为…的结果
 由于；由于…的结果；作为…的结果"
result in,"na. 终于(失败)
 导致；结果是；造成"
mountains of, 大量的；许多
take action,"na. 动手；采取行动；采取(快速)措施；提起诉讼
 行动起来；采取措施；实施行动"
make a difference,"na. 发生差别；使…有差别；(结果等)是重要的
 有关系；有影响；很重要"
act as,"na. 做(向导)
 充当；担任；担当"
asteroid,"n.  小行星； 海盘车；小游星
adj. 星状的"
typhoon,n.  台风
earthquake,n. 地震；大动荡
melt,"vi. 熔化，溶解；渐混
vt. 使融化；使熔化；使软化；使感动
n. 熔化；熔化物"
flood,"n. 洪水；泛滥；一大批
vt. 淹没；充满；溢出
vi. 涌出；涌进；为水淹没"
badly,adv. 非常，很；严重地，厉害地；恶劣地
alive,adj. 活着的；活泼的；有生气的
pool,"n. 联营；撞球；水塘；共同资金
vt. 合伙经营
vi. 联营，合伙经营"
object,"n. 目标；物体；客体；宾语
vt. 提出…作为反对的理由
vi. 反对；拒绝"
coach,"n. 教练；旅客车厢；长途公车；四轮大马车
vt. 训练；指导
vi. 作指导；接受辅导；坐马车旅行
n.  蔻驰（皮革品牌）"
pass,"n. 及格；经过；护照；途径；传球
vt. 通过；经过；传递
vi. 经过；传递；变化；终止"
line,"n. 路线，航线；排；绳
vt. 排成一行；划线于；以线条标示；使…起皱纹
vi. 排队；站成一排"
dead,"n. 死者
adj. 无生命的；呆板的；废弃了的
adv. 完全地"
boss,"n. 老板；首领；工头
vt. 指挥，调遣；当…的领导
vi. 当首领，发号施令"
deaf,adj. 聋的
stare,"n. 凝视；注视
vt. 凝视，盯着看
vi. 凝视，盯着看；显眼"
screen,"n. 屏，幕；屏风
vt. 筛；拍摄；放映；掩蔽
vi. 拍电影"
notice,"n. 通知，布告；注意；公告
vt. 通知；注意到；留心
vi. 引起注意"
awake,"adj. 醒着的
vt. 唤醒；使觉醒；激起，唤起
vi. 觉醒，意识到；醒来；被唤起"
awoke,v. 醒来（awake的过去分词）；唤醒；引起
awoken,v. 唤醒；叫醒（awake的过去分词）
immediately,"conj. 一…就
adv. 立即，立刻；直接地"
missing,"adj. 失踪的；缺少的
v. 错过（miss的ing形式）；想念；漏掉"
fellow,"n. 家伙；朋友；同事；会员
adj. 同伴的，同事的；同道的
vt. 使…与另一个对等；使…与另一个匹敌"
natural disaster,"n. 灾难
 自然灾害；天灾；天然灾害"
pass by,"na. 经过；不过问；打…旁边过去；通用(…这个名字)
 路过；走过；忽略"
stick with, 坚持；继续支持；坚持做
sit around, 无所事事；坐着没事干；闲坐
have no time to do,
fall on deaf ears,"na. 不被理睬
 不受注意；不加理睬的；不听取"
stare at,"na. 瞪着看
 凝视；盯着；盯着看"
in surprise,"adv. 惊奇地
 吃惊地；惊讶地；惊奇的"
for now,"na. 眼下
 目前；暂时；现在"
survival kit,"n. 救生包（装有食物、医疗用品和工具）；救生器材
 求生包；求生背包；紧急求生用品箱"
announcement,n. 公告；宣告；发表；通告
passport,n. 护照，通行证；手段
the Pacific,
Canada,n. 加拿大（北美洲国家）
resort,"n. 凭借，手段；度假胜地；常去之地
vi. 求助，诉诸；常去；采取某手段或方法"
Canadian,"n. 加拿大人
adj. 加拿大（人）的"
slope,"n. 斜坡；倾斜；斜率；扛枪姿势
vt. 倾斜；使倾斜；扛
vi. 倾斜；逃走"
opposite,"adj. 相反的；对面的；对立的
n. 对立面；反义词
prep. 在…的对面
adv. 在对面"
glove,"n. 手套
vt. 给…戴手套"
couple,"n. 对；夫妇；数个
vt. 结合；连接；连合
vi. 结合；成婚"
gentle,"n. 蛆，饵
adj. 温和的；文雅的
vt. 使温和，使驯服"
honest,adj. 诚实的，实在的；可靠的；坦率的
rope,"n. 绳，绳索
vt. 捆，绑
vi. 拧成绳状"
rapid,"n. 急流；高速交通工具，高速交通网
adj. 迅速的，急促的；飞快的；险峻的"
over,"adv. 结束；越过；从头到尾
prep. 越过；在…之上；遍于…之上
adj. 结束的；上面的
vt. 越过"
shame,"n. 羞耻，羞愧；憾事，带来耻辱的人
vt. 使丢脸，使羞愧"
fee,"n. 费用；酬金；小费
vt. 付费给……"
enter,"n.  输入；回车
vt. 进入；开始；参加
vi. 参加，登场；进去"
semi-final,n. 半决赛；准决赛；复赛
final,"n. 决赛；期末考试；当日报纸的末版
adj. 最终的；决定性的；不可更改的"
badminton,n. 羽毛球
stress,"n. 压力；强调；紧张；重要性；重读
vt. 强调；使紧张；加压力于；用重音读"
be dying to, 渴望；渴望，巴不得立即；非常渴望
be dying to do sth.,
check in,"v. 报到；(旅馆)登记
 入住；办理登记手续；签到"
check at,"na. 对…发火
 对...发火；表示对…发火"
can't wait to,
can't wait to do sth.,
to be honest, 老实说；说实话；说实在的
fall over,"na. 倒了；落在地上；(计算机)程序停止运行；跌倒
 摔倒；向前摔倒；绊了一跤"
keep one's balance,"na. 保持身体平衡；镇定
 保持平衡；某人保持平衡；保持某人身体平衡"
build up,"na. 同“build”；建立；复兴；集结(部队)
 逐步建立；增进；积累"
conduct,"n. 进行；行为；实施
vi. 导电；带领
vt. 管理；引导；表现"
lifestyle,"n. 生活方式
保健的"
quarrel,"n. 吵架；反目；怨言；争吵的原因；方头凿
vi. 吵架；争论；挑剔"
focus,"n. 焦点；中心；清晰；焦距
vt. 使集中；使聚焦
vi. 集中；聚焦；调节焦距"
peer,"vt. 封为贵族；与…同等
vi. 凝视，盯着看；窥视
n. 贵族；同等的人；同龄人"
pressure,"n. 压力；压迫， 压强
vt. 迫使；密封；使……增压"
whether,"conj. 是否；不论
pron. 两个中的哪一个"
risk,"n. 风险；危险；冒险
vt. 冒…的危险"
guard,"n. 守卫；警戒；护卫队；防护装置
vi. 警惕
vt. 保卫；监视"
positive,"n. 正数； 正片
adj. 积极的； 正的， 阳性的；确定的，肯定的；实际的，真实的；绝对的"
cancel,"vi. 取消，撤销
vt. 取消；删去
vi. 取消；相互抵消
n. 取消，撤销"
bright,"n. 车头灯光
adj. 明亮的，鲜明的；聪明的；愉快的
adv. 明亮地；光明地；欢快地"
force,"n. 力量；武力；军队；魄力
vt. 促使，推动；强迫；强加"
concert,"n. 音乐会；一致；和谐
adj. 音乐会用的；在音乐会上演出的
vt. 使协调；协同安排
vi. 协调；协力"
private,"n. 列兵；二等兵
adj. 私人的；私有的；私下的"
silent,"n. 无声电影
adj. 沉默的；寂静的；无记载的"
musical instrument,"n. 乐器
 西式乐器；琴；音乐器材"
enemy,"n. 敌人，仇敌；敌军
adj. 敌人的，敌方的"
regular,"n. 常客；正式队员；中坚分子
adj. 定期的；有规律的；合格的；整齐的；普通的
adv. 定期地；经常地"
cheer,"n. 欢呼；愉快；心情；令人愉快的事
vt. 欢呼；使高兴；为…加油
vi. 欢呼；感到高兴"
low,"adj. 低的，浅的；卑贱的；粗俗的；消沉的
adv. 低声地；谦卑地，低下地
n. 低；低价；低点；牛叫声
vi. 牛叫"
eyesight,n. 视力；目力
dentist,"n. 牙科医生
牙医诊所"
recovery,n. 恢复，复原；痊愈；重获
deal with,"na. 办理；对待；与…交涉；与…交易
 处理；对付；应付"
guard against,"v. 防止；加以预防；抵御
 提防；防备；防范"
cancel out,"v. 相约；相消；抵消
 取消；抵偿；抵销"
look on the bright side, 看光明的一面；你得看到事情好的一面；看到事物光明的一面
take up,"na. 拿起；举起；拾起；给搭(火车等)
 占据；从事；开始"
be busy with,"v. 忙于
 忙于某事；忙于做某事；忙于干某事"
leave ... behind,"na. 遗留；留下；追过；留在后头
 超过；落后；丢弃"
cheer ... up,"v. 鼓舞；振作一点
 振作起来；高兴起来；使高兴起来"
