authoritarian,"n. 权力主义者；独裁主义者
adj. 独裁主义的；权力主义的"
scam,"n. 骗局，诡计；故事
vt. 欺诈；诓骗
vi. 欺诈；诓骗"
retaliation,n. 报复；反击；回敬
arsenal,n. 兵工厂；军械库
deterrence,n. 威慑；妨碍物；挽留的事物
self-renewal,n. 自行更新
compassionate,"adj. 慈悲的；富于同情心的
vt. 同情；怜悯"
inflict,vt. 造成；使遭受（损伤、痛苦等）；给予（打击等）
self-esteem,n. 自尊；自负；自大
tangle,"n. 纠纷；混乱状态
vt. 使纠缠；处于混乱状态
vi. 缠结；乱作一团"
vine,"n. 藤；葡萄树；藤本植物；攀缘植物
vi. 长成藤蔓；爬藤"
immobilize,vt. 使固定；使不动；使停止流通
cynical,adj. 愤世嫉俗的；冷嘲的
dispirited,"adj. 沮丧的；没有精神的；意气消沉的
v. 使…沮丧；使…气馁（dispirit的过去分词）"
deride,vt. 嘲笑；嘲弄
countervailing,"adj. 抵消的；对抗性的
v. 补偿；抵消（countervail的ing形式）；对抗"
captive,"n. 俘虏；迷恋者
adj. 被俘虏的；被迷住的"
intent,"n. 意图；目的；含义
adj. 专心的；急切的；坚决的"
remnant,"n. 剩余
adj. 剩余的"
grievance,n. 不满，不平；委屈；冤情
maturity,n. 成熟；到期；完备
mileage,n. 英里数
dent,"n. 凹痕；削弱；减少；齿
vt. 削弱；使产生凹痕
vi. 产生凹陷；凹进去；削减"
fender,n. （汽车等的）挡泥板；防卫物；（暖炉的）炉围；（船只的）碰垫
scramble,"n. 抢夺，争夺；混乱，混乱的一团；爬行，攀登
vi. 爬行，攀登；不规则地生长；仓促行动
vt. 攀登；使混杂，仓促凑成；扰乱"
potentiality,n. 潜力；可能性
aspiring,"v. 立志（aspire的ing形式）
adj. 有抱负的；追求…的；高耸的"
interplay,"n. 相互影响，相互作用
vi. 相互影响，相互作用"
enthrall,vt. 迷住，使着迷
bureaucracy,n. 官僚主义；官僚机构；官僚政治
discredit,"n. 怀疑；无信用；名声的败坏
vt. 不信；使……丢脸"
erratic,"n. 漂泊无定的人；古怪的人
adj. 不稳定的；古怪的"
jaywalk,vi. 乱穿马路（不遵守交通规则）
heartbreaking,"adj. 悲伤或失望到难忍程度的；令人悲伤的
v. 使…心碎（heartbreak的ing形式）"
billfold,n. 皮夹子
fogy,n. 顽固守旧者；赶不上时代的人（等于fogey）
hermitage,n. 隐士生活；隐士住处
dearth,n. 缺乏；饥馑；粮食不足
ampersand,n. &的记号名称（＆等于and）
confound,vt. 使混淆；挫败；讨厌；使混乱
lyrical,adj. 抒情诗调的；感情丰富的；充满愉悦的
haiku,n. 俳句；三行俳句诗
sterility,n.  不育； 不孕；无菌；不毛；内容贫乏
profusion,n. 丰富，充沛；慷慨
inscribe,vt. 题写；题献；铭记；雕
harassment,n. 骚扰；烦恼
spouse,"n. 配偶
vt. 和…结婚"
swoosh,"n. 嗖的一声（涡动）；哗哗作响的移动
vt. 嗖的一声（涡动）；嗖地发射
vi. 哗哗响；作嗖嗖声"
hybrid,"n. 杂种，混血儿；混合物
adj. 混合的；杂种的"
toll,"vt. 征收；敲钟
n. 通行费；代价；钟声；伤亡人数
vi. 鸣钟；征税"
rattle,"vt. 使发出咯咯声；喋喋不休；使慌乱，使惊慌
vi. 喋喋不休地讲话；发出卡嗒卡嗒声
n. 喋喋不休的人；吓吱声，格格声"
blare,"n. 嘟嘟声；号声；巨响
vt. 嘟嘟地发出；高声发出
vi. 发嘟嘟声；发出响而刺耳的声音"
thump,"n. 重打；重击声
vi. 重击；狠打；砰然地响
vt. 重击；用拳头打；砰地撞到"
muffler,n. 围巾；消音器；面纱；厚手套
baffle,"n. 挡板；困惑
vt. 使…困惑；使…受挫折；用挡板控制
vi. 做徒劳挣扎"
slot,"n. 位置；狭槽；水沟；硬币投币口
vt. 跟踪；开槽于"
siphon,"n. 虹吸管
vt. 用虹吸管吸出；抽取
vi. 通过虹吸管"
align,"vt. 使结盟；使成一行；匹配
vi. 排列；排成一行"
crest,"n.  波峰；冠；山顶；顶饰
vi. 到达绝顶；形成浪峰"
phase,"n. 月相
n. （月亮的）盈亏
n. 时期"
trough,n. 水槽，水槽；低谷期；饲料槽；低气压
clarinet,n. 单簧管；竖笛，黑管
cobble,"n. 鹅卵石，圆石
vt. 修，拙劣地修补；铺鹅卵石，用圆石铺面"
ignition,n. 点火，点燃；着火，燃烧；点火开关，点火装置
intriguing,"adj. 有趣的；迷人的
v. 引起…的兴趣；策划阴谋；私通（intrigue的ing形式）"
layman,n. 外行；门外汉；俗人；一般信徒
court,"n. 法院；球场；朝廷；奉承
vt. 招致（失败、危险等）；向…献殷勤；设法获得
vi. 求爱"
rotor,n.  转子；水平旋翼；旋转体
airframe,n. 机身
substrate,n. 基质；基片；底层（等于substratum）；酶作用物
nozzle,n. 喷嘴；管口；鼻
foil,"n. 箔，金属薄片；衬托，烘托；叶形片
abbr. 面向文件的翻译语言（file-Oriented interpretive language）
vt. 衬托；阻止，挡开；挫败；贴箔于"
microchip,n. 微型集成电路片，微芯片
intercom,n. 对讲机；内部通话装置
occupant,n. 居住者；占有者
headphones,n.  耳机；听筒； 头戴式受话器（headphone的复数形式）
prototype,n. 原型；标准，模范
Aborigines,
assimilation,n. 同化；吸收； 同化作用
delinquency,n. 行为不良，违法犯罪；失职，怠工
racist,"n. 种族主义者
种族主义的"
atone,"vi. 弥补；赎回
vt. 赎罪；弥补；偿还"
reconciliation,n. 和解；调和；和谐；甘愿
humpy,adj. 多隆肉的（或驼峰）一般的; 圆丘
institutionalize,vt. 使…制度化
salvation,n. 拯救；救助
Salvation Army,"n. （基督教的）救世军
 救世军组织；美国救世军；基督教救世军"
orphanage,n. 孤儿院；孤儿身份
foster,"vt. 培养；养育，抚育；抱（希望等）
adj. 收养的，养育的"
frizzy,adj. 卷曲的
eugenic,adj. 优种的；优生学的
irredeemably,"无法补救地
不能挽救地"
unprecedented,adj. 空前的；无前例的
indigenous,adj. 本土的；土著的；国产的；固有的
hardy,"n. 强壮的人；耐寒植物；方柄凿
adj. 坚强的；勇敢的；能吃苦耐劳的；鲁莽的"
stewardship,n. 管理工作；管事人的职位及职责
victimization,n. 牺牲；欺骗
massacre,"vt. 残杀；彻底击败
n. 大屠杀；惨败"
overturn,"vt. 推翻；倾覆；破坏
vi. 推翻；倾覆
n. 倾覆；周转；破灭"
empower,vt. 授权，允许；使能够
compatriot,"n. 同胞；同国人
adj. 同胞的；同国的"
genocide,n. 种族灭绝；灭绝整个种族的大屠杀
exploitation,n. 开发，开采；利用；广告推销；剥削
dislocation,n. 转位；混乱； 脱臼
hunch,"n. 预感；大块；肉峰
vt. 耸肩；预感到；弯腰驼背
vi. 隆起；向前移动"
engulf,vt. 吞没；吞食，狼吞虎咽
rehabilitation,n. 复原
bicentennial,"n. 二百周年纪念
adj. 二百周年的"
hush,"vt. 安静；肃静；缄默
n. 安静；肃静；沉默
vi. 沉默；安静下来
int. 嘘；别作声"
canyon,n. 峡谷
Methodist,
convent,n. 女修道院
contemporary,"n. 同时代的人；同时期的东西
adj. 当代的；同时代的；属于同一时期的"
claimant,n. 原告； 索赔人；提出要求者
minder,n. 看守者；照顾者
authorize,vt. 批准，认可；授权给；委托代替
compassion,n. 同情；怜悯
indefensible,adj. 站不住脚的；不能防卫的；无辩护余地的
millennium,n. 千年期，千禧年；一千年，千年纪念；太平盛世，黄金时代
soloist,n. 独奏者；独唱者
baton,n. 指挥棒；接力棒；警棍；司令棒
concourse,n. 广场；集合；合流；群众
repertoire,n. 全部节目；计算机指令系统；（美）某人或机器的全部技能
complementary,adj. 补足的，补充的
distraction,n. 注意力分散；消遣；心烦意乱
enchanting,"adj. 迷人的；妩媚的
v. 使迷惑（enchant的ing形式）"
madrigal,n. 情歌；小曲
symphony,n. 交响乐；谐声，和声
contradictory,"n. 对立物；矛盾因素
adj. 矛盾的；反对的；反驳的；抗辩的"
encyclopedia,n. 百科全书（亦是encyclopaedia）
sleeve note,n. 唱片套上的文字说明
inexhaustible,adj. 用不完的；不知疲倦的
devout,adj. 虔诚的；衷心的
cerebral,adj. 大脑的，脑的
palsy,"n. 麻痹，麻痹状态；中风
vt. 麻痹；使瘫痪"
malady,n. 弊病；疾病；腐败
retarded,adj. 智力迟钝的；发展迟缓的
cystic,adj. 囊的；膀胱的， 胆囊的；胞囊的
fibrosis,n.  纤维化， 纤维变性
clog,"n. 障碍；木底鞋
v. 阻塞；障碍"
mucus,n. 粘液；黏液
pancreas,n.  胰腺
genome,n. 基因组；染色体组
nucleotide,n. 核苷；核甘酸
laureate,"adj. 戴桂冠的；荣誉的
n. 桂冠诗人；得奖者
vt. 使戴桂冠"
embryonic,adj.  胚胎的；似胚胎的
familial,adj. 家族的；家庭的；遗传的
schizophrenia,n.  精神分裂症
prodigy,n. 奇迹，奇事；奇才；奇观；预兆
prognosis,n.  预后；预知
eugenics,n. 优生学
earmark,"n. 特征；耳上记号
vt. 在耳朵上做记号；标记"
molecular,adj.  分子的；由分子组成的
anemia,n. 贫血；贫血症
afflict,vt. 折磨；使痛苦；使苦恼
prenatal,adj. 产前的；胎儿期的； 出生以前的
chromosome,n.  染色体（形容词chromosomal，副词chromosomally）
higgledy-piggledy,"n. 混乱
adj. 混乱的
adv. 混乱地"
syndrome,n.  综合症状；并发症状；校验子；并发位
enzyme,n.  酶
snippet,n. 小片；片断；不知天高地厚的年轻人
dystrophy,n. 营养障碍；营养失调
grizzly,"n. 灰熊
adj. 灰色的"
seizure,n. 没收；夺取；捕获；（疾病的）突然发作
psychiatric,adj. 精神病学的；精神病治疗的
intuitive,adj. 直觉的；凭直觉获知的
obesity,n. 肥大，肥胖
therapy,n. 治疗，疗法
autism,n.  孤独症；自我中心主义
splotch,"n. 污点；斑点
vt. 使…有斑点"
climatologist,n. 气候学家
mischievous,adj. 淘气的；（人、行为等）恶作剧的；有害的
gremlin,n. 小精灵，小鬼；麻烦
unleash,"vt. 发动；解开…的皮带；解除…的束缚
vi. 不受约束；自由自在；放荡不羁"
meteorological,adj. 气象的；气象学的
spawn,"n. 卵；菌丝；产物
vt. 产卵；酿成，造成；大量生产
vi. 产卵；大量生产"
drench,"n. 滂沱大雨；浸液
vt. 使湿透；给（牲畜）灌药"
brew,"n. 啤酒；质地
vi. 酿酒；被冲泡；即将发生
vt. 酿造；酝酿"
swath,n. 细长的列；收割的刈痕；收割的宽度
circumference,n. 圆周；周长；胸围
Ecuadorian,"n. 厄瓜多尔人（等于Ecuadoran或Ecuadorean）
adj. 厄瓜多尔的；厄瓜多尔人的"
anchovy,n. 凤尾鱼；鳀鱼
tornado,n.  龙卷风；旋风；暴风；大雷雨
oceanographer,n. 海洋学家；海洋研究者
dude,"n. 男人，小伙子
n. （非正式）花花公子；纨绔子弟"
scant,"adj. 不足的；缺乏的；勉强够的
vt. 减少；节省；限制"
buoy,"n.  浮标；浮筒；救生圈；航标
vt. 使浮起；支撑；鼓励"
fluctuation,n. 起伏，波动
discrepancy,n. 不符；矛盾；相差
reversal,n. 逆转； 反转； 撤销
oscillation,n. 振荡；振动；摆动
pendulum,n. 钟摆；摇锤；摇摆不定的事态
dwindle,"vi. 减少；变小
vt. 使缩小，使减少"
weird,"n. （苏格兰）命运；预言
adj. 怪异的；不可思议的；超自然的"
sloshing,"n. 晃动，晃荡；冲激
v. 晃动（slosh的现在分词）"
thermocline,n.  温跃层； 斜温层；变温层
reverberation,n.  混响；反射；反响；回响
monsoon,n. 季风；（印度等地的）雨季；季候风
teleconnection,n. （纹泥或其他沉积物的）远程并置对比（用于确定年代）
jet stream,"n. （地球高空的）急流；（飞机发动机的）喷气流
 喷射气流；喷流；高速气流"
dip,"n. 下沉，下降；倾斜；浸渍，蘸湿
vi. 浸；下降，下沉；倾斜；舀，掏
vt. 浸，泡，蘸；舀取；把伸入"
moisture-laden,含水分的，水分饱和的
nudge,"n. 推动；用肘轻推；没完没了抱怨的人
vt. 推进；用肘轻推；向…不停地唠叨
vi. 轻推；推进；唠叨"
amplify,"vt. 放大，扩大；增强；详述
vi. 详述"
unfurl,"vt. 展开；使…临风招展
vi. 展开；公开"
symposium,n. 讨论会，座谈会；专题论文集；酒宴，宴会
dice,"vt. 切成方块
n. 骰子
vi. 掷骰子"
snake eyes,"n. 蛇眼（掷出的两枚骰子均为一点）
 忍者蛇眼；面具人；蛇眼天眼追凶"
misfire,"vi. 失败；不发火
n. 失败；不发火"
miscellaneous,adj. 混杂的，各种各样的；多方面的，多才多艺的
clientele,n. 客户；诉讼委托人
maritime,adj. 海的；海事的；沿海的；海员的
wholesale,"n. 批发
adj. 批发的；大规模的
vt. 批发
adv. 大规模地；以批发方式
vi. 批发；经营批发业"
intangible,adj. 无形的，触摸不到的；难以理解的
outstrip,vt. 超过；胜过；比…跑得快
marina,n. 码头， 小艇船坞；散步道
extol,vt. 颂扬；赞美；赞颂
papal,adj. 教宗的；罗马教皇的；教皇制度的
envoy,n. 使者；全权公使
exotic,adj. 异国的；外来的；异国情调的
renaissance,n. 文艺复兴（欧洲14至17世纪）
the Renaissance, 文艺复兴；文艺复兴时期；文艺复兴运动
panoramic,adj.  全景的
disposable,adj. 可任意处理的；可自由使用的；用完即可丢弃的
disposal,n. 处理；支配；清理；安排
categorize,vt. 分类
category,n. 种类，分类； 范畴
beverage,n. 饮料
marketability,n. 可销售，市场性；适销性
marketable,adj. 市场的；可销售的；有销路的
junk,n. 垃圾，废物；舢板
infrastructure,n. 基础设施；公共建设；下部构造
sewage,n. 污水；下水道；污物
whereby,adv. 凭借；通过…；借以；与…一致
indoctrination,n. 教化；教导
poignancy,n. 辛辣；强烈；尖锐；辛酸事
beckon,"vt. 召唤；吸引
vi. 吸引；（招手或点头）示意
n. 表召唤的点头；手势"
reminiscence,n. 回忆；怀旧；引起联想的相似事物
cosmic,adj. 宇宙的（等于cosmical）
quark,n.  夸克（理论上一种比原子更小的基本粒子）
quasar,n.  类星体；恒星状球体
valence,n.  价； 原子价； 化合价；效价
streak,"n. 条纹，线条；倾向
vi. 飞跑，疾驶；加上条纹
vt. 飞跑，疾驰；加条纹于"
tetrahedron,n.  四面体
graphite,"n. 石墨；黑铅
n. 用石墨涂（或掺入等）"
amino acid,"n. 氨基酸
 胺基酸；天然胺基酸；氨基酸矿物质微量元素"
stupefyingly,令人震惊地
fraud,n. 欺骗；骗子；诡计
muddle,"vt. 混合；使咬字不清晰；使微醉
n. 糊涂；困惑；混浊状态
vi. 胡乱思考；糊里糊涂地行事"
boggle,"n. 犹豫，退缩；惊奇
vt. 搞糟，弄坏；使……惊奇；使……困惑
vi. 犹豫，退缩；惊恐"
photon,n.  光子；辐射量子；见光度（等于light quantum）
quantum,n. 量子论；额；美国昆腾公司（世界领先的硬盘生产商）
girder,n.  大梁，纵梁
spiral,"n. 螺旋；旋涡；螺旋形之物
adj. 螺旋形的；盘旋的
vt. 使成螺旋形；使作螺旋形上升
vi. 盘旋；成螺旋形；螺旋形上升（过去式spiraled/spiralled，过去分词spiraled/spiralled，现在分词spiraling/spiralling，第三人称单数spirals，副词spirally）"
lattice,"n.  晶格；格子；格架
vt. 使成格子状"
residue,n. 残渣；剩余；滤渣
stellar,adj. 星的；星球的；主要的；一流的
plasma,n.  等离子体；血浆； 深绿玉髓
thimbleful,n. 极少量
bouillon,n. （法）牛肉等的清汤
bouillon cube,（肉汤等的）块状浓缩汤
astrophysicist,n. 天体物理学家
oscillate,"vt. 使振荡；使振动；使动摇
vi. 振荡；摆动；犹豫"
chlorophyll,n.  叶绿素
chum,"n. 室友；密友
vi. 结为密友"
babble,"vt. 含糊不清地说；泄露
vi. 喋喋不休；呀呀学语；作潺潺声
n. 含糊不清的话；胡言乱语；潺潺声"
catalyst,n.  催化剂；刺激因素
preeminence,n. 卓越；杰出
laureate,"adj. 戴桂冠的；荣誉的
n. 桂冠诗人；得奖者
vt. 使戴桂冠"
totalitarian,"n. 极权主义者
adj. 极权主义的"
meteorology,n. 气象状态，气象学
fusion,n. 融合；熔化；熔接；融合物； 核聚变
planetary,adj. 行星的
prerequisite,"n. 先决条件
adj. 首要必备的"
constituency,n. （选区的）选民；支持者；（一批）顾客
parsimoniously,adv. 极度俭省地，吝啬地
nonlinear,adj. 非线性的
interface,"n. 界面；<计>接口；交界面
v. （使通过界面或接口）接合，连接；使联系
vi. 相互作用（或影响）；交流，交谈"
harness,"n. 马具；甲胄；挽具状带子；降落伞背带；日常工作
vt. 治理；套；驾驭；披上甲胄；利用"
imperatively,adv. 命令式地
scenario,n. 方案；情节；剧本；设想
flabbergast,vt. 哑然失色；使大吃一惊
jargon,n. 行话，术语；黄锆石
convergence,n.  收敛；会聚，集合
monopoly,n. 垄断；垄断者；专卖权
subscriber,n. 订户；签署者；捐献者
3-DX-rays,
camcorder,n. 摄录像机；便携式摄像机
exclusive grip,
subsidy,n. 补贴；津贴；补助金
herald,"n. 预兆，征兆；先驱；传令官；报信者
vt. 通报；预示…的来临"
sidestep,"n. 台阶；横跨的一步
vt. 回避；横跨一步躲避
vi. 回避问题；侧向跨步"
rudimentary,adj. 基本的；初步的；退化的；残遗的；未发展的
two-tiered international market,
dilapidated,"adj. 荒废的，要塌似的；破坏的
v. 变得荒废（dilapidate的过去分词）"
smart set,"na. 时髦人士
 上流社会；时髦精英；时髦者"
hookup charge,
depot,"n. 仓库；停车场；航空站
adj. 药性持久的
vt. 把…存放在储藏处"
logo,n. 商标，徽标；标识语
crater,"n. 火山口；弹坑
vt. 在…上形成坑；取消；毁坏
vi. 形成坑；消亡"
entrant,n. 进入者；新会员；参加竞赛者；新工作者
demise,"n. 死亡，终止；转让；传位
vt. 遗赠；禅让"
bottom line,"n. 底线；底价；要旨；基本论点
 最低限度；绝对底线；账本底线"
access charge,接入费
local loop,"un. 用户回线
 本地回路；本地环路；区域回路"
protocol,"n. 协议；草案；礼仪
vt. 拟定
vi. 拟定"
mainframe computer,"un. 大型主机；主计算机
 大型计算机；大型电脑；大型机"
high-resolution,n. 高分辨率
coaxial,adj. 同轴的，共轴的
coaxial line,"un. 共轴线；同轴线；具有同心导线的电缆
 同轴电缆；同轴线路；传输线"
rivalry,n. 竞争；对抗；竞赛
fresh turf,
trunk line,"na. (铁路的)干线；中继线
 主干线；主管线；长途中继线"
think tank,"n. 专家小组
 智库；智囊团；思想库"
crucify,vt. 折磨；十字架上钉死；克制
butler,n. 男管家；仆役长
transcribe,vt. 转录；抄写
discrete,"n. 分立元件；独立部件
adj. 离散的，不连续的"
amortize,vt. 摊销（等于amortise）；分期偿还
obverse,"n. 正面；对立面；主要的一面
adj. 正面的； 倒转的；对应面的"
assort,"vt. 把…分级；把…归为一类
vi. 协调；交往"
ream,"n. 令（纸张的计数单位）；大量
vt. 榨取（果汁等）；扩展；挖"
database,n. 数据库，资料库
query,"n. 疑问，质问；疑问号 ； 查询
vi. 询问；表示怀疑
vt. 询问；对……表示疑问"
projection,n. 投射；规划；突出；发射；推测
percolate,"vt. 使渗出；使过滤
vi. 过滤；渗出；浸透
n. 滤过液；渗出液"
attest,"vt. 证明；证实；为…作证
vi. 证明；作证"
spectrogram,n. 光谱图；声谱图；光谱照片
tract,n. 束；大片土地，地带；小册子
vocal tract,"un. 声域
 声道；声腔；发音通道"
resonance,n.  共振；共鸣；反响
amplitude,n. 振幅；丰富，充足；广阔
consonant,"n. 辅音；辅音字母
adj. 辅音的；一致的；和谐的"
precede,"vt. 领先，在…之前；优于，高于
vi. 领先，在前面"
allophone,n. 音位变体
algorithm,n.  算法，运算法则
consortium,n. 财团；联合；合伙
corpora,n. 任何事物之主体；全集
perplexity,n. 困惑；混乱
coefficient,"n.  系数；率；协同因素
adj. 合作的；共同作用的"
warp,"n. 弯曲，歪曲；偏见；乖戾
vt. 使变形；使有偏见；曲解
vi. 变歪，变弯；曲解"
spectrum,n. 光谱；频谱；范围；余象
vector,"n. 矢量；带菌者；航线
vt. 用无线电导航"
reflective,adj. 反射的；反映的；沉思的
skeletal,adj. 骨骼的，像骨骼的；骸骨的；骨瘦如柴的
circularity,n. 圆； 环状；圈状
chauvinism,n. 沙文主义；盲目的爱国心
trite,adj. 陈腐的；平庸的；老一套的
inflicted,"把…强加给
使承受（inflict的过去式和过去分词）"
atrophy,"n. 萎缩，萎缩症；发育停止
vi. 萎缩；虚脱"
stagnation,n. 停滞；滞止
decadence,n. 堕落，颓废；衰落
capricious,adj. 反复无常的；任性的
annihilation,n. 灭绝；消灭
apostle,n. 信徒，使徒；最初的传道者
abject,adj. 卑鄙的；可怜的；不幸的；（境况）凄惨的，绝望的
obsequious,adj. 谄媚的；奉承的；顺从的
omnipotent,adj. 无所不能的；全能的；有无限权力的
omniscient,"adj. 全知的；无所不知的
n. 上帝；无所不知者"
gnawing,"n. 咬；不断的苦痛
adj. 令人痛苦的；折磨人的
v. 咬；侵蚀（gnaw的ing形式）"
fickle,adj. 浮躁的；易变的；变幻无常的
treacherous,adj. 奸诈的，叛逆的，背叛的；危险的；不牢靠的
taunt,"n. 嘲弄；讥讽
adj. 很高的
vt. 奚落；逗弄"
tantalize,"vt. 逗弄；使干着急
vi. 逗弄人；令人干着急"
imminent,adj. 即将来临的；迫近的
futility,n. 无用；徒劳；无价值
stultify,vt. 使变无效；使显得愚笨；使无价值
cower,vi. 退缩；抖缩；蜷缩；弯腰屈膝
devastation,n. 毁坏，荒废
postulate,"n. 基本条件；假定
vt. 假定；要求；视…为理所当然"
illusive,adj. 错觉的；幻影的；迷惑人的
empathic,adj. 移情作用的；神入的
affinity,n. 密切关系；吸引力；姻亲关系；类同
aspiration,n. 渴望；抱负；送气；吸气；吸引术
egocentric,"adj.  自我中心的；利己主义的
n. 利己主义者"
animalistic,adj. 兽性说的，肉欲的
