conviction,n. 定罪；确信；证明有罪；确信，坚定的信仰
considerable,adj. 相当大的；重要的，值得考虑的
rosebush,n. 蔷薇丛；玫瑰丛；灌木
irritate,"vt. 刺激，使兴奋；激怒
vi. 引起恼怒，引起不愉快"
assault,"n. 攻击；袭击
vt. 攻击；袭击
vi. 袭击；动武"
confused,"v. 困惑（confuse的过去式）
adj. 困惑的；混乱的；糊涂的"
casually,adv. 随便地；偶然地；临时地
rot,"n. 腐烂；腐败；腐坏
vt. 使腐烂；使腐朽；使堕落
vi. 腐烂；腐败；堕落
int. （表示厌恶、蔑视、烦恼等）胡说；糟了"
swiftly,adv. 很快地；敏捷地；即刻
Hades,n. 冥府；地狱；阎王
flower,"n. 花；精华；开花植物
vt. 使开花；用花装饰
vi. 成熟，发育；开花；繁荣；旺盛"
transfer,"n. 转让；转移；传递；过户
vt. 使转移；调任
vi. 转让；转学；换车"
constable,n. 治安官，巡警；警察
drive sb. to do sth.,
contrary to,"na. 跟…相反
 与……相反；违反；和…相反"
upside down,"adv. 颠倒；倒转；翻转
 颠倒世界；逆世界；上下颠倒"
throw light on sth.,
to the effect that, 大意是；大意是说；主要内容是
dawn on sb.,
dawn upon sb.,
so far as sb. can see,
as far as sb. can see,
make up for sth.,
among other things,"na. 其中；格外
 此外；除了别的以外；除了其它方面"
give sb. away,"na. 赠送；分发；放弃；露马脚
 泄露；出卖；分送"
give oneself away,"na. 露马脚
 现原形；泄露；露出马脚"
what has become of sth.,
what has become of sb.,
what had become of sth.,
what had become of sb.,
preach,"n. 说教
vt. 说教；讲道；鼓吹；传道；反复灌输
vi. 说教；讲道；鼓吹；宣扬"
consult,"vi. 请教；商议；当顾问
vt. 查阅；商量；向…请教"
tobacco jar,烟灰缸
violet,"n. 紫罗兰；堇菜；羞怯的人
adj. 紫色的；紫罗兰色的"
presently,adv. （美）目前；不久
venture,"n. 企业；风险；冒险
vt. 敢于
vi. 冒险；投机"
odd,"adj. 奇数的；古怪的；剩余的；临时的；零散的
n. 奇数；怪人；奇特的事物"
goldfish,n. 金鱼
pigeon,n. 鸽子
flutter,"n. 摆动；鼓翼；烦扰
vt. 拍；使焦急；使飘动
vi. 飘动；鼓翼；烦扰"
restore,"vi. 恢复；还原
vt. 恢复；修复；归还"
latter,adj. 后者的；近来的；后面的；较后的
ambition,"n. 野心，雄心；抱负，志向
vt. 追求；有…野心"
proposal,n. 提议，建议；求婚
drunkard,n. 酒鬼，醉汉
drain,"n. 排水；下水道，排水管；消耗
vt. 喝光，耗尽；使流出；排掉水
vi. 排水；流干"
swamp,"vt. 使陷于沼泽；使沉没；使陷入困境
n. 沼泽；湿地
vi. 下沉；陷入沼泽；陷入困境；不知所措（过去式swamped，过去分词swamped，现在分词swamping，第三人称单数swamps，名词swampiness，形容词swampy）"
sweetness,n. 美妙；芳香；可爱
chap,"n. 小伙子；家伙；龟裂
vt. 使皲裂
vi. 皲裂"
rotation,n. 旋转；循环，轮流
forcible,adj. 强制的；暴力的；有说服力的；强有力的
bump,"n. 肿块，隆起物；撞击
vi. 碰撞，撞击；颠簸而行
vt. 碰，撞；颠簸
adv. 突然地，猛烈地"
smash,"n. 破碎；扣球；冲突；大败
vt. 粉碎；使破产；溃裂
adj. 了不起的；非常轰动的；出色的
vi. 粉碎；打碎"
scarcely,adv. 几乎不，简直不；简直没有
wilderness,n. 荒地；大量，茫茫一片
a wilderness of,
disorder,"n. 混乱；骚乱
vt. 使失调；扰乱"
movable,"adj. 动产的；可移动的；不固定的
n. 动产；可移动的东西"
spin,"n. 旋转；疾驰
vi. 旋转；纺纱；吐丝；晕眩
vt. 使旋转；纺纱；编造；结网"
equator,n. 赤道
cannon,"n. 大炮；加农炮；榴弹炮；机关炮
vt. 炮轰
vi. 炮轰；开炮"
jerk,"n. 肌肉抽搐；性情古怪的人；蠢人；急拉
vi. 痉挛；急拉；颠簸地行进
vt. 猛拉"
appreciate,"vi. 增值；涨价
vt. 欣赏；感激；领会；鉴别"
miscarry,vi. 流产；失败；被误送
disgust,"n. 厌恶，嫌恶
vt. 使厌恶；使作呕"
thunder,"n. 雷；轰隆声；恐吓
vt. 轰隆地发出；大声喊出
vi. 打雷；怒喝"
whirlwind,"n. 旋风；旋风般的快速行动
adj. 旋风般的"
vain,adj. 徒劳的；自负的；无结果的；无用的
miraculous,adj. 不可思议的，奇迹的
no more ... than,"na. 某乙也不…
 仅仅；至多；不过"
not ... any more than,
leave sb. for a while,
leave sth. for a while,
urge sb. on, 鞭策；强调；驱策
wave sth. away,"na. 挥手使去；拒绝
 挥手让某人走开；拒绝接受"
wave sth. aside,"na. 挥手使站开；挥手拒绝
 置之不理；对…置之不理；不理会"
on all fours,"na. 匍匐；完全一致的
 爬着；趴着；匍匐着"
in vain,"na. 无益地；轻慢地
 徒劳；徒然；白白地"
come upon sb.,
come over sb.,
to put sth. right,
waken,"vt. 唤醒；使觉醒
vi. 醒来；觉醒"
bothersome,adj. 麻烦的；令人讨厌的
plant,"n. 工厂，车间；植物；设备；庄稼
vt. 种植；培养；栽培；安置
vi. 种植"
water,"n. 水；海水；雨水；海域，大片的水
vt. 使湿；供以水；给…浇水
vi. 加水；流泪；流口水"
wave,"n. 波动；波浪；高潮；挥手示意；卷曲
vt. 卷（烫）发；向…挥手示意；使成波浪形
vi. 波动；起伏；挥手示意；摇动；呈波形"
gossip,"n. 小道传闻；随笔；爱说长道短的人
vi. 闲聊；传播流言蜚语"
drone,"n. 雄蜂；嗡嗡的声音；懒惰者
n. 无人机（非正式）
vt. 低沉地说
vi. 嗡嗡作声；混日子"
bomber,n. 轰炸机；投弹手
untouched,adj. 未受影响的；未改变的；未触动过的；不受感动的
diaper,"n. 尿布
vt. 给孩子换尿布"
bound,"n. 范围；跳跃
adj. 有义务的；必定的；受约束的；装有封面的
vt. 束缚；使跳跃
vi. 限制；弹起"
target,"n. 目标；靶子
vt. 把……作为目标；规定……的指标；瞄准某物"
blinding,"n. 碎石子
adj. 使人眩目的；使人失去判断力的"
outward,"adj. 向外的；外面的；公开的；外服的；肉体的
adv. 向外（等于outwards）；在外；显而易见地
n. 外表；外面；物质世界"
fling,"n. 掷，抛；嘲弄；急冲
vt. 掷，抛；嘲笑；使陷入；轻蔑地投射；猛动
vi. 猛冲，急行"
unconsciousness,n. 无意识；意识不清； 人事不省
tend,"vt. 照料，照管
vi. 趋向，倾向；照料，照顾"
undershorts,n. （男式）短衬裤; 裤衩; 松身短衬裤
exposed,"v. 暴露，揭露（expose的过去分词）
adj. 暴露的，无掩蔽的"
timber,n. 木材；木料
dense,adj. 稠密的；浓厚的；愚钝的
fog,"n. 雾；烟雾，尘雾；迷惑
vt. 使模糊；使困惑；以雾笼罩
vi. 被雾笼罩；变模糊"
mushroom,"n. 蘑菇，伞菌；蘑菇形物体；暴发户
adj. 蘑菇的；蘑菇形的；迅速生长的
vi. 迅速增加；采蘑菇；迅速生长"
tower,"n. 塔；高楼；堡垒
vi. 高耸；超越"
remains,n. 残余；遗骸
signature,n. 署名；签名；信号
terrifying,"adj. 令人恐惧的；骇人的；极大的
v. 使害怕，使恐怖（terrify的现在分词）"
dominant,"n. 显性
adj. 显性的；占优势的；支配的，统治的"
hostile,"n. 敌对
adj. 敌对的，敌方的；怀敌意的"
ruin,"n. 废墟；毁坏；灭亡
vt. 毁灭；使破产
vi. 破产；堕落；被毁灭"
migrate,"vi. 移动；随季节而移居；移往
vt. 使移居；使移植"
sole,"n. 鞋底；脚底；基础；鳎目鱼
adj. 唯一的；单独的；仅有的
vt. 触底；上鞋底"
heir,n.  继承人；后嗣；嗣子
flavor,"n. 情味，风味；香料；滋味
vt. 加味于"
spacious,adj. 宽敞的，广阔的；无边无际的
delight,"n. 高兴
vt. 使高兴
vi. 高兴"
fashion,"n. 时尚；时装；样式；时髦人物
vt. 使用；改变；做成…的形状"
tatami,n. （日）榻榻米
fittings,n.  配件（fitting的复数）；设备；家具
pancake,"n. 薄烤饼；粉饼；平降（全称pancake landing）
vt. 使平坠著陆；使平展
vi. 平坠着陆；平展"
bacon,n. 咸肉；腌肉；熏猪肉
retire,"n. 退休；退隐；退兵信号
vi. 退休；撤退；退却
vt. 退休；离开；收回"
sheltered,"adj. 受保护的；掩蔽的；免税的；为弱者提供方便的
v. 庇护（shelter的过去分词）"
necessity,n. 需要；必然性；必需品
hypocenter,n. (地震的)震源
flesh,"n. 肉；肉体
vt. 喂肉给…；使发胖
vi. 长胖"
feel,"n. 感觉；触摸
vi. 觉得；摸索
vt. 感觉；认为；触摸；试探"
boiled,"v. 煮（boil的过去式和过去分词）
adj. 煮沸的，煮熟的"
glimpse,"n. 一瞥，一看
vt. 瞥见
vi. 瞥见"
wound,"n. 创伤，伤口
vt. 使受伤
vi. 受伤，伤害"
first-aid,adj. 急救的；急救用的
splash,"n. 飞溅的水；污点；卖弄
vt. 溅，泼；用...使液体飞溅
vi. 溅湿；溅开"
bandage,"n. 绷带
vt. 用绷带包扎"
sway,"n. 影响；摇摆；统治
vt. 影响；统治；使摇动
vi. 影响；摇摆"
close,"n. 结束
adj. 紧密的；亲密的；亲近的
vt. 关；结束；使靠近
vi. 关；结束；关闭
adv. 紧密地"
burn,"n. 灼伤，烧伤；烙印
vt. 燃烧；烧毁，灼伤；激起…的愤怒
vi. 燃烧；烧毁；发热"
rebuild,"vt. 重建；改造，重新组装；复原
vi. 重建"
well,"n. 井；源泉
adj. 良好的；健康的；适宜的
adv. 很好地；充分地；满意地；适当地
v. 涌出"
carpenter,"n. 木匠，木工
vt. 制作
vi. 当木匠，做木匠工作"
raise,"n. 高地；上升；加薪
vt. 提高；筹集；养育；升起
vi. 上升"
wreckage,n. （失事船或飞机等的）残骸；（船只等的）失事
resemble,vt. 类似，像
hovel,"n. 小屋；栅舍；茅舍
vt. 使…住在茅屋；把…拴入棚舍"
snowflake,n. 雪花；雪片莲；雪巫
crack,"n. 裂缝；声变；噼啪声
adj. 最好的；高明的
vi. 破裂；爆裂
vt. 使破裂；打开；变声"
mansion,n. 大厦；宅邸
heal,"vt. 治愈，痊愈；和解
vi. 痊愈"
scar,"n. 创伤；伤痕
vt. 伤害；给留下伤痕
vi. 结疤；痊愈"
aftershock,"n. 余震
余波"
extent,n. 程度；范围；长度
blast,"n. 爆炸；冲击波；一阵
vt. 爆炸；损害；使枯萎
vi. 猛攻"
gum,"n. 口香糖；树胶；橡皮
vt. 用胶粘，涂以树胶；使…有粘性"
bowel,"n. 肠；内部；同情
vt. 将……的肚肠取出"
bleed,"vt. 使出血；榨取
vi. 流血；渗出；悲痛"
ghost,"n. 鬼，幽灵
vt. 作祟于；替…捉刀；为人代笔
vi. 替人代笔"
matter-of-factly,adv. 实事求是地
turn,"n. 转弯；变化；(损害或有益于别人的)行为，举动，举止
vi. 转向；转变；转动
vt. 转动，使旋转；转弯；翻过来；兑换"
superstition,n. 迷信
upright,"n. 垂直；竖立
adj. 正直的，诚实的；垂直的，直立的；笔直的；合乎正道的"
radiation,n. 辐射；发光；放射物
sickness,n. 疾病；呕吐；弊病
aftereffect,n. 后果；余波； 后效
for one thing ... for another,
break off,"v. 断绝；摘；把…折断；使脱落
 中断；突然停止；打断"
break off sth.,
expect sth. from sb.,
expect sth. of sb.,
bring sth. with sb.,
bring sb. with sb.,
what remains of sth.,
what remained of sth.,
build sth. out of ...,
make sth. out of ...,
in exchange for,"na. 换
 交换；用……交换；作为交换"
by the standards of sth.,
side by side,"na. 并排着
 肩并肩；肩并肩地；朗文国际英语教程"
resist sth.,
resist doing sth.,
give way to sth.,
largely,adv. 主要地；大部分；大量地
doings,n. 举动，行为；所做之事（doing的复数）
dark-haired,adj. 黑头发的
gratitude,n. 感谢（的心情）；感激
vapor,"n. 蒸汽；烟雾
vt. 使……蒸发；使……汽化
vi. 蒸发；吹牛；沮丧"
melting,"adj. 融化的；溶解的；动人的；感伤的
v. 融化（melt的ing形式）"
fragrant,adj. 芳香的；愉快的
delicate,adj. 微妙的；精美的，雅致的；柔和的；易碎的；纤弱的；清淡可口的
bloom,"n. 花；青春；旺盛
vt. 使开花；使茂盛
vi. 开花；茂盛"
raging,"adj. 愤怒的，狂暴的
v. 发怒，恼火（rage的现在分词）"
sleet,"n. 雨夹雪；雨淞
vt. 冻雨拍打；使下霰般落下
vi. 下雨夹雪；下冰雹"
prettily,adv. 漂亮地，可爱地；恰如其分地
literary,adj. 文学的；书面的；精通文学的
allusion,n. 暗示；提及
villain,n. 坏人，恶棍；戏剧、小说中的反派角色；顽童；罪犯
outskirts,n. 市郊，郊区
fancy,"n. 幻想；想象力；爱好
adj. 想象的；奇特的；昂贵的；精选的
vt. 想象；喜爱；设想；自负
vi. 幻想；想象"
tuition,n. 学费；讲授
gratify,vt. 使满足；使满意，使高兴
spoil,"n. 次品；奖品
vt. 溺爱；糟蹋；破坏；掠夺
vi. 掠夺；变坏；腐败"
cogent,adj. 强有力的；使人信服的
black,"n. 黑色；黑人；黑颜料
adj. 黑色的；黑人的；邪恶的
vt. 使变黑；把鞋油等涂在…上；把（眼眶）打成青肿
vi. 变黑"
absorb,vt. 吸收；吸引；承受；理解；使…全神贯注
salary,"n. 薪水
vt. 给...加薪；给...薪水"
tide,"n. 趋势，潮流；潮汐
vt. 随潮漂流"
overture,"n. 前奏曲；提案；序幕
vt. 提议；为……奏前奏曲"
broke,"v. 打破，断掉（break的过去式）
adj. 一文不名的，破产的"
ulcer,n.  溃疡；腐烂物；道德败坏
twin,"n. 双胞胎中一人
adj. 双胞胎的
vt. 使成对
vi. 成对；生双胞胎"
brood,"n. 一窝；一伙
vt. 孵；沉思"
gloomily,adv. 沮丧地；黑暗地；阴沉地
cocked,"adj. 竖起的；翘起的
v. 使翘起（cock的过去式和过去分词）；使歪斜"
insurance,n. 保险；保险费；保险契约；赔偿金
exclaim,"vt. 大声说出
vi. 呼喊，惊叫；大声叫嚷"
illusion,n. 幻觉，错觉；错误的观念或信仰
abundance,n. 充裕，丰富
confusion,n. 混淆，混乱；困惑
ballerina,n. 芭蕾舞女演员，芭蕾舞女
commercialize,vt. 使商业化；使商品化
memorable,adj. 显著的，难忘的；值得纪念的
locket,n. 小盒；小盒式吊坠
verse,"n. 诗，诗篇；韵文；诗节
vi. 作诗
vt. 使熟练，使精通"
skeptical,adj. 怀疑的；怀疑论的，不可知论的
liquor,"n. 酒，含酒精饮料；溶液；液体；烈酒
vi. 喝酒，灌酒
vt. 使喝醉"
turkey,n. 土耳其（横跨欧亚两洲的国家）
carol,"n. 颂歌，赞美诗；欢乐之歌
vi. 欢乐地歌唱；唱耶诞颂歌
vt. 欢唱；歌颂"
Lord,
reassure,vt. 使…安心，使消除疑虑
clasp,"n. 扣子，钩子；握手
vt. 紧抱；扣紧；紧紧缠绕
vi. 扣住"
marvelous,adj. 了不起的；非凡的；令人惊异的；不平常的
adore,"vt. 崇拜；爱慕；喜爱；极喜欢
vi. 崇拜；爱慕"
acre,n. 土地，地产；英亩
erector,n. 安装工；建立者； 竖立肌
junk,n. 垃圾，废物；舢板
second-hand,"adj. 旧的，二手的
adv. 间接地，第二手地"
brooch,n. （女用的）胸针，领针
chop,"n. 砍；排骨；商标；削球
(俚)丑人
vt. 剁碎；砍"
romp,"n. 嘻耍喧闹；顽皮的女孩
vi. 玩耍；轻快地跑；轻易地取胜"
baste,"n. 调味品；涂抹液
vt. 粗缝；在…上涂油；狠揍；大骂"
sensibly,adv. 明显地；容易感知地；聪明地
radiate,"adj. 辐射状的，有射线的
vi. 辐射；流露；发光；从中心向各方伸展
vt. 辐射；传播；流露；发射；广播"
highball,n. 掺了苏打水的威士忌；掺了姜汁啤酒的威士忌；高杯酒
rosy,adj. 蔷薇色的，玫瑰红色的；美好的；乐观的；涨红脸的
platter,n. 大浅盘；唱片；唱机转盘
damn,"n. 一点；诅咒
vt. 谴责；罚…下地狱
adj. 可恶的
adv. 非常
vi. 谴责
int. 讨厌"
slow,"adj. 慢的；减速的；迟钝的
vt. 放慢；阻碍
vi. 变慢；变萧条
adv. 慢慢地；迟缓地"
aimlessly,adv. 漫无目的地，无目标地
bunch,"n. 群；串；突出物
vt. 使成一串；使打褶
vi. 隆起；打褶；形成一串"
perfume,"n. 香水；香味
vt. 洒香水于…；使…带香味
vi. 散发香气"
filmy,adj. 朦胧的；薄膜的；薄的
near at hand,"na. 在近旁；即将到来
 在手边；近在咫尺；在不久的将来"
close at hand,"v. 迫近；近在眼前
 近在咫尺了；就在旁边；就在眼前"
burst with,"na. 装满
 充满；突然发生；许多负面实体充满着"
keep sth. in mind,"na. 记在心里；记住；注意
 牢记；紧记；牢记在心"
let sb. down,"na. 使失望；放下；丢面子
 失望沮丧；辜负；松劲"
tide sb. over,"v. 帮…度过难关
 渡过；克服；使度过"
cut sth. to the bone,"na. 根除；削减；(把价钱等)减到不能再减
 大大削减；大力削减"
not care a thing about,
care nothing about,"v. 毫不在意
 不在乎；对……漠不关心；对……毫不介意"
hang on to,"na. 紧紧握住
 坚持下去；紧紧抓住；保留"
all the way,"na. 路上一直；老远；(从…到…)逐一
 一路上；自始至终；天长地久"
immensely,adv. 极大地；无限地；广大地；庞大地
varied,"v. 改变；使多样化（vary的过去式和过去分词形式）
adj. 多变的；各式各样的；杂色的"
boundless,adj. 无限的；无边无际的
plain,"n. 平原；无格式；朴实无华的东西
adj. 平的；简单的；朴素的；清晰的
adv. 清楚地；平易地"
grandeur,n. 壮丽；庄严；宏伟
superb,adj. 极好的；华丽的；宏伟的
faintly,adv. 微弱地；模糊地；虚弱地
smallish,adj. 短小的；有点小的
scale,"n. 规模；比例；鳞；刻度；天平；数值范围
vt. 测量；攀登；刮鳞；依比例决定
vi. 衡量；攀登；剥落；生水垢"
horrible,adj. 可怕的；极讨厌的
aviator,n. 飞行员
wander,"vi. 徘徊；漫步；迷路；离题
vt. 游荡，漫游"
prairie,n. 大草原；牧场
desolating,v. 毁坏( desolate的现在分词 ); 极大地破坏; 使沮丧; 使痛苦
immensity,n. 巨大；无限；广大
geographical,adj. 地理的；地理学的
comparatively,adv. 比较地；相当地
ease,"n. 轻松，舒适；安逸，悠闲
vt. 减轻，缓和；使安心
vi. 减轻，缓和；放松；灵活地移动"
correspondent,n. 通讯记者；客户；通信者；代理商行
climber,n. 登山者；攀缘植物；尽力改善自己社会地位的人
import,"n. 进口，进口货；输入；意思，含义；重要性
vt. 输入，进口；含…的意思
vi. 输入，进口"
misty,adj. 模糊的；有雾的
peak,"n. 山峰；最高点；顶点；帽舌
adj. 最高的；最大值的
vt. 使达到最高点；使竖起
vi. 消瘦；到达最高点；变憔悴"
ledge,n. 壁架；突出之部份；暗礁；矿层
conquer,"vt. 战胜，征服；攻克，攻取
vi. 胜利；得胜"
miniature,"adj. 微型的，小规模的
n. 缩图；微型画；微型图画绘画术
vt. 是…的缩影"
compile,vt. 编译；编制；编辑； 汇编
content,"n. 内容，目录；满足；容量
adj. 满意的
vt. 使满足"
pasture,"n. 草地；牧场；牧草
vt. 放牧；吃草"
marshland,n. 沼泽地，沼泽地区
neighbourhood,n. 邻近；周围；邻居关系；附近一带
inhabitant,n. 居民；居住者
favourite,"n. 特别喜爱的人（或物）
adj. 特别受喜爱的"
heath,"n. 石南，石南植物；荒野
adj. 杜鹃花科木本植物的"
transition,n. 过渡；转变； 转换；变调
slope,"n. 斜坡；倾斜；斜率；扛枪姿势
vt. 倾斜；使倾斜；扛
vi. 倾斜；逃走"
crumple,"n. 皱纹；褶皱
vi. 起皱；倒坍；一蹶不振
vt. 弄皱；使一蹶不振"
cone-shaped,adj. 锥形的
pop,abbr. 卖点广告（Point of Purchase）
fairy-tale,adj. 童话的；童话式的
