animal,"n. 动物
动物的"
face,"n. 脸；表面；面子；面容；外观；威信
vi. 向；朝
vt. 面对；面向；承认；抹盖"
foot,"n. 脚；英尺；步调；末尾
vt. 支付；给……换底
vi. 步行；跳舞；总计"
feet,n. 脚（foot的复数形式）；尺；韵脚
hair,"n. 头发；毛发；些微
adj. 毛发的；护理毛发的；用毛发制成的
vt. 除去…的毛发
vi. 生长毛发；形成毛状纤维"
hand,"n. 手，手艺；帮助；指针；插手
vt. 传递，交给；支持；搀扶"
head,"n. 头；头痛；上端；最前的部分；理解力
adj. 头的；主要的；在顶端的
vt. 前进；用头顶；作为…的首领；站在…的前头；给…加标题
vi. 出发；成头状物；船驶往"
leg,n. 腿；支柱
mouth,"n. 口，嘴；河口
vt. 做作地说，装腔作势地说；喃喃地说出
vi. 装腔作势说话"
nose,"n. 鼻子；嗅觉；突出的部分；探问
vt. 嗅；用鼻子触
vi. 小心探索着前进；探问"
smile,"n. 微笑；笑容；喜色
vt. 微笑着表示
vi. 微笑"
tail,"n. 尾巴；踪迹；辫子；燕尾服
adj. 从后面而来的；尾部的
vt. 尾随；装上尾巴
vi. 跟踪；变少或缩小"
bag,"n. 袋；猎获物；（俚）一瓶啤酒
vt. 猎获；把…装入袋中；占据，私吞；使膨大
vi. 松垂"
baseball cap,"n. 棒球帽（有长鸭舌）
 休闲棒球帽；篮球帽；高尔夫球帽"
boots,n. 靴子（boot的复数）；（英）擦靴的仆役
clothes,n. 衣服
dress,"n. 连衣裙；女装
vt. 给…穿衣
vi. 穿衣"
glasses,"n.  眼镜；玻璃（glass的复数形式）；双筒望远镜
v. 把…装入玻璃容器内；给…装上玻璃（glass的第三人称单数形式）"
handbag,n. 手提包
hat,"n. 帽子
vt. 给……戴上帽子
vi. 供应帽子；制造帽子"
jacket,"n. 羽绒滑雪衫；西装短外套；短上衣，夹克；土豆皮；书籍的护封；文件套，公文夹
vt. 给…穿夹克；给…装护套；给…包上护封；打"
jeans,n. 牛仔裤；工装裤
shirt,n. 衬衫；汗衫，内衣
shoe,"n. 鞋；蹄铁；外胎
vt. 给……穿上鞋；穿……鞋"
shorts,n. 短裤
skirt,"n. 裙子
vt. 绕过，回避；位于…边缘
vi. 沿边走，绕开；环绕"
sock,"vt. 重击；给……穿袜
n. 短袜；一击
adv. 正着地；不偏不倚地
adj. 非常成功的"
trousers,n. 裤子，长裤
T-shirt,n. 短袖圆领汗衫
watch,"n. 手表；监视；守护；值班人
vt. 观察；注视；看守；警戒
vi. 观看，注视；守侯，看守"
wear,"n. 衣物；磨损；耐久性
v. 穿着；用旧；耗损；面露"
black,"n. 黑色；黑人；黑颜料
adj. 黑色的；黑人的；邪恶的
vt. 使变黑；把鞋油等涂在…上；把（眼眶）打成青肿
vi. 变黑"
blue,"adj. 蓝色的；沮丧的，忧郁的；下流的
n. 蓝色；（美国海、陆、空三军穿的）蓝色制服；蓝颜料；布鲁斯（歌曲）（一种伤感的美国黑人民歌
vi. 变成蓝色，呈蓝色
vt. 把…染成蓝色；使成蓝色；给…用上蓝剂；用上蓝剂于"
brown,"n. 褐色，棕色
adj. 棕色的，褐色的；太阳晒黑的
vt. 使变成褐色
vi. 变成褐色"
green,"n. 绿色；青春
adj. 绿色的；青春的
vt. 使…变绿色
vi. 变绿色"
grey,"n. 灰色
adj. 灰色的；灰白的
vt. 使变成灰色；使变老
vi. 变成灰色；老化"
gray,"n. 灰色；暗淡的光线
adj. 灰色的；苍白的；灰白头发的；阴郁的
vt. 使成灰色或灰白
vi. 成为灰色或灰白"
orange,"adj. 橙色的；橘色的
n. 橙；橙色；桔子"
pink,"n. 粉红色；化身，典范；石竹花；头面人物
adj. 粉红的；比较激进的；石竹科的；脸色发红的
vt. 扎，刺，戳；使…变粉红色；使…面红耳赤
vi. 变粉红色"
purple,"n. 紫色；紫袍
adj. 紫色的；帝王的；华而不实的
vt. 使成紫色
vi. 变成紫色"
red,"n. 红色，红颜料；赤字
adj. 红色的；红肿的，充血的"
white,"n. 白色；洁白；白种人
adj. 白色的；白种的；纯洁的"
yellow,"n. 黄色；黄种人；黄色颜料
adj. 黄色的；黄皮肤的
vt. 使变黄或发黄
vi. 变黄或发黄"
baby,"n. 婴儿，婴孩；孩子气的人
adj. 婴儿的；幼小的
vt. 纵容，娇纵；把……当婴儿般对待"
boy,n. 男孩；男人
brother,"n. 兄弟；同事；战友
int. 我的老兄！"
child,n. 儿童，小孩，孩子；产物；子孙；幼稚的人；弟子
children,n. 孩子们（child的复数）
cousin,n. 堂兄弟姊妹；表兄弟姊妹
dad,n. 爸爸；爹爹
family,"n. 家庭；亲属；家族；子女；科；语族；族
adj. 家庭的；家族的；适合于全家的"
father,"n. 父亲，爸爸；神父；祖先；前辈
vt. 发明，创立；当…的父亲"
friend,n. 朋友；助手；赞助者
girl,"n. 女孩；姑娘，未婚女子；女职员，女演员；（男人的）女朋友
n. （捷）吉尔"
grandfather,"n. 祖父；始祖
vt. 不受新规定限制"
grandma,n. 奶奶；外婆
grandmother,"n. 祖母；女祖先
vt. 当…的祖母
vi. 当祖母"
grandpa,n. 爷爷；外公
kid,"n. 小孩；小山羊
vt. 欺骗；取笑；戏弄
vi. 欺骗；取笑；戏弄
adj. 小山羊皮制的；较年幼的"
live,"adj. 活的；生动的；实况转播的；精力充沛的
vt. 经历；度过
vi. 活；居住；生存"
man,"n. 人；男人；人类；丈夫；雇工
vt. 操纵；给…配置人员；使增强勇气；在…就位"
men,n. 男人，人类（man的复数）
Miss,
mother,"n. 母亲；大娘；女修道院院长
vt. 生下；养育；像母亲般关怀或照管
adj. 母亲的；出生地的"
Mr,abbr. 先生（Mister）
Mrs,n. 太太；夫人（用于已婚妇女姓名前的尊称）
mum,"adj. 沉默的
n. 妈妈（口语）；沉默；菊花
vi. 演哑剧
int. 别说话"
mom,n. 妈妈
old,"adj. 陈旧的，古老的；年老的
n. 古时"
person,n. 人；身体；容貌，外表；人称
people,"n. 人；人类；民族；公民
vt. 居住于；使住满人"
sister,"n. 姐妹；（称志同道合者）姐妹；修女；护士
adj. 姐妹般的；同类型的"
their,pron. 他们的，她们的；它们的
them,pron. 他们；它们；她们
they,pron. 他们；它们；她们
us,pron. 我们
we,pron. 我们（主格）；笔者，本人（作者或演讲人使用）；朕，寡人
woman,n. 妇女；女性；成年女子
women,n. 女人（woman的复数）
you,pron. 你；你们
your,pron. 你的，你们的
apple,n. 苹果，苹果树，苹果似的东西；炸弹，手榴弹，（棒球的）球；人，家伙。
banana,n. 香蕉；喜剧演员；大鹰钩鼻
bean,"n. 豆；嘴峰；毫无价值的东西
vt. 击…的头部"
bread,"n. 面包；生计
vt. 在…上洒面包屑"
breakfast,"n. 早餐；早饭
vt. 为…供应早餐
vi. 吃早餐"
burger,n. 汉堡包
cake,"n. 蛋糕；块状物；利益总额
vt. 使结块
vi. 结成块状"
carrot,"n. 胡萝卜
诱饵"
chicken,"n. 鸡肉；小鸡；胆小鬼，懦夫
adj. 鸡肉的；胆怯的；幼小的"
chips,n.  炸土豆条；小木片；（作赌注用的）圆形筹码；缺口（chip的复数形式）
fries,n. 炸薯条（French fries）
coconut,n. 椰子；椰子肉
dinner,n. 晚餐，晚宴；宴会；正餐
drink,"n. 酒，饮料；喝酒
vt. 喝，饮；吸收；举杯庆贺
vi. 喝酒；饮水；干杯"
eat,"vt. 吃，喝；腐蚀；烦扰
vi. 进食；腐蚀，侵蚀"
egg,"n. 蛋；卵子；家伙；鸡蛋
vt. 煽动；怂恿"
fish,"n. 鱼，鱼类
vt. 钓鱼，捕鱼；搜寻
vi. 捕鱼，钓鱼；用钩捞取"
food,n. 食物；养料
fries,n. 炸薯条（French fries）
chips,n.  炸土豆条；小木片；（作赌注用的）圆形筹码；缺口（chip的复数形式）
fruit,"n. 水果；产物
vt. 使……结果实
vi. 结果实"
grape,n. 葡萄；葡萄酒；葡萄树；葡萄色
ice cream,"n. 冰淇淋
 冰激凌；雪糕；冰激淋"
juice,n. （水果）汁，液；果汁
kiwi,n. 猕猴桃；几维（一种新西兰产的无翼鸟）；新西兰人
lemon,"adj. 柠檬色的
n. 柠檬"
lemonade,n. 柠檬水
lime,"n. 石灰；酸橙；绿黄色
vt. 撒石灰于；涂粘鸟胶于
adj. 绿黄色的"
lunch,"n. 午餐
vt. 吃午餐；供给午餐
vi. 吃午餐；供给午餐"
mango,n.  芒果
meat,n. 肉，肉类（食用）
meatballs,n. 肉丸( meatball的名词复数 )
milk,"n. 牛奶；乳状物
vt. 榨取；挤…的奶
vi. 挤奶"
onion,n. 洋葱；洋葱头
orange,"adj. 橙色的；橘色的
n. 橙；橙色；桔子"
pea,n. 豌豆
pear,n.  梨树；梨子
pie,"n. 馅饼；饼图；爱说话的人
vt. 使杂乱"
pineapple,"n.  菠萝； 凤梨
adj. 凤梨科的"
potato,n.  土豆， 马铃薯
rice,"n. 稻；米饭
vt. 把…捣成米糊状"
sausage,n. 香肠；腊肠；装香肠的碎肉
tomato,n. 番茄，西红柿
water,"n. 水；海水；雨水；海域，大片的水
vt. 使湿；供以水；给…浇水
vi. 加水；流泪；流口水"
watermelon,n. 西瓜
apartment,n. 公寓；房间
armchair,"n. 扶手椅，单人沙发
adj. 不切实际的"
bath,"n. 沐浴；浴室；浴盆
vt. 洗澡
vi. 洗澡"
bathroom,n. 浴室；厕所；盥洗室
bed,"n. 床；基础；河底， 海底
vt. 使睡觉；安置，嵌入；栽种
vi. 上床；分层"
bedroom,"n. 卧室
adj. 两性关系的；城郊住宅区的"
bookcase,n.  书柜，书架
box,"n. 箱，盒子；包厢；一拳
vt. 拳击；装…入盒中；打耳光
vi. 拳击"
chair,"n. 椅子；讲座；（会议的）主席位；大学教授的职位
vt. 担任（会议的）主席；使…入座；使就任要职"
computer,n. 计算机；电脑；电子计算机
cupboard,n. 碗柜；食橱
desk,"n. 办公桌；服务台；编辑部；（美）讲道台；乐谱架
adj. 书桌的；桌上用的；伏案做的"
dining room,"n. 饭厅；餐厅
 食堂；餐室；厨房"
door,n. 门；家，户；门口；通道
flat,"n. 平地；公寓；平面
adj. 平的；单调的；不景气的；干脆的；平坦的；扁平的；浅的
vi. 逐渐变平；以降调唱（或奏）
vt. 使变平；使（音调）下降，尤指降半音
adv. （尤指贴着另一表面）平直地；断然地；水平地；直接地，完全地"
floor,"n. 地板，地面；楼层；基底；议员席
vt. 铺地板；打倒，击倒；（被困难）难倒"
flower,"n. 花；精华；开花植物
vt. 使开花；用花装饰
vi. 成熟，发育；开花；繁荣；旺盛"
garden,"n. 花园；菜园
vt. 栽培花木
vi. 从事园艺；在园中种植"
hall,n. 过道，门厅，走廊；会堂；食堂；学生宿舍；大厅，前厅；娱乐中心，会所
house,"n. 住宅；家庭；机构；议会；某种用途的建筑物
vt. 覆盖；给…房子住；把…储藏在房内
vi. 住"
kitchen,n. 厨房；炊具；炊事人员
lamp,"n. 灯；照射器
vt. 照亮
vi. 发亮"
living room,"n. 客厅；起居室
 客厅系列；起居定；小客厅"
mat,"n. 垫；垫子；衬边
vt. 缠结；铺席于……上
vi. 纠缠在一起
adj. 无光泽的"
mirror,"n. 镜子；真实的写照；榜样
vt. 反射；反映"
phone,"n. 电话；耳机，听筒
vt. 打电话
vi. 打电话"
poster,n. 海报，广告；招贴
radio,"n. 收音机；无线电广播设备
vt. 用无线电发送
vi. 用无线电进行通信"
room,"n. 房间；空间；余地；机会；房间里所有的人
vt. 为…提供住处；租房，合住；投宿，住宿；留…住宿
vi. 居住；住宿"
rug,n. 小地毯；毛皮地毯；男子假发
sleep,"n. 睡眠
vi. 睡，睡觉"
sofa,n. 沙发；长椅
table,"n. 桌子；表格；平地层
vt. 制表；搁置；嵌合
adj. 桌子的"
television,n. 电视，电视机；电视业
TV,abbr. 电视（television）
wall,"n. 墙壁，围墙；似墙之物
adj. 墙壁的
vt. 用墙围住，围以墙"
window,n. 窗；窗口；窗户
behind,"prep. 落后于；支持；晚于
n. 屁股
adv. 在后地；在原处"
between,"prep. 在…之间
adv. 在中间"
here,"n. 这里
adv. 在这里；此时
int. 嘿！；喂！"
in,"prep. 按照（表示方式）；从事于；在…之内
n. 执政者；门路；知情者
adj. 在里面的；时髦的
adv. 进入；当选；（服装等）时髦；在屋里"
in front of,"na. 在…的前面
 在……前面；在……的前面；在…面前"
next to,"prep. 紧邻；在…近旁；仅次于；紧接
 在…旁边；紧挨着；与……相邻"
on,"adv. 向前地；作用中，行动中；继续着
prep. 向，朝……；关于；在……之上；在……时候
adj. 开着的；发生着的，正在进行中"
park,"n. 公园； 停车场
vt. 停放；放置；寄存
vi. 停放车辆"
store,"n. 商店；储备，贮藏；仓库
vt. 贮藏，储存"
shop,"n. 商店；店铺
vt. 购物
vi. 购物；买东西"
street,"n. 街道
adj. 街道的"
there,"n. 那个地方
adv. 在那里；在那边；在那点上
int. 你瞧"
under,"prep. 低于，少于；在...之下
adj. 下面的；从属的
adv. 在下面；在下方"
alphabet,"n. 字母表，字母系统；入门，初步
n. Google创建的名为Alphabet的公司，改变Google原有公司架构，旨在使其当下主要业务和长期投资项目间的区别更加清晰。"
answer,"n. 回答；答案；答辩
vt. 回答；符合
vi. 回答；符合"
ask,"vt. 问，询问；要求；需要；邀请；讨价
vi. 问，询问；要求"
board,"n. 董事会；木板；甲板；膳食
vt. 上（飞机、车、船等）；用板盖上；给提供膳宿
vi. 寄宿"
book,"n. 书籍；卷；帐簿；名册；工作簿
vt. 预订；登记"
bookcase,n.  书柜，书架
class,"n. 阶级；班级；种类；班；等级
adj. 极好的；很好的，优秀的，出色的
vt. 分类；把…分等级；把…归入某等级，把…看作（或分类、归类）；把…编入某一班级
vi. 属于…类（或等级），被列为某类（或某级）"
classmates,n. 同班同学（classmate的复数）
classroom,n. 教室
close,"n. 结束
adj. 紧密的；亲密的；亲近的
vt. 关；结束；使靠近
vi. 关；结束；关闭
adv. 紧密地"
colour,"n. 颜色；风格；气色，面色；外貌
vt. 把…涂颜色，粉饰；歪曲；使脸红
vi. 变色"
count,"n. 计数；计算；伯爵
vt. 计算；认为
vi. 计数；有价值"
crayons,"n.  蜡笔；蜡笔画；粉笔型蜡笔（crayon的复数）
v. 以蜡笔作画（crayon的三单形式）"
cross,"n. 交叉，十字；十字架，十字形物
adj. 交叉的，相反的；乖戾的；生气的
vt. 杂交；渡过；使相交
vi. 交叉；杂交；横过"
English,"n. 英语；英国人；英文；英格兰人
adj. 英国人的；英国的；英文的
vt. 把…译成英语"
eraser,n. 橡皮；擦除器； 清除器
example,"n. 例子；榜样
vt. 作为…的例子；为…做出榜样
vi. 举例"
find,"n. 发现
vi. 裁决
vt. 查找，找到；发现；认为；感到；获得"
know,"vt. 知道；认识；懂得
vi. 了解；熟悉；确信"
learn,"vt. 学习；得知；认识到
vi. 学习；获悉"
lesson,"n. 教训；课
vt. 教训；上课"
letter,"n. 信；字母，文字；证书；文学，学问；字面意义
vt. 写字母于
vi. 写印刷体字母"
line,"n. 路线，航线；排；绳
vt. 排成一行；划线于；以线条标示；使…起皱纹
vi. 排队；站成一排"
listen,"vi. 听，倾听；听从，听信
n. 听，倾听"
listen to,"v. 听
 倾听；收听；听从"
look,"vt. 看；期待；注意；面向；看上去像
vi. 看；看起来；注意；面向
n. 看；样子；面容"
name,"n. 名称，名字；姓名；名誉
vt. 命名，任命；指定；称呼；提名；叫出
adj. 姓名的；据以取名的"
number,"n. 数；（杂志等的）期；号码；数字；算术
vi. 计入；总数达到
vt. 编号；计入；数…的数目；使为数有限"
open,"adj. 公开的；敞开的；空旷的；坦率的；营业着的
vi. 开始；展现
vt. 公开；打开
n. 公开；空旷；户外"
page,"n. 页；记录；大事件，时期；男侍者
vt. 给…标页码
vi. 翻书页，浏览"
paper,"n. 纸；论文；文件；报纸
adj. 纸做的
vt. 用纸糊；用纸包装
vi. 贴糊墙纸；发交通违章传票"
part,"n. 部分；角色；零件；一些；片段
adj. 部分的
vt. 分离；分配；分开
adv. 部分地
vi. 断裂；分手"
pen,"n. 钢笔；作家；围栏
vt. 写；关入栏中"
pencil,"n. 铅笔；笔状物
vt. 用铅笔写；用眉笔涂
vi. 成铅笔状"
playground,n. 运动场，操场；游乐场
question,"n. 问题，疑问；询问；疑问句
vt. 询问；怀疑；审问
vi. 询问；怀疑；审问"
read,"n. 阅读；读物
adj. 有学问的
vi. 读；读起来
vt. 阅读；读懂，理解"
rubber,"n. 橡胶；橡皮；合成橡胶；按摩师
adj. 橡胶制成的
vt. 涂橡胶于；用橡胶制造
vi. 扭转脖子看；好奇地引颈而望"
ruler,n. 尺；统治者； 划线板，划线的人
school,"n. 学校；学院；学派；鱼群
vt. 教育"
sentence,"n.  句子，命题；宣判，判决
vt. 判决，宣判"
spell,"n. 符咒；一段时间；魅力
vi. 拼字；轮替
vt. 拼，拼写；意味着；招致；拼成；迷住；轮值"
stand,"n. 站立；立场；看台；停止
vi. 站立；位于；停滞
vt. 使站立；忍受；抵抗"
stand up,"na. 站起来；持久；露头角；背约
 起立；我挺你；站得住脚"
story,"n. 故事；小说；新闻报道；来历；假话
vt. 用历史故事画装饰
vi. 说谎"
teacher,n. 教师；导师
tell,"vt. 告诉，说；辨别；吩咐；断定
vi. 讲述；告发，泄密；识别"
tick,"n. 滴答声；扁虱；记号；赊欠
vt. 标记号于；滴答地记录
vi. 发出滴答声；标以记号"
understand,"vi. 理解；懂得；熟悉
vt. 理解；懂；获悉；推断；省略"
word,"n.  单词；话语；消息；诺言；命令
vt. 用言辞表达"
write,"vi. 写，写字；写作，作曲；写信
vt. 写，书写；写信给；著述"
badminton,n. 羽毛球
ball,"n. 球；舞会
vt. 捏成球形
vi. 成团块"
baseball,n. 棒球；棒球运动
basketball,n. 篮球；篮球运动
bat,"n. 蝙蝠；球棒；球拍；批处理文件的扩展名
vt. 用球棒击球；击球率达…
vi. 轮到击球；用球棒击球"
bike,"n. 自行车；脚踏车
vi. 骑自行车（或摩托车）"
board game,"n. 桌上游戏
 桌面游戏；桌游；棋盘游戏"
boat,"n. 小船；轮船
vi. 划船"
bounce,"n. 跳；弹力；活力
vt. 弹跳；使弹起
vi. 弹跳；弹起，反跳；弹回"
camera,n. 照相机；摄影机
catch,"n. 捕捉；捕获物；窗钩
vt. 赶上；抓住；感染；了解
vi. 赶上；抓住"
draw,"n. 平局；抽签
vi. 拉；拖
vt. 画；拉；吸引"
drawing,"n. 图画；牵引；素描术
v. 绘画；吸引（draw的ing形式）；拖曳"
drive,"n. 驱动器；驾车； 内驱力，推进力；快车道
vi. 开车；猛击；飞跑
vt. 推动，发动（机器等）；驾驶（马车，汽车等）；驱赶"
enjoy,vt. 欣赏，享受；喜爱；使过得快活
favourite,"n. 特别喜爱的人（或物）
adj. 特别受喜爱的"
fish,"n. 鱼，鱼类
vt. 钓鱼，捕鱼；搜寻
vi. 捕鱼，钓鱼；用钩捞取"
fishing,"n. 渔业；捕鱼（术）；试探；装配
adj. 钓鱼的；钓鱼用的
v. 捕鱼（fish的ing形式）"
fly,"n. 飞行；苍蝇；两翼昆虫
adj. 敏捷的
vi. 飞；驾驶飞机；飘扬
vt. 飞行；飞越；使飘扬"
football,"n. 足球，橄榄球
vi. 踢足球；打橄榄球"
soccer,n. 英式足球，足球
fun,"n. 乐趣；玩笑；有趣的人或事
adj. 供娱乐用的
vi. 开玩笑"
game,"n. 游戏；比赛
adj. 勇敢的
vi. 赌博"
guitar,"n. 吉他，六弦琴
vi. 弹吉他"
hit,"n. 打；打击；（演出等）成功；讽刺
vt. 打击；袭击；碰撞；偶然发现；伤…的感情
vi. 打；打击；碰撞；偶然碰上"
hobby,n. 嗜好；业余爱好
hockey,n. 曲棍球；冰球
jump,"n. 跳跃；暴涨；惊跳
vt. 跳跃；使跳跃；跳过；突升
vi. 跳跃；暴涨；猛增"
kick,"vt. 踢；反冲，朝后座
n. 踢；反冲，后座力
vi. 踢；反冲"
kite,"n. 风筝
vi. 使用空头支票；像风筝一样飞；轻快地移动
vt. 骗钱；涂改（支票）"
paint,"vt. 油漆；绘画；装饰；涂色于；描绘；（用语言，文字等）描写；擦脂粉等
vi. 油漆；描绘；绘画；化妆
n. 油漆；颜料，涂料；绘画作品；胭脂等化妆品；色彩，装饰"
painting,"n. 绘画；油画；着色
v. 绘画（paint的ing形式）；涂色于"
photo,n. 照片
piano,n. 钢琴
picture,"n. 照片，图画；影片；景色；化身
vt. 画；想像；描写"
play,"n. 游戏；比赛；剧本
vt. 游戏；扮演；演奏；播放；同…比赛
vi. 演奏；玩耍；上演；参加比赛"
play with,"na. 玩弄(火等)；以…自娱
 玩耍；和……一起玩；和…玩"
radio,"n. 收音机；无线电广播设备
vt. 用无线电发送
vi. 用无线电进行通信"
read,"n. 阅读；读物
adj. 有学问的
vi. 读；读起来
vt. 阅读；读懂，理解"
ride,"n. 骑；乘坐；交通工具；可供骑行的路；（乘坐汽车等的）旅行；乘骑；（乘车或骑车的）短途旅程；供乘骑的游乐设施
vi. 骑马；乘车；依靠；漂浮
vt. 骑；乘；控制；（骑马、自行车等）穿越；搭乘；飘浮"
run,"n. 奔跑；赛跑；趋向；奔跑的路程
vt. 管理，经营；运行；参赛
vi. 经营；奔跑；运转"
sing,"n. 演唱；鸣声；呼啸声
vt. 唱；用诗赞颂；唱着使
vi. 唱歌；歌颂；鸣叫；呼号"
skateboard,"n. 溜冰板
vi. 用滑板滑行"
skateboarding,n. 滑板运动
song,n. 歌曲；歌唱；诗歌；鸣声
sport,"n. 运动；游戏；娱乐；运动会；玩笑
adj. 运动的
vt. 游戏；参加体育运动；夸耀
vi. 游戏"
swim,"n. 游泳；漂浮；眩晕
adj. 游泳时穿戴的
vi. 游泳；漂浮；浸；眩晕
vt. 游过；使浮起"
table tennis,"n. 乒乓球运动
 桌球；桌上网球；打乒乓球"
tablet,"n. 碑；药片；写字板；小块；平板电脑
vt. 用碑牌纪念；将(备忘录等)写在板上；将…制成小片或小块"
tennis,n. 网球（运动）
tennis racket,"n. 网球拍
 网球拍子；网球球拍；网球拍图片"
throw,"n. 投掷；冒险
vt. 投；抛；掷
vi. 抛；投掷"
afternoon,n. 午后，下午
birthday,n. 生日，诞辰；诞生的日子
clock,"n. 时钟；计时器
vt. 记录；记时
vi. 打卡；记录时间"
day,"n. 一天；时期；白昼
adj. 日间的；逐日的
adv. 每天；经常在白天地"
end,"n. 结束；目标；尽头；末端；死亡
vi. 结束，终止；终结
vt. 结束，终止；终结"
evening,"n. 晚上；傍晚；（联欢性的）晚会；后期
adj. 在晚上的；为晚上的；晚上用的
int. 晚上好（等于good evening）"
morning,n. 早晨；黎明；初期
night,"n. 夜晚，晚上；黑暗，黑夜
adj. 夜晚的，夜间的"
today,"n. 今天；现今
adv. 今天；现今"
watch,"n. 手表；监视；守护；值班人
vt. 观察；注视；看守；警戒
vi. 观看，注视；守侯，看守"
doll,"n. 洋娃娃；玩偶；无头脑的美丽女人
vt. 把…打扮得花枝招展"
monster,"n. 怪物；巨人，巨兽；残忍的人
adj. 巨大的，庞大的"
robot,n. 机器人；遥控设备，自动机械；机械般工作的人
teddy,n. 连衫衬裤；泰迪玩具熊
teddy bear,"n. 泰迪熊（一种柔软的毛绒玩具熊）
 抱抱熊；小熊；泰迪小熊"
toy,"n. 玩具；小装饰品；不值钱的东西
adj. 作为玩具的；玩物似的
vi. 玩弄；调情；随随便便地对待"
bike,"n. 自行车；脚踏车
vi. 骑自行车（或摩托车）"
boat,"n. 小船；轮船
vi. 划船"
bus,"n. 公共汽车
乘公共汽车"
car,n. 汽车；车厢
drive,"n. 驱动器；驾车； 内驱力，推进力；快车道
vi. 开车；猛击；飞跑
vt. 推动，发动（机器等）；驾驶（马车，汽车等）；驱赶"
fly,"n. 飞行；苍蝇；两翼昆虫
adj. 敏捷的
vi. 飞；驾驶飞机；飘扬
vt. 飞行；飞越；使飘扬"
go,"n. 去；进行；尝试
vi. 走；达到；运转；趋于
vt. 忍受；出产；以…打赌
"
helicopter,"n.  直升飞机
vt. 由直升机运送
vi.  乘直升飞机"
lorry,n. （英）卡车； 货车；运料车
truck,"n. 卡车；交易；手推车
adj. （美）运货汽车的
vt. 交易；以卡车运输
vi. 驾驶卡车；以物易物"
motorbike,n. 摩托车
plane,"n. 飞机；平面；程度，水平
adj. 平的；平面的
vt. 刨平；用刨子刨；掠过水面
vi. 刨；乘飞机旅行；翱翔"
ride,"n. 骑；乘坐；交通工具；可供骑行的路；（乘坐汽车等的）旅行；乘骑；（乘车或骑车的）短途旅程；供乘骑的游乐设施
vi. 骑马；乘车；依靠；漂浮
vt. 骑；乘；控制；（骑马、自行车等）穿越；搭乘；飘浮"
run,"n. 奔跑；赛跑；趋向；奔跑的路程
vt. 管理，经营；运行；参赛
vi. 经营；奔跑；运转"
ship,"n. 船；舰；太空船
vt. 运送，乘船；以船运送
vi. 上船；乘船旅行；当船员"
train,"n. 火车；行列；长队；裙裾
v. 培养；训练；瞄准"
walk,"n. 步行，走；散步
vi. 走，步行；散步
vt. 散步；走过"
sun,"n. 太阳
vt. 使晒
vi. 晒太阳"
teacher,n. 教师；导师
beach,"n. 海滩；湖滨
vt. 将…拖上岸
vi. 搁浅；定居"
sand,"n. 沙；沙地；沙洲；沙滩；沙子
vt. 撒沙于；以沙掩盖；用砂纸等擦平或磨光某物；使撒沙似地布满；给…掺沙子
vi. 被沙堵塞"
sea,n. 海；海洋；许多；大量
