abnormal,adj. 反常的，不规则的；变态的
undermine,vt. 破坏，渐渐破坏；挖掘地基
subway,"n. 地铁；地道
vi. 乘地铁"
subscribe,"vt. 签署；赞成；捐助
vi. 订阅；捐款；认购；赞成；签署"
subject,"n. 主题；科目； 主语；国民
adj. 服从的；易患…的；受制于…的
vt. 使…隶属；使屈从于…"
submarine,"n. 潜水艇；海底生物
adj. 海底的；水下的
vt. 用潜水艇攻击
vi. 在下疾行；在下滑动"
submerge,"vt. 淹没；把…浸入；沉浸
vi. 淹没；潜入水中；湮没"
infrastructure,n. 基础设施；公共建设；下部构造
inferior,"n. 下级；次品
adj. 差的；自卑的；下级的，下等的"
infrared,"n. 红外线
adj. 红外线的"
forehead,n. 额，前额
foreshadow,"vt. 预示；成为…的前兆
n. 预兆"
foremost,"adj. 最重要的；最先的
adv. 首先；居于首位地"
forecast,"n. 预测，预报；预想
vt. 预报，预测；预示
vi. 进行预报，作预测"
foresee,vt. 预见；预知
forefather,n. 祖先；前辈
fore,"n. 前部；船头
prep. 在前
adj. 以前的；在前部的
adv. 在前面；在船头
int. （打高尔夫球者的叫声）让开！"
forward,"n. 前锋
adj. 向前的；早的；迅速的
adv. 向前地；向将来
vt. 促进；转寄；运送"
forth,adv. 向前，向外；自…以后
preface,"n. 前言；引语
vt. 为…加序言；以…开始
vi. 作序"
prevalent,adj. 流行的；普遍的，广传的
preposition,n. 介词；前置词
pretend,"vt. 假装，伪装，模拟
adj. 假装的
vi. 假装，伪装，佯装"
protest,"n. 抗议
adj. 表示抗议的；抗议性的
vt. 抗议；断言
vi. 抗议；断言"
protect,vt. 保护，防卫；警戒
procreate,"vt. 生殖
vi. 生育（子女）；产生"
profile,"n. 侧面；轮廓；外形；剖面；简况
vt. 描…的轮廓；扼要描述
vi. 给出轮廓"
project,"n. 工程；计划；事业
vt. 设计；计划；发射；放映
vi. 设计；计划；表达；投射"
prosecute,"vt. 检举；贯彻；从事；依法进行
vi. 起诉；告发；作检察官"
proclaim,vt. 宣告，公布；声明；表明；赞扬
profound,adj. 深厚的；意义深远的；渊博的
prominent,adj. 突出的，显著的；杰出的；卓越的
prolong,vt. 延长；拖延
pronounce,"vt. 发音；宣判；断言
vi. 发音；作出判断"
promote,"vi. 成为王后或其他大于卒的子
vt. 促进；提升；推销；发扬"
provoke,vt. 驱使；激怒；煽动；惹起
postpone,"vt. 使…延期；把…放在次要地位；把…放在后面
vi. 延缓，延迟；延缓发作"
return,"vi. 返回；报答
adj. 报答的；回程的；返回的
vt. 返回；报答
n. 返回；归还；回球"
retrograde,"adj. 倒退的；退化的；次序颠倒的
vt. 使倒退
vi. 逆行；倒退；退步
adv. 倒退地；向后地"
revolution,n. 革命；旋转；运行；循环
revolt,"n. 反抗；叛乱；反感
vt. 使反感；使恶心
vi. 反抗；反叛；反感，厌恶"
refuge,"n. 避难；避难所；庇护
vt. 给予…庇护；接纳…避难
vi. 避难；逃避"
remote,"n. 远程
adj. 遥远的；偏僻的；疏远的"
retort,"n. 反驳，顶嘴；曲颈瓶
vi. 反驳，回嘴
vt. 反驳，反击"
recall,"n. 召回；回忆；撤消
vt. 召回；回想起，记起；取消"
reclaim,"n. 改造，感化；再生胶
vt. 开拓；回收再利用；改造某人，使某人悔改
vi. 抗议，喊叫"
respond,"n. 应答；唱和
vi. 回答；作出反应；承担责任
vt. 以…回答"
revenge,"n. 报复；复仇
vt. 报复；替…报仇；洗雪
vi. 报仇；雪耻"
resign,"n. 辞去职务
vi. 辞职
vt. 辞职；放弃；委托；使听从"
release,"n. 释放；发布；让与
vt. 释放；发射；让与；允许发表"
intense,adj. 强烈的；紧张的；非常的；热情的
inhabitant,n. 居民；居住者
inherent,adj. 固有的；内在的；与生俱来的，遗传的
insight,n. 洞察力；洞悉
internal,"n. 内脏；本质
adj. 内部的；里面的；体内的；（机构）内部的"
interior,"n. 内部；本质
adj. 内部的；国内的；本质的"
invert,"n. 颠倒的事物；倒置物；倒悬者
adj. 转化的
vt. 使…转化；使…颠倒；使…反转；使…前后倒置"
innate,adj. 先天的；固有的；与生俱来的
intricate,adj. 复杂的；错综的，缠结的
intensive,"n. 加强器
adj. 加强的；集中的；透彻的；加强语气的"
involve,vt. 包含；牵涉；使陷于；潜心于
inverse,"n. 相反；倒转
adj. 相反的；倒转的
vt. 使倒转；使颠倒"
inward,"n. 内部；内脏；密友
adj. 向内的；内部的；精神的；本质上的；熟悉的
adv. 向内；内心里"
indoor,adj. 室内的，户内的
inland,"n. 内地；内陆
adj. 内陆的；内地的；国内的
adv. 在内地；向内地；向内陆；在内陆"
interval,n. 间隔；间距；幕间休息
incentive,"n. 动机；刺激
adj. 激励的；刺激的"
incorporate,"vt. 包含，吸收；体现；把……合并
adj. 合并的；一体化的；组成公司的
vi. 合并；混合；组成公司"
ingenious,adj. 有独创性的；机灵的，精制的；心灵手巧的
inhale,"vt. 吸入；猛吃猛喝
vi. 吸气"
initial,"n. 词首大写字母
adj. 最初的；字首的
vt. 用姓名的首字母签名"
inject,vt. 注入；注射
input,"n. 投入；输入电路
vt.  输入；将…输入电脑"
inside,"prep. 少于；在…之内
n. 里面；内部；内情；内脏
adj. 里面的；内部的；秘密的
adv. 在里面"
install,vt. 安装；任命；安顿
instinct,"n. 本能，直觉；天性
adj. 充满着的"
intrude,"vi. 闯入；侵入；侵扰
vt. 把…强加；把…硬挤"
invade,"vt. 侵略；侵袭；侵扰；涌入
vi. 侵略；侵入；侵袭；侵犯"
invest,"vi. 投资，入股；花钱买
vt. 投资；覆盖；耗费；授予；包围"
introduce,vt. 介绍；引进；提出；采用
impact,"vi. 影响；撞击；冲突；压紧（on，upon，with）
n. 影响；效果；碰撞；冲击力
vt. 挤入，压紧；撞击；对…产生影响"
impart,vt. 给予（尤指抽象事物），传授；告知，透露
import,"n. 进口，进口货；输入；意思，含义；重要性
vt. 输入，进口；含…的意思
vi. 输入，进口"
illuminate,"vt. 阐明，说明；照亮；使灿烂；用灯装饰
vi. 照亮"
illusion,n. 幻觉，错觉；错误的观念或信仰
illustrate,"vi. 举例
vt. 阐明，举例说明；图解"
irrigate,"vt. 灌溉；冲洗；使清新
vi. 灌溉；冲洗"
exit,"n. 出口，通道；退场
vi. 退出；离去"
export,"n. 输出，出口；出口商品
vt. 输出，出口
vi. 输出物资"
exterior,"n. 外部；表面；外型；外貌
adj. 外部的；表面的；外在的"
external,"n. 外部；外观；外面
adj. 外部的；表面的； 外用的；外国的；外面的"
expose,vt. 揭露，揭发；使曝光；显示
experiment,"n. 实验，试验；尝试
vi. 尝试；进行实验"
explore,"vi. 探索；探测；探险
vt. 探索；探测；探险"
exploit,"n. 勋绩；功绩
vt. 开发，开拓；剥削；开采"
excursion,n. 偏移；远足；短程旅行；离题；游览，游览团
expedition,n. 远征；探险队；迅速
exhibit,"n. 展览品；证据；展示会
vt. 展览；显示；提出（证据等）
vi. 展出；开展览会"
expend,vt. 花费；消耗；用光；耗尽
exert,vt. 运用，发挥；施以影响
extent,n. 程度；范围；长度
extinguish,vt. 熄灭；压制；偿清
eccentric,"n. 古怪的人
adj. 古怪的，反常的"
exclaim,"vt. 大声说出
vi. 呼喊，惊叫；大声叫嚷"
exempt,"n. 免税者；被免除义务者
adj. 被免除的；被豁免的
vt. 免除；豁免"
exotic,adj. 异国的；外来的；异国情调的
explode,"vi. 爆炸，爆发；激增
vt. 使爆炸；爆炸；推翻"
explosion,n. 爆炸；爆发；激增
extension,n. 延长；延期；扩大；伸展；电话分机
extensive,adj. 广泛的；大量的；广阔的
outline,"n. 轮廓；大纲；概要；略图
vt. 概述；略述；描画…轮廓"
outlook,"n. 展望；观点；景色
vt. 比……好看；用目光压倒
vi. 朝外看"
outset,n. 开始；开端
outward,"adj. 向外的；外面的；公开的；外服的；肉体的
adv. 向外（等于outwards）；在外；显而易见地
n. 外表；外面；物质世界"
outer,"adj. 外面的，外部的；远离中心的
n. 环外命中"
outdoor,adj. 户外的；露天的；野外的（等于out-of-door）
outbreak,"n. （战争的）爆发；（疾病的）发作
vi. 爆发"
outskirts,n. 市郊，郊区
contemporary,"n. 同时代的人；同时期的东西
adj. 当代的；同时代的；属于同一时期的"
confer,"vt. 授予；给予
vi. 协商"
conscious,adj. 意识到的；故意的；神志清醒的
conscience,n. 道德心，良心
consolidate,"vt. 巩固，使固定；联合
vi. 巩固，加强"
constituent,"n. 成分；选民；委托人
adj. 构成的；选举的"
consistent,adj. 始终如一的，一致的；坚持的
condemn,vt. 谴责；判刑，定罪；声讨
confuse,vt. 使混乱；使困惑
conjunction,n. 结合； 连接词；同时发生
conquest,n. 征服，战胜；战利品
conspiracy,n. 阴谋；共谋；阴谋集团
contagious,adj. 感染性的；会蔓延的
contend,"vi. 竞争；奋斗；斗争；争论
vt. 主张；为...斗争"
contest,"n. 竞赛；争夺；争论
vt. 争辩；质疑
vi. 竞争；争辩"
convene,"vt. 召集，集合；传唤
vi. 聚集，集合"
convey,vt. 传达；运输；让与
convention,n. 大会； 惯例； 约定； 协定；习俗
conspire,"vi. 共谋；协力
vt.  密谋策划"
conflict,"n. 冲突，矛盾；斗争；争执
vi. 冲突，抵触；争执；战斗"
confront,vt. 面对；遭遇；比较
converse,"n. 逆行，逆向；倒；相反的事物
adj. 相反的，逆向的；颠倒的
vi. 交谈，谈话；认识
n. 匡威（服装品牌）"
common,"n. 普通；平民；公有地
adj. 共同的；普通的；一般的；通常的"
companion,"n. 同伴；朋友；指南；手册
vt. 陪伴"
comply,vi. 遵守；顺从，遵从；答应
comprise,vt. 包含；由…组成
commerce,n. 贸易；商业；商务
community,n. 社区； 群落；共同体；团体
compete,vi. 竞争；比赛；对抗
commute,"n. 通勤（口语）
vt. 减刑；交换；用……交换；使……变成
vi. （搭乘车、船等）通勤；代偿"
communicate,"vi. 通讯，传达；相通；交流；感染
vt. 传达；感染；显露"
compare,"vi. 相比，匹敌；比较，区别；比拟（常与to连用）
vt. 比拟，喻为；构成
n. 比较"
compass,"n. 指南针，罗盘；圆规
vt. 包围"
component,"n. 成分；组件； 元件
adj. 组成的，构成的"
compile,vt. 编译；编制；编辑； 汇编
composite,"n. 复合材料；合成物；菊科
adj. 复合的；合成的；菊科的
vt. 使合成；使混合"
compound,"n.  化合物；混合物；复合词
adj. 复合的；混合的
v. 合成；混合；恶化，加重；和解，妥协"
compatible,adj. 兼容的；能共处的；可并立的
coincide,"vi. 一致，符合；同时发生
vi. (在性格、品质等方面)完全一致，相符"
cooperate,vi. 合作，配合；协力
coordinate,"n. 坐标；同等的人或物
vt. 调整；整合
adj. 并列的；同等的
vi. 协调"
correlate,"n. 相关物；相关联的人
vt. 使有相互关系；互相有关系
adj. 关联的
vi. 关联"
correspond,vi. 符合，一致；相应；通信
collapse,"n. 倒塌；失败；衰竭
vt. 使倒塌，使崩溃；使萎陷；折叠
vi. 倒塌；瓦解；暴跌"
collaborate,vi. 合作；勾结，通敌
synthesis,n. 综合， 合成；综合体
synthetic,"n. 合成物
adj. 综合的；合成的，人造的"
symphony,n. 交响乐；谐声，和声
sympathy,n. 同情；慰问；赞同
sympathetic,"n. 交感神经；容易感受的人
adj. 同情的；交感神经的；共鸣的；赞同的；和谐的；合意的"
symposium,n. 讨论会，座谈会；专题论文集；酒宴，宴会
symmetry,n. 对称（性）；整齐，匀称
syndrome,n.  综合症状；并发症状；校验子；并发位
dispatch,"n. 派遣；急件
vt. 派遣；分派"
dissolve,"n. 叠化画面；画面的溶暗
vt. 使溶解；使分解；使液化
vi. 溶解；解散；消失"
bypass,"n. 旁路； 支路
vt. 绕开；忽视；设旁路；迂回"
circumstance,n. 环境，情况；事件；境遇
circuit,"n.  电路，回路；巡回；一圈；环道
vt. 绕回…环行
vi. 环行"
circulate,"vt. 使循环；使流通；使传播
vi. 传播，流传；循环；流通"
circus,n. 马戏；马戏团
interact,"n. 幕间剧；幕间休息
vt. 互相影响；互相作用
vi. 互相影响；互相作用"
interaction,"n. 相互作用； 交互作用
n. 互动"
intermediate,"n.  中间物；媒介
adj. 中间的，中级的
vi. 起媒介作用"
interview,"n. 接见，采访；面试，面谈
vt. 采访；接见；对…进行面谈；对某人进行面试"
interrupt,"n. 中断
vt. 中断；打断；插嘴；妨碍
vi. 打断；打扰"
intervene,vi. 干涉；调停；插入
interpersonal,adj. 人际的；人与人之间的
intercourse,n. 性交；交往；交流
intersection,n. 交叉；十字路口；交集；交叉点
interface,"n. 界面；<计>接口；交界面
v. （使通过界面或接口）接合，连接；使联系
vi. 相互作用（或影响）；交流，交谈"
transcend,vt. 胜过，超越
transition,n. 过渡；转变； 转换；变调
transparent,adj. 透明的；显然的；坦率的；易懂的
overvalue,vt. 对…估价过高；过分重视
overseas,"adv. 在海外，海外
adj. 海外的，国外的"
supersonic,"n. 超音速；超声波
adj. 超音速的；超声波的"
anticipate,vt. 预期，期望；占先，抢先；提前使用
previous,"adj. 以前的；早先的；过早的
adv. 在先；在…以前"
precise,adj. 精确的；明确的；严格的
prejudice,"n. 偏见；侵害
vt. 损害；使有偏见"
prepare,"vt. 准备；使适合；装备；起草
vi. 预备；做好思想准备"
prescribe,"vt. 规定；开处方
vi. 规定；开药方"
prescription,"n. 药方；指示；惯例
adj. 凭处方方可购买的"
preserve,"n. 保护区；禁猎地；加工成的食品
vt. 保存；保护；维持；腌；禁猎"
presume,"vi. 相信；擅自行为
vt. 假定；推测；擅自；意味着"
pretext,"n. 借口；托辞
vt. 以…为借口"
prevail,vi. 盛行，流行；战胜，获胜
prevent,"vt. 预防，防止；阻止
vi. 妨碍，阻止"
predominant,adj. 主要的；卓越的；支配的；有力的；有影响的
pregnant,adj. 怀孕的；富有意义的
preliminary,"n. 准备；预赛；初步措施
adj. 初步的；开始的；预备的"
precaution,"n. 预防，警惕；预防措施
vt. 警惕；预先警告"
procedure,n. 程序，手续；步骤
prohibit,vt. 阻止，禁止
prosper,"vi. 繁荣，昌盛；成功
vt. 使……成功；使……昌盛；使……繁荣"
prosperity,n. 繁荣，成功
prosperous,adj. 繁荣的；兴旺的
program,"n. 程序；计划；大纲
vt. 用程序指令；为…制订计划；为…安排节目
vi. 编程序；安排节目；设计电脑程式"
ex-soldier,n. 退伍军人
postwar,"n. 战后时期
adj. 战后的
adv. 战后；在战后"
postgraduate,"n. 研究生，研究所学生
adj. 大学毕业后的"
reassure,vt. 使…安心，使消除疑虑
recollect,v. 回忆，想起
reconcile,vt. 使一致；使和解；调停，调解；使顺从
reproduce,"vt. 复制；再生；生殖；使…在脑海中重现
vi. 复制；繁殖"
request,"n. 请求；需要
vt. 要求，请求"
recommend,"vt. 推荐，介绍；劝告；使受欢迎；托付
vi. 推荐；建议"
recompense,"n. 赔偿；报酬
vt. 赔偿；酬谢
vi. 赔偿"
restrain,vt. 抑制，控制；约束；制止
retail,"n. 零售
adj. 零售的
vt. 零售；转述
adv. 以零售方式
vi. 零售"
revolve,"n. 旋转；循环；旋转舞台
vt. 使…旋转；使…循环；反复考虑
vi. 旋转；循环出现；反复考虑"
refresh,"vt. 更新；使……恢复；使……清新；消除……的疲劳
vi. 恢复精神；喝饮料，吃点心；补充给养"
remark,"n. 注意；言辞
vt. 评论；觉察
vi. 谈论"
remarkable,adj. 卓越的；非凡的；值得注意的
recite,"vt. 背诵；叙述；列举
vi. 背诵；叙述"
renaissance,n. 文艺复兴（欧洲14至17世纪）
recount,"n. 重算
vt. 叙述；重新计算"
renovation,n. 革新；修理；恢复活力
reinforce,"n. 加强；加固物；加固材料
vt. 加强，加固；强化；补充
vi. 求援；得到增援；给予更多的支持"
renew,"vt. 使更新；续借；续费；复兴；重申
vi. 更新；重新开始"
resume,"n. 摘要； 履历，简历
vi. 重新开始，继续
vt. 重新开始，继续；恢复，重新占用"
require,vt. 需要；要求；命令
replace,vt. 取代，代替；替换，更换；归还，偿还；把…放回原处
register,"n. 登记；注册；记录；寄存器；登记簿
vt. 登记；注册；记录；挂号邮寄；把…挂号；正式提出
vi. 登记；注册；挂号"
resemble,vt. 类似，像
resemblance,n. 相似；相似之处；相似物；肖像
remain,"n. 遗迹；剩余物，残骸
vi. 保持；依然；留下；剩余；逗留；残存"
restrict,vt. 限制；约束；限定
byproduct,n. 副产品
hyperactive,adj. 极度活跃的；活动过度的
hypercritical,adj. 吹毛求疵的，苛评的
overestimate,"vt. 对……评价过高；对……估计过高
n. 估计过高；评价过高；出价过高
vi. 估计过高；评价过高"
overwork,"vi. 工作过度
vt. 工作过度
n. 过度工作
过度工作的"
overfund, 对…提供充足资金；过度融资
overflow,"vi. 溢出；泛滥；充溢
n. 充满，洋溢；泛滥；超值；溢值
vt. 使溢出；使泛滥；使充溢"
overreact,vi. 反应过度；反作用过强
superfluous,adj. 多余的；不必要的；奢侈的
hypothesis,n. 假设
hypocrisy,n. 虚伪；伪善
subordinate,"n. 下属，下级；部属，属下
adj. 从属的；次要的
vt. 使……居下位；使……服从"
surround,"n. 围绕物
vt. 围绕；包围
adj. 环绕立体声的"
vice-chairman,n. 副主席；副议长
ultraviolet,"adj. 紫外的；紫外线的
n. 紫外线辐射，紫外光"
monotonous,adj. 单调的，无抑扬顿挫的；无变化的
unify,vt. 统一；使相同，使一致
unite,"vi. 团结；联合；混合
vt. 使…混合；使…联合；使…团结"
unique,"n. 独一无二的人或物
adj. 独特的，稀罕的； 唯一的，独一无二的"
universe,n. 宇宙；世界；领域
unanimous,adj. 全体一致的；意见一致的；无异议的
multiple,"adj. 多重的；多样的；许多的
n. 倍数； 并联"
multitude,n. 群众；多数
panorama,n. 全景，全貌；全景画；概论
cyberspace,n. 网络空间；赛博空间
ecology,n. 生态学；社会生态学
ecosystem,n. 生态系统
economic,adj. 经济的，经济上的；经济学的
parameter,n. 参数；系数；参量
paraphrase,"n. 释义；解释；意译
vt. 释义"
paralyze,vt. 使麻痹；使瘫痪
epigram,n. 警句；讽刺短诗；隽语
overturn,"vt. 推翻；倾覆；破坏
vi. 推翻；倾覆
n. 倾覆；周转；破灭"
overhaul,"vt. 分解检查，大修；追上并超过
n. 彻底检修，详细检查"
overthrow,"n. 推翻；倾覆；瓦解
vt. 推翻；打倒；倾覆"
overnight,"adv. 通宵；突然；昨晚
adj. 晚上的；通宵的；前夜的
n. 头天晚上；一夜的逗留
vt. 连夜快递
vi. 过一夜"
progress,"n. 进步，发展；前进
vi. 前进，进步；进行"
congress,n. 国会；代表大会；会议；社交
progressive,"n. 改革论者；进步分子
adj. 进步的；先进的"
access,"n. 进入；使用权；通路
vt. 使用；存取；接近"
concession,n. 让步；特许（权）；承认；退位
process,"n. 过程，进行；方法，步骤；作用；程序；推移
adj. 经过特殊加工（或处理）的
vt. 处理；加工
vi. 列队前进"
procession,"n. 队伍，行列；一列，一排；列队行进
vt. 沿著……行进
vi. 列队行进"
excess,"n. 超过，超额；过度，过量；无节制
adj. 额外的，过量的；附加的"
accessory,"n. 配件；附件； 从犯
adj. 副的；同谋的；附属的"
predecessor,n. 前任，前辈
successor,n. 继承者；后续的事物
