plan,"n. 计划；平面图
vt. 计划；设计；打算
vi. 计划；打算"
accept,"vi. 承认；同意；承兑
vt. 接受；承认；承担；承兑；容纳"
academic,"n. 大学生，大学教师；学者
adj. 学术的；理论的；学院的"
workshop,n. 车间；研讨会；工场；讲习班
invitation,n. 邀请；引诱；请帖；邀请函
conference,"n. 会议；讨论；协商；联盟；（正式）讨论会；（每年的）大会
vi. 举行或参加（系列）会议"
seminar,n. 讨论会，研讨班
advise,"vt. 建议；劝告，忠告；通知；警告
vi. 建议；与…商量"
entitle,vt. 称做…；定名为…；给…称号；使…有权利
round trip,"n. 来回旅行；往返旅程
 往返旅行；往返行程；来回票"
so that,"conj. 因此；以便
 为了；以致；以便于"
Sino-,pref. 中国的
air ticket,"un. 机票
 飞机票；订机票；航班机票"
necessary,"adj. 必要的；必需的；必然的
n. 必需品"
philosophy,n. 哲学；哲理；人生观
accommodation,n. 住处，膳宿；调节；和解；预订铺位
arrangement,n. 布置；整理；准备
religious studies,"n. 宗教学
 宗教研究；宗教学研究；宗教研究学"
expense,"n. 损失，代价；消费；开支
vt. 向…收取费用
vi. 被花掉"
subsidize,vt. 资助；给与奖助金；向…行贿
cordially,adv. 诚挚地，诚恳地；友善地
guest speaker,"na. 邀请来的演说者
 主讲嘉宾；客座讲师；讲话嘉宾"
recreational activities,"na. 文娱活动
 娱乐活动；休闲活动；文体活动"
date of arrival,"un. 到达日期
 抵达日期；到货时间；到货日期"
congratulations,n. 祝贺；恭喜；贺词（congratulation的复数形式）
progress,"n. 进步，发展；前进
vi. 前进，进步；进行"
receive,"vt. 收到；接待；接纳
vi. 接收"
excellent,adj. 卓越的；极好的；杰出的
doctorate,n. 博士学位；博士头衔
undertake,vt. 承担，保证；从事；同意；试图
philosophy,n. 哲学；哲理；人生观
no doubt,"na. 无疑地；很可能
 毫无疑问；必定；不要怀疑合唱团"
Yale University,"n. 耶鲁大学
 美国耶鲁大学；毕业于美国耶鲁大学；康涅狄格州"
strain,"n. 张力；拉紧；负担；扭伤；血缘
vt. 拉紧；滥用；滤去；竭力
vi. 拉紧；尽力
n. （植物、动物的）品种；种类"
achievement,n. 成就；完成；达到；成绩
on sb.'s part,
may well,"na. 也有好处
 很可能；保不住；充分理由"
follow,"n. 跟随；追随
vi. 跟随；接着
vt. 跟随；遵循；追求；密切注意，注视；注意；倾听"
in light of,"na. 按照；根据；鉴于
 考虑到；把…列入考虑"
track record,"n. （个人或组织的）业绩记录
 过去的记录；追踪记录；纪录"
think sth. over,"v. 仔细考虑
 仔细思考；仔细考虑一下；再三考虑"
interview,"n. 接见，采访；面试，面谈
vt. 采访；接见；对…进行面谈；对某人进行面试"
apologize,"vi. 道歉；辩解；赔不是
vt. 道歉；谢罪；辩白"
unfortunately,adv. 不幸地
inconvenience,"n. 不便；麻烦
vt. 麻烦；打扰"
infection,n. 感染；传染；影响；传染病
postpone,"vt. 使…延期；把…放在次要地位；把…放在后面
vi. 延缓，延迟；延缓发作"
surgery,n. 外科；外科手术；手术室；诊疗室
look forward to,"na. 盼望
 期待；期望；期盼"
therefore,adv. 因此；所以
go for an interview,
be diagnosed with, 被诊断为；被诊断出；被诊断为什么病
make the interview,
opportunity,n. 时机，机会
tough,"n. 恶棍
adj. 艰苦的，困难的；坚强的，不屈不挠的；坚韧的，牢固的；强壮的，结实的
vt. 坚持；忍受，忍耐
adv. 强硬地，顽强地"
comfort,"n. 安慰；舒适；安慰者
vt. 安慰；使（痛苦等）缓和"
freezing,adj. 冰冻的；严寒的；冷冻用的
encouragement,n. 鼓励
spur,"n. 鼓舞，刺激；马刺；山坡
vt. 激励，鞭策；给…装踢马刺
vi. 骑马疾驰；给予刺激"
horrible,adj. 可怕的；极讨厌的
strength,n. 力量；力气；兵力；长处
accident,n. 事故；意外； 意外事件；机遇
once more,"na. 再一次；“once again/more”的变体
 又一次；再次；再来一次"
treasure,"n. 财富，财产；财宝；珍品
vt. 珍爱；珍藏"
get sb. through sth.,
spur sb. on,
commend,"vt. 推荐；称赞；把…委托
vi. 称赞；表扬"
post,"n. 岗位；邮件；标杆
vt. 张贴；公布；邮递；布置
vi. 快速行进"
computer room,"un. 计算机机房；计算机室
 电脑室；计算机教室；计算机房"
lecture notes, 讲义；讲稿；课堂笔记
request,"n. 请求；需要
vt. 要求，请求"
review,"n. 回顾；复习；评论；检讨；检阅
vt. 回顾；检查；复审
vi. 回顾；复习功课；写评论"
Internet,
Internet access,
install,vt. 安装；任命；安顿
throughout,"prep. 贯穿，遍及
adv. 自始至终，到处；全部"
dormitory,"n. 宿舍，学生宿舍
adj. 住宅区的"
urgent,adj. 紧急的；急迫的
require,vt. 需要；要求；命令
widespread,adj. 普遍的，广泛的；分布广的
communication,n. 通讯， 通信；交流；信函
commend sb. for sth.,
equip sth. with sth.,
complain,"vi. 投诉；发牢骚；诉说
vt. 抱怨；控诉"
promise,"n. 许诺，允诺；希望
vt. 允诺，许诺；给人以…的指望或希望
vi. 许诺；有指望，有前途"
description,n. 描述，描写；类型；说明书
agency,n. 代理，中介；代理处，经销处
four-star,adj. （美军）四星上将的；卓越的
unacceptable,adj. 不能接受的；不受欢迎的
select,"n. 被挑选者；精萃
adj. 精选的；挑选出来的；极好的
vt. 挑选；选拔
vi. 挑选"
uncomfortable,adj. 不舒服的；不安的
compensate,"vt. 补偿，赔偿；付报酬
vi. 补偿，赔偿；抵消"
tour,"n. 旅游，旅行；巡回演出
vt. 旅行，在……旅游；在……作巡回演出
vi. 旅行，旅游；作巡回演出"
further,"adj. 更远的；深一层的
vt. 促进，助长；增进
adv. 进一步地；而且；更远地"
expense,"n. 损失，代价；消费；开支
vt. 向…收取费用
vi. 被花掉"
all-inclusive,adj. 包括一切的；广泛的；详尽的
in no way,"na. 决不
 一点也不；绝不；无论如何不"
sightseeing,"n. 观光；游览
v. 观光（sightsee的ing形式）；游览
adj. 观光的；游览的"
Terracotta Warriors and Horses,
capital,"n. 首都，省会；资金；大写字母；资本家
adj. 首都的；重要的；大写的"
Big Wild Goose Pagoda,
Shaanxi Province,
Banpo Neolithic Village,
tourist destination, 旅游目的地；旅游景点；旅游胜地
plenty of,"na. 很多的
 许多；大量的；充足的"
attraction,n. 吸引，吸引力；引力；吸引人的事物
modern,"adj. 现代的，近代的；时髦的
n. 现代人；有思想的人"
and so,"na. 从此(就…了)
 因此；所以；所以，因此"
boast,"n. 自夸；值得夸耀的事物，引以为荣的事物
vi. 自吹自擂
vt. 夸口说，自吹自擂说；以有…而自豪"
take sth. into account,"na. 考虑
 把…考虑进去；考虑到；顾及"
prestigious,adj. 有名望的；享有声望的
record,"n. 档案，履历；唱片；最高纪录
adj. 创纪录的
vt. 记录，记载；标明；将...录音
vi. 记录；录音"
long-standing,adj. 长期存在的；存在已久的
Confucius,n. 孔子（中国哲学家，教育家）
disciple,n. 门徒，信徒；弟子
inner world,"na. 内心世界
 内在世界；精神世界；里面的世界"
thinker,n. 思想家；思想者
The Analects,
ancient,"n. 古代人；老人
adj. 古代的；古老的，过时的；年老的"
educator,n. 教育家；教育工作者；教师
enduring,"adj. 持久的；能忍受的
v. 忍耐（endure的ing形式）"
Confucian thought,
founder,"n. 创始人；建立者；翻沙工
vt. 破坏；使摔倒；垮掉
vi. 失败；沉没；倒塌；变跛"
classic,"n. 名著；经典著作；大艺术家
adj. 经典的；古典的，传统的；最优秀的"
Heaven,
Confucianism,n. 孔子学说；儒家思想
writer,n. 作家；作者
Humanity,
sage,"n. 圣人；贤人；哲人
adj. 明智的；贤明的；审慎的"
politician,n. 政治家，政客
represent,"vt. 代表；表现；描绘；回忆；再赠送
vi. 代表；提出异议"
the Spring and Autumn period,
over-2000-year-long,
universal,"n. 一般概念；普通性
adj. 普遍的；通用的；宇宙的；全世界的；全体的"
values,n. 价值观念；价值标准
saying,"n. 话；谚语；言论
v. 说（say的ing形式）"
scholar,n. 学者；奖学金获得者
around the world,"un. 环球
 环游世界；世界各地；全世界"
enduring classic,
retain,vt. 保持；雇；记住
club,"n. 俱乐部，社团；夜总会；棍棒；（扑克牌中的）梅花
adj. 俱乐部的
vt. 用棍棒打；募集
vi. 集资；组成俱乐部"
Oscar-winning movie,
interpersonal relations,"un. 人际关系
 人际交往；个人技巧训练-人际关系；人际公共关系"
serve as,"v. 用作；充当
 作为；担任；当作"
platform,n. 平台；月台，站台；坛；讲台
speech,n. 演讲；讲话； 语音；演说
proficiency,n. 精通，熟练
outstanding,"adj. 杰出的；显著的；未解决的；未偿付的
n. 未偿贷款"
debate,"n. 辩论；辩论会
vt. 辩论，争论，讨论
vi. 辩论，争论，讨论"
command,"n. 指挥，控制；命令；司令部
vt. 命令，指挥；控制；远望
vi. 命令，指挥；控制"
develop,"vi. 发育；生长；进化；显露
vt. 开发；进步；使成长；使显影"
after-school,adj. 课后的，课外的
enable,vt. 使能够，使成为可能；授予权利或方法
stage,"n. 阶段；舞台；戏剧；驿站
vt. 举行；上演；筹划
vi. 举行；适于上演；乘驿车旅行"
participation,n. 参与；分享；参股
peer,"vt. 封为贵族；与…同等
vi. 凝视，盯着看；窥视
n. 贵族；同等的人；同龄人"
musical drama,音乐剧
strengthen,"vt. 加强；巩固
vi. 变强；变坚挺"
via,prep. 渠道，通过；经由
attend,"vi. 出席；致力于；照料；照顾
vt. 出席；上（大学等）；照料；招待；陪伴"
sense of responsibility, 责任感；责任心；责任意识
deadline,n. 截止期限，最后期限
group discussion,"n. 小组讨论
 分组讨论；团体讨论；集体讨论"
be involved in,"na. 被包入；被卷入漩涡
 参与；涉及；介入"
beneficial,adj. 有益的，有利的；可享利益的
get an edge over,胜过某人;怀恨某人
major in,"v. 主修
 专修；专攻；以……为专业"
condition,"n. 条件；情况；环境；身份
vt. 决定；使适应；使健康；以…为条件"
finance,"n. 财政，财政学；金融
vt. 负担经费，供给…经费
vi. 筹措资金"
detail,"n. 细节，详情
vt. 详述；选派
vi. 画详图"
course,"n. 科目；课程；过程；进程；道路；路线，航向；一道菜
vt. 追赶；跑过
vi. 指引航线；快跑"
repayment,n. 偿还； 付还
part-time job, 半日工作; 兼职
lending rate,"n. 贷款利率；放款利率
 借贷利率；存款利率；贷款利率收藏指正"
off campus,"na. 在校外
 校园外；校外招聘；校外的"
duration,"n. 持续，持续的时间，期间
音长，音延"
student loan, 学生贷款；助学贷款；免息学生贷款
seek sb.'s assistance,
priority,n. 优先；优先权； 优先次序；优先考虑的事
cut back on, 缩减；减少；削减，缩减
hotel,"n. 旅馆，饭店；客栈
vt. 使…在饭店下榻
vi. 进行旅馆式办公"
document case, 公文包
term,"n. 术语；学期；期限；条款；(代数式等的)项
vt. 把…叫做"
August,
valuable,"n. 贵重物品
adj. 有价值的；贵重的；可估价的"
EMS,"邮政特快专递服务（Express Mail Service）
增强型短信服务（Enhanced Message Service）"
leather,"n. 皮革；皮革制品
vt. 用皮革包盖；抽打
adj. 皮的；皮革制的"
monetary,adj. 货币的；财政的
Lost and Found Department,
business card,"n. 名片
 商务卡；公司卡；商业名片"
offer,"vt. 提供；出价；试图
n. 提议；出价；意图；录取通知书
vi. 提议；出现；献祭；求婚"
chapter,"n. 章，回；（俱乐部、协会等的）分会；人生或历史上的重要时期
vt. 把…分成章节"
Norway,n. 挪威（北欧国家名）
except,"conj. 除了；要不是
prep. 除…之外
vt. 不计；把…除外
vi. 反对"
almost,adv. 差不多，几乎
extend,"vt. 延伸；扩大；推广；伸出；给予；使竭尽全力；对…估价
vi. 延伸；扩大；伸展；使疏开"
thesis,n. 论文；论点
refuse,"n. 垃圾；废物
vi. 拒绝
vt. 拒绝；不愿；抵制"
supervisor,n. 监督人， 管理人；检查员
schedule,"n. 时间表；计划表；一览表
vt. 安排，计划；编制目录；将……列入计划表"
rewrite,"n. 重写或改写的文稿；改写的作品
vt. 改写；重写
vi. 改写；重写"
lie with,"na. 和…发生性关系；(责任,义务,决定权等)在于…
 取决于；是…的责任；苟合"
be faced with,"v. 面临
 面对；面临着；遇到"
drop sb. a line,"v. 写(封)信
 写信；写封短信；写信给某人"
editor,n. 编者，编辑；社论撰写人；编辑装置
attention,n. 注意力；关心；立正！（口令）
college student,"n. 大学生
 大学学生；大专学生；大学生助学"
pocket money,"n. 零用钱；常用于英式英语
 零花钱；给小孩零用钱的利与弊；两条牛仔龙"
concept,n. 观念，概念
improvement,n. 改进，改善；提高
thrift,n. 节俭；节约； 海石竹
living standards, 生活水平；生活标准；生活水准
frugality,n. 俭省，节俭
afford,vt. 给予，提供；买得起
graduation,n. 毕业；毕业典礼；刻度，分度；分等级
consumer,n. 消费者；用户，顾客
primarily,adv. 首先；主要地，根本上
thrifty,adj. 节约的；茂盛的；成功的
following,"n. 下列事物；一批追随者
v. 跟随；沿行（follow的ing形式）
adj. 下面的；其次的，接着的"
expense,"n. 损失，代价；消费；开支
vt. 向…收取费用
vi. 被花掉"
factor,"n. 因素；要素； 因数；代理人
vt. 把…作为因素计入；代理经营；把…分解成
vi. 做代理商"
necessity,n. 需要；必然性；必需品
only child,"n. 独生子（或女）
 独生子女；独子；独生女"
whatever,"conj. 无论什么
adj. 不管什么样的
pron. 无论什么；诸如此类"
naturally,"adv. 自然地
自然而然地
轻而易举
天生地
大方地"
future development, 未来发展；未来的发展前景；未来的发展
take it for granted that,
extravagant,adj. 奢侈的；浪费的；过度的；放纵的
be the apple of sb.'s eye,
in my view,"na. 照我看来
 在我看来；我认为；依我看"
regardless of,"prep. 不管；不顾；不理会
 不论；无论；不注意"
be favorable to,"v. 有利于
 赞成；对……有利；赞同"
be favorable for,
feedback,n. 反馈；成果，资料；回复
demonstrate,"vt. 证明；展示；论证
vi. 示威"
lecture,"n. 演讲；讲稿；教训
vt. 演讲；训诫
vi. 讲课；讲演"
complex,"n. 复合体；综合设施
adj. 复杂的；合成的"
issue,"n. 问题；流出；期号；发行物
vt. 发行，发布；发给；放出，排出
vi. 发行；流出；造成…结果；传下"
handout,n. 散发材料（免费发给的新闻通报）；上课老师发的印刷品；文字资料 	（会议上分发的）；施舍物
memorable,adj. 显著的，难忘的；值得纪念的
discussion,n. 讨论，议论
thought,"n. 思想；思考；想法；关心
v. 想，思考；认为（think的过去式和过去分词）"
deepen,"vt. 使加深；使强烈；使低沉
vi. 变深；变低沉"
outline,"n. 轮廓；大纲；概要；略图
vt. 概述；略述；描画…轮廓"
understanding,"n. 谅解，理解；理解力；协议
v. 理解；明白（understand的ing形式）
adj. 了解的；聪明的；有理解力的"
informative,adj. 教育性的，有益的；情报的；见闻广博的
subject,"n. 主题；科目； 主语；国民
adj. 服从的；易患…的；受制于…的
vt. 使…隶属；使屈从于…"
inspiring,"v. 鼓舞；激发；使感悟（inspire的ing形式）
adj. 鼓舞人心的；灌输的；启发灵感的"
in general,"na. 一般；大体上
 通常；一般来说；一般而言"
take down,"na. 扯下；卷起；记下；卸下
 拿下；取下；拆卸"
deepen sb.'s understanding of sth.,
give attention to sb.,
give attention to sth.,
give sb.'s attention to sb.,
give sb.'s attention to sth.,
bearer,n. 持票人； 承木； 托架；送信人；搬运工人
training,"n. 训练；培养；瞄准；整枝
v. 训练；教养（train的ing形式）"
ambitious,adj. 野心勃勃的；有雄心的；热望的；炫耀的
recent,adj. 最近的；近代的
experience,"n. 经验；经历；体验
vt. 经验；经历；体验"
brilliant,adj. 灿烂的，闪耀的；杰出的；有才气的；精彩的，绝妙的
graduate,"n. 研究生；毕业生
adj. 毕业的；研究生的
vt. 授予…学位；分等级；标上刻度
vi. 毕业；渐变"
truthfully,adv. 诚实地；深信不疑地
career,"n. 生涯；职业；事业；速度，全速
adj. 作为毕生职业的
vi. 全速前进，猛冲"
sound,"n. 声音，语音；噪音；海峡；吵闹；听力范围； 探条
adj. 健全的，健康的；合理的；可靠的；有效彻底的
vt. 听（诊）；测量，测…深；使发声；试探；宣告
vi. 听起来；发出声音；回响；测深
adv. 彻底地，充分地"
likable,adj. 可爱的
admiration,n. 钦佩；赞赏；羡慕；赞美
basic,"n. 基础；要素
adj. 基本的；基础的"
intelligent,adj. 智能的；聪明的；理解力强的
Law School,
law office,"na. 法律事务所
 律师事务所；法律办公室；律师事物所"
reference letter, 推荐信；介绍信；推荐信两份
advertisement,n. 广告，宣传
graduate,"n. 研究生；毕业生
adj. 毕业的；研究生的
vt. 授予…学位；分等级；标上刻度
vi. 毕业；渐变"
work experience,"n. 工作经历；（学生）实习
 工作经验；工作经验的陈述；工作履历"
accountant,n. 会计师；会计人员
the Department of Accounting,
China Daily,
enclose,vt. 围绕；装入；放入封套
December,n. 十二月
Guanghua Management School,
for your reference, 供您参考；供参考；供你参考
consider,"vi. 考虑；认为；细想
vt. 考虑；认为；考虑到；细想"
favorably,adv. 顺利地；亲切地；好意地
Peking University,"n. 北京大学；北大
 中国北京大学；汇文大学；北京大学国外考试考试中心"
extend,"vt. 延伸；扩大；推广；伸出；给予；使竭尽全力；对…估价
vi. 延伸；扩大；伸展；使疏开"
applicant,n. 申请人，申请者；请求者
heartfelt,adj. 衷心的；真诚的；真心真意的
position,"n. 位置，方位；职位，工作；姿态；站位
vt. 安置；把……放在适当位置"
note,"n. 笔记；音符；票据；注解；纸币；便笺；照会；调子
vt. 注意；记录；注解"
application,n. 应用；申请；应用程序；敷用
professional training, 专业训练；专业培训；职业培训
resume,"n. 摘要； 履历，简历
vi. 重新开始，继续
vt. 重新开始，继续；恢复，重新占用"
in due course,"na. 及时；顺次；及时地；到一定时候
 在适当的时候；在适当时；在适当时机"
be awarded, 受赏；被授予；获奖
experience,"n. 经验；经历；体验
vt. 经验；经历；体验"
First Prize Scholarship,
contribute to,"na. 捐助；给…投稿；捐(款)给；投寄(一篇论文)给(某杂志)
 有助于；促成；贡献"
qualifications,n. 资格证书；任职资格；职位要求；限定性条件（qualification的复数形式）
outstanding,"adj. 杰出的；显著的；未解决的；未偿付的
n. 未偿贷款"
academic performance, 学业上的表现；学习成绩；学业成绩
take into favorable consideration,
prestigious,adj. 有名望的；享有声望的
wonder,"n. 惊奇；奇迹；惊愕
adj. 奇妙的；非凡的
vi. 怀疑；想知道；惊讶
vt. 怀疑；惊奇；对…感到惊讶"
regarding,prep. 关于，至于
university,n. 大学；综合性大学；大学校舍
further,"adj. 更远的；深一层的
vt. 促进，助长；增进
adv. 进一步地；而且；更远地"
accommodation,n. 住处，膳宿；调节；和解；预订铺位
essential,"n. 本质；要素；要点；必需品
adj. 基本的；必要的；本质的；精华的"
tuition fees, 学费；学习费用；学杂费专区
esteemed,"adj. 受人尊敬的
v. 尊敬；认为（esteem的过去分词）"
information,n. 信息，资料；知识；情报；通知
self-supporting,adj. 自营的；自立的；自给的
institution,n. 制度；建立；（社会或宗教等）公共机构；习俗
qualification,n. 资格；条件；限制；赋予资格
apply for admission into,
follow a course of study,
academic requirement, 学术上的要求
dean,n. 院长；系主任；教务长；主持牧师
textbook,n. 教科书，课本
follow,"n. 跟随；追随
vi. 跟随；接着
vt. 跟随；遵循；追求；密切注意，注视；注意；倾听"
civil engineering,"n. 土木工程；土木工程学
 土木工程专业；土木工程研究所；土木工程专业研究生排名"
term,"n. 术语；学期；期限；条款；(代数式等的)项
vt. 把…叫做"
take notes,"na. 做记录
 记笔记；做笔记；作笔记"
math,n. 数学（等于mathematics）
theory,n. 理论；原理；学说；推测
frustrated,"v. 挫败；阻挠（frustrate的过去式和过去分词形式）
adj. 失意的，挫败的；泄气的"
instead of,"prep. 代替；作为…的替换
 而不是；替代；取代"
besides,"prep. 除…之外
adv. 此外；而且"
depressed,"adj. 沮丧的；萧条的；压低的
v. 使沮丧；使萧条（depress的过去式和过去分词形式）；压低"
at the beginning of ...,
approve of,"na. 赞成
 赞同；同意；赞赏，同意"
remember,"vi. 记得，记起
vt. 记得；牢记；纪念；代…问好"
intensive,"n. 加强器
adj. 加强的；集中的；透彻的；加强语气的"
semester,n. 学期；半年
Harvard University,"n. 哈佛大学
 美国哈佛大学；毕业于哈佛大学；哈弗大学"
currently,adv. 当前；一般地
summer holiday,"n. 暑假
 夏日的么么茶；夏日假期；夏日的麽麽茶"
terrific,adj. 极好的；极其的，非常的；可怕的
so far,"na. 就是那么些；到现在为止；到目前(此地)为止；就此范围来说
 到目前为止；迄今为止；至今"
San Francisco,"n. 旧金山
 三藩市；圣弗朗西斯科；美国旧金山"
Boston,n. 波士顿（美国城市）
Los Angeles,"na. 洛杉矶
 洛杉矶之战；美国洛杉矶；洛杉机"
New York,"n. 纽约州
 美国纽约；纽约市；纽约步"
Chicago,n. 芝加哥（美国城市名）
Washington D.C., 华盛顿；华盛顿哥伦比亚特区；华盛顿特区
regards,"n. 致意，问候
v. 视为，注意（regard的第三人称单数）"
prepare sb. for sth.,
seriously,adv. 认真地；严重地，严肃地
medical treatment,"un. 医疗；内科治疗；内科处理
 药物治疗；医学治疗；医疗就医"
operation,n. 操作；经营； 手术； 运算
in hospital, 住院；在医院；生病住院
donate,"n. 捐赠；捐献
vt. 捐赠；捐献
vi. 捐赠；捐献"
schoolmate,n. 同学；同窗
badly,adv. 非常，很；严重地，厉害地；恶劣地
raise,"n. 高地；上升；加薪
vt. 提高；筹集；养育；升起
vi. 上升"
speedy,adj. 快的；迅速的；敏捷的
the Students' Union,
sufficient,adj. 足够的；充分的
contribute,"vt. 贡献，出力；投稿；捐献
vi. 贡献，出力；投稿；捐献
"
necessary,"adj. 必要的；必需的；必然的
n. 必需品"
generously,adv. 慷慨地；宽大地；丰盛地
call upon,"na. “call on”的变体；同“call on ”
 号召；拜访；求告"
transfer,"n. 转让；转移；传递；过户
vt. 使转移；调任
vi. 转让；转学；换车"
help with ...,
assist in,"v. 帮助
 协助；帮助做某事；参加"
newly-arrived, 新到的；新到达申请者
experience,"n. 经验；经历；体验
vt. 经验；经历；体验"
overseas,"adv. 在海外，海外
adj. 海外的，国外的"
architecture,n. 建筑学；建筑风格；建筑式样；架构
sb. can't wait to do sth.,
extensively,adv. 广阔地；广大地
disturbing,"v. 干扰；打断（disturb的ing形式）
adj. 令人不安的；烦扰的"
advent,n. 到来；出现；基督降临；基督降临节
tendency,n. 倾向，趋势；癖好
spirit,"n. 精神；心灵；情绪；志气；烈酒
vt. 鼓励；鼓舞；诱拐"
no longer,"na. 不再
 已不；再也；再也不"
rather,"adv. 宁可，宁愿；相当
int. 当然啦（回答问题时用）"
fresh,"n. 开始；新生；泛滥
adj. 新鲜的；清新的；淡水的；无经验的
adv. 刚刚，才；最新地"
replace,vt. 取代，代替；替换，更换；归还，偿还；把…放回原处
other than,"na. 与…不同；除了
 不同于；除…之外；而不是"
with the advent of ...,
learn of,"v. 得知；获悉
 听到；获悉…的事；听说"
get well,"na. 复原
 康复；恢复健康；痊愈"
have a good rest, 好好休息；好好休息一下；祝您休息好
physical exhaustion,
mental breakdown,"n. 精神崩溃
 精神崩溃症"
keep going,"na. 继续(运转,谈话)；维持
 继续前进；一直走；继续走"
push oneself too hard,
make a good recovery,
recommend,"vt. 推荐，介绍；劝告；使受欢迎；托付
vi. 推荐；建议"
gentleman,n. 先生；绅士；有身份的人
difficulty,n. 困难，困境
favorite,"n. 幸运儿；喜欢的事物；特别喜欢的人
adj. 最喜爱的；中意的；宠爱的"
pressure,"n. 压力；压迫， 压强
vt. 迫使；密封；使……增压"
circle,"n. 循环，周期；圆；圈子；圆形物
vt. 画圆圈；环绕…移动
vi. 盘旋，旋转；环行"
movie,"n. 电影；电影院；电影业
adj. 电影的"
bet,"n. 打赌，赌注；被打赌的事物
vt. 打赌；敢断定，确信
vi. 打赌"
globe,"n. 地球；地球仪；球体
vt. 使…成球形
vi. 成球状"
adventure,"n. 冒险；冒险精神；投机活动
vt. 冒险；大胆说出
vi. 冒险"
club,"n. 俱乐部，社团；夜总会；棍棒；（扑克牌中的）梅花
adj. 俱乐部的
vt. 用棍棒打；募集
vi. 集资；组成俱乐部"
enjoy,vt. 欣赏，享受；喜爱；使过得快活
comedy,n. 喜剧；喜剧性；有趣的事情
overcome,"vt. 克服；胜过
vi. 克服；得胜"
reply,"n. 回答； 答辩
vt. 回答；答复
vi. 回答； 答辩；回击"
exciting,"adj. 令人兴奋的；使人激动的
v. 激动；刺激（excite的ing形式）；唤起"
for the purpose of,"na. 为…
 为了…目的；为……目的；为了……的目的"
be pressured into,
make a bet, 打赌；打赌看谁先背下这篇文章；来场打赌
create,vt. 创造，创作；造成
efficiency,n. 效率；效能；功效
encourage,vt. 鼓励，怂恿；激励；支持
culture,"n. 文化，文明；修养；栽培
vt.  培养（等于cultivate）"
waste,"n. 浪费；废物；荒地；损耗；地面风化物
adj. 废弃的；多余的；荒芜的
vt. 浪费；消耗；使荒芜
vi. 浪费；变消瘦；挥霍钱财"
possessions,n.  财产；所有物（possession的复数形式）
build,"n. 构造；体形；体格
vi. 建筑；建造
vt. 建立；建筑"
minimization,n. 减到最小限度；估到最低额；轻视
leaflet,n. 小叶；传单
low-carbon,adj. 低碳（的），含碳低的；低碳
recycling,"n. （资源、垃圾的）回收利用
v. 回收；再循环利用（recycle的现在分词）"
switch off,"na. 不收听(某一广播)
 关掉；切断；关闭"
launch,"vt. 发射（导弹、火箭等）；发起，发动；使…下水
vi. 开始；下水；起飞
n. 发射；发行，投放市场；下水；汽艇"
potential,"n. 潜能；可能性； 电势
adj. 潜在的；可能的；势的"
electronic,"adj. 电子的
n. 电子电路；电子器件"
a series of,"na. 一系列；许多
 一连串；一连串的；一系列的"
formula,n.  公式，准则；配方；婴儿食品
equipment,n. 设备，装备；器材
