by contrast,"un. 相比之下；作对比；与此相反
 对比之下；对比而言；相比而言"
kick off,"na. (足球)中线开球；开始(某种活动)；死；踢脱(鞋等)
 开始干某事；启动；踢掉"
talk over,"na. 商谈；说服
 商量；讨论；彻底地考虑"
cut off,"na. 削除；截止；截断(退路等)；割下来
 切断；断绝；切掉"
deal with,"na. 办理；对待；与…交涉；与…交易
 处理；对付；应付"
run down,"na. 下乡；(钟表等)停止；衰弱；赶上(人,猎物)
 撞倒；跑下；撞沉"
settle up,"na. 决定；解决；支付
 付清；结账；结清"
make into,"na. 制成；使转变为
 使成为；把……制成；做成"
on edge,"na. 易怒；急切；竖着
 紧张；紧张不安；烦躁"
kick out,"na. 踢出；解雇；踢足球出界
 逐出；把球踢出界；开除"
suffer from, 患（某种病），受（某种病痛）折磨; 因…而受罚; 闹; 罹
in depth,"na. 广泛
 深入地；全面深入地；深入的"
spring up,"na. 跳上来；发生；萌芽；出现
 涌现；迅速生长；突然出现"
turn a deaf ear to,"na. 充耳不闻；装听不见
 对…充耳不闻；不听；不理睬"
be unable to do, 不能做某事；不能够；不会
in collaboration with,"na. 与…合作；与…勾结
 与...合作；与…勾结在一起；合作机构"
refer to,"v. 查阅；提到
 参考；涉及；谈到"
until now,"adv. 直到现在
 到目前为止；至今；到现在为止"
begin with,"na. 从…开始
 以…开始；开始于；以…为起点"
die out,"na. 死绝
 灭绝；消失；逐渐消失"
stamp out,"na. 踏灭(火)；扑灭(暴动等)
 踩灭；消灭；踩出"
see out,"na. “see through”的变体
 完成；熬过；送到大门口"
put up with,"na. 忍住
 忍受；容忍；忍耐"
come into effect,"na. 开始实施
 生效；开始生效；开始实行"
go into effect,"v. 生效
 施行；实施；开始生效"
in the center of, 在……中心；在中间；在中央
rely on,"v. 依靠；信赖
 依赖；依仗；凭借"
make allowance for,"na. 体谅；留有余地；斟酌；扣除
 考虑到；原谅；考虑到某事物"
make allowances for,"un. 考虑到
 体谅；体谅，原谅；顾及"
sketch out,"v. 拟订出
 草拟；概述；概略地叙述"
make up,"na. 弥补；起草；定；签订
 组成；化妆；编造"
be eager to,"v. 渴望
 热切想做；渴望要做；渴望做"
sort out,vt.& vi. 把…安排妥当; （从…中）区分出来，辨别出来; 分类; 整理; 整顿; 解决
stand at,"na. 犹豫不决
 踌躇；达到；保持在"
think out,"na. 想透；想出
 彻底地想一想；彻底思考；仔细考虑"
come apart,"na. (精神)错乱；分开了
 崩溃；破裂；瓦解"
carry out,"na. 实行；开展；完成
 执行；实现；贯彻"
let alone,"na. 任随；更不用说；放任；莫说…(连)
 更别提；更不必说；不管"
out of tune,"na. 不合调；失调；“in/out of tune”的变体
 走调；不协调；走调儿"
take into account,"na. 考虑
 把…考虑进去；考虑到；顾及"
build on,"na. 依赖；把…建筑于
 以……为基础；建立于；把…建立于"
turn out,v. （以某种方式）发生；最后是；结果是 （尤指天气突然）变得（晴好） 原来是；结果发现 出席;参加;前去观看关掉，熄灭（电灯、煤气等） 出席;参加;前去观看生产；制造 （尤指把某人从其长期居住处）撵走，赶出，逐出 翻出；倒出 出席；参加；前去观看
on earth,"na. 到底；在地球上；全然
 究竟；在世上；在人间"
put off,"na. 延期；辩解
 推迟；拖延；推延"
apply for,"v. 寻求；申请
 提出申请；申请…职位；请求"
in the very beginning,
bring up,"na. 抚养；教导；教育；在…长大
 培养；提出；养育"
screw up,"na. 拧紧；钉上；卷成螺丝状；扭歪(嘴,脸等)
 弄糟；搞砸；搞砸了"
at no time,"na. 从来没有
 决不；在任何时候都不；从不"
allow for,"v. 考虑到
 顾及；估计到；体谅"
pass on,"na. “pass away”的变体；递；传达；通过
 传递；传授；把…传给别人"
in effect,"na. 实际上；总之；有效
 事实上；生效；正在实行"
carve up, 把（某物）切成块; <贬><非正>瓜分（某物）; 脔割
bit by bit,"na. 一点一点地；渐次
 渐渐；一点点地；逐渐地"
go ahead,"na. 取得进展
 继续；前进；干吧"
set off,"na. 分；分割；划开；区划
 出发；动身；引起"
contribute to,"na. 捐助；给…投稿；捐(款)给；投寄(一篇论文)给(某杂志)
 有助于；促成；贡献"
fill up,"na. 同“fill”
 装满；填补；填满"
take into consideration,"v. 顾及
 考虑到；把……考虑进去；予以考虑"
benefit from,"v. 从…得到好处
 受益于；从……中受益；从…中获益"
tear apart,"v. 弄乱；撕破
 使心碎；扯开；撕开"
in tune with, 协调；与…和谐；适合
pay off,"na. 偿清(债务等)；付清；发清(工钱)；发清工钱解雇
 还清；偿还；报复"
turn up,"v. 朝上翻；出现
 开大；找到；露面"
lead into,把…带入; 导致; (道路等)通向
beat up,"na. 搅(蛋)；虐待；冷不防地；打鼓召集
 痛打；毒打；殴打"
in so far as,"na. 到…的程度；只要；(表示程度,范围)就…
 至于；在…范围内；到...的程度"
fall on,"na. 开始(行动)；袭击；适逢；忽然看出来
 落到；落在……上面；叠印"
in sum,"na. 总之
 总而言之；大体上；一言以蔽之"
be harmful to, 对…有害；对…有危害；对……是有害的
be believed to,
look up to,"v. 尊敬；另眼看待；向…一举一动看齐
 敬仰；仰望；尊重"
allow of,"v. 容许
 容得；容许有……的可能；容许有…可能"
swear off,"na. 发誓戒掉
 发誓不再；发誓戒除；保证戒掉"
die from,"na. 因伤致死
 死于；由于…而死；因某事而死"
wind up,结束；使紧张；卷起；（非正式）忽悠某人（wind sb up）；上紧(钟、表等的)发条
reckon with,"na. 和…算账；将…加以考虑
 处理；计算；认为"
knock out,"na. 敲出；敲空；使屈服；使无用
 击倒；击昏；打破"
seek to, 试图；设法；力图
in the extreme,"na. “in extreme”的变体
 非常；极端；极度"
get rid of,"na. 除掉；摆脱；撵走
 除去；去掉；处理掉"
steam up,"na. (玻璃)蒙上蒸汽而模糊；制造蒸汽；拿出精神；鼓励
 蒙上水汽；促进；使发怒"
think back to, 回想；回想过去；回忆起
at intervals,"na. 时时；处处；偶尔
 不时；每隔一会儿；每隔一段时间"
be devoted to,"v. 献身于
 致力于；奉献于；专心于"
wound up,"na. “wind up”的过去分词和过去式
 上足发条；紧张；兴奋的"
lay aside,"na. 保存；放在一边；丢弃；留着
 储蓄；搁置；把…放在一边"
turn in,"v. 向里弯曲
 上交；上床睡觉；交出"
on the brink of,"na. 即将要
 濒于；濒临；在……的边缘"
once upon a time,"na. 从前；很久很久以前；古时候
 童话镇；曾经；童话小镇"
light up,"na. 点灯；照亮；点香烟；变快活
 点燃；点亮；点火"
at length,"na. 最后；充分地
 详细地；终于；终于，最终"
be committed to,"un. 投入；承担；致力于；完全旨在
 忠于某一立场；委身于；被交给"
be met with, 遇到；遭受；被遇到
call up,"na. 传；动员；打电话给；呼唤
 召集；使想起；召唤"
be accustomed to,"na. 惯于(苦干,早起)
 习惯于；习惯於；习以为常"
catch one's breath,"na. 忍住呼吸；休息一下；紧张起来
 歇口气；喘气；屏息"
call upon,"na. “call on”的变体；同“call on ”
 号召；拜访；求告"
call on,"na. 号召；指名要(某人)去干(某事)；请求；访问
 拜访；呼吁；拜访某人"
mess up,"na. 搞砸；弄糟；弄脏；弄乱
 搞糟；陷入困境；把…弄糟"
a packet of,"det. 一包
 一盒；一袋；是一袋"
in spite of,"na. spite of 不管；无视
 尽管；不顾；虽然"
walk out,"na. 出去；罢工；(丢开人)走掉
 走出；退席；走出去"
warm up,"na. 加热；变暖；热中起来；作准备动作
 热身；暖身；热身运动"
in a way,"na. 在某一点上
 在某种程度上；从某种程度上说；在某点"
work up,"na. 刺激；煽动；刻苦完成；展开(故事的情节)
 激发；激起；逐步引起"
in the face of,"na. 不避；不管；在…前面；面临
 面对；在...面前；不顾"
stick with, 坚持；继续支持；坚持做
break down,"v. 分解；抛锚；分析；划分
 损坏；出故障；瓦解"
odds and ends,"n. 零碎；琐碎的东西；小玩意
 零碎的工作；零碎东西；零星杂物"
stand in,"na. 加入；使花费
 代替；做替身；代替演员站好位置"
be supposed to,"na. …(在职务上)要；不许
 应该；被认为；被期望"
press on,"na. 向前挤；坚决推进；“press ahead”的变体
 加紧赶路；加紧进行；压迫"
reach the public,
beg off,"na. 辞退；谢绝；请求原谅(某人)
 请求免除；恳求免除；托辞无法参与"
take it easy,"na. “take things easy”的变体
 别紧张；别着急；放轻松"
call for,"na. 呼吁；主张；需要；接(某人)
 要求；提倡；号召"
look into,"na. 窥视；调查；过问
 研究；检查；了解"
get at,"na. 抓住；了解；到达；拿得到
 够得着；意指；接近"
set against,"na. 比较；对照；使对抗；使反对
 使平衡；使抵消；使敌视"
pile up,"na. 堆积；积聚；(汽车等)挤在一起；(使)(船)搁浅
 累积；堆起来；积累"
come in,"na. 进入；当选；上台；(党派)组阁
 进来；请进；流行起来"
hold out,"na. 伸出；提出；维持；制止
 坚持；支持；坚持，不屈服"
carry over,"na. 贮存(货物等)供下季供应；将(账目等)结转(次页)
 继续下去；遗留下来；重赛"
break through,"na. 突破(点)；(科技等的)重大发现；关键问题的解决
 突围；冲破；冲垮"
be bound to,"v. 一定要；决心
 必定；注定；一定会"
book in,"v. 预定旅馆房间
 来到注书店；登记姓名；为…办理登记手续"
lean on,"na. 靠在；倚赖；据险(固守)
 依靠；依赖；倚靠"
in one's realm,
by and large,"na. 总的说来
 大体上；总的来说；基本上"
figure out,"na. 估计；解决；了解；确定
 想出；算出；计算出"
work on,"na. 对…有效；动(人,感情等)；向…做工作；左右
 从事；致力于；继续工作"
of a kind, 同类的；同一类的；徒有其名的
spit out,"na. 同“spit”
 吐出；吐出来；中吐出"
in contrast,"adv. 相反
 相比之下；对比；成对比"
in contrast to,"un. 相形之下；与…相比；与…相反；与…对比
 “与……相比；与。。。相反；与……形成对照"
in contrast with,"na. 和…成对比；和…大不相同
 与……相比；和…成对照；与……形成对比"
happen to,"v. 发生于
 碰巧；偶然；发生在…身上"
out of season,"na. 过时的；失去时机；过了旺季；在禁猎期
 过季的；不合时令的；不当令"
sit by,"na. 袖手旁观；坐在一旁
 无动于衷；留在旁边；照料"
make for,"na. 有利于；对…有益；倾向于；支持
 走向；向…前进；有助于"
appear to,"un. 看来像是
 似乎；好像；看来似乎"
turn over,"na. ￡ 500 a week 每星期卖得五百镑
 移交；翻转；翻过来"
on occasions, 不时地；有必要时；在…场合
dry up,"na. 干涸；逐渐枯萎；使干；(演员)忘记台词
 枯竭；干透；乾涸"
cut up,"na. 割裂；弄伤；歼灭(敌军)；使心痛
 切碎；剪碎；宰后得肉"
in conjunction with,"na. 与…共同；连带着
 连同；与...协力；与之伴随的"
give away,"na. 赠送；分发；放弃；露马脚
 泄露；出卖；分送"
be expected to, 被期待做某事; 有望做某事; 期许
go toward, 朝…行进；归往；走向
black and blue,"un. 遍体鳞伤；浑身发青；青一块、紫一块；孝服
 青一块紫一块；遍体鳞伤的；鼻青脸肿"
dwell on,"na. 细想详述仔细研究强调；拖长(发音)仔细打量；减慢
 详细讲述；凝思；老是想着"
so far,"na. 就是那么些；到现在为止；到目前(此地)为止；就此范围来说
 到目前为止；迄今为止；至今"
get through,"na. 花光；了结；(使)通过(议案)；及格
 到达；度过；接通"
lay down,"v. 躺下；不反抗；屈服；顺从
 放下；制定；规定"
go in for,"na. 赞成；寻求；参加
 从事；追求；爱好"
at the mercy of,"na. 完全受…支配
 在…支配下；完全受...支配；任由…摆布"
cover up,"na. 包庇(某人)；为某人打掩护；蒙盖；隐蔽
 掩盖；掩饰；掩饰，掩盖"
account for,"na. 证明；由于；说明(银钱等的)用途；打死
 解释；占；说明…的原因"
sign for,"na. 签收
 起见我建议要加挂号；签工作；签收某物"
burn out,"na. 烧起来；烧光；烧尽；烧断
 烧掉；烧坏；熄灭"
lay over,"n. 中途的短暂停留
 覆盖；涂，覆盖；延期"
look over,"na. 浏览；检查；察看
 查看；翻阅；调查"
go over,"na. 仔细查看；仔细搜查；排练；重温
 复习；检查；仔细检查"
provide ... to ...,
meet with,"na. 碰见；遭遇；偶然发现；达到
 遇见；遇到；碰到"
in stock,"na. 有货
 备有；现货；有现货"
take apart,"na. 分解；拆分；剖析
 拆开；拆卸；卸开"
infect with,把…传染给…; 使充满(某种感情)
get sick from,
take back,"na. 退回；收回(说过的话)；承认…是错的；拿回
 取消；取回；拿回来"
burst out,"na. 冒出；现出；突然发作；突然发生
 突然……起来；迸发；爆发"
believe in,"v. 相信
 信任；信仰；信奉"
get a move on,"na. 快点；赶快行动
 快点吧；行动起来；赶快走"
on the fence,"na. 犹豫未决的；中立的
 保持中立；抱观望态度；抱骑墙态度"
straight away,"adv. 马上
 立刻；立刻地；毫不犹豫地"
range from ... to,
give birth to, 生（孩子），生育; 引起，产生; 娩出; 娩
retreat from,"v. 放弃；撤退
 从退出；从……退却；避开"
on thin ice, 如履薄冰；履於薄冰；步履薄冰
fall out,"v. 吵架；争执；闹僵；分手
 争吵；脱落；闹翻"
on a survey,
come through,"na. 胜利；脱险；支付；捐献
 经历；成功；安然度过"
live off,"na. 住在…之外；以…为生
 靠…生活；靠……供养；依赖…生活"
cooperate with,"un. 协作；合作
 相配合；与……合作；与协作"
wear away,"v. 消逝；磨损
 磨掉；消磨；使磨损"
break the ice,"na. 带个头；使气氛活跃；起头；打破沉闷
 打破沉默；打破僵局；破冰"
in a bid to, 为了；试图；力求
tie up,"na. 绑；系；包扎；(船只)系泊
 捆；捆绑；占用"
get out,"na. 摆脱；走出；出去!
 离开；滚开；滚出去"
be based on,"v. 以…为基础
 根据；基于；以……为根据"
kick in,"na. 捐(款)；清还；破门而入；死
 腿打水游进；踢掉砸开；缴付"
seek out,"na. 找出；寻求；想获得
 挑出；找到；搜寻出"
pull apart,"na. 扯断(索子等)；劝开(吵闹)
 拉开；撕开；分开"
tide over,"v. 帮…度过难关
 渡过；克服；使度过"
make a turn, 转弯；表示转弯；拐弯
rise up,"v. 升起
 起义；起来反抗；上升"
speed up,"na. 加快(机器等的)速度；使加紧做
 加速；加快速度；增加速度"
in large part,"un. 乐意；在很大程度上
 大部分；大部份；大部份时间"
in memory of,"na. 纪念…
 为纪念；为了纪念；以纪念"
be at liberty to,
take sth. to heart,"v. 非常关心
 认真；认真关注；对…耿耿于怀"
divide into,"v. 分为
 分成；把……分成；分开"
be aware of,"na. 知道
 意识到；觉察；了解"
pull out,"na. 拔(牙等)；把船划出；(车,船等)开出；(人)出发
 拔出；驶出；抽出"
pull out of, 退出；从……中退出；离开
give rise to,"na. 惹起
 引起；导致；使发生"
come out of,"na. 出自；(冲破…)出来
 从…出来；来自；大难不死"
be known to, 为…所知；为……所熟知；周知于
go further than,
under attack,"adv. 遭到攻击
 受到攻击；在攻击之下；遭受攻击"
live on,"na. 以…为主食；靠…生活；继续活着；靠［吃］…生活
 以……为主食；靠……为生；以…为食"
walk by, 走过；路过；在…旁边走过
on board,"na. 在船上；在车上；出垒
 到船上；上船；已装船"
participate in,"v. 参加；分享
 参与；参加某事；参加例句"
by degrees,"na. 渐次
 逐渐地；渐渐地；逐步地"
date back to,"na. 回溯至
 追溯到；始于；可追溯到"
waste away,"na. 消瘦
 日益消瘦；日渐衰弱；日趋消瘦"
be addicted to,"na. 嗜好
 沉溺于；对……上瘾；沉迷于"
cut down,"na. 砍倒；削减；减价；夺去…活动力
 减少；缩短；降低"
cut down on,"un. 削减；节省；减轻
 减少；继续，保持；振作"
boil over,"na. 沸溢；发怒
 沸腾而溢出；喷溢出储罐四周；因沸溢出"
stay out,"na. 不干涉；(在外头)不回家；不在家；坚持到
 呆在户外；外出；呆在外面"
result from,"v. 由于
 由...产生；起因于；由…引起"
part with,"na. 跟…分别；解雇；卖掉(东西)
 放弃；割舍；辞退"
tend to,"v. 倾向于；有助于
 趋向；趋于；往往"
be named after, 以……命名；以…来命名；以…的名字命名
leave out,"na. 遗漏；忽略；(告诉某人)停下来
 省去；省略；不考虑"
at ease,"na. 自由自在；=stand at ease.
 稍息；安逸；舒适"
put ... at ease,
by hand,"na. 用手的；用手递交的；(婴儿)用牛奶抚养的
 用手工；手动；手工的"
fit into, （使）适合， （使）合乎…的时间，与…融为一体; 纳入
get by,"na. 走过；勉强混过去
 通过；过得去；勉强生存"
out of stock,"na. 售完
 脱销；缺货；无存货"
be around with,
pour out,"v. 倾吐；诉说
 涌出；倾诉；倾倒"
scale down,"na. (按比例)缩减；分频；“scale back”的变体
 按比例缩小；缩小比例；按比例减少"
in detail,"na. 详细
 详细地；详细的；详尽"
all over,"adj. 满
n. 全花织物
 到处；遍及；结束"
in full swing,"na. “in full activity”的变体
 正在全力进行；全面展开；活跃"
tie down,"v. 束缚
 牵累；系紧；约束"
apart from,"prep. 除了…外（都）；要不是；除了…外（还）；此外
 除……之外；除...外；除去"
in contrast,"adv. 相反
 相比之下；对比；成对比"
in abundance,"adv. 充足
 丰富；大量；丰富的"
make fun of,"na. 嘲弄
 取笑；嘲笑；开玩笑"
work off,"v. 渐渐消除
 除去；售出；清理"
at times,"na. 时时
 有时；有时候；时常"
line up,"na. 整顿(机械等)；排成一列；使(兵士)排齐；整顿阵容
 排队；整队；排成一行"
be bad for,"na. 对…有害
 对……有害；对什么有害；有害于"
against the law, 违法；违反法律；对抗法律
go up to,"v. 前往
 走上前去；上到……上；走到"
wash up,"na. 饭后洗碗；洗脸；将…冲上岸；(出人意料地)出现
 洗餐具；洗手洗脸；洗涤餐具"
by virtue of,"na. 靠
 由于；凭借；因"
for the first time,"na. 第一次
 首次；初次；从第一次开始"
at any rate,"na. 无论如何；至少；总而言之
 不管怎样；反正；总之"
decide on,"na. 决心
 决定；选定；决定某事"
be associated with,"v. 与…联系
 与……有关；与……有关系；相联系"
knock off,"na. 敲落；中止(工作)；即席作(诗文等)；减低(价格)
 下班；停工；打落"
send in,"na. 拿出；提出；递(名片)；送
 送来；呈报；提交"
fail to do, 未能做某事；做某事失败；没能做成某事
all the time,"na. 始终；老是
 一直；总是；无时无刻"
aside from,"na. 暂置不论；加之；除…外
 除...外；除…之外；除了"
get ahead,"na. 获得成功；前进
 进步；超过；走在前面"
look ahead,"na. 考虑未来；“look/think/plan ahead”的变体
 展望未来；向前看；前瞻"
prior to,"adj. 前于
 此前；在…之前；先于"
in the long term,"na. 从长期看
 从长远角度看；从长远来看；从长远观点来看"
out of question,"na. 不在考虑之列；根本不可能
 毫无疑问；不成问题；没问题"
tear down,"na. 拆毁；扯下；猛冲
 拆除；拆卸；拆除某物"
a glimpse of, 一瞥；看一眼；天合太阳能欧洲掠影
live up to,"na. 量…过日子；实行(主义等)；够得上；达到预期标准
 不辜负；符合；实践"
cross out,"na. 取消
 删去；划掉；删除"
with the decline of,
break up,"v. 拆散；打碎；剖割(兽体等)；破坏
 分手；结束；分解"
have a voice in,"na. 对…有发言权
 参与；在…有发言权；一个中文词语或英文单词"
be fed up with,"na. 吃…吃得过饱；厌倦
 厌烦；受够了；讨厌"
serve as,"v. 用作；充当
 作为；担任；当作"
fall prey to, 被困：陷入困境，有遭受迫害、毁灭或侵袭的危险
in one's heart of hearts,"un. 心里私下；在某人心灵深处
 在内心深处；骨子里；在思想深处"
look forward to,"na. 盼望
 期待；期望；期盼"
add up to,"na. 总计共达；总之就是
 合计达；合计为；意味着"
on no account,"na. … on any account 决不
 无论如何；不论什么原因也不；绝对不"
first and foremost,"na. 首先
 首要地；首要的是；第一位的和首要的"
single out,"v. 挑选出；精选出
 挑出；是选出，挑出的意思；脱颖而出"
in connection with,"prep. 与…相关
 关于；与…有关；和……有关"
under way,"na. 进行着；航行中
 在进行中；正在进行之中；正在进行中"
sit out,"na. “sit through”的变体
 袖手旁观；坐在户外；对……袖手旁观"
keep up with,"na. 不落后
 跟上；赶上；紧跟"
at one's fingertips, （尤指信息）近在手边的，唾手可得的
live through,"na. 度过
 经受住；经受过；经历过"
build up,"na. 同“build”；建立；复兴；集结(部队)
 逐步建立；增进；积累"
on one's own,"na. 独自地；独立地；凭自己力量；主动地
 单独；靠自己；靠自己的力量"
block off,"v. 挡住
 封堵；堵住；封锁"
catch sight of,"na. 看出
 发现；看见；看到"
get back to,"un. 报复；回到
 再和……联系；回到某地；重新回到"
feed on,"na. 同“feed off ”；“live on”的变体
 以……为食；以…为食物；以…为主食"
make one's way,"na. 前往；发迹
 前进；行进；走去"
hang around,"na. 在附近徘徊；踌躇不前
 闲荡；闲逛；逗留"
incorporate ... into ...,
clear up,"na. 整顿；说明；(天气)转晴
 放晴；整理；清理"
look through,"na. 浏览；翻查；对…视而不见；看穿
 仔细查看；翻阅；看一遍"
be responsible for,"v. 负责；担负
 对…负责；为…负责；对……负责任"
in condition,"un. 病势很重；高兴；健康状况好
 健康情况良好；身体条件适合；处于……状态"
in the way,"na. 在路上；妨碍
 挡道；挡路；妨碍人的"
in one's way,"na. 本来；有特色的
 挡某人的路；妨碍；挡道的"
look on,"na. 旁观；面向；看做
 观看；看待；观望"
be contrary to,"v. 不同于
 与…相反；违反；反对"
put through,"na. 经受；测试；试验；使…通过
 接通；完成；把……接通"
at first sight,"na. 乍看；一见就；乍看起来
 乍一看；初看起来；真情难舍"
in comparison with,"na. 和…比起来
 比较；与…比较；与…比较起来"
break into,"na. 闯进；拦(别人话头)；侵占(别人时间等)；突然…起来
 闯入；破门而入；强行进入"
call it a day,"na. 今天就这样算了
 今天到此为止；收工；就此结束"
stress out, 压力过大；经历极大压力；压力大
shoot up,"na. 上冒；喷出；欣欣向荣；猛长
 暴涨；腾贵；激增"
as a rule,"na. 照例
 通常；一般说来；一般来说"
in full,"na. 详细地(填写姓名等)；全部地
 充足；全额；全文"
all the way,"na. 路上一直；老远；(从…到…)逐一
 一路上；自始至终；天长地久"
at sea,"na. 在海上；不知所措
 海上巡航；海上巡游；茫然"
branch out,"na. (树)发枝；(话等)横生枝节；(事业等)扩大规模
 拓展业务；长出枝条；扩大活动范围"
doze off,"v. 打瞌睡
 打盹；打盹儿；打磕睡"
engage in,"na. 从事；参加
 参与；从事于；忙于"
count on,"na. 指望；预料到；期望
 依靠；依赖；期待"
get off the ground,"na. 飞起；开始
 进行顺利；开始发行；取得进展"
adjust for,
look to,"na. 依赖；注意；照料；倾向…
 指望；照顾；期望"
measure up,"na. 合格
 符合标准；达标，符合标准；合乎标准"
fall short of,"na. “come short”的变体；“fall short”的变体
 达不到；缺乏；不符合"
break off,"v. 断绝；摘；把…折断；使脱落
 中断；突然停止；打断"
shut off,"na. 阻断；使隔开
 关掉；切断；关闭"
agree to,"na. 承认(提议；条件)
 同意；同意某事；赞成"
talk out of, 劝阻；说服某人不做某事；强迫同意或决定不做
intrude into, 侵入；进犯；打扰
in search of,"na. 寻找；去找；追求；为了寻求
 为了寻找；搜索；查究"
draw up,"na. 写出；正容；整(队)；拉起(鱼网等)
 起草；草拟；停住"
struggle with, 与…斗争；与…作斗争；和…斗争
mix up,"na. 调匀；混淆；使结交坏朋友；猛烈互击
 混合；搞糊涂；混合在一起"
compare with,"na. 和…比较
 与…相比；与…相比较；与…比较"
knock down,"na. 打倒；拆除；拆卸；(拍卖时)敲槌卖出
 撞倒；击倒；击落"
set aside,"na. 搁置；拨出；驳回
 留出；取消；挑出，留出"
not in the least,"na. 一点也不
 毫不；绝不；一点儿也不"
on the other side,"na. 反对方面的；在对面
 在另一边；另一方面；换个情境"
in the habit of,"un. 养成习惯；一向；总得；动不动就
 有……的习惯；有…习惯；养成良好的习惯"
around the corner,"na. (=  round the corner)在拐角那里
 在拐角处；即将来临；即将到来"
round the corner,"na. 在拐弯的地方；在拐角处；在附近
 即将到来；即将来临；在拐角处不远"
in prison,"na. 在狱中
 坐牢；在坐牢；在监狱里"
on the part of, 就…而言，在…一边，由…表现出来的，由…所经历的，由…所作出的
relative to,"adj. 有关
 相对于；与…有关；相对於"
turn down,"na. 翻下(衣领等)；扭小(灯火等)拒绝考虑；拒绝(某人)
 关小；调低；驳回"
make sense,"na. (话等)有意义；合理；有道理；讲得通
 言之有理；使…有意义；好理解"
make sense of,"na. 了解…的意义
 理解；弄懂……的意思；懂得"
be dotted with, 点缀着；点缀著
out of place,"na. 不得其所的；不适当的；不相称的；碍事的
 不合适；格格不入的；不恰当"
get around,"na. 回避(事实)；往来；避开(法律等)；智胜(某人)
 走动；规避；四处走动"
get round,"na. 使敌对各方坐下谈判；同“get around ”
 传开；说服；消息传开"
be attributed to,"na. 被认为是…所为
 归于；归因于；被归因于"
on the contrary,"na. 反之
 正相反；相反地；相反的"
in vain,"na. 无益地；轻慢地
 徒劳；徒然；白白地"
bring ... into full play,
at any price,"na. 不惜任何代价
 无论如何；不惜一切；无论花多少代价"
complain about,"v. 埋怨
 抱怨；抱怨某事；抱怨某人或事情"
depend on,"v. 依靠
 依赖；取决于；视……而定"
give up,"na. 放弃；断绝；投降；自首
 停止；抛弃；认输"
as regards,"na. 至于；提到
 关于；至于……关于；就…来说"
on the subject of,"prep. 关于
 谈到；涉及；涉及…时"
by trial and error, 反复试验；不断摸索；尝试与失败
sign up,"na. 同“sign”
 注册；报名；签约"
recover from,"v. 恢复
 痊愈；从……中恢复；从…恢复"
have a look at,"na. (仔细)看一看
 看一眼；看看；看一下"
in the red,"n. 负债
 亏损；赤字；欠债"
in place of,"na. 代替
 取代；替代；取代，交换"
fix on, 把…固定住; 把…集中在…上; 确定; 选定
take out of,"na. 除去；要赔偿；报仇
 取出；把……从……拿出来；领出"
in the course of,"na. 在…之中
 在…过程中；在…期间；在…的过程中"
confront with,"na. 使(被告)和(原告)对质
 使面临；使面对；面对面"
in a sense,"na. 在某种意义上；有一点儿
 从某种意义上说；就某种意义来说；就某种意义而言"
