fray,"n. 争论；打架；磨损处
vt. 使磨损；变得令人紧张、急躁
vi. 被磨损"
legislate,"vt. 用立法规定；通过立法
vi. 立法；制定法律"
inexorable,adj. 无情的；不屈不挠的；不可阻挡的；无法改变的
tinge,"n. 淡色；些许味道；风味
vt. 微染；使带气息"
complacency,n. 自满；满足；自鸣得意
destitute,"n. 赤贫者
adj. 穷困的；无的；缺乏的
vt. 使穷困；夺去"
affluent,"n. 支流；富人
adj. 富裕的；丰富的；流畅的"
deride,vt. 嘲笑；嘲弄
reaffirm,vt. 再肯定，重申；再断言
shirk,"vt. 逃避
vi. 推卸；逃避"
mediate,"vi. 调解；斡旋；居中
vt. 调停；传达
adj. 间接的；居间的"
conciliator,n. 抚慰者；调解人
amicable,adj. 友好的；友善的
recalcitrant,"n. 顽抗者；不服从的人
adj. 反抗的；反对的；顽强的"
demographic,adj. 人口统计学的；人口学的
affluence,n. 富裕；丰富；流入；汇聚
invoke,vt. 调用；祈求；引起；恳求
pervert,"n. 堕落者；行为反常者；性欲反常者；变态
vt. 使堕落；滥用；使反常"
mass,"n. 块，团；群众，民众；大量，众多；质量
adj. 群众的，民众的；大规模的，集中的
vi. 聚集起来，聚集
vt. 使集合"
inoculate,vt.  接种；嫁接；灌输
decipher,"n. 密电译文
vt. 解释（过去式deciphered，过去分词deciphered，现在分词deciphering，第三人称单数deciphers，名词decipherer，形容词decipherable）；译解"
gag,"n. 塞口物；讨论终结；箝制言论
vt. 塞住…的口；钳制…的言论；使窒息
vi. 插科打诨；窒息；作呕"
aerobics,n. 有氧运动法；增氧健身法
protocol,"n. 协议；草案；礼仪
vt. 拟定
vi. 拟定"
quaver,"n. 颤抖；八分音符；颤音
vt. 颤抖
vi. 颤抖；发颤音"
purge,"n. 净化；泻药
vt. 净化；清洗；通便
vi. 净化；通便"
haphazard,"n. 偶然；偶然事件
adj. 偶然的；随便的；无计划的
adv. 偶然地；随意地"
detour,"n. 绕道；便道
vt. 使…绕道而行
vi. 绕道；迂回"
infringe,"vt. 侵犯；违反；破坏
vi. 侵犯；侵害"
fillet,"n. 鱼片；头带；平边；饰线
vt. 用带缚；把…切成片"
tulip,n. 郁金香
maim,vt. 使残废
abject,adj. 卑鄙的；可怜的；不幸的；（境况）凄惨的，绝望的
braid,"n. 辫子；穗带；发辫
vt. 编织"
insomuch,adv. 由于，就此程度而言
discreet,adj. 谨慎的；小心的
impeccable,adj. 无瑕疵的；没有缺点的
devious,adj. 偏僻的；弯曲的；不光明正大的
insolent,adj. 无礼的；傲慢的；粗野的；无耻的
bewitch,vt. 施魔法于，蛊惑；使着迷
putrid,adj. 腐败的；腐烂的；令人厌恶的
abhor,vt. 痛恨，憎恶
barter,"n. 易货贸易；物物交换；实物交易
vt. 以…作为交换；拿…进行易货贸易
vi. 进行易货贸易； 作物物交换；讨价还价"
banish,vt. 放逐；驱逐
belittle,vt. 轻视；贬低；使相形见小
decency,n. 正派；体面；庄重；合乎礼仪；礼貌
clone,"n. 克隆；无性系；无性繁殖；靠营养生殖而由母体分离繁殖的植物
vt. 无性繁殖，复制"
embryo,"n.  胚胎；胚芽；初期
adj. 胚胎的；初期的"
ethical,"n. 处方药
adj. 伦理的；道德的；凭处方出售的"
controversy,n. 争论；论战；辩论
perverse,adj. 堕落的，不正当的；倔强的；违反常情的
unscrupulous,adj. 肆无忌惮的；寡廉鲜耻的；不讲道德的
hotly,adv. 激烈地；热心地；暑热地
infertile,adj. 不肥沃的；不毛的；不结果实的；不能生殖的
conjure,"vt. 念咒召唤；用魔法驱赶；提出，想象；恳求
vi. 施魔法；变魔术"
futuristic,adj. 未来派的；未来主义的
unsettle,"vt. 使动摇；使不安定；使心神不宁
vi. 不安；动荡不定"
implant,"n.  植入物；植入管
vt. 种植；灌输；嵌入
vi. 被移植"
womb,"n.  子宫；发源地
vt. 容纳"
sibling,n. 兄弟姊妹；民族成员
bizarre,adj. 奇异的（指态度，容貌，款式等）
scenario,n. 方案；情节；剧本；设想
thorny,adj. 多刺的；痛苦的；令人苦恼的
proceeding,"n. 进行；程序；诉讼；事项
v. 开始；继续做；行进（proceed的ing形式）"
oversight,n. 监督，照管；疏忽
scuttle,"n. 天窗；煤桶；筐
vt. 使船沉没；破坏
vi. 逃避；急促地跑"
diverge,"vt. 使偏离；使分叉
vi. 分歧；偏离；分叉；离题"
magpie,"n. 鹊，喜鹊；饶舌的人；有收集零碎东西癖好的人
adj. 鹊的；有收集癖的；斑驳的，混杂的"
mainstream,n. 主流
magnetism,n. 磁性，磁力；磁学；吸引力
safari,n. 旅行；狩猎远征；旅行队
saga,n. 传说；冒险故事；英雄事迹
saffron,"n. 藏红花；橙黄色
adj. 藏红花色的，橘黄色的"
deify,vt. 把…奉若神明；把…神化；崇拜
ooze,"vt. 渗出；泄漏
vi. 渗出；泄漏
n.  软泥"
simulate,"adj. 模仿的；假装的
vt. 模仿；假装；冒充"
qualm,n. 疑虑；不安
momentum,n. 势头； 动量；动力；冲力
remit,"n. 移交的事物
vt. 宽恕；免除；减轻；传送；使恢复原状
vi. 汇款；缓和"
reimburse,vt. 偿还；赔偿
imbue,vt. 灌输；使感染；使渗透
fervor,n. 热情；热烈；热心；炽热
hamlet,n. 小村庄
harp,"n. 竖琴
vi. 弹奏竖琴；喋喋不休；不停地说"
repel,vt. 击退；抵制；使厌恶；使不愉快
fugitive,"n. 逃亡者；难捕捉之物
adj. 逃亡的；无常的；易变的"
fervent,adj. 热心的；强烈的；炽热的；热烈的
ardent,adj. 热情的；热心的；激烈的；燃烧般的
bicker,"n. 吵嘴；口角；（水的）潺潺声
vi. 闪动；斗嘴；潺潺而流"
clemency,n. 仁慈；温和；宽厚
leniency,n. 宽大，仁慈；温和
whittle,"n. 屠刀
vi. 削；削木头；弄坏身体
vt. 削；削减；切；削弱"
benefactor,n. 恩人；捐助者；施主
hangings,n. 绞死( hanging的名词复数 ); 绞刑; （墙上装饰用的）帘子; 帷幔
manuscript,"n.  手稿；原稿
adj. 手写的"
attest,"vt. 证明；证实；为…作证
vi. 证明；作证"
versatility,n. 多功能性；多才多艺；用途广泛
cursory,adj. 粗略的；草率的；匆忙的
tumultuous,adj. 吵闹的；骚乱的；狂暴的
shuffle,"n. 洗牌，洗纸牌；混乱，蒙混；拖着脚走
v. 洗牌；推诿，推卸；拖曳，慢吞吞地走；搅乱"
partition,"n. 划分，分开； 分割；隔墙；隔离物
vt.  分割；分隔；区分"
dynamic,"n. 动态；动力
adj. 动态的；动力的；动力学的；有活力的"
undertow,n. 退波；（海面下的）下层逆流
turmoil,n. 混乱，骚动
reshape,vt. 改造；再成形
gene,n.  基因，遗传因子
genetic,adj. 遗传的；基因的；起源的
rover,"n. 漫游者；流浪者；漂泊者
n. 罗孚（汽车品牌）"
marker,n. 记分员；书签；标识物；作记号的人
intermingle,"vt. 使混合；使搀和
vi. 混合；掺杂"
niche,"n. 壁龛；合适的职业；有利可图的市场(或形势等)
vt. 放入壁龛"
barbarian,"n. 野蛮人
adj. 野蛮的；未开化的"
surge,"n. 汹涌；大浪，波涛；汹涌澎湃；巨涌
v. 汹涌；起大浪，蜂拥而来"
legendary,"adj. 传说的，传奇的
n. 传说集；圣徒传"
upheaval,n. 剧变；隆起；举起
innovation,n. 创新，革新；新方法
bedraggled,"adj. 全身泥污的；满身湿透的；荒废的，破烂的
v. 把…在泥水中拖脏；把…拖湿（bedraggle的过去分词）"
apathy,n. 冷漠，无兴趣，漠不关心；无感情
impotence,n.  阳萎；虚弱；无效（等于impotency）
schizophrenia,n.  精神分裂症
contraceptive,"n. 避孕用具； 避孕剂
adj. 避孕的"
satiate,"adj. 饱足的；厌腻的
vt. 充分满足；使厌腻"
gripe,"n. 发牢骚；肠绞痛
vt. 绞痛；握紧；惹恼
vi. 抱怨，发牢骚；肠绞痛"
trespass,"n. 罪过；非法侵入；过失；擅自进入
vi. 侵入；犯罪；打扰；冒犯"
din,"n. 喧嚣
vt. 喧闹，絮絮不休地说
vi. 喧闹，絮絮不休地说"
nutrient,"n. 营养物；滋养物
adj. 营养的；滋养的"
sultan,n. 苏丹（某些伊斯兰国家统治者的称号）
mermaid,n. 美人鱼（传说中的）；女子游泳健将
solace,"n. 安慰；慰藉；安慰之物
vt. 安慰；抚慰；使快乐（过去式solaced，过去分词solaced，现在分词solacing，第三人称单数solaces）"
capillary,"n. 毛细管
adj. 毛细管的；毛状的"
adulterate,"adj. 通奸的；搀杂的
vt. 掺假"
predatory,adj. 掠夺的，掠夺成性的；食肉的；捕食生物的
adorn,vt. 装饰；使生色
captivate,vt. 迷住，迷惑
bonnet,"n.  阀盖；软帽
vt. 给…装上罩；给…戴上帽子"
boon,"n. 恩惠；福利；利益
adj. 愉快的；慷慨的"
rift,"n. 裂缝；不和； 裂口
vt. 使断裂；使分开
vi. 裂开"
fondle,"vt. 爱抚；抚弄
vi. 爱抚；调戏"
cascade,"n. 小瀑布，瀑布状物；串联
vi. 像瀑布般大量倾泻下来
vi. 像瀑布般悬挂着"
cavity,n. 腔；洞，凹处
exult,vi. 狂喜，欢欣鼓舞；非常高兴
conciliate,vt. 安抚，安慰；调和；驯服；怀柔；赢得
glum,adj. 阴沉的；忧郁的
hegemony,n. 霸权；领导权；盟主权
entwine,"vt. 缠住；盘绕；使缠绕
vi. 缠住；盘绕"
pharmaceutical,"n. 药物
adj. 制药（学）的"
deliberation,n. 审议；考虑；从容；熟思
attribute,"n. 属性；特质
vt. 归属；把…归于"
preeminent,adj. 卓越的；超群的
impact,"vi. 影响；撞击；冲突；压紧（on，upon，with）
n. 影响；效果；碰撞；冲击力
vt. 挤入，压紧；撞击；对…产生影响"
hazel,"n. 淡褐色；榛子
adj. 淡褐色的；榛树的"
sallow,"n. 黄华柳；黄华柳细枝
adj. 气色不好的；灰黄色的
vt. 成土色
vi. 使……变成土色"
murmur,"n. 低语；低语声；低声抱怨；潺潺声
vi. 低声说；私下抱怨；发出轻柔持续的声音
vt. 低声说"
exultant,adj. 非常高兴的；欢跃的；狂喜的；欢欣鼓舞的
strand,"n. 线；串；海滨
vt. 使搁浅；使陷于困境；弄断；使落后
vi. 搁浅"
wisp,"n. 小捆；小束
vt. 把…卷成一捆
vi. 卷成一捆"
fleece,"n. 羊毛，绒头织物；羊毛制的覆盖物
vt. 剪下羊毛；欺诈，剥削"
trot,"n. （人）慢跑；马小跑的步态；小跑的马蹄声；刚学步的小孩；老太婆；腹泻；（学生作弊用的）译文对照本
vi. （马）小跑；（人）慢跑；快步走
vt. 使小跑；使快步走"
bedding,"n. 寝具；（建筑） 基床；（家畜）草垫
adj. 适于花坛种植的
vt. 把…栽入苗床（bed的ing形式）
vi. 睡（bed的ing形式）"
ecstasy,n. 狂喜；入迷；忘形
thrush,n. 画眉； 鹅口疮；蹄叉腐疽
nestle,"vi. 舒适地坐定；偎依；半隐半现地处于
vt. 抱；安置"
caress,"n. 爱抚，拥抱；接吻
vt. 爱抚，抚抱"
lament,"n. 挽歌；恸哭；悲痛之情
vi. 哀悼；悲叹；悔恨
vt. 哀悼；痛惜"
fret,"n. 烦躁；焦急；磨损
vi. 烦恼；焦急；磨损
vt. 使烦恼；焦急；使磨损"
stoop,"n. 弯腰，屈背；屈服
vt. 辱没，堕落；俯曲
vi. 弯腰；屈服；堕落"
anguish,"n. 痛苦；苦恼
vt. 使极度痛苦
vi. 感到极度的痛苦"
lamentation,n. 悲叹，哀悼；恸哭
wail,"n. 哀号；悲叹；恸哭声
vt. 为某人死亡而悲痛；哀悼某人；哀号着说
vi. 哀号；悲叹"
squire,"n. 乡绅；侍从；大地主；地方法官
vt. 随侍；护卫"
waistcoat,n. 背心； 马甲
egotism,n. 自负；自我中心
brevity,n. 简洁，简短；短暂，短促
enviable,adj. 值得羡慕的；引起忌妒的
gastric,adj. 胃的；胃部的
torrid,adj. 晒热的；热情的
negate,"vt. 否定；取消；使无效
vi. 否定；否认；无效
n. 对立面；反面"
deplete,vt. 耗尽，用尽；使衰竭，使空虚
nurture,"vt. 养育；鼓励；培植
n. 养育；教养；营养物"
outgrow,vt. 过大而不适于；出生；长大成熟而不再
affiliate,"n. 联号；隶属的机构等
vt. 使附属；接纳；使紧密联系
vi. 参加，加入；发生联系"
appraise,vt. 评价，鉴定；估价
archive,"n. 档案馆；档案文件
vt. 把…存档"
benign,adj. 良性的；和蔼的，亲切的；吉利的
bilateral,adj. 双边的；有两边的
browser,n.  浏览器；吃嫩叶的动物；浏览书本的人
thatch,"n. 茅草，杂草；浓密的头发；茅草屋顶
vt. 用茅草覆盖屋顶"
mirth,n. 欢笑；欢乐；高兴
clutter,"n. 杂乱，混乱
vt. 使凌乱；胡乱地填满"
clatter,"n. 哗啦声；嘈杂的谈笑声；咔嗒声
vi. 发出哗啦声；喧闹的谈笑
vt. 使卡搭卡搭的响"
fidelity,n. 保真度；忠诚；精确；尽责
chastity,n. 贞洁；纯洁；简洁
miscellaneous,adj. 混杂的，各种各样的；多方面的，多才多艺的
corroborate,vt. 证实；使坚固
dauntless,adj. 无畏的；勇敢的；不屈不挠的
invigorate,vt. 鼓舞；使精力充沛
premium,"n. 额外费用；奖金；保险费;(商)溢价
adj. 高价的；优质的"
woe,"n. 悲哀，悲痛；灾难
int. 唉（表示痛苦，悲伤或悔恨）"
allergic,adj. 对…过敏的；对…极讨厌的
nuptial,"adj. 婚礼的；结婚的；婚姻的
n. 婚礼"
impediment,n. 口吃；妨碍；阻止
venue,n. 审判地；犯罪地点；发生地点；集合地点
nicely,adv. 漂亮地；恰好地；精细地
millennium,n. 千年期，千禧年；一千年，千年纪念；太平盛世，黄金时代
unleash,"vt. 发动；解开…的皮带；解除…的束缚
vi. 不受约束；自由自在；放荡不羁"
perception,n. 知觉； 感觉；看法；洞察力；获取
anew,adv. 重新；再
protagonist,n. 主角，主演；主要人物，领导者
onslaught,n. 猛攻；突击
mutant,"n. 突变体；突变异种
adj. 突变的"
trigger,"n. 扳机； 触发器；制滑机
vt. 引发，引起；触发
vi. 松开扳柄"
integral,"n. 积分；部分；完整
adj. 积分的；完整的，整体的；构成整体所必须的"
encompass,vt. 包含；包围，环绕；完成
axis,n. 轴；轴线；轴心国
mesh,"n. 网眼；网丝；圈套
vi. 相啮合
vt.  啮合；以网捕捉"
disparity,n. 不同；不一致；不等
harness,"n. 马具；甲胄；挽具状带子；降落伞背带；日常工作
vt. 治理；套；驾驭；披上甲胄；利用"
maximize,"vt. 取…最大值；对…极为重视
vi. 尽可能广义地解释；达到最大值"
minimize,"vt. 使减到最少；小看，极度轻视
vi. 最小化"
AIDS,abbr. 获得性免疫缺乏综合征；爱滋病（Acquired Immune Deficiency Syndrome）
mythology,n. 神话；神话学；神话集
onset,n. 开始，着手；发作；攻击，进攻
euphemism,n. 委婉语；委婉说法
pal,"n. 朋友，伙伴；同志
vi. 结为朋友"
obituary,"adj. 讣告的；死亡的
n. 讣告"
liaison,n. 联络；（语言）连音
hunk,"n. 大块，大片；厚块；（俚语）强壮
adj. 好的；行的"
arsenal,n. 兵工厂；军械库
arson,n. 纵火；纵火罪
artifact,n. 人工制品；手工艺品
ladle,"vt. 不分对象予以赠送；以杓舀取
n. 钢水包；杓子；长柄杓"
hackneyed,"adj. 陈腐的；平庸的
v. 出租（马匹、马车等）；役使（hackney的过去式）"
curt,adj. 简略的；简要的；草率的；简单粗暴的
posture,"n. 姿势；态度；情形
vt. 作…的姿势
vi. 摆姿势"
snigger,"n. 窃笑；偷偷的笑
vi. 吃吃窃笑；暗笑"
ramble,"vi. 漫步；漫游；闲逛；漫谈；蔓延
vt. 漫步于…
n. 漫步；漫游；随笔"
showpiece,n. 展出品，展示品
excerpt,"n. 摘录，引用
vt. 引用，摘录
vi. 摘录，引用"
decoy,"n. 诱饵；诱骗
vt. 诱骗
vi. 被诱"
assent,"n. 同意；赞成
vi. 同意；赞成"
obese,adj. 肥胖的，过胖的
obesity,n. 肥大，肥胖
fiscal,adj. 会计的，财政的；国库的
fishery,n. 渔业；渔场；水产业
allusion,n. 暗示；提及
gush,"n. 涌出；迸发
v. 涌出；迸出"
hither,"adj. 这边的；近这边的
adv. 到这里；在这里"
ascribe,vt. 归因于；归咎于
embed,vt. 栽种；使嵌入，使插入；使深留脑中
zenith,"n. 顶峰；顶点；最高点
n. 真力时（瑞士名表）"
abjure,vt. 发誓放弃；公开放弃；避免
hamper,"n. 食盒，食篮；阻碍物
vt. 妨碍；束缚；使困累"
peremptory,adj. 强制的；绝对的；断然的；专横的
imminent,adj. 即将来临的；迫近的
pernicious,adj. 有害的；恶性的；致命的；险恶的
undermine,vt. 破坏，渐渐破坏；挖掘地基
ingenious,adj. 有独创性的；机灵的，精制的；心灵手巧的
enact,vt. 颁布；制定法律；扮演；发生
eject,vt. 喷射；驱逐，逐出
contrive,"vt. 设计；发明；图谋
vi. 谋划；设法做到"
predilection,n. 偏爱，嗜好
unfailing,adj. 经久不衰的；可靠的；无穷尽的
symptom,n.  症状；征兆
recur,vi. 复发；重现；采用；再来；循环；递归
rebuff,"n. 断然拒绝；回绝；漠不关心
vt. 断然拒绝"
sardonic,adj. 讽刺的；嘲笑的，冷笑的
optical,adj. 光学的；眼睛的，视觉的
string,n. 线，弦，细绳；一串，一行
incongruous,adj. 不协调的；不一致的；不和谐的
shatter,"n. 碎片；乱七八糟的状态
vt. 粉碎；打碎；破坏；破掉；使散开
vi. 粉碎；损坏；落叶"
thaw,"n. 解冻；融雪
vt. 使融解；使变得不拘束
vi. 融解；变暖和"
derail,"n. 脱轨； 脱轨器
vt. 使出轨
vi. 出轨"
falsify,"vt. 伪造；篡改；歪曲；证明...虚假
vi. 撒谎"
append,"n. 设置数据文件的搜索路径
vt. 附加；贴上；盖章"
exhort,"vt. 忠告；劝诫
vi. 劝告"
omelette,n. 煎蛋卷
ointment,n. 药膏； 油膏
mastermind,"vt. 策划
n. 优秀策划者；才子"
bustle,"n. 喧闹；活跃；裙撑；热闹的活动
vt. 使忙碌；催促
vi. 喧闹；忙乱；充满"
hew,"vt. 砍；劈；砍倒
vi. 砍；劈；坚持"
pike,"n. 通行费；矛；梭子鱼；尖头；收费道路
vt. 用矛刺穿"
vagabond,"n. 流浪者；浪子；流氓；懒汉
adj. 流浪的；流浪者的；浪荡的；漂泊的
vi. 到处流浪"
sabotage,"n. 破坏；破坏活动；怠工
vt. 妨害；对…采取破坏行动
vi. 从事破坏活动"
orphanage,n. 孤儿院；孤儿身份
philanthropic,adj. 博爱的；仁慈的
unassuming,adj. 谦逊的；不装腔作势的；不出风头的
uncouth,adj. 笨拙的；粗野的；不舒适的；陌生的
sanctuary,n. 避难所；至圣所；耶路撒冷的神殿
mire,"n. 泥潭； 泥沼
vi. 陷于泥坑；陷入困境
vt. 使陷于泥坑；使陷入困境"
shunt,"vt. 使转轨；使分流；回避讨论；推延
vi. 转轨；转向一边；往返
n. 转轨； 分流器"
expedient,"n. 权宜之计；应急手段
adj. 权宜的；方便的；有利的"
extricate,vt. 使解脱；解救；使游离
flirt,"n. 急扔；调情的人；卖弄风骚的人
vt. 挥动；忽然弹出
vi. 调情；玩弄；轻率地对待；摆动"
gruff,"adj. 粗暴的；粗哑的；脾气坏的
vt. 粗鲁地说；生硬地说
vi. 粗鲁地说；生硬地说话
n. 格拉夫（英国珠宝品牌）"
horrid,adj. 可怕的；恐怖的；极讨厌的
impartial,adj. 公平的，公正的；不偏不倚的
genesis,n. 发生；起源
hassle,"n. 困难，麻烦；激战
vt. 找麻烦，搅扰；与…争辩；使…烦恼
vi. 争论，争辩"
relentless,adj. 无情的；残酷的；不间断的
disprove,vt. 反驳，证明…是虚假的
ghetto,"n. 犹太人区；贫民区
vt. 使集中居住"
norm,n. 标准，规范
endorse,vt. 背书；认可；签署；赞同；在背面签名
exhortation,n. 讲道词，训词；劝告
sanction,"n. 制裁，处罚；认可；支持
vt. 制裁，处罚；批准；鼓励"
flyer,n. 传单；飞鸟；飞行物；飞跳；孤注一掷
conspiracy,n. 阴谋；共谋；阴谋集团
marketing,"n. 行销，销售
v. 出售；在市场上进行交易；使…上市（market的ing形式）"
hype,"n. 大肆宣传；皮下注射
vt. 大肆宣传；使…兴奋"
unrelenting,adj. 无情的；不屈不挠的；不松懈的
ferocious,adj. 残忍的；惊人的
utopian,
itinerary,"n. 旅程，路线； 旅行日程
adj. 旅程的； 巡回的，流动的"
tout,"vt. 兜售；招徕；刺探赛马情报
vi. 兜售；招徕顾客；拉选票
n. 侦查者；兜售者"
rationalize,"vt. 使……合理化；使……有理化；为……找借口
vi. 实行合理化；作辩解；合理地思考"
ado,n. 忙乱，纷扰，麻烦
gimmick,"n. 暗机关；骗人的玩意；花招
vt. 使暗机关；搞骗人的玩意"
coordinate,"n. 坐标；同等的人或物
vt. 调整；整合
adj. 并列的；同等的
vi. 协调"
elite,n. 精英；精华；中坚分子
perk,"n. 小费；额外收入
vt. 使振作；打扮；竖起
vi. 振作；昂首"
duet,n. 二重奏；二重唱
fag,"n. 苦工；疲劳
vt. 使劳累
vi. 努力地工作"
tonic,"n. 补药；主调音或基音
adj. 滋补的；声调的；使精神振作的"
cerebral,adj. 大脑的，脑的
imperious,adj. 专横的；迫切的；傲慢的
rueful,adj. 可怜的；悲伤的；悔恨的
jubilant,adj. 欢呼的；喜洋洋的
quizzical,adj. 古怪的；引人发笑的；探询的；嘲弄的
ultrasonic,"n. 超声波
adj.  超声的；超音速的"
amnesty,"n. 大赦，特赦
vt. 对…实行大赦"
jolt,"vt. 使颠簸；使震惊；使摇动
vi. 摇晃；颠簸而行
n. 颠簸；摇晃；震惊；严重挫折"
extradite,vt. 引渡；获取…的引渡
extrapolate,"vt. 外推；推断
vi. 外推；进行推断"
tongs,"n.  夹具；钳子（tong的复数）
v. 用钳夹取（tong的三单形式）"
pro,"n. 赞成者；赞成的意见
prep. 赞成
adv. 赞成地"
quip,"n. 妙语；嘲弄；讽刺语
vi. 嘲弄；讥讽
vt. 嘲弄"
binge,"n. 狂欢，狂闹；放纵
vt. 放纵
vi. 狂饮作乐；大吃大喝"
forcible,adj. 强制的；暴力的；有说服力的；强有力的
treacherous,adj. 奸诈的，叛逆的，背叛的；危险的；不牢靠的
bout,n. 回合；较量；发作；一阵
flaccid,adj.  弛缓的；软弱的；无活力的
lucid,adj. 明晰的；透明的；易懂的；头脑清楚的
juggle,"vi. 玩杂耍；欺骗；歪曲
vt. 歪曲；欺骗
n. 玩戏法；欺骗"
boisterous,adj. 喧闹的；狂暴的；猛烈的
accede,vi. 加入；同意；就任
ledge,n. 壁架；突出之部份；暗礁；矿层
silt,"n. 淤泥，泥沙；煤粉；残渣
vt. 使淤塞；充塞
vi. 淤塞，充塞；为淤泥堵塞"
silo,"n. 筒仓；青贮窖；飞弹发射井
vt. 把…存入青贮窖；把…储存在筒仓内"
incessant,adj. 不断的；不停的；连续的
devoid,adj. 缺乏的；全无的
foul,"n. 犯规；缠绕
adj. 犯规的；邪恶的；污秽的；淤塞的
vt. 犯规；弄脏；淤塞；缠住，妨害
adv. 违反规则地，不正当地
vi. 犯规；腐烂；缠结"
lest,conj. 唯恐，以免；担心
eerie,adj. 可怕的；怪异的
incentive,"n. 动机；刺激
adj. 激励的；刺激的"
foster,"vt. 培养；养育，抚育；抱（希望等）
adj. 收养的，养育的"
weird,"n. （苏格兰）命运；预言
adj. 怪异的；不可思议的；超自然的"
budget,"n. 预算，预算费
adj. 廉价的
vt. 安排，预定；把…编入预算
vi. 编预算，做预算"
