intellect,n. 智力，理解力；知识分子；思维逻辑领悟力；智力高的人
surface,"n. 表面；表层；外观
adj. 表面的，肤浅的
vt. 使浮出水面；使成平面
vi. 浮出水面"
virtue,n. 美德；优点；贞操；功效
patent,"n. 专利权；执照；专利品
adj. 专利的；新奇的；显然的
vt. 授予专利；取得…的专利权"
adapt,"vi. 适应
vt. 使适应；改编"
susceptible,"n. 易得病的人
adj. 易受影响的；易感动的；容许…的"
encompass,vt. 包含；包围，环绕；完成
claim,"n. 要求；声称；索赔；断言；值得
vt. 要求；声称；需要；认领
vi. 提出要求"
recommend,"vt. 推荐，介绍；劝告；使受欢迎；托付
vi. 推荐；建议"
collaboration,n. 合作；勾结；通敌
indefensible,adj. 站不住脚的；不能防卫的；无辩护余地的
syndrome,n.  综合症状；并发症状；校验子；并发位
encounter,"n. 遭遇，偶然碰见
vi. 遭遇；偶然相遇
vt. 遭遇，邂逅；遇到"
highlight,"n. 最精彩的部分；最重要的事情；加亮区
vt. 突出；强调；使显著；加亮"
ornament,"n. 装饰； 装饰物；教堂用品
vt. 装饰，修饰"
adhere,"vi. 坚持；依附；粘着；追随
vt. 使粘附"
defer,"vt. 使推迟；使延期
vi. 推迟；延期；服从"
mature,"adj. 成熟的；充分考虑的；到期的；成年人的
vi. 成熟；到期
vt. 使…成熟；使…长成；慎重作出"
sympathy,n. 同情；慰问；赞同
endeavor,"n. 努力；尽力（等于endeavour）
vi. 努力；尽力（等于endeavour）
vt. 努力；尽力（等于endeavour）"
endeavour,"n. 尽力，竭力
vi. 竭力；企图
vt. 竭力做到，试图或力图（做某事）"
notable,"adj. 值得注意的，显著的；著名的
n. 名人，显要人物"
licence,"n. 许可证，执照；特许
vt. 特许，许可；发给执照"
license,"n. 执照，许可证；特许
vt. 许可；特许；发许可证给"
outrage,"n. 愤怒，愤慨；暴行；侮辱
vt. 凌辱，强奸；对…施暴行；激起愤怒"
forecast,"n. 预测，预报；预想
vt. 预报，预测；预示
vi. 进行预报，作预测"
enforce,vt. 实施，执行；强迫，强制
unprecedented,adj. 空前的；无前例的
admission,n. 承认；入场费；进入许可；坦白；录用
deliberate,"adj. 故意的；深思熟虑的；从容的
vt. 仔细考虑；商议"
grant,"n. 拨款； 授予物
vt. 授予；允许；承认
vi. 同意"
peer,"vt. 封为贵族；与…同等
vi. 凝视，盯着看；窥视
n. 贵族；同等的人；同龄人"
enhance,vt. 提高；加强；增加
nucleus,n. 核，核心；原子核
apology,n. 道歉；谢罪；辩护；勉强的替代物
gratitude,n. 感谢（的心情）；感激
sacred,adj. 神的；神圣的；宗教的；庄严的
gratify,vt. 使满足；使满意，使高兴
character,"n. 性格，品质；特性；角色； 字符
vt. 印，刻；使具有特征"
withdraw,"vt. 撤退；收回；撤消；拉开
vi. 撤退；离开"
democratic,adj. 民主的；民主政治的；大众的
throughout,"prep. 贯穿，遍及
adv. 自始至终，到处；全部"
overestimate,"vt. 对……评价过高；对……估计过高
n. 估计过高；评价过高；出价过高
vi. 估计过高；评价过高"
demonstrate,"vt. 证明；展示；论证
vi. 示威"
regard,"n. 注意；尊重；问候；凝视
vi. 注意，注重；注视
vt. 注重，考虑；看待；尊敬；把…看作；与…有关"
ensure,vt. 保证，确保；使安全
timescale,"时间量程
时标"
set,"n.  集合；一套；布景； 装置
adj. 固定的；规定的；固执的
vi. (日,月)落沉；凝固；结果
vt. 树立；点燃；点缀；"
appreciative,adj. 感激的；赏识的；有欣赏力的；承认有价值的
donation,n. 捐款，捐赠物；捐赠
irrational,"n.  无理数
adj. 不合理的；无理性的；荒谬的"
prohibition,n. 禁止；禁令；禁酒；诉讼中止令
perpetual,adj. 永久的；不断的；四季开花的；无期限的
unrecognized,adj. 未被承认的；未被认出的；未被认可的
perplex,vt. 使困惑，使为难；使复杂化
regulate,vt. 调节，规定；控制；校准；有系统的管理
entire,adj. 全部的，整个的；全体的
ineffective,adj. 无效的，失效的；不起作用的
perspective,"n. 观点；远景；透视图
adj. 透视的"
envision,vt. 想象；预想
guarantee,"n. 保证；担保；保证人；保证书；抵押品
vt. 保证；担保"
token,"n. 表征；代币；记号
adj. 象征的；表意的；作为对某事的保证的
vt. 象征；代表"
empirical,adj. 经验主义的，完全根据经验的；实证的
lenient,adj. 宽大的；仁慈的
artificial,adj. 人造的；仿造的；虚伪的；非原产地的；武断的
blaze,"n. 火焰，烈火；光辉；情感爆发
vt. 在树皮上刻路标；公开宣布
vi. 燃烧；照耀，发光；激发"
impatience,n. 急躁；无耐心
predominance,n. 优势；卓越
calculate,"vt. 计算；预测；认为；打算
vi. 计算；以为；作打算"
robot,n. 机器人；遥控设备，自动机械；机械般工作的人
sophisticated,"adj. 复杂的；精致的；久经世故的；富有经验的
v. 使变得世故；使迷惑；篡改（sophisticate的过去分词形式）"
international,"n. 国际组织；国际体育比赛；外国居留者；国际股票
adj. 国际的；两国（或以上）国家的；超越国界的；国际关系的；世界的"
appease,vt. 使平息；使满足；使和缓；对…让步
anonymous,adj. 匿名的，无名的；无个性特征的
emit,vt. 发出，放射；发行；发表
agricultural,adj. 农业的；农艺的
humble,"adj. 谦逊的；简陋的；（级别或地位）低下的；不大的
vt. 使谦恭；轻松打败（尤指强大的对手）；低声下气"
instrument,n. 仪器；工具；乐器；手段；器械
overturn,"vt. 推翻；倾覆；破坏
vi. 推翻；倾覆
n. 倾覆；周转；破灭"
upset,"n. 混乱；翻倒；颠覆
adj. 心烦的；混乱的；弄翻的
vt. 使心烦；颠覆；扰乱
vi. 翻倒"
inevitable,adj. 必然的，不可避免的
flexible,adj. 灵活的；柔韧的；易弯曲的
prescribe,"vt. 规定；开处方
vi. 规定；开药方"
infect,vt. 感染，传染
relevant,adj. 相关的；切题的；中肯的；有重大关系的；有意义的，目的明确的
wrinkle,"n. 皱纹
vi. 起皱
vt. 使起皱纹"
equivalent,"n. 等价物，相等物
adj. 等价的，相等的；同意义的"
deserve,"vi. 应受，应得
vt. 应受，应得"
inferior,"n. 下级；次品
adj. 差的；自卑的；下级的，下等的"
advisory,"n. 报告；公告
adj. 咨询的；顾问的；劝告的"
conviction,n. 定罪；确信；证明有罪；确信，坚定的信仰
ethos,n. 民族精神；气质；社会思潮
outline,"n. 轮廓；大纲；概要；略图
vt. 概述；略述；描画…轮廓"
representative,"n. 代表；典型；众议员
adj. 典型的，有代表性的；代议制的"
undercover,adj. 秘密的，秘密从事的；从事间谍活动的
alien,"n. 外国人，外侨；外星人
adj. 外国的；相异的，性质不同的；不相容的
vt. 让渡，转让"
prestige,n. 威望，声望；声誉
reluctant,adj. 不情愿的；勉强的；顽抗的
allege,vt. 宣称，断言；提出…作为理由
loyal,"adj. 忠诚的，忠心的；忠贞的
n. 效忠的臣民；忠实信徒"
alleviate,vt. 减轻，缓和
track,"n. 轨道；足迹，踪迹；小道
vt. 追踪；通过；循路而行；用纤拉
vi. 追踪；走；留下足迹"
previous,"adj. 以前的；早先的；过早的
adv. 在先；在…以前"
determine,"v. （使）下决心，（使）做出决定
vt. 决定，确定；判定，判决；限定
vi. 确定；决定；判决，终止；了结，终止，结束"
initial,"n. 词首大写字母
adj. 最初的；字首的
vt. 用姓名的首字母签名"
devastate,vt. 毁灭；毁坏
infinite,"n. 无限； 无穷大；无限的东西（如空间，时间）
adj. 无限的，无穷的；无数的；极大的"
monarch,n. 君主，帝王；最高统治者
subscription,n. 捐献；订阅；订金；签署
undergo,vt. 经历，经受；忍受
primary,"n. 原色；最主要者
adj. 主要的；初级的；基本的"
diagnosis,n. 诊断
motion,"n. 动作；移动；手势；请求；意向；议案
vi. 运动；打手势
vt. 运动；向…打手势"
clause,n. 条款； 子句
ambiguous,adj. 模糊不清的；引起歧义的
repository,n. 贮藏室，仓库；知识库；智囊团
format,"n. 格式；版式；开本
vt. 使格式化；规定…的格式
vi. 设计版式"
privilege,"n. 特权；优待
vt. 给与…特权；特免"
mournful,adj. 悲哀的；令人惋惜的
arrest,"n. 逮捕；监禁
vt. 逮捕；阻止；吸引"
discernible,adj. 可辨别的；可识别的
hypotheses,n. 假定；臆测（hypothesis的复数）
upfront,"adj. 预付的；在前面的；正直的，坦率的
adv. 在前面；提前支付（工资）"
exaggerate,"vt. 使扩大；使增大
vi. 夸大；夸张"
reputation,n. 名声，名誉；声望
instruct,vt. 指导；通知；命令；教授
clinic,n. 临床；诊所
resent,vt. 怨恨；愤恨；厌恶
intelligence,n. 智力；情报工作；情报机关；理解力；才智，智慧；天分
integer,n.  整数；整体；完整的事物
deliberation,n. 审议；考虑；从容；熟思
portray,vt. 描绘；扮演
tougher,"较坚强的
较艰苦的（tough的比较级）"
discontent,"n. 不满
adj. 不满的
vt. 使不满"
annual,"n. 年刊，年鉴；一年生植物
adj. 年度的；每年的"
frame,"n. 框架；结构； 画面
adj. 有木架的；有构架的
vt. 设计；建造；陷害；使…适合
vi. 有成功希望"
troupe,"n. 剧团；一班；一团
vi. 巡回演出"
exhaust,"n. 排气；废气；排气装置
vt. 排出；耗尽；使精疲力尽；彻底探讨
vi. 排气"
anticipate,vt. 预期，期望；占先，抢先；提前使用
frequent,"adj. 频繁的；时常发生的；惯常的
vt. 常到，常去；时常出入于"
collaborate,vi. 合作；勾结，通敌
intervention,n. 介入；调停；妨碍
appeal,"n. 呼吁，请求；吸引力，感染力；上诉；诉诸裁判
vt. 将…上诉，对…上诉
vi. 呼吁，恳求；上诉；诉诸，求助；有吸引力，迎合爱好；（体育比赛中）诉诸裁判"
bureau,n. 局，处；衣柜；办公桌
client,n.  客户；顾客；委托人
expedite,"vt. 加快；促进；发出
adj. 畅通的；迅速的；方便的"
retreat,"n. 撤退；休息寓所；撤退
vt. 退（棋）；使后退
vi. 撤退；退避；向后倾"
concrete,"n. 具体物；凝结物
adj. 混凝土的；实在的，具体的；有形的
vt. 使凝固；用混凝土修筑
vi. 凝结"
engagement,"n. 婚约；约会；交战；诺言
n. 参与度（指用户点赞、转发、评论、下载文档、观看视频、咨询等交互行为）"
diminish,"vt. 使减少；使变小
vi. 减少，缩小；变小"
prosecute,"vt. 检举；贯彻；从事；依法进行
vi. 起诉；告发；作检察官"
traceable,adj. 起源于；可追踪的；可描绘的
display,"n. 显示；炫耀
vt. 显示；表现；陈列
adj. 展览的；陈列用的
vi.  作炫耀行为"
frustrate,"vt. 挫败；阻挠；使感到灰心
adj. 挫败的；无益的
vi. 失败；受挫"
plausible,adj. 貌似可信的，花言巧语的；貌似真实的，貌似有理的
appreciate,"vi. 增值；涨价
vt. 欣赏；感激；领会；鉴别"
dispute,"n. 辩论；争吵
vt. 辩论；怀疑；阻止；抗拒
vi. 争论"
revenue,n. 税收，国家的收入；收益
disrupt,"vt. 破坏；使瓦解；使分裂；使中断；使陷于混乱
adj. 分裂的，中断的；分散的"
exploit,"n. 勋绩；功绩
vt. 开发，开拓；剥削；开采"
command,"n. 指挥，控制；命令；司令部
vt. 命令，指挥；控制；远望
vi. 命令，指挥；控制"
inventory,n. 存货，存货清单；详细目录；财产清册
commend,"vt. 推荐；称赞；把…委托
vi. 称赞；表扬"
extend,"vt. 延伸；扩大；推广；伸出；给予；使竭尽全力；对…估价
vi. 延伸；扩大；伸展；使疏开"
archive,"n. 档案馆；档案文件
vt. 把…存档"
external,"n. 外部；外观；外面
adj. 外部的；表面的； 外用的；外国的；外面的"
condemn,vt. 谴责；判刑，定罪；声讨
possession,n. 拥有；财产；领地；自制；着迷
terminology,n. 术语，术语学；用辞
commitment,n. 承诺，保证；委托；承担义务；献身
sovereign,"n. 君主；独立国；最高统治者
adj. 至高无上的；有主权的；拥有最高统治权的；不折不扣的；极好的"
irregular,"n. 不规则物；不合规格的产品
adj. 不规则的；无规律的；非正规的；不合法的"
extreme,"n. 极端；末端；最大程度；极端的事物
adj. 极端的；极度的；偏激的；尽头的"
domestic,"n. 国货；佣人
adj. 国内的；家庭的；驯养的；一心只管家务的"
companion,"n. 同伴；朋友；指南；手册
vt. 陪伴"
arrogant,adj. 自大的，傲慢的
dose,"n. 剂量；一剂，一服
vt. 给药；给…服药
vi. 服药"
compassionate,"adj. 慈悲的；富于同情心的
vt. 同情；怜悯"
speculate,"vi. 推测；投机；思索
vt. 推断"
articulate,"adj. 发音清晰的；口才好的；有关节的
vt. 清晰地发（音）；明确有力地表达；用关节连接；使相互连贯
vi. 发音；清楚地讲话；用关节连接起来
n. 有节体的动物"
comply,vi. 遵守；顺从，遵从；答应
portrait,n. 肖像；描写；半身雕塑像
conditional,"n. 条件句；条件语
adj. 有条件的；假定的"
democracy,n. 民主，民主主义；民主政治
lingual,"adj. 语言的；舌的，舌音的
n. 舌音，舌音字"
phenomenon,n. 现象；奇迹；杰出的人才
assert,vt. 维护，坚持；断言；主张；声称
component,"n. 成分；组件； 元件
adj. 组成的，构成的"
compromise,"n. 妥协，和解；折衷
vt. 妥协；危害
vi. 妥协；让步"
concentrate,"n. 浓缩，精选；浓缩液
vi. 集中；浓缩；全神贯注；聚集
vt. 集中；浓缩"
associate,"n. 同事，伙伴；关联的事物
adj. 副的；联合的
vt. 联想；使联合；使发生联系
vi. 交往；结交"
potential,"n. 潜能；可能性； 电势
adj. 潜在的；可能的；势的"
rough,"n. 艰苦；高低不平的地面；未经加工的材料；粗糙的部分
adj. 粗糙的；粗略的；粗野的；艰苦的；未经加工的
vt. 使粗糙；粗暴对待；草拟
adv. 粗糙地；粗略地；粗暴地
vi. 举止粗野"
assume,"vt. 僭取；篡夺；夺取；擅用；侵占
vi. 假定；设想；承担；采取"
concession,n. 让步；特许（权）；承认；退位
conclude,"vi. 推断；断定；决定
vt. 推断；决定，作结论；结束"
duplicate,"n. 副本；复制品
adj. 复制的；二重的
vt. 复制；使加倍
vi. 复制；重复"
atmosphere,n. 气氛；大气；空气
confirm,vt. 确认；确定；证实；批准；使巩固
conform,"adj. 一致的；顺从的
vi. 符合；遵照；适应环境
vt. 使遵守；使一致；使顺从"
dirt-cheap,"adj. 毫无价值的；贱如粪土的；非常便宜的
adv. 非常便宜地"
tribute,n. 礼物； 贡物；颂词；（尤指对死者的）致敬，悼念，吊唁礼物
entitle,vt. 称做…；定名为…；给…称号；使…有权利
preliminary,"n. 准备；预赛；初步措施
adj. 初步的；开始的；预备的"
preoccupy,vt. 迷住；使全神贯注
connotation,n. 内涵；含蓄；暗示，隐含意义；储蓄的东西（词、语等）
conscience,n. 道德心，良心
authentic,adj. 真正的，真实的；可信的
statute,n.  法规；法令；条例
autobiography,n. 自传；自传文学
promising,"v. 许诺，答应（promise的现在分词形式）
adj. 有希望的，有前途的"
consolidate,"vt. 巩固，使固定；联合
vi. 巩固，加强"
constant,"n.  常数；恒量
adj. 不变的；恒定的；经常的"
stiff,"adj. 呆板的；坚硬的；严厉的；拘谨的
adv. 僵硬地；彻底地
n. 死尸；令人讨厌者；流通票据；劳动者
vt. 诈骗；失信"
contact,"n. 接触，联系
vt. 使接触，联系
vi. 使接触，联系"
exquisitely,adv. 精致地；精巧地；敏锐地
mortgage,"vt. 抵押
n. 抵押
房屋抵押贷款"
predecessor,n. 前任，前辈
implausible,adj. 难以置信的，不像真实的
compound,"n.  化合物；混合物；复合词
adj. 复合的；混合的
v. 合成；混合；恶化，加重；和解，妥协"
confine,"n. 界限，边界;约束；限制
vt. 限制；禁闭"
catalyst,n.  催化剂；刺激因素
multinational,"adj. 跨国公司的；多国的
n. 跨国公司"
contemplate,"vt. 沉思；注视；思忖；预期
vi. 冥思苦想；深思熟虑"
consensus,n. 一致；舆论；合意
eclipse,"n. 日蚀，月蚀；黯然失色
vt. 使黯然失色；形成蚀"
geo-centric,
rigorous,adj. 严格的，严厉的；严密的；严酷的
overrule,vt. 否决；统治；对…施加影响
counselor,n. 顾问；法律顾问；参事（等于counsellor）
abide,"vi. 持续；忍受；停留
vt. 忍受，容忍；停留；遵守"
eager,adj. 渴望的；热切的；热心的
machine,"n. 机械，机器；机构；机械般工作的人
vt. 用机器制造"
vaccine,"n. 疫苗；牛痘苗
adj. 疫苗的；牛痘的"
facile,"adj. （言语或理论）轻率的，未经深思熟虑的
adj. 温和的；灵巧的；易做到的"
habit,"n. 习惯，习性；嗜好
vt. 使穿衣"
ideal,"n. 理想；典范
adj. 理想的；完美的；想象的；不切实际的"
tactic,"n. 策略，战略
adj. 按顺序的，依次排列的"
tactics,n. 策略；战术；用兵学
contest,"n. 竞赛；争夺；争论
vt. 争辩；质疑
vi. 竞争；争辩"
identify,vt. 确定；鉴定；识别，辨认出；使参与；把…看成一样 vi. 确定；认同；一致
propose,"vi. 建议；求婚；打算
vt. 建议；打算，计划；求婚"
vague,adj. 模糊的；含糊的；不明确的；暧昧的
account,"n. 账户；解释；账目，账单；理由；描述
vt. 认为；把…视为
vi. 解释；导致；报账"
garment,"n. 衣服，服装；外表，外观
vt. 给…穿衣服"
protect,vt. 保护，防卫；警戒
straight,"n. 直；直线；直男，直女，异性恋者
adj. 直的；连续的；笔直的；正直的；整齐的；异性恋的
adv. 直接地；不断地；立即；坦率地"
allegiance,n. 效忠，忠诚；忠贞
immigrant,"n. 移民，侨民
adj. 移民的；迁入的"
automate,"vt. 使自动化，使自动操作
vi. 自动化，自动操作"
entrepreneur,n. 企业家；承包人；主办者
navigate,"vt. 驾驶，操纵；使通过；航行于
vi. 航行，航空"
regime,n. 政权，政体；社会制度；管理体制
transition,n. 过渡；转变； 转换；变调
obsess,vt. 迷住，缠住；使…着迷；使…困扰
protein,"n. 蛋白质；朊
adj. 蛋白质的"
straightforward,"adj. 简单的；坦率的；明确的；径直的
adv. 直截了当地；坦率地"
unattractive,adj. 不吸引人注意的；没有魅力的；不美丽的
valid,adj. 有效的；有根据的；合法的；正当的
lame,"adj. 跛足的；僵痛的；不完全的；无说服力的；差劲的，蹩脚的
vi. 变跛
vt. 使跛；使成残废"
obstacle,n. 障碍，干扰；妨害物
strain,"n. 张力；拉紧；负担；扭伤；血缘
vt. 拉紧；滥用；滤去；竭力
vi. 拉紧；尽力
n. （植物、动物的）品种；种类"
contrary,"n. 相反；反面
adj. 相反的；对立的
adv. 相反地"
obtain,"vi. 获得；流行
vt. 获得"
unbiased,adj. 公正的；无偏见的
vanish,"n. 弱化音
vi. 消失；突然不见；成为零
vt. 使不见，使消失"
contrast,"n. 对比；差别；对照物
vt. 使对比；使与…对照
vi. 对比；形成对照"
illiquid,adj. 无流动资金的；非现金的
obvious,adj. 明显的；显著的；平淡无奇的
provocation,n. 挑衅；激怒；挑拨
vary,"vi. 变化；变异；违反
vt. 改变；使多样化；变奏"
absorb,vt. 吸收；吸引；承受；理解；使…全神贯注
efficient,adj. 有效率的；有能力的；生效的
elevate,vt. 提升；举起；振奋情绪等；提升…的职位
prudent,adj. 谨慎的；精明的；节俭的
bureaucratic,adj. 官僚的；官僚政治的
innovator,n. 改革者，创新者
intrusion,n. 侵入；闯入
gene,n.  基因，遗传因子
illusion,n. 幻觉，错觉；错误的观念或信仰
margin,"n. 边缘；利润，余裕；页边的空白
vt. 加边于；加旁注于"
judge,"vt. 判断；审判
n. 法官；裁判员
vi. 审判；判决"
occur,vi. 发生；出现；存在
random,"n. 随意
adj.  随机的；任意的；胡乱的
adv. 胡乱地"
vast,"n. 浩瀚；广阔无垠的空间
adj. 广阔的；巨大的；大量的；巨额的"
handle,"n.  把手；柄；手感；口实
vt. 处理；操作；运用；买卖；触摸
vi. 搬运；易于操纵"
panel,"n. 仪表板；嵌板；座谈小组，全体陪审员
vt. 嵌镶板"
psychology,n. 心理学；心理状态
range,"n. 范围；幅度；排；山脉
vt. 漫游；放牧；使并列；归类于；来回走动
vi. （在...内）变动；平行，列为一行；延伸；漫游；射程达到"
bargain,"n. 交易；便宜货；契约
v. 讨价还价；议价；(谈价钱后)卖"
convince,vt. 说服；使确信，使信服
general,"n. 一般；将军，上将；常规
adj. 一般的，普通的；综合的；大体的"
neglect,"vt. 疏忽，忽视；忽略
n. 疏忽，忽视；怠慢"
odd,"adj. 奇数的；古怪的；剩余的；临时的；零散的
n. 奇数；怪人；奇特的事物"
panic,"n. 恐慌，惊慌；大恐慌
adj. 恐慌的；没有理由的
vt. 使恐慌
vi. 十分惊慌"
stress,"n. 压力；强调；紧张；重要性；重读
vt. 强调；使紧张；加压力于；用重音读"
verify,vt. 核实；查证
capacity,n. 能力；容量；资格，地位；生产力
cooperate,vi. 合作，配合；协力
satisfy,"vi. 令人满意；令人满足
vt. 满足；说服，使相信；使满意，使高兴"
dazzle,"n. 耀眼的光；灿烂
vt. 使……目眩；使……眼花
vi. 眼花缭乱；炫耀"
version,n. 版本；译文；倒转术
designate,"vt. 指定；指派；标出；把…定名为
adj. 指定的；选定的"
paradox,n. 悖论，反论；似非而是的论点；自相矛盾的人或事
technology,n. 技术；工艺；术语
capture,"n. 捕获；战利品，俘虏
vt. 俘获；夺得；捕捉，拍摄,录制"
elect,"n. 被选的人；特殊阶层；上帝的选民
adj. 选出的；当选的；卓越的
vi. 作出选择；进行选举
vt. 选举；选择；推选"
stripe,"n. 条纹，斑纹；种类
vt. 加条纹于…"
vessel,n. 船，舰； 脉管，血管；容器，器皿
accommodate,"vi. 适应；调解
vt. 容纳；使适应；供应；调解"
immense,adj. 巨大的，广大的；无边无际的；非常好的
nerve,"n. 神经；勇气； 叶脉
vt. 鼓起勇气"
purpose,"n. 目的；用途；意志
vt. 决心；企图；打算"
temper,"n. 脾气；（钢等）回火；性情；倾向
vt. 使回火；锻炼；调和；使缓和
vi. 回火；调和"
correspond,vi. 符合，一致；相应；通信
pursuit,n. 追赶，追求；职业，工作
temperament,n. 气质，性情，性格；急躁
accomplish,vt. 完成；实现；达到
immune,"n. 免疫者；免除者
adj. 免疫的；免于……的，免除的"
subject,"n. 主题；科目； 主语；国民
adj. 服从的；易患…的；受制于…的
vt. 使…隶属；使屈从于…"
academic,"n. 大学生，大学教师；学者
adj. 学术的；理论的；学院的"
distract,vt. 转移；分心
appropriately,adv. 适当地；合适地；相称地
invade,"vt. 侵略；侵袭；侵扰；涌入
vi. 侵略；侵入；侵袭；侵犯"
seldom,adv. 很少，不常
counterpart,n. 副本；配对物；极相似的人或物
deceptive,adj. 欺诈的；迷惑的；虚伪的
impartial,adj. 公平的，公正的；不偏不倚的
subscribe,"vt. 签署；赞成；捐助
vi. 订阅；捐款；认购；赞成；签署"
victim,n. 受害人；牺牲品；牺牲者
accurate,adj. 精确的
behalf,n. 代表；利益
participate,"vi. 参与，参加；分享
vt. 分享；分担
"
substantial,"n. 本质；重要材料
adj. 大量的；实质的；内容充实的"
accuse,"vt. 控告，指控；谴责；归咎于
vi. 指责；控告"
scold,"n. 责骂；爱责骂的人
vt. 骂；责骂
vi. 责骂；叱责"
glance,"n. 一瞥；一滑；闪光
vt. 扫视；瞥见；擦过
vi. 扫视，匆匆一看；反光；瞥闪，瞥见"
oppose,"vt. 反对；对抗，抗争
vi. 反对"
