enable,vt. 使能够，使成为可能；授予权利或方法
address,"n. 地址；演讲；致辞；说话的技巧；称呼
vt. 演说；从事；忙于；写姓名地址；向…致辞；与…说话；提出；处理"
empty,"n. 空车；空的东西
adj. 空的；无意义的；无知的；徒劳的
vt. 使失去；使…成为空的
vi. 成为空的；流空"
predict,"vi. 作出预言；作预料，作预报
vt. 预报，预言；预知"
forecast,"n. 预测，预报；预想
vt. 预报，预测；预示
vi. 进行预报，作预测"
close,"n. 结束
adj. 紧密的；亲密的；亲近的
vt. 关；结束；使靠近
vi. 关；结束；关闭
adv. 紧密地"
closed,"v. 关；结束；接近（close的过去分词）
adj. 关着的；不公开的"
close,"n. 结束
adj. 紧密的；亲密的；亲近的
vt. 关；结束；使靠近
vi. 关；结束；关闭
adv. 紧密地"
closely,adv. 紧密地；接近地；严密地；亲近地
quality,"n. 质量， 品质；特性；才能
adj. 优质的；高品质的；<英俚>棒极了"
quantity,n. 量，数量；大量；总量
full,"n. 全部；完整
adj. 完全的，完整的；满的，充满的；丰富的；完美的；丰满的；详尽的
vt. 把衣服缝得宽大
adv. 十分，非常；完全地；整整"
fully,adv. 充分地；完全地；彻底地
careful,adj. 仔细的，小心的
care,"n. 关怀；照料；谨慎；忧虑
vt. 在意；希望或喜欢
vi. 照顾；关心；喜爱；顾虑"
careless,adj. 粗心的；无忧无虑的；淡漠的
carefully,adv. 小心地
environment,n. 环境，外界
environmental,adj. 环境的，周围的；有关环境的
reply,"n. 回答； 答辩
vt. 回答；答复
vi. 回答； 答辩；回击"
else,"adj. 别的；其他的
adv. 其他；否则；另外"
opinion,n. 意见；主张
attitude,n. 态度；看法；意见；姿势
activity,n. 活动；行动；活跃
festival,"n. 节日；庆祝，纪念活动；欢乐
adj. 节日的，喜庆的；快乐的"
cycle,"n. 循环；周期；自行车；整套；一段时间
vt. 使循环；使轮转
vi. 循环；骑自行车；轮转"
regret,"n. 遗憾；抱歉；悲叹
vi. 感到后悔；感到抱歉
vt. 后悔；惋惜；哀悼"
public,"n. 公众；社会；公共场所
adj. 公众的；政府的；公用的；公立的"
able,adj. 能； 有能力的；能干的
ability,n. 能力，能耐；才能
hate,"n. 憎恨；反感
vt. 憎恨；厌恶；遗憾
vi. 仇恨"
while,"conj. 虽然；然而；当……的时候
n. 一会儿；一段时间
vt. 消磨；轻松地度过"
risk,"n. 风险；危险；冒险
vt. 冒…的危险"
waste,"n. 浪费；废物；荒地；损耗；地面风化物
adj. 废弃的；多余的；荒芜的
vt. 浪费；消耗；使荒芜
vi. 浪费；变消瘦；挥霍钱财"
present,"n. 现在；礼物；瞄准
adj. 现在的；出席的
vt. 提出；介绍；呈现；赠送
vi. 举枪瞄准"
after,"conj. 在……之后
prep. 在……之后
adj. 以后的
adv. 后来，以后"
fault,"n. 故障； 断层；错误；缺点；毛病；（网球等）发球失误
vt. （通常用于疑问句或否定句）挑剔
vi. 弄错；产生断层"
use,"n. 使用；用途；发挥
vt. 利用；耗费
vi. 使用，运用"
used,"v. 用（use的过去式）；（used to）过去常做
adj. 习惯的；二手的，使用过的"
occur,vi. 发生；出现；存在
occurrence,n. 发生；出现；事件；发现
bother,"n. 麻烦；烦恼
vt. 烦扰，打扰；使……不安；使……恼怒
vi. 操心，麻烦；烦恼"
realise,"vt. 实现, 认识到, 体会到, 了解, 认清, 使显得逼真, 变卖财产为现钱"
satisfy,"vi. 令人满意；令人满足
vt. 满足；说服，使相信；使满意，使高兴"
satisfaction,n. 满意，满足；赔偿；乐事；赎罪
satisfied,"v. 使满意（satisfy的过去式）
adj. 感到满意的"
satisfying,adj. 令人满意的；令人满足的
preserve,"n. 保护区；禁猎地；加工成的食品
vt. 保存；保护；维持；腌；禁猎"
smart,adj. 聪明的；巧妙的；敏捷的；厉害的；潇洒的；剧烈的；时髦的
clever,"adj. 聪明的；机灵的；熟练的
"
experiment,"n. 实验，试验；尝试
vi. 尝试；进行实验"
beauty,n. 美；美丽；美人；美好的东西
beautiful,"adj. 美丽的
出色地
出色的
迷人的
迷人地"
stop,"n. 停止；车站；障碍；逗留
vi. 停止；中止；逗留；被塞住
vt. 停止；堵塞；断绝"
pleasure,"n. 快乐；希望；娱乐；令人高兴的事
vt. 使高兴；使满意
vi. 高兴；寻欢作乐"
freeze,"n. 冻结；凝固
vt. 使…冻住；使…结冰
vi. 冻结；冷冻；僵硬"
freezing,adj. 冰冻的；严寒的；冷冻用的
anxiety,n. 焦虑；渴望；挂念；令人焦虑的事
concern,"n. 关系；关心；关心的事；忧虑
vt. 涉及，关系到；使担心"
push,"n. 推，决心；大规模攻势；矢志的追求
vi. 推进；增加；努力争取
vt. 推动，增加；对…施加压力，逼迫；按；说服"
pull,"n. 拉，拉绳；拉力，牵引力；拖
vt. 拉；拔；拖
vi. 拉，拖；拔"
hardly,adv. 几乎不，简直不；刚刚
polite,adj. 有礼貌的，客气的；文雅的；上流的；优雅的
impolite,adj. 无礼的；粗鲁的
politely,adv. 有礼貌地；客气地；委婉地；殷勤地
scientific,adj. 科学的，系统的
science,n. 科学；技术；学科；理科
independent,"n. 独立自主者；无党派者
adj. 独立的；单独的；无党派的；不受约束的"
board,"n. 董事会；木板；甲板；膳食
vt. 上（飞机、车、船等）；用板盖上；给提供膳宿
vi. 寄宿"
even,"adj.  偶数的；平坦的；相等的
adv. 甚至；即使；还；实际上
vt. 使平坦；使相等
vi. 变平；变得可比较；成为相等"
culture,"n. 文化，文明；修养；栽培
vt.  培养（等于cultivate）"
cultural,adj. 文化的；教养的
receive,"vt. 收到；接待；接纳
vi. 接收"
similar,"n. 类似物
adj. 相似的"
evidence,"n. 证据，证明；迹象；明显
vt. 证明"
evident,adj. 明显的；明白的
fight,"n. 打架；战斗，斗志
vi. 打架；与…打仗，与…斗争；反对…提案"
shine,"vt. 照射，擦亮；把…的光投向；（口）通过擦拭使…变得有光泽或光
vi. 发出光；反射光，闪耀；出类拔萃，表现突出；露出；照耀；显露；出众
n. 光亮，光泽；好天气；擦亮；晴天；擦皮鞋；鬼把戏或诡计"
certain,"adj. 某一；必然的；确信；无疑的；有把握的
pron. 某些；某几个"
hang,"n. 悬挂；暂停，中止
vt. 悬挂，垂下；装饰；绞死；使悬而未决
vi. 悬着，垂下；被绞死；悬而不决"
certainly,adv. 当然；行（用于回答）；必定
definitely,adv. 清楚地，当然；明确地，肯定地
hire,"n. 雇用，租用；租金，工钱
vt. 雇用；出租
vi. 雇用，租用；受雇"
try,"n. 尝试；努力；试验
vt. 试图，努力；试验；审判；考验
vi. 尝试；努力；试验"
position,"n. 位置，方位；职位，工作；姿态；站位
vt. 安置；把……放在适当位置"
post,"n. 岗位；邮件；标杆
vt. 张贴；公布；邮递；布置
vi. 快速行进"
whether,"conj. 是否；不论
pron. 两个中的哪一个"
nearly,adv. 差不多，几乎；密切地
remember,"vi. 记得，记起
vt. 记得；牢记；纪念；代…问好"
let,"vt. 允许，让；出租；假设；妨碍
vi. 出租；被承包
n. 障碍；出租屋"
absorb,vt. 吸收；吸引；承受；理解；使…全神贯注
broad,"n. 宽阔部分
adj. 宽的，辽阔的；显著的；大概的
adv. 宽阔地"
capable,adj. 能干的，能胜任的；有才华的
pressure,"n. 压力；压迫， 压强
vt. 迫使；密封；使……增压"
commit,vt. 犯罪，做错事；把...交托给；指派…作战；使…承担义务
excuse,"n. 借口；理由
vt. 原谅；为…申辩；给…免去
vi. 作为借口；请求宽恕；表示宽恕"
business,n. 商业； 生意； 交易；事情
carry,"n. 运载； 进位；射程
vi. 能达到；被携带；被搬运
vt. 拿，扛；携带；支持；搬运"
career,"n. 生涯；职业；事业；速度，全速
adj. 作为毕生职业的
vi. 全速前进，猛冲"
rest,"n. 休息，静止；休息时间；剩余部分；支架
vt. 使休息，使轻松；把…寄托于
vi. 休息；静止；依赖；安置"
bored,"v. 使厌烦（bore的过去式）；烦扰
adj. 无聊的；无趣的；烦人的"
boring,"n. 钻孔
adj. 无聊的；令人厌烦的
v. 钻孔；使厌烦；挖空（bore的ing形式）"
desire,"n. 欲望；要求，心愿；性欲
vt. 想要；要求；希望得到…
vi. 渴望"
welcome,"n. 欢迎
vt. 欢迎
adj. 受欢迎的
int. 欢迎"
chief,"n. 首领；酋长；主要部分
adj. 首席的；主要的；主任的
adv. 主要地；首要地"
another,"prep. 另一个；另一个人
adj. 又一，另一；另外的；不同的
pron. 另一个；又一个"
frequently,adv. 频繁地，经常地；时常，屡次
judge,"vt. 判断；审判
n. 法官；裁判员
vi. 审判；判决"
ordinary,"adj. 普通的；平凡的；平常的
n. 普通；平常的人（或事）"
sure,"adj. 确信的；可靠的；必定的
adv. 当然；的确"
give,"n. 弹性；弯曲；伸展性
vi. 捐赠；面向；有弹性；气候转暖
vt. 给；产生；让步；举办；授予"
awake,"adj. 醒着的
vt. 唤醒；使觉醒；激起，唤起
vi. 觉醒，意识到；醒来；被唤起"
feed,"n. 饲料；饲养；（动物或婴儿的）一餐
vt. 喂养；供给；放牧；抚养（家庭等）；靠…为生
vi. 吃东西；流入"
except,"conj. 除了；要不是
prep. 除…之外
vt. 不计；把…除外
vi. 反对"
exception,n. 例外；异议
example,"n. 例子；榜样
vt. 作为…的例子；为…做出榜样
vi. 举例"
sample,"n. 样品；样本；例子
adj. 试样的，样品的；作为例子的
vt. 取样；尝试；抽样检查"
switch,"n. 开关；转换；鞭子
vi. 转换；抽打；换防
vt. 转换；用鞭子等抽打"
nothing,"neg. 没什么；毫不
n. 无；零；不关紧要之事
adv. 毫不；决不
pron. 无事；无物
int. 什么也没有"
concentrate,"n. 浓缩，精选；浓缩液
vi. 集中；浓缩；全神贯注；聚集
vt. 集中；浓缩"
devote,vt. 致力于；奉献
devotion,n. 献身，奉献；忠诚；热爱
explain,v. 说明；解释
admire,"vt. 钦佩；赞美
vi. 钦佩；称赞"
admiration,n. 钦佩；赞赏；羡慕；赞美
admirable,adj. 令人钦佩的；极好的；值得赞扬的
admiring,adj. 赞赏的，羡慕的
terrible,"adj. 可怕的；很糟的；令人讨厌的
adv. 很，非常"
terribly,adv. 非常；可怕地；极度地
contact,"n. 接触，联系
vt. 使接触，联系
vi. 使接触，联系"
employ,"n. 使用；雇用
vt. 使用，采用；雇用；使忙于，使从事于"
employer,n. 雇主，老板
employee,n. 雇员；从业员工
fond,adj. 喜欢的；温柔的；宠爱的
diet,"n. 饮食；食物；规定饮食
vt.  照规定饮食
vi. 节食"
hesitate,"vt. 踌躇，犹豫；有疑虑，不愿意
vi. 踌躇，犹豫；不愿"
hesitation,n. 犹豫
owe,"vt. 欠；感激；应给予；应该把……归功于
vi. 欠钱"
silence,"n. 沉默；寂静；缄默；不谈；无声状态
vt. 使沉默；使安静；压制；消除噪音
int. 安静！；别作声！"
silent,"n. 无声电影
adj. 沉默的；寂静的；无记载的"
creative,adj. 创造性的
intention,n. 意图；目的；意向；愈合
purpose,"n. 目的；用途；意志
vt. 决心；企图；打算"
intend,"vi. 有打算
vt. 打算；想要；意指"
notice,"n. 通知，布告；注意；公告
vt. 通知；注意到；留心
vi. 引起注意"
check,"n. <美>支票；制止，抑制；检验，核对
vi. 核实，查核；中止；打勾；将一军
vt. 检查，核对；制止，抑制；在…上打勾"
courage,n. 勇气；胆量
calm,"n. 风平浪静
adj. 静的，平静的；沉着的
vt. 使平静；使镇定
vi. 平静下来；镇定下来"
much,"adv. 非常，很
adj. 大量的
n. 许多，大量
pron. 许多，大量"
more,"adv. 更多；此外；更大程度地
adj. 更多的；附加的
pron. 更多的数量
n. 更多"
most,"adv. 最；非常，极其；最多；几乎
adj. 大部分的，多数的；最多的
n. 大部分，大多数"
block,"n. 块；街区；大厦；障碍物
adj. 成批的，大块的；交通堵塞的
vt. 阻止；阻塞；限制；封盖"
answer,"n. 回答；答案；答辩
vt. 回答；符合
vi. 回答；符合"
understand,"vi. 理解；懂得；熟悉
vt. 理解；懂；获悉；推断；省略"
instead,adv. 代替；反而；相反
send,"n. 上升运动
vi. 派人；寄信
vt. 发送，寄；派遣；使进入；发射"
glad,"adj. 高兴的；乐意的；令人高兴的；灿烂美丽的
vt. 使高兴"
demand,"n.  需求；要求；需要
vt. 要求；需要；查询
vi. 需要；请求；查问"
wonder,"n. 惊奇；奇迹；惊愕
adj. 奇妙的；非凡的
vi. 怀疑；想知道；惊讶
vt. 怀疑；惊奇；对…感到惊讶"
forgive,"vt. 原谅；免除（债务、义务等）
vi. 表示原谅"
defeat,"n. 失败的事实；击败的行为
vt. 击败，战胜；挫败；使…失败"
danger,n. 危险；危险物，威胁
affect,"n. 情感；引起感情的因素
vt. 影响；感染；感动；假装
vi. 倾向；喜欢"
recover,"n. 还原至预备姿势
vt. 恢复；弥补；重新获得
vi. 恢复；胜诉；重新得球"
step,"n. 步，脚步；步骤；步伐；梯级
vt. 走，迈步
vi. 踏，踩；走"
definitely,adv. 清楚地，当然；明确地，肯定地
certainly,adv. 当然；行（用于回答）；必定
definite,adj. 一定的；确切的
most,"adv. 最；非常，极其；最多；几乎
adj. 大部分的，多数的；最多的
n. 大部分，大多数"
finish,"n. 结束；完美；回味（葡萄酒）
vt. 完成；结束；用完
vi. 结束，终止；终结"
look,"vt. 看；期待；注意；面向；看上去像
vi. 看；看起来；注意；面向
n. 看；样子；面容"
reduce,"vi. 减少；缩小；归纳为
vt. 减少；降低；使处于；把…分解"
despite,"prep. 尽管，不管
n. 轻视；憎恨；侮辱"
in spite of,"na. spite of 不管；无视
 尽管；不顾；虽然"
until,"prep. 在…以前；到…为止
conj. 在…以前；直到…时"
work,"n. 工作； 功；产品；操作；职业；行为；事业；工厂；著作；文学、音乐或艺术作品
vt. 使工作；操作；经营；使缓慢前进
vi. 工作；运作；起作用"
along,"prep. 沿着；顺着
adv. 一起；向前；来到"
mention,"vt. 提到，谈到；提及，论及；说起
n. 提及，说起"
as,"conj. 因为；随着；虽然；依照；当…时
prep. 如同；当作；以…的身份
adv. 同样地；和…一样的"
achieve,"vt. 取得；获得；实现；成功
vi. 达到预期的目的，实现预期的结果，如愿以偿"
lay,"vt. 躺下；产卵；搁放；放置；铺放；涂，敷
adj. 世俗的；外行的；没有经验的
n. 位置；短诗；花纹方向；叙事诗；性伙伴
vi. 下蛋；打赌
v. 躺；位于（lie的过去式）"
place,"n. 地方；住所；座位
vt. 放置；任命；寄予
vi. 名列前茅；取得名次"
problem,"n. 难题；引起麻烦的人
adj. 成问题的；难处理的"
view,"n. 观察；视野；意见；风景
vt. 观察；考虑；查看"
opinion,n. 意见；主张
due to,"un. 由于；预定；因为；亏
 应归于；由於；由…引起"
because,conj. 因为
detail,"n. 细节，详情
vt. 详述；选派
vi. 画详图"
match,"vt. 使比赛；使相配；敌得过，比得上；相配；与…竞争
vi. 比赛；匹配；相配，相称；相比
n. 比赛，竞赛；匹配；对手；火柴"
learn,"vt. 学习；得知；认识到
vi. 学习；获悉"
honor,"n. 荣誉；信用；头衔
vt. 尊敬（等于honour）；给…以荣誉"
honour,"n. 荣誉；尊敬；勋章
vt. 尊敬； 承兑；承兑远期票据"
freedom,n. 自由，自主；直率
trust,"n. 信任，信赖；责任；托拉斯
vt. 信任，信赖；盼望；赊卖给
vi. 信任，信赖；依靠"
distance,"n. 距离；远方；疏远；间隔
vt. 疏远；把…远远甩在后面"
wear,"n. 衣物；磨损；耐久性
v. 穿着；用旧；耗损；面露"
interest,"n. 兴趣，爱好；利息；趣味；同行
vt. 使……感兴趣；引起……的关心；使……参与"
interesting,adj. 有趣的；引起兴趣的，令人关注的
interested,"v. 使…感兴趣（interest的过去分词）
adj. 感兴趣的；有权益的；有成见的"
power,"n. 力量，能力；电力，功率；政权，势力； 幂
adj. 借影响有权势人物以操纵权力的
vt. 激励；供以动力；使…有力量
vi. 快速前进"
powerful,"adj. 强大的；强有力的
adv. 很；非常"
advise,"vt. 建议；劝告，忠告；通知；警告
vi. 建议；与…商量"
afraid,adj. 害怕的；恐怕；担心的
engage,"vi. 从事；答应，保证；交战；啮合
vt. 吸引，占用；使参加；雇佣；使订婚；预定"
once,"adv. 一次；曾经
conj. 一旦
n. 一次，一回"
profit,"n. 利润；利益
vt. 有益于
vi. 获利；有益"
loss,n. 减少；亏损；失败；遗失
function,"n. 功能； 函数；职责；盛大的集会
vi. 运行；活动；行使职责"
ensure,vt. 保证，确保；使安全
ask,"vt. 问，询问；要求；需要；邀请；讨价
vi. 问，询问；要求"
handle,"n.  把手；柄；手感；口实
vt. 处理；操作；运用；买卖；触摸
vi. 搬运；易于操纵"
way,"n. 方法；道路；方向；行业；习惯
adj. 途中的
adv. 大大地；远远地"
choice,"n. 选择；选择权；精选品
adj. 精选的；仔细推敲的"
combine,"n. 联合收割机；联合企业
vt. 使化合；使联合，使结合
vi. 联合，结合；化合"
establish,"vi. 植物定植
vt. 建立；创办；安置"
establishment,n. 确立，制定；公司；设施
count,"n. 计数；计算；伯爵
vt. 计算；认为
vi. 计数；有价值"
heart,"n. 心脏；感情；勇气；心形；要点
vt. 鼓励；铭记
vi. 结心"
weak,adj.  疲软的；虚弱的；无力的；不牢固的
voice,"n. 声音；嗓音；发言权；愿望
vt. 表达；吐露"
extent,n. 程度；范围；长度
accept,"vi. 承认；同意；承兑
vt. 接受；承认；承担；承兑；容纳"
exhibition,n. 展览，显示；展览会；展览品
exhibit,"n. 展览品；证据；展示会
vt. 展览；显示；提出（证据等）
vi. 展出；开展览会"
watch,"n. 手表；监视；守护；值班人
vt. 观察；注视；看守；警戒
vi. 观看，注视；守侯，看守"
probably,adv. 大概；或许；很可能
late,"adj. 晚的；迟的；已故的；最近的
adv. 晚；迟；最近；在晚期"
strict,adj. 严格的；绝对的；精确的；详细的
sight,"n. 视力；景象；眼界；见解
adj. 见票即付的；即席的
vt. 看见；瞄准
vi. 瞄准；观看"
consider,"vi. 考虑；认为；细想
vt. 考虑；认为；考虑到；细想"
about,"prep. 关于；大约
n. 大致；粗枝大叶；不拘小节的人
adj. 在附近的；四处走动的；在起作用的
adv. 大约；周围；到处"
attend,"vi. 出席；致力于；照料；照顾
vt. 出席；上（大学等）；照料；招待；陪伴"
entry,n. 进入；入口；条目；登记；报关手续；对土地的侵占
frank,"n. 免费邮寄特权
adj. 坦白的，直率的；老实的
vt. 免费邮寄"
regard,"n. 注意；尊重；问候；凝视
vi. 注意，注重；注视
vt. 注重，考虑；看待；尊敬；把…看作；与…有关"
truth,n. 真理；事实；诚实；实质
grow,"vi. 发展；生长；渐渐变得…
vt. 使生长；种植；扩展"
pride,"n. 自豪；骄傲；自尊心
vt. 使得意，以…自豪
vi. 自豪"
effort,n. 努力；成就
variety,n. 多样；种类；杂耍；变化，多样化
tend,"vt. 照料，照管
vi. 趋向，倾向；照料，照顾"
fund,"n. 基金；资金；存款
vt. 投资；资助"
fill,"n. 满足；填满的量；装填物
vt. 装满，使充满；满足；堵塞；任职
vi. 被充满，膨胀"
across,"prep. 穿过；横穿
adv. 横过；在对面"
favor,"n. 喜爱；欢心；好感
vt. 赞成；喜欢；像；赐予；证实"
favour,"n. 偏爱；赞同；善行
vt. 赞成；喜爱；有助于"
ill,"n. 疾病；不幸
adj. 生病的；坏的；邪恶的；不吉利的
adv. 不利地；恶劣地；几乎不"
entrance,"n. 入口；进入
vt. 使出神，使入迷"
introduce,vt. 介绍；引进；提出；采用
introduction,n. 介绍；引进；采用；入门；传入
have,"aux. 已经
vt. 有；让；拿；从事；允许"
again,"adv. 又，此外；再一次；再说；增加
n. （英、保）阿盖恩"
further,"adj. 更远的；深一层的
vt. 促进，助长；增进
adv. 进一步地；而且；更远地"
destroy,vt. 破坏；消灭；毁坏
continue,"vt. 继续说…；使…继续；使…延长
vi. 继续，延续；仍旧，连续"
chance,"n. 机会，际遇；运气，侥幸；可能性
vt. 偶然发生；冒……的险
vi. 碰巧；偶然被发现"
can,"aux. 能； 能够； 可以； 可能
n. 罐头； （用金属或塑料制作的）容器； （马口铁或其他金属制作的）食品罐头
vt. 将…装入密封罐中保存"
access,"n. 进入；使用权；通路
vt. 使用；存取；接近"
describe,vt. 描述，形容；描绘
description,n. 描述，描写；类型；说明书
gain,"n. 增加；利润；收获
vi. 增加；获利
vt. 获得；增加；赚到"
seem,vi. 似乎；像是；装作
determine,"v. （使）下决心，（使）做出决定
vt. 决定，确定；判定，判决；限定
vi. 确定；决定；判决，终止；了结，终止，结束"
recommend,"vt. 推荐，介绍；劝告；使受欢迎；托付
vi. 推荐；建议"
health,n. 健康；卫生；保健；兴旺
healthy,adj. 健康的，健全的；有益于健康的
equal,"n. 对手；匹敌；同辈；相等的事物
adj. 平等的；相等的；胜任的
vt. 等于；比得上"
equality,n. 平等；相等； 等式
equally,adv. 同样地；相等地，平等地；公平地
below,"prep. 在…下面
adv. 在下面，在较低处；在本页下面"
ignore,vt. 驳回诉讼；忽视；不理睬
score,"n. 分数；二十；配乐；刻痕
vt. 获得；评价；划线，刻划；把…记下
vi. 得分；记分；刻痕"
score,"n. 分数；二十；配乐；刻痕
vt. 获得；评价；划线，刻划；把…记下
vi. 得分；记分；刻痕"
anger,"n. 怒，愤怒；忿怒
vt. 使发怒，激怒；恼火
vi. 发怒；恼火"
mean,"adj. 平均的；卑鄙的；低劣的；吝啬的
vt. 意味；想要；意欲
n. 平均值
vi. 用意"
angry,adj. 生气的；愤怒的；狂暴的；（伤口等）发炎的
join,"vt. 参加；结合；连接
vi. 加入；参加；结合
n. 结合；连接；接合点"
error,n. 误差；错误；过失
terror,n. 恐怖；恐怖行动；恐怖时期；可怕的人
accident,n. 事故；意外； 意外事件；机遇
adjust,"vt. 调整，使…适合；校准
vi. 调整，校准；适应"
interrupt,"n. 中断
vt. 中断；打断；插嘴；妨碍
vi. 打断；打扰"
brief,"n. 摘要，简报；概要，诉书
adj. 简短的，简洁的；短暂的，草率的
vt. 简报，摘要；作…的提要"
moment,n. 片刻，瞬间，时刻；重要，契机
degree,n. 程度，等级；度；学位；阶层
base,"n. 基础；底部；垒
adj. 卑鄙的；低劣的
vt. 以…作基础"
basic,"n. 基础；要素
adj. 基本的；基础的"
basis,n. 基础；底部；主要成分；基本原则或原理
bases,n. 基础（base的复数形式）；根据；主要成分
begin,"vi. 开始；首先
vt. 开始"
image,"n. 影像；想象；肖像；偶像
vt. 想象；反映；象征；作…的像"
shout,"n. 呼喊；呼叫
vi. 呼喊；喊叫；大声说
vt. 呼喊；大声说"
cheer,"n. 欢呼；愉快；心情；令人愉快的事
vt. 欢呼；使高兴；为…加油
vi. 欢呼；感到高兴"
cheerful,adj. 快乐的；愉快的；高兴的
lose,"vt. 浪费；使沉溺于；使迷路；遗失；错过
vi. 失败；受损失"
account,"n. 账户；解释；账目，账单；理由；描述
vt. 认为；把…视为
vi. 解释；导致；报账"
produce,"n. 农产品，产品
vt. 生产；引起；创作；生育，繁殖
vi. 生产，创作"
hit,"n. 打；打击；（演出等）成功；讽刺
vt. 打击；袭击；碰撞；偶然发现；伤…的感情
vi. 打；打击；碰撞；偶然碰上"
sort,"n. 种类；方式；品质
vt. 将…分类；将…排序；挑选出某物
vi. 分类；协调；交往"
lecture,"n. 演讲；讲稿；教训
vt. 演讲；训诫
vi. 讲课；讲演"
follow,"n. 跟随；追随
vi. 跟随；接着
vt. 跟随；遵循；追求；密切注意，注视；注意；倾听"
impact,"vi. 影响；撞击；冲突；压紧（on，upon，with）
n. 影响；效果；碰撞；冲击力
vt. 挤入，压紧；撞击；对…产生影响"
show,"n. 显示；表演；炫耀
vt. 显示；说明；演出；展出
vi. 显示；说明；指示"
plenty,"n. 丰富，大量；充足
adj. 足够的，很多的
adv. 足够"
over,"adv. 结束；越过；从头到尾
prep. 越过；在…之上；遍于…之上
adj. 结束的；上面的
vt. 越过"
conversation,n. 交谈，会话；社交；交往，交际；会谈；（人与计算机的）人机对话
aid,"n. 援助；帮助；助手；帮助者
vt. 援助；帮助；有助于
vi. 帮助"
skill,n. 技能，技巧；本领，技术
suppose,"conj. 假使…结果会怎样
vt. 假设；认为；让（虚拟语气）；推想
vi. 猜想；料想"
information,n. 信息，资料；知识；情报；通知
breath,n. 呼吸，气息；一口气，（呼吸的）一次；瞬间，瞬息；微风；迹象；无声音，气音
