discrepancy,n. 不符；矛盾；相差
hammer,"n. 铁锤；链球； 锤骨；音锤
vi. 锤击；敲打；重复
vt. 锤击；锤打"
blaze,"n. 火焰，烈火；光辉；情感爆发
vt. 在树皮上刻路标；公开宣布
vi. 燃烧；照耀，发光；激发"
spoil,"n. 次品；奖品
vt. 溺爱；糟蹋；破坏；掠夺
vi. 掠夺；变坏；腐败"
join,"vt. 参加；结合；连接
vi. 加入；参加；结合
n. 结合；连接；接合点"
provided,"conj. 假如；倘若
v. 提供；给予（provide的过去式）"
waste,"n. 浪费；废物；荒地；损耗；地面风化物
adj. 废弃的；多余的；荒芜的
vt. 浪费；消耗；使荒芜
vi. 浪费；变消瘦；挥霍钱财"
hearty,"n. 朋友们；伙伴们
adj. 衷心的；丰盛的；健壮的；精神饱满的"
motivate,vt. 刺激；使有动机；激发…的积极性
heave,"n. 举起；起伏；投掷；一阵呕吐
vt. 举起；使起伏；投掷；恶心；发出（叹息等）
vi. 起伏；举起；喘息；呕吐"
frail,"n. 灯心草篓；少妇；少女
adj. 脆弱的；虚弱的"
wipe,"n. 擦拭；用力打
vi. 擦；打
vt. 擦；消除；涂上"
embarrass,vt. 使局促不安；使困窘；阻碍
wake,"n. 尾迹；守夜；守丧
vt. 叫醒；激发
vi. 醒来；唤醒；警觉"
sufficient,adj. 足够的；充分的
twist,"n. 扭曲；拧；扭伤
vt. 捻；拧；扭伤；编织；使苦恼
vi. 扭动；弯曲"
disclose,vt. 公开；揭露
curb,"n. 抑制；路边；勒马绳
vt. 控制；勒住"
ventilate,vt. 使通风；给…装通风设备；宣布
base,"n. 基础；底部；垒
adj. 卑鄙的；低劣的
vt. 以…作基础"
extent,n. 程度；范围；长度
initiative,"n. 主动权；首创精神
adj. 主动的；自发的；起始的"
blame,"n. 责备；责任；过失
vt. 责备；归咎于"
straight,"n. 直；直线；直男，直女，异性恋者
adj. 直的；连续的；笔直的；正直的；整齐的；异性恋的
adv. 直接地；不断地；立即；坦率地"
convince,vt. 说服；使确信，使信服
major,"adj. 主要的；重要的；主修的；较多的
n.  成年人；主修科目；陆军少校
vi. 主修"
graduate,"n. 研究生；毕业生
adj. 毕业的；研究生的
vt. 授予…学位；分等级；标上刻度
vi. 毕业；渐变"
suspicion,"n. 怀疑；嫌疑；疑心；一点儿
vt. 怀疑"
logic,"n. 逻辑；逻辑学；逻辑性
adj. 逻辑的"
foretell,"vt. 预言；预示；预告
vi. 预言；预示；预告"
notorious,adj. 声名狼藉的，臭名昭著的
strangle,"vt. 把…勒死；使…窒息
vi. 窒息而死；被勒死"
prudent,adj. 谨慎的；精明的；节俭的
commute,"n. 通勤（口语）
vt. 减刑；交换；用……交换；使……变成
vi. （搭乘车、船等）通勤；代偿"
sane,adj. 健全的；理智的； 神志正常的
cancel,"vi. 取消，撤销
vt. 取消；删去
vi. 取消；相互抵消
n. 取消，撤销"
account,"n. 账户；解释；账目，账单；理由；描述
vt. 认为；把…视为
vi. 解释；导致；报账"
flexible,adj. 灵活的；柔韧的；易弯曲的
sigh,"n. 叹息，叹气
vt. 叹息，叹气
vi. 叹息，叹气"
fantasy,"n. 幻想；白日梦；幻觉
adj. 虚幻的
vt. 空想；想像
vi. 耽于幻想；奏幻想曲（等于phantasy）"
offset,"n. 抵消，补偿；平版印刷；支管
vt. 抵消；弥补；用平版印刷术印刷
vi. 装支管"
dim,"n. 笨蛋，傻子
adj. 暗淡的，昏暗的；模糊的，看不清的；悲观的，怀疑的
vt. 使暗淡，使失去光泽；使变模糊
vi. 变模糊，变暗淡"
confess,"vi. 承认；坦白；忏悔；供认
vt. 承认；坦白；忏悔；供认"
delegate,"n. 代表
vt. 委派…为代表"
hover,"n. 徘徊；盘旋；犹豫
vi. 盘旋，翱翔；徘徊
vt. 孵；徘徊在…近旁"
feast,"n. 筵席，宴会；节日
vt. 享受；款待，宴请
vi. 享受；参加宴会"
twinkle,"n. 闪烁
vt. 使闪耀；闪耀
vi. 闪烁；发亮"
untie,"vt. 解开；解决；使自由
vi. 解开；松开"
surge,"n. 汹涌；大浪，波涛；汹涌澎湃；巨涌
v. 汹涌；起大浪，蜂拥而来"
skip,"n. 跳跃；跳读
vt. 跳过；遗漏
vi. 跳跃；跳绳；遗漏；跳读"
spark,"n. 火花；朝气；闪光
vt. 发动；鼓舞；求婚
vi. 闪烁；发火花；求婚"
diagnose,"vt. 诊断；断定
vi. 诊断；判断"
fluent,adj. 流畅的，流利的；液态的；畅流的
glide,"vi. 滑翔；滑行；悄悄地走；消逝
vt. 使滑行；使滑动
n. 滑翔；滑行；滑移；滑音"
approve,"vi. 批准；赞成；满意
vt. 批准；赞成；为…提供证据"
measure,"n. 测量；措施；程度；尺寸
vt. 测量；估量；权衡
vi. 测量；估量"
absurd,"n. 荒诞；荒诞作品
adj. 荒谬的；可笑的"
stab,"n. 刺；戳；尝试；突发的一阵
vt. 刺；刺伤；戳；刺穿；直入
vi. 刺；刺伤；戳；刺痛"
string,n. 线，弦，细绳；一串，一行
predict,"vi. 作出预言；作预料，作预报
vt. 预报，预言；预知"
enquire,"vi. 询问；调查；问候（等于inquire）
vt. 询问；打听"
multiply,"vt. 乘；使增加；使繁殖；使相乘
vi. 乘；繁殖；增加
adv. 多样地；复合地
adj. 多层的；多样的"
infect,vt. 感染，传染
quantity,n. 量，数量；大量；总量
unanimous,adj. 全体一致的；意见一致的；无异议的
torment,"n. 痛苦，苦恼；痛苦的根源
vt. 折磨，使痛苦；纠缠，作弄"
venture,"n. 企业；风险；冒险
vt. 敢于
vi. 冒险；投机"
contract,"n. 合同；婚约
vt. 感染；订约；使缩短
vi. 收缩；感染；订约"
interrupt,"n. 中断
vt. 中断；打断；插嘴；妨碍
vi. 打断；打扰"
stoop,"n. 弯腰，屈背；屈服
vt. 辱没，堕落；俯曲
vi. 弯腰；屈服；堕落"
shallow,"n.  浅滩
adj. 浅的；肤浅的
vt. 使变浅
vi. 变浅"
rid,vt. 使摆脱；使去掉
frequency,n. 频率；频繁
enchant,vt. 使迷惑；施魔法
comment,"n. 评论；意见；批评
vi. 发表评论；发表意见
vt. 为…作评语"
outstanding,"adj. 杰出的；显著的；未解决的；未偿付的
n. 未偿贷款"
release,"n. 释放；发布；让与
vt. 释放；发射；让与；允许发表"
wretched,adj. 可怜的；卑鄙的；令人苦恼或难受的
stifle,"n. （马等的）后膝关节；（马等的） 后膝关节病
vt. 扼杀；使窒息；藏匿
vi. 窒息；被扼杀"
solve,"vt. 解决；解答；溶解
vi. 作解答"
reckless,adj. 鲁莽的，不顾后果的；粗心大意的
hoarse,"adj. 嘶哑的
嘶哑地"
duration,"n. 持续，持续的时间，期间
音长，音延"
moan,"vi. 抱怨，悲叹；呻吟
n. 呻吟声；悲叹
vt. 抱怨；呻吟着说"
responsible,adj. 负责的，可靠的；有责任的
yearn,vi. 渴望，向往；思念，想念；怀念；同情，怜悯
hail,"n. 冰雹；致敬；招呼；一阵
vt. 致敬；招呼；向...欢呼；猛发；使像下雹样落下（过去式hailed，过去分词hailed，现在分词hailing，第三人称单数hails）
int. 万岁；欢迎
vi. 招呼；下雹"
esteem,"n. 尊重；尊敬
vt. 尊敬；认为；考虑；估价"
chuckle,"n. 轻笑，窃笑
vi. 咯咯的笑，轻声地笑
vt. 轻声笑着表示"
hardy,"n. 强壮的人；耐寒植物；方柄凿
adj. 坚强的；勇敢的；能吃苦耐劳的；鲁莽的"
adequate,adj. 充足的；适当的；胜任的
resourceful,adj. 资源丰富的；足智多谋的；机智的
coward,"n. 懦夫，懦弱的人
adj. 胆小的，懦怯的"
approach,"n. 方法；途径；接近
vt. 接近；着手处理
vi. 靠近"
admit,"vi. 承认；容许
vt. 承认；准许进入；可容纳"
dedicate,vt. 致力；献身；题献
command,"n. 指挥，控制；命令；司令部
vt. 命令，指挥；控制；远望
vi. 命令，指挥；控制"
cripple,"n. 跛子；残废
vt. 削弱；使跛；使残废
adj. 跛的；残废的"
symptom,n.  症状；征兆
protest,"n. 抗议
adj. 表示抗议的；抗议性的
vt. 抗议；断言
vi. 抗议；断言"
stern,"n. 船尾；末端
adj. 严厉的；坚定的"
contribute,"vt. 贡献，出力；投稿；捐献
vi. 贡献，出力；投稿；捐献
"
rare,"adj. 稀有的；稀薄的；半熟的
adj. 杰出的；极度的；非常好的
adv. 非常；极其
vi. 用后腿站起；渴望"
fragile,adj. 脆的；易碎的
decent,adj. 正派的；得体的；相当好的
profound,adj. 深厚的；意义深远的；渊博的
acute,adj. 严重的， 急性的；敏锐的；激烈的；尖声的
proportion,"n. 比例，占比；部分；面积；均衡
vt. 使成比例；使均衡；分摊"
perspective,"n. 观点；远景；透视图
adj. 透视的"
particular,"n. 详细说明；个别项目
adj. 特别的；详细的；独有的；挑剔的"
parade,"n. 游行；阅兵；炫耀；行进；阅兵场
vt. 游行；炫耀；列队行进
vi. 游行；炫耀；列队行进"
buoy,"n.  浮标；浮筒；救生圈；航标
vt. 使浮起；支撑；鼓励"
fume,"n. 烟；愤怒，烦恼
vt. 熏；冒烟；愤怒地说
vi. 冒烟；发怒"
liberal,"adj. 自由主义的；慷慨的；不拘泥的；宽大的
n. 自由主义者"
handle,"n.  把手；柄；手感；口实
vt. 处理；操作；运用；买卖；触摸
vi. 搬运；易于操纵"
enlist,"vt. 使入伍；征募；谋取…的赞助或帮助
vi. 支持；从军；应募；赞助"
productive,adj. 能生产的；生产的，生产性的；多产的；富有成效的
defeat,"n. 失败的事实；击败的行为
vt. 击败，战胜；挫败；使…失败"
contrast,"n. 对比；差别；对照物
vt. 使对比；使与…对照
vi. 对比；形成对照"
embrace,"n. 拥抱
vt. 拥抱；信奉，皈依；包含
vi. 拥抱"
intermediate,"n.  中间物；媒介
adj. 中间的，中级的
vi. 起媒介作用"
bump,"n. 肿块，隆起物；撞击
vi. 碰撞，撞击；颠簸而行
vt. 碰，撞；颠簸
adv. 突然地，猛烈地"
teem,"vt. 倒出
vi. 大量出现；充满"
existence,n. 存在，实在；生存，生活；存在物，实在物
highlight,"n. 最精彩的部分；最重要的事情；加亮区
vt. 突出；强调；使显著；加亮"
generalize,"vi. 形成概念
vt. 概括；推广；使...一般化"
sacrifice,"n. 牺牲；祭品；供奉
vt. 牺牲；献祭；亏本出售
vi. 献祭；奉献"
critical,adj. 鉴定的； 临界的；批评的，爱挑剔的；危险的；决定性的；评论的
lead,"n. 领导；铅；导线；榜样
vt. 领导；致使；引导；指挥
vi. 领导；导致；用水砣测深
adj. 带头的；最重要的"
distract,vt. 转移；分心
trivial,adj. 不重要的，琐碎的；琐细的
upgrade,"n. 升级；上升；上坡
vt. 使升级；提升；改良品种
adj. 向上的
adv. 往上"
colloquial,adj. 白话的；通俗的；口语体的
fond,adj. 喜欢的；温柔的；宠爱的
pretend,"vt. 假装，伪装，模拟
adj. 假装的
vi. 假装，伪装，佯装"
clout,"n. 破布；敲打；影响力；势力
vt. 给…打补钉；猛击"
commemorate,vt. 庆祝，纪念；成为…的纪念
milestone,n. 里程碑，划时代的事件
prove,"vi. 证明是
vt. 证明；检验；显示"
desert,"n. 沙漠；荒原；应得的赏罚
vt. 遗弃；放弃；逃跑
adj. 沙漠的；荒凉的；不毛的
vi. 遗弃；开小差；逃掉"
detain,vt. 拘留；留住；耽搁
scandal,n. 丑闻；流言蜚语；诽谤；公愤
trace,"n. 痕迹，踪迹；微量； 迹线；缰绳
vt. 追踪，查探；描绘；回溯
vi. 追溯；沿路走"
coax,"vt. 哄；哄诱；慢慢将…弄好
vi. 哄骗；劝诱"
proclaim,vt. 宣告，公布；声明；表明；赞扬
dissatisfy,vt. 使不满意，使不满足; 使失望
scorn,"n. 轻蔑；嘲笑；藐视的对象
vt. 轻蔑；藐视；不屑做
vi. 表示轻蔑；表示鄙视"
purchase,"n. 购买；紧握；起重装置
vt. 购买；赢得
vi. 购买东西"
principal,"adj. 主要的；资本的
n. 首长；校长；资本；当事人"
sincere,adj. 真诚的；诚挚的；真实的
specific,"n. 特性；细节；特效药
adj. 特殊的，特定的；明确的；详细的； 具有特效的"
dull,"adj. 钝的；迟钝的；无趣的；呆滞的；阴暗的
vt. 使迟钝；使阴暗；缓和
vi. 减少；变迟钝"
deduct,vt. 扣除，减去；演绎
stir,"n. 搅拌；轰动
vi. 搅动；传播；走动
vt. 搅拌；激起；惹起"
risk,"n. 风险；危险；冒险
vt. 冒…的危险"
enrich,vt. 使充实；使肥沃；使富足
scrutiny,n. 详细审查；监视；细看；选票复查
liberty,n. 自由；许可；冒失
extend,"vt. 延伸；扩大；推广；伸出；给予；使竭尽全力；对…估价
vi. 延伸；扩大；伸展；使疏开"
faculty,n. 科，系；能力；全体教员
overdue,adj. 过期的；迟到的；未兑的
appreciate,"vi. 增值；涨价
vt. 欣赏；感激；领会；鉴别"
consist,vi. 由…组成；在于；符合
dishonor,"n. 拒付；不名誉；丢脸
vt. 使蒙羞；玷辱"
dishonour,"n. 拒付；不名誉
vt. 拒付；使丢脸；拒绝承兑；不履行（诺言等）"
undermine,vt. 破坏，渐渐破坏；挖掘地基
erupt,"vi. 爆发；喷出；发疹；长牙
vt. 爆发；喷出"
crisp,"adj. 脆的；新鲜的；易碎的
vt. 使卷曲；使发脆
vi. 卷曲；发脆
n. 松脆物；油炸马铃薯片"
commend,"vt. 推荐；称赞；把…委托
vi. 称赞；表扬"
crouch,"n. 蹲伏
vt. 低头；屈膝
vi. 蹲伏，蜷伏；卑躬屈膝"
grasp,"n. 抓住；理解；控制
vi. 抓
vt. 抓住；领会"
weigh,"n. 权衡；称重量
vt. 权衡；考虑；称…重量
vi. 重量为…；具有重要性；成为…的重荷；起锚"
progress,"n. 进步，发展；前进
vi. 前进，进步；进行"
disadvantage,n. 缺点；不利条件；损失
annoy,"n. 烦恼（等于annoyance）
vt. 骚扰；惹恼；打搅
vi. 惹恼；令人讨厌；打搅"
loose,"adj. 宽松的；散漫的；不牢固的；不精确的
vt. 释放；开船；放枪
vi. 变松；开火
adv. 松散地
n. 放纵；放任；发射"
gaze,"n. 凝视；注视
vi. 凝视；注视"
laptop,n. 膝上型轻便电脑，笔记本电脑
explosive,"n. 炸药；爆炸物
adj. 爆炸的；爆炸性的；爆发性的"
manner,n. 方式；习惯；种类；规矩；风俗
swallow,"n. 燕子；一次吞咽的量
vt. 忍受；吞没
vi. 吞下；咽下"
pave,vt. 铺设；安排；作铺设之用
cite,vt. 引用；传讯；想起；表彰
recall,"n. 召回；回忆；撤消
vt. 召回；回想起，记起；取消"
create,vt. 创造，创作；造成
scream,"n. 尖叫声；尖锐刺耳的声音；极其滑稽可笑的人
vi. 尖叫；呼啸；发出尖锐刺耳的声音；令人触目惊心
vt. 尖声喊叫；大叫大嚷着要求"
ruin,"n. 废墟；毁坏；灭亡
vt. 毁灭；使破产
vi. 破产；堕落；被毁灭"
peculiar,"n. 特权；特有财产
adj. 特殊的；独特的；奇怪的；罕见的"
steal,"n. 偷窃；便宜货；偷垒；断球
vt. 剽窃；偷偷地做；偷窃
vi. 窃取；偷偷地行动；偷垒"
available,adj. 可获得的；可购得的；可找到的；有空的
process,"n. 过程，进行；方法，步骤；作用；程序；推移
adj. 经过特殊加工（或处理）的
vt. 处理；加工
vi. 列队前进"
kowtow,"vi. 叩头；卑躬屈膝
n. 叩头"
disloyal,adj. 不忠的；不忠诚的；背叛的
glow,"n. 灼热；色彩鲜艳；兴高采烈
vi. 发热；洋溢；绚丽夺目"
dread,"n. 恐惧；可怕的人（或物）
vt. 惧怕；担心
adj. 可怕的
vi. 惧怕；担心"
bail,"n. 保释，保释人；保释金；杓
vt. 保释，帮助某人脱离困境；往外舀水"
sophisticate,"n. 久经世故的人；精通者
vt. 弄复杂；使变得世故；曲解
vi. 诡辩"
accompany,"vt. 陪伴，伴随；伴奏
vi. 伴奏，伴唱"
contradict,"vt. 反驳；否定；与…矛盾；与…抵触
vi. 反驳；否认；发生矛盾"
besiege,vt. 围困；包围；烦扰
squat,"vt. 使蹲坐，使蹲下
vi. 蹲，蹲下；蹲坐；蹲伏
n. 蹲坐，蜷伏
adj. 蹲着的；矮胖的"
muffle,"vt. 蒙住；裹住；抑制；发低沉的声音
n. 低沉的声音；消声器；包裹物（如头巾，围巾等）；唇鼻部"
minimum,"n. 最小值；最低限度；最小化；最小量
adj. 最小的；最低的"
install,vt. 安装；任命；安顿
signify,"vt. 表示；意味；预示
vi. 有重要性；要紧；冒充内行"
savage,"n. 未开化的人；粗鲁的人；残暴成性的人
adj. 野蛮的；残酷的；狂怒的；荒凉的
vt. 乱咬；粗暴的对待"
abridge,vt. 删节；缩短；节略
parcel,"n. 包裹，小包
vt. 打包；捆扎"
idle,"adj. 闲置的；懒惰的；停顿的
vt. 虚度；使空转
vi. 无所事事；虚度；空转"
grant,"n. 拨款； 授予物
vt. 授予；允许；承认
vi. 同意"
grudge,"n. 怨恨；恶意；妒忌
vt. 怀恨；吝惜；妒忌；不情愿做"
doctrine,n. 主义；学说；教义；信条
arise,vi. 出现；上升；起立
exile,"n. 流放，充军；放逐，被放逐者；流犯
vt. 放逐，流放；使背井离乡"
glimpse,"n. 一瞥，一看
vt. 瞥见
vi. 瞥见"
foresee,vt. 预见；预知
similar,"n. 类似物
adj. 相似的"
doubt,"n. 怀疑；疑问；疑惑
v. 怀疑；不信；恐怕；拿不准"
insufficient,"adj. 不足的，不充足的；不胜任的；缺乏能力的
n. 不足；缺乏"
defy,"n. 挑战；对抗
vt. 藐视；公然反抗；挑衅；使落空"
amuse,vt. 娱乐；消遣；使发笑；使愉快
unlock,"vt. 开启；开…的锁；表露
vi. 解开；解除锁定；被开启"
repent,"adj.  匍匐生根的； 爬行的
vi. 后悔；忏悔
vt. 后悔；对…感到后悔"
foregoing,"adj. 前述的；前面的；在前的
v. 发生在…之前；走在…之前（forego的ing形式）"
levy,"n. 征收；征兵，征税
vt. 征收（税等）；征集（兵等）
vi. 征税；征兵"
filth,n. 污秽；肮脏；猥亵；不洁
wreck,"n. 破坏；失事；残骸；失去健康的人
vt. 破坏；使失事；拆毁
vi. 失事；营救失事船只"
interject,vt. 突然插入；插嘴
chase,"n. 追逐；追赶；追击
vt. 追逐；追捕；试图赢得；雕镂
vi. 追逐；追赶；奔跑"
convert,"n. 皈依者；改变宗教信仰者
vt. 使转变；转换…；使…改变信仰
vi. 转变，变换；皈依；改变信仰"
ornament,"n. 装饰； 装饰物；教堂用品
vt. 装饰，修饰"
rescue,"n. 营救；援救；解救
vt. 营救；援救"
horrify,vt. 使恐惧；惊骇；使极度厌恶
dimension,"n. 方面; 维；尺寸；次元；容积 vt. 标出尺寸
adj. 规格的"
dissident,"n. 持不同政见者，意见不同的人
adj. 持不同政见的，意见不同的"
alone,"adj. 独自的；单独的；孤独的
adv. 独自地；单独地"
combine,"n. 联合收割机；联合企业
vt. 使化合；使联合，使结合
vi. 联合，结合；化合"
anticipate,vt. 预期，期望；占先，抢先；提前使用
situate,"adj. 位于…的
vt. 使位于；使处于"
envy,"n. 嫉妒，妒忌；羡慕
vt. 嫉妒，妒忌；羡慕
vi. 感到妒忌；显示出妒忌"
unearth,vt. 发掘；揭露，发现；从洞中赶出
credible,adj. 可靠的，可信的
tangible,"n. 有形资产
adj. 有形的；切实的；可触摸的"
thaw,"n. 解冻；融雪
vt. 使融解；使变得不拘束
vi. 融解；变暖和"
locomotive,"adj. 火车头的；运动的；移动的
n. 机车；火车头"
prey,"n. 捕食；牺牲者；被捕食的动物
vi. 捕食；掠夺；折磨"
moderate,"adj. 稳健的，温和的；适度的，中等的；有节制的
vi. 变缓和，变弱
vt. 节制；减轻"
dignity,n. 尊严；高贵
respond,"n. 应答；唱和
vi. 回答；作出反应；承担责任
vt. 以…回答"
jerk,"n. 肌肉抽搐；性情古怪的人；蠢人；急拉
vi. 痉挛；急拉；颠簸地行进
vt. 猛拉"
disgrace,"n. 耻辱；丢脸的人或事；失宠
vt. 使……失宠；给……丢脸；使……蒙受耻辱；贬黜"
classify,vt. 分类；分等
consecutive,adj. 连贯的；连续不断的
mechanics,n. 力学（用作单数）；结构；技术；机械学（用作单数）
significant,"n. 象征；有意义的事物
adj. 重大的；有效的；有意义的；值得注意的；意味深长的"
disappoint,vt. 使失望
antique,"n. 古董，古玩；古风，古希腊和古罗马艺术风格
adj. 古老的，年代久远的；过时的，古董的；古风的，古式的
vi. 觅购古玩"
uproot,"vt. 根除，连根拔起；迫使某人离开出生地或定居处
vi. 迁离；改变生活方式"
peril,"n. 危险；冒险
vt. 危及；置…于险境"
encircle,vt. 包围；围绕；环绕
cherish,"vt. 珍爱
vt. 怀有（感情等）；抱有（希望等）"
accommodate,"vi. 适应；调解
vt. 容纳；使适应；供应；调解"
immaterial,adj. 非物质的；无形的；不重要的；非实质的
format,"n. 格式；版式；开本
vt. 使格式化；规定…的格式
vi. 设计版式"
allowance,"n. 津贴，零用钱；允许；限额
vt. 定量供应"
leave,"vt. 离开；留下；遗忘；委托
vi. 离开，出发；留下
n. 许可，同意；休假"
sparkle,"n. 闪耀；火花；活力
vt. 使闪耀；使发光
vi. 闪耀；发泡；活跃"
thereof,adv. 它的；由此；在其中；关于…；将它
pursue,"vi. 追赶；继续进行
vt. 继续；从事；追赶；纠缠"
instruct,vt. 指导；通知；命令；教授
congestion,n. 拥挤；拥塞；淤血
friction,n. 摩擦， 摩擦力
crumble,"n. 面包屑
vi. 崩溃；破碎，粉碎
vt. 崩溃；弄碎，粉碎"
receptive,adj. 善于接受的；能容纳的
indulgent,adj. 放纵的；宽容的；任性的
dismiss,"vt. 解散；解雇；开除；让...离开；不予理会、不予考虑
vi. 解散"
breed,"n.  品种；种类，类型
vt. 繁殖；饲养；养育，教育；引起
vi. 繁殖；饲养；产生"
incredible,adj. 难以置信的，惊人的
series,n. 系列，连续； 串联；级数；丛书
collaborate,vi. 合作；勾结，通敌
hitherto,adv. 迄今；至今
merit,"n. 优点，价值；功绩；功过
vt. 值得
vi. 应受报答"
depression,n. 沮丧；洼地；不景气；忧愁；低气压区
stability,n. 稳定性；坚定，恒心
dawn,"n. 黎明；开端
vt. 破晓；出现；被领悟"
display,"n. 显示；炫耀
vt. 显示；表现；陈列
adj. 展览的；陈列用的
vi.  作炫耀行为"
nutrition,n. 营养，营养学；营养品
stammer,"n. 口吃；结巴
vt. 口吃；结巴着说出
vi. 口吃；结结巴巴地说"
scatter,"n. 分散；散播，撒播
vt. 使散射；使散开，使分散；使散播，使撒播
vi. 分散，散开；散射"
hinder,"vt. 阻碍；打扰
adj. 后面的
vi. 成为阻碍"
remove,"n. 移动；距离；搬家
vt. 移动，迁移；开除；调动
vi. 移动，迁移；搬家"
impact,"vi. 影响；撞击；冲突；压紧（on，upon，with）
n. 影响；效果；碰撞；冲击力
vt. 挤入，压紧；撞击；对…产生影响"
evident,adj. 明显的；明白的
pound,"n. 英镑；重击，重击声；兽栏；拘留所
vt. 捣烂；敲打；监禁，拘留
vi. 连续重击，猛击"
incline,"n. 倾斜；斜面；斜坡
vt. 使倾斜；使倾向于
vi. 倾斜；倾向；易于"
explore,"vi. 探索；探测；探险
vt. 探索；探测；探险"
repeal,"n. 废除；撤销
vt. 废除；撤销；废止；放弃；否定"
acknowledge,vt. 承认；答谢；报偿；告知已收到
jail,"n. 监狱；监牢；拘留所
vt. 监禁；下狱"
lash,"vt. 鞭打；冲击；摆动；扎捆；煽动；讽刺
vi. 鞭打；猛击；急速甩动
n. 鞭打；睫毛；鞭子；责骂；讽刺"
peer,"vt. 封为贵族；与…同等
vi. 凝视，盯着看；窥视
n. 贵族；同等的人；同龄人"
spin,"n. 旋转；疾驰
vi. 旋转；纺纱；吐丝；晕眩
vt. 使旋转；纺纱；编造；结网"
vice,"prep. 代替
n. 恶习；缺点； 老虎钳；卖淫
adj. 副的；代替的
vt. 钳住"
criticize,"vi. 批评；评论；苛求
vt. 批评；评论；非难"
eager,adj. 渴望的；热切的；热心的
mechanic,"n. 技工，机修工
adj. 手工的"
liable,adj. 有责任的，有义务的；应受罚的；有…倾向的；易…的
feature,"n. 特色，特征；容貌；特写或专题节目
vt. 特写；以…为特色；由…主演
vi. 起重要作用"
participate,"vi. 参与，参加；分享
vt. 分享；分担
"
chronic,adj. 慢性的；长期的；习惯性的
corrupt,"adj. 腐败的，贪污的；堕落的
vt. 使腐烂；使堕落，使恶化
vi. 堕落，腐化；腐烂"
dwarf,"n. 侏儒，矮子
adj. 矮小的
vi. 变矮小
vt. 使矮小"
elapse,"n. 流逝；时间的过去
vi. 消逝；时间过去"
lock,"vt. 锁，锁上；隐藏
vi. 锁；锁住；卡住
n. 锁；水闸；刹车"
exclude,vt. 排除；排斥；拒绝接纳；逐出
overcome,"vt. 克服；胜过
vi. 克服；得胜"
formidable,adj. 强大的；可怕的；令人敬畏的；艰难的
respective,adj. 分别的，各自的
haste,"n. 匆忙；急忙；轻率
vt. 赶快
vi. 匆忙；赶紧"
crucial,adj. 重要的；决定性的；定局的；决断的
scratch,"n. 擦伤；抓痕；刮擦声；乱写
adj. 打草稿用的；凑合的；碰巧的
vt. 抓；刮；挖出；乱涂
vi. 抓；搔；发刮擦声；勉强糊口；退出比赛"
genuine,adj. 真实的，真正的；诚恳的
notion,n. 概念；见解；打算
wit,"n. 智慧；才智；智力
v. <古>知道；即"
slack,"n. 煤末；峡谷
adj. 松弛的；疏忽的；不流畅的
vt. 放松；使缓慢
adv. 马虎地；缓慢地
vi. 松懈；减弱"
descend,"vi. 下降；下去；下来；遗传；屈尊
vt. 下去；沿…向下"
pathetic,adj. 可怜的，悲哀的；感伤的；乏味的
blunt,"adj. 钝的，不锋利的；生硬的；直率的
vt. 使迟钝"
