appliance,n. 器具；器械；装置
syrup,n. 糖浆，果汁；含药糖浆
tone,"n. 语气；色调；音调；音色
vt. 增强；用某种调子说
vi. 颜色调和；呈现悦目色调"
weird,"n. （苏格兰）命运；预言
adj. 怪异的；不可思议的；超自然的"
at this rate,"na. 这种样子
 照此速度；照这种情形；这样的话"
at that rate,"na. 那种样子
 照那种情形；那样的话；照此速度"
by hand,"na. 用手的；用手递交的；(婴儿)用牛奶抚养的
 用手工；手动；手工的"
for the sake of,"adv. 为了…起见
 为了…的利益；为了…的目的；为了…的缘故"
vice versa,"adv. 反之亦然；反过来也一样
 小爸爸大儿子；反过来亦然；反过来的"
arbiter,n.  仲裁者；裁决人
committed,"v. 承诺；委托；干坏事；付诸（commit的过去分词）
adj. 坚定的；效忠的；承担义务的"
consumption,n. 消费；消耗；肺痨
defining,"v. 规定（define的ing形式）；给…下定义；表明特征
adj. 最典型的；起决定性作用的"
dictate,"n. 命令；指示
vt. 命令；口述；使听写
vi. 口述；听写"
emitter,n. 发射器，发射体
environmentalist,n. 环保人士；环境论者；研究环境问题的专家
indulge,"vi. 沉溺；满足；放任
vt. 满足；纵容；使高兴；使沉迷于…"
infinite,"n. 无限； 无穷大；无限的东西（如空间，时间）
adj. 无限的，无穷的；无数的；极大的"
ingenuity,"n. 心灵手巧，独创性；精巧；精巧的装置
n. 西门子公司将其品牌宣言“Ingenuity for life” 诠释为“博大精深 同心致远”"
lean,"vi. 倾斜；倚靠；倾向；依赖
adj. 瘦的；贫乏的，歉收的
vt. 使倾斜
n. 瘦肉；倾斜；倾斜度"
livelihood,n. 生计，生活；营生
minority,"n. 少数民族；少数派；未成年
adj. 少数的；属于少数派的"
mitigate,"vt. 使缓和，使减轻
vi. 减轻，缓和下来"
nullify,vt. 使无效，作废；取消
obligated,"adj. 有义务的；责无旁贷的
v. 使负义务（obligate的过去式）"
obsolete,"adj. 废弃的；老式的
n. 废词；陈腐的人
vt. 淘汰；废弃"
panel,"n. 仪表板；嵌板；座谈小组，全体陪审员
vt. 嵌镶板"
planetary,adj. 行星的
prediction,n. 预报；预言
preface,"n. 前言；引语
vt. 为…加序言；以…开始
vi. 作序"
prescribe,"vt. 规定；开处方
vi. 规定；开药方"
rational,"n. 有理数
adj. 合理的；理性的"
realism,n. 现实主义；实在论；现实主义的态度和行为
realist,n. 现实主义者；实在论者
rein,"n. 缰绳；驾驭；统治；支配
vt. 控制；驾驭；勒住
vi. 勒住马"
skeptic,"n. 怀疑论者；怀疑者；无神论者
sceptic（英）"
stance,n. 立场；姿态；位置；准备击球姿势
trade-off,n. 交换，交易；权衡；协定
ultimate,"n. 终极；根本；基本原则
adj. 最终的；极限的；根本的"
unabated,adj. 不减弱的，不衰退的
underlying,"adj. 潜在的；根本的；在下面的；优先的
v. 放在…的下面；为…的基础；优先于（underlie的ing形式）"
unfettered,"adj. 无拘无束的；被除去脚镣的
v. 使自由（unfetter的过去分词）；解开脚链；释放"
unknowable,adj. 不可知的；不能知道的
untold,adj. 数不清的；未说过的；未透露的；无限的
venture,"n. 企业；风险；冒险
vt. 敢于
vi. 冒险；投机"
version,n. 版本；译文；倒转术
versus,prep. 对；与...相对；对抗
chances are, 再世俏郎君；有可能；很有可能
hit home,"na. 击中要害；触及痛处；“hit/strike home”的变体
 切中要害；打中要害；命中要害"
lead time,"n. 从投产至完成生产间相隔的时间；订货交付时间
 前置时间；提前期；前置期"
life expectancy,"n. 预期寿命；预计存在（或持续）的期限
 平均寿命；平均余命；期望寿命"
standard of living,"n. 生活水平
 生活标准；生活水准；生活水帄"
the Stone Age,"n. 石器时代
 旧石器时代"
anniversary,n. 周年纪念日
autobiography,n. 自传；自传文学
banquet,"n. 宴会，盛宴；宴请，款待
vt. 宴请，设宴款待
vi. 参加宴会"
boring,"n. 钻孔
adj. 无聊的；令人厌烦的
v. 钻孔；使厌烦；挖空（bore的ing形式）"
evaluate,"vt. 评价；估价；求…的值
vi. 评价；估价"
gap,"n. 间隙；缺口；差距；分歧
vt. 使形成缺口
vi. 裂开"
laureate,"adj. 戴桂冠的；荣誉的
n. 桂冠诗人；得奖者
vt. 使戴桂冠"
luxury,"n. 奢侈，奢华；奢侈品；享受
adj. 奢侈的"
nominate,vt. 推荐；提名；任命；指定
nomination,n. 任命，提名；提名权
persist,"vi. 存留，坚持；持续，固执
vt. 坚持说，反复说"
physicist,n. 物理学家；唯物论者
quantum,n. 量子论；额；美国昆腾公司（世界领先的硬盘生产商）
recommendation,n. 推荐；建议；推荐信
respective,adj. 分别的，各自的
witty,adj. 诙谐的；富于机智的
angle,"n. 角度，角，方面
vi. 钓鱼；谋取"
apparently,adv. 显然地；似乎，表面上
atom,n. 原子
compass,"n. 指南针，罗盘；圆规
vt. 包围"
condense,"vt. 使浓缩；使压缩
vi. 浓缩；凝结"
convince,vt. 说服；使确信，使信服
create,vt. 创造，创作；造成
curiosity,n. 好奇，好奇心；珍品，古董，古玩
detail,"n. 细节，详情
vt. 详述；选派
vi. 画详图"
device,n. 装置；策略；图案
equation,n. 方程式，等式；相等； 反应式
essence,n. 本质，实质；精华；香精
evidence,"n. 证据，证明；迹象；明显
vt. 证明"
evident,adj. 明显的；明白的
fundamental,"n. 基本原理；基本原则
adj. 基本的，根本的"
genius,n. 天才，天赋；精神
geometry,"n. 几何学
几何结构"
holy,"n. 神圣的东西
adj. 圣洁的，神圣的；至善的
（俚）太棒了"
insight,n. 洞察力；洞悉
intellect,n. 智力，理解力；知识分子；思维逻辑领悟力；智力高的人
invisible,adj. 无形的，看不见的；无形的；不显眼的，暗藏的
patience,n. 耐性，耐心；忍耐，容忍
peak,"n. 山峰；最高点；顶点；帽舌
adj. 最高的；最大值的
vt. 使达到最高点；使竖起
vi. 消瘦；到达最高点；变憔悴"
relativity,n. 相对论；相关性；相对性
respond,"n. 应答；唱和
vi. 回答；作出反应；承担责任
vt. 以…回答"
simplicity,n. 朴素；简易；天真；愚蠢
simplistic,adj. 过分简单化的；过分单纯化的
stir,"n. 搅拌；轰动
vi. 搅动；传播；走动
vt. 搅拌；激起；惹起"
stove,"n. 火炉；窑；温室
vt. 用火炉烤"
structure,"n. 结构；构造；建筑物
vt. 组织；构成；建造"
theorem,n.  定理；原理
theory,n. 理论；原理；学说；推测
twist,"n. 扭曲；拧；扭伤
vt. 捻；拧；扭伤；编织；使苦恼
vi. 扭动；弯曲"
ultimate,"n. 终极；根本；基本原则
adj. 最终的；极限的；根本的"
universe,n. 宇宙；世界；领域
a couple of,"det. 一对
 几个；两个；两三个"
come over,"na. 渡过来；(从敌方)过来；变挂；欺骗
 顺便来访；从远方来；走过来"
come up with,"na. 想出(一个主意或计划)；提出；提供；筹措
 赶上；找到；想出某事"
come upon,"na. 碰到；忽然想到；突袭；要求
 碰见；遇见；发现"
fool sb. into doing sth.,
for instance,"na. 例如
 比如；举例说；举例来说"
in no way,"na. 决不
 一点也不；绝不；无论如何不"
in part,"na. 一部份地；有几成；在某种程度上
 部分地；一部分；有些部分"
push for,"un. 拢；推到后面去；力图争取
 奋力争取；为…奋力争取；催逼"
up to,"na. 干(着)；到；胜任；…的责任
 直到；多达；取决于"
academy,n. 学院；研究院；学会；专科院校
ambassador,n. 大使；代表；使节
aspiration,n. 渴望；抱负；送气；吸气；吸引术
company,"n. 公司；陪伴，同伴；连队
vt. 陪伴
vi. 交往"
deem,"vt. 认为，视作；相信
vi. 认为，持某种看法；作某种评价"
distinction,n. 区别；差别；特性；荣誉、勋章
distinguished,"v. 区别（distinguish的过去式）
adj. 著名的；卓著的；高贵的"
dramatist,n. 剧作家，剧本作者
endeavor,"n. 努力；尽力（等于endeavour）
vi. 努力；尽力（等于endeavour）
vt. 努力；尽力（等于endeavour）"
harbor,"n. 海港；避难所
vt. 庇护；怀有
vi. 居住，生存；入港停泊；躲藏"
individual,"n. 个人，个体
adj. 个人的；个别的；独特的"
mundane,adj. 世俗的，平凡的；世界的，宇宙的
odds,n. 几率；胜算；不平等；差别
patron,n. 赞助人；保护人；主顾
perceive,"vt. 察觉，感觉；理解；认知
vi. 感到，感知；认识到"
persona,n. 人物角色；伪装的外表
prestigious,adj. 有名望的；享有声望的
pursuit,n. 追赶，追求；职业，工作
reckon,"vi. 估计；计算；猜想，料想
vt. 测算，估计；认为；计算"
renown,"n. 声誉；名望
vt. 使有声望"
reverent,adj. 虔诚的；恭敬的；尊敬的
singular,"n. 单数
adj. 单数的；单一的；非凡的；异常的"
studio,n. 工作室； 演播室；画室；电影制片厂
Swedish,"n. 瑞典语；瑞典人
adj. 瑞典的；瑞典语的；瑞典人的"
talent,n. 才能；天才；天资
ultimately,adv. 最后；根本；基本上
vital,adj. 至关重要的；生死攸关的；有活力的
beyond words,"un. 明理人不用细说；难以形容
 无法用语言表达；难以言表；无法用言语表达"
in attendance,"un. 出席；出席人数；在场；照料
 列席；参加；在场的"
in person,"na. 亲自；身体上；外貌上
 本人；当面；亲自上阵"
in place,"na. 得其所；适当的
 在适当的位置；在合适的位置；适当地"
set out to, 打算；着手；出发去做某事
set out to do sth.,
to say the least,"na. 至少可以这样说
 退一步说；至少可以说；至少可以这么说"
adventurous,adj. 爱冒险的；大胆的；充满危险的
argument,n. 论证；论据；争吵；内容提要
attitude,n. 态度；看法；意见；姿势
catwalk,n. 猫步；狭小通道；桥上人行道
cm,
con,"n. 反对票；反对论
vt. 精读；默记
adv. 反面地
adj. 欺诈的
prep. 以…"
contribute,"vt. 贡献，出力；投稿；捐献
vi. 贡献，出力；投稿；捐献
"
deliver,"n. 投球
vt. 交付；发表；递送；释放；给予（打击）；给…接生
vi. 实现；传送；履行；投递"
designer,"n. 设计师；谋划者
adj. 由设计师专门设计的；享有盛名的；赶时髦的"
entrepreneur,n. 企业家；承包人；主办者
extreme,"n. 极端；末端；最大程度；极端的事物
adj. 极端的；极度的；偏激的；尽头的"
faulty,adj. 有错误的；有缺点的
functional,adj. 功能的
heartbroken,adj. 悲伤的，伤心的
heel,"n. 脚后跟；踵
vt. 倾侧
vi. 倾侧"
insecure,adj. 不安全的；不稳定的；不牢靠的
Inuit,
penny,n. （美）分；便士
potential,"n. 潜能；可能性； 电势
adj. 潜在的；可能的；势的"
pound,"n. 英镑；重击，重击声；兽栏；拘留所
vt. 捣烂；敲打；监禁，拘留
vi. 连续重击，猛击"
pro,"n. 赞成者；赞成的意见
prep. 赞成
adv. 赞成地"
reach,"n. 范围；延伸；河段；横风行驶
vi. 达到；延伸；伸出手；传开
vt. 达到；影响；抵达；伸出"
refrigerator,n. 冰箱，冷藏库
ridiculous,adj. 可笑的；荒谬的
shortcoming,n. 缺点；短处
snail,"n. 蜗牛；迟钝的人
vt. 缓慢移动
vi. 缓慢移动"
sturdy,"n. 羊晕倒病
adj. 坚定的；强健的；健全的"
stylish,adj. 时髦的；现代风格的；潇洒的
underwear,n. 内衣物
universal,"n. 一般概念；普通性
adj. 普遍的；通用的；宇宙的；全世界的；全体的"
burger,n. 汉堡包
cajole,vt. 以甜言蜜语哄骗；勾引
carve,"vt. 雕刻；切开；开创
vi. 切开；做雕刻工作"
celebrity,n. 名人；名声
declare,"vt. 宣布，声明；断言，宣称
vi. 声明，宣布"
destination,n. 目的地，终点
dizzy,"adj. 晕眩的；使人头晕的；昏乱的；心不在焉的；愚蠢的
vt. 使头晕眼花；使混乱；使茫然"
duplicate,"n. 副本；复制品
adj. 复制的；二重的
vt. 复制；使加倍
vi. 复制；重复"
embed,vt. 栽种；使嵌入，使插入；使深留脑中
hectic,"n. 脸红；患肺结核
adj. 兴奋的，狂热的；脸上发红；肺病的；忙碌的"
label,"vt. 标注；贴标签于
n. 标签；商标；签条"
literally,adv. 照字面地；逐字地；不夸张地；正确地；简直
magnetic,adj. 地磁的；有磁性的；有吸引力的
neural,adj. 神经的；神经系统的；背的；神经中枢的
niche,"n. 壁龛；合适的职业；有利可图的市场(或形势等)
vt. 放入壁龛"
outsell,vt. 卖得比…多
preference,n. 偏爱，倾向；优先权
prime,"n. 初期；青年；精华；全盛时期
adj. 主要的；最好的；基本的
vt. 使准备好；填装
vi. 作准备
adv. 极好地"
prod,"n. 刺针；刺棒；签子
vi. 刺；捅
vt. 刺，戳；刺激"
quench,"vt. 熄灭， 淬火；解渴；结束；冷浸
vi. 熄灭；平息"
replicate,"n. 复制品；八音阶间隔的反覆音
vt. 复制；折叠
adj. 复制的；折叠的
vi. 重复；折转"
reside,vi. 住，居住；属于
resound,"vt. 回响；传颂；大声讲
vi. 回响；鸣响；被传颂"
rival,"n. 对手；竞争者
adj. 竞争的
vt. 与…竞争；比得上某人
vi. 竞争"
shaver,n. 理发师；电动剃刀
stash,"n. 藏匿处；藏匿物
vt. 存放；贮藏
vi. 存放；藏起来"
stimulate,"vi. 起刺激作用；起促进作用
vt. 刺激；鼓舞，激励"
track,"n. 轨道；足迹，踪迹；小道
vt. 追踪；通过；循路而行；用纤拉
vi. 追踪；走；留下足迹"
trainer,n. 助理教练；训练员；驯马师；飞行练习器；运动鞋
trigger,"n. 扳机； 触发器；制滑机
vt. 引发，引起；触发
vi. 松开扳柄"
vie,"vi. 争；竞争
vt. 使针锋相对；提出...来竞争；以...作较量"
a multitude of,"na. 许多
 大量；众多的；大批的"
at the ready, 准备立即行动；处在准备状态中；处于准备状态
for certain,"na. 的确
 肯定地；确凿地；确切地"
head for,"na. 走向
 前往；向…方向前进；朝…方向走去"
adhesive,"n. 粘合剂；胶黏剂
adj. 粘着的；带粘性的"
aggressive,adj. 侵略性的；好斗的；有进取心的；有闯劲的
arc,"n. 弧（度）；弧光（全称electric arc）；弧形物；天穹
adj. 圆弧的；反三角函数的
vt. 形成电弧；走弧线"
beget,vt. 产生；招致；引起；当…的父亲
bookmark,n. 书签（等于bookmarker）；标记
boom,"n. 繁荣；吊杆；隆隆声
vt. 使兴旺；发隆隆声
vi. 急速发展；发隆隆声"
choir,"n. 唱诗班；合唱队；舞蹈队
vt. 合唱
vi. 合唱"
coating,"n. 涂层；包衣；衣料
v. 给…穿上外衣；盖上（coat的ing形式）"
corporate,adj. 法人的；共同的，全体的；社团的；公司的；企业的
cross-pollination,n. 异花受粉
experimentation,n. 实验；试验；实验法；实验过程
extensive,adj. 广泛的；大量的；广阔的
fraction,n. 分数；部分；小部分；稍微
identify,vt. 确定；鉴定；识别，辨认出；使参与；把…看成一样 vi. 确定；认同；一致
incorporate,"vt. 包含，吸收；体现；把……合并
adj. 合并的；一体化的；组成公司的
vi. 合并；混合；组成公司"
ingrain,"n. 固有品质；原纱染色；生染的纤维
adj. 生染的；原纱染色的；根深蒂固的
vt. 使…根深蒂固；就…原料染色；生染"
laptop,n. 膝上型轻便电脑，笔记本电脑
lobby,"n. 大厅；休息室；会客室；游说议员的团体
vt. 对……进行游说
vi. 游说议员"
mainstay,n. 支柱；中流砥柱；主要的依靠；主桅支索
mold,"vt. 塑造；使发霉；用模子制作
vi. 发霉
n. 霉菌；模子"
optical,adj. 光学的；眼睛的，视觉的
percolation,n. 过滤；浸透
philosophy,n. 哲学；哲理；人生观
polymer,n.  聚合物
precision,"n. 精度， 精密度；精确
adj. 精密的，精确的"
project,"n. 工程；计划；事业
vt. 设计；计划；发射；放映
vi. 设计；计划；表达；投射"
pursue,"vi. 追赶；继续进行
vt. 继续；从事；追赶；纠缠"
setback,n. 挫折；退步；逆流
startup,n. 启动；开办
stodgy,adj. 平凡的；塞满的；庸俗的
stumble,"n. 绊倒；蹒跚而行
vi. 踌躇，蹒跚；失足；犯错
vt. 使…困惑；使…绊倒"
transformation,n.  转化；转换；改革；变形
undeterred,adj. 未受阻的；未被吓住的
wager,"n. 赌注；赌博；赌物
vi. 打赌
vt. 下赌注"
fall off,"na. 下降；(从马上)掉下来；扫兴颓丧；离开
 跌落；减少；衰退"
fire up,"na. 发动(机器)；生火；突然发怒
 生气；发火；勃然大怒"
stay put,"na. 安装牢固
 停住不动；留在原处不动；留在原地"
acreage,n. 面积，英亩数
biotech,abbr. 生物技术；生物科技（biotechnology）
gene,n.  基因，遗传因子
genetic,adj. 遗传的；基因的；起源的
ingredient,"n. 原料；要素；组成部分
adj. 构成组成部分的"
lurk,"vi. 潜伏；潜藏；埋伏
n. 潜伏；埋伏"
modification,n. 修改，修正；改变
organism,n. 有机体；生物体；微生物
overuse,"n. 过度使用
vt. 把…使用过度"
potential,"n. 潜能；可能性； 电势
adj. 潜在的；可能的；势的"
resistant,"n. 抵抗者
adj. 抵抗的，反抗的；顽固的"
slice,"n. 薄片；部分；菜刀，火铲
vt. 切下；把…分成部分；将…切成薄片
vi. 切开；割破"
tasty,"adj. 美味的；高雅的；有趣的
n. 可口的东西；引人入胜的东西"
accelerate,"vt. 使……加快；使……增速
vi. 加速；促进；增加"
adverse,adj. 不利的；相反的；敌对的（名词adverseness，副词adversely）
ancestor,n. 始祖，祖先；被继承人
ascertain,vt. 确定；查明；探知
barren,"n. 荒地
adj. 贫瘠的；不生育的；无益的；沉闷无趣的；空洞的"
beaten,"v. 打败（beat的过去分词）
adj. 被打败了的；筋疲力竭的；踏平的"
complication,n. 并发症；复杂；复杂化；混乱
critic,n. 批评家，评论家；爱挑剔的人
cross-breed,杂种
destructive,adj. 破坏的；毁灭性的；有害的，消极的
devastating,"adj. 毁灭性的；全然的
v. 摧毁（devastate的ing形式）；毁坏"
dramatically,"adv. 戏剧地；引人注目地
adv. 显著地，剧烈地"
geneticist,n. 遗传学者
graft,"n. 移植；嫁接；渎职
vt. 移植；嫁接；贪污
vi. 移植；嫁接；贪污
n. （非正式）脚踏实地地埋头苦干"
herbicide,n.  除草剂
hundredfold,"n. 百倍
adj. 百倍的"
hybridization,n. 杂交；配种； 杂化；杂种培殖
immune,"n. 免疫者；免除者
adj. 免疫的；免于……的，免除的"
insecticide,n. 杀虫剂
intervention,n. 介入；调停；妨碍
justify,"vi. 证明合法；整理版面
vt. 证明…是正当的；替…辩护"
myriad,"adj. 无数的；种种的
n. 无数，极大数量；无数的人或物"
obesity,n. 肥大，肥胖
opposition,n. 反对；反对派；在野党；敌对
papaya,n. 木瓜； 番木瓜树
pathologist,n. 病理学家
pesticide,n. 杀虫剂
poll,"n. 投票；民意测验；投票数；投票所
adj. 无角的；剪过毛的；修过枝的
vt. 投票；剪短；对…进行民意测验；获得选票
vi. 投票"
skepticism,n. 怀疑论；怀疑的态度
smack,"n. 滋味；少量；海洛因；风味
vt. 掴；用掌击
vi. 用掌击；带有…风味
adv. 猛然；直接地"
spray,"n. 喷雾；喷雾器；水沫
vt. 喷射
vi. 喷"
thrive,vi. 繁荣，兴旺；茁壮成长
vaccine,"n. 疫苗；牛痘苗
adj. 疫苗的；牛痘的"
pull off,"na. 赢得；做成某事；(在路边)停车；下载
 完成；脱下；努力实现"
ward off,"v. 挡开；架开
 避开；防止；挡住"
wipe out,"na. 擦去；遮蔽；遮蔽地域；封闭
 消灭；彻底摧毁；消灭，毁灭"
aisle,n. 通道，走道；侧廊
block,"n. 块；街区；大厦；障碍物
adj. 成批的，大块的；交通堵塞的
vt. 阻止；阻塞；限制；封盖"
cereal,"n. 谷类，谷物；谷类食品；谷类植物
adj. 谷类的；谷类制成的"
emblazon,vt. 颂扬；用纹章装饰
enrich,vt. 使充实；使肥沃；使富足
filler,n. （杂志等的）补白；装填者；装填物；充填器
flavor,"n. 情味，风味；香料；滋味
vt. 加味于"
formula,n.  公式，准则；配方；婴儿食品
fructose,n.  果糖；左旋糖
hormone,n.  激素，荷尔蒙
inalienable,adj. 不可分割的；不可剥夺的；不能让与的
ketchup,n. 番茄酱
lettuce,n.  生菜；莴苣；（美）纸币
mandatory,"adj. 强制的；托管的；命令的
n. 受托者（等于mandatary）"
nutrition,n. 营养，营养学；营养品
organic,adj.  有机的；组织的；器官的；根本的
pack,"n. 包装；一群；背包；包裹；一副
vt. 包装；压紧；捆扎；挑选；塞满
vi. 挤；包装货物；被包装；群集"
plummet,"n.  铅锤，坠子
vi. 垂直落下；（价格、水平等）骤然下跌"
prevalent,adj. 流行的；普遍的，广传的
protein,"n. 蛋白质；朊
adj. 蛋白质的"
skull,n. 头盖骨，脑壳
starch,"n. 淀粉；刻板，生硬
vt. 给…上浆"
subject,"n. 主题；科目； 主语；国民
adj. 服从的；易患…的；受制于…的
vt. 使…隶属；使屈从于…"
subsidiary,"n. 子公司；辅助者
adj. 附属的；辅助的"
sweetener,n. 甜料；好处；脱硫设备
toxin,n. 毒素；毒质
unbiased,adj. 公正的；无偏见的
veggie,n. 素食者
waltz,"n. 华尔兹舞；华尔兹舞曲
adj. 圆舞曲的；华尔兹舞的
vt. 硬拖；与…跳华尔兹舞
vi. 跳华尔兹舞；旋转；轻快地走动"
yield,"n. 产量；收益
vt. 屈服；出产，产生；放弃
vi. 屈服，投降"
yogurt,n. 酸奶酪， 酸乳（等于yoghurt）
fight off, 在战斗中击败（某人）; 竭力摆脱; 辟
go out of one's way,"na. 绕弯儿走；不怕麻烦；特地；故意
 特别费心；特地做；想尽办法"
go out of one's way to do sth.,
in place,"na. 得其所；适当的
 在适当的位置；在合适的位置；适当地"
know better than,"un. 心中有数；很明白(不能去)…
 明白事理而不至于做；很懂得；明事理而不至于"
carefree,adj. 无忧无虑的；不负责的
carpenter,"n. 木匠，木工
vt. 制作
vi. 当木匠，做木匠工作"
commence,v. 开始；着手；<英>获得学位
continuous,adj. 连续的，持续的；继续的；连绵不断的
dentist,"n. 牙科医生
牙医诊所"
enrol,"vi. 注册；参军
vt. 登记；卷起；入学；使入会"
formal,"n. 正式的社交活动；夜礼服
adj. 正式的；拘谨的；有条理的"
guts,"n. 内脏；飞碟游戏（比赛双方每组5人，相距15码，互相掷接飞碟）；狭道；贪食者（gut的复数）
v. 取出…的内脏；毁坏…的内部；贪婪地吃（gut的第三人称单数）
n. （俚语）勇气；决心"
innovative,adj. 革新的，创新的；新颖的；有创新精神的
pension,"n. 退休金，抚恤金；津贴；膳宿费
vt. 发给养老金或抚恤金"
polish,
retirement,n. 退休，退役
welfare,"n. 福利；幸福；福利事业；安宁
adj. 福利的；接受社会救济的"
youngster,n. 年轻人；少年
aphorism,n. 格言；警句
assume,"vt. 僭取；篡夺；夺取；擅用；侵占
vi. 假定；设想；承担；采取"
chirp,"n. 唧唧声；喳喳声； 啁啾声
vi. 吱喳而鸣；尖声地说；咂嘴打招呼
vt. 吱喳而鸣；尖声地说；咂嘴向…打招呼"
commit,vt. 犯罪，做错事；把...交托给；指派…作战；使…承担义务
confuse,vt. 使混乱；使困惑
coward,"n. 懦夫，懦弱的人
adj. 胆小的，懦怯的"
enthrall,vt. 迷住，使着迷
fraud,n. 欺骗；骗子；诡计
hard-bitten,adj. 顽强的；不屈服的
haste,"n. 匆忙；急忙；轻率
vt. 赶快
vi. 匆忙；赶紧"
hint,"n. 暗示；线索
vt. 暗示；示意
vi. 示意"
idiomatic,adj. 惯用的；符合语言习惯的；通顺的
jot,"vt. 略记；摘要记载下来
n. 少量；稍许"
linguistic,adj. 语言的；语言学的
naturally,"adv. 自然地
自然而然地
轻而易举
天生地
大方地"
Pakistani,"n. 巴基斯坦人
adj. 巴基斯坦的"
peculiar,"n. 特权；特有财产
adj. 特殊的；独特的；奇怪的；罕见的"
proverb,n. 谚语，格言；众所周知的人或事
puzzle,"n. 谜；难题；迷惑
vt. 使…困惑；使…为难；苦思而得出
vi. 迷惑；冥思苦想"
rack,"n.  齿条；架子；拷问台
vt. 折磨；榨取
vi. 变形；随风飘；小步跑"
resort,"n. 凭借，手段；度假胜地；常去之地
vi. 求助，诉诸；常去；采取某手段或方法"
retreat,"n. 撤退；休息寓所；撤退
vt. 退（棋）；使后退
vi. 撤退；退避；向后倾"
slip,"n. 滑，滑倒；片，纸片；错误；下跌；事故
abbr. 串行线路接口协议，是旧式的协议（Serial Line Interface Protocol）
adj. 滑动的；有活结的；活络的
vt. 使滑动；滑过；摆脱；塞入；闪开
vi. 滑动；滑倒；犯错；失足；减退"
suspicious,adj. 可疑的；怀疑的；多疑的
throat,"n. 喉咙；嗓子，嗓音；窄路
vt. 开沟于；用喉音说"
tongue-tied,adj. 结结巴巴的；发音不清的；缄默的
vague,adj. 模糊的；含糊的；不明确的；暧昧的
whimper,"n. 呜咽声；啜泣声；牢骚；怨声
vi. 呜咽；啜泣；低声抱怨
vt. 呜咽着说；啜泣着说"
at a loss,"na. 无办法；(猎犬)失去猎物嗅迹；亏本地
 不知所措；困惑；茫然"
jot down,"v. 草草记下
 匆匆记下；略记下；写下"
rack one's brains,"na. 绞尽脑汁
 殚思极虑；搜索枯肠；苦思苦想"
resort to,"na. 使用(武力)
 诉诸于；求助于；采取"
absolutely,adv. 绝对地；完全地
