tedious,adj. 沉闷的；冗长乏味的
solely,adv. 单独地，唯一地
applicant,n. 申请人，申请者；请求者
reservoir,n. 水库；蓄水池
outstanding,"adj. 杰出的；显著的；未解决的；未偿付的
n. 未偿贷款"
stand up for,"na. 拥护
 支持；维护；坚持"
speculate about,"v. 思考
 猜测；推测；思索某事"
speculate on,"v. 思考
 思索；考虑；推测"
capture sb.'s imagination,
in the form of,"na. 用…的形式
 以…形式；以……的形式；以某种形式"
a body of sth.,
invest ... with sth.,
in a ... manner,
in favor of,"na. 赞成；有利于；付与
 支持；赞同；为了支持"
prepare sb. for, 准备；为…作准备；为…做准备
in the company of,"un. 跟…在一起；在…面前；在…的簇拥下
 在…的陪同下；陪伴，伴随；在……陪同下"
Sigmund Freud, 弗洛伊德；佛洛伊德；佛洛依德
Sally Ride,
Bruce Lee, 李小龙；布鲁斯李；李小龙传
grant,"n. 拨款； 授予物
vt. 授予；允许；承认
vi. 同意"
conduct,"n. 进行；行为；实施
vi. 导电；带领
vt. 管理；引导；表现"
accustomed,"v. 使习惯于（accustom的过去分词）
adj. 习惯的；通常的；独有的"
utility,"n. 实用；效用；公共设施；功用
adj. 实用的；通用的；有多种用途的"
exaggeration,n. 夸张；夸大之词；夸张的手法
shrug,"n. 耸肩
vi. 耸肩
vt. 耸肩，耸肩表示"
sector,"n. 部门；扇形，扇区；象限仪；函数尺
vt. 把…分成扇形"
recruit,"n. 招聘；新兵；新成员
vi. 复原；征募新兵；得到补充；恢复健康
vt. 补充；聘用；征募；使…恢复健康"
employee,n. 雇员；从业员工
entrepreneur,n. 企业家；承包人；主办者
entrepreneurship,n. 企业家精神
persevere,vi. 坚持；不屈不挠；固执己见（在辩论中）
persevering,adj. 坚忍的；不屈不挠的
endure,"vt. 忍耐；容忍
vi. 忍耐；持续"
internal,"n. 内脏；本质
adj. 内部的；里面的；体内的；（机构）内部的"
innovation,n. 创新，革新；新方法
assign,"vt. 分配；指派； 赋值
vi. 将财产过户（尤指过户给债权人）"
feature,"n. 特色，特征；容貌；特写或专题节目
vt. 特写；以…为特色；由…主演
vi. 起重要作用"
invaluable,adj. 无价的；非常贵重的
furthermore,adv. 此外；而且
conventional,adj. 符合习俗的，传统的；常见的；惯例的
sufficient,adj. 足够的；充分的
shift,"n. 移动；变化；手段；轮班
vt. 转移；改变；替换
vi. 移动；转变；转换"
schedule,"n. 时间表；计划表；一览表
vt. 安排，计划；编制目录；将……列入计划表"
flexible,adj. 灵活的；柔韧的；易弯曲的
vigorous,adj. 有力的；精力充沛的
ethic,"n. 伦理；道德规范
adj. 伦理的；道德的（等于ethical）"
work ethic,"n. 新教伦理
 职业道德；工作伦理；工作道德"
parallel,"n. 平行线；对比
adj. 平行的；类似的，相同的
vt. 使…与…平行"
exhibit,"n. 展览品；证据；展示会
vt. 展览；显示；提出（证据等）
vi. 展出；开展览会"
collective,"n. 集团；集合体；集合名词
adj. 集体的；共同的；集合的；集体主义的"
persistence,n. 持续；固执；存留；坚持不懈；毅力
stunning,"adj. 极好的；使人晕倒的；震耳欲聋的
v. 把…打昏；使震耳欲聋；使大吃一惊（stun的ing形式）"
enhance,vt. 提高；加强；增加
strive,vi. 努力；奋斗；抗争
stir,"n. 搅拌；轰动
vi. 搅动；传播；走动
vt. 搅拌；激起；惹起"
functionality,n. 功能； 泛函性，函数性
seamlessly,adv. 无缝地
weave,"vi. 纺织；编成；迂回行进
vt. 编织；编排；使迂回前进
n. 织物；织法；编织式样"
fabric,n. 织物；布；组织；构造；建筑物
motivate,vt. 刺激；使有动机；激发…的积极性
retain,vt. 保持；雇；记住
resourceful,adj. 资源丰富的；足智多谋的；机智的
perceive,"vt. 察觉，感觉；理解；认知
vi. 感到，感知；认识到"
no exaggeration to say ...,
no exaggeration that ...,
have a passion for sth.,
for the sake of,"adv. 为了…起见
 为了…的利益；为了…的目的；为了…的缘故"
strive for,"v. 争取；奋发图强；收下
 为…而奋斗；为…奋斗；力求"
be based on,"v. 以…为基础
 根据；基于；以……为根据"
tap into,"na. 同“tap”
 利用；挖掘；打入"
artificial,adj. 人造的；仿造的；虚伪的；非原产地的；武断的
intelligence,n. 智力；情报工作；情报机关；理解力；才智，智慧；天分
artificial intelligence,"n. 人工智能
 人工智慧；人工智能专业研究生排名；人工知能"
characteristic,"n. 特征；特性；特色
adj. 典型的；特有的；表示特性的"
visual,adj. 视觉的，视力的；栩栩如生的
idealistic,adj. 理想主义的；唯心论的；唯心主义者的；空想家的
maturity,n. 成熟；到期；完备
valid,adj. 有效的；有根据的；合法的；正当的
communicative,adj. 交际的；爱说话的，健谈的；无隐讳交谈的
proof,"n. 证明；证据；校样；考验；验证；试验
adj. 防…的；不能透入的；证明用的；耐…的
vt. 试验；校对；使不被穿透"
illustrate,"vi. 举例
vt. 阐明，举例说明；图解"
buddy,"n. 伙伴，好朋友；密友；小男孩
vi. 做好朋友，交朋友"
evaluation,n. 评价； 评估；估价；求值
self-evaluation,n. 自我评价；自我评估
perceptive,adj. 感知的，知觉的；有知觉力的
capability,n. 才能，能力；性能，容量
renew,"vt. 使更新；续借；续费；复兴；重申
vi. 更新；重新开始"
kindling,n. 点火；引火物；兴奋
offend,"vt. 冒犯；使…不愉快
vi. 违反；进攻；引起不舒服"
offended,"adj. 不舒服，生气
v. 冒犯（offend的过去分词）"
individualism,n. 个人主义；利己主义；个人特征
condemn,vt. 谴责；判刑，定罪；声讨
infer,"vi. 推断；作出推论
vt. 推断；推论"
entree,n. （美）主菜；（法）入场许可
consequently,adv. 因此；结果；所以
cater,vt. 投合，迎合；满足需要；提供饮食及服务
caterer,n. 备办食物者；承办酒席的人；筹备人
episode,n. 插曲；一段情节；插话；有趣的事件
incidental,"n. 附带事件；偶然事件；杂项
adj. 附带的；偶然的；容易发生的"
impulsive,adj. 冲动的；受感情驱使的；任性的
scale,"n. 规模；比例；鳞；刻度；天平；数值范围
vt. 测量；攀登；刮鳞；依比例决定
vi. 衡量；攀登；剥落；生水垢"
ironically,adv. 讽刺地；说反话地
discrimination,n. 歧视；区别，辨别；识别力
implement,"n. 工具，器具；手段
vt. 实施，执行；实现，使生效"
somehow,adv. 以某种方法；莫名其妙地
elevation,n. 高地；海拔；提高；崇高；正面图
automatic,"n. 自动机械；自动手枪
adj. 自动的；无意识的；必然的"
whereas,conj. 然而；鉴于；反之
influential,"adj. 有影响的；有势力的
n. 有影响力的人物"
merit,"n. 优点，价值；功绩；功过
vt. 值得
vi. 应受报答"
inspirational,adj. 鼓舞人心的；带有灵感的，给予灵感的
demonstrate,"vt. 证明；展示；论证
vi. 示威"
networking,"n. 计算机网络的设计；一种互助性的网络体系
v. 交流（network的ing形式）；联络"
excel,"vt. 超过；擅长
vi. (在某方面)胜过(或超过)别人"
be gifted with, 生就；有…天赋；禀赋
be crazy about,"v. 迷上
 为之疯狂；迷恋；对…着迷"
be amazed at,"na. 对…大为惊异
 对……感到惊讶；对某事感到惊讶；对……感到惊奇"
whisper in one's ear,
whisper sth. in one's ear,
be illustrative of,可用...给以说明
run out,"na. 耗尽；用光；过有效期；失效
 用完；用尽；到期"
run out of sth.,
miss out on,得不到期望中的东西，没得到期望中的东西，错过机会；不能掌握
on a large scale,"na. 大规模地
 大规模的；大批量；大量"
be depicted as,
strategic,adj. 战略上的，战略的
anniversary,n. 周年纪念日
series,n. 系列，连续； 串联；级数；丛书
geophysicist,n.  地球物理学者
geophysics,n. 地球物理；地球物理学
geological,adj. 地质的，地质学的
geology,n. 地质学；地质情况
undergraduate,"n. 大学生；大学肄业生
adj. 大学生的"
rejuvenate,"vt. 使年轻；使更新；使恢复精神；使复原
vi. 复原；变年轻"
alma mater,
seminar,n. 讨论会，研讨班
random,"n. 随意
adj.  随机的；任意的；胡乱的
adv. 胡乱地"
entrust,vt. 委托，信托
discipline,"n. 学科；纪律；训练；惩罚
vt. 训练，训导；惩戒"
multidiscipline, 多学科；多学科化；综合
crust,"n. 地壳；外壳；面包皮；坚硬外皮
vi. 结硬皮；结成外壳
vt. 盖以硬皮；在…上结硬皮"
maximize,"vt. 取…最大值；对…极为重视
vi. 尽可能广义地解释；达到最大值"
typical,adj. 典型的；特有的；象征性的
typically,adv. 代表性地；作为特色地
workaholic,"n. 专心工作的人；醉心于工作的人；为免遭辞退而工作过份卖力的人
adj. 醉心于工作的"
lunatic,"adj. 疯狂的；精神错乱的；愚蠢的
n. 疯子；疯人"
explicit,adj. 明确的；清楚的；直率的；详述的
resound,"vt. 回响；传颂；大声讲
vi. 回响；鸣响；被传颂"
urgent,adj. 紧急的；急迫的
doctoral,"n. 博士论文
adj. 博士的；博士学位的；有博士学位的"
gap,"n. 间隙；缺口；差距；分歧
vt. 使形成缺口
vi. 裂开"
survey,"n. 调查；测量；审视；纵览
vt. 调查；勘测；俯瞰
vi. 测量土地"
faint,"n.  昏厥，昏倒
adj. 模糊的；头晕的；虚弱的； 衰弱的
vi. 昏倒；变得微弱；变得没气力"
tumor,n. 肿瘤；肿块；赘生物
liver,n. 肝脏；生活者，居民
resolute,adj. 坚决的；果断的
resolutely,adv. 坚决地；毅然地
chase,"n. 追逐；追赶；追击
vt. 追逐；追捕；试图赢得；雕镂
vi. 追逐；追赶；奔跑"
patriotism,n. 爱国主义；爱国心，爱国精神
embed,vt. 栽种；使嵌入，使插入；使深留脑中
fulfill,vt. 履行；实现；满足；使结束（等于fulfil）
exceptional,"n. 超常的学生
adj. 异常的，例外的"
catch one's eye,"un. 胡说；引起…的注意
 引人注目；引起某人的注意；引起某人注意"
pass sth. down,"un. 过；一闪即逝；下达
 传递；传下去；传下来"
be admitted to, 被…录取；获准做某事；获准进入
stay on,"na. 赖着不走；保持
 继续停留；存留在；继续呆下去"
remain committed to,
be entrusted to do sth.,
hole up,"na. 蛰居洞中；躲藏；安置…在避难处；监禁
 龟缩；藏匿；净胜穴数"
race against time, 与时间赛跑；争分夺秒；和时间赛跑
in urgent need of,
pay off,"na. 偿清(债务等)；付清；发清(工钱)；发清工钱解雇
 还清；偿还；报复"
miss the key window for sth.,
be embedded in, 嵌入在…里；埋于
Changchun Institute of Geology,
phase,"n. 月相
n. （月亮的）盈亏
n. 时期"
label,"vt. 标注；贴标签于
n. 标签；商标；签条"
adolescence,n. 青春期
infant,"n. 婴儿；幼儿；未成年人
adj. 婴儿的；幼稚的；初期的；未成年的"
infancy,n. 初期；婴儿期；幼年
peculiar,"n. 特权；特有财产
adj. 特殊的；独特的；奇怪的；罕见的"
acquaint,vt. 使熟悉；使认识
previous,"adj. 以前的；早先的；过早的
adv. 在先；在…以前"
norm,n. 标准，规范
induction,n.  感应；归纳法；感应现象；入门培训，入职仪式，就职；诱导
sensible,"n. 可感觉到的东西; 敏感的人;
adj. 明智的; 通情达理的; 合乎情理的; 意识到的，能感觉到的;"
equivalent,"n. 等价物，相等物
adj. 等价的，相等的；同意义的"
radical,"n. 基础；激进分子； 原子团； 根数
adj. 激进的；根本的；彻底的"
quit,"n. 离开； 退出
vt. 离开；放弃；停止；使…解除
adj. 摆脱了…的；已经了结的
vi. 离开；辞职；停止"
spouse,"n. 配偶
vt. 和…结婚"
stability,n. 稳定性；坚定，恒心
static,"n. 静电；静电干扰
adj. 静态的；静电的；静力的"
proportion,"n. 比例，占比；部分；面积；均衡
vt. 使成比例；使均衡；分摊"
saddle,"n. 鞍，鞍状物；车座；拖具
vt. 承受；使负担；装以马鞍
vi. 跨上马鞍"
heir,n.  继承人；后嗣；嗣子
resent,vt. 怨恨；愤恨；厌恶
fluid,"n. 流体；液体
adj. 流动的；流畅的；不固定的"
allowance,"n. 津贴，零用钱；允许；限额
vt. 定量供应"
transition,n. 过渡；转变； 转换；变调
predict,"vi. 作出预言；作预料，作预报
vt. 预报，预言；预知"
guideline,"n. 指导方针
参考"
permanent,"n. 烫发（等于permanent wave）
adj. 永久的，永恒的；不变的"
status,n. 地位；状态；情形；重要身份
conjunction,n. 结合； 连接词；同时发生
incentive,"n. 动机；刺激
adj. 激励的；刺激的"
completion,n. 完成，结束；实现
representation,n. 代表；表现；表示法；陈述
implicit,adj. 含蓄的；暗示的；盲从的
autonomous,adj. 自治的；自主的；自发的
contemporary,"n. 同时代的人；同时期的东西
adj. 当代的；同时代的；属于同一时期的"
witness,"n. 证人；目击者；证据
vt. 目击；证明；为…作证
vi. 作证人"
deceive,v. 欺骗；行骗
resume,"n. 摘要； 履历，简历
vi. 重新开始，继续
vt. 重新开始，继续；恢复，重新占用"
reinforce,"n. 加强；加固物；加固材料
vt. 加强，加固；强化；补充
vi. 求援；得到增援；给予更多的支持"
take a break from,
return to sth.,
saddle sb. with sth.,
keep a distance from,
run away from,"na. 学生从(学校)逃出；水兵从(船里)逃出；放弃(主义等)
 逃避；逃离；回避"
make allowance for sth.,
make allowances for sth.,
give way to,"v. 让步；退却
 让位于；给…让路；给…让路，对…让步"
have an effect on,"na. 对…有影响
 对……产生影响；对……产生作用；对……有效果"
deceive sb. into doing sth.,
back off,"na. 退避；后退
 滚开；放弃；让步"
wonder at,"na. 看见…而惊奇；惊讶
 对…感到惊讶；吃惊；对……感到惊奇"
dilemma,n. 困境；进退两难；两刀论法
manipulate,vt. 操纵；操作；巧妙地处理；篡改
defy,"n. 挑战；对抗
vt. 藐视；公然反抗；挑衅；使落空"
recession,n. 衰退；不景气；后退；凹处
grave,"n. 墓穴，坟墓；死亡
adj. 重大的；严肃的；黯淡的
vt. 雕刻；铭记"
penalty,n. 罚款，罚金；处罚
charming,"adj. 迷人的；可爱的
v. 使陶醉（charm的现在分词）"
tone,"n. 语气；色调；音调；音色
vt. 增强；用某种调子说
vi. 颜色调和；呈现悦目色调"
resume,"n. 摘要； 履历，简历
vi. 重新开始，继续
vt. 重新开始，继续；恢复，重新占用"
odds,n. 几率；胜算；不平等；差别
permissive,adj. 许可的；自由的；宽容的；（两性关系）放纵的
perspective,"n. 观点；远景；透视图
adj. 透视的"
upright,"n. 垂直；竖立
adj. 正直的，诚实的；垂直的，直立的；笔直的；合乎正道的"
urge,"n. 强烈的欲望，迫切要求；推动力
vi. 强烈要求
vt. 力劝，催促；驱策，推进"
suspend,"vt. 延缓，推迟；使暂停；使悬浮
vi. 悬浮；禁赛"
luxury,"n. 奢侈，奢华；奢侈品；享受
adj. 奢侈的"
appetite,n. 食欲；嗜好
loyalty,n. 忠诚；忠心；忠实；忠于…感情
