guitar,"n. 吉他，六弦琴
vi. 弹吉他"
solar system,"n. 太阳系；类太阳系
 太阳能系统；太阳系统；太阳系统炮"
fact file,事实档案
be covered by,"un. 担保(品)；场所；触球；护航飞机
 被…覆盖；被某物覆盖；强调动作"
as far as we know, 据我们所知；正如我方所知；据我选所知
sea level,"n. 海平面
 海面；海拔；平均海面"
what's more, 而且；另外；更重要的是
provide ... with ...,
plastic pollution, 塑料污染
cut down,"na. 砍倒；削减；减价；夺去…活动力
 减少；缩短；降低"
hundreds of,"na. 好几百
 数以百计的；成百上千；成百上千的"
blow away,"na. 吹走；用枪杀死某人；震惊；主要用于美式英语
 刮走；吹散；吹跑"
spacesuit,n. 航天服；太空服
collect,"vt. 收集；募捐
adj. 由收件人付款的
vi. 收集；聚集；募捐
adv. 由收件人付款地"
leave,"vt. 离开；留下；遗忘；委托
vi. 离开，出发；留下
n. 许可，同意；休假"
kilometre,n.  公里； 千米
weak,adj.  疲软的；虚弱的；无力的；不牢固的
tie,"n. 领带；平局；鞋带；领结；不分胜负
vi. 打结；不分胜负；被用带（或绳子等）系住
vt. 系；约束；打结；与…成平局"
low,"adj. 低的，浅的；卑贱的；粗俗的；消沉的
adv. 低声地；谦卑地，低下地
n. 低；低价；低点；牛叫声
vi. 牛叫"
weigh,"n. 权衡；称重量
vt. 权衡；考虑；称…重量
vi. 重量为…；具有重要性；成为…的重荷；起锚"
breathe,"vi. 呼吸；低语；松口气；（风）轻拂
vt. 呼吸；使喘息；流露；低声说"
facility,n. 设施；设备；容易；灵巧
adventure,"n. 冒险；冒险精神；投机活动
vt. 冒险；大胆说出
vi. 冒险"
pass,"n. 及格；经过；护照；途径；传球
vt. 通过；经过；传递
vi. 经过；传递；变化；终止"
experiment,"n. 实验，试验；尝试
vi. 尝试；进行实验"
prepare,"vt. 准备；使适合；装备；起草
vi. 预备；做好思想准备"
dream,"n. 梦想，愿望；梦
adj. 梦的；理想的；不切实际的
vt. 梦想；做梦；想到
vi. 梦想；做梦，梦见；想到"
chance,"n. 机会，际遇；运气，侥幸；可能性
vt. 偶然发生；冒……的险
vi. 碰巧；偶然被发现"
send,"n. 上升运动
vi. 派人；寄信
vt. 发送，寄；派遣；使进入；发射"
introduction,n. 介绍；引进；采用；入门；传入
view,"n. 观察；视野；意见；风景
vt. 观察；考虑；查看"
someday,adv. 有一天，有朝一日
experience,"n. 经验；经历；体验
vt. 经验；经历；体验"
lander,n. 着陆器；出铁槽；把钩工人
island,"n. 岛；岛屿；安全岛；岛状物
adj. 岛的
vt. 孤立；使成岛状"
ancient,"n. 古代人；老人
adj. 古代的；古老的，过时的；年老的"
poem,n. 诗
express,"n. 快车，快递，专使；捷运公司
vt. 表达；快递
adj. 明确的；迅速的；专门的"
determination,n. 决心；果断；测定
universe,n. 宇宙；世界；领域
already,adv. 已经，早已；先前
century,n. 世纪，百年；（板球）一百分
neighbour,"n. n. 邻居;同胞；仁慈的人
vt. 邻接
vi. 住在邻近；毗邻；友善，和睦
adj. 邻居的；邻近的"
circle,"n. 循环，周期；圆；圈子；圆形物
vt. 画圆圈；环绕…移动
vi. 盘旋，旋转；环行"
surface,"n. 表面；表层；外观
adj. 表面的，肤浅的
vt. 使浮出水面；使成平面
vi. 浮出水面"
release,"n. 释放；发布；让与
vt. 释放；发射；让与；允许发表"
kilogram,n. 公斤；千克
programme,"n. 计划，规划；节目；程序
vt. 规划；拟…计划
vi. 编程序；制作节目"
space station,"n. 太空站；航天站；宇宙空间站
 国际空间站；空间电台；宇宙站"
do exercise, 锻炼；做运动；做练习
take photos, 照相；拍照；拍照片
get into orbit,
thousands of,"adj. 几千；成千上万
 成千上万的；数以千计的；数千"
guide,"n. 指南；向导；入门书
vt. 引导；带领；操纵
vi. 担任向导"
east,"n. 东方；东风；东方国家
adj. 东方的；向东的；从东方来的
adv. 向东方，在东方"
west,"n. 西；西方；西部
adj. 西方的；朝西的
adv. 在西方；向西方；自西方"
mix,"vt. 配制；混淆；使混和；使结交
vi. 参与；相混合；交往
n. 混合；混合物；混乱"
western,"n. 西方人；西部片，西部小说
adj. 西方的，西部的；有西方特征的"
style,"n. 风格；时尚；类型；字体
vt. 设计；称呼；使合潮流
vi. 设计式样；用刻刀作装饰画"
popular,adj. 流行的，通俗的；受欢迎的；大众的；普及的
site,"n. 地点；位置；场所
vt. 设置；为…选址"
across,"prep. 穿过；横穿
adv. 横过；在对面"
adult,"n. 成年人
adj. 成年的；成熟的"
senior,"n. 上司；较年长者；毕业班学生
adj. 高级的；年长的；地位较高的；年资较深的，资格较老的"
customer,n. 顾客；家伙
design,"n. 设计；图案
vt. 设计；计划；构思
vi. 设计"
else,"adj. 别的；其他的
adv. 其他；否则；另外"
suggestion,n. 建议；示意；微量，细微的迹象
tip,"n. 小费；尖端；小建议，小窍门；轻拍
vt. 给小费；倾斜；翻倒；装顶端
vi. 给小费；翻倒；倾覆"
historic,adj. 有历史意义的；历史上著名的
list,"n.  列表；清单；目录
vi. 列于表上
vt. 列出；记入名单内"
landscape,"n. 风景；风景画；景色；山水画；乡村风景画；地形；（文件的）横向打印格式
vt. 对…做景观美化，给…做园林美化；从事庭园设计
vi. 美化（环境等），使景色宜人；从事景观美化工作，做庭园设计师"
memory,n. 记忆，记忆力；内存， 存储器；回忆
general,"n. 一般；将军，上将；常规
adj. 一般的，普通的；综合的；大体的"
sight,"n. 视力；景象；眼界；见解
adj. 见票即付的；即席的
vt. 看见；瞄准
vi. 瞄准；观看"
natural,"adj. 自然的；物质的；天生的；不做作的
n. 自然的事情；白痴；本位音"
almost,adv. 差不多，几乎
become,"vt. 适合；相称
vi. 成为；变得；变成"
gateway,n. 门；网关；方法；通道；途径
influence,"n. 影响；势力；感化；有影响的人或事
vt. 影响；改变"
artwork,n. 艺术品；插图；美术品
painting,"n. 绘画；油画；着色
v. 绘画（paint的ing形式）；涂色于"
scene,n. 场面；情景；景象；事件
wife,n. 妻子，已婚妇女；夫人
stone,"n. 石头；结石； 宝石
adj. 石的，石制的
vt. 向扔石块；用石头铺"
reflection,n. 反射；沉思；映象
tourist spot, 旅游景点；旅游点；观光景点
light up,"na. 点灯；照亮；点香烟；变快活
 点燃；点亮；点火"
in the centre of, 在……的中心；在……中部；在……中心
be interested in,"v. 对…感兴趣
 对……感兴趣；对某方面感兴趣；对……有兴趣"
historic site,"un. 古址
 古迹；遗址；历史古迹"
in memory of,"na. 纪念…
 为纪念；为了纪念；以纪念"
literature,n. 文学；文献；文艺；著作
act,"n. 行为，行动；法令，法案；（戏剧，歌剧的）一幕，段；装腔作势
vt. 扮演；装作，举动像
vi. 行动；扮演，充当；表现，举止；假装，演戏；起作用，见效"
appreciate,"vi. 增值；涨价
vt. 欣赏；感激；领会；鉴别"
join,"vt. 参加；结合；连接
vi. 加入；参加；结合
n. 结合；连接；接合点"
definitely,adv. 清楚地，当然；明确地，肯定地
fair,"n. 展览会；市集；美人
adj. 公平的；美丽的，白皙的； 晴朗的
vi. 转晴
adv. 公平地；直接地；清楚地"
rocket,"n. 火箭
vt. 用火箭运载
vi. 飞驰，飞快地移动；迅速增加"
launch,"vt. 发射（导弹、火箭等）；发起，发动；使…下水
vi. 开始；下水；起飞
n. 发射；发行，投放市场；下水；汽艇"
shout,"n. 呼喊；呼叫
vi. 呼喊；喊叫；大声说
vt. 呼喊；大声说"
power,"n. 力量，能力；电力，功率；政权，势力； 幂
adj. 借影响有权势人物以操纵权力的
vt. 激励；供以动力；使…有力量
vi. 快速前进"
moment,n. 片刻，瞬间，时刻；重要，契机
member,n. 成员；会员；议员
shape,"n. 形状；模型；身材；具体化
vt. 形成；塑造，使成形；使符合
vi. 形成；成形；成长"
hike,"n. 远足；徒步旅行；涨价
vt. 提高；拉起；使…高涨
vi. 远足；徒步旅行；上升"
recently,adv. 最近；新近
attend,"vi. 出席；致力于；照料；照顾
vt. 出席；上（大学等）；照料；招待；陪伴"
charity,n. 慈善；施舍；慈善团体；宽容；施舍物
sale,n. 销售；出售；拍卖；销售额；廉价出售
snack,"n. 小吃，快餐；一份，部分
vi. 吃快餐，吃点心"
decorate,"vt. 装饰；布置；授勋给
vi. 装饰；布置"
difference,n. 差异；不同；争执
compete,vi. 竞争；比赛；对抗
event,n. 事件，大事；项目；结果
spoon,"n. 匙，勺子；一杓的量
vt. 用匙舀；使成匙状
vi. 轻轻向上击"
annual,"n. 年刊，年鉴；一年生植物
adj. 年度的；每年的"
fantastic,"n. 古怪的人
adj. 奇异的；空想的；异想天开的；古怪的；极好的，极出色的；不可思议的；不切实际的"
dollar,n. 美元
pie,"n. 馅饼；饼图；爱说话的人
vt. 使杂乱"
equipment,n. 设备，装备；器材
clubs fair,
solar power,"n. 太阳能
 美国国际太阳能展览会；太阳能发电；年美国国际太阳能展览会"
of course,"na. 当然
 自然；当然可以；当然了"
remote control,"n. 遥控；遥控器
 远程控制；摇控器；遥控装置"
turn around,"na. 转身；使向好的方向转变
 回转；转过身；转过来"
make a difference,"na. 发生差别；使…有差别；(结果等)是重要的
 有关系；有影响；很重要"
primary school,"n. 小学
 本村小学；小学教育；小学组"
fall off,"na. 下降；(从马上)掉下来；扫兴颓丧；离开
 跌落；减少；衰退"
ring,"n. 戒指；铃声，钟声；拳击场；环形物
vi. 按铃；敲钟；回响；成环形
vt. 按铃；包围；敲钟；套住"
collection,n. 采集，聚集； 征收；收藏品；募捐
own,"vt. 拥有；承认
vi. 承认
adj. 自己的；特有的
n. 自己的"
valuable,"n. 贵重物品
adj. 有价值的；贵重的；可估价的"
handle,"n.  把手；柄；手感；口实
vt. 处理；操作；运用；买卖；触摸
vi. 搬运；易于操纵"
glove,"n. 手套
vt. 给…戴手套"
add,"n. 加法，加法运算
vi. 加；增加；加起来；做加法
vt. 增加，添加；补充说；计算…总和"
envelope,n. 信封，封皮；包膜； 包层；包迹
absolutely,adv. 绝对地；完全地
seem,vi. 似乎；像是；装作
impossible,"n. 不可能；不可能的事
adj. 不可能的；不可能存在的；难以忍受的；不真实的"
single,"n. 一个；单打；单程票
adj. 单一的；单身的；单程的
vt. 选出
vi. 击出一垒安打"
nail,"vt. 钉；使固定；揭露
n.  指甲；钉子"
explain,v. 说明；解释
bit,"n.  比特（二进位制信息单位）；少量；马嚼子；辅币；老一套；一点，一块
adj. 很小的；微不足道的
vt. 咬（bite的过去式和过去分词）
vt. 控制
adv. 有点儿；相当"
similar,"n. 类似物
adj. 相似的"
coin,"n. 硬币，钱币
vt. 铸造（货币）；杜撰，创造"
soft,"n. 柔性；柔软的东西；柔软部分
adj. 软的，柔软的；温柔的，温和的；软弱的；笨的
adv. 柔软地；温和地"
sticker,"n. 尖刀；难题；张贴物；坚持不懈的人
vt. 给…贴上标签价
adj. 汽车价目标签的；汽车标签价的"
waste,"n. 浪费；废物；荒地；损耗；地面风化物
adj. 废弃的；多余的；荒芜的
vt. 浪费；消耗；使荒芜
vi. 浪费；变消瘦；挥霍钱财"
item,"n. 条款，项目；一则；一件商品（或物品）
adj. 又，同上
v. 记下；逐条列出"
result,"n. 结果；成绩；答案；比赛结果
vi. 结果；导致；产生"
wrapper,n. 包装材料； 包装纸；书皮
bar,"n. 条，棒；酒吧；障碍；法庭
prep. 除……外
vt. 禁止；阻拦"
include,vt. 包含，包括
size,"n. 大小；尺寸
adj. 一定尺寸的
vt. 依大小排列
vi. 可比拟"
pattern,"n. 模式；图案；样品
vt. 模仿；以图案装饰
vi. 形成图案"
produce,"n. 农产品，产品
vt. 生产；引起；创作；生育，繁殖
vi. 生产，创作"
attract,"vt. 吸引；引起
vi. 吸引；有吸引力"
insect,n. 昆虫；卑鄙的人
object,"n. 目标；物体；客体；宾语
vt. 提出…作为反对的理由
vi. 反对；拒绝"
flat,"n. 平地；公寓；平面
adj. 平的；单调的；不景气的；干脆的；平坦的；扁平的；浅的
vi. 逐渐变平；以降调唱（或奏）
vt. 使变平；使（音调）下降，尤指降半音
adv. （尤指贴着另一表面）平直地；断然地；水平地；直接地，完全地"
language,n. 语言；语言文字；表达能力
treasure,"n. 财富，财产；财宝；珍品
vt. 珍爱；珍藏"
unlock,"vt. 开启；开…的锁；表露
vi. 解开；解除锁定；被开启"
real,"n. 现实；实数
adj. 实际的；真实的；实在的
adv. 真正地；确实地"
add ... to ...,
soft drink,"n. 软饮料（不含酒精）
 汽水；软性饮料；清凉饮料"
a waste of time, 浪费时间；时间的浪费；消耗时间
pocket money,"n. 零用钱；常用于英式英语
 零花钱；给小孩零用钱的利与弊；两条牛仔龙"
all over the world,"adv. 遍及全世界
 世界各地；遍及世界；犹如全世界所知"
