fallacy,n. 谬论，谬误
esthetic,"n. 美学；审美家；唯美主义者
adj. 审美的（等于aesthetic）；感觉的"
scar,"n. 创伤；伤痕
vt. 伤害；给留下伤痕
vi. 结疤；痊愈"
jealousy,n. 嫉妒；猜忌；戒备
preface,"n. 前言；引语
vt. 为…加序言；以…开始
vi. 作序"
naked,adj. 裸体的；无装饰的；无证据的；直率的
exempt,"n. 免税者；被免除义务者
adj. 被免除的；被豁免的
vt. 免除；豁免"
predominant,adj. 主要的；卓越的；支配的；有力的；有影响的
underscore,"n. 底线， 下划线
vt. 强调；划线于…下"
dietary,"n. 规定的食物；饮食的规定；食谱
adj. 饮食的，饭食的，规定食物的"
capsule,"n. 胶囊； 蒴果；太空舱；小容器
adj. 压缩的；概要的
vt. 压缩；简述"
meditation,n. 冥想；沉思，深思
regiment,"n. 团；大量
vt. 把…编成团；严格地管制"
hamper,"n. 食盒，食篮；阻碍物
vt. 妨碍；束缚；使困累"
stylish,adj. 时髦的；现代风格的；潇洒的
costume,"n. 服装，装束；戏装，剧装
vt. 给…穿上服装"
galaxy,"n. 银河； 星系；银河系；一群显赫的人
n. 三星智能手机品牌 2015年三星中国公布Galaxy的中文名称为“盖乐世”（Galaxy）
"
symphony,n. 交响乐；谐声，和声
majestic,adj. 庄严的；宏伟的
bruise,"n. 擦伤；挫伤；青肿
vt. 使受瘀伤；使受挫伤
vi. 擦伤；受伤"
collide,"vi. 碰撞；抵触，冲突
vt. 使碰撞；使相撞"
elicit,vt. 抽出，引出；引起
barren,"n. 荒地
adj. 贫瘠的；不生育的；无益的；沉闷无趣的；空洞的"
stumble,"n. 绊倒；蹒跚而行
vi. 踌躇，蹒跚；失足；犯错
vt. 使…困惑；使…绊倒"
knit,"vi. 编织；结合；皱眉
vt. 编织；结合
n. 编织衣物；编织法"
illuminate,"vt. 阐明，说明；照亮；使灿烂；用灯装饰
vi. 照亮"
ethic,"n. 伦理；道德规范
adj. 伦理的；道德的（等于ethical）"
lure,"n. 诱惑；饵；诱惑物
vt. 诱惑；引诱"
novelty,n. 新奇；新奇的事物；新颖小巧而廉价的物品
interwoven,v. 互相编织
fracture,"n. 破裂，断裂； 骨折
vt. 使破裂
vi. 破裂；折断"
saint,
sentiment,n. 感情，情绪；情操；观点；多愁善感
embody,vt. 体现，使具体化；具体表达
embodiment,n. 体现；化身；具体化
mortal,"adj. 凡人的；致死的；终有一死的；不共戴天的
n. 人类，凡人"
degenerate,"n. 堕落的人
adj. 退化的；堕落的
vi. 退化；堕落
vt. 使退化；恶化"
checkpoint,n. 检查站，关卡
purify,"vt. 净化；使纯净
vi. 净化；变纯净"
divine,"n. 牧师；神学家
adj. 神圣的；非凡的；天赐的；极好的
vt. 占卜；预言；用占卜勘探
vi. 占卜；预言；使用占卜勘探矿"
be addicted to,"na. 嗜好
 沉溺于；对……上瘾；沉迷于"
on the rise,"na. 在涨；在增加；好转
 在上升；正在上升；在上涨"
be exempt from,"v. 免除
 被免除；可免除；得到豁免"
distract from sth.,
distract sb. from sth.,
stumble through, 行动踌躇
stumble across,"un. 踌躇地转着；偶然发现
 无意中发现"
stumble into,"un. 跌跌冲冲地从…走到…；跌进
 偶尔走入；无意中卷入；无意中走进"
approve of,"na. 赞成
 赞同；同意；赞赏，同意"
enquire about,"询问,打听"
wear out,"na. 精疲力尽；用坏；穿破；磨破
 磨损；穿坏；穿旧"
seek out,"na. 找出；寻求；想获得
 挑出；找到；搜寻出"
from a ... perspective,
be accountable to,
rectangular,adj. 矩形的；成直角的
reshuffle,"n. 重新洗牌；改组
vt. 重新洗牌；改组；重作安排"
disperse,"vt. 分散；使散开；传播
adj. 分散的
vi. 分散"
exquisite,"n. 服饰过于讲究的男子
adj. 精致的；细腻的；优美的，高雅的；异常的；剧烈的"
stockholder,n. 股东；股票持有人
deduce,vt. 推论，推断；演绎出
clan,n. 宗族；部落；集团
juvenile,"adj. 青少年的；幼稚的
n. 青少年；少年读物"
invalid,"n. 病人；残疾者
adj. 无效的；有病的；残疾的
vt. 使伤残；使退役
vi. 变得病弱；因病而奉命退役"
alloy,"n. 合金
vt. 使成合金；使减低成色
vi. 易于铸成合金"
skyline,"n. 地平线；空中轮廓线；架空索
vt. 天空映衬出…的轮廓"
terrain,n.  地形，地势；领域；地带
radar,n.  雷达，无线电探测器
navigation,n. 航行；航海
revive,"vt. 使复兴；使苏醒；回想起；重演，重播
vi. 复兴；复活；苏醒；恢复精神"
alumnus,n. 男校友；男毕业生
administrate,vt. 管理；经营，实施
charter,"n. 宪章；执照；特许状
vt. 特许；包租；发给特许执照"
disrupt,"vt. 破坏；使瓦解；使分裂；使中断；使陷于混乱
adj. 分裂的，中断的；分散的"
draft,"n. 汇票；草稿；选派；（尤指房间、烟囱、炉子等供暖系统中的）（小股）气流
vt. 起草；制定；征募
vi. 拟稿；绘样；作草图
adj. 初步画出或（写出）的；（设计、草图、提纲或版本）正在起草中的，草拟的；以草稿形式的；草图的"
prototype,n. 原型；标准，模范
region,n. 地区；范围；部位
quantify,"vt. 量化；为…定量；确定数量
vi. 量化；定量"
elapse,"n. 流逝；时间的过去
vi. 消逝；时间过去"
interim,"n. 过渡时期，中间时期；暂定
adj. 临时的，暂时的；中间的；间歇的"
patriot,n. 爱国者
fuse,"n. 保险丝，熔线；导火线，雷管
vt. 使融合；使熔化，使熔融
vi. 融合；熔化，熔融"
intermediary,"n. 中间人；仲裁者；调解者；媒介物
adj. 中间的；媒介的；中途的"
hub,n. 中心；毂；木片
streamline,"n. 流线；流线型
vt. 把…做成流线型；使现代化；组织；使合理化；使简单化
adj. 流线型的"
disjointed,adj. 脱节的；杂乱的；脱臼的
decentralize,"n. 分散
vt. 使分散；使分权；疏散
vi. 分散集权；疏散"
decentralized,"adj. 分散的；分散化，分散式；分散管理的；去中心化
vt. 使分散；使分权（decentralize的过去分词）"
stab,"n. 刺；戳；尝试；突发的一阵
vt. 刺；刺伤；戳；刺穿；直入
vi. 刺；刺伤；戳；刺痛"
frugality,n. 俭省，节俭
gasoline,n. 汽油
precedent,"n. 先例；前例
adj. 在前的；在先的"
dental,"n. 齿音
adj. 牙科的；牙齿的，牙的"
centralization,n. 集中化；中央集权管理
fixture,n. 设备；固定装置；固定于某处不大可能移动之物
trappings,n. 服饰，礼服；外部标志；马饰
courier,n. 导游；情报员，通讯员；送快信的人
forerunner,n. 先驱；先驱者；预兆
sphere,"n. 范围；球体
adj. 球体的
vt. 包围；放入球内；使…成球形"
touch down,"na. 触地得分；着陆；着陆过程中的一部分；着陆时间
 降落；达阵；落地"
hold sb. in high regard,
hold sth. in high regard,
pick on sb.,
be onto something, 想到点儿什么东西；有些想法；懂得
take a stab at ...,
have a stab at ...,
make a stab at ...,
boil down to sth.,
from time to time,"na. 时时
 有时；不时；不时地"
retailer,n. 零售商；传播的人
velocity,n. 速度
snapshot,"n. 快照，快相；急射，速射；简单印象
vt. 给…拍快照
vi. 拍快照"
brew,"n. 啤酒；质地
vi. 酿酒；被冲泡；即将发生
vt. 酿造；酝酿"
merge,"vt. 合并；使合并；吞没
vi. 合并；融合"
borough,n. 区；自治的市镇
ankle,n. 踝关节，踝
hound,"n. 猎犬；卑劣的人
vt. 追猎；烦扰；激励"
tease,"vt. 取笑；戏弄；梳理；欺负；强求；使起毛
n. 戏弄；爱纠缠的小孩；挑逗者；卖弄风骚的女孩
vi. 取笑"
predecessor,n. 前任，前辈
vocational,adj. 职业的，行业的
bud,"n. 芽，萌芽；蓓蕾
vt. 使发芽
vi. 发芽，萌芽"
verdict,n. 结论；裁定
premium,"n. 额外费用；奖金；保险费;(商)溢价
adj. 高价的；优质的"
stimulus,n. 刺激；激励；刺激物
magnitude,n. 大小；量级； 震级；重要；光度
adjacent,adj. 邻近的，毗连的
partnership,n. 合伙； 合伙企业；合作关系；合伙契约
beverage,n. 饮料
multilateral,adj.  多边的；多国的，多国参加的
brass,n. 黄铜；黄铜制品；铜管乐器；厚脸皮
orchestra,n. 管弦乐队；乐队演奏处
orchestral,adj. 管弦乐的；管弦乐队的
reign,"n. 统治；统治时期；支配
vi. 统治；支配；盛行；君临"
reigning,"adj. 统治的；在位的；本届的；起支配作用的
v. 统治；支配；盛行（reign的ing形式）"
royalty,n. 皇室；版税；王权；专利税
decree,"n. 法令；判决
vt. 命令；颁布；注定；判决
vi. 注定；发布命令"
quota,n. 配额；定额；限额
eligible,"n. 合格者；适任者；有资格者
adj. 合格的，合适的；符合条件的；有资格当选的"
optical,adj. 光学的；眼睛的，视觉的
vocal,"adj. 直言不讳的
adj. 歌唱的；声音的，有声的
n. 声乐作品；元音"
sturdy,"n. 羊晕倒病
adj. 坚定的；强健的；健全的"
stipulate,"adj. 有托叶的
vi. 规定；保证
vt. 规定；保证"
utilization,n. 利用，使用
turnover,"n. 翻覆； 营业额；流通量；半圆卷饼；失误
adj. 翻过来的；可翻转的"
numerical,adj. 数值的；数字的；用数字表示的（等于numeric）
expenditure,n. 支出，花费；经费，消费额
embed,vt. 栽种；使嵌入，使插入；使深留脑中
reminiscence,n. 回忆；怀旧；引起联想的相似事物
scrub,"n. 矮树；洗擦；擦洗者；矮小的人（或物）
vt. 用力擦洗；使净化
vi. 擦洗；进行手臂消毒
adj. 矮小的；临时凑合的；次等的"
diagnosis,n. 诊断
crowning,"n. 加冕
adj. 最高的；无比的
v. 加冕（crown的现在分词）"
in a span of,
within a span of,
over a span of,
go public,"un. 酒馆；公开秘密；公开上市
 公开宣布；首次公开发行股票；公司上市"
adjacent to,"prep. 接近
 与…毗连的；邻近；邻近的"
a trace of,
be eligible for, 有资格；对•••有资格；合格的
be critical to,
beat sb. down,"na. 打倒；镇压；还(价)；使失望
 杀；杀价；压倒"
beat down sb.,
lip service,"n. 空口的应酬话；口惠
 唇唇欲动；口惠而实不至；表面文章"
remain committed to,
be embedded in sth.,
become embedded in sth.,
democracy,n. 民主，民主主义；民主政治
congressman,n. 国会议员；众议院议员
constituent,"n. 成分；选民；委托人
adj. 构成的；选举的"
segregate,vt. 使隔离；使分离；在…实行种族隔离
consolidate,"vt. 巩固，使固定；联合
vi. 巩固，加强"
differentiate,"vt. 区分，区别
vi. 区分，区别"
definitive,"n. 限定词
adj. 决定性的；最后的；限定的"
sane,adj. 健全的；理智的； 神志正常的
ecological,adj. 生态的，生态学的
ozone,n.  臭氧；新鲜的空气
deplete,vt. 耗尽，用尽；使衰竭，使空虚
depletion,n. 消耗；损耗；放血
ecology,n. 生态学；社会生态学
thermal,"n. 上升的热气流
adj. 热的；热量的；保热的"
atlas,n. 地图集；寰椎
planetary,adj. 行星的
reversible,"adj. 可逆的；可撤消的；可反转的
n. 双面布料"
chord,n. 弦；和弦；香水的基调
regime,n. 政权，政体；社会制度；管理体制
parameter,n. 参数；系数；参量
overt,adj. 明显的；公然的；蓄意的
allege,vt. 宣称，断言；提出…作为理由
incompatible,"n. 互不相容的人或事物
adj. 不相容的；矛盾的；不能同时成立的"
dreadful,adj. 可怕的；糟透的，令人不快的
eradicate,vt. 根除，根绝；消灭
sovereignty,n. 主权；主权国家；君主；独立国
coalition,n. 联合；结合，合并
legislative,"adj. 立法的；有立法权的
n. 立法权；立法机构"
legalization,n.  合法化；法律认可
propagate,"vt. 传播；传送；繁殖；宣传
vi. 繁殖；增殖"
bizarre,adj. 奇异的（指态度，容貌，款式等）
caribou,n. 北美驯鹿
standoff,"n. 和局；僵持；冷淡；平衡
adj. 冷淡的；有支架的"
versus,prep. 对；与...相对；对抗
negligible,adj. 微不足道的，可以忽略的
ecosystem,n. 生态系统
saw,"n. 锯子；谚语
v. see的过去式
vi. 锯；用锯；将某物锯成小块
vt. 看见；明白，了解；锯；锯成；锯开"
chop,"n. 砍；排骨；商标；削球
(俚)丑人
vt. 剁碎；砍"
timber,n. 木材；木料
maneuver,"n.  机动；演习；策略；调遣
vi.  机动；演习；调遣；用计谋
vt.  机动；演习；用计；调遣"
habitat,n.  栖息地，产地
geology,n. 地质学；地质情况
hierarchy,n. 层级；等级制度
intelligible,adj. 可理解的；明了的；仅能用智力了解的
differentiate between,"un. 区分
 分辨…和；要能区分"
take on,"na. 担任(工作等)；较量；装(某种样子)；呈现(形势)
 承担；雇用；雇佣"
run against the grain,
go against the grain, 不合；令人讨厌或不高兴；背道而驰
be incompatible with, 与---不相容；与…不一致；与……势不两立
come through,"na. 胜利；脱险；支付；捐献
 经历；成功；安然度过"
in part,"na. 一部份地；有几成；在某种程度上
 部分地；一部分；有些部分"
as ... as the next person,
as ... as the next man,
choose sth. over sth. else,
at a ... cost,
be bound up,
be bound together,
be in order, 就绪；有序的；合适，恰当
frame of mind,"n. 心态；心绪
 心情；心境；情绪"
state of mind, 心态；心境；思想状态
prairie,n. 大草原；牧场
debris,n. 碎片，残骸
converge,"vt. 使汇聚
vi. 聚集；靠拢；收敛"
shrub,n. 灌木；灌木丛
vegetation,n. 植被；植物，草木；呆板单调的生活
mattress,n. 床垫；褥子；空气垫
texture,n. 质地；纹理；结构；本质，实质
plea,n. 恳求，请求；辩解，辩护；借口，托辞
preside,"vi. 主持，担任会议主席
vt. 管理"
impair,vt. 损害；削弱；减少
marsh,"n. 沼泽；湿地
adj. 沼泽的；生长在沼泽地的"
crane,"n. 吊车，起重机；鹤
vt. 用起重机起吊；伸长脖子
vi. 伸着脖子看；迟疑，踌躇"
overpass,"vt. 超越；胜过；忽略
n. 天桥；陆桥"
contaminate,vt. 污染，弄脏
vulgar,"n. 平民，百姓
adj. 粗俗的；通俗的；本土的"
zoological,"adj. 动物的，动物学的
n. 动物园"
mutation,n.  突变；变化；元音变化
antelope,n. 羚羊；羚羊皮革
graze,"n. 放牧；轻擦
vi. 吃草；擦伤
vt. 放牧；擦伤"
prey,"n. 捕食；牺牲者；被捕食的动物
vi. 捕食；掠夺；折磨"
slaughter,"n. 屠宰，屠杀；杀戮；消灭
vt. 屠宰，屠杀；杀戮；使惨败"
invert,"n. 颠倒的事物；倒置物；倒悬者
adj. 转化的
vt. 使…转化；使…颠倒；使…反转；使…前后倒置"
obedient,adj. 顺从的，服从的；孝顺的
cord,"n. 绳索；束缚
vt. 用绳子捆绑"
repressive,adj. 镇压的；压抑的；抑制的
hunch,"n. 预感；大块；肉峰
vt. 耸肩；预感到；弯腰驼背
vi. 隆起；向前移动"
detach,vt. 分离；派遣；使超然
detached,"v. 分离
adj. 分离的，分开的；超然的"
concurrently,adv. 兼；同时发生地
inject,vt. 注入；注射
entity,n. 实体；存在；本质
grease,"n. 油脂；贿赂
vt. 涂脂于；贿赂"
greasy,adj. 油腻的；含脂肪多的；谄媚的
liquor,"n. 酒，含酒精饮料；溶液；液体；烈酒
vi. 喝酒，灌酒
vt. 使喝醉"
peel,"n. 皮
v. 剥，剥落；削"
repression,n. 抑制， 压抑；镇压
mansion,n. 大厦；宅邸
stroll,"n. 漫步；闲逛；巡回演出
vt. 散步；闲逛
vi. 散步；闲逛；巡回演出"
flap,"n. 拍打，拍打声；神经紧张； 襟翼
vt. 拍打；扔；拉下帽边；飘动
vi. 拍动；神经紧张；鼓翼而飞；（帽边等）垂下"
coexistence,n. 共存；和平共处；并立
subscribe,"vt. 签署；赞成；捐助
vi. 订阅；捐款；认购；赞成；签署"
odor,n. 气味；名声
botanical,"n. 植物性药材
adj. 植物学的"
cavity,n. 腔；洞，凹处
alienate,vt. 使疏远，离间；让与
intolerant,adj. 无法忍受的；偏狭的
deplore,vt. 谴责；悲悼；哀叹；对…深感遗憾
numb,"vt. 使麻木；使发愣；使失去感觉
adj. 麻木的；发愣的"
spice,"n. 香料；情趣；调味品；少许
vt. 加香料于…；使…增添趣味"
dweller,n. 居民，居住者
humidity,n.  湿度；湿气
converge with,
preside over sth.,
be obedient to,"na. 顺从
 服从于；顺服；同本义"
remold sb. into,
remold sth. into,
disconnect sb. from,
disconnect sth. from,
be tied to,"v. 被束缚着
 被绑在；被系在；系在一起"
lean against sth.,
lean sth. against sth.,
lean on sth.,
lean sth. on sth.,
peel off,"na. 离队；开始离队急降
 剥离；剥落；剥掉"
peel sth. off,
alienate sb. from sth.,
be intolerant of, 指某人对某事不能容忍
plunge into,"v. 投入；跳进
 跳入；纵身投入，跳入；投身于"
shut out sth.,
shut out sb.,
peninsula,n. 半岛
confidential,adj. 机密的；表示信任的；获信任的
confidentially,adv. 秘密地；作为心腹话地
recipient,"n. 容器，接受者；容纳者
adj. 容易接受的，感受性强的"
nominal,"adj. 名义上的；有名无实的； 票面上的
n.  名词性词"
emigrant,"n. 移民；侨民
adj. 移民的；移居的"
taboo,"n. 禁忌；禁止
adj. 禁忌的；忌讳的
vt. 禁忌；禁止"
scallop,"n. 扇贝，干贝
vt. 使成扇形
vi. 拾扇贝"
garlic,n. 大蒜；蒜头
flank,"n. 侧面；侧翼；侧腹
vt. 守侧面；位于…的侧面；攻击侧面
vi. 侧面与…相接
adv. 在左右两边"
cucumber,n. 黄瓜；胡瓜
lunar,adj. 月亮的，月球的；阴历的；银的；微亮的
mutter,"vi. 咕哝；喃喃自语
vt. 咕哝；抱怨地说；低声含糊地说
n. 咕哝；喃喃低语"
tray,n. 托盘；文件盒；隔底匣；（无线电的）发射箱
foil,"n. 箔，金属薄片；衬托，烘托；叶形片
abbr. 面向文件的翻译语言（file-Oriented interpretive language）
vt. 衬托；阻止，挡开；挫败；贴箔于"
magistrate,n. 地方法官；文职官员；治安推事
breach,"n. 违背，违反；缺口
vt. 违反，破坏；打破"
etiquette,n. 礼节，礼仪；规矩
colony,n. 殖民地；移民队；种群；动物栖息地
configuration,n. 配置；结构；外形
fabricate,vt. 制造；伪造；装配
tribe,n. 部落；族；宗族；一伙
censorship,n. 审查制度；审查机构
