clinic,n. 临床；诊所
shiver,"n. 颤抖，战栗；碎片
vi. 颤抖；哆嗦；打碎
vt. 颤抖；打碎"
bone,"n. 骨；骨骼
vt. 剔去...的骨；施骨肥于
vi. 苦学；专心致志"
sob,"n. 啜泣，呜咽
vt. 哭诉，啜泣
vi. 啜泣，呜咽；（风等）发出呜咽声"
pillow,"n. 枕头
vt. 垫；枕于…；使…靠在
vi. 枕着头；靠在枕上"
dive,"n. 潜水；跳水；俯冲；扑
vi. 潜水；跳水；俯冲；急剧下降"
frown,"n. 皱眉，蹙额
vt. 皱眉，蹙额
vi. 皱眉；不同意"
resolutely,adv. 坚决地；毅然地
appeal,"n. 呼吁，请求；吸引力，感染力；上诉；诉诸裁判
vt. 将…上诉，对…上诉
vi. 呼吁，恳求；上诉；诉诸，求助；有吸引力，迎合爱好；（体育比赛中）诉诸裁判"
emperor,n. 皇帝，君主
sorrow,"n. 悲伤；懊悔；伤心事
vt. 为…悲痛
vi. 懊悔；遗憾；感到悲伤"
republic,n. 共和国；共和政体
loan,"n. 贷款；借款
vi. 借出
vt. 借；借给"
forgiveness,n. 宽恕；宽仁之心
debt,n. 债务；借款；罪过
interrupt,"n. 中断
vt. 中断；打断；插嘴；妨碍
vi. 打断；打扰"
legal,adj. 法律的；合法的；法定的；依照法律的
document,"n. 文件，公文； 文档；证件
vt. 用文件证明"
negotiate,"vt. 谈判，商议；转让；越过
vi. 谈判，交涉"
compromise,"n. 妥协，和解；折衷
vt. 妥协；危害
vi. 妥协；让步"
inquire,"vi. 询问；查究；询价
vt. 询问；查究；问明"
resolve,"n. 坚决；决定要做的事
vt. 决定；溶解；使…分解；决心要做…
vi. 解决；决心；分解"
annoying,"v. 骚扰（annoy的ing形式）
adj. 讨厌的；恼人的"
inconvenience,"n. 不便；麻烦
vt. 麻烦；打扰"
detect,vt. 察觉；发现；探测
somewhat,"n. 几分；某物
adv. 有点；多少；几分；稍微"
annoy,"n. 烦恼（等于annoyance）
vt. 骚扰；惹恼；打搅
vi. 惹恼；令人讨厌；打搅"
ashamed,adj. 惭愧的，感到难为情的；耻于……的
maturity,n. 成熟；到期；完备
monitor,"n. 监视器；监听器；监控器；显示屏；班长
vt. 监控"
self-control,n. 克己，自我控制
assign,"vt. 分配；指派； 赋值
vi. 将财产过户（尤指过户给债权人）"
pack,"n. 包装；一群；背包；包裹；一副
vt. 包装；压紧；捆扎；挑选；塞满
vi. 挤；包装货物；被包装；群集"
tank,"n. 坦克；水槽；池塘
vt. 把…贮放在柜内；打败
vi. 乘坦克行进"
plug,"n. 插头；塞子；栓
vt. 插入；塞住；接插头
vi. 塞住；用插头将与电源接通"
drummer,n. 鼓手；旅行推销员；跑街
complaint,n. 抱怨；诉苦；疾病；委屈
drum,"n. 鼓；鼓声
vi. 击鼓；大力争取
vt. 击鼓；大力争取"
vote,"n. 投票，选举；选票；得票数
vi. 选举，投票
vt. 提议，使投票；投票决定；公认"
resolution,n.  分辨率；决议；解决；决心
warning,"n. 警告；预兆；预告
v. 警告（warn的ing形式）
adj. 警告的；引以为戒的"
cease,"n. 停止
vi. 停止；终了
vt. 停止；结束"
property,n. 性质，性能；财产；所有权
chorus,"n. 合唱队；齐声；歌舞队
vt. 合唱；异口同声地说
vi. 合唱；异口同声地说话"
departure,n. 离开；出发；违背
prejudiced,"v. 损害（prejudice的过去分词）；使抱偏见
adj. 怀偏见的；有成见的；偏颇的"
bitter,"n. 苦味；苦啤酒
adj. 苦的；痛苦的；尖刻的；充满仇恨的
vt. 使变苦
adv. 激烈地；严寒刺骨地"
anyhow,adv. 总之；无论如何；不管怎样
remote,"n. 远程
adj. 遥远的；偏僻的；疏远的"
edge,"n. 边缘；优势；刀刃；锋利
vt. 使锐利；将…开刃；给…加上边
vi. 缓缓移动；侧着移动"
arrest,"n. 逮捕；监禁
vt. 逮捕；阻止；吸引"
tailor,"n. 裁缝
vt. 剪裁；使合适
vi. 做裁缝"
pleasant,adj. 令人愉快的，舒适的；讨人喜欢的，和蔼可亲的
violence,n. 暴力；侵犯；激烈；歪曲
literally,adv. 照字面地；逐字地；不夸张地；正确地；简直
tolerate,vt. 忍受；默许；宽恕
keen,"adj. 敏锐的，敏捷的；渴望的；强烈的；热心的；锐利的
n. 痛哭，挽歌"
balcony,n. 阳台；包厢；戏院楼厅
unsuspecting,adj. 不怀疑的；未猜想到…的
bother,"n. 麻烦；烦恼
vt. 烦扰，打扰；使……不安；使……恼怒
vi. 操心，麻烦；烦恼"
recall,"n. 召回；回忆；撤消
vt. 召回；回想起，记起；取消"
violently,adv. 猛烈地，激烈地；极端地
withdraw,"vt. 撤退；收回；撤消；拉开
vi. 撤退；离开"
firmly,adv. 坚定地，坚决地；坚固地，稳固地
soldier,"n. 军人； 兵蚁；懒汉；一片烤面包
vi. 当兵；磨洋工；坚持干；假称害病"
bomb,"n. 炸弹
vt. 轰炸，投弹于
vi. 轰炸，投弹；失败"
general,"n. 一般；将军，上将；常规
adj. 一般的，普通的；综合的；大体的"
trench,"n. 沟，沟渠；战壕；堑壕
vt. 掘沟
vi. 挖战壕；侵害"
frontier,"n. 前沿；边界；国境
adj. 边界的；开拓的"
murder,"vt. 谋杀，凶杀
n. 谋杀，凶杀
vi. 杀人，犯杀人罪"
border,"n. 边境；边界；国界
vt. 接近；与…接壤；在…上镶边
vi. 接界；近似"
flee,"vt. 逃跑，逃走；逃避
vi. 逃走；消失，消散"
weep,"n. 哭泣；眼泪；滴下
vt. 哭泣；流泪；悲叹；流出或渗出液体
vi. 哭泣；流泪；哀悼；滴落；渗出液体"
civilian,"n. 平民，百姓
adj. 民用的；百姓的，平民的"
machine gun,"n. 机枪；机关枪
 重机枪；轻机枪式激光发射器；机炮"
panic,"n. 恐慌，惊慌；大恐慌
adj. 恐慌的；没有理由的
vt. 使恐慌
vi. 十分惊慌"
pray,"vi. 祈祷；请；恳求
vt. 祈祷；恳求；央求"
identification,n. 鉴定，识别；认同；身份证明
pile,"n. 堆；大量；建筑群
vt. 累积；打桩于
vi. 挤；堆积；积累"
display,"n. 显示；炫耀
vt. 显示；表现；陈列
adj. 展览的；陈列用的
vi.  作炫耀行为"
representative,"n. 代表；典型；众议员
adj. 典型的，有代表性的；代议制的"
greet,vt. 欢迎，迎接；致敬，致意；映入眼帘
mud,"vt. 弄脏；用泥涂
vi. 钻入泥中
n. 泥；诽谤的话；无价值的东西"
distribute,vt. 分配；散布；分开；把…分类
temporary,"n. 临时工，临时雇员
adj. 暂时的，临时的"
midnight,"n. 午夜，半夜12点钟
adj. 半夜的；漆黑的"
ward,"n. 病房；保卫；监视
vt. 避开；保卫；守护"
dozen,"n. 十二个，一打
adj. 一打的"
surgeon,n. 外科医生
ceremony,n. 典礼，仪式；礼节，礼仪；客套，虚礼
appreciation,n. 欣赏，鉴别；增值；感谢
incident,"n. 事件，事变；插曲
adj.  入射的；附带的；易发生的，伴随而来的"
ban,"n. 禁令，禁忌
vt. 禁止，取缔"
tobacco,n. 烟草，烟叶；烟草制品；抽烟
cigarette,n. 香烟；纸烟
alcohol,n. 酒精，乙醇
fried,"adj. 油炸的，油煎的；喝醉了的
v. 油炸（fry的过去分词）"
harm,"n. 伤害；损害
vt. 伤害；危害；损害"
desirable,"n. 合意的人或事物
adj. 令人满意的；值得要的"
obesity,n. 肥大，肥胖
tax,"n. 税金；重负
vt. 向…课税；使负重担"
false,"adj. 错误的；虚伪的；伪造的
adv. 欺诈地"
invest,"vi. 投资，入股；花钱买
vt. 投资；覆盖；耗费；授予；包围"
conclude,"vi. 推断；断定；决定
vt. 推断；决定，作结论；结束"
beneficial,adj. 有益的，有利的；可享利益的
sacred,adj. 神的；神圣的；宗教的；庄严的
permanent,"n. 烫发（等于permanent wave）
adj. 永久的，永恒的；不变的"
recovery,n. 恢复，复原；痊愈；重获
loose,"adj. 宽松的；散漫的；不牢固的；不精确的
vt. 释放；开船；放枪
vi. 变松；开火
adv. 松散地
n. 放纵；放任；发射"
carpet,"n. 地毯；地毯状覆盖物
vt. 在…上铺地毯，把地毯铺在…上；斥责"
ankle,n. 踝关节，踝
greed,n. 贪婪，贪心
fry,"n. 鱼苗；油炸食物
vt. 油炸；油煎
vi. 油炸；油煎"
request,"n. 请求；需要
vt. 要求，请求"
well-being,n. 幸福；康乐
vitamin,n.  维生素； 维他命
entertainment,n. 娱乐；消遣；款待
innovation,n. 创新，革新；新方法
gifted,"adj. 有天赋的；有才华的
v. 给予（gift的过去分词）"
labour-saving,节省劳力的
productive,adj. 能生产的；生产的，生产性的；多产的；富有成效的
garbage,n. 垃圾；废物
device,n. 装置；策略；图案
scientific,adj. 科学的，系统的
microscope,n. 显微镜
donate,"n. 捐赠；捐献
vt. 捐赠；捐献
vi. 捐赠；捐献"
correspond,vi. 符合，一致；相应；通信
instant,"n. 瞬间；立即；片刻
adj. 立即的；紧急的；紧迫的"
launch,"vt. 发射（导弹、火箭等）；发起，发动；使…下水
vi. 开始；下水；起飞
n. 发射；发行，投放市场；下水；汽艇"
satellite,n. 卫星；人造卫星；随从；卫星国家
orbit,"n. 轨道；眼眶；势力范围；生活常规
vi. 盘旋；绕轨道运行
vt. 绕…轨道而行"
split,"n. 劈开；裂缝
adj. 劈开的
vt. 分离；使分离；劈开；离开；分解
vi. 离开；被劈开；断绝关系"
particle,n. 颗粒； 质点；极小量；小品词
premier,"n. 总理，首相
adj. 第一的；最初的"
outspoken,adj. 坦率的，直言不讳的
subsequently,adv. 随后，其后；后来
relativity,n. 相对论；相关性；相对性
constant,"n.  常数；恒量
adj. 不变的；恒定的；经常的"
finding,"n. 发现；裁决；发现物
v. 找到；感到（find的ing形式）；遇到"
biologist,n. 生物学家
mould,"vi. 发霉
vt. 浇铸；用泥土覆盖
n. 模具；霉"
penicillin,n. 盘尼西林（青霉素）
perceive,"vt. 察觉，感觉；理解；认知
vi. 感到，感知；认识到"
million,"n. 百万；无数
adj. 百万的；无数的
num. 百万"
humble,"adj. 谦逊的；简陋的；（级别或地位）低下的；不大的
vt. 使谦恭；轻松打败（尤指强大的对手）；低声下气"
outcome,n. 结果，结局；成果
navy,"n. 海军
深蓝色的"
accuracy,n.  精确度，准确性
missile,"n. 导弹；投射物
adj. 导弹的；可投掷的；用以发射导弹的"
physicist,n. 物理学家；唯物论者
joint,"n. 关节；接缝；接合处，接合点；（牛，羊等的腿）大块肉
adj. 共同的；连接的；联合的，合办的
vt. 连接，贴合；接合；使有接头
vi. 贴合；生节"
tube,"n. 管；电子管；隧道；电视机
vt. 使成管状；把…装管；用管输送
vi. 乘地铁；不及格"
circuit,"n.  电路，回路；巡回；一圈；环道
vt. 绕回…环行
vi. 环行"
efficiently,adv. 有效地；效率高地（efficient的副词形式）
propose,"vi. 建议；求婚；打算
vt. 建议；打算，计划；求婚"
emerge,vi. 浮现；摆脱；暴露
coincidence,n. 巧合；一致；同时发生
clueless,adj. 无线索的；愚蠢的
incubation,n. 孵化； 潜伏；抱蛋
evaluation,n. 评价； 评估；估价；求值
theoretical,adj. 理论的；理论上的；假设的；推理的
overcome,"vt. 克服；胜过
vi. 克服；得胜"
PhD,
Doctor of Philosophy,"na. 哲学博士
 博士学位；哲学博士学位；博士学位者"
cosmology,n.  宇宙论， 宇宙学
grand,"n. 大钢琴；一千美元
adj. 宏伟的；豪华的；极重要的"
decline,"n. 下降；衰退；斜面
vt. 谢绝；婉拒
vi. 下降；衰落；谢绝"
in spite of,"na. spite of 不管；无视
 尽管；不顾；虽然"
bonus,n. 奖金；红利；额外津贴
gravity,n. 重力，地心引力；严重性；庄严
steam,"n. 蒸汽；精力
adj. 蒸汽的
vt. 蒸，散发；用蒸汽处理
vi. 蒸，冒水汽"
kettle,n. 壶； 釜；罐；鼓
boil,"n. 沸腾，煮沸；疖子
vt. 煮沸，烧开；使…激动；使…蒸发
vi. 煮沸，沸腾；激动，激昂"
improvement,n. 改进，改善；提高
revolution,n. 革命；旋转；运行；循环
availability,n. 可用性；有效性；实用性
fibre,n. 纤维；纤维制品
explode,"vi. 爆炸，爆发；激增
vt. 使爆炸；爆炸；推翻"
mass,"n. 块，团；群众，民众；大量，众多；质量
adj. 群众的，民众的；大规模的，集中的
vi. 聚集起来，聚集
vt. 使集合"
sailor,n. 水手，海员；乘船者
regulate,vt. 调节，规定；控制；校准；有系统的管理
illustrate,"vi. 举例
vt. 阐明，举例说明；图解"
mechanical,adj. 机械的；力学的；呆板的；无意识的；手工操作的
preserve,"n. 保护区；禁猎地；加工成的食品
vt. 保存；保护；维持；腌；禁猎"
specifically,adv. 特别地；明确地
accurate,adj. 精确的
electric,"n. 电；电气车辆；带电体
adj. 电的；电动的；发电的；导电的；令人震惊的"
Max,
Smith,
Jones,
Tim,
Bill,
Susan,
Albert Einstein, 爱因斯坦；阿尔伯特·爱因斯坦；美国科学家爱因斯坦
Alexander Fleming, 弗莱明；佛莱明；亚历山大·弗莱明
Stephen Hawking, 霍金；物理学家霍金；史蒂芬霍金
James Watt,"n. 詹姆斯.瓦特
 詹姆斯·瓦特；英国人瓦特；詹姆士瓦特"
Columbia University,"n. 哥伦比亚大学
 美国哥伦比亚大学；纽约哥伦比亚大学；哥大"
University of Oxford,
England,n. 英格兰
London,n. 伦敦
Canada,n. 加拿大（北美洲国家）
