personal,"n. 人事消息栏；人称代名词
adj. 个人的；身体的；亲自的"
quality,"n. 质量， 品质；特性；才能
adj. 优质的；高品质的；<英俚>棒极了"
perform,"vt. 执行；完成；演奏
vi. 执行，机器运转；表演"
promise,"n. 许诺，允诺；希望
vt. 允诺，许诺；给人以…的指望或希望
vi. 许诺；有指望，有前途"
necessarily,adv. 必要地；必定地，必然地
store,"n. 商店；储备，贮藏；仓库
vt. 贮藏，储存"
general,"n. 一般；将军，上将；常规
adj. 一般的，普通的；综合的；大体的"
condition,"n. 条件；情况；环境；身份
vt. 决定；使适应；使健康；以…为条件"
vary,"vi. 变化；变异；违反
vt. 改变；使多样化；变奏"
suffer,"vi. 遭受，忍受；受痛苦；经验；受损害
vt. 遭受；忍受；经历"
speech,n. 演讲；讲话； 语音；演说
respect,"n. 尊敬，尊重；方面；敬意
vt. 尊敬，尊重；遵守"
disappoint,vt. 使失望
simplify,vt. 简化；使单纯；使简易
raise,"n. 高地；上升；加薪
vt. 提高；筹集；养育；升起
vi. 上升"
refer,"vt. 涉及；委托；归诸于；使…求助于
vi. 参考；涉及；提到；查阅"
achievement,n. 成就；完成；达到；成绩
particular,"n. 详细说明；个别项目
adj. 特别的；详细的；独有的；挑剔的"
prevent,"vt. 预防，防止；阻止
vi. 妨碍，阻止"
regular,"n. 常客；正式队员；中坚分子
adj. 定期的；有规律的；合格的；整齐的；普通的
adv. 定期地；经常地"
connect,"vt. 连接；联合；关连
vi. 连接，连结；联合"
subject,"n. 主题；科目； 主语；国民
adj. 服从的；易患…的；受制于…的
vt. 使…隶属；使屈从于…"
physical,"n. 体格检查
adj.  物理的；身体的；物质的；根据自然规律的，符合自然法则的"
check,"n. <美>支票；制止，抑制；检验，核对
vi. 核实，查核；中止；打勾；将一军
vt. 检查，核对；制止，抑制；在…上打勾"
position,"n. 位置，方位；职位，工作；姿态；站位
vt. 安置；把……放在适当位置"
concern,"n. 关系；关心；关心的事；忧虑
vt. 涉及，关系到；使担心"
force,"n. 力量；武力；军队；魄力
vt. 促使，推动；强迫；强加"
satisfy,"vi. 令人满意；令人满足
vt. 满足；说服，使相信；使满意，使高兴"
organize,"vt. 组织；使有系统化；给予生机；组织成立工会等
vi. 组织起来；成立组织"
charge,"n. 费用；电荷；掌管；控告；命令；负载
vt. 使充电；使承担；指责；装载；对…索费；向…冲去
vi. 充电；控告；索价；向前冲；记在账上"
favor,"n. 喜爱；欢心；好感
vt. 赞成；喜欢；像；赐予；证实"
damage,"vi. 损害；损毁
vt. 损害，毁坏
n. 损害；损毁；赔偿金"
publish,"vi. 出版；发行；刊印
vt. 出版；发表；公布"
focus,"n. 焦点；中心；清晰；焦距
vt. 使集中；使聚焦
vi. 集中；聚焦；调节焦距"
affect,"n. 情感；引起感情的因素
vt. 影响；感染；感动；假装
vi. 倾向；喜欢"
feed,"n. 饲料；饲养；（动物或婴儿的）一餐
vt. 喂养；供给；放牧；抚养（家庭等）；靠…为生
vi. 吃东西；流入"
weigh,"n. 权衡；称重量
vt. 权衡；考虑；称…重量
vi. 重量为…；具有重要性；成为…的重荷；起锚"
pressure,"n. 压力；压迫， 压强
vt. 迫使；密封；使……增压"
credit,"n. 信用，信誉； 贷款；学分；信任；声望
vt. 相信，信任；把…归给，归功于；赞颂"
visible,"n. 可见物；进出口贸易中的有形项目
adj. 明显的；看得见的；现有的；可得到的"
operate,"vi. 运转；动手术；起作用
vt. 操作；经营；引起；对…开刀"
warn,"vt. 警告，提醒；通知
vi. 发出警告，发出预告"
relate,"vt. 叙述；使…有联系
vi. 涉及；认同；符合；与…有某种联系"
strength,n. 力量；力气；兵力；长处
stress,"n. 压力；强调；紧张；重要性；重读
vt. 强调；使紧张；加压力于；用重音读"
attack,"n. 攻击；抨击；疾病发作
vt. 攻击；抨击；动手干
vi. 攻击；腐蚀"
determine,"v. （使）下决心，（使）做出决定
vt. 决定，确定；判定，判决；限定
vi. 确定；决定；判决，终止；了结，终止，结束"
volunteer,"n. 志愿者；志愿兵
adj. 志愿的
vt. 自愿
vi. 自愿"
lack,"vt. 缺乏；不足；没有；需要
vi. 缺乏；不足；没有
n. 缺乏；不足"
equipment,n. 设备，装备；器材
expense,"n. 损失，代价；消费；开支
vt. 向…收取费用
vi. 被花掉"
deliver,"n. 投球
vt. 交付；发表；递送；释放；给予（打击）；给…接生
vi. 实现；传送；履行；投递"
compare,"vi. 相比，匹敌；比较，区别；比拟（常与to连用）
vt. 比拟，喻为；构成
n. 比较"
spread,"n. 传播；伸展
adj. 伸展的
vt. 传播，散布；展开；伸展；铺开
vi. 传播；伸展"
seek,"vt. 寻求；寻找；探索；搜索
vi. 寻找；探索；搜索"
distant,adj. 遥远的；冷漠的；远隔的；不友好的，冷淡的
original,"n. 原件；原作；原物；原型
adj. 原始的；最初的；独创的；新颖的"
impress,"n. 印象，印记；特征，痕迹
vi. 给人印象
vt. 盖印；强征；传送；给予某人深刻印象"
remind,vt. 提醒；使想起
communicate,"vi. 通讯，传达；相通；交流；感染
vt. 传达；感染；显露"
range,"n. 范围；幅度；排；山脉
vt. 漫游；放牧；使并列；归类于；来回走动
vi. （在...内）变动；平行，列为一行；延伸；漫游；射程达到"
guidance,n. 指导，引导；领导
avoid,vt. 避免；避开，躲避；消除
opportunity,n. 时机，机会
emotion,n. 情感；情绪
equal,"n. 对手；匹敌；同辈；相等的事物
adj. 平等的；相等的；胜任的
vt. 等于；比得上"
contain,"vi. 含有；自制
vt. 包含；控制；容纳；牵制（敌军）"
hardly,adv. 几乎不，简直不；刚刚
announce,"vt. 宣布；述说；预示；播报
vi. 宣布参加竞选；当播音员"
reward,"n.  报酬；报答；酬谢
vt.  奖励；奖赏"
desire,"n. 欲望；要求，心愿；性欲
vt. 想要；要求；希望得到…
vi. 渴望"
promote,"vi. 成为王后或其他大于卒的子
vt. 促进；提升；推销；发扬"
gather,"n. 聚集；衣褶；收获量
vt. 收集；收割；使…聚集；使…皱起
vi. 聚集；化脓；皱起"
similarity,n. 类似；相似点
advance,"n. 发展；前进；增长；预付款
adj. 预先的；先行的
vt. 提出；预付；使……前进；将……提前
vi. 前进；进展；上涨"
percent,"n. 百分比，百分率；部分；百分数
adj. 百分之…的
adv. 以百分之…地"
character,"n. 性格，品质；特性；角色； 字符
vt. 印，刻；使具有特征"
frighten,"vt. 使惊吓；吓唬…
vi. 害怕，惊恐"
accessible,adj. 易接近的；可进入的；可理解的
potential,"n. 潜能；可能性； 电势
adj. 潜在的；可能的；势的"
review,"n. 回顾；复习；评论；检讨；检阅
vt. 回顾；检查；复审
vi. 回顾；复习功课；写评论"
replace,vt. 取代，代替；替换，更换；归还，偿还；把…放回原处
greedy,adj. 贪婪的；贪吃的；渴望的
shock,"n. 休克；震惊；震动；打击；禾束堆
adj. 浓密的；蓬乱的
vt. 使休克；使震惊；使震动；使受电击；把…堆成禾束堆
vi. 感到震惊；受到震动；堆成禾束堆"
judge,"vt. 判断；审判
n. 法官；裁判员
vi. 审判；判决"
praise,"n. 赞扬；称赞；荣耀；崇拜
vt. 赞美，歌颂；表扬
vi. 赞美；赞扬"
recover,"n. 还原至预备姿势
vt. 恢复；弥补；重新获得
vi. 恢复；胜诉；重新得球"
confuse,vt. 使混乱；使困惑
spot,"n. 地点；斑点
adj. 现场的；现货买卖的
vt. 认出；弄脏；用灯光照射
vi. 沾上污渍；满是斑点
adv. 准确地；恰好"
attempt,"n. 企图，试图；攻击
vt. 企图，试图；尝试"
available,adj. 可获得的；可购得的；可找到的；有空的
destruction,n. 破坏，毁灭；摧毁
construct,"n. 构想，概念
vt. 建造，构造；创立"
function,"n. 功能； 函数；职责；盛大的集会
vi. 运行；活动；行使职责"
argument,n. 论证；论据；争吵；内容提要
labor,"n. 劳动；工作；劳工；分娩
vi. 劳动；努力；苦干
vt. 详细分析；使厌烦"
private,"n. 列兵；二等兵
adj. 私人的；私有的；私下的"
repeat,"n. 重复；副本
vi. 重做；重复发生
vt. 重复；复制；背诵"
spirit,"n. 精神；心灵；情绪；志气；烈酒
vt. 鼓励；鼓舞；诱拐"
suppose,"conj. 假使…结果会怎样
vt. 假设；认为；让（虚拟语气）；推想
vi. 猜想；料想"
desert,"n. 沙漠；荒原；应得的赏罚
vt. 遗弃；放弃；逃跑
adj. 沙漠的；荒凉的；不毛的
vi. 遗弃；开小差；逃掉"
exchange,"n. 交换；交流；交易所；兑换
vt. 交换；交易；兑换
vi. 交换；交易；兑换"
fairly,adv. 相当地；公平地；简直
regret,"n. 遗憾；抱歉；悲叹
vi. 感到后悔；感到抱歉
vt. 后悔；惋惜；哀悼"
strict,adj. 严格的；绝对的；精确的；详细的
fellow,"n. 家伙；朋友；同事；会员
adj. 同伴的，同事的；同道的
vt. 使…与另一个对等；使…与另一个匹敌"
gradually,adv. 逐步地；渐渐地
belief,n. 相信，信赖；信仰；教义
imagination,n.  想象力；空想；幻想物
official,"adj. 官方的；正式的；公务的
n. 官员；公务员；高级职员"
account,"n. 账户；解释；账目，账单；理由；描述
vt. 认为；把…视为
vi. 解释；导致；报账"
persuade,"vt. 说服，劝说；使某人相信；劝某人做（不做）某事
adj. 空闲的，有闲的
vi. 说服；被说服"
figure,"n. 数字；人物；图形；价格；（人的）体形；画像
vt. 计算；认为；描绘；象征
vi. 计算；出现；扮演角色"
seldom,adv. 很少，不常
eager,adj. 渴望的；热切的；热心的
recommend,"vt. 推荐，介绍；劝告；使受欢迎；托付
vi. 推荐；建议"
remove,"n. 移动；距离；搬家
vt. 移动，迁移；开除；调动
vi. 移动，迁移；搬家"
unique,"n. 独一无二的人或物
adj. 独特的，稀罕的； 唯一的，独一无二的"
risk,"n. 风险；危险；冒险
vt. 冒…的危险"
economic,adj. 经济的，经济上的；经济学的
pollution,"n. 污染
污染物"
literature,n. 文学；文献；文艺；著作
consume,"vt. 消耗，消费；使…着迷；挥霍
vi. 耗尽，毁灭；耗尽生命"
stick,"n. 棍；手杖；呆头呆脑的人
vi. 坚持；伸出；粘住
vt. 刺，戳；伸出；粘贴"
devote,vt. 致力于；奉献
predict,"vi. 作出预言；作预料，作预报
vt. 预报，预言；预知"
complain,"vi. 投诉；发牢骚；诉说
vt. 抱怨；控诉"
annoy,"n. 烦恼（等于annoyance）
vt. 骚扰；惹恼；打搅
vi. 惹恼；令人讨厌；打搅"
apply,"vi. 申请；涂，敷；适用；请求
vt. 申请；涂，敷；应用"
handle,"n.  把手；柄；手感；口实
vt. 处理；操作；运用；买卖；触摸
vi. 搬运；易于操纵"
object,"n. 目标；物体；客体；宾语
vt. 提出…作为反对的理由
vi. 反对；拒绝"
select,"n. 被挑选者；精萃
adj. 精选的；挑选出来的；极好的
vt. 挑选；选拔
vi. 挑选"
opposite,"adj. 相反的；对面的；对立的
n. 对立面；反义词
prep. 在…的对面
adv. 在对面"
solution,n. 解决方案；溶液；溶解；解答
struggle,"n. 努力，奋斗；竞争
vt. 使劲移动；尽力使得
vi. 奋斗，努力；挣扎"
approach,"n. 方法；途径；接近
vt. 接近；着手处理
vi. 靠近"
urgent,adj. 紧急的；急迫的
delight,"n. 高兴
vt. 使高兴
vi. 高兴"
talent,n. 才能；天才；天资
track,"n. 轨道；足迹，踪迹；小道
vt. 追踪；通过；循路而行；用纤拉
vi. 追踪；走；留下足迹"
arrange,"vi. 安排；排列；协商
vt. 安排；排列；整理"
wealth,n. 财富；大量；富有
security,"n. 安全；保证；证券；抵押品
adj. 安全的；保安的；保密的"
entire,adj. 全部的，整个的；全体的
positive,"n. 正数； 正片
adj. 积极的； 正的， 阳性的；确定的，肯定的；实际的，真实的；绝对的"
rarely,adv. 很少地；难得；罕有地
reflect,"vt. 反映；反射，照出；表达；显示;反省
vi. 反射，映现；深思"
contact,"n. 接触，联系
vt. 使接触，联系
vi. 使接触，联系"
hesitate,"vt. 踌躇，犹豫；有疑虑，不愿意
vi. 踌躇，犹豫；不愿"
permit,"n. 许可证，执照
vt. 许可；允许
vi. 许可；允许"
rapid,"n. 急流；高速交通工具，高速交通网
adj. 迅速的，急促的；飞快的；险峻的"
colleague,n. 同事，同僚
conclude,"vi. 推断；断定；决定
vt. 推断；决定，作结论；结束"
host,"n.  主机；主人；主持人；许多
vt. 主持；当主人招待
vi. 群集；做主人"
version,n. 版本；译文；倒转术
accommodation,n. 住处，膳宿；调节；和解；预订铺位
possess,vt. 控制；使掌握；持有；迷住；拥有，具备
collection,n. 采集，聚集； 征收；收藏品；募捐
survive,"vi. 幸存；活下来
vt. 幸存；生还；幸免于；比...活得长"
feature,"n. 特色，特征；容貌；特写或专题节目
vt. 特写；以…为特色；由…主演
vi. 起重要作用"
appreciate,"vi. 增值；涨价
vt. 欣赏；感激；领会；鉴别"
embarrass,vt. 使局促不安；使困窘；阻碍
profit,"n. 利润；利益
vt. 有益于
vi. 获利；有益"
ancient,"n. 古代人；老人
adj. 古代的；古老的，过时的；年老的"
historical,adj. 历史的；史学的；基于史实的
victim,n. 受害人；牺牲品；牺牲者
broaden,"vt. 使扩大；使变宽
vi. 扩大，变阔；变宽，加宽"
plastic,"n. 塑料制品；整形；可塑体
adj. 塑料的；（外科）造型的；可塑的"
primary,"n. 原色；最主要者
adj. 主要的；初级的；基本的"
reaction,n. 反应，感应；反动，复古；反作用
represent,"vt. 代表；表现；描绘；回忆；再赠送
vi. 代表；提出异议"
response,n. 响应；反应；回答
surround,"n. 围绕物
vt. 围绕；包围
adj. 环绕立体声的"
average,"n. 平均；平均数；海损
adj. 平均的；普通的；通常的
vt. 算出…的平均数；将…平均分配；使…平衡
vi. 平均为；呈中间色"
smooth,"n. 平滑部分；一块平地
adj. 顺利的；光滑的；平稳的
vt. 使光滑；消除（障碍等）；使优雅；缓和
adv. 光滑地；平稳地；流畅地
vi. 变平静；变平滑"
cast,"n. 投掷，抛；铸件， 铸型；演员阵容；脱落物
vt. 投，抛；计算；浇铸；投射（光、影、视线等）
vi. 投，抛垂钓鱼钩；计算，把几个数字加起来"
chemical,"n. 化学制品，化学药品
adj. 化学的"
prison,"n. 监狱；监禁；拘留所
vt. 监禁，关押"
purchase,"n. 购买；紧握；起重装置
vt. 购买；赢得
vi. 购买东西"
straight,"n. 直；直线；直男，直女，异性恋者
adj. 直的；连续的；笔直的；正直的；整齐的；异性恋的
adv. 直接地；不断地；立即；坦率地"
switch,"n. 开关；转换；鞭子
vi. 转换；抽打；换防
vt. 转换；用鞭子等抽打"
treatment,n. 治疗，疗法；处理；对待
aware,adj. 意识到的；知道的；有…方面知识的；懂世故的
narrow,"adj. 狭窄的，有限的；勉强的；精密的；度量小的
n. 海峡；狭窄部分，隘路
vt. 使变狭窄
vi. 变窄"
hire,"n. 雇用，租用；租金，工钱
vt. 雇用；出租
vi. 雇用，租用；受雇"
shoulder,"n. 肩，肩膀；肩部
vi. 用肩推挤，用肩顶
vt. 肩负，承担"
content,"n. 内容，目录；满足；容量
adj. 满意的
vt. 使满足"
contribute,"vt. 贡献，出力；投稿；捐献
vi. 贡献，出力；投稿；捐献
"
concept,n. 观念，概念
concert,"n. 音乐会；一致；和谐
adj. 音乐会用的；在音乐会上演出的
vt. 使协调；协同安排
vi. 协调；协力"
conflict,"n. 冲突，矛盾；斗争；争执
vi. 冲突，抵触；争执；战斗"
decade,n. 十年，十年期；十
sincere,adj. 真诚的；诚挚的；真实的
release,"n. 释放；发布；让与
vt. 释放；发射；让与；允许发表"
constant,"n.  常数；恒量
adj. 不变的；恒定的；经常的"
conduct,"n. 进行；行为；实施
vi. 导电；带领
vt. 管理；引导；表现"
overcome,"vt. 克服；胜过
vi. 克服；得胜"
recycle,"n. 再生；再循环；重复利用
vt. 使再循环；使…重新利用
vi. 重复利用"
translate,"vt. 翻译；转化；解释；转变为；调动
vi. 翻译"
fond,adj. 喜欢的；温柔的；宠爱的
grateful,adj. 感谢的；令人愉快的，宜人的
guard,"n. 守卫；警戒；护卫队；防护装置
vi. 警惕
vt. 保卫；监视"
motivate,vt. 刺激；使有动机；激发…的积极性
pause,"n. 暂停；间歇
vi. 暂停，停顿，中止；踌躇"
celebrate,"vt. 庆祝；举行；赞美；祝贺；宣告
vi. 庆祝；过节；举行宗教仪式"
trick,"n. 诡计；恶作剧；窍门；花招；骗局；欺诈
adj. 特技的；欺诈的；有决窍的
vt. 欺骗；哄骗；装饰；打扮
vi. 哄骗；戏弄"
anxiety,n. 焦虑；渴望；挂念；令人焦虑的事
debate,"n. 辩论；辩论会
vt. 辩论，争论，讨论
vi. 辩论，争论，讨论"
delay,"n. 延期；耽搁；被耽搁或推迟的时间
vt. 延期；耽搁
vi. 延期；耽搁"
deserve,"vi. 应受，应得
vt. 应受，应得"
schedule,"n. 时间表；计划表；一览表
vt. 安排，计划；编制目录；将……列入计划表"
specific,"n. 特性；细节；特效药
adj. 特殊的，特定的；明确的；详细的； 具有特效的"
concentrate,"n. 浓缩，精选；浓缩液
vi. 集中；浓缩；全神贯注；聚集
vt. 集中；浓缩"
quit,"n. 离开； 退出
vt. 离开；放弃；停止；使…解除
adj. 摆脱了…的；已经了结的
vi. 离开；辞职；停止"
stare,"n. 凝视；注视
vt. 凝视，盯着看
vi. 凝视，盯着看；显眼"
sympathy,n. 同情；慰问；赞同
alternative,"n. 二中择一；供替代的选择
adj. 供选择的；选择性的；交替的"
analyze,vt. 对…进行分析，分解（等于analyse）
ancestor,n. 始祖，祖先；被继承人
aspect,n. 方面；方向；形势；外貌
disability,n. 残疾；无能；无资格；不利条件
admire,"vt. 钦佩；赞美
vi. 钦佩；称赞"
adolescent,"n. 青少年
adj. 青春期的；未成熟的"
faithfully,adv. 忠实地；如实地；诚心诚意地；深信着地
previous,"adj. 以前的；早先的；过早的
adv. 在先；在…以前"
reliable,"n. 可靠的人
adj. 可靠的；可信赖的"
legal,adj. 法律的；合法的；法定的；依照法律的
compete,vi. 竞争；比赛；对抗
symbol,n. 象征；符号；标志
trap,"n. 陷阱；圈套； 存水湾
vt. 诱捕；使…受限制；使…陷入困境
vi. 设陷阱"
apologize,"vi. 道歉；辩解；赔不是
vt. 道歉；谢罪；辩白"
mistaken,"adj. 错误的；弄错的；被误解的
v. 弄错（mistake的过去分词）"
vehicle,n.  车辆；工具；交通工具；运载工具；传播媒介；媒介物
brief,"n. 摘要，简报；概要，诉书
adj. 简短的，简洁的；短暂的，草率的
vt. 简报，摘要；作…的提要"
sharp,"n. 尖头；骗子；内行
adj. 急剧的；锋利的；强烈的；敏捷的；刺耳的
vt. 磨快；把音调升高
adv. 急剧地；锐利地；突然地
vi. 打扮；升音演奏"
ordinary,"adj. 普通的；平凡的；平常的
n. 普通；平常的人（或事）"
absorb,vt. 吸收；吸引；承受；理解；使…全神贯注
ceremony,n. 典礼，仪式；礼节，礼仪；客套，虚礼
maintain,vt. 维持；继续；维修；主张；供养
consequence,n. 结果；重要性；推论
citizen,n. 公民；市民；老百姓
violence,n. 暴力；侵犯；激烈；歪曲
bid,"n. 出价；叫牌；努力争取
vi. 投标；吩咐
vt. 投标；出价；表示；吩咐"
bitter,"n. 苦味；苦啤酒
adj. 苦的；痛苦的；尖刻的；充满仇恨的
vt. 使变苦
adv. 激烈地；严寒刺骨地"
shame,"n. 羞耻，羞愧；憾事，带来耻辱的人
vt. 使丢脸，使羞愧"
bury,vt. 埋葬；隐藏
accurate,adj. 精确的
adapt,"vi. 适应
vt. 使适应；改编"
regardless,"adj. 不管的；不顾的；不注意的
adv. 不顾后果地；不管怎样，无论如何；不惜费用地"
commercial,"n. 商业广告
adj. 商业的；营利的；靠广告收入的"
confidence,"n. 信心；信任；秘密
adj. （美）诈骗的；骗得信任的"
amaze,vt. 使吃惊
amuse,vt. 娱乐；消遣；使发笑；使愉快
attach,"vi. 附加；附属；伴随
vt. 使依附；贴上；系上；使依恋"
typical,adj. 典型的；特有的；象征性的
negative,"adj.  负的；消极的；否定的；阴性的
n. 否定；负数； 底片
vt. 否定；拒绝"
species,"n.  物种；种类
adj. 物种上的"
occasion,"n. 时机，机会；场合；理由
vt. 引起，惹起"
cautious,adj. 谨慎的；十分小心的
engage,"vi. 从事；答应，保证；交战；啮合
vt. 吸引，占用；使参加；雇佣；使订婚；预定"
expose,vt. 揭露，揭发；使曝光；显示
political,adj. 政治的；党派的
convenient,adj. 方便的；适当的；近便的；实用的
assess,vt. 评定；估价；对…征税
astonish,vt. 使惊讶
guarantee,"n. 保证；担保；保证人；保证书；抵押品
vt. 保证；担保"
decline,"n. 下降；衰退；斜面
vt. 谢绝；婉拒
vi. 下降；衰落；谢绝"
background,"n. 背景；隐蔽的位置
adj. 背景的；发布背景材料的
vt. 作…的背景"
mysterious,adj. 神秘的；不可思议的；难解的
block,"n. 块；街区；大厦；障碍物
adj. 成批的，大块的；交通堵塞的
vt. 阻止；阻塞；限制；封盖"
emergency,"n. 紧急情况；突发事件；非常时刻
adj. 紧急的；备用的"
sink,"n. 水槽；洗涤槽；污水坑
vi. 下沉；消沉；渗透
vt. 使下沉；挖掘；使低落"
abandon,"n. 放任；狂热
vt. 遗弃；放弃"
adjust,"vt. 调整，使…适合；校准
vi. 调整，校准；适应"
capital,"n. 首都，省会；资金；大写字母；资本家
adj. 首都的；重要的；大写的"
charm,"n. 魅力，吸引力；魔力
vt. 使陶醉；行魔法
vi. 有魔力；用符咒"
evaluate,"vt. 评价；估价；求…的值
vi. 评价；估价"
exploit,"n. 勋绩；功绩
vt. 开发，开拓；剥削；开采"
poison,"n. 毒药，毒物；酒；有毒害的事物； 抑制剂
adj. 有毒的
vt. 污染；使中毒，放毒于；败坏；阻碍
vi. 放毒，下毒"
migrate,"vi. 移动；随季节而移居；移往
vt. 使移居；使移植"
current,"n. （水，气，电）流；趋势；涌流
adj. 现在的；流通的，通用的；最近的；草写的"
combine,"n. 联合收割机；联合企业
vt. 使化合；使联合，使结合
vi. 联合，结合；化合"
sweep,"n. 打扫，扫除；范围；全胜
vt. 扫除；猛拉；掸去
vi. 扫，打扫；席卷；扫视；袭击"
trade,"n. 贸易，交易；行业；职业
vt. 用…进行交换
vi. 交易，买卖；以物易物"
appointment,n. 任命；约定；任命的职位
guilty,adj. 有罪的；内疚的
moral,"adj. 道德的；精神上的；品性端正的
n. 道德；寓意"
wander,"vi. 徘徊；漫步；迷路；离题
vt. 游荡，漫游"
charity,n. 慈善；施舍；慈善团体；宽容；施舍物
jog,"vt. 慢跑；轻推；蹒跚行进；使颠簸
vi. 慢跑；轻推；蹒跚行进；颠簸着移动
n. 慢跑；轻推，轻撞"
ensure,vt. 保证，确保；使安全
poverty,n. 贫困；困难；缺少；低劣
precise,adj. 精确的；明确的；严格的
conservation,n. 保存，保持；保护
consult,"vi. 请教；商议；当顾问
vt. 查阅；商量；向…请教"
crime,"n. 罪行，犯罪；罪恶；犯罪活动
vt. 控告……违反纪律"
complex,"n. 复合体；综合设施
adj. 复杂的；合成的"
forbid,vt. 禁止；不准；不允许；严禁
federal,"adv. 联邦政府地
adj. 联邦的；同盟的；联邦政府的； 联邦制的"
gap,"n. 间隙；缺口；差距；分歧
vt. 使形成缺口
vi. 裂开"
apparent,adj. 显然的；表面上的
unexpected,adj. 意外的，想不到的
unwilling,adj. 不愿意的；不情愿的；勉强的
habitat,n.  栖息地，产地
retire,"n. 退休；退隐；退兵信号
vi. 退休；撤退；退却
vt. 退休；离开；收回"
defend,"vi. 保卫；防守
vt. 辩护；防护"
withdraw,"vt. 撤退；收回；撤消；拉开
vi. 撤退；离开"
participate,"vi. 参与，参加；分享
vt. 分享；分担
"
enable,vt. 使能够，使成为可能；授予权利或方法
accompany,"vt. 陪伴，伴随；伴奏
vi. 伴奏，伴唱"
chief,"n. 首领；酋长；主要部分
adj. 首席的；主要的；主任的
adv. 主要地；首要地"
explode,"vi. 爆炸，爆发；激增
vt. 使爆炸；爆炸；推翻"
precious,adj. 宝贵的；珍贵的；矫揉造作的
register,"n. 登记；注册；记录；寄存器；登记簿
vt. 登记；注册；记录；挂号邮寄；把…挂号；正式提出
vi. 登记；注册；挂号"
remark,"n. 注意；言辞
vt. 评论；觉察
vi. 谈论"
curiosity,n. 好奇，好奇心；珍品，古董，古玩
theory,n. 理论；原理；学说；推测
thick,"n. 最拥挤部分；活动最多部分；事物的粗大浓密部分
adj. 厚的；浓的；粗大的
adv. 密集地；浓浓地，厚厚地"
affordable,adj. 负担得起的
atmosphere,n. 气氛；大气；空气
household,"n. 全家人，一家人；(包括佣工在内的)家庭，户
adj. 家庭的；日常的；王室的"
