dream team,"n. 梦之队；最佳阵容；最佳组合
 梦幻队；出发梦之队；梦幻团队"
be used to,"na. 惯于
 习惯于；适应；被用来"
draw sb's attention to, 吸引某人的注意；引起某人注意某物；促使某人注意某事
wrestling,"n. 摔跤；扭斗
v. 摔跤；格斗（wrestle的ing形式）；与…摔跤；使劲移动"
boxing,"n. 拳击；装箱；围模；做箱的材料
v. 将…装入盒中（box的ing形式）"
upwards,adv. 向上；在上部；向上游
angle,"n. 角度，角，方面
vi. 钓鱼；谋取"
collision,n. 碰撞；冲突；（意见，看法）的抵触；（政党等的）倾轧
parallel,"n. 平行线；对比
adj. 平行的；类似的，相同的
vt. 使…与…平行"
adequate,adj. 充足的；适当的；胜任的
sock,"vt. 重击；给……穿袜
n. 短袜；一击
adv. 正着地；不偏不倚地
adj. 非常成功的"
sneaker,n. 运动鞋；卑鄙者；鬼鬼祟祟做事的人
absorb,vt. 吸收；吸引；承受；理解；使…全神贯注
bound,"n. 范围；跳跃
adj. 有义务的；必定的；受约束的；装有封面的
vt. 束缚；使跳跃
vi. 限制；弹起"
vest,"n. 背心；汗衫
vt. 授予；使穿衣
vi. 归属；穿衣服"
abrupt,adj. 生硬的；突然的；唐突的；陡峭的
horizontal,"n. 水平线，水平面；水平位置
adj. 水平的；地平线的；同一阶层的"
accelerate,"vt. 使……加快；使……增速
vi. 加速；促进；增加"
bounce,"n. 跳；弹力；活力
vt. 弹跳；使弹起
vi. 弹跳；弹起，反跳；弹回"
tournament,n. 锦标赛，联赛；比赛
interval,n. 间隔；间距；幕间休息
appoint,"vt. 任命；指定；约定
vi. 任命；委派"
typical,adj. 典型的；特有的；象征性的
slim,"adj. 苗条的；修长的；微小的；差的
vt. 使…体重减轻；使…苗条
vi. 减轻体重；变细"
stout,"n. 矮胖子；烈性啤酒
adj. 结实的；矮胖的；勇敢的；激烈的"
belly,"n. 腹部；胃；食欲
vt. 使鼓起
vi. 涨满；鼓起"
obtain,"vi. 获得；流行
vt. 获得"
circuit,"n.  电路，回路；巡回；一圈；环道
vt. 绕回…环行
vi. 环行"
boundary,n. 边界；范围；分界线
controversial,adj. 有争议的；有争论的
aside,"prep. 在…旁边
n. 旁白；私语，悄悄话；离题的话
adv. 离开，撇开；在旁边"
dip,"n. 下沉，下降；倾斜；浸渍，蘸湿
vi. 浸；下降，下沉；倾斜；舀，掏
vt. 浸，泡，蘸；舀取；把伸入"
commit,vt. 犯罪，做错事；把...交托给；指派…作战；使…承担义务
foul,"n. 犯规；缠绕
adj. 犯规的；邪恶的；污秽的；淤塞的
vt. 犯规；弄脏；淤塞；缠住，妨害
adv. 违反规则地，不正当地
vi. 犯规；腐烂；缠结"
suspension,n. 悬浮；暂停；停职
penalty,n. 罚款，罚金；处罚
take possession of,"na. 占领
 占有；拥有；占有，拥有"
howl,"n. 嗥叫；怒号；嚎哭
vt. 狂喊着说；对…吼叫
vi. 咆哮；怒吼；狂吠"
bleed,"vt. 使出血；榨取
vi. 流血；渗出；悲痛"
cheek,"n. 面颊，脸颊；臀部
vt. 无礼地向…讲话，对…大胆无礼"
pulse,"n.  脉冲；脉搏
vt. 使跳动
vi. 跳动，脉跳"
confirm,vt. 确认；确定；证实；批准；使巩固
dizzy,"adj. 晕眩的；使人头晕的；昏乱的；心不在焉的；愚蠢的
vt. 使头晕眼花；使混乱；使茫然"
bandage,"n. 绷带
vt. 用绷带包扎"
blanket,"n. 毛毯，毯子；毯状物，覆盖层
adj. 总括的，全体的；没有限制的
vt. 覆盖，掩盖；用毯覆盖"
ambulance,n.  救护车；战时流动医院
considerate,adj. 体贴的；体谅的；考虑周到的
apologise,vi. 道歉（等于apologize）
sniff,"vt. 嗅；闻；用力吸；发觉
vi. 嗅；嗤之以鼻
n. 吸，闻；嗤之以鼻；气味；以鼻吸气；吸气声"
weep,"n. 哭泣；眼泪；滴下
vt. 哭泣；流泪；悲叹；流出或渗出液体
vi. 哭泣；流泪；哀悼；滴落；渗出液体"
frustration,n. 挫折
teamwork,n. 团队合作；协力
scar,"n. 创伤；伤痕
vt. 伤害；给留下伤痕
vi. 结疤；痊愈"
oval,"adj. 椭圆的；卵形的
n. 椭圆形；卵形"
gymnasium,n. 体育馆；健身房
pole,
basis,n. 基础；底部；主要成分；基本原则或原理
be based on,"v. 以…为基础
 根据；基于；以……为根据"
version,n. 版本；译文；倒转术
highlight,"n. 最精彩的部分；最重要的事情；加亮区
vt. 突出；强调；使显著；加亮"
chart,"n. 图表；海图；图纸；排行榜
vt. 绘制…的图表；在海图上标出；详细计划；记录；记述；跟踪（进展或发展"
prom,n. 毕业舞会（为中学生举办的正式舞会或聚会，通常在高中学年即将结束时举行）
peer,"vt. 封为贵族；与…同等
vi. 凝视，盯着看；窥视
n. 贵族；同等的人；同龄人"
mediator,n. 调停者；传递者；中介物
forever,adv. 永远；不断地；常常
look back at,
settle,"n. 有背长椅
vi. 解决；定居；沉淀；下陷
vt. 解决；安排；使…定居"
have fun,"na. 作乐
 玩得开心；玩得高兴；玩的开心"
competitive,adj. 竞争的；比赛的；求胜心切的
elect,"n. 被选的人；特殊阶层；上帝的选民
adj. 选出的；当选的；卓越的
vi. 作出选择；进行选举
vt. 选举；选择；推选"
suit,"n. 诉讼；恳求；套装，西装；一套外衣
vt. 适合；使适应
vi. 合适；相称"
rent,"n. 租金
vt. 出租；租用；租借
vi. 租；出租"
It's a great pity that ...,
dinner jacket,"n. 无尾礼服上衣
 晚礼服；小礼服；半正式礼服"
enormous,adj. 庞大的，巨大的；凶暴的，极恶的
slogan,n. 标语；呐喊声
attract,"vt. 吸引；引起
vi. 吸引；有吸引力"
photography,n. 摄影；摄影术
keen,"adj. 敏锐的，敏捷的；渴望的；强烈的；热心的；锐利的
n. 痛哭，挽歌"
issue,"n. 问题；流出；期号；发行物
vt. 发行，发布；发给；放出，排出
vi. 发行；流出；造成…结果；传下"
as far as I'm concerned, 就我而言；依我看；在我看来
in my view,"na. 照我看来
 在我看来；我认为；依我看"
after-school,adj. 课后的，课外的
consider,"vi. 考虑；认为；细想
vt. 考虑；认为；考虑到；细想"
be considered as,"v. 被认为是
 被看作；被看做；被认为是一个独立的学科"
develop,"vi. 发育；生长；进化；显露
vt. 开发；进步；使成长；使显影"
activity,n. 活动；行动；活跃
ability,n. 能力，能耐；才能
outdoor,adj. 户外的；露天的；野外的（等于out-of-door）
water skiing,"v. “water-ski”的现在分词
 滑水；水橇；滑水运动"
be likely to do,
tradition,n. 惯例，传统；传说
boarding,"n. 木板；寄膳宿；上船
v. 用木板遮住；收费为…供膳（board的ing形式）
adj. 供膳的"
nursery,n. 苗圃；托儿所；温床
recite,"vt. 背诵；叙述；列举
vi. 背诵；叙述"
alphabet,"n. 字母表，字母系统；入门，初步
n. Google创建的名为Alphabet的公司，改变Google原有公司架构，旨在使其当下主要业务和长期投资项目间的区别更加清晰。"
institution,n. 制度；建立；（社会或宗教等）公共机构；习俗
sew,"vt. 缝合，缝上；缝纫
vi. 缝纫，缝"
woollen,"n. 毛织品
adj. 羊毛制的"
suitcase,n.  手提箱；衣箱
luggage,n. 行李；皮箱
innocent,"n. 天真的人；笨蛋
adj. 无辜的；无罪的；无知的"
pillow,"n. 枕头
vt. 垫；枕于…；使…靠在
vi. 枕着头；靠在枕上"
quilt,"n. 被子；棉被
vt. 东拼西凑地编；加软衬料后缝制
vi. 缝被子"
worn,"v. 穿；磨损（wear的过去分词）；佩戴
adj. 疲倦的；用旧的"
armchair,"n. 扶手椅，单人沙发
adj. 不切实际的"
shabby,adj. 破旧的；卑鄙的；吝啬的；低劣的
cushion,"n. 垫子；起缓解作用之物；（猪等的）臀肉；银行储蓄
vt. 给…安上垫子；把…安置在垫子上；缓和…的冲击"
kettle,n. 壶； 釜；罐；鼓
decoration,n. 装饰，装潢；装饰品；奖章
curtain,"n. 幕；窗帘
vt. 遮蔽；装上门帘"
washroom,n. 洗手间；盥洗室；厕所
basin,n. 水池；流域；盆地；盆
bathtub,n. 浴缸
sob,"n. 啜泣，呜咽
vt. 哭诉，啜泣
vi. 啜泣，呜咽；（风等）发出呜咽声"
arithmetic,n. 算术，算法
multiply,"vt. 乘；使增加；使繁殖；使相乘
vi. 乘；繁殖；增加
adv. 多样地；复合地
adj. 多层的；多样的"
algebra,n. 代数学
geometry,"n. 几何学
几何结构"
concept,n. 观念，概念
cubic,adj. 立方体的，立方的
acre,n. 土地，地产；英亩
gram,n. 克；鹰嘴豆（用作饲料）
dynamic,"n. 动态；动力
adj. 动态的；动力的；动力学的；有活力的"
bachelor,n. 学士；单身汉；（尚未交配的）小雄兽
botanical,"n. 植物性药材
adj. 植物学的"
microscope,n. 显微镜
regulation,"n. 管理；规则；校准
adj. 规定的；平常的"
punctual,adj. 准时的，守时的；精确的
T-shirt,n. 短袖圆领汗衫
weekday,n. 平日，普通日；工作日
Catholic,
irritate,"vt. 刺激，使兴奋；激怒
vi. 引起恼怒，引起不愉快"
upset,"n. 混乱；翻倒；颠覆
adj. 心烦的；混乱的；弄翻的
vt. 使心烦；颠覆；扰乱
vi. 翻倒"
polish,
zipper,  齐珀
button,"n. 按钮；纽扣
vt. 扣住；扣紧；在…上装纽扣
vi. 扣住；装有纽扣；扣上纽扣"
mailbox,n. 邮箱；邮筒
mummy,n. 妈妈；木乃伊；干瘪的人
airmail,n. 航空邮件
fortnight,n. 两星期
certificate,"n. 证书；执照，文凭
vt. 发给证明书；以证书形式授权给…；用证书批准"
scholarship,n. 奖学金；学识，学问
cheerleading,n. 带领啦啦队
cheerleader,n. 拉拉队队员
cheer,"n. 欢呼；愉快；心情；令人愉快的事
vt. 欢呼；使高兴；为…加油
vi. 欢呼；感到高兴"
squad,"n. 班；小队；五人组（篮球队的非正式说法）
vt. 把…编成班；把…编入班"
pompom,n. 大型机关炮，高射机关炮
routine,"n.  程序；日常工作；例行公事
adj. 日常的；例行的"
course,"n. 科目；课程；过程；进程；道路；路线，航向；一道菜
vt. 追赶；跑过
vi. 指引航线；快跑"
novelist,n. 小说家
scene,n. 场面；情景；景象；事件
cruel,adj. 残酷的，残忍的；使人痛苦的，让人受难的；无情的，严酷的
feed,"n. 饲料；饲养；（动物或婴儿的）一餐
vt. 喂养；供给；放牧；抚养（家庭等）；靠…为生
vi. 吃东西；流入"
pot,"n. 壶；盆；罐
vt. 把…装罐；射击；节略
vi. 随手射击"
warden,n. 区长；看守人；典狱官；学监
serve,"n. 发球，轮到发球
vi. 服役，服务；适合，足够；发球；招待，侍候
vt. 招待，供应；为…服务；对…有用；可作…用"
eager,adj. 渴望的；热切的；热心的
appetite,n. 食欲；嗜好
whisper,"n. 私语；谣传；飒飒的声音
vi. 耳语；密谈；飒飒地响
vt. 低声说出"
nudge,"n. 推动；用肘轻推；没完没了抱怨的人
vt. 推进；用肘轻推；向…不停地唠叨
vi. 轻推；推进；唠叨"
desperate,adj. 不顾一切的；令人绝望的；极度渴望的
healthy,adj. 健康的，健全的；有益于健康的
in astonishment,"na. 愕然
 吃惊地；惊讶地；惊奇"
support,"n. 支持，维持；支援，供养；支持者，支撑物
vt. 支持，支撑，支援；扶持，帮助；赡养，供养"
in a ... voice,
no sooner ... than ...,
seize,"vt. 抓住；夺取；理解；逮捕
vi. 抓住；利用；（机器）卡住"
hang,"n. 悬挂；暂停，中止
vt. 悬挂，垂下；装饰；绞死；使悬而未决
vi. 悬着，垂下；被绞死；悬而不决"
lock,"vt. 锁，锁上；隐藏
vi. 锁；锁住；卡住
n. 锁；水闸；刹车"
workhouse,n. （英）济贫院；（美） 教养所；感化院；贫民习艺所
reward,"n.  报酬；报答；酬谢
vt.  奖励；奖赏"
scream,"n. 尖叫声；尖锐刺耳的声音；极其滑稽可笑的人
vi. 尖叫；呼啸；发出尖锐刺耳的声音；令人触目惊心
vt. 尖声喊叫；大叫大嚷着要求"
collar,"n. 衣领；颈圈
vt. 抓住；给…上领子；给…套上颈圈"
rough,"n. 艰苦；高低不平的地面；未经加工的材料；粗糙的部分
adj. 粗糙的；粗略的；粗野的；艰苦的；未经加工的
vt. 使粗糙；粗暴对待；草拟
adv. 粗糙地；粗略地；粗暴地
vi. 举止粗野"
drag,"n. 拖；拖累
vi. 拖曳；缓慢而吃力地行进
vt. 拖累；拖拉；缓慢而吃力地行进"
naughty,adj. 顽皮的，淘气的；不听话的；没规矩的；不适当的；下流的
rascal,"n. 流氓，无赖；淘气鬼，捣蛋鬼
adj. 不诚实的；下贱的，卑鄙的"
orphan,"adj. 孤儿的；无双亲的
n. 孤儿
vt. 使成孤儿"
convict,"n. 罪犯
vt. 证明…有罪；宣告…有罪"
escape,"n. 逃跑；逃亡；逃走；逃跑工具或方法；野生种；泄漏
vi. 逃脱；避开；溜走；（气体，液体等）漏出；（未受伤或只受了一点伤害而）逃脱；声音（不自觉地）由…发出
vt. 逃避，避开，避免；被忘掉；被忽视"
prison,"n. 监狱；监禁；拘留所
vt. 监禁，关押"
wedding,"n. 婚礼，婚宴；结婚；结合
v. 与…结婚（wed的ing形式）"
intend,"vi. 有打算
vt. 打算；想要；意指"
illegally,adv. 非法地
repay,"vt. 回报；报复；付还
vi. 偿还；报答；报复"
cast,"n. 投掷，抛；铸件， 铸型；演员阵容；脱落物
vt. 投，抛；计算；浇铸；投射（光、影、视线等）
vi. 投，抛垂钓鱼钩；计算，把几个数字加起来"
distribute,vt. 分配；散布；分开；把…分类
chapter,"n. 章，回；（俱乐部、协会等的）分会；人生或历史上的重要时期
vt. 把…分成章节"
filthy,adj. 肮脏的；污秽的；猥亵的
sparrow,n. 麻雀；矮小的人
seagull,n. 海鸥
pipe,"n. 管；烟斗；笛
vt. 用管道输送；尖声唱；用管乐器演奏
vi. 吹笛；尖叫"
smog,n. 烟雾
choke,"n. 窒息；噎； 阻气门
vi. 窒息；阻塞；说不出话来
vt. 呛；使窒息；阻塞；抑制；扑灭"
swallow,"n. 燕子；一次吞咽的量
vt. 忍受；吞没
vi. 吞下；咽下"
rag,"n. 破布；碎屑
vt. 戏弄；责骂
vi. 变破碎；穿着讲究"
dustbin,n. 垃圾箱；吃货
attain,"n. 成就
vt. 达到，实现；获得；到达
vi. 达到；获得；到达"
nutrition,n. 营养，营养学；营养品
starvation,n. 饿死；挨饿；绝食
welfare,"n. 福利；幸福；福利事业；安宁
adj. 福利的；接受社会救济的"
concern,"n. 关系；关心；关心的事；忧虑
vt. 涉及，关系到；使担心"
taxpayer,n. 纳税人；所收租金只够支付地产税的建筑物
compass,"n. 指南针，罗盘；圆规
vt. 包围"
anchor,"n. 锚；抛锚停泊；靠山；新闻节目主播
adj. 末棒的；最后一棒的
vt. 抛锚；使固定；主持节目
vi. 抛锚"
inn,"n. 客栈；旅馆
vi. 住旅馆"
carrier,n.  载体；运送者；带菌者；货架
accumulate,"vt. 积攒
vi. 累积；积聚"
corporation,n. 公司；法人（团体）；社团；大腹便便；市政当局
navy,"n. 海军
深蓝色的"
pile,"n. 堆；大量；建筑群
vt. 累积；打桩于
vi. 挤；堆积；积累"
paperwork,n. 文书工作
trial,"n. 试验；审讯；努力；磨炼
adj. 试验的；审讯的"
pump,"n. 泵，抽水机；打气筒
vt. 打气；用抽水机抽…
vi. 抽水"
fountain,n. 喷泉，泉水；源泉
pub,n. 酒馆；客栈
maid,"n. 女仆；少女
vt. 侍候；做新娘的女傧相
vi. 当女仆"
bunch,"n. 群；串；突出物
vt. 使成一串；使打褶
vi. 隆起；打褶；形成一串"
mistress,n. 情妇；女主人；主妇；女教师；女能人
accomplish,vt. 完成；实现；达到
ambassador,n. 大使；代表；使节
humble,"adj. 谦逊的；简陋的；（级别或地位）低下的；不大的
vt. 使谦恭；轻松打败（尤指强大的对手）；低声下气"
pedestrian,"n. 行人；步行者
adj. 徒步的；缺乏想像力的"
lantern,n. 灯笼；提灯；灯笼式天窗
mourn,v. 哀悼；忧伤；服丧
a huge amount of,
bring sth. to the attention of sb.,
soul music,"na. 激情的爵士音乐
 灵魂乐；灵魂音乐；灵歌"
blues,"n. 忧郁布鲁斯歌曲；蓝色物（blue的复数）
v. 把…染成蓝色（blue的第三人称单数）"
harmonica,n. 口琴（等于mouth organ）
sophisticated,"adj. 复杂的；精致的；久经世故的；富有经验的
v. 使变得世故；使迷惑；篡改（sophisticate的过去分词形式）"
rhythmic,"n. 韵律论（等于rhythmics）
adj.  有节奏的（等于rhythmical）；间歇的；合拍的"
rhythm,n. 节奏；韵律
gospel,"n. 真理；信条
adj. 传播福音的；福音赞美诗的"
improvisation,n. 即兴创作；即席演奏
syncopation,n. 中略；切分法；省略中间的音节
DJ,abbr. 流行音乐播音员，流行音乐节目主持人（disc jockey）；地方初审法院法官（District Judge）；司法部（Department of Justice）
hip hop,"n. 嘻哈音乐（由美国黑人兴起，包括说唱和电子乐器演奏）
 街舞；嘻哈宝典；嘻哈文化"
graffiti,n. 墙上乱写乱画的东西（graffito的复数形式）
microphone,n. 扩音器，麦克风
percussion,n.  叩诊；振动；碰撞；敲打乐器；打击乐器组
rap,"n. 轻敲
vi. 敲击；交谈
vt. 抢走；轻敲；敲击致使；使着迷"
reggae,n. 瑞格舞（西印度群岛的一种舞蹈及舞曲）
turntable,n. （唱机上的）转盘； 转车台；转车；（餐桌上用的）旋盘
movement,n. 运动；活动；运转；乐章
MC-ing,comb.form 表示“麦当劳式的”，“快速生产而廉价的”：
technique,n. 技巧，技术；手法
Jamaica,n. 牙买加（拉丁美洲一个国家）
side by side,"na. 并排着
 肩并肩；肩并肩地；朗文国际英语教程"
improvise,"vt. 即兴创作；即兴表演；临时做；临时提供
vi. 即兴创作；即兴表演；临时凑合"
vocal,"adj. 直言不讳的
adj. 歌唱的；声音的，有声的
n. 声乐作品；元音"
approach,"n. 方法；途径；接近
vt. 接近；着手处理
vi. 靠近"
be bored with,"v. 厌烦
 对……厌烦；对……感到厌烦；厌倦"
disco,n. 迪斯科舞厅；的士高
decline,"n. 下降；衰退；斜面
vt. 谢绝；婉拒
vi. 下降；衰落；谢绝"
take advantage of,"na. 乘；利用；欺骗；引诱(女人)
 占便宜；充分利用；对……加以利用"
backing track, 伴奏曲；背景伴奏；悪戯道化师
rapper,n. 敲门者；叩击物
emerge,vi. 浮现；摆脱；暴露
rather than,"na. 而不
 而不是；宁愿；与其"
touch,"n. 接触；触觉；格调；少许
vt. 接触；触动；使轻度受害
vi. 触摸；涉及；接近；提到"
trumpet,"n. 喇叭；喇叭声
vt. 吹喇叭；吹嘘
vi. 吹喇叭；发出喇叭般的声音"
in order,"na. 整整齐齐；合规则；情况正常；健康
 按顺序；秩序井然；按次序"
try out,"na. (采用前)严密试验；筛矿；量(金属的)纯度
 试用；尝试；考验"
arise,vi. 出现；上升；起立
offshore,"adj. 离岸的； 近海的；吹向海面的
adv. 向海面，向海"
boom,"n. 繁荣；吊杆；隆隆声
vt. 使兴旺；发隆隆声
vi. 急速发展；发隆隆声"
friction,n. 摩擦， 摩擦力
harmony,n. 协调；和睦；融洽；调和
virtue,n. 美德；优点；贞操；功效
be blessed with, 幸运地享有；有幸得到；享有的
conventional,adj. 符合习俗的，传统的；常见的；惯例的
fancy,"n. 幻想；想象力；爱好
adj. 想象的；奇特的；昂贵的；精选的
vt. 想象；喜爱；设想；自负
vi. 幻想；想象"
blouse,"n. 宽松的上衣；女装衬衫
vt. 使…宽松下垂
vi. 宽松下垂"
slacks,"n. 便裤；宽松长裤
v. 放松；懈怠；使…松弛（slack的第三人称单数）"
neat,adj. 灵巧的；整洁的；优雅的；齐整的；未搀水的；平滑的
mom,n. 妈妈
consensus,n. 一致；舆论；合意
makeover,n. 化妆美容；大转变
budget,"n. 预算，预算费
adj. 廉价的
vt. 安排，预定；把…编入预算
vi. 编预算，做预算"
cheque,n. 支票
consultant,n. 顾问；咨询者；会诊医生
vain,adj. 徒劳的；自负的；无结果的；无用的
bonus,n. 奖金；红利；额外津贴
DVD,
pace,"n. 一步；步速；步伐；速度
vi. 踱步；缓慢而行
vt. 踱步于；用步测"
tight,"adj. 紧的；密封的；绷紧的；麻烦的；严厉的；没空的；吝啬的
adv. 紧紧地；彻底地"
schedule,"n. 时间表；计划表；一览表
vt. 安排，计划；编制目录；将……列入计划表"
spokeswoman,n. 女代言人，女代言人
deadline,n. 截止期限，最后期限
otherwise,"adv. 否则；另外；在其他方面
adj. 另外的；其他方面的；原本，本来
conj. 其他；如果不；然后"
come out,"na. 出来
 出现；出柜；现身"
allowance,"n. 津贴，零用钱；允许；限额
vt. 定量供应"
far from,"na. 远离；决不
 远非；完全不；远远不是"
part-time,"adj. 兼职的；部分时间的
adv. 兼职地；用部分时间地"
devote,vt. 致力于；奉献
be devoted to,"v. 献身于
 致力于；奉献于；专心于"
swap,"n. 交换；交换之物
vt. 与...交换；以...作交换
vi. 交换；交易"
super,"n. 特级品，特大号；临时雇员
adj. 特级的；极好的"
yell,"n. 喊声，叫声
vi. 大叫，叫喊
vt. 喊叫着说"
beg,"vi. 乞讨；请求
vt. 乞讨；恳求；回避正题"
beg for,"na. 乞
 乞求；乞求得到；乞求什么东西"
pension,"n. 退休金，抚恤金；津贴；膳宿费
vt. 发给养老金或抚恤金"
quit,"n. 离开； 退出
vt. 离开；放弃；停止；使…解除
adj. 摆脱了…的；已经了结的
vi. 离开；辞职；停止"
refreshing,"adj. 提神的；使清爽的；使人重新振作的
v. 使清新；恢复精神（refresh的ing形式）"
pioneer,"n. 先锋；拓荒者
vt. 开辟；倡导；提倡
vi. 作先驱"
solo,"n. 独奏；独唱；独奏曲
adj. 独奏的；独唱的；单独的
vt. 单人攀登；单独驾
vi. 单独表演；放单飞
adv. 单独地"
satchel,n. 书包；小背包
make an impression on sb.,
protest,"n. 抗议
adj. 表示抗议的；抗议性的
vt. 抗议；断言
vi. 抗议；断言"
migrant,"n. 候鸟；移居者；随季节迁移的民工
adj. 移居的；流浪的"
humorous,adj. 诙谐的，幽默的；滑稽的，可笑的
ethnic,adj. 种族的；人种的
minority,"n. 少数民族；少数派；未成年
adj. 少数的；属于少数派的"
rainforest,n. （热带）雨林
diverse,adj. 不同的；多种多样的；变化多的
native,"adj. 本国的；土著的；天然的；与生俱来的；天赋的
n. 本地人；土产；当地居民"
bright-coloured, 浓艳；斓；鲜艳；鲜艳的
belt,"n. 带；腰带；地带
vt. 用带子系住；用皮带抽打
vi. 猛击"
varied,"v. 改变；使多样化（vary的过去式和过去分词形式）
adj. 多变的；各式各样的；杂色的"
maze,"n. 迷宫；迷惑；糊涂
vt. 迷失；使混乱；使困惑"
cobbled,"adj. 铺有鹅卵石的
v. 铺鹅卵石（cobbled的过去式和过去分词）"
run,"n. 奔跑；赛跑；趋向；奔跑的路程
vt. 管理，经营；运行；参赛
vi. 经营；奔跑；运转"
inherit,"vt. 继承；遗传而得
vi. 成为继承人"
property,n. 性质，性能；财产；所有权
custom,"n. 习惯，惯例；风俗；海关，关税；经常光顾；（经常性的）顾客
adj. （衣服等）定做的，定制的"
apron,"n. 围裙； 停机坪；舞台口
vt. 着围裙于；围绕"
hieroglyphic,"n. 象形文字；象形文字写的文章
adj. 象形文字的；难解的"
in use,"na. 正在用；通行；“in/out of use”的变体
 在使用中；在使用着；在使用着的"
hatch,"n. 孵化；舱口
vt. 孵；策划
vi. 孵化"
pineapple,"n.  菠萝； 凤梨
adj. 凤梨科的"
bucket,"n. 桶，水桶；铲斗；一桶的量
v. 倾盆而下；颠簸着行进"
splash,"n. 飞溅的水；污点；卖弄
vt. 溅，泼；用...使液体飞溅
vi. 溅湿；溅开"
