first floor,"n. 地面以上的一层；底层
 一楼；二楼；第二层"
skirt,"n. 裙子
vt. 绕过，回避；位于…边缘
vi. 沿边走，绕开；环绕"
coat,"n. 外套
vt. 覆盖…的表面"
sweater,n. 毛线衣，运动衫；大量出汗的人，发汗剂
sock,"vt. 重击；给……穿袜
n. 短袜；一击
adv. 正着地；不偏不倚地
adj. 非常成功的"
shorts,n. 短裤
jacket,"n. 羽绒滑雪衫；西装短外套；短上衣，夹克；土豆皮；书籍的护封；文件套，公文夹
vt. 给…穿夹克；给…装护套；给…包上护封；打"
shirt,n. 衬衫；汗衫，内衣
yours,"pron. 你（们）的东西；你的责任；你的家属；来信，尊函
adj. 你（们）的（东西）；信末署名前用语"
whose,pron. 谁的（疑问代词）
mine,"n. 矿，矿藏；矿山，矿井；地雷，水雷
vt. 开采，采掘；在…布雷
vi. 开矿，采矿；埋设地雷
pron. 我的"
pack,"n. 包装；一群；背包；包裹；一副
vt. 包装；压紧；捆扎；挑选；塞满
vi. 挤；包装货物；被包装；群集"
wait,"n. 等待；等候
vi. 等待；耽搁；伺候用餐
vt. 等候；推迟；延缓"
glove,"n. 手套
vt. 给…戴手套"
scarf,"n. 围巾；嵌接，嵌接处；头巾领巾
vt. 披嵌接；用围巾围"
umbrella,n. 雨伞；保护伞；庇护；伞形结构
sunglasses,n. 太阳镜；凸透镜（sunglass的复数）
pretty,"n. 有吸引力的事物（尤指饰品）；漂亮的人
adj. 漂亮的；可爱的；优美的
adv. 相当地；颇"
expensive,adj. 昂贵的；花钱的
cheap,"adj. 便宜的；小气的；不值钱的
adv. 便宜地"
nice,adj. 精密的；美好的；细微的；和蔼的
try on,"na. 试穿；搞恶作剧(以试探能否被容忍)；耍花招
 试试看；试穿衣物；试衣服"
size,"n. 大小；尺寸
adj. 一定尺寸的
vt. 依大小排列
vi. 可比拟"
of course,"na. 当然
 自然；当然可以；当然了"
too,adv. 太；也；很；还；非常；过度
just,"adv. 只是，仅仅；刚才，刚刚；正好，恰好；实在；刚要
adj. 公正的，合理的；正直的，正义的；正确的；公平的；应得的"
how much,"conj. 多少
 多少钱；做多少；有多少"
eighty,"num. 八十
n. 八十；八十岁；八十年代
adj. 八十的，八十个的；八十岁的"
dollar,n. 美元
sale,n. 销售；出售；拍卖；销售额；廉价出售
more,"adv. 更多；此外；更大程度地
adj. 更多的；附加的
pron. 更多的数量
n. 更多"
us,pron. 我们
