hamburger,n. 汉堡包，火腿汉堡；牛肉饼，肉饼；碎牛肉
childhood,n. 童年时期；幼年时代
nursery,n. 苗圃；托儿所；温床
disabled,"adj. 残废的，有缺陷的
v. 使…失去能力（disable的过去分词）"
similar,"n. 类似物
adj. 相似的"
drug,"n. 药；毒品；麻醉药；滞销货
vt. 使服麻醉药；使服毒品；掺麻醉药于
vi. 吸毒"
blind,"n. 掩饰，借口；百叶窗
adj. 盲目的；瞎的
vt. 使失明；使失去理智
adv. 盲目地；看不见地"
discrimination,n. 歧视；区别，辨别；识别力
justify,"vi. 证明合法；整理版面
vt. 证明…是正当的；替…辩护"
judgment,n. 判断；裁判；判决书；辨别力
obsessed,"adj. 着迷的；无法摆脱的
v. 着迷（obsess的过去式）；纠缠"
false,"adj. 错误的；虚伪的；伪造的
adv. 欺诈地"
disorder,"n. 混乱；骚乱
vt. 使失调；扰乱"
issue,"n. 问题；流出；期号；发行物
vt. 发行，发布；发给；放出，排出
vi. 发行；流出；造成…结果；传下"
naturally,"adv. 自然地
自然而然地
轻而易举
天生地
大方地"
comment,"n. 评论；意见；批评
vi. 发表评论；发表意见
vt. 为…作评语"
character,"n. 性格，品质；特性；角色； 字符
vt. 印，刻；使具有特征"
control,"n. 控制；管理；抑制；操纵装置
vt. 控制；管理；抑制"
failure,n. 失败；故障；失败者；破产
beauty,n. 美；美丽；美人；美好的东西
concept,n. 观念，概念
beach,"n. 海滩；湖滨
vt. 将…拖上岸
vi. 搁浅；定居"
model,"n. 模型；典型；模范；模特儿；样式
vt. 模拟；塑造；模仿
vi. 做模型；做模特儿
adj. 模范的；作模型用的"
bone,"n. 骨；骨骼
vt. 剔去...的骨；施骨肥于
vi. 苦学；专心致志"
live off,"na. 住在…之外；以…为生
 靠…生活；靠……供养；依赖…生活"
enjoy doing, 喜欢做某事；享受做某事的乐趣；喜爱做某事
enjoy doing something,
as early as, 早在；和……一样早；早……的时候
would rather,"na. 宁愿
 宁可；宁可…也不；宁肯"
in every aspect of,
in reality,"na. 事实上；实在
 实际上；在现实中；其实"
try hard to do,
try hard to do something,
at a rate,"prep.按...的比率,以...的速度"
get back,"na. 取回；回来；送回；报复
 返回；回家；恢复"
get back something, 收回东西
on the beach,"na. 失业的；穷愁潦倒的；担任陆上职务
 在沙滩上；在海滩上；海滨"
Center for Disease Control,
British Virgin Islands,英属维尔京群岛（英国在小安的列斯群岛最北部的殖民地，首府罗德城）
diner,n. 用餐者；路边小饭店；餐车式简便餐厅
fellow,"n. 家伙；朋友；同事；会员
adj. 同伴的，同事的；同道的
vt. 使…与另一个对等；使…与另一个匹敌"
ton,n. 吨；很多，大量
self-respect,n. 自重，自尊
lack,"vt. 缺乏；不足；没有；需要
vi. 缺乏；不足；没有
n. 缺乏；不足"
serve,"n. 发球，轮到发球
vi. 服役，服务；适合，足够；发球；招待，侍候
vt. 招待，供应；为…服务；对…有用；可作…用"
alike,"adj. 相似的；相同的
adv. 以同样的方式；类似于"
pride,"n. 自豪；骄傲；自尊心
vt. 使得意，以…自豪
vi. 自豪"
achievement,n. 成就；完成；达到；成绩
salesman,n. 推销员；售货员
confidence,"n. 信心；信任；秘密
adj. （美）诈骗的；骗得信任的"
lend,"vt. 贷；增添，提供；把……借给
vi. 贷款"
sunshine,n. 阳光；愉快；晴天；快活
faith,n. 信仰；信念；信任；忠实
invest,"vi. 投资，入股；花钱买
vt. 投资；覆盖；耗费；授予；包围"
meantime,"n. 其时，其间
adv. 同时；其间"
stockbroker,n.  股票经纪人
apply,"vi. 申请；涂，敷；适用；请求
vt. 申请；涂，敷；应用"
eventually,adv. 最后，终于
plus,"prep. 加，加上
n. 正号，加号；好处；附加额
adj. 正的；附加的"
annual,"n. 年刊，年鉴；一年生植物
adj. 年度的；每年的"
forever,adv. 永远；不断地；常常
print,"n. 印刷业；印花布；印刷字体；印章；印记
vt. 印刷；打印；刊载；用印刷体写；在…印花样
vi. 印刷；出版；用印刷体写"
mount,"vt. 增加；爬上；使骑上马；安装，架置；镶嵌，嵌入；准备上演；成立（军队等）
vi. 爬；增加；上升
n. 山峰；底座；乘骑用马；攀，登；运载工具；底座
v. 登上；骑上"
bill,"n.  法案；广告；账单； 票据；钞票；清单
vt. 宣布；开账单；用海报宣传"
tons of, 大量；一大堆；许多，无数的，一大堆
look up to,"v. 尊敬；另眼看待；向…一举一动看齐
 敬仰；仰望；尊重"
look up to somebody, 尊敬某人；看得起某人；崇拜某人
take pride in,"na. 以…自豪；对…感到满意
 对…感到自豪；以……为自豪；骄傲"
help out,"v. 帮助…摆脱困境；救出；协助
 帮忙；帮助解决困难；帮助克服困难"
as soon as,"na. 一…就；见 soon 条
 一……就；一怎么样就怎么样；一经"
pick up,"v. 拾起；探出；重新开始
 捡起；拿起；学会"
dream of,"v. 梦想
 梦见；梦到；向往"
dream of something,
dream of doing something,
share with,"un. 合伙；合住；承担；跟…看法一致
 分享；与…分享；共用"
share something with somebody,
have faith in,"na. 相信
 信任；对……有信心；信仰"
have faith in somebody,
come true,"na. (预言等)成事实；实现；(作物)不变种地发芽生长
 成为现实；成为事实；变成现实"
in the meantime,"na. 在这期间
 与此同时；在此期间；其间"
apply for,"v. 寻求；申请
 提出申请；申请…职位；请求"
end up,"na. 结束；完事；死；直立着
 告终；竖着；最终成为"
invest in,"v. 投资到
 投资于；在…上投资；在…投入"
Mel's Place,
Helen,
Fred Hasbrook,
genius,n. 天才，天赋；精神
software,n. 软件
code,"n. 代码，密码；编码；法典
vt. 编码；制成法典
vi. 指定遗传密码"
dental,"n. 齿音
adj. 牙科的；牙齿的，牙的"
psychology,n. 心理学；心理状态
contact,"n. 接触，联系
vt. 使接触，联系
vi. 使接触，联系"
website,n. 网站（全球资讯网的主机站）
site,"n. 地点；位置；场所
vt. 设置；为…选址"
launch,"vt. 发射（导弹、火箭等）；发起，发动；使…下水
vi. 开始；下水；起飞
n. 发射；发行，投放市场；下水；汽艇"
roommate,n. 室友
investment,n. 投资；投入；封锁
devote,vt. 致力于；奉献
energy,n.  能量；精力；活力；精神
network,n. 网络；广播网；网状物
pretend,"vt. 假装，伪装，模拟
adj. 假装的
vi. 假装，伪装，佯装"
judge,"vt. 判断；审判
n. 法官；裁判员
vi. 审判；判决"
vast,"n. 浩瀚；广阔无垠的空间
adj. 广阔的；巨大的；大量的；巨额的"
resist,"n.  抗蚀剂；防染剂
vt. 抵抗；忍耐，忍住
vi. 抵抗，抗拒；忍耐"
planet,n. 行星
billionaire,n. 亿万富翁
arguably,"adv. 可论证地；可争辩地；正如可提出证据加以证明的那样地
可能，大概"
influential,"adj. 有影响的；有势力的
n. 有影响力的人物"
extraordinary,adj. 非凡的；特别的；离奇的；临时的；特派的
conviction,n. 定罪；确信；证明有罪；确信，坚定的信仰
central,"n. 电话总机
adj. 中心的；主要的；中枢的"
massive,adj. 大量的；巨大的，厚重的；魁伟的
impact,"vi. 影响；撞击；冲突；压紧（on，upon，with）
n. 影响；效果；碰撞；冲击力
vt. 挤入，压紧；撞击；对…产生影响"
operate,"vi. 运转；动手术；起作用
vt. 操作；经营；引起；对…开刀"
decisive,adj. 决定性的；果断的，坚定的
bound,"n. 范围；跳跃
adj. 有义务的；必定的；受约束的；装有封面的
vt. 束缚；使跳跃
vi. 限制；弹起"
valley,n. 山谷；流域；溪谷
headquarters,n. 总部；指挥部；司令部
poster,n. 海报，广告；招贴
vision,"n. 视力；美景；眼力；幻象；想象力；幻视（漫威漫画旗下超级英雄）
vt. 想象；显现；梦见"
overreach,"vt. 走过头；过度伸张；诈骗
vi. 伸得过远；（马）以后蹄踢前蹄"
billion,"num. 十亿
n. 十亿；大量
adj. 十亿的"
achieve,"vt. 取得；获得；实现；成功
vi. 达到预期的目的，实现预期的结果，如愿以偿"
purpose,"n. 目的；用途；意志
vt. 决心；企图；打算"
active,"n. 主动语态；积极分子
adj. 积极的；活跃的；主动的；有效的；现役的"
neighborhood,n. 附近；街坊；接近；街区
loyalty,n. 忠诚；忠心；忠实；忠于…感情
fiercely,adv. 猛烈地；厉害地
loyal,"adj. 忠诚的，忠心的；忠贞的
n. 效忠的臣民；忠实信徒"
priority,n. 优先；优先权； 优先次序；优先考虑的事
relationship,n. 关系；关联
human,"n. 人；人类
adj. 人的；人类的"
means,"n. 手段；方法；财产
v. 意思是；打算（mean的第三人称单数） "
wasteful,adj. 浪费的，不经济的；奢侈的
consumption,n. 消费；消耗；肺痨
rent,"n. 租金
vt. 出租；租用；租借
vi. 租；出租"
apartment,n. 公寓；房间
passion,n. 激情；热情；酷爱；盛怒
successful,adj. 成功的；一帆风顺的
motivate,vt. 刺激；使有动机；激发…的积极性
prospect,"n. 前途；预期；景色
vt. 勘探，勘察
vi. 勘探，找矿"
exception,n. 例外；异议
happiness,n. 幸福
fortune,"n. 财富；命运；运气
vt. 给予财富
vi. 偶然发生"
take a risk,"na. 冒险；承保…的险；承受保险
 承担风险；先人一步冒险；冒风险"
sign up for, 报名参加；学生会报名；注册，选课
pour in,"v. 蜂拥而来
 源源而来；大量涌入；注入"
drop out,"na. 退出；(因不满传统制度而)退出正常社会；落出；隐退
 退学；辍学；掉落"
devote ... to,"v. 把…贡献给
 致力于；献身于；把……献给"
a ton of, 许多；大量的
get down,"na. 开始认真对待；落下；下车；写下
 下来；从…下来；降下"
be bound to do something,
stick to,"na. 忠于
 坚持；粘住；遵守"
turn down,"na. 翻下(衣领等)；扭小(灯火等)拒绝考虑；拒绝(某人)
 关小；调低；驳回"
in the neighborhood of,"na. 在…的附近；大约
 在……的附近；左右"
by chance,"na. 偶然
 碰巧；偶然地；意外地"
Harvard University,"n. 哈佛大学
 美国哈佛大学；毕业于哈佛大学；哈弗大学"
Canada,n. 加拿大（北美洲国家）
Mark Zuckerberg,
CEO,
Chief Executive Officer,
Silicon Valley,
Yahoo,
Menlo Park,门洛帕克（美国加利福尼亚州圣马特奥县东南部城市）
Warren Buffet,
Steve Jobs,
experiment,"n. 实验，试验；尝试
vi. 尝试；进行实验"
unplug,vt. 去掉…的障碍物；拔去…的塞子或插头
completely,adv. 完全地，彻底地；完整地
offline,"n. 脱机；挂线
adj. 脱机的；离线的，未连线的
adv. 未连线地"
headline,"n. 大标题；内容提要；栏外标题；头版头条新闻
vt. 给…加标题；使成为注意中心；大力宣传"
section,"n. 截面；部分；部门；地区；章节
vt. 把…分段；将…切片；对…进行划分
vi. 被切割成片；被分成部分"
disconnect,"vt. 拆开，使分离
vi. 断开"
separate,"n. .分开；抽印本
adj. 单独的；分开的；不同的；各自的；
vt. 使分离；使分开；使分居
vi. 分开；隔开；分居"
withdrawal,n. 撤退，收回；提款；取消；退股
uncomfortable,adj. 不舒服的；不安的
unpleasant,adj. 讨厌的；使人不愉快的
uneasy,adj. 不舒服的；心神不安的；不稳定的
feeling,"n. 感觉，触觉；感情，情绪；同情
v. 感觉；认为（feel的现在分词）；触摸
adj. 有感觉的；有同情心的；富于感情的"
major,"adj. 主要的；重要的；主修的；较多的
n.  成年人；主修科目；陆军少校
vi. 主修"
update,"n. 更新；现代化
vt. 更新；校正，修正；使现代化"
development,n. 发展；开发；发育；住宅小区（专指由同一开发商开发的）； 显影
inform,"vi. 告发；告密
vt. 通知；告诉；报告"
distract,vt. 转移；分心
option,n.  选项；选择权；买卖的特权
replace,vt. 取代，代替；替换，更换；归还，偿还；把…放回原处
vice,"prep. 代替
n. 恶习；缺点； 老虎钳；卖淫
adj. 副的；代替的
vt. 钳住"
remain,"n. 遗迹；剩余物，残骸
vi. 保持；依然；留下；剩余；逗留；残存"
accomplish,vt. 完成；实现；达到
strategy,n. 战略，策略
reconnect,vt. 使再接合
urgently,adv. 迫切地；紧急地；急切地
surf,"vi. 作冲浪运动
vt. 在…冲浪
n. 海浪，拍岸浪"
entertainment,n. 娱乐；消遣；款待
meditate,"vt. 考虑；计划；企图
vi. 冥想；沉思"
architecture,n. 建筑学；建筑风格；建筑式样；架构
admire,"vt. 钦佩；赞美
vi. 钦佩；称赞"
absorb,vt. 吸收；吸引；承受；理解；使…全神贯注
rough,"n. 艰苦；高低不平的地面；未经加工的材料；粗糙的部分
adj. 粗糙的；粗略的；粗野的；艰苦的；未经加工的
vt. 使粗糙；粗暴对待；草拟
adv. 粗糙地；粗略地；粗暴地
vi. 举止粗野"
moreover,adv. 而且；此外
action,n. 行动；活动；功能；战斗；情节
focus,"n. 焦点；中心；清晰；焦距
vt. 使集中；使聚焦
vi. 集中；聚焦；调节焦距"
project,"n. 工程；计划；事业
vt. 设计；计划；发射；放映
vi. 设计；计划；表达；投射"
successfully,adv. 成功地；顺利地
delay,"n. 延期；耽搁；被耽搁或推迟的时间
vt. 延期；耽搁
vi. 延期；耽搁"
connect with,"na. 和…有关系
 与……相连；连接；与…联系"
hit on,"na. 忽然想到；偶然发现；无意中发现；搭讪
 想出；献殷勤；偶然想起"
glance through,"na. 粗略一看
 浏览；匆匆看一遍；匆匆看一眼"
deal with,"na. 办理；对待；与…交涉；与…交易
 处理；对付；应付"
replace ... with,
step into,"v. 走进
 单步执行；步入；单步进入"
get used to,"na. 变得习惯于
 习惯於；适应；习惯一件事情的过程"
come up,"na. 走近；上升；抬头；(暴风雨等)起
 上来；出现；发生"
every now and then,"na. 间或
 偶尔；有时；不时地"
instead of,"prep. 代替；作为…的替换
 而不是；替代；取代"
reflect on,"v. 考虑；回想
 反省；思考；仔细考虑"
become absorbed in,
be absorbed in,"na. 全神贯注在…；热衷于
 全神贯注于；专心于；一心从事"
focus on, 致力于; 使聚焦于; 对（某事或做某事）予以注意; 把…作为兴趣中心
ahead,"adj. 向前；在前的；领先
adv. 向前地；领先地；在（某人或某事物的）前面；预先；在将来，为未来"
suffer,"vi. 遭受，忍受；受痛苦；经验；受损害
vt. 遭受；忍受；经历"
particularly,adv. 特别地，独特地；详细地，具体地；明确地，细致地
previous,"adj. 以前的；早先的；过早的
adv. 在先；在…以前"
convince,vt. 说服；使确信，使信服
cap,"n. 盖；帽子
vt. 覆盖；胜过；给…戴帽；加盖于
vi. 脱帽致意"
acceptable,adj. 可接受的；合意的；可忍受的
event,n. 事件，大事；项目；结果
hide,"n. 躲藏；兽皮；躲藏处
vt. 隐藏；隐瞒；鞭打
vi. 隐藏"
sunny,adj. 阳光充足的，和煦的；快活的；性情开朗的
delicious,adj. 美味的；可口的
disappoint,vt. 使失望
locate,"vt. 位于；查找…的地点
vi. 定位；定居"
congratulation,n. 祝贺；贺辞
atmosphere,n. 气氛；大气；空气
enclose,vt. 围绕；装入；放入封套
delight,"n. 高兴
vt. 使高兴
vi. 高兴"
bare,"adj. 空的；赤裸的，无遮蔽的
vt. 露出，使赤裸"
all-too-familiar, 通病；极不正式的
glow,"n. 灼热；色彩鲜艳；兴高采烈
vi. 发热；洋溢；绚丽夺目"
favorite,"n. 幸运儿；喜欢的事物；特别喜欢的人
adj. 最喜爱的；中意的；宠爱的"
dial,"n. 转盘；刻度盘；钟面
vt. 给…拨号打电话
vi. 拨号"
confidently,adv. 自信地；安心地
hesitate,"vt. 踌躇，犹豫；有疑虑，不愿意
vi. 踌躇，犹豫；不愿"
sight,"n. 视力；景象；眼界；见解
adj. 见票即付的；即席的
vt. 看见；瞄准
vi. 瞄准；观看"
ahead of,"prep. （时间、空间）在…前面；早于；领先
 先于；在……的前面；优于"
suffer from, 患（某种病），受（某种病痛）折磨; 因…而受罚; 闹; 罹
be concerned about,"na. 关心；挂念
 担心；对…关心；关注"
lose touch with somebody,
from above,"na. 从天上；自上
 从上面；自高处；从上级"
a ticket to, 一张…的票；一张……的门票；去往某地的票
the ticket to,
ask somebody out, 邀请
work out,"v. 作出；拟定；制定；计划一下
 算出；解决；制定出"
spend ... on, 花费；把…花在；在……方面花费
think out loud,= think aloud
think aloud,"na. 自言自语
 出声思维；有声思维；出声思考"
take on,"na. 担任(工作等)；较量；装(某种样子)；呈现(形势)
 承担；雇用；雇佣"
land on,"na. 批评
 登陆；降落；降落于"
from a distance,"na. 从远方；“at/from a distance”的变体
 从远处；在远方；来自远方"
be dressed to the nines,打扮得华美漂亮，穿得十分考究
be dressed up to the nines,"穿着华丽的衣服,打扮得漂亮,过分装饰"
in sight,"na. 看得见；“in/within sight”的变体
 在望；在视线之内；在视线内"
within sight, 在眼前；不远了；在视线内
be in love,"v. 恋爱
 相爱；怀春；谈恋爱"
ever since,"na. 从…以来
 从那时起；自从；此后一直"
Sarah,n. 莎拉（女子名）；萨拉（《圣经》中的人物）
nephew,n. 侄子；外甥
protect,vt. 保护，防卫；警戒
conscious,adj. 意识到的；故意的；神志清醒的
warn,"vt. 警告，提醒；通知
vi. 发出警告，发出预告"
careless,adj. 粗心的；无忧无虑的；淡漠的
onto,"prep. 在…之上；对…了解；映射到…上
adj. 映射的；自身的；映成的"
material,"adj. 重要的；物质的，实质性的；肉体的
n. 材料，原料；物资；布料"
injure,vt. 伤害，损害
yard,"n. 院子；码（英制中丈量长度单位，1码=3英尺）；庭院；帆桁
vt. 把…关进或围在畜栏里"
branch,"n. 树枝，分枝；分部；支流
vt. 分支；出现分歧
vi. 分支；出现分歧"
pause,"n. 暂停；间歇
vi. 暂停，停顿，中止；踌躇"
accident,n. 事故；意外； 意外事件；机遇
illness,n. 病；疾病
recall,"n. 召回；回忆；撤消
vt. 召回；回想起，记起；取消"
possibility,n. 可能性；可能发生的事物
backbone,n. 支柱；主干网；决心，毅力；脊椎
injury,n. 伤害，损害；受伤处
direction,n. 方向；指导；趋势；用法说明
content,"n. 内容，目录；满足；容量
adj. 满意的
vt. 使满足"
covering,"n. 遮盖物，覆盖物
v. 覆盖；穿（cover的ing形式）；代替
adj. 掩盖的，掩护的"
grandchild,n. 孙子；孙女；外孙；外孙女
shake,"n. 摇动；哆嗦
vt. 动摇；摇动；震动；握手
vi. 动摇；摇动；发抖"
