umbrella,n. 雨伞；保护伞；庇护；伞形结构
see a film, 看电影；去看电影；去电影院看电影
play computer games, 玩电脑游戏；打电脑游戏；玩电子游戏
farm,"n. 农场；农家；畜牧场
vt. 养殖；耕种；佃出（土地）
vi. 种田，务农；经营农场"
visit a farm,
plant,"n. 工厂，车间；植物；设备；庄稼
vt. 种植；培养；栽培；安置
vi. 种植"
plant vegetables,
ride,"n. 骑；乘坐；交通工具；可供骑行的路；（乘坐汽车等的）旅行；乘骑；（乘车或骑车的）短途旅程；供乘骑的游乐设施
vi. 骑马；乘车；依靠；漂浮
vt. 骑；乘；控制；（骑马、自行车等）穿越；搭乘；飘浮"
ride a horse, 骑马；骑一匹马；乘马
pick,"n. 选择；鹤嘴锄；挖；掩护
vi. 挑选；采摘；挖
vt. 拾取；精选；采摘；掘"
fruit,"n. 水果；产物
vt. 使……结果实
vi. 结果实"
pick fruit,
feed,"n. 饲料；饲养；（动物或婴儿的）一餐
vt. 喂养；供给；放牧；抚养（家庭等）；靠…为生
vi. 吃东西；流入"
feed chickens,
food expo,
enjoy,vt. 欣赏，享受；喜爱；使过得快活
museum,n. 博物馆
which,"adj. 哪一个；哪一些
pron. 哪/那一个；哪/那一些"
afraid,adj. 害怕的；恐怕；担心的
hospital,n. 医院
bookstore,n. 书店（等于bookshop）
by subway, 乘地铁；坐地铁；乘坐地铁
by train,"na. 坐火车
 乘火车；搭火车；乘坐火车"
by plane,"adv. 乘飞机
 坐飞机；乘坐飞机；搭飞机"
map,"vt. 映射；计划；绘制地图；确定基因在染色体中的位置
n. 地图；示意图；染色体图
vi. 基因被安置"
go along,"na. 前进
 进行；沿着……一直走；同意"
second,"num. 第二
n. 秒；第二名；瞬间；二等品
adj. 第二的；次要的；附加的
vt. 支持
adv. 第二；其次；居第二位"
street,"n. 街道
adj. 街道的"
turn right,"na. 转往右面
 向右转；向右拐；转右"
next to,"prep. 紧邻；在…近旁；仅次于；紧接
 在…旁边；紧挨着；与……相邻"
bank,"n. 银行；岸；浅滩；储库
vt. 将…存入银行；倾斜转弯
vi. 堆积；倾斜转弯"
turn left,"un. 向左转
 转左；向左走；向左拐"
near,"adj. 近的；亲近的；近似的
adv. 近；接近
prep. 靠近；近似于"
yours,"pron. 你（们）的东西；你的责任；你的家属；来信，尊函
adj. 你（们）的（东西）；信末署名前用语"
candle,"n. 蜡烛；烛光；烛形物
vt. 对着光检查"
make a wish, 许愿；许个愿；许一个愿望
January,n. 一月
February,n. 二月
March,
April,n. 四月
May,
June,n. 六月；琼（人名，来源于拉丁语，含义是“年轻气盛的六月”）
month,n. 月，一个月的时间
important,adj. 重要的，重大的；有地位的；有权力的
holiday,"n. 假日；节日；休息日
vi. 外出度假"
country,"n. 国家，国土；国民；乡下，农村；乡村；故乡
adj. 祖国的，故乡的；地方的，乡村的；国家的；粗鲁的；乡村音乐的"
decorate,"vt. 装饰；布置；授勋给
vi. 装饰；布置"
Christmas,n. 圣诞节；圣诞节期间
buy,"n. 购买，买卖；所购的物品
vi. 买，采购
vt. 购买；获得；贿赂"
July,n. 七月
August,
September,n. 九月
October,n.  十月
November,n. 十一月
December,n. 十二月
the Forbidden City,
the Summer Palace,
BRT,
Bus Rapid Transit,
You're welcome.,
What's his hobby?,
Let me see.,
I'm afraid you can't.,
You're my good helper.,
When is yours?,
