downsize,vt. 以较小尺寸设计；缩小尺寸；裁减人数
adjective,"n. 形容词
adj. 形容词的；从属的"
sincerely,adv. 真诚地；由衷地，诚恳地
faithfully,adv. 忠实地；如实地；诚心诚意地；深信着地
principle,n. 原理，原则；主义，道义；本质，本义；根源，源泉
signature,n. 署名；签名；信号
flow,"n. 流动；流量；涨潮，泛滥
vt. 淹没，溢过
vi. 流动，涌流；川流不息；飘扬"
hopefully,adv. 有希望地，有前途地
no more than,"na. 不过是；仅仅
 至多；只是；只不过"
cold call,n. （向潜在的主顾打的）冷不防电话
go ahead,"na. 取得进展
 继续；前进；干吧"
to this effect,"na. 按这种意思
 带有那个意思；大意是如此"
to that effect,"un. 大意是
 是那个意思的；带有那个意思；大意是那样"
wrap up,包裹；圆满完成；（使）穿得暖和（wrap somebody/yourself up）；注意力完全集中于……
read over,"v. 审阅
 读一遍；阅读并加以批示或批改；看一遍"
in turn,"na. 挨次
 依次；轮流；反过来"
ineffective,adj. 无效的，失效的；不起作用的
precision,"n. 精度， 精密度；精确
adj. 精密的，精确的"
reader,n. 读者；阅读器；读物
unnecessary,adj. 不必要的；多余的，无用的
appropriate,"adj. 适当的；恰当的；合适的
vt. 占用，拨出"
establish,"vi. 植物定植
vt. 建立；创办；安置"
self-assessment,n. 自我评估
prior,"adj. 优先的；在先的，在前的
adv. 在前，居先"
draft,"n. 汇票；草稿；选派；（尤指房间、烟囱、炉子等供暖系统中的）（小股）气流
vt. 起草；制定；征募
vi. 拟稿；绘样；作草图
adj. 初步画出或（写出）的；（设计、草图、提纲或版本）正在起草中的，草拟的；以草稿形式的；草图的"
elaborate,"adj. 精心制作的；详尽的；煞费苦心的
vi. 详细描述；变复杂
vt. 精心制作；详细阐述；从简单成分合成（复杂有机物）"
measurable,adj. 可测量的；重要的；重大的
assist,"n. 帮助；助攻
vi. 参加；出席
vt. 帮助；促进"
overload,"vt. 超载，超过负荷
n. 超载；负荷过多"
format,"n. 格式；版式；开本
vt. 使格式化；规定…的格式
vi. 设计版式"
chronological,adj. 按年代顺序排列的；依时间前后排列而记载的
reverse,"n. 背面；相反；倒退；失败
adj. 反面的；颠倒的；反身的
vt. 颠倒；倒转
vi. 倒退；逆叫"
uniform,"n. 制服
adj. 统一的；一致的；相同的；均衡的；始终如一的
vt. 使穿制服；使成一样"
stylistic,adj. 体裁上的；格式上的；文体论的
layout,n. 布局；设计；安排；陈列
unprofessional,adj. 非职业性的，非专业的；外行的
verb,"n. 动词；动词词性；动词性短语或从句
adj. 动词的；有动词性质的；起动词作用的"
initiative,"n. 主动权；首创精神
adj. 主动的；自发的；起始的"
contribution,n. 贡献；捐献；投稿
modesty,n. 谦逊；质朴；稳重
innocent,"n. 天真的人；笨蛋
adj. 无辜的；无罪的；无知的"
solid,"n. 固体；立方体
adj. 固体的；可靠的；立体的；结实的；一致的"
applicant,n. 申请人，申请者；请求者
take the initiative,"na. 带头
 采取主动；倡导；积极主动"
above all,"na. 最主要的；最重要的是
 首先；尤其是；特别是"
set about,"na. 动手；开始；下手；着手
 散布；着手做某事；开始做"
put one's best foot forward,"na. 拼命走；逞能；争先快走；全力以赴
 飞速跑；留一个好印象；企图给人以尽可能好的印象"
violent,adj. 暴力的；猛烈的
jolt,"vt. 使颠簸；使震惊；使摇动
vi. 摇晃；颠簸而行
n. 颠簸；摇晃；震惊；严重挫折"
swing,"n. 摇摆；摆动；秋千；音律；涨落
adj. 旋转的；悬挂的；强节奏爵士音乐的
vt. 使旋转；挥舞；悬挂
vi. 摇摆；转向；悬挂；大摇大摆地行走"
Lord,
geography,n. 地理；地形
businessman,n. 商人
nevertheless,"adv. 然而，不过；虽然如此
conj. 然而，不过"
drill,"n. 训练；钻孔机；钻子；播种机
vt. 钻孔；训练；条播
vi. 钻孔；训练"
thundercloud,n. 雷云
faint,"n.  昏厥，昏倒
adj. 模糊的；头晕的；虚弱的； 衰弱的
vi. 昏倒；变得微弱；变得没气力"
reassure,vt. 使…安心，使消除疑虑
charming,"adj. 迷人的；可爱的
v. 使陶醉（charm的现在分词）"
aisle,n. 通道，走道；侧廊
equivalent,"n. 等价物，相等物
adj. 等价的，相等的；同意义的"
height,n. 高地；高度；身高；顶点
soothe,"vt. 安慰；使平静；缓和
vi. 起抚慰作用"
complicated,adj. 难懂的，复杂的
chocolate,"n. 巧克力，巧克力糖；巧克力色
adj. 巧克力色的；巧克力口味的"
untouched,adj. 未受影响的；未改变的；未触动过的；不受感动的
bow,"n. 弓；鞠躬；船首
adj. 弯曲的
vi. 鞠躬；弯腰
vt. 鞠躬；弯腰"
anyhow,adv. 总之；无论如何；不管怎样
mate,"n. 助手，大副；配偶；同事；配对物
vt. 使配对；使一致；结伴
vi. 交配；成配偶；紧密配合"
tearful,adj. 含泪的；令人伤心的
silver,"n. 银；银器；银币；银质奖章；餐具；银灰色
adj. 银的；含银的；有银色光泽的；口才流利的；第二十五周年的婚姻
vt. 镀银；使有银色光泽
vi. 变成银色"
fateful,adj. 重大的；决定性的；宿命的
kindness,n. 仁慈；好意；友好的行为
witness,"n. 证人；目击者；证据
vt. 目击；证明；为…作证
vi. 作证人"
grateful,adj. 感谢的；令人愉快的，宜人的
clutch,"n. 离合器；控制；手；紧急关头
vt. 抓住；紧握
adj. 没有手提带或背带的；紧要关头的
vi. 攫；企图抓住"
be about to,"na. 准备
 即将；正打算；将要"
be about to do, 即将做某事
make it,"na. 赶到；办成功；规定时间；性交
 做到；达到目的，获得成功"
on board,"na. 在船上；在车上；出垒
 到船上；上船；已装船"
lose height, 下降
New Orleans,"na. 新奥尔良
 纽奥良；纽奥尔良；新奥尔良市"
Vermont,n. 佛蒙特州（美国州名，略作VT）
Bill,
eyewitness,n. 目击者；见证人
collective,"n. 集团；集合体；集合名词
adj. 集体的；共同的；集合的；集体主义的"
symphony,n. 交响乐；谐声，和声
path,n. 道路；小路；轨道
weep,"n. 哭泣；眼泪；滴下
vt. 哭泣；流泪；悲叹；流出或渗出液体
vi. 哭泣；流泪；哀悼；滴落；渗出液体"
bother,"n. 麻烦；烦恼
vt. 烦扰，打扰；使……不安；使……恼怒
vi. 操心，麻烦；烦恼"
magnificent,adj. 高尚的；壮丽的；华丽的；宏伟的
skyscraper,n. 摩天楼，超高层大楼；特别高的东西
scene,n. 场面；情景；景象；事件
watchman,n. 看守人；巡夜者
dense,adj. 稠密的；浓厚的；愚钝的
sweep,"n. 打扫，扫除；范围；全胜
vt. 扫除；猛拉；掸去
vi. 扫，打扫；席卷；扫视；袭击"
ash,n. 灰；灰烬
withdraw,"vt. 撤退；收回；撤消；拉开
vi. 撤退；离开"
fireman,n. 消防队员；救火队员；锅炉工
absolutely,adv. 绝对地；完全地
desert,"n. 沙漠；荒原；应得的赏罚
vt. 遗弃；放弃；逃跑
adj. 沙漠的；荒凉的；不毛的
vi. 遗弃；开小差；逃掉"
cart,"n. 二轮运货马车
vt. 用车装载
vi. 驾运货马车；用运货车运送"
pile,"n. 堆；大量；建筑群
vt. 累积；打桩于
vi. 挤；堆积；积累"
cargo,n. 货物，船货
simultaneous,"n. 同时译员
adj. 同时的；联立的；同时发生的"
flame,"n. 火焰；热情；光辉
v. 焚烧；泛红"
threat,n. 威胁，恐吓；凶兆
champagne,n. 香槟酒；香槟酒色
residence,n. 住宅，住处；居住
accompany,"vt. 陪伴，伴随；伴奏
vi. 伴奏，伴唱"
hospitable,adj. 热情友好的；（环境）舒适的
cabinet,"n. 内阁；橱柜；展览艺术品的小陈列室
adj. 内阁的；私下的，秘密的"
rug,n. 小地毯；毛皮地毯；男子假发
roast,"n. 烤肉；烘烤
adj. 烘烤的；烤过的
vt. 烤，焙；烘，烘烤；暴露于某种热力下以得温暖
vi. 烤；烘"
sorrow,"n. 悲伤；懊悔；伤心事
vt. 为…悲痛
vi. 懊悔；遗憾；感到悲伤"
break out,"na. 起；(战争等)突发；(囚犯等)逃脱；起(锚)
 爆发；突然发生；逃出"
all of a sudden,"na. “all at once”的变体；突然
 突然地；惊变；忽然"
wipe out,"na. 擦去；遮蔽；遮蔽地域；封闭
 消灭；彻底摧毁；消灭，毁灭"
not ... in the least,
in charge of,"na. 受托…的
 负责；主管；掌管"
deal with,"na. 办理；对待；与…交涉；与…交易
 处理；对付；应付"
Union Square, 联合广场；纽约联合广场；联邦广场
Nob Hill, 诺布山；贵族山；诺布山丘
endanger,vt. 危及；使遭到危险
dominate,"vt. 控制；支配；占优势；在…中占主要地位
vi. 占优势；处于支配地位"
bookshelf,n. 书架
grandparent,n. 祖父母；祖父或祖母；外祖父母；外祖父或外祖母
plot,"n. 情节；图；阴谋
vt. 密谋；绘图；划分；标绘
vi. 密谋；策划；绘制"
gradual,"n. 弥撒升阶圣歌集
adj. 逐渐的；平缓的"
unmistakable,adj. 明显的；不会弄错的
permanence,n. 持久；永久
parcel,"n. 包裹，小包
vt. 打包；捆扎"
scarce,"adj. 缺乏的，不足的；稀有的
adv. 仅仅；几乎不；几乎没有"
reinforce,"n. 加强；加固物；加固材料
vt. 加强，加固；强化；补充
vi. 求援；得到增援；给予更多的支持"
freshman,n. 新手，生手；大学一年级学生
elementary,adj. 基本的；初级的； 元素的
chancellor,n. 总理（德、奥等的）；（英）大臣；校长（美国某些大学的）；（英）大法官；（美）首席法官
plentiful,adj. 丰富的；许多的；丰饶的；众多的
marketplace,n. 市场；商场；市集
slide,"n. 滑动；幻灯片；滑梯；雪崩
vt. 滑动；使滑动；悄悄地迅速放置
vi. 滑动；滑落；不知不觉陷入"
fiction,n. 小说；虚构，编造；谎言
instance,"n. 实例；情况；建议
vt. 举...为例"
exceed,"vt. 超过；胜过
vi. 超过其他"
cartoon,"n. 卡通片， 动画片；连环漫画
vt. 为…画漫画
vi. 画漫画"
consumer,n. 消费者；用户，顾客
mere,"adj. 仅仅的；只不过的
n. 小湖；池塘"
presence,n. 存在；出席；参加；风度；仪态
participant,"n. 参与者；关系者
adj. 参与的；有关系的"
outlet,n. 出口，排放孔； 电源插座；销路；发泄的方法；批发商店
reverence,"n. 崇敬；尊严；敬礼
vt. 敬畏；尊敬"
inspection,n. 视察，检查
primitive,"n. 原始人
adj. 原始的，远古的；简单的，粗糙的"
come of age,"na. 成年；达成人年龄
 达到法定年龄；到达法定年龄；成熟"
hand down,"na. 宣布(判决等)；传下来
 把…传下去；传给；传递"
close by,"adv. 在附近
 在近旁；近在手边；在旁边"
carry around, 随身携带；随身带来带去
so far,"na. 就是那么些；到现在为止；到目前(此地)为止；就此范围来说
 到目前为止；迄今为止；至今"
sit through,"v. 耐心听完
 看完；一直挺到结束；耐着性子看完"
time and again,"na. “time after time”的变体
 一次又一次；一再；屡次"
on the go,"adj. 忙忙碌碌的
 忙个不停；在活动；正在忙碌中"
considerate,adj. 体贴的；体谅的；考虑周到的
formality,n. 礼节；拘谨；仪式；正式手续
conserve,"n. 果酱；蜜饯
vt. 保存；将…做成蜜饯；使守恒"
liable,adj. 有责任的，有义务的；应受罚的；有…倾向的；易…的
prescribe,"vt. 规定；开处方
vi. 规定；开药方"
considerable,adj. 相当大的；重要的，值得考虑的
merit,"n. 优点，价值；功绩；功过
vt. 值得
vi. 应受报答"
saying,"n. 话；谚语；言论
v. 说（say的ing形式）"
intellectual,"n. 知识分子；凭理智做事者
adj. 智力的；聪明的；理智的"
scenery,n. 风景；景色；舞台布景
property,n. 性质，性能；财产；所有权
accessible,adj. 易接近的；可进入的；可理解的
appearance,n. 外貌，外观；出现，露面
prime,"n. 初期；青年；精华；全盛时期
adj. 主要的；最好的；基本的
vt. 使准备好；填装
vi. 作准备
adv. 极好地"
lamplight,n. 灯光；灯火
stimulating,"v. 刺激；激励；促进（stimulate的ing形式）
adj. 刺激的；有刺激性的"
refreshing,"adj. 提神的；使清爽的；使人重新振作的
v. 使清新；恢复精神（refresh的ing形式）"
indoor,adj. 室内的，户内的
invariable,"n. 常数；不变的东西
adj. 不变的；常数的"
multiple,"adj. 多重的；多样的；许多的
n. 倍数； 并联"
devotion,n. 献身，奉献；忠诚；热爱
isolate,"n.  隔离种群
vt. 使隔离；使孤立；使绝缘
adj. 隔离的；孤立的
vi. 隔离；孤立"
inaccessible,adj. 难达到的；难接近的；难见到的
fountain,n. 喷泉，泉水；源泉
belong to,"v. 属于；附属
 归于；归属；属於"
leave ... around,
turn down,"na. 翻下(衣领等)；扭小(灯火等)拒绝考虑；拒绝(某人)
 关小；调低；驳回"
refer to,"v. 查阅；提到
 参考；涉及；谈到"
go over,"na. 仔细查看；仔细搜查；排练；重温
 复习；检查；仔细检查"
make for,"na. 有利于；对…有益；倾向于；支持
 走向；向…前进；有助于"
have an advantage over ...,
have advantages over ...,
as for,"na. 至于
 关于；就…而言；对于"
at one's best,"na. 最美时期；最得意处；发挥最高的技术水平
 处在最好状态；处在最佳状态；处于最好状态"
lay out,"n. 布局；设计；规划；安排
 布置；摆开；花费"
Socrates,n. 苏格拉底（古希腊哲学家）
Carlyle,n. 卡莱尔
Dumas,
Dickens,
Shaw,
stress,"n. 压力；强调；紧张；重要性；重读
vt. 强调；使紧张；加压力于；用重音读"
pressure,"n. 压力；压迫， 压强
vt. 迫使；密封；使……增压"
maintain,vt. 维持；继续；维修；主张；供养
continuous,adj. 连续的，持续的；继续的；连绵不断的
harmful,adj. 有害的；能造成损害的
complaint,n. 抱怨；诉苦；疾病；委屈
kidney,n.  肾脏；腰子；个性
consult,"vi. 请教；商议；当顾问
vt. 查阅；商量；向…请教"
physician,n.  医师；内科医师
symptom,n.  症状；征兆
medication,n. 药物；药物治疗；药物处理
comprehensive,"n. 综合学校；专业综合测验
adj. 综合的；广泛的；有理解力的"
coverage,n. 覆盖，覆盖范围；新闻报道
contribute,"vt. 贡献，出力；投稿；捐献
vi. 贡献，出力；投稿；捐献
"
halve,vt. 二等分；把……减半
financial,adj. 金融的；财政的，财务的
imaginable,adj. 可能的；可想像的
contradict,"vt. 反驳；否定；与…矛盾；与…抵触
vi. 反驳；否认；发生矛盾"
recharge,"vt. 再充电；再袭击；再控告
n. 再袭击；再装填
vi. 再袭击"
battery,"n.  电池，蓄电池
n. 殴打
n. 炮台，炮位"
disturbance,n. 干扰；骚乱；忧虑
insurance,n. 保险；保险费；保险契约；赔偿金
diet,"n. 饮食；食物；规定饮食
vt.  照规定饮食
vi. 节食"
sporty,adj. 运动比赛的；像运动家一样的；轻便的，花哨的
circulation,n. 流通，传播；循环；发行量
qualification,n. 资格；条件；限制；赋予资格
pursue,"vi. 追赶；继续进行
vt. 继续；从事；追赶；纠缠"
basis,n. 基础；底部；主要成分；基本原则或原理
keep ... under control,
contribute to,"na. 捐助；给…投稿；捐(款)给；投寄(一篇论文)给(某杂志)
 有助于；促成；贡献"
stress ... out, 压力过大；经历极大压力；压力大
depending on,"v. 依靠
 取决于；依赖；视…而定"
recharge your batteries, 养精蓄锐；令你养精蓄锐；你充电
on a daily basis, 每天；日常；每天都
workplace,n. 工作场所；车间
distracting,"adj. 分心的；分散注意力的
v. 使分心（distract的ing形式）；转移注意力"
harshly,adv. 严厉地；刺耳地；粗糙地
survey,"n. 调查；测量；审视；纵览
vt. 调查；勘测；俯瞰
vi. 测量土地"
psychological,adj. 心理的；心理学的；精神上的
chronic,adj. 慢性的；长期的；习惯性的
obesity,n. 肥大，肥胖
stroke,"n. （游泳或划船的）划；中风；（打、击等的）一下；冲程；（成功的）举动；尝试；轻抚
vt. （用笔等）画；轻抚；轻挪；敲击；划尾桨；划掉；（打字时）击打键盘
vi. 击球；作尾桨手，指挥划桨；（打字时）击打键盘"
demand,"n.  需求；要求；需要
vt. 要求；需要；查询
vi. 需要；请求；查问"
overwhelm,vt. 淹没；压倒；受打击；覆盖；压垮
stomach,"n. 胃；腹部；胃口
vt. 忍受；吃下
vi. 忍受"
fatigue,"n. 疲劳，疲乏；杂役
adj. 疲劳的
vt. 使疲劳；使心智衰弱
vi. 疲劳"
overworked,"adj.  工作过度的；劳累过度的
v.  使工作过度；使过分劳累（overwork的过去分词）"
realistic,adj. 现实的；现实主义的；逼真的；实在论的
ambiguous,adj. 模糊不清的；引起歧义的
attainable,adj. 可得到的；可达到的；可到达的
undertake,vt. 承担，保证；从事；同意；试图
decline,"n. 下降；衰退；斜面
vt. 谢绝；婉拒
vi. 下降；衰落；谢绝"
take away from, 从…拿走；剥夺，使丧失；减损
be associated with,"v. 与…联系
 与……有关；与……有关系；相联系"
miss out,"na. 错过(机会等)；遗漏
 漏掉；错过机会；错失"
work out,"v. 作出；拟定；制定；计划一下
 算出；解决；制定出"
get one's mind off,
stick with, 坚持；继续支持；坚持做
take on,"na. 担任(工作等)；较量；装(某种样子)；呈现(形势)
 承担；雇用；雇佣"
spread yourself too thin, 传播自己太薄
American Psychological Association,
castle,"n. 城堡；象棋中的车
vt. 置…于城堡中；筑城堡防御"
clarify,"vt. 澄清；阐明
vi. 得到澄清；变得明晰；得到净化"
humble,"adj. 谦逊的；简陋的；（级别或地位）低下的；不大的
vt. 使谦恭；轻松打败（尤指强大的对手）；低声下气"
do-it-yourself,"adj. 自己动手的
n. 自己动手；喜欢自己装配或修理东西"
glove,"n. 手套
vt. 给…戴手套"
manual,"adj. 手工的；体力的
n. 手册，指南"
fortnight,n. 两星期
period,"n. 周期，期间；时期；月经；课时；（语法学）句点，句号
adj. 某一时代的"
pot,"n. 壶；盆；罐
vt. 把…装罐；射击；节略
vi. 随手射击"
negotiate,"vt. 谈判，商议；转让；越过
vi. 谈判，交涉"
loan,"n. 贷款；借款
vi. 借出
vt. 借；借给"
mortgage,"vt. 抵押
n. 抵押
房屋抵押贷款"
installment,n. 安装；分期付款；部分；就职
extend,"vt. 延伸；扩大；推广；伸出；给予；使竭尽全力；对…估价
vi. 延伸；扩大；伸展；使疏开"
estate,n. 房地产；财产；身份
furthermore,adv. 此外；而且
reveal,"n. 揭露；暴露；门侧，窗侧
vt. 显示；透露；揭露；泄露"
municipal,adj. 市政的，市的；地方自治的
population,n. 人口； 种群， 群体；全体居民
significance,n. 意义；重要性；意思
honorable,adj. 光荣的；可敬的；高贵的
brick,"n. 砖，砖块；砖形物；心肠好的人
adj. 用砖做的；似砖的
vt. 用砖砌"
security,"n. 安全；保证；证券；抵押品
adj. 安全的；保安的；保密的"
status,n. 地位；状态；情形；重要身份
ownership,n. 所有权；物主身份
intermediate,"n.  中间物；媒介
adj. 中间的，中级的
vi. 起媒介作用"
pond,"n. 池塘
vt. 筑成池塘
vi. 筑成池塘"
ladder,"n. 阶梯；途径；梯状物
vi. 成名；发迹
vt. 在……上装设梯子"
sooner or later,"na. 迟早；早晚
 迟早会的；或迟或早；迟早有一天"
in the air,"na. (计划等)悬着；在空中；(谣言等)流传；无掩护的
 在流行中；在传播中；悬而未决"
in full,"na. 详细地(填写姓名等)；全部地
 充足；全额；全文"
trade up,"n. 卖次买好；以次换好的买卖
 买更贵的东西；向上消费；向上营销"
singleness,n. 单一；独身；真诚；专心
correspondent,n. 通讯记者；客户；通信者；代理商行
distort,"vt. 扭曲；使失真；曲解
vi. 扭曲；变形"
unmarried,"adj.  未婚的；单身的；独身的
v. 离婚（unmarry的过去分词）"
heading,"n. 标题；（足球）头球；信头
v. 用头顶（head的ing形式）"
divorce,"n. 离婚；分离
vt. 使离婚，使分离；与…离婚
vi. 离婚"
immature,adj. 不成熟的；未成熟的；粗糙的
irresponsible,adj. 不负责任的；不可靠的
receptionist,n. 接待员；传达员
slope,"n. 斜坡；倾斜；斜率；扛枪姿势
vt. 倾斜；使倾斜；扛
vi. 倾斜；逃走"
majority,n. 多数；成年
emerge,vi. 浮现；摆脱；暴露
